0:1:58|0:2:3|行进途中，一个头戴钢盔的日本士兵正迎着冬日清冷的阳光仰面休憩。
0:8:28|0:8:38|正当士兵咬开玻璃瓶的盖子时，便被日本军官大声制止。眼看军官走远，士兵迫不及待地便大口喝了下去。
0:8:41|0:8:54|得到肯定的回答后，同伴们也迅速来到小酒馆门前的架子旁，拿起一瓶迅速喝了起来。日本军官听到动静回头看去，随即沉声问道。
0:9:1|0:9:13|原本想要追究的日本军官，此时突然看到一个头戴钢盔的中年男子骑着自行车，从自己身旁经过。扭过头后又发现，从主路上驶来一辆轿车。
0:9:14|0:9:36|大声喝斥停车无果后，一个士兵向空中开枪以示警告。等车停稳，一个身穿西装打着领带的外国老人高举双手向日本军官走来，一边询问是否有人会说英语，一边将自己手臂上的旗帜亮出，表明自己是德国人。
0:9:36|0:9:40|知道[角川正雄]会英语，日本军官便让他上前询问这个德国老人。
0:9:49|0:9:57|待[角川正雄]将这话翻译给众人后，一个士兵突然笑出声，称自己也想见一见将军。
0:10:4|0:10:12|此时，和德国老人一同下车的中年男子，小心翼翼地凑上前来，用日语开口道。
0:10:13|0:10:22|听到母语后的日本军官瞬间舒展了眉头，冲着二人笑了笑，便收了枪，接着摆摆手，带领士兵离开了此地。
0:10:23|0:10:40|可刚一扭头，一个士兵突然发现，前方钟表青岛，房梁塌陷的教堂边似乎闪过一道人影。于是，日本军官赶忙抬手示意，一边从腰侧掏出手枪，一边缓步朝着前方的教堂摸去。
0:10:40|0:10:47|皮靴踏过地上的碎石发出沙沙声响，士兵们也咬紧牙关，将手中的长枪上了膛。
0:10:51|0:11:11|教堂的门被轻轻推开，一众妇孺老小肩靠着肩，无言望向来人。阳光透过破碎的窗户穿了进来，这才看到他们如今的模样。老人们曾经干净规整的棉袄早已破烂不堪，头发也蓬乱地搭在额前，双眼如枯井般深陷。
0:11:11|0:11:28|细棍一样的手牢牢抓紧身前的小孩，下一秒便止不住地连连后退。原来，[日本军官]已经信步来到众人面前。小孩子背着突如其来的寂静，吓得忍不住哭出了声。
0:11:28|0:11:47|然后便看到人群中，一个留着胡子的大爷率先将双手举过头顶，接着，其他人也纷纷效仿。一时间，人们举起的双手竟将那阳光严严实实地挡出了教堂外。人群中，负伤的几个士兵更是流着眼泪，将长枪举过头顶。
0:11:49|0:11:57|看到眼前这一幕，[日本军官]虽然放下了手中的枪，可其他士兵却依旧将枪口竖直，对准了手无寸铁的百姓。
0:12:20|0:12:22|于是他低声冲着[角川正雄]说。
0:12:25|0:12:40|[角川正雄]强装镇定，捏紧手中的长枪点点头，随即在人群中扫了一眼后，迅速倒退出了教堂。此时，来到开阔的街上，[角川正雄]奋力大吼，吸引同伴前来。
0:12:45|0:13:8|听到声响后，一众日本士兵从四面八方赶了过来，并摇响了集结的铃声。在那边，[角川正雄]率先看到从破楼中钻出的同伴们，连忙用手指向教堂。不一会儿，近百人的小队便集结在了教堂外。
0:13:10|0:13:24|最先抵达的士兵此时已经站在了教堂高处的石墩上，并时不时朝着空气中放着冷枪。一队士兵用枪威胁妇孺老小蹲在教堂的过道边，紧紧压成一堆。
0:13:26|0:13:34|将男人们排列成排，双手捆绑，单独赶向另一方。一边赶，一边嘴里还数着，135，136，当数到140的时候，脚穿匆忙赶来。
0:13:42|0:13:57|听到女人哀求的声音，[角川正雄]一时间竟无所适从，抱着长枪站在原地，疑惑地看着周遭的一切。突然，本就蹲在地上的妇孺挣扎起身，不断推搡前来维持秩序的士兵。
0:14:1|0:14:4|乃至[角川正雄]刚抱着枪赶来，便听到几声枪响。
0:14:5|0:14:20|面前，一扇木制大门被顶开，四五具年轻女孩的尸体直直地倒在脚下，而那推搡挣扎的妇孺，瞬间爆发出撕心裂肺的呼喊声，颤抖着双手，扑向那一具具尸体。
0:14:25|0:14:36|开枪的士兵此时抱紧长枪，边后退边念叨着自己不是故意的，脚穿则愣在原地，可眼神却不由自主地望向身前痛哭的老妇。
0:14:36|0:14:48|正当她在随身的背包中掏着什么的时候，同伴赶忙抓住她的胳膊将她拽了起来，随即慌张地搀扶在一起，急忙肘着长枪离开了原地。
0:15:0|0:15:5|黄包车上那个最小的女孩连忙冲向男人的怀中。
0:15:13|0:15:22|而[唐天祥]正是与德国老人同车的男子。
0:15:28|0:15:37|[唐天祥]放下小女儿，随即猛地将那女子拥入怀中。想必这就是[唐太太]。
0:15:53|0:16:9|此时，城市中央，几个日本士兵正在往[蒋介石]的全身铜像上，绑满了铁链。但军官一声令下，几个士兵合力而为，那铜像便直直跃下石台，砸向地面。
0:16:11|0:16:31|接着，一个士兵奋力一跃跳上石台，双手摇晃随身的旗杆，日本国旗便在这座城市的中央肆意舞动着。可其余士兵们还是不尽兴，随即将那象征着国民党的旗帜扯下，盖在[蒋介石]的铜像上，而后扯过铜像，欢呼着走远了。
0:16:31|0:16:39|城市另一端，一队日本士兵持枪来到主路上，一个拿着相机的士兵则时不时地冲同伴拍照留念。
0:16:40|0:17:1|日本军官这一队也在摧毁掉[蒋介石]的铜像后，兴奋地拿出相机合影留念。此时，一个士兵看到街边有一辆坦克，正要上前放置手榴弹，便被同伴叫住，称这座坦克还能用，可以给后边的部队留下。
0:17:1|0:17:5|于是他大呼，该地安全，随即跳下坦克，联盟跟上大部队。
0:17:8|0:17:22|谁知刚走没多远，刚刚那辆坦克便扭转炮筒，机关枪内的子弹如雨一般，疯狂射向一众日本士兵。断织残居瞬间散落在城市的主路之上。
0:17:22|0:17:30|日本军官急忙钻入麻袋累积的攻势之下，五路五刚才因为逃跑而歪掉的头盔，接着大火问道。
0:17:32|0:17:46|一个小兵强行探出头，眯开眼，隔着层层硝烟发现，在不远处的高楼上有人在放枪。可刚说出敌人在高处，来自背后的一颗子弹便贯穿了他的心脏。
0:17:46|0:17:53|远处，更高的一座建筑物上，不知从哪儿射出的一颗子弹，又命中了一个日本士兵的眉心。
0:17:54|0:18:7|随后，扔出的手榴弹恰好在工事附近炸开，几名日本士兵当场允命。原本躲在街角处的[角川正雄]，听到日本军官的召唤，顾不得害怕，便弯着腰向军官的方向冲去。
0:18:9|0:18:18|高处的建筑上，民兵们用锣筐装着手榴弹来到枪手身边，暗身放下一支，便又挪到下一个掩体旁。
0:18:30|0:18:42|楼上，[顺子]正掏出手榴弹递给身旁的战士，可下一秒，一个日本士兵从墙底边缘钻了出来，绕过障碍，一枪就将三楼的战士放倒。
0:18:42|0:18:50|[陆剑雄]这边倒是有个小男孩在帮忙，眼看狙击弹药全部重新装填完毕，他拿起来冲着楼下，便是一枪爆头。
0:18:52|0:19:11|正准备再次偷袭，突然听闻楼梯处传来动静，[陆剑雄]闪身，靠在楼梯口的墙体内，扔下一枚手榴弹，便扭身直射来人。将楼梯口的日本士兵逐一消灭后，[陆剑雄]赶忙命令不远处的[顺子]带人下去观察。
0:19:11|0:19:18|刚下到一楼楼梯口，一个战士还未站稳，便被一枪击中眉心，[陆剑雄]的枪也突然卡了膛。
0:19:22|0:19:30|那个七八岁的小男孩听到后，迅速将狙击枪背在身上，随后猫着腰拖着枪管，将其小心地递给[陆剑雄]。
0:19:32|0:19:48|[陆剑雄]抓起枪后迅速上膛，一跃而下，转身靠在二楼拐角处。看了看窝在一楼楼梯口的[顺子]，先拿出手榴弹，示意他向外投掷，随后站在二楼窗口旁，对楼下的日本士兵进行点射。
0:19:48|0:19:58|看到打头阵的日本士兵已经钻进自己脚下，[陆剑雄]原地转身，抱紧狙击枪，跳进了一楼大门处，干净利落地解除了威胁。
0:20:2|0:20:19|此时，埋在建筑门前的炸药旱地而起，原先如春笋般涌上来的日本士兵很快没了踪迹，眼看被炸的日本士兵还要摇响手中的铃铛呼叫援军，下一秒便被我军战士一枪了结了性命。
0:20:19|0:20:36|三面环楼的街道上，仍有日本士兵不死心地继续进攻，本以为自己靠着面前的楼栋冲到掩体，可下一秒，来自身后一道愤怒的枪响，瞬间令其脑袋开花。好一会儿，已经没有了枪响。
0:20:39|0:20:52|[陆剑雄]对面的高楼上，几个战士举起手中的长枪，大声欢呼着。已经上了三楼的[陆剑雄]，这才缓缓放下心来，抬起狙击枪，冲对面轻轻摆了摆。
0:20:52|0:21:1|那个小男孩见状，也急忙抛下麻绳，一端用箩筐系着手榴弹，一端绕过墙体，确认牢固后，手脚并用，滑下了三楼。
0:21:2|0:21:21|而后战士们余光而出，虽打赢了这场仗，也不敢松懈，报警长枪慢慢地来到街道上侦察着，这里尸横遍野，不少人早已面目全非，不细看根本不分敌我。可就在尸堆的不远处，日本军官竟和[角川正雄]安然无恙地躲在墙之后。
0:21:22|0:21:36|尽兴的是，战士并未对矮强仔细搜寻，便匆匆离去，二人自然是捡回一条命。另一边，亲眼目睹那个拿铃铛哨兵的惨死后，幸存下来的日本士兵车人不备，迅速趴在他们身旁。
0:21:41|0:21:56|到处的尸体已经让我军战士轻易地被骗了过去，于是迅速捡起四周散落的子弹后，便匆匆离开了现场。自然的，没能看到在他们身后，一只颤抖的手将那铃铛悄悄地拿了起来。
0:21:56|0:22:7|战士站告一段路，[陆剑雄]正坐在砖瓦上休息，小男孩从过道中钻了出来，冲他笑笑后滴过一个水壶，然后扭头跑向院中的同伴。
0:22:11|0:22:18|两个小孩在原地轮流坐着黄包车享受着片刻的欢愉。可下一秒，那铃声竟再次响了起来。
0:22:20|0:22:37|小男孩脸色一变，瞬间戴好那不符合他脑袋大小的钢盔，跑到[陆剑雄]身前。[陆剑雄]低头看了看他，棱角分明的面庞早已在汗水和硝烟的净染下，蒙上丝丝阴光，可突然，他却扬起了一丝微笑。
0:22:37|0:22:48|接着，身前传来阵阵细碎的声音，[陆剑雄]抬头望去，战士们背着长枪走到了跟前，临时加入小队的壮业男子也挂着子弹包缓步而来。
0:22:49|0:23:8|[陆剑雄]的目光从这些面旁中一一掠过，看了一会儿后突然到。原来，人群中少了[顺子]的身影，而[顺子]此时恰好躲在了一面墙体后方。听到[陆剑雄]的唤声，他吓得抱紧长枪，急忙向角落退去。
0:23:18|0:23:34|听着震震铃声，[陆剑雄]低下头喃喃道。而[顺子]在听到[陆剑雄]的话后，悄悄躲开众人，随即拔腿就跑，一边奋力奔跑，一边将身上的军装撕扯下来后扔到脑后。
0:23:34|0:23:43|短时间内的迅速逃离，使得他没一会儿鼻翼就撑开大喘粗气，可他顾不上这些，跌跌撞撞地跑出主路钻进小巷。
0:23:44|0:23:50|另一边，[陆剑雄]虽然让弟兄们都散了，可他本人却做好了战斗准备。
0:23:50|0:24:8|靠坐在三楼的窗台边，正当他从怀中掏出仅有的几颗狙击子弹时，小男孩突然从一旁的楼梯口跑了过来，并将搜刮到的狙击子弹递给[陆剑雄]，随后又亮出环绕在胸前的子弹袋，将子弹一颗颗的从单独的小孔中拔下。
0:24:9|0:24:22|此时，楼梯口处又传来机械上膛的声音，[陆剑雄]将手榴弹放在窗台上后扭头望去。一波战士们背着炸药袋急匆匆地蹲坐在窗台边向主路瞄准。
0:24:22|0:24:32|另一波战士们则从四楼放下麻绳箩筐，带一楼的人将五六支长枪固定后迅速收绳，就这样有条不紊地运送着武器。
0:24:35|0:24:54|但此时，日军的援军已经列队开着坦克向此处袭来。眼看形势出现逆转，躲在矮墙后方的日本军官命[角川正雄]递来一把狙击枪，随后瞄准建筑外侧正搬运武器的战士抬手就是一枪。
0:24:54|0:25:0|而躲在坦克中的战士看见已经开到岔口的日军坦克，毫不犹豫便是凶猛一炮。
0:25:1|0:25:21|谁承想，另一头也埋伏着敌人的坦克。一炮还击后，我方战士浑身鲜血倒下了炮台，而他的面前正是无数赶来增援的日本士兵。一颗颗子弹就这样在他全身炸开，远方的[陆剑雄]颤抖着闭上了双眼。
0:25:21|0:25:29|随即，日军坦克对建筑进行了远距离射击，趁机摸到建筑物下的日本士兵，透过窗户连连投掷手榴弹。
0:25:31|0:25:52|一边叫嚣着杀光中国人，一边将长木梯搬来搭在窗口处，然后迅速爬上前，占据二楼的位置。另一边楼下的小院入口处，20人小队的日本士兵搬来两座制弹筒。膝盖高的制弹筒看上去平平无奇，可杀伤力竟然相当惊人。
0:25:53|0:26:13|三角支撑的铁制底架上方有着用来调节高度的圆盘把手。日本士兵快速轮转后，一个贯穿底架的铁制发射桶钻了出来。发射桶的孔径约莫是成年人手掌大小。待日本军官一声令下，士兵将杀伤式榴弹装进了桶内。
0:26:13|0:26:21|榴弹底部的小孔撞上发射桶中的机针，二者瞬间作用后，桶内温度立即升高。高压之下，炮弹冲出桶口。
0:26:22|0:26:37|竟直飞向[陆剑雄]等人所在的建筑物。三两下之后，本就摇摇欲坠的楼体便如流沙一般倾泻而下。再加上另一队日本士兵的机关枪压制，匍匐在窗口的战士们根本抬不起头。
0:26:39|0:26:59|来不及寻找掩体的战士，在枪林弹雨中没了呼吸。四周突然一片寂静，下一秒，一个人影从一楼的大门处亮腔地走了出来，而后将手中的布条高举过头顶轻轻挥了挥。看到战士表明投降，日本士兵随即示意同伴将他走去。
0:27:0|0:27:14|大批日本士兵很快手举长枪来到战士面前，随后对面前的建筑进行了地毯式的搜索。才从教堂出来的[角川正雄]听到动静赶到这里时，战士已经暂告一段落。
0:27:14|0:27:29|率先映入眼帘的便是地上被排列整齐的同伴们的尸体，还有正跪在地上望着尸体哭泣的士兵。正当[角川正雄]愣神之际，一个日本士兵在人群当中认出了他。
0:27:43|0:27:48|告别士兵后，[角川正雄]低着头越过岔路口，直直向建筑的大门处走去。
0:27:50|0:28:10|再一抬头，脚步微微顿了顿，情不自禁地定在建筑物外的栏杆上，然后再次抬起脚向前靠近。早前在建筑物中战斗的战斗们此刻被生擒，麻绳绕过他们的颈尖，胸腹强制面向主路的位置，死死地捆在栏杆上。
0:28:10|0:28:14|小男孩则挺直了腰背，绑在了路中央的一处电线杆上。
0:28:15|0:28:30|脚穿看了几眼后，继续向前走，可还是忍不住，回头向院内往去。用铁丝层层缠绕的木栅栏旁，[陆剑雄]也被绑在身后的墙体上，没有理会脚穿打他主路上，八人的日本士兵小队正一手高举长枪。
0:29:7|0:29:12|一声开枪令下，背对日本士兵跪在街角的四个中年老百姓应声倒地。
0:29:13|0:29:22|而[角川正雄]此时，也终于找到了自己的大部队。随着队伍缓缓步入城市中央，面前的一切都让他呼吸急促起来。
0:29:24|0:29:38|原本完好的建筑在战火中全部被夷为平地，未燃尽的地面上横七竖八地堆砌着人们的尸体。平白无故走在路上的百姓更是被其他日本士兵毫不留情地射杀。
0:29:38|0:29:46|直到下一秒，[角川正雄]再也忍不住一开双眼，丢了魂一般地紧盯着面前之人的肩膀，机械地挪动。
0:29:46|0:29:58|原来，斜前方的房梁上，倒挂着不计其数的人头，早已干涸的血液凝固在那人的面旁之上，嘴巴无意识地张开着，双眼瞪直前方。
0:29:58|0:30:8|而才被虐杀的人，新鲜的血液正一股股地从脖颈处冒了出来，恍惚间竟能在这寒天地动的冬日里看到缕缕热气。
0:30:10|0:30:16|此时，[陆剑雄]等一众战士，双手被钳在身后，押送到了城门口处。
0:30:22|0:30:42|城门洞前，日本士兵用铁丝和木栅栏，简易地围成了一个长方形的集中营。露天的营中，均是狡猾的壮年男子。看到[陆剑雄]等一行人到来，均是灰头土脸地望着。很快，[陆剑雄]便随众人越过栅栏，缓步走了进去。
0:30:42|0:30:49|可此时，集中营中早已人满为患，因此，日本士兵不断大声呵斥着让他们挤一挤。
0:30:50|0:31:1|而后又命令众人全部原地蹲下，木栅栏外，日本士兵手持长枪来回巡逻。眼看营中人数越来越多，其中一个高声喊道。
0:31:3|0:31:15|在蹲着的队伍中，突然一个身影弯着腰向[陆剑雄]猫了过去。戴琪站定在[陆剑雄]身边，再一抬头才发现，原来是在建筑中给他递狙击子弹的那个小男孩。
0:31:17|0:31:35|小男孩丝毫没有惧怕之意，只是牢牢地看着[陆剑雄]，直到[陆剑雄]用额头轻轻地碰了碰他的头顶，这才张开嘴笑了笑。与此同时，郊外的乡村小道上，壮年男子们以四人为一排，形成一支延绵数百里的队伍。
0:31:36|0:31:52|城中，早已被炮弹轰炸得不成型的工厂内，几个日本士兵正拿着木板重新敲着工厂内的窗户和大门，另外几个日本士兵拿出汽油桶，不断交洒在工厂内的各个角落。
0:31:52|0:31:58|城门洞前的集中营里，[陆剑雄]和其他被关押的壮年男子听到命令不得不站起了身。
0:32:0|0:32:22|人群涌动，本就浑浊的空气被搅动起来，瞬间让人喘不过气，空气中到处弥漫着浇人的炮火味。寒风刺骨中，男人们双手被钳在背后，含着肩膀望向正前方的日本士兵。
0:32:30|0:32:54|另一处的集中营里，日本士兵下达了同样的命令。栅栏外的日本士兵间隔5米排开，手举长枪威胁着众人。即便对待年迈的老人，日本士兵也毫无怜悯之心，大声喝斥，敦促其加快脚步。
0:32:54|0:32:59|很快，被关在城中各个集中营的男人们，被分批遣离了原地。
0:33:0|0:33:15|第一批人，摇摇晃晃地走进那处城中废弃的工厂里。如今的工厂，除了仅容那一人进出的大门敞开着，早已被炮火轰炸得面目全非的墙体，已经被木板横一道竖一道牢牢钉死。
0:33:15|0:33:36|而那艰难跋涉途经郊外的大部队，此时也慢悠悠地来到了一处芦苇荡前，看着面前浑浊的河道止住了脚步。第三批人则按照大约十人为一组进行划分，并在日本士兵的带领下，依次排开，站定在早已挖好的土坑里。
0:33:36|0:33:49|第四批人则留在城中，集中营外，日本士兵围成一圈，用长绳将大约50人围在圈中，众人双臂垂在两侧，只能看着麻绳狠狠勒过自己的胸膛。
0:33:49|0:34:14|另一边，工厂中的男人们被砍断了手中的麻绳，并且在日本士兵锁紧大门后，连忙拥在用木板临时做成的窗户旁，好奇地看着外面正在撒汽油的日本士兵。此时，押送各个批次俘虏的日本士兵们同时下达了命令。
0:34:14|0:34:24|工厂那边，一桶桶的汽油连连泼洒在那钉在墙上的木板上，甚至是男人们的身上。土坑前，列好队的十个日本士兵立刃出窍。
0:34:27|0:34:42|而最先被命令向后转的大批老百姓们，在他们身后正是架起机关枪毫无怜悯平发射的日本士兵。子弹左右交替，无情地从后方直插一众百姓的肉身。
0:34:42|0:34:52|下一秒，尸体便排山倒海般地向前扑去，工厂那边光用汽油烧还不够，多个手榴弹很快便透过一掌宽的木板被扔了进去。
0:34:53|0:35:14|土坑附近的情况更是让人难以启齿，百姓们被分成了两拨，一拨人站在土坑中，直直被日本士兵的武士刀插入胸腹，另一拨人则被踢进将近两人高的深坑中，随后一捧捧泥土，铺垫盖地地向他们砸去，将其生生活埋。
0:35:14|0:35:34|独尾道附近的日本士兵们却在此刻发现了乐趣，百姓们前方只有冰冷的湖水，后方便是枪管打得火热的机关枪，为了活命，在刺骨的冬日中，他们不得不向那湖的中央跑去，可随性射出的子弹毫不长远，钻进人脑后的瞬间。
0:35:34|0:35:42|眼睛便被挤出了眼眶，整个头颅随即炸开，可怜这井间的皮肉还在晃动着。如果说。
0:35:49|0:36:8|现实十分残酷，虐杀之下，湖边一条条血痕混着湖水，蔓延到了湖中央。抬头向来时路望去，上一秒还是毛茸茸迎风飘荡的芦苇荡，早已被鲜血打湿地折弯了腰，到处都是惨死的人群，根本无从下脚。
0:36:9|0:36:19|[陆剑雄]一群人在集中营里听到震天的枪响，也连忙扭头叹去，可下一秒，却等来了挥舞国旗骑马而来的日本士兵。
0:36:37|0:37:3|或许是有了预感，人群中没有一个人站起身。日本士兵们见此，连忙抬枪警告。人群中，三人应声倒下。可即便如此，还是没有人站起来。那未知的恐惧吞噬了一众男人的胆量。
0:37:4|0:37:25|听着耳边传来的阵阵枪响，[陆剑雄]扭头看向了小男孩，随即低下头看着不远处，上一匹百姓手腕上被解下的麻绳。可突然，周遭的一切，让他骨子里最裂的部分清晰而出，说不清道不明，可就是猛地站起了身。
0:37:25|0:37:30|而在他起身的一瞬间，日本士兵们随机射向人群的枪也停了下来。
0:37:31|0:37:47|盯着不远处的城门洞看了一会儿之后，[陆剑雄]毅然回头望向众人。原先顺着脸颊留下的鲜血如今已经干涸在脸上，军装也早已破烂不堪，棉花更是从后肩处掉了出来。
0:37:47|0:37:52|面前的众人却无一人敢与他对视，蹲在地上牢牢地盯着脚下。
0:37:53|0:38:14|见此，[陆剑雄]只好慢慢转过身，而城门洞下四五个日本士兵早已捏着麻绳站在栅栏外虎视眈眈。可[陆剑雄]的双手还潜在身后，大步向日本士兵走去。小男孩望着他的背影，虽然面无表情，可双眼却放出了光。
0:38:15|0:38:35|随后踉跄地起身，小跑着追上了[陆剑雄]的步伐。看着还没有[陆剑雄]腰高的小男孩就这样冲了出去，身后的众人开始动摇起来。一直眯紧双眼，穿着军装的大汉咬咬牙，率先地从地上起身。
0:38:35|0:38:40|然后另一个满脸是血，稍微瘦弱些的战士也跟了上去。
0:38:41|0:38:55|接着，打扮书生气的男子也用力地站起身，紧紧地追随在后方。就这样，整个人群全部被带动起来，摩肩接踵，齐齐地向那日本士兵走去。
0:38:55|0:39:2|走在队伍最前方的[陆剑雄]没有回头，可从他微微颤动的嘴角来看，似乎内心遭受到了极大的波动。
0:39:3|0:39:25|而他身后跟着的，也有步伐在那建筑中一同作战的队友，可那队友面无表情的脸上，此时却突然涌现出一股藏不住的悲伤。他扭头看向栅栏一边，手举长枪威胁的日本士兵，然后加快脚步，义无反顾地跟上[陆剑雄]的步伐。
0:39:25|0:39:32|但人群越走，离城门洞越近后，每个人开始恍惚无助的神情，竟随着向前的步伐逐渐散去。
0:39:34|0:40:0|接铁而来的则是高昂的头颅以及果敢刚毅，无所畏惧的模样。不一会儿，人们便从集中营走出来，刚一踏进城门洞内，便被面前的荧幕晃了一秒。远处哨卡内倒是能看清近50人的日本士兵小队，正手持长枪沿阵以待。
0:40:3|0:40:10|虽然无法窥得他们的面貌，可那如狼般的眼神却穿过阴晕的雾气直直插向[陆剑雄]等一行人。
0:40:15|0:40:34|此时，在向日本士兵后方更远的地方看去，隐隐约约只看到有旗帜在飘扬，坦克与士兵的身影绵延成了一片。离开哨卡向左转弯的时候，[陆剑雄]收回目光，可下一秒，两道火辣辣的视线却直冲他而来。
0:40:34|0:40:40|建筑中激战时，躲在墙下的那个日本军官正靠在铁丝网边狠狠地注视着[陆剑雄]。
0:40:42|0:41:0|但[陆剑雄]丝毫没有在意，而是呆呆地看向自己的右前方，那片荒芜的土地。无尽的尸骸随意地垒砌在地上，甚至有半个小腿那么高，而本就荒芜的土地竟在鲜血的浇灌下，诡异地松软了起来。
0:41:0|0:41:7|众人望着面前的一幕，皆是一股寒气从眉心袭来，而这用人间炼狱来形容也不为过。
0:41:9|0:41:26|此时，小男孩从[陆剑雄]身后钻了出来，吐出[陆剑雄]手腕上的麻绳，然后轻轻地靠在他的身上，感受着身前有轻微的颤抖。[陆剑雄]低下头，抬起右手搭在小男孩的肩上，左手盖住了他的双眼。
0:41:26|0:41:28|接着，便听到身后传来巨大响声。
0:42:2|0:42:19|停停机关枪再次发动，[陆剑雄]一行人就这样直直地暴露在枪口之下。南京城另一座学校的办公室里，手臂上全部都带着十字臂章的老师们，听到震震枪响，瞬间停下了手中的工作。
0:42:19|0:42:36|其中，一个烫着短卷发的女老师，连忙披上毛泥大衣，举着烛台来到窗边。满是女生的宿舍里，少女们紧紧地拢在一起，似乎是觉察到了什么，相互揽着肩膀，默默地低下头。
0:42:36|0:42:41|另一边，家中的阁楼上，[唐太太]挽着妹妹[小妹]，也十分担忧地望向窗外。
