0:0:34|0:0:41|影片开始，只见人们有序地验票进入马戏团场馆，来往观众络绎不绝，十分热闹。
0:11:47|0:11:57|沈师傅一家也在这里，他走在中间保护着[小丁]南[丁局]，易天和[丁梅]走在前面开路。五个人被人群裹挟着向前走，十分困难。
0:12:34|0:12:39|很快，[丁岚]带着大家来到船的侧面，他指了指窗户说。
0:12:41|0:12:59|一天一马当先，他将长衫的下摆卷起来，固定在腰间的带子上，随后一脚踏上固定船的缆绳，运用走钢丝的技巧，慢慢地往甲板上走去。与此同时，一南，一西，一北，三个小朋友滚来游桶，拿上木板，制作出一个简易跳板。
0:12:59|0:13:11|此时，水手在前面盯着人群上船，所以[沈师傅]这边暂时安全，只见[一天]走得步步小心，最终安全走上船，随后忙不迭地接住[一夕]扔上来的行李。
0:13:11|0:13:25|紧接着，[丁岚]举起[丁菊]，[丁菊]猛的一跳，跳板那头的[一男]就被弹上了船。按照这个方法，很快，三个小朋友都成功上船。大姐[丁梅]用同样的方法。
0:13:27|0:13:38|接下来是[沈师傅]。一天从船上扔下来一根绳子，[沈师傅]拉着绳子，像攀岩似的冲上了甲板。丁菊紧随其后。
0:13:42|0:13:48|[丁岚]正准备上去，结果被赶来的水手拦下，正当他要被拉走时，[Chiang Yitien]赶来。
0:13:56|0:14:10|举剑[Chiang Yitien]扎着步子，两手举起竹竿，[丁岚]踩着他的腿爬上杆子，待他爬到一定的高度后，[Chiang Yitien]把竹竿往船的方向倾斜，[丁岚]翻身一跃便上了船，他站定后，连忙招呼[Chiang Yitien]。
0:14:10|0:14:24|[Chiang Yitien]扔下竹竿，从袖子中伸出两条弹簧绳，他将绳子一甩固定在栏杆上，随后用力移转，绳子自然向前回缩，[Chiang Yitien]被带上了船，他收回绳子，兴高采烈地与大家会合。
0:14:32|0:14:49|[沈师傅]无可奈何地看着[Chiang Yitien]，[Chiang Yitien]心虚地低下头，不敢与师傅对视，汽笛声响起，船缓缓地启动。
0:14:49|0:14:52|[Chiang Yitien]小心地扶住[丁岚]，并帮他提住行李。
0:15:4|0:15:11|[Chiang Yitien]撂下行李，像离弦之剑一般冲上前去，[丁岚]看到后也紧死其后。
0:15:11|0:15:21|但还没等到[Chiang Yitien]赶来，警察[唐队长]从帐篷里飞出一脚踢到小偷脸上，小偷直挺挺地向后倒去。
0:15:25|0:15:38|小偷趁机飞快逃走，[唐队长]赶忙站起来追，结果不小心撞到赶来的[丁岚]，[丁岚]看到他帅气的面旁争住了，[唐队长]也回头多看了他一眼。
0:15:38|0:15:43|另一边，[Chiang Yitien]超近路追上小偷，他一个飞扑到小偷的脖子上。
0:15:48|0:16:7|[Chiang Yitien]痛苦地捂着伤，在地上来回翻滚，这时，[唐队长]赶到，一脚把小偷踢倒。[唐队长]吩咐手下狠狠地打小偷，[Chiang Yitien]见状连忙爬起来阻拦。
0:16:7|0:16:17|[唐队长]没有理会他，正巧警察赶到，一枪击毙小偷。[Chiang Yitien]见状害怕地躲在树后，手下从小偷口袋里翻出一袋东西递给[唐队长]。
0:18:8|0:18:10|马力从仓库中走出来问道。
0:19:5|0:19:16|[Chiang Yitien]被玛丽踢了一脚不服气，转身就和他打起来。玛丽丝毫不畏惧他，两人一时间难分胜负。[Chiang Yitien]正想施展下一个动作时，一个老者竟然喊道。
0:20:29|0:20:32|沈师傅一行人找到了一处破房子，大伙正在修缮。
0:20:57|0:21:9|[小丁]坐在一旁，不想理会一天。这是[Chiang Yitien]他们归来，他再次给[Chiang Yitien]叮嘱。
0:22:46|0:22:58|[Chiang Yitien]听到师父喊他，瞬间变得不知所措。他缓缓回头看去，只见师父冲他摇了摇头。画面来到大街上，[丁岚]、[丁菊]和三个小徒弟正围在一起说悄悄话。
0:23:48|0:23:58|谁知小朋友们对这个节目并不感兴趣，纷纷散去。[Chiang Yitien]正准备表演，回头却发现空无一人。
0:24:0|0:24:25|[丁岚]这边情况恰恰相反，他们帅气的武功和刺激的杂技表演吸引来很多人围观。说完，[唐队长]、[丁岚]纷纷表演起绝活，年纪最小的[小兰]拿着碗去讨赏钱，大家倒也大方，给了许多。
0:24:30|0:24:46|一天[Chiang Yitien]挤到人群中间，只见[小丁]和三个小徒弟的乾坤腔正耍得干净利落。[丁岚]的杂技表演已十分惊险刺激，观众被逗得连连鼓掌叫好。[丁菊]看见两人来使了个眼色，神情骄傲。
0:24:46|0:24:56|两人相视一笑，也跟着观众鼓起掌来。突然，有人使坏往人群中间扔了串鞭炮，[丁岚]托举的杂技小女孩受到惊吓摔了下来。
0:25:29|0:25:33|[Han]看到[丁岚][丁菊]走后，转头对[Shen Tinyi]说。
0:25:35|0:25:48|[Shen Tinyi]摇摇头，向后退去。那，[Han]将手里的钱向上抛去，趁弟弟不注意，一个个将它们撂倒。[Shen Tinyi]则冲着口袋接住钱。
0:26:4|0:26:10|打架声吸引来[唐队长]，立毗看到后慌忙逃走，立东不知道还在继续痛揍他们。
0:27:30|0:27:44|[唐队长]走到门前注视着[小丁]岚，[小丁]岚这时也回头看见了他，两人的目光短暂的交汇又迅速的分开，[唐队长]直到看不见[小丁]岚才又离开，镜头随后来到一艘船上。
0:29:50|0:30:8|为了能赚到更多的钱重组马戏团，立东来到招工厂，他蹲在工厂的围墙边等活，脑子里不禁回想起他那一次被炮火终止的《空中飞人》表演，只见他满脸的心酸，惆怅地叹了口气，他何尝不想回到马戏团，继续自己的杂技梦想。
0:30:8|0:30:19|这时，一旁传来的说话声打断了他的回忆，不知何时，门口已经聚集了很多人，立东连忙站起来，一脸懵的看向大家，原来是招工厂的工人出来了。
0:30:20|0:30:33|他们对着墙上张贴了一张今日无功的海报，人群一哄而散，易东上前仔细打亮着海报，沮丧的叹了口气，揣着手正准备离开时，被一个坐黄包车的男人叫住。
0:31:19|0:31:34|易东打量了一下周围，最后选定了一棵紧挨着警局窗台的大树，只见他动作敏捷，攀上树干，虽说是参天大树，但他却很快爬到了树顶，随后他一个转身跳跃，安全地在窗台上着陆。
0:31:34|0:31:40|[龙舞]见他已经到达，随即露出得逞的微笑，而易东还傻乎乎地跑去另一边招呼他们。
0:31:42|0:31:55|[龙武]和手下也爬上窗台，三人鬼鬼祟祟地钻进警察局的内部，[龙武]带头来到一扇门前往里看了看，对易东说。
0:31:55|0:32:11|易东他们捏手捏脚地来到拘留室门前，他敲了敲门，里面的人闻声赶过来，易东一个转身将他按在墙上，[龙武]这时提醒他，易东取下钥匙，一个箭步冲到里面却发现。
0:32:17|0:32:33|义东打开隔壁的门，一群警察正在打牌。龙武和手下已经匆匆带人逃走，[Chiang Yitien]被一群警察围追堵截，无路可逃。
0:32:33|0:32:40|无奈之下，他对这些警察大打出手，[唐队长]文生赶不过来，他翻下楼梯堵住[Chiang Yitien]，看了眼旁边判断道。
0:32:55|0:33:6|[Chiang Yitien]一边逃跑，一边着急地辩解，可[唐队长]并不想和他多说话，两人一路从一楼打下楼梯，他们旗鼓相当，一时间竟分不出胜负。
0:33:6|0:33:19|这时，[Chiang Yitien]一把抓住二楼的楼梯把手，做事要逃走，[唐队长]反应极快，立马追上。就在[Chiang Yitien]以为自己快要成功时，两把枪抵住了他的胸膛，[唐队长]点了点头。
0:33:24|0:33:28|很快，[Shen Tinyi]和[小丁]被叫来警察局。
0:34:4|0:34:13|[Shen Tinyi]立马陪着孝上前签字，而此时，一南一西一北三个小朋友，手牵着手想上花船玩，却被卫兵拦住。
0:34:32|0:34:40|三个小朋友准备上船，[小丁]也来到这里，四处张望，像是在找什么。这时，[唐队长]拍了下他。
0:34:51|0:35:15|说吧，[小丁]又开始找。这时，酒楼的老板娘发现了三人，大喊道。[小兰]给他们做掩护。[唐队长]听到后，立马翻下桥去追。
0:35:21|0:35:28|[唐队长]提起义兮抖着抖，义男反回来想要救义兮。[唐队长]又扣住跑在最后的义北。
0:36:50|0:37:2|[沈师傅]一家开始吃饭，餐桌前[沈师傅]一直咳嗽。[丁梅]还是一脸担心，[小东]给师傅端来茶杯。
0:38:15|0:38:23|[沈师傅]说完，便带着一南一北来到了船上。船上的伙计看到他们，问道。
0:38:29|0:38:37|沈师傅点头对伙计表示感谢，他带着三个小朋友来到船舱里，伙计对着里面喊，老板，有人找你，请进去吧。
0:38:40|0:38:57|沈师傅继续往里走，[老板娘]出来开门，她看到沈师傅后目一睁，沈师傅看到她，笑容也凝固在脸上。原来，这两人曾是魔术飞刀的搭档，在马戏团时是师兄弟，很早就认识，也算是旧相识。
0:38:57|0:38:59|[老板娘]奄然一笑，率先开口道。
0:40:9|0:40:11|整天蹦蹦跳跳的，很顽皮。
0:40:56|0:41:10|[老板娘]说完走向门外，沈师傅一家的目光还盯在人家身上。很快，沈师傅率先回过神来，对着孩子们说。随即，他露出一副不好意思的样子。
0:41:13|0:41:17|[小丁]和易东一脸狡黠。
0:43:13|0:43:21|[老板娘]给沈师傅一家换了一套大房子。此刻，[Chiang Yitien]看着正在上楼的老板娘感叹道。
0:43:27|0:43:31|[小兰]望着[Chiang Yitien]的背影，神色不明地想着什么。
0:43:57|0:43:59|[Shen Tinyi]又将木枕头放回床上。
0:44:27|0:44:29|画面来到张工厂办公室。
0:45:59|0:46:15|在老板娘的帮助下，师徒三人终于找到工作，他们喜气洋洋地走出厂长办公室准备去干活。虽然活儿并不轻松，但他们脸上始终挂着笑容，没有抱怨生活的不公，反而心存感激。一天有些担心正在切割东西的师傅。
0:46:23|0:46:43|突然，一群警察破门而入，对着里面大喊道。大家都停下了手里的活将在原地，常常走下来询问。
0:47:6|0:47:25|几名工人气不过就和警察打了起来，结果都被痛揍一顿，挖在一边，[Shen Tinyi]把他们扶起来，义正言辞地站出来理论。站在一旁的[唐队长]，用手示意他们不要出头。
0:47:25|0:47:29|[沈师傅]一行愤愤不平地看着警察，这是常理管事的说道。
0:47:37|0:47:44|[沈师傅]三人闻言，面面相觑，脸上尽显无奈，此时，三个小朋友正在街上。
0:48:1|0:48:5|再次没了工作的[沈师傅]愁眉苦脸，一心缩涩着不敢上前。
0:49:31|0:49:37|第二天工厂重新开工，一天穿着工头的衣服，摇着铃铛对大家说。
0:50:22|0:50:35|一道熟悉的声音传进易东的耳朵里，他寻声望去，竟是[龙舞]。他咚的一声撂下碗筷，神情恨恨地想着什么。[沈师傅]和易天不知发生了何事，一脸懵地看着他。
0:50:38|0:50:48|[龙武]和七叔在场子里谈笑风生，这声音对于易东来说异常刺耳。他怕师父担心，不停地往嘴里扒着饭，直到再也塞不进去。
0:51:8|0:51:14|沈师傅带上易东上门算账，易东一脚踹开厂长办公室的门，冲了进去。
0:51:46|0:51:53|一番打动下来，[龙]武狼背不堪，就在易东准备将他带去警察局时，他见到门口来人，骤然眼睛一亮。
0:52:0|0:52:12|[龙]武看见救星，一下子就来了精神，他用力正开一东，躲到[龙]威的背后。
0:52:18|0:52:22|沈师傅愤怒地逞下围裙走出场子，[小丁]连忙上前追。
0:52:34|0:52:38|[小丁]一脸愁容地送易东他们出去，夜晚沈师傅剧烈咳嗽。
0:54:37|0:54:43|老板娘一脸幸福的离开，正当[丁局]得意时，[龙]悟突然出现。
0:55:5|0:55:21|[丁局]闻言，赶紧跑回来看他们的动向。他带着师弟师妹往沈师傅的房间跑去。他吹灭烛火，确保沈师傅已经睡着后，兴奋地对一南一北说。
0:55:29|0:55:39|刚安排好，[龙]武一行人便开始敲门，一南一西在门上装了一根橡皮绳，[龙]武一串门瞬间被弹飞，摔了个人仰马翻。
0:55:41|0:56:1|两人被他的囧样逗得大笑，这时，手下砍断橡皮绳冲了进来。一[南]一[西]赶忙爬上楼梯，去准备下一个机关。没被打倒的人继续向前冲，[龙]武独自一人来到一间房子，躲在床下的一[西]早已埋伏好。
0:56:1|0:56:8|他用绳子勒住[龙]武的脚，对方瞬间摔倒在地。一[西]还不解气地踹了他一脚，大笑着跑出门。
0:56:10|0:56:25|[丁菊]和[易北]在房间内布置着另一个机关。这时，一伙人追着[易南]不放，只见[易南]攀上横杠，借着荡下来的力，狠狠地踹在几人的胸膛上。几人不服，结果又被打了一顿。
0:56:33|0:56:47|[奕西]爬上阳台的石栏杆，[龙]悟想抓他，却被[奕西]一个跳跃躲过，随后他拽住垂下来的布绳绕在胳膊上，顺势荡下来狠狠地踹上[龙]悟的脸。[龙]悟爬起来想追，可[奕西]早没了踪影。
0:56:49|0:57:2|义南这边还没结束，只见他轻快地在竹竿间跳跃，手下在下面笨拙地来回回到追赶。他们追不到义南，便气急败坏地砍下竹竿，直至义南轻快地跳到另一边并放话。
0:57:9|0:57:30|这群人不服气继续追，殊不知，盯局的陷阱正在等着他们。只见[Shen Tinyi]一南一西一北从黑幕中钻出来，对着他们就是一阵拳打脚踢，打完之后又走进黑幕，几人在原地目瞪口呆，还不知是谁打了他们。
0:57:39|0:57:57|[小丁]局几人将[龙武]他们包围在中间，火箭筒点燃，火花在他们脚底炸开，几人如跳踢踏舞一般地躲避着火星，最后实在招架不住想逃跑，[小丁]局才不想就这么便宜了这群人，带着大家钻出圆筒拦住去路，[龙武]被他们折腾得够呛。
0:58:8|0:58:13|[小丁]把他们都塞进火箭桶里，满脸坏笑的准备点燃引线。
1:0:4|1:0:20|义东听见师父的话，愧疚又添了几分，一时间僵在原地，不知该走还是该留。他看向[丁岚]，脑子里又浮现出他们一起排练马戏的日子。那时，自己是如此意气风发，他和[丁岚]的配合是多么默契。
1:0:21|1:0:36|如今，她还没有完成一次正式的空中飞人演出。她不想放弃，[Chiang Yitien]决定留下一起重组马戏团。她放下手中的行李，打消了要走的念头。房间里，[小梅]愁容满面地坐在床上。
1:1:34|1:1:41|[小丁]将自己蒙在被子里，一天无奈地叹了口气，画面来到工厂。
1:2:14|1:2:26|虽然如此，[Chiang Yitien]还是毫不犹豫地开始试验。他用桌上的烛台把烟点上，泄力一口之后面目开始扭曲，但[Chiang Yitien]还是把那口气咽了下去。
1:2:26|1:2:29|次日清晨，[Han]对[Chiang Yitien]说。
1:2:53|1:2:58|这是一辆豪车开进招工厂，开门的工人为他们打开门，点头哈腰的问号。
1:3:2|1:3:16|就在大门马上要关闭时，[小丁]赶过来。他钻进大门，又开始实验。实验室内烟雾缭绕，这时，一个人剧烈咳嗽，[Han]赶忙吩咐手下。
1:3:21|1:3:33|[小梅]一脸痛苦地继续坚持着，但辛苦总算没有白费，她终于买回了[小丁]梦寐以求的梳妆台。她背着梳妆台小步地向前挪动，十分地开心得意。
1:3:46|1:3:50|说完，[小梅]转过身。这时，[丁岚]走过来递给她一封信，
1:3:56|1:4:9|[小梅]用嘴接住后，随后扛着梳妆台往房间里走去。她将梳妆台摆好，还细心地将镜子擦了擦。忙完后，[小梅]坐下来打开那封信看了起来。
1:4:17|1:4:30|[小梅]的神情变得慌乱，双眼里蓄满了泪水。这边，[小丁]带着大家来街上找[小梅]，他们毫无头绪地边走边看。这时，[小丁]若有所思地停下脚步。
1:4:41|1:4:45|[小丁]交代完便独自离开。
1:4:47|1:4:57|[小丁]想去警察局找[唐队长]帮忙，到门口后，往来的警察让他脚步迟除，但最终还是鼓起勇气走进大门。
1:5:42|1:5:55|说完，[唐队长]就马不停蹄地前去安排。与此同时，[Chiang Yitien]一个人走在大街上，双手插兜满面愁容。跨过工厂时，正巧看见有个覆盖白布的人被推出来，推车的人边走边抱怨。
1:6:3|1:6:18|[Chiang Yitien]顿感不对，想去一探究竟，门却被锁了。他看了眼围墙，果断翻身上去。进了大门后，他顺着运送货物的通道爬入了工厂内部.他先是仔细观察周围，确保安全后才翻身下来。
1:6:18|1:6:24|随后，他搬起一袋东西扛在头顶，假装成这里的工人悄悄地往里面走去。
1:6:28|1:6:41|他进入一个房间后躲在门背后，等人都出去后，[Chiang Yitien]走出来掀开堆放在这里的箱子，只见里面整齐地排列着各式各样的枪支，另一个箱子里全是手榴弹。
1:6:41|1:6:47|[Chiang Yitien]大惊失色，觉得这个工厂一定还有其他的秘密，于是连忙合上箱子往外走。
1:6:49|1:7:3|接着，[Chiang Yitien]来到一个分为因子的房间里，他轻轻地把门推开个缝，透过门缝，他看到一个外国人正拿着烧瓶做实验，烧瓶里全是不明液体，看起来非常诡异。
1:7:3|1:7:5|[Chiang Yitien]关上门继续往里走。
1:7:6|1:7:14|这个房间有道暗门，[Chiang Yitien]本想查看，却有人走进来。[Chiang Yitien]装作若无其事的样子向他问好，但还是被他发现端倪。
1:7:20|1:7:34|顿时，周围的人拿着菜刀斧头朝[Chiang Yitien]砍来，[Chiang Yitien]被他们围在中间，一众我管，一时间局面很是被动，这时，他看见头顶用来运送东西的吊车，心生疑忌。
1:7:34|1:7:40|他先是一个横扫，将四周的敌人清理干净，此后奋力一跳，扒住吊车趴在上面。
1:7:44|1:8:1|易东速度太快，底下的人还没反应过来。只见这群人疯狂地扑向吊车绳子，原本正在往前的吊车被他们拽得动弹不得。易东再次跳到一个大架子上，拽着来时的绳子成功逃脱。
1:8:1|1:8:6|就在这时，[唐队长]欣喜地将[小丁]叫来检察局。
1:8:26|1:8:36|马力行人正在搜老板娘的传器。彼时，[唐队长]正带着[沈师傅]一家往这边赶来。手下看到后，联盟给马力报信。
1:8:41|1:8:59|[沈师傅]和[丁岚]开门进船，结果眼前的场景让他大惊失色。[丁岚]慌忙进门查看。只见玛丽挟持着老板娘，[龙舞]挟持[丁岚]，从船舱中走来，一动愤愤地说。
1:9:11|1:9:27|这时，[唐队长]头头绕去后门，他出其不意地踹开[龙舞]，两人着急应付，放开了[老板娘]和[小丁]。[老板娘]看见[沈师傅]，感动得摇摇头。这时，[唐队长]被几人围攻，但都被他有力地全法制服。
1:9:30|1:9:43|[玛丽]和[易东]进行单挑，两人从船舱打扒甲板，[易东]拳法拟捷，见招拆招。[玛丽]虽然都能招架得住，但看起来实在有些明抢，逐渐处于下风。
1:9:43|1:9:49|兵来一对三，那些人根本不是她的对手，她一个下劈腿就将那几人狠狠地踢翻在地。
1:9:50|1:10:5|[唐队长]这边情况更是乐观，[龙母]在他面前就像是练功用的木头人一般，不用怎么费力就将他打得落花流水，全身上下都被打了个遍。[马力]逐渐处于下风，手下健壮立即赶来护在身边。
1:10:7|1:10:22|几名手下应声而出，虽然[易东]武艺高超，但毕竟广播敌众，打起来有些吃力。[小丁]刚解决一波，又来一波，只见他敏捷地闪躲，趁敌人不备，跳上桌子，一脚踩在他们手上，随后还不忘补上两圈。
1:10:23|1:10:42|易东这里异常混乱，阵阵刀光剑影中，他和敌人身影互相交错，速度极快。敌人接二连三地过来，易东抓住绳子荡荡二楼的窗台，占据地形优势后，他更加游刃有余。手下一一被他解决，逼得[小兰]不得不亲自和他打。
1:10:42|1:10:59|两人出手犹如电光火石，招式快速变换，但很明显易东更胜一筹。船的另一侧，易东先将敌人引到拐角，[小丁]早已在这里埋伏好，一个外摆腿将敌人踹翻在地，他得意地探出头看了看。
1:10:59|1:11:11|[丁岚]刚想出门，就见三人从门外进来，他利落地使出一套左右勾拳，外加一个后踢腿，三人瞬间被打趴在地，易西虽然年纪小，但也制服了一个敌人。
1:11:13|1:11:29|另一边，[龙武]被重重地甩在栏杆上，[唐队长]不给他任何喘息的机会，快步走上前又是一拳，对方被打得在空中转了一圈，直直地摔在地上。慌乱中，[龙武]想要逃跑，他不顾尊严，快步向前爬去。
1:11:29|1:11:40|[唐队长]追上去，却被警员抓住，他只好先解决敌人。马力还在和易东搏斗，易东把他逼至栏杆边，结果他不死心，转而跳上船的桅杆。
1:11:41|1:11:58|义东立刻反应，抓住桅杆边的绳子，继续和他搏斗。[龙]舞被[唐队长]追得无路可逃，硬着头皮跳进河里。玛丽见大势已去，滑下桅杆想要撤退，义东却更快一步将她扣住。她却还在努力站脱，妄想逃走。
1:11:58|1:12:21|[唐队长]见状，赶来帮忙，彻底将她压制住。义东松了口气，玛丽则一脸不甘心。[唐队长]，[沈师傅]扶着老板娘缓缓走出船舱。画面来到工厂，一天还在做实验，但脸上却不再痛苦，咽下那口烟反而变得很享受。
1:12:21|1:12:23|另一边，[唐队长]送[小丁]回家。
1:12:34|1:12:41|说话间，两人脚步一停，只见易东歪在墙边睡得正香。[唐队长]对[小兰]说。
1:12:51|1:13:1|易东醒后，起身追上去。说完，易东一脸粗犷地向[小兰]走来。[小兰]倚在墙边，细细地看向他。
1:14:28|1:14:33|易东缓缓走到易天身边蹲下，轻声安慰他。
1:14:56|1:15:1|一天最后无力地趴在这里睡去。此时此刻，警察局里危机四伏。
1:15:21|1:15:27|[唐队长]进来后环顾四周，[龙]威和欧文齐齐地看向他，他停顿了一会儿，向局长敬了个礼。
1:16:16|1:16:25|两位暂且息怒，再不放人，一切后果由你负责，[唐队长]没有解释，转身就走。
1:16:31|1:16:33|[唐队长]听后面色凝重。
1:16:34|1:16:52|画面来到实验室，吸烟上瘾的[Chiang Yitien]偷偷地把手伸向隔壁桌子上的烟，突然一只手抓住他怒吼道。[Chiang Yitien]的手被用力掰至脑后，没过一会儿，他便被人扔出来。
1:16:52|1:17:2|被赶出实验室的[Chiang Yitien]趴在栏杆上怆然若失。画面来到办公室，玛丽正在选烟，她挑了两根拿给[龙威]，[龙威]闻了闻后对七叔说。
1:17:20|1:17:30|被赶出去的[Chiang Yitien]，仍然不死心，他趁四周没人，偷偷返回实验室找烟。没有做过坏事的他异常地谨慎，在门口观察了半晌，才赶进去。
1:17:31|1:17:52|他悄咪咪地进来，看桌上没有，又趴到桌子下面翻着空烟盒。他动作鲁莽，往日的温润不复存在，他终于找到了一根。他没来得及放进嘴里，门却开了，一帮人走进来看见他。他们对着一阵拳打讲题。
1:17:56|1:18:18|[龙]五知道后，又重重地踢了一脚，响声惊动了[玛丽]。他拉开窗帘查看，[龙威]询问道。一天已经被[龙]五几个打得浑身是血，[玛丽]不急不缓地打开窗户喊了一声。
