0:1:45|0:1:50|[黑羽]族生活在天都城。
0:22:5|0:22:23|就在众人的哄笑中，[黑羽]和[泥空空]被众虎牙关入劳车之中，押解回城。[杨震虎]在百姓中的地位很高。本来热闹且拥挤的大街上，因为[杨震虎]部队的到来，瞬间变得清静。人们狠手规矩地退到两边，向部队鞠躬。
0:22:23|0:22:28|而在劳车中的[泥空空]，嬉笑地看着百姓们，随后对[黑羽]说。
0:23:28|0:23:55|不久后，二人便被关入地牢，并拴在同一根铁链上。虎牙二人光顾着议论，丝毫没有察觉到牢门钥匙已被偷走，因为地牢中过于狭窄，二人的距离也挨得很近。你空空看着面容交好的黑影，细血地说道。
0:24:6|0:24:17|就在二人打斗之时，天都城的王子赫利打开门跳了进来。
0:24:34|0:24:41|赫利和[黑羽]的打斗，让[泥空空]痛不欲生。他看二人无休水地打斗，见大海温生。
0:25:17|0:25:19|[泥空空]看着[鹤影]的玉佩说道。
0:25:57|0:26:7|随后，[泥空空]便向二人悄悄说着他的完美计划。与此同时，远在天都城外围的深山中，雪猎看着天空之眼对从未失手的[风啸]说。
0:27:27|0:27:37|欧卡在地牢的墙壁上挖出个小洞，并将盒子偷出来，递给了[泥空空]。[泥空空]看着[黑羽]受伤，想为其止血。
0:27:42|0:28:1|知晓[泥空空]的用意后，[黑羽]也放开手。他刚睡醒，看着已经被打开的铁链，有些难以置信。这时，[泥空空]坐在地上脱下靴子，从靴子里拿出止血药，准备为[黑羽]涂上。可刚一伸手，又被[黑羽]打了。
0:28:8|0:28:22|[泥空空]拿着药包闻了闻，自己也皱起眉头，随后又闻了闻自己的靴子，尴尬地笑出声。[黑羽]虽然嘴上说着恶心，但不停往外溢出的鲜血，让他不得不接手[泥空空]的止血药。
0:28:22|0:28:30|[泥空空]为[黑羽]涂完药并包扎好，但手不老实的他打开了[黑羽]的衣服，看见了羽人要长出翅膀的刺孔。
0:28:40|0:28:51|[泥空空]坐在一边，不高兴地将空药包扔在地上。[黑羽]见状没有搭理他，开始闭目养神。这时，[泥空空]又问到一旁的[黑羽]。
0:29:16|0:29:22|二人四目相对许久，[黑羽]看[泥空空]的眼神格外坚定，便对她说道。
0:29:49|0:29:58|贺力袭击了两名囚犯，并将衣服剥下来丢给二人。就这样，贺力伪装成虎牙，押着两名囚犯，大摇大摆地从牢里往外走。
0:30:32|0:30:38|这时，雪猎的手下伪装成虎牙，押着雷豹几人混进了镇虎司。
0:31:8|0:31:12|刚走入地牢拐角，[雷暴]几人和[泥空空]三人刚好迎面相撞。
0:31:29|0:31:47|两拨人越走越近，因为都是做了伪装，这些人的心中多少都有些害怕。走在前面的[泥空空]和[黑羽]，更是作贼心虚地低着脑袋。[泥空空]用余光看到了囚犯中长相奇丑的[雷暴]，顿时回忆起当晚在郡王府的事情。
0:31:47|0:31:51|[泥空空]虽然心中不爽，但为了不暴露，还是向对方道歉。
0:32:0|0:32:3|[泥空空]不时地回头看去。
0:32:13|0:32:18|[黑羽]看见杨镇虎，正从前方的台阶上走下来，便伸手拦住[泥空空]。
0:32:48|0:33:3|因为杨振虎的突然出现，让原本都快走到门口的三人被迫掉头选择小路前进。与此同时，混进振虎寺的[雷暴]几人已将政务室翻了个顶朝天。
0:33:16|0:33:21|走小路三人的这边进展也不顺利，几人面前出现了大量的侍卫。
0:33:26|0:33:30|[黑羽]摇摇头，[泥空空]见状，思考片刻后说。
0:33:54|0:34:7|[泥空空]完美的计划竟然是用自己引诱走风梯的侍卫，从而掩护二人逃跑。二人见数十名侍卫一同追着[泥空空]，便也不能浪费大好的时机，四目相对后朝着风梯冲去。
0:34:7|0:34:15|不亮，增援的侍卫刚好赶来，一箭便将赫立的头盔射掉，好在[黑羽]身手非凡，几下将其一料到。
0:34:24|0:34:48|侍卫箭杖及时敲响警报锣，[杨震虎]也赶到现场。这时，在政务室的语言，听到锣声急忙向[雷暴]禀报。[雷暴]醒后，立刻掏出自己的铁索巨斧，严肃地看着大门。手下箭杖也停止翻掌，随即各自掏出武器沿阵以待。
0:34:51|0:35:8|大门被霓虹虹用力推开，[雷暴]见只来了一个手无寸铁之人，便颇感疑惑。片刻后，数十名侍卫赶到了政务室，他们追到门口时，也被[雷暴]几人吓了一跳。
0:35:18|0:35:32|[雷暴]二话不说闪出巨虎，铁链也从斧筒中脱壳而出，[泥空空]迅速一跃而起，又从袖筒中射出飞索，躲过这致命的一击，而他身后的三名侍卫就没那么幸运，被巨虎一同奔飞出去。
0:35:34|0:35:51|随着[雷暴]的主动攻击，两拨人的战斗也正式打响。顿时，阵容室仿佛变成了乱斗场，柜子中的各类信件资料等被打得漫天飞舞。[雷暴]靠着一只巨斧将身经百战的士武几乎砍杀殆尽。[泥空空]也加入战斗。
0:35:51|0:36:2|就在他酣战之时，怀中的盒子不慎从二楼掉到了地上。清脆的声音让[雷暴]也看向盒子。他刚要扑向盒子时，[泥空空]抢先一步捡了起来。
0:36:7|0:36:14|[雷暴]扔出巨斧，将[泥空空]从楼梯打到了地上。而这时，恰好手持长柄刀的[杨震虎]及时赶来。
0:36:17|0:36:25|[杨震虎]一生命下后，便和侍卫们一同冲了上去。[杨震虎]武艺高强，他加入的瞬间扭转了局势。
0:36:25|0:36:35|刚才还嚣张跋扈的羽人，现在被[杨震虎]一刀一个，而[雷暴]丝毫不管手下人的死活，仅仅追着[泥空空]，试图从他手中夺回所赠。
0:36:36|0:36:47|[泥空空]被[雷暴]紧追不舍，从二楼追到了一楼，又从一楼追到走廊。[泥空空]只能依靠身上的钩索，狼狈地在楼道中上下穿梭，试图甩开[雷暴]。
0:36:47|0:37:0|[杨震虎]加入战斗，片刻便将一名士兵全部消灭，最后直奔[雷暴]而来。气喘吁吁的[泥空空]，见[杨震虎]前来，便以下演了精神，一改刚才的狼狈模样，挑衅般地看着[雷暴]。
0:37:0|0:37:16|[雷暴]人如其名，脾气格外暴躁，看到[泥空空]对自己如此嘲讽，便抡远了斧头，朝[泥空空]的头上砍去。还好[杨震虎]及时出手，用刀柄将[泥空空]拖到一边。巨斧的这一击，也将石墙劈开了一道裂缝。
0:37:16|0:37:20|[杨震虎]见[雷暴]竟有如此这般的力气，并不敢轻敌。
0:37:20|0:37:39|摆开架势准备战斗，[雷暴]自然也是不惧，不管来人是谁，就用巨斧打起了招呼，而这时，恰好[泥空空]怀中的盒子又掉在了地上，眼里只有盒子的[雷暴]，瞬间没了战意，心中竟是如何把盒子拿到手，简单的和[杨震虎]过了两招。
0:37:39|0:37:56|附身想拿起盒子，而[杨震虎]抓住机会，一脚将[雷暴]的头踢在墙上，刚到手的盒子又飞了出去，被[杨震虎]用刀截住，不曾想，[泥空空]突然抢走盒子，又冲出了走廊，[雷暴]见状立刻起身去追，可无奈[杨震虎]紧追不舍。
0:37:56|0:38:9|于是，[雷暴]走出走廊后，回头砍断石柱，让掉落的巨石困住了[杨震虎]。另一边，[黑羽]二人也将封闭的守卫逐一打印在地，[鹤影]立踏上封梯，急切地说。
0:38:45|0:38:56|[黑羽]话音刚落，不亮，[雷暴]的飞斧从封梯顶部砸了进来，并紧紧地勾住封梯，并且，[雷暴]用铁链将封梯不断地向下转。
0:38:57|0:39:9|[黑羽]说话，三人便翻到了封梯顶部，[黑羽]见[泥空空]和赫莉，抓紧了上升的绳索。变异刀将其砍断，没了绳索的牵引，[欧熙]瞬间朝[雷暴]走去。
0:39:9|0:39:22|[欧熙]从高空坠落，直接将[雷暴]淹没，三人很快便到达了镇虎斯的顶部。三人拿着铁钩，从滑索飞速滑到另一座高楼上。
0:39:33|0:39:49|在镇虎寺外的欧咖抬头看到逃走了[泥空空]三人后，自己也从墙上爬了下来，缩成群众朝[泥空空]的方向追去。这时，被救出来的[杨震虎]才带队栓栓来迟，他看着已经逃走的三人，愤怒地大喊着。
0:39:52|0:40:5|几人逃走后，便从岸边偷了条船，往夜找地穴的方向走去。第二天一早，三人已经飘到了地穴外围。这里的山峰上，到处都是巨型的怪兽石雕，让人不寒而栗。
0:42:12|0:42:23|转眼间到了夜晚，三人乘坐的小船还在河中缓缓前进。[黑羽]睡不着，独自在船头看着项链沉思。这时，[泥空空]从船舱走出来问道。
0:42:45|0:43:13|[黑羽]着急地抢回项链，便直接动手。[泥空空]跳到船帆上，[黑羽]想都没想，立刻扑了上去。二人打斗间，[黑羽]将[泥空空]的手套拽下，手性的秘密被暴露后，[泥空空]恼羞成怒地向[黑羽]走去。
0:43:19|0:43:37|[泥空空]一先想抢回拳套，一改刚才的形象萌样，拳脚也变得更重，他用力举起[黑羽]，摔在船上。可无奈，[黑羽]比他强大，他被用脚锁住脖子摔了出去，再次起身的[泥空空]生气地将项链扔到船上。
0:43:40|0:43:48|不料，项链被摔坏了，[黑羽]健壮，瞬间怒火蒸烧，也不再联手。凌空一跃，玉角将[泥空空]，险些踹下船舱。
0:43:53|0:43:59|[黑羽]急忙跑向项链，而此时，项链散发出巨大的能量，随后升到了半空中。
0:44:4|0:44:18|只见升到半空的项链，从破碎的地方涌出如银河一般绚烂的花粉，围绕在项链的四周。[泥空空]双手紧紧握住船沿，费力地向船上翻越，可[黑羽]根本顾不上管他。
0:44:18|0:44:35|就在这时，悬浮于半空的星流花粉瞬间将[黑羽]环绕，并钻进了他的翅孔。巨大的能量涌入，让[黑羽]瞬间晕倒在地上。[泥空空]见状，急忙跑上前。项链失去能力，掉在船上。
0:44:35|0:44:47|[泥空空]回头捡了起来，可当他再次回头时，昏迷的[黑羽]竟在星流花粉的作用下垂直向空中升起。[泥空空]握紧他的脚踝，但强大的能量将二人一起弹飞。
0:45:1|0:45:9|[飞龙]顺着乌卡的眼神望去，只见二人已经松到了数十米的高空之上。
0:45:20|0:45:35|二人越升越高，[泥空空]用双臂紧紧地抱住[黑羽]的双腿，不停地哀嚎阵。就在这时，星流花粉与[黑羽]彻底融合，只见[黑羽]的背后伸出一对硕大的羽翼。[泥空空]见着，更是惊呆到说不出话。
0:45:35|0:45:54|片刻后，[黑羽]也逐渐有了意识，当他张开眼时，发现自己身处于百米的高空，也瞬间慌了神。看到自己身后的翅膀，更是不知所以。他慌乱地想要控制翅膀，可他第一次飞行，根本不能同时控制双翼同频扇动，慌乱之间。
0:45:59|0:46:15|二人都在飞速下坠，[泥空空]在慌乱间找到了方法，他奋力地朝着[黑羽]滑去，费尽周折后，终于趴到了[黑羽]的后背上，只见[泥空空]双手握紧[黑羽]的翅膀，随后用尽全身力气向后摆，终于帮助[黑羽]成功展翅。
0:46:16|0:46:33|而自己也被翅膀震飞出去。好在坠落时，[泥空空]及时射出钩索，使自己拴在了[黑羽]的脚踝上。这一番操作后，二人从刚才的云霄中已经跌落至峡谷之间。刚刚可以控制双翅的[黑羽]还在努力地练习飞翔时。
0:46:34|0:46:54|丝毫没有注意到自己已经身处迷幻的危险丛林之中。这丛林十分奇幻，到处都是绚丽的泡泡。[黑羽]穿过丛林后猛然发现即将要撞在山顶上，这才想起要飞上去，但还是在山顶一头栽进了树里。好在二人并无大碍。经过了奇幻的一晚后。
0:46:54|0:47:6|[泥空空]颇显疲惫。他升起火堆在一旁休息，而刚长出翅膀的[黑羽]则格外有精神。短暂的休息后，便继续在空中练习着飞翔。
0:47:22|0:47:40|[黑羽]见证，抢过酒壶，直接灌了一大口后被呛到。[黑羽]被白酒辣得够呛，半天都说不出话。他擦了擦嘴，坐到了[泥空空]一旁的石头上。
0:47:40|0:47:48|这时，[泥空空]也往近凑了凑，并从怀里掏出了[黑羽]那被摔坏的项链递给他。
0:48:54|0:49:1|你空空掏出盒子在手心晃了晃，盒子每次经过掌心的裂缝都会格外的闪亮。
0:49:59|0:50:11|[黑羽]用钩索勾住[泥空空]的腰带，还没等他反应过来，便直接朝牧船飞去。第二天一早，[鹤影]问[泥空空]，那两人又飞哪儿去了？
0:50:24|0:50:37|刚要生气的[泥空空]被逗乐，示意[鹤影]须生，一道倩影煽动着双翼落在船上。原来，[黑羽]前去查探情况，向二人介绍道。
0:50:44|0:50:58|不觉中，小船驶进了诡异的山洞。河流穿过狭长的山洞，骑士怪风在山洞内地红穿出来。临近众人才发现洞中有一小岛，岛上的人们歌舞升平，毫不快活。
0:50:58|0:51:6|朴素的乐器却奏出热闹的气氛，篝火摇曳，美人拧动了腰枝，壮汉享受着美酒，三教九流在此汇聚。
0:51:45|0:51:50|说法，三人开始分头行动。另一边，[江城子]府内。
0:51:54|0:51:57|[黑羽]取走了一件宝物。
0:52:8|0:52:30|与此同时，夜找地穴的赌场中人声鼎沸，热闹非凡，危险却悄悄靠近。[黑羽]族派出无数[飞龙]穿越山洞隧道，直抵夜找地穴。赌场里的狂欢赌徒疯狂呐喊，对于即将到来的威胁全然不知。
0:52:37|0:52:41|赌场热辣的主持公布了赌局的结果。
0:52:47|0:52:58|端着美酒的[泥空空]不知什么时候也加入了其中。[泥空空]隔着石头窗户竟看到了恶龙。他刚一挑逗，却被人拽了回来。
0:53:1|0:53:7|说完，便仰头大喊起来。面对贺绿的质问，[黑羽]转身要走。
0:53:25|0:53:34|贺力被[黑羽]当场踹飞，不服气的贺力冲上来反击，却被[黑羽]再次踹倒，[泥空空]赶来拦住贺力。
0:53:49|0:54:11|人群中，一个叫花子看到这一幕，朝外走去，来到廊桥上，拿出了腰间的布袋，还没打开就被[黑羽]摁住。[黑羽]夺过布袋，穿山甲将乞丐撞翻，接着[泥空空]补了一门棍，将其砸下桥。贺力走来踩住乞丐的胸口。
0:54:11|0:54:15|[黑羽]一跃下桥，撸起乞丐的袖子，里面竟是怪异的纹身。
0:54:23|0:54:49|贺力说完，不屑一顾地站起身。[泥空空]走来，将对峙的二人分开。不服气的[赫利]只能作罢。原来，在赌场后方，还有一个阴暗可卧的囚牢，四处横着藤蔓和瓦石。怪物的叫声吓坏了[赫利]。
0:54:49|0:54:58|三人向前，发现囚犯们都被铁链锁在凿空的石头中。众人上前。
0:55:2|0:55:20|[黑羽]急忙蹲下身，轻拍着老元。老元打了个九格，气味难以言喻。三人正要打开铁链时，出了意外。天浅士兵横轮巨虎，被[泥空空]扬身躲过。
0:55:20|0:55:26|士兵顺势朝[赫利]杀来，旁边的[黑羽]一跃将敌人踢到墙上，[泥空空]冲来。
0:55:31|0:55:50|回头又有敌人杀来，一共攻一个剪刀腿将其制住。准备偷袭的敌人被欧卡撞倒，敌人越来越多，[飞龙]随即挑起地上的宝剑，使出仙人指路和回首望月将敌人撂倒，残兵败将们借机重振起伏。
0:55:50|0:55:56|人群中，走来一位披着长袍的光头，头上还有怪异的纹身。
0:56:1|0:56:11|光头怪叫一声和甩掉长袍，奉着滑稽的步伐跳到[黑羽]面前。[黑羽]当即拔刀，[泥空空]走来。
0:56:29|0:56:34|光头再次推开[泥空空]。
0:56:52|0:56:59|[泥空空]刚出头，就被光头推开。光头转身，一脸正色地走进[黑羽]说道。
0:57:42|0:57:55|[泥空空]和[黑羽]不约而同转向了贺丽。贺丽一愣，摊开双手。[黑羽]和[泥空空]点了点头。
0:58:2|0:58:9|说吧，光头带着手下离开。剩下老李三人，[泥空空]转身，间隙隙地来到[黑羽]面前，摇头晃脑。
0:58:11|0:58:34|[黑羽]一脸厌烦。另一边，光头正端着美酒和一只小猪队友。说吧，他仰头惯下，却被人从背后推倒。光头怒气冲冲地转过身，竟是身着妩媚长裙的[黑羽]。
0:59:1|0:59:7|[黑羽]愤怒地刷碗，将光头下的意哆嗦，隔了半会儿才想起这是自己的地盘。
0:59:8|0:59:26|于是[光头]起身，提好裤子端起酒壶倒酒，却发现酒壶不知何时已被喝空。[光头]起身回去盛酒，[黑羽]慌张地回身看向[泥空空]，二人一阵挤眉弄眼，被[光头]当场发现。
0:59:34|0:59:54|[光头]刚要上前，却被[黑羽]扭出手腕。刚要帮忙的手下被[光头]喝退，[光头]摸了摸脑袋，尴尬地朝[黑羽]笑了笑。手下见状，放下戒备退下了。[光头]朝着冷艳的[黑羽]语言又止。
1:0:16|1:0:34|贺丽解开布袋，飞出一只心情模样的怪虫，扑腾了几下翅膀，当即飞走。贺丽做了亏心事，回到屋里找队友，左顾右盼，生怕自己被发现。见[泥空空]还在原地，自己才安静地坐下，而[光头]已经被忽悠得喝了好几壶绿酒。
1:0:39|1:0:42|[光头]把另一个酒壶使劲往[黑羽]怀里推去。
1:0:48|1:1:6|这可急坏了桌前的[泥空空]。光头看了妖娆的身段，摇曳的酒壶，兴奋地哼起了歌。[黑羽]一口气做完，砸了酒壶，做事要吐。[黑羽]逃跑，光头穷追。
1:1:15|1:1:30|光头顿时更生气了。身后的手下再一次被喝退，剩下赫利坐在石头上把完整玉佩盯梢，不留神却被光头悄悄近身，光头的眼睛被玉佩所吸引。赫利回身被吓一跳。
1:1:33|1:1:37|另一边的[黑羽]正在[泥空空]的搀扶下，扶墙救兔。
1:2:34|1:2:36|后来因为好色贪杯被革职。
1:2:46|1:3:0|另一边，喝醉酒的[黑羽]撒起了酒疯，要找光头拼命，[泥空空]却拦不住。有小兵趁机下黑手，[泥空空]急忙拢住[黑羽]，挡了一棍子。
1:3:3|1:3:14|[费宇]的举动像是导火索一般，点燃了整个地球舞会。三教九流更是有仇报仇，有怨报怨，[光头]却冷住[鹤影]。[费宇]赶来。
1:3:24|1:3:43|却看到[光头]跪在地上，死死抱着[赫立]，气氛突然胶着，[黑羽]以为撞破二人的防势。[赫立]笑着缓解气氛，[光头]的[江城子]趁机起身。[泥空空]挡住[黑羽]的眼睛。
1:3:43|1:3:48|手下侍卫这才山上来迟，对[泥空空]和[黑羽]刀剑相向。
1:3:55|1:3:58|[江城子]走上前，拍拍他的肩膀。
1:4:13|1:4:16|[江城子]扭头刚要出门，突然回头开始解释。
1:4:20|1:4:28|[黑羽]被吓得花容失色，当场打断。[江城子]也不多说什么，率先出门。[泥空空]有些不敢相信地问道。
1:4:33|1:4:42|[泥空空]有些不敢直视贺力。贺力走上前，刚要伸手搭上[泥空空]的肩膀。
1:4:51|1:5:0|说完，拽着喝醉的[黑羽]逃走。刘夏赫利愣在当场。老袁被一盆水泼醒，不满地叹息道。
1:5:5|1:5:7|换好衣裳的[黑羽]跑来。
1:5:14|1:5:32|[泥空空]蹲下身，掏出宝物。老元正了正，接过宝盒，拿到手上仔细查看一番，又看着上面的花纹有几分熟悉。一行人跟着老元来到住处，室内错综复杂。
1:5:37|1:5:40|几人一跃跳进石窟深处，发现别有洞天。
1:6:24|1:6:33|[泥空空]毫不含糊打开了这本巨大的古籍，掀起一阵尘埃，几人凑近翻阅着羊皮古书。
1:6:43|1:6:56|老元将它朝着宝盒底端插了进去，轻轻一转，宝盒机关被触发，里面的光球唤起了霓虹般的回忆。
1:7:9|1:7:27|人与大战时期，[黑羽]屠杀蛟人部落，得到了蛟珠和黄金圆盘，可以开启天空之眼，召唤成千上万黑暗恐怖的飞魔。
1:7:39|1:8:2|人皇派遣一名勇士潜入了天空城。当胶珠再一次散发光芒时，勇士奋不顾身夺取胶珠。人族大军联合善良的羽人乘虚而入，战胜[羽皇]。胶珠被封印，那位勇士从此消失。
1:8:29|1:8:37|为什么每次我的手，一接近的时候，老袁抓住[泥空空]的手，刚要端详。忽然，石洞外传来了动静。
1:8:39|1:8:51|[黑羽]掏出匕首直插胶珠，可胶珠连同盒子一起剧烈地抖动起来，竟直接将[黑羽]手上的匕首晃断。[黑羽]只能先将盒子关上，准备应对敌人。
1:9:7|1:9:16|一阵阴风，吹灭了山洞的火花。披长发，穿铠甲的[风啸]从天而降，傲视全场。[黑羽]惊讶道。
