0:0:49|0:0:53|环境优美的山间，喇叭声响彻村里的各个角落。
0:5:51|0:6:13|另一边，眼镜男背着大包徒步走进村子，在村口洗衣服的人好奇地看向他，他没有停留，大步走上楼梯，洗衣服的大娘见状给他打招呼。村里的大爷牵着牛走下楼梯，眼镜男往旁边一侧给大爷让路，然后朝着村子走去。
0:6:14|0:6:30|画面一转，院子男搭乘三轮车来到村口，前方因为石头阻挡，无法继续前行。接着，他一个箭步从车上翻下来，走了两步，看了一眼停在面前的小轿车，然后头也不回地跑向村子里。
0:6:30|0:6:42|眼镜男来到十八栋村村委会，房子上吊着许多被绑起来的棉被，他仰头看着整个房子内的环境，这时，一旁的村民过来招呼他。
0:7:17|0:7:27|另一边，辫子男在村里大喊。随着他的喊叫，身后也聚集了人群。
0:7:37|0:7:47|辫子男带领着人群，一步步朝着村子里的最高处走去。走了一段路后，他和身后的人都加快了脚步，大步大步地跨着楼梯。
0:7:54|0:8:1|屋里的二人正绑着刚从悬崖里救下的猪，听到有人喊自己的英联歌，起身走向门外。
0:8:10|0:8:25|[杨英华]听完皱着眉头，从一旁柴火里抽出一把镰刀就往外跑去。屋内，刚绑完珠的[杨懒]出来看到这架势，都吓得睁大眼睛，一脸不可置信。
0:8:31|0:8:51|辫子男追着[杨英俊]来到了一个拐弯处，遇见刚给丈夫送完饭的[麻妹]。听完辫子男的话语，她立马背起身边的小女孩，就往丈夫那里跑去。[杨英俊]随即扔下门帛，向外面跑去。
0:8:51|0:8:54|居委会里的人听见叫喊声，也连忙跑了出去。
0:8:59|0:9:12|[哑巴哥哥]手举镰刀，大步奔跑在村子里的道路上，村民们也在他身后追赶着。从地里赶来的[杨英俊]，在一个拐弯处遇见了英连哥，并抓住了他拿镰刀的手腕。
0:9:31|0:9:46|说完，[杨英俊]拉着英联哥离开，人群中刚刚和英联哥保住的老师男立马晕了过去。[杨英俊]和英联哥搭乘着三轮车赶往集市。
0:10:5|0:10:10|小薇薇听见叫喊声后，扭头看向来人，然后立马对着身旁的男人说道。
0:10:26|0:10:36|令连哥快步走向二人，拿起旁边小伤犯的东西，就砸向是右朝人。女儿小薇薇在后面挤脱，也没能结束这场闹剧。
0:11:2|0:11:12|英明哥先是指着对面的施佑成，接着用手语比划着什么。警察在一旁一头雾水，然后对坐在旁边的[杨英俊]问道。
0:11:53|0:11:57|[杨英俊]警告英连哥，然后伸手给他擦了擦额头。
0:12:20|0:12:37|警察听到这话都微微地摇着头，施佑成把钱塞进小薇薇的手里，接着拉了一下她的胳膊，示意让她交给英联哥。小[薇薇]从座位上起身，慢慢走到父亲的面前，然后将钱塞进他的手中。
0:13:27|0:13:38|小[薇薇]说完，向父亲和[杨英俊]鞠了一躬，然后被施佑成拉着离开了。应林哥和[杨英俊]泪眼汪汪，坐在座位上一言不发。
0:13:39|0:13:47|他们二人搭上回村的敞篷三轮车。回到家后，[麻妹]坐在饭桌上对英灵哥劝道。
0:14:10|0:14:21|英莲哥听着[麻妹]的话，不禁哽咽了起来，然后用袖口擦了擦眼泪。[杨英俊]坐在一旁一言不发，然后端起桌上的水喝了一口。
0:14:23|0:14:46|小女孩在靠近门的边上骑着塑料小马。这时，辫子男慢悠悠地从外面走进屋内。他谨慎地拉开饭桌上的椅子，随即坐了下去。看着默不作声的三人，他两手放在双腿之间紧张地搓着，接着开口说道。
0:15:7|0:15:11|辫子男看着饭桌上的三人，然后对着[麻妹]说道。
0:15:15|0:15:21|[麻妹]听了起身走向厨房，辫子男看着她的背影，开口道。
0:15:23|0:15:33|不一会儿，[麻妹]拿着筷子放在她的跟前，然后用碗去给她盛汤。辫子男拿起筷子，对着英莲哥和[杨英俊]说道。
0:15:36|0:15:42|说完，辫子男一人拿起筷子吃了起来，接着他开口说道。
0:15:46|0:15:55|[杨英俊]听了这话，大声呵斥。[杨英俊]说完，饭桌上陷入宁静。
0:16:49|0:17:5|辫子男说到气氛出，一把甩了筷子，将头扭向一边。妈妹见了这情景，赶紧出来打圆场。夜晚，[杨英华]一人来到一间屋子里，他用手拨开跟前的麦穗，一颗装着东西的瓷器渐渐展现了出来。
0:17:6|0:17:22|接着，他单手抱起瓷器，另一只手扶着梯子，慢慢地从二楼下来。[杨英俊]找了个椅子坐了下来，然后，他打开怀里瓷器的盖子，从里面拿出一个用布包着的东西，将瓷器放在了椅边。
0:17:22|0:17:27|紧接着，他打开了布，把上面的卡片和证书拿开，拿起最下面。
0:17:28|0:17:45|女儿的毕业证书，毕业证书里夹着几张百元大钞，[杨英俊]把大钞拿在手里，又盯着证书上女儿的照片看了看，然后他将证书折好，将手里的百元大钞抚平放在腿上，接着在上衣口袋里拿出钱，
0:17:45|0:17:55|将白天女儿塞给自己的一百块和之前的百元大钞放在一起，最后又将其余的零钱整理好和百元大钞放在一块儿。
0:17:56|0:18:14|他一边整理着钞票，一边又忍不住哽咽，实在忍不住了，就大哭了起来。过了一会儿，[杨英华]将钱整理完毕后，将所有的东西又重新放进瓷器里，然后爬上二楼，将其掩埋在麦穗里。
0:18:14|0:18:23|另一边，[杨英俊]来到已经坐满人的村委会里。不一会儿，[辫子男]走过来，坐在他的旁边。这时，有人开口说道。
0:19:43|0:19:51|[辫子男]听后，高兴地碰了碰[杨英俊]的肩膀，而[杨英俊]则是满脸气愤地走出门外，老是难见状，赶紧跟了上去。
0:20:16|0:20:23|[杨英俊]不听劝说。直接撞开[老师男]走开了，[老师男]看着他的背影无可奈何。
0:20:23|0:20:41|从剧委会离开的[杨英俊]来到了田地里，他弯着腰，在水里不知在哗啦着什么，思绪回到了他和妻子感到人满为患的意愿里，面前是儿子和儿媳，以及生病的孙女，儿子满脸呆滞，儿媳则是不忍地将头领上一边。
0:20:41|0:20:50|[杨英俊]和妻子站在一旁不知所措，画面转到他怀里抱着孙女，一起和妻子坐上大巴车的情景。
0:20:50|0:21:5|二人在车上一言不发，心里不知在想些什么，[杨英俊]滑辣的双手渐渐地停了下来，他手里拿着秧苗，慢慢地直起了身子，大口喘着粗气，使他看起来不是那么的平静。
0:21:5|0:21:20|[杨英俊]眼里无神地注视着前方，两久，他独自回到了家中。[杨英俊]站在大厅久久不能平复情绪，缓了一会儿，然后走向餐桌，拿起上面的水杯喝了口水。
0:21:20|0:21:28|马妹在房间里看着熟睡的孙女，听见门外的动静后，伸手给孙女捏了捏背脚，起身往房门走去。
0:21:29|0:21:42|开门的吱呀声，使孙女转了个脑袋，幸好这声音没有将小孩吵醒。马妹捏手捏脚地走出去后，缓慢地将房门关好，然后来到了餐桌旁。
0:22:27|0:22:34|[杨英俊]将水杯递给马妹，马妹拿到后转身离开。
0:22:44|0:22:59|[杨英俊]堵了倒手里的粮食，然后将木桶的盖子放了下来，二人来到一旁的小型木桶，马妹打开木桶盖子，里面装着的是半桶大米，又掀开了旁边几个木桶，分别装着花生和鸭蛋。
0:23:0|0:23:18|接着，他没有先开家里的瓷罐，里面装着的是酒，烟咸菜，风干鱼，以及所剩无几的辣椒。[杨英俊]打开家里没插电的电冰箱，里面空空如也。他将手伸到第二层的隔板里，从里面掏出一个小老虎玩偶。
0:23:19|0:23:35|在手里捏了捏之后，又将它放在冰箱上方，然后将冰箱门关闭。[杨英俊]看到此情景，无奈地转身。[麻妹]在一旁，眼神追随着他，二人都默契地不讲话。
0:23:35|0:23:45|[杨英俊]走到墙边，看着墙上的照片，他无奈地叹了口气，捏了捏自己的眉心，然后走到凳子边坐了下来，开口问道。
0:23:49|0:23:52|[杨英俊]听后，扭头看向[麻妹]说道，
0:24:13|0:24:24|[麻妹]看向[杨英俊]的脸愣了愣，然后身体清清，翻开桌子上的账本仔细查看，而后对着丈夫说，
0:24:28|0:24:32|[杨英俊]听了[麻妹]的话，想了想后，若有所思地说道，
0:24:50|0:24:57|[杨英俊]坐在一旁看着他，只见[麻妹]舔了舔手指，然后翻看着账本，得到答案后说，
0:25:22|0:25:26|[杨英俊]沉默地看着[麻妹]，过了一会儿说，
0:25:38|0:25:42|[杨英俊]无奈地叹了口气，然后不死心地说道，
0:26:33|0:26:40|[杨英俊]低头沉默不语，[麻妹]却突然惊喜地说，[麻妹]听后点了点头，[杨英俊]扎了扎嘴，继续说道，马妹看着丈夫落魄的样子。
0:27:2|0:27:5|他将身子转向[杨英俊]，安慰道。
0:27:31|0:27:40|[杨英俊]说完，扭头深呼吸一口气，马妹看着他的样子，叹了口气，然后将桌上的账本合上，语重心长地说道。
0:28:3|0:28:8|另一边，一群人在村委会里开会，领导坐在主位上发言道。
0:28:24|0:28:35|大家围坐在桌子的一圈，认真听着他讲话，并表示赞同地点点头。外面的雨淅淅沥沥地下着，大部分的人都已经离开了村委会。
0:28:35|0:28:50|老师男仰着头，看向屋子上方的棉被，过了一会儿，他直直地躺在椅背上，一双手臂抱在胸前交叉着。从城里来的小王扭头看了看他，老师男这时开口道。
0:30:15|0:30:20|老师拿一副丧气的模样，小王看了看后，思索了一番说道。
0:30:26|0:30:46|老师男听了小王的话后，低头叹了口气，然后说道。说完，老师男站起身子，离开了村委会。小王手里拿着资料，眼神却盯着老师男离开的背影看着。没一会儿，他将视线又重新放在手里的资料上。
0:30:46|0:31:1|第二天一大早，村里的公鸡站在高台上打鸣。他抖了抖身子，用嘴整理了身前的毛，然后在高台上走来走去。微风吹过，他的羽毛在空中飘舞着。新的一天即将开始。
0:31:2|0:31:15|[麻妹]光着脚坐在自家门前，她梳好头发，将头巾一圈一圈地缠在额头上，然后在院子里洗着衣服，孙女则是坐在一旁望向天空。
0:31:15|0:31:26|整个村庄经过一夜的寂静，开始渐渐苏醒过来，村民们都陆陆续续地去地里聊坐，孩子们都背上书包，蹦蹦跳跳地去上学。
0:31:27|0:31:44|[杨英俊]在梯田边往地里甩着秧苗。老师男拿着精准扶贫、贫困户、结对帮扶名簿，用钉子钉在[杨英俊]的家门上。小王在身后给他递着钉子。[麻妹]听着动静，赶紧带着孙女出来在一旁查看。
0:31:45|0:32:6|老师奶用钉子逗了逗小女孩，小王看着这个小女孩吃傻的样子，不知在思索着什么。但二人走后，[麻妹]带着孙女到地里找丈夫。[麻妹]神情紧张地看了看斜上方，[杨英俊]开口问道。
0:32:8|0:32:24|察觉到气氛的不对劲，在一旁劳作的杨英莲抬头看了看[杨英俊]，又看向了[麻妹]。[麻妹]吱吱呜呜地说着事情的经过。[杨英俊]听后气不打一处来，放下手里的农活，立马赶回家里查看。
0:32:24|0:32:34|他走到自家门前，眼睛盯着扶贫民贷卡，气得直接上前恶狠狠地撕了下来。[麻妹]背着孙女，刚赶到就看到这一情景。
0:32:38|0:33:0|村委会里的几人听到消息，赶忙来到[杨英俊]家。还没进门，就被[杨英俊]直接推出了房门。村委会的人话还没说完，[杨英俊]直接掠过几人，朝外面走去。他们见状，赶忙跟上去劝说。
0:33:2|0:33:20|[麻妹]扒着门边，看着离开的人群，她嘴巴大张，眼睛直勾勾地盯着丈夫离开的方向，像是被这一情景吓傻了。不一会儿，天空下起了大雨，雨水落在层层堆积的破旧瓦片上，发出滴答声。
0:33:20|0:33:26|[麻妹]站在家里的窗户旁，她双手搭在窗户的边缘处，眼神望向远方。
0:33:28|0:33:47|耳朵里传来孙女咿咿呀呀的声响，[麻妹]慢慢转头，看向正在门檐处玩耍的小女孩，思绪回到了孙女确诊那天。[杨英俊]抱着还在包袱里的孙女，身后跟着背着碑楼的[马妹]，他们行走在山间。
0:33:47|0:33:55|行走的途中，突然下起绵绵的小雨，他们带着孙女躲在岩石边，想着刚才医生说的话。
0:33:57|0:34:7|爹地是老苦病，二人听到医生的话，都惊得目瞪口呆。[麻妹]看向丈夫安慰道。
0:34:45|0:34:49|[麻妹]见丈夫不搭茬，用手碰了碰他的胳膊。
0:34:58|0:35:12|[杨英俊]面带凝重地说完话，[麻妹]则是在一旁笑脸相掩。不一会儿，[麻妹]拿出用叶子包裹的胭脂鱼摊开在粥面上，接着又拿出塑料桶装置的五公斤液体来给孙女治病。
0:35:13|0:35:29|就这样，[麻妹]每天背着用竹篓装着的孙女，竹篓上还吊着一个收音机，跋山涉水地去诊所治病。无论刮风下雨，还是严寒酷暑，[麻妹]都日复一日，年复一年的带着孙女去看病。
0:35:32|0:35:49|随着时间的流逝，孙女已经不用包裹在被褥里，[麻妹]还是让她坐在竹篓里，自己背着她去看病。孙女渐渐长大了，也慢慢会自己走路，[麻妹]的表情也从刚开始的严肃变成了面上带着微笑。
0:35:50|0:36:4|在看病的路上，孙女试着一个人走路，[麻妹]在后方护着她，在孙女快要摔倒时，[麻妹]赶紧上前护着。又过了许久，孙女已经可以靠着边缘自行走路。
0:36:4|0:36:18|她头仰着天，舌头不自然地歪在嘴角边，坐在门槛上咿呀呀地叫着，然后又在房间里玩着塑料木马。[杨英俊]和妻子在旁边乐呵呵地看着，
0:36:53|0:37:14|回忆结束，[麻妹]面带笑容地在窗户边上看着小南瓜玩耍，然后她走到小南瓜面前给他喂水。夜晚，村委会里的气氛异常凝重，大家围坐在一圈，所有人都不自觉地看向老师男。小王坐在他旁边，眨了眨眼没有说话。
0:37:14|0:37:32|突然，老师男开口道，老师男面无表情地说出这个决定后，周围的人都猛地转头看向他，谁也没有说话。一日，云朵布满了山丘与梯田，像一幅优美的画卷。
0:37:32|0:37:40|村民们都还没有起来劳作，[杨英俊]就背着背包，拉着行李箱，一步一步地离开了十八栋村。
0:37:46|0:38:3|[麻妹]领着小南瓜，在村口洗着衣服。这时，从楼梯上下来一个抱着一盆衣服的大娘，她蹲在[麻妹]身旁，从盆里拿出一件衣服开始捶打。大娘看着身旁的[麻妹]，开口说道。
0:38:12|0:38:36|[麻妹]听了大娘说的话，立马惊得抬起头来，连手里的衣服都忘记了捶打。随后，她背着小南瓜快步跑到地里找丈夫。[杨英俊]通过[麻妹]得知了事情的经过，立马停下手里的灵活，跑向小龙离开的方向。
0:38:36|0:38:52|他着急地大步跨着台阶，在跑了一段路之后，终于在村边的公路上，看到了背着大包，拉着行李箱准备离开的小龙。[杨英俊]快步地走到他的面前，开口解释道。
0:39:48|0:40:3|小龙说完，就大幅流星地消失在人来人往的街头，只留[杨英俊]一个人呆呆地在繁华的街道上。他穿着地理干活的藏族衣裳，和这座城市显得格格不入。
0:40:27|0:40:38|[杨英俊]摘下草帽后，没有说话。他摆了摆手，示意战友进房间再谈。战友心领神会，紧跟其后。[杨英俊]开口道。
0:42:19|0:42:21|后来农村里都去打工。
0:42:27|0:42:47|[杨英俊]听着战友的话默不作声，深深地呼出一口气。战友看着[杨英俊]的样子，也安静地不说话。随后，[杨英俊]坐在回村里的小货车上，车辆行驶在周围都是梯田的公路上，他看着两旁插好的秧苗。
0:42:47|0:42:54|思绪回到了妻子在人挤人的火车站上，因为二人被挤开，[麻妹]生死历劫地喊着她的名字。
0:43:3|0:43:18|因为人流量太大的原因，妻子在车站伸手，却怎么也抓不住他。[杨英俊]坐在车上，看着远处高架桥上驶过的大货车和物流车，良久，他将视线收回。
0:43:18|0:43:25|脑海中浮现一家三口坐在桌前吃饭的场景，[麻妹]将自己碗里的饭分给儿子，然后对着[杨英俊]说。
0:43:37|0:43:57|很快，就到了[麻妹]出去打工的日子，车站里到处都出着大包小包的打工人，他们身子挨着身子，一步步艰难地往火车边走，站台上早已人满人宽，列车工作人员根本就维持不了秩序，大批大批的人往火车上挤。
0:43:57|0:44:4|更有甚者直接从窗户外爬上了火车，[麻妹]就在其中，她的一只脚在外面上不去大喊。
0:44:12|0:44:17|[杨英俊]在火车外艰难地给她抬脚，最终[麻妹]成功进入车厢。
0:44:49|0:45:4|[杨英俊]坐在回村里的小货车上，回忆起妻子在车站的遭遇。他双手抱着蜷缩的双腿，戴着草帽低下头，拧着嘴不知在想些什么。车站的最后，[麻妹]伸出的手，最终被[杨英俊]给抓住。
0:45:8|0:45:23|[杨英俊]牵着[麻妹]的手，在人挤人的车站逆着人流走动。他将妻子护在身后，自己拨开人群，目光坚定地带她离开车站。[麻妹]在他身后眉头紧锁，刺着牙低着头走站。
0:45:24|0:45:38|大家都是往火车的方向走，只有[杨英俊]和[麻妹]往出走。在人群中，他们二人显得格格不入。从车站出来后，[杨英俊]和[麻妹]行走在回村的山路上。
0:45:38|0:45:48|[杨英俊]穿着朴素的看向身后，一身鲜艳衣裳，双手大摆着走路的[麻妹]。二人相视一笑，未能一起回家感到喜悦。
0:45:50|0:45:59|回忆完毕，[杨英俊]依旧坐在回家的小货车上，他面无表情地想着之前发生的种种事情，心里已经开始怀疑自己。
0:46:1|0:46:20|在经历了一天的琐事后，太阳也渐渐快要落下，阳光洒在梯田上，有一种温暖惬意的氛围。[杨英俊]回到地里继续干活，他带着草帽弯着腰，将秧苗插入泥水中，身上的衣服沾满了泥点，他也全然不顾。
0:46:22|0:46:37|在忙碌了一阵后，[杨英俊]蹲在梯田旁边洗手，他想着自己因为贫困害得小龙辞职，战友们现在都发家致富，而自己却被冠上了贫困户的名号，不禁哽咽起来。
0:46:37|0:46:45|他将头扭向太阳的方向，慢慢地直起身子，看向面前已经种好的秧苗，心里五味杂陈。
0:46:47|0:47:0|[杨英俊]面向太阳，站在梯田边上，夕阳照射在他的脸上，他眉头紧锁，颤抖着拧着嘴唇，眼眶中含着泪水，显得无比心酸与沧桑。
0:47:18|0:47:32|[杨英俊]出立在原地，泥水中倒映着他的背影，他静静地站了一会儿，在平复了一段时间的情绪后，像是接受了自己的失败，他扛起挂在扁担上的空竹篓离开了。
0:47:35|0:47:51|微风吹动，细小的腰苗在泥水中微微地摆动，优美的风景因为[杨英俊]的心情而显得格外沉重。回到家后，空地上搭起了简易的生活台，[麻妹]蹲在地上，用嘴吹竹筒生活。
0:47:51|0:47:59|然后她放下竹筒，用手把边缘的柴火往中间靠拢，生活产生的烟气像那小南瓜咳嗽了起来。
0:48:1|0:48:21|她双手以腿作为支撑点，慢慢地站起身子，然后看向身后的[杨英俊]。只见饭桌上的菜都已经摆好，[杨英俊]端着碗，拿着筷子的手搭在腿上。身子已靠在凳子的靠背上，低着头睡着了。
0:48:21|0:48:28|[麻妹]看到[杨英俊]累得在凳子上睡着，就慢悠悠地走到跟前，在她的对面坐下，静静地盯着她。
0:48:30|0:48:50|[杨英俊]依旧保持着那个姿势，一动不动。二人就这样，安静地坐在这里。夜晚，辫子男赤裸地上身，在村口洗衣服的地方擦拭着身子。不一会儿，小王拿着盆和洗漱用品，从台阶上走下来。
0:48:59|0:49:14|辫子男说完，就转过身背对着他穿上衣服。小王蹲下身后，看着辫子男的背部，有两道又粗又长的刀疤。他立马惊得站起身来，辫子男穿完衣服，转身看着他的样子，解释道。
0:49:29|0:49:38|小[王申]听完，又蹲下身子开始忙活。他听到有人哭的声音，就看了看周围，辫子男边穿外套边说。
0:50:28|0:50:36|变字难说完，起身拿起桶就想离开。小[王申]看了看旁边的井，问道。
0:51:16|0:51:31|小[王申]看着辫子男离开的身影陷入了沉思，水井的构造凹进石头里，两旁以及后方都用石头围上，石头的上方还盖着一块石头，使得水井只有一面是开口的。
0:51:31|0:51:36|小[王申]坐在水井旁边的石台上想了一会儿，接着将头转向水井。
0:51:39|0:52:0|看着水井上方摆放的碗，不由得站起身往水井那边走去。小[王申]低头看着面前缓缓流动的清澈泉水，拿起上方的碗，从泉里舀了一碗水放在胸前。他低头看了看，然后喝了一口品尝，最后双手端着碗，仰头喝完。
0:52:0|0:52:3|他品尝完甘甜的泉水后，扎了扎嘴巴。
0:52:6|0:52:26|第二天一大早，村里的妇人们都在井水旁清洗着脏衣裳，[麻妹]带着小南瓜也在其中。小南瓜手里拿着玩具，站在一旁的柱子上玩耍着，[麻妹]蹲在地上洗着衣服。旁边的大爷背着背篓，赶着牛上台阶，新的一天就要来临。
0:52:30|0:52:45|[杨英俊]挑着装满秧苗的饼蛋往地里走着，此时，大山里只有他一个人的身影，显得他是那么孤单。山下，做饭的烟火鸟鸟升起，才显得有那么一点烟火气息。
0:52:45|0:52:53|他站在梯田边上，将竹篓里的秧苗甩进泥地里，接着深呼一口气，然后下地开始插秧。
0:52:58|0:53:11|[杨英俊]正在地里劳作着，[王申]这时从远处走来，他看见忙碌的[杨英俊]，二话不说地蹚进泥水中，一边往他的方向走，一边说着。
0:53:16|0:53:26|[杨英俊]听了这话，直起身子愣了愣，而[王申]则是没有任何解释，熟练地拿起秧苗，弯着身子，就开始在一旁插秧。
0:53:28|0:53:34|[杨英俊]在原地静静地看着他的样子，良久，他开口问道。
0:54:23|0:54:41|二人聊着聊着，就聊到了黄昏。[杨英俊]在前面走着，[王申]挑着扁担跟在他的身后。他们一前一后地，慢慢朝着[杨英俊]的家里走去。刚进家门，小南瓜就坐在塑料小马上，呆呆地看着来人。
0:54:41|0:54:47|家里的墙上贴满了[杨英俊]一家的照片。[王申]进屋后，就站在墙边观看。
0:54:50|0:55:1|[杨英俊]将三条鱼，一碗辣椒，以及辣椒面端上餐桌。[王申]端着饭碗，大口地吃着饭。[杨英俊]盯着他的样子，说道。
0:55:4|0:55:18|[王申]听后愣了一下，视线看向了[杨英俊]。[杨英俊]端着碗喝了口酒，然后放下。小王也放下手中的碗，眼睛直直地看着他。
0:56:23|0:56:44|[杨英俊]端起碗喝了口酒，[麻妹]接着说道。[杨英俊]和小王听后都目不作声，[麻妹]蹲在地上拿竹筒生火，接着将竹筒放到地上，然后起身坐在一旁的椅子上。
0:56:58|0:57:11|[杨英俊]看了看小王，然后伸手端起桌上的碗。小王听着[杨英俊]略带嘲讽的话语，眼睛直勾勾地盯着他。
0:57:11|0:57:33|两久，他直起一条腿，从裤子口袋掏出自己的车钥匙，接着将它放在[杨英俊]面前的桌上，然后端起一碗酒递给[杨英俊]，直接一口吞了。[杨英俊]和毛妹盯着他，没有说话。一日，[杨英俊]在地里干活。
0:57:33|0:57:40|小王着急地从远处跑来，大喊道。他跑到[杨英俊]面前笑着说。
0:58:26|0:58:32|[杨英俊]往地里扔着秧苗，想了一会儿，对着小龙说。
0:58:37|0:58:50|[麻妹]在厨房里炒着辣椒面，小南挂在门口，看着一筐的小鸡仔。[杨英俊]从地里回到家，将草帽挂在竹篓上，然后坐在台阶上说。
0:59:7|0:59:19|小南瓜坐在屋子里的地上玩着玩具。[杨英俊]走进来，蹲在他的身旁，用手给他醒鼻涕。接着他起身坐在饭桌旁，然后向妈妹抱怨。
0:59:41|0:59:55|说着，他拿起桌上的水杯喝得起来。夜晚，杨家的几人都接到通知聚集到[杨英俊]的家里。另一边，小王在村委会里对着领导报告。
1:0:43|1:0:49|小王赞同地点点头，另一边，[杨英俊]对着家里人。
1:2:30|1:2:41|现在还不到喝水的时候，杨英莲在一旁哼唧着对[杨英俊]打着手语，你去把小龙叫回来吧，我想他回来。
1:2:52|1:3:5|杨英莲继续对着辫子男用手与笔画着，你不出去打工，整天东晃西晃，喝酒喝得烂醉。辫子男则是冷笑回头说。
1:3:23|1:3:37|[杨英俊]说着说着就意识到自己想要发火，他赶紧拿过[麻妹]手里的水杯喝了口水，深吐一口气，然后平复了一下情绪，接着说道。
1:4:27|1:4:38|马妹则是在一旁给他出主意。杨英莲听着这话，低下了头。
1:4:40|1:4:50|[麻妹]赶紧将水杯递给[杨英俊]，[杨英俊]接到后喝了一口。辫子男[杨懒]看了看眼前人说道。[杨懒]站起身就想走。
1:5:22|1:5:38|马妹见丈夫在气头上，立马将手里的水杯递给他。怎料，[杨英俊]气得直接夺过水杯砸了过去，吓得[杨懒]和[杨金三]赶紧跑了出去。马妹惊得站起身子，[杨英俊]见此情景也连忙跑了出去。
1:5:40|1:6:0|屋外正下着大雨，三人从[杨英俊]的家里跑出来后，顾不得其他，立马往自己家里跑去。[杨英俊]在屋里气得吹胡子瞪眼，他眼神盯着一处，大口喘着气。他扭过头眨了眨双眼，然后低下头不知在想些什么。
1:6:0|1:6:8|马妹拿着水杯慢慢走上前，她看着丈夫无奈的模样也没做安慰，而是站在一旁静静地看着他。
1:6:10|1:6:19|第二天一大早，带着帽子的村民拿着镰刀就来到了村委会。门口洗漱的年轻人赶快跟上了。
1:7:32|1:7:40|好，小王带着人来到了[杨英俊]家。
1:7:46|1:7:48|[杨英俊]看了看他身后的人。
1:8:4|1:8:22|村民[杨英华]一听让他打仗，立马告诉小王自己要回林场，然后转身就离开。小王站在原地看着他离开的背影，又转身看了看[杨英俊]的身影，接着他手里拿着草帽，一路小跑着去杨英莲的家。
1:8:22|1:8:33|杨英莲将女儿的毕业证书递给小王，小王拿到后翻开看了看，然后他来到了杨金三的家。[杨金三]坐在家里的门槛上。
