0:2:44|0:2:48|[沈炼]看得是心头一紧。
0:15:46|0:16:4|人也跟着倒了下去，眼睁睁看着[殷澄]彻底结束了自己的生命，[沈炼]心里说不上来的乱，恰巧[凌云铠]带人赶来，一众人来到栏杆前，心里兴许盼望能抓[沈炼]一个纵犯而逃的现行。
0:16:4|0:16:23|他们眼巴巴望着小船驶出桥里，[沈炼]也收刀入鞘，那[殷澄]已经趴在船上，成了一具尸体，隔岸相望的两人。其中[凌云铠]这阳谋算是得逞了，而[沈炼]却被摆了一道，也悄悄记在了账上。
0:16:23|0:16:40|这天深山密林的一处小亭内，说着[沈炼]将[殷澄]的生辰八字推了过去，名叫净海的和尚打开了一个包裹，
0:16:56|0:17:16|[沈炼]从中挑选出[北斋]所做的画，这画里是一只黑公鸡，准备吃掉一只蝈蝈，天空一声不知怎的响起一声闷雷，霎时间这雨便落在池塘，而且越下越大，二人倒是没有交流太多，山中下雨没个准儿。
0:17:16|0:17:32|[沈炼]索性踏上了归程，林中小路上，[沈炼]快跑了几步就停下来看看天，摸了摸画，生怕再湿了去。眼瞅着前面还有段山路，恐怕这画是很难保全，他低头看着池塘。
0:17:32|0:17:47|倒影中走来一人，果断地[沈炼]，当即抽刀，可这一抬头才发现来人是一个给他撑着油纸伞的曼妙女子。凝眸一颦失鱼雁,对镜三笑怯花颜
0:17:50|0:18:16|峨眉杏眼香腮雪，朱唇云鬓人皓月[沈炼]低眉收刀，这才打量起来，这一撇，那是翩若惊鸿，宛若如龙，远而望之,皎若太阳升朝霞;迫而察之,灼若芙蕖出渌波借着清雨，更亮出一股柔情绰态，迎面走来，披着梭衣，带着斗笠的老头儿惊道，
0:18:48|0:18:58|姑娘道，也不惧反问道，此话一出[沈炼]凶狠的双眼对那柔情眸子，竟然凌厉不起来了。
0:18:58|0:19:29|那姑娘别过头去，雷声作响，似是在催促着二人，[沈炼]抬头，这乌云竟散了，霞光穿越而过，洒在这片山林里，姑娘眼神俏皮，收了伞，朝着另一条小路走去，[沈炼]望着那背影和长长的秀发，方才挥过神来，这一见[沈炼]说不上来心头的滋味，只觉得妙不可言，
0:19:29|0:19:44|这边骤雨初现，而另一处才刚刚开始。皇城边的湖心亭大公公[魏忠贤]正在垂钓，数百甲士屹立守护，还有数十文官拿着折子在一旁等候，
0:20:19|0:20:29|[陆文昭]抱着鱼篓子弓着身一脸谄媚相，锦衣华服的[魏忠贤]却有些心不在焉，虚着眼睛丝毫没注意鱼儿上钩。
0:20:29|0:20:50|[陆文昭]探着身子提醒道，[魏忠贤]这才忙着钓鱼竿，跟着鱼儿角力，可这猛地一提竟毫无反应，[陆文昭]急了，他猫着腰来到水边缓缓下水，生怕溅起水花，坏了厂公大人的雅兴。
0:20:50|0:21:3|他在水里缓缓往前挪动，身上的新袍子倒也显得豪不重要了，[厂公]的鱼才是眼前的大事，他伸手抓住已经上钩的鱼，这鱼一个头不小，扑腾地厉害。
0:21:3|0:21:15|让从战场上下来的[陆文昭]也是费了力气才将其制住，上了岸，[陆文昭]跪在[厂公]身前，双手奉上这鱼，[厂公]却将其随手丢下。
0:21:18|0:21:54|[陆文昭]喘着粗气正色道，[魏忠贤]虚着眼有气无力道，[陆文昭]还没说话，[厂公]白了他一眼，[陆文昭]低下头不敢说话，也不敢指望什么差事了，
0:22:6|0:22:40|[陆文昭]当即喜上眉梢，[厂公]起身，后面两位小公公给他拖着华服衣把众人的簇拥中，[魏忠贤]被迎回轿子，还在原地跪着的[陆文昭]瞥到那尾鱼不由自主地笑了，回到府上的[陆文昭]将鱼吃得一干二净，放下筷子，拿起朱笔在[殷澄]的挂牌上画了个叉。
0:23:48|0:24:6|说罢，[沈炼]推开这林中小屋的门户快步而去，平日两人虽是对头，但此刻又是合作伙伴，锦衣卫办事滴水不漏，两人一前一后，无形中堵住了小屋门户，[沈炼]绕到屋后拔刀撬开窗户望去，隐约瞅见一道身影。
0:24:10|0:24:41|见[凌云铠]已经破门而入，[沈炼]则是从窗户潜住里屋，两人一明一暗相互照应，[沈炼]则检查衣柜、床铺[沈炼]越过茶拿着上面的红印章，[沈炼]走来将印章丢给[凌云铠]闻言[凌云铠]将长刀搁在桌上，而这被称为[北斋]的画师，回过身后，[沈炼]便认出来，正是当时给他递伞的女子。
0:24:41|0:25:8|[凌云铠]捏住[北斋]的下巴，然后将哈过气的印章盖在她脸上，受此侮辱的[北斋]先生，眼泪当即就滑了下来，[凌云铠]抽刀架在[北斋]脖颈，吓坏了的[北斋]缩着脖子往后躲闪，嫩白的脖颈格外诱人，芊芊素衣包裹的娇躯不由得颤抖，[凌云铠]动了歪心思，
0:25:8|0:25:22|他收起了刀，拽起[北斋]，捏着她脖子朝里屋走去，[北斋]满眼柔弱，一边脸上挂着泪，另一边盖着红章，格外地凄楚，那眸子看着[沈炼]，尽是哀求
0:25:32|0:25:50|[凌云铠]将其丢上床铺，翻身其上，[北斋]奋力反抗也不是这男人的对手。[凌云铠]挨了一耳光，又狠狠地扇了回去，[沈炼]咬牙不忍地转过了身，
0:25:52|0:26:7|[北斋]轻薄的衣衫眼看就要被扒光，一把钢刀架在了[凌云铠]的肩头，[凌云铠]回过身躲闪着从床上爬下来，这钢刀始终靠着[凌云铠]的脖子，
0:26:16|0:26:47|两人就这么对峙着，床上的[北斋]艰难地爬起身望了过来，[沈炼]关切地望着她，颇有心眼儿的[凌云铠]自是发觉了二人的端倪，[沈炼]显然不擅长说谎，[凌云铠]绕过心虚的[沈炼]，还顶了顶他，[沈炼]怕生事端跟上[凌云铠]来到外屋，却见他伏案在无常簿上记录着什么，[凌云铠]端起无常簿念道，
0:26:52|0:26:56|[沈炼]举刀呵斥，沾沾自喜的[凌云铠]一抬头，被这一手惊了一跳，
0:26:59|0:27:19|[凌云铠]向前握住[沈炼]的刀尖，凶狠地说道，[沈炼]有点心虚，被[凌云铠]夺刀丢在这案上，[凌云铠]步步紧逼，他拍着[沈炼]的脸颊，又将其一把推开。
0:27:19|0:27:45|[北斋]不知何时躲在门口偷看，[沈炼]凝眉望去，见[凌云铠]有恃无恐的模样，料想此事恐怕难以善了了，于是他拴好房门口准备来硬的，[凌云铠]拿起无常簿晃了晃，当着[沈炼]的面塞到了怀里，完了还隔着衣服嚣张地拍了拍。
0:27:45|0:28:11|窗外雷雨交加，可屋里的气氛也不输分毫，[沈炼]上前想拿回来，却被[凌云铠]拍开，推搡之间，[凌云铠]一记摆拳砸在[沈炼]脸上，猝不及防的[沈炼]只得捂着脸后退，他缓了缓神儿，猛然发难，双手砸下，[凌云铠]也不是善茬，双臂上托抵住势头，[凌云铠]忽然变招双手钳住[沈炼]一臂，侧身扭住将其擒拿
0:28:11|0:28:23|再一脚踹飞，刚要起身的[沈炼]被[凌云铠]再补一脚，对方趁机还拔出了那柄绣春刀，见对方亮了冰刃，[沈炼]欺身上前，滑铲晃过[凌云铠]，想要拿起自己的刀，
0:28:25|0:28:45|谁料[凌云铠]将刀挑飞坠入水缸，[凌云铠]刺砍劈捅攻势迅猛，而[沈炼]则是先消再打顺势而为，[凌云铠]找准时机一个过肩摔放倒[沈炼]，接着拿刀猛刺，[沈炼]近身躲开，使出兔子蹬兵，将其踹飞砸翻了桌台，自己趁机缓和口气儿。
0:28:45|0:29:7|[凌云铠]起身横踢，[沈炼]翻了个跟斗，大腿夹着刀背，夺下绣春刀，手持冰刃的[沈炼]一转攻势，反手将刀架在了[凌云铠]的脖子上，[沈炼]咬牙切齿一拳将[凌云铠]打飞，可这厮不依不饶地朝[沈炼]丢来字画，又被[沈炼]一脚踢飞踹到墙角，接着[沈炼]一跃踢来，
0:29:7|0:29:15|[凌云铠]闪身躲过，摸出匕首朝[沈炼]踢砍，[沈炼]左右躲闪趁机摸起一把剪刀，失去理智的[凌云铠]奋起捅刺，却毫无章法。
0:29:15|0:29:41|[沈炼]拿起剪刀一刺后，一记顶心肘撞飞了[凌云铠]，水缸边的[凌云铠]刚起身，又被[沈炼]按住闷到水里，水里的[凌云铠]看到了先前的那把钢刀，听到这儿，[沈炼]犹豫了，他松开了[凌云铠]，[凌云铠]挥出水中长刀划破了[沈炼]的腹部，他乘胜追击，反手挥刀却被[沈炼]擒住了胳膊，再一次塞到了水里。
0:29:41|0:29:52|兴许是出于本能，[沈炼]熟练地用剪刀划破了[凌云铠]的动脉，连他自己都后知后觉，他急忙上前查看[凌云铠]的情况，
0:29:54|0:30:22|以至于把他拖出来也毫无反应，见状，[沈炼]慌了。他误杀了[魏忠贤]的外甥，闪电适时地划破天空，一旁偷看的[北斋]慌了神，她着急忙慌地逃进了里屋，[沈炼]这才反应过来，急忙跟上，却见[北斋]已经从窗户逃走，他顾不及身上的伤势，矫健地翻出窗户，在泥泞中直追[北斋]，
0:30:22|0:30:44|腹部的伤口还在渗血，[沈炼]脚下一滑差点摔倒，他捂着肚子追出巷子却不见了[北斋]的身影，杀总旗就够他喝一壶了，更别说是[魏忠贤]的亲人，这让人瞧了去还得了。现在的[沈炼]只能走一步看一步，次日，
0:31:13|0:31:38|[北斋]的小小院落里来来往往地全都是锦衣卫，面对千户[陆文昭]，他只得先撒个谎，可就在他枯坐在这石桌前，突然感到不善的目光，神经敏感的[沈炼]瞪着那双瑞凤眼望去，此人正翘着二郎腿在远处啃着点心，见[沈炼]看了过来，他又起了身，带着身边的小士官挎刀而来。
0:31:38|0:31:44|[沈炼]预感来者不善，可这人竟是大摇大摆地坐在[沈炼]的对面，
0:31:59|0:32:28|[沈炼]皱眉思索了片刻，递出了一个疑惑的眼神，[沈炼]不待见的模样，惹笑[裴纶]，只见[裴纶]起了身朝屋里走去，[沈炼]半天没有接话，[沈炼]扭过身来，两人的博弈正式开始。
0:32:28|0:32:35|来到屋里，[裴纶]拨开了[凌云铠]的衣领检查伤口，[沈炼]解答道。
0:32:39|0:32:53|[裴纶]若有所思的样子，随后笑了起来。他起身从怀里掏出了无常簿，一旁的小士官俯身双手奉上一只狼毫，[裴纶]接过发干的狼毫，竟在小士官的舌头上磨了磨柄，
0:32:57|0:33:15|士官领人进屋搜寻，[裴纶]给[沈炼]摆出一个人畜无害的笑容，趁这会儿功夫[裴纶]检查着屋里的打斗痕迹，突然发现床边地上的[北斋]印章，他轻笑一声，俯身拾起
0:33:22|0:33:28|小士官凑近小声禀报，[沈炼]不耐烦道
0:33:37|0:33:54|[沈炼]回忆起当时[凌云铠]死后，他摸出无常簿放到了那堆炉火里，烧了个干净，[沈炼]示意地上的[凌云铠]，[裴纶]雅然失笑，可就在他刚要提笔写的时候，突然嗅到了一股香味，[沈炼]嘴上不说，心里大为震惊
0:34:38|0:34:59|最后这句，竟是盯着[沈炼]狠狠地说出，事情刚告一段落，[沈炼]穿过街桥回到了住处，不知不觉找[北斋]竟成了当下最要紧的事，刚要开门的[沈炼]，发现了脚边窝着的黑猫，他带着猫儿一同进了门，猫儿便撒了欢儿在院子里跑。
0:34:59|0:35:16|晌午时分，[沈炼]坐在门口吃着咸菜和馒头，揉着毛茸茸的猫儿，面前的猫儿朝着走廊跑去，[沈炼]注意到了那封用弓箭送来的信，他取下箭，环顾四周，见没什么异样，方才展开信来。
0:35:19|0:35:24|大明律，杀锦衣卫者，罪同谋逆，当夷三族，戌时，西山云栖坡。
0:35:24|0:35:55|刚消停下来的[沈炼]还没坐热屁股，又要以身犯险，只怕是唯一证人[北斋]已经被人控制了去，戌时，月亮照在这西山云栖坡，[沈炼]如约而至，听到了一阵笛声，这竹林中一块怪石上坐着一个头戴兜帽的人影，正吹着长笛，[沈炼]提着刀一步一步寻着笛声缓缓而来，[沈炼]警惕地打量着这位使者，
0:35:55|0:36:5|近看是一个英姿飒爽的女子这女子没有接话，却猛然间翻身，越下石头，朝竹林深处逃去。
0:36:5|0:36:28|[沈炼]连忙追赶，毕竟难得有了[北斋]的消息，无论如何也要去会一会两人一前一后冲下了山坡的竹林，显然对方是对这片地形十分熟悉，很快就找到了林中斜坡，坐着滑了下去，这是提前准备的逃跑路线，高处的[沈炼]也只能加快脚步，即便前方是埋伏，他也得搏一搏。
0:36:28|0:36:34|[沈炼]拔刀一跃砍下，刀狠狠地劈在了女子背上，却响起金属碰撞的声音。
0:36:34|0:36:54|这女子停下身往背后那金属盾牌摸去，她摘下身盾，从底下抽出了一柄短刀，又在这身盾上用力一蹭，外行听热闹，内行听门道，这声响便不是寻常武器。
0:36:54|0:37:10|而[沈炼]背后则走来一个把玩着狼牙棒的壮年，侧边则是青衣女子仗剑走来，她头发干练地绑在脑后高额深眉，五官不见柔弱，但英气内敛，是个女侠。
0:37:50|0:38:22|林中夜风袭，侠气一媚飞，剑拔弩张，阴谋诡计酝酿，刀光剑影，肃杀之气绽放，[沈炼]架起钢刀擦拭，斜密的竹林里，月光欣然落在了刀芒上，坚毅的眼神中，战意盎然凝聚在气态上，那狼牙棒迅速捅来，[沈炼]侧身接下，那人后拉狼牙扯开钢刀，接着又顺势一抡，
0:38:22|0:38:29|[沈炼]被砸飞撞在竹竿，
0:38:34|0:38:57|[沈炼]警惕了起来，一交手便觉得那伙贼人非同一般，于是他列开架势将刀身横在眼前，但女侠发现了端倪，[沈炼]假意朝侧方跑去，那二人刚跟上，[沈炼]又掉转头，杀向女侠，狼牙棒架上钢刀，将[沈炼]挑飞，落在那名叫[丁翀]的女子身旁。
0:38:57|0:39:13|狼牙棒再度冲来，[沈炼]擒住[丁翀]替他接下一击，他趁机摸出手弩边跑边射，箭刺入对方大腿再一箭刺入手臂，[沈炼]冲向了女侠，两名徒弟急忙提醒
0:39:15|0:39:32|[沈炼]携万军之势劈下，女侠闭眼放大感官，骤然出刀，刀刃相撞，女侠横拉刀身，翻腕下劈，[沈炼]的刀竟被一击斩断，说时迟那时快，她将刀架在[沈炼]脖子上，露出自信的笑容，
0:39:44|0:40:3|听到这里，女侠收了刀，半跪的[沈炼]，这才起了身。两人的契约便是达成了，[沈炼]为了换回[北斋]，只能铤而走险。这天案牍库门前重兵把守。
0:40:22|0:40:30|对方验完身份双手奉回，[沈炼]接过令牌直奔桌前钥匙，当场惊动卫兵，
0:40:40|0:41:1|[沈炼]不爽地回过头，来人正是东厂掌班郑公公，同行的还有[陆文昭]，千户[陆文昭]摆手示意，[沈炼]识趣地让出路来，
0:41:23|0:41:33|[陆文昭]谦卑地倾着身子护送，不可一世的郑掌班昂着头走去，[沈炼]无奈地递出钥匙，
0:41:39|0:42:1|郑掌班进了门，[陆文昭]堆满笑容的脸缓缓转过身，脸上的笑容也随之消失，取而代之的是一副恨铁不成钢的怨气他径直走出，[沈炼]适时跟上[陆文昭]气急败坏地推了把[沈炼]
0:42:5|0:42:31|像是个老大哥一样，虽有不满，但这时候仍替[沈炼]操着心，深陷囫纶的[沈炼]面子上也有些挂不住了，庙堂和尚盛好斋饭，小和尚颤颤巍巍地端向两位办事的锦衣卫，净海和尚接过了餐盘，小和尚诚惶诚恐地退下，净海给[裴纶]端上了桌，[裴纶]闻了闻斋饭，
0:42:33|0:42:59|又夹起一根腌菜品尝。诺大的屋里十几人竟只有[裴纶]用斋的咀嚼声，他享受着斋饭的甜糯，又笑嘻嘻地给对坐的小士官分享喜悦，
0:43:21|0:43:28|净海神情一变，当即紧张了起来，
0:43:48|0:43:58|执笔记录的小士官撇了净海一眼，[裴纶]也停下了扒饭，净海这才意识到说错了话，小士官递出询问的眼神望向[裴纶]，
0:44:8|0:44:34|小士官边写边念，恐吓着弱不禁风的和尚，焦急的净海指着无常簿却不敢说话，求助地望向[裴纶]。[裴纶]放下碗筷，不爽地盯着小士官，小士官急忙低下头，双手奉上写好的笔录，[裴纶]一把拽过来，靠着椅背，眯着眼，漫不经意地看着，
0:44:35|0:44:44|一个唱红脸，一个唱白脸，没见过风浪的净海一下子心虚起来，
0:44:46|0:45:11|[裴纶]撕下笔录把本子丢了回去，那张纸被他撕成了碎片，[裴纶]摸出烟斗，一旁的小旗掌着火上前点烟，[裴纶]满意地嘬着烟，望着净海，此时低眉顺眼的净海已经吓破了胆。
0:45:11|0:45:43|这天下午一家客栈内大隐隐于市的女侠名叫[丁白缨]，她观察完情况闭上了窗户，一旁的[北斋]正在整理茅草床，她抱来被子，[丁白缨]低头思索了片刻，[北斋]停下了手上的活儿，轻轻地叹息道，不善交际的[丁白缨]出了门，看到了那个身影，
0:45:45|0:46:18|[沈炼]急忙回到家，关好门窗，抽出了半截断刀，他仔细查看着刀身，他迈步来到了家族灵位前，打开桌上的长盒，里面赫然是一把宝刀，他双手捧起，刀身刀柄一体浇筑，刀尖而韧亮，
0:46:20|0:46:51|如今宝刀被收入刀鞘，夜里小雨刚过，地面未干，巡逻的士兵列队整齐，军容严肃，围着案牍库例行巡查，躲在墙后的[沈炼]叼着一柱沉香，估摸着时间，说完[沈炼]拉起面罩，街上的士兵渐行渐远，[沈炼]也背上背包动了身，他极为谨慎，边跑边观察着四周，
0:46:51|0:47:11|接着小跑蓄力，一个箭步踏上马栓越过了高墙，人落地香入土，他跑到了门前，掏出工具撬开了房门，夜色落在这艳阳高浊恢宏的阁楼上。[沈炼]进了门快步走着，随手在香炉里插上一炷香用作计时。
0:47:11|0:47:36|他观察着案牍库的格局，缓缓摘下了面罩，眼神凶狠又坚决，接着取下背囊开始倒酒，滴水不漏的[沈炼]从头到尾浇了一圈，做好这一切，他摸出了火匣子，就在要放火的瞬间，看到洒水中自己的倒影，忽然想起了什么？
0:47:50|0:47:58|就在走神的片刻，一个火星悄然落下，[沈炼]急忙伸手接住，这时门外突生异变。
0:48:2|0:48:11|深夜时分，这[郑掌班]不知为何竟来到了案牍库，浑然不知的[沈炼]搜寻关于皇上的宝船文书。
0:48:12|0:48:26|很快他找到了那本宝船监造纪要，随即就翻看了起来，[郑掌班]也进了案牍库院子的大门，虽没有发现角落的香，但这味儿引起了他的注意。
0:48:26|0:49:3|处事多疑的[郑掌班]快步朝着案牍库里走去，[沈炼]随手抓起一本文书翻阅，他来不及验证想法，外面就已传来动静，只得灭了手上的火匣子，他猫着腰快步跑到窗前，透过缝隙朝外张望，院落里空无一人。
0:49:4|0:49:22|于是回头看看香炉里，那支香已过半，拿到文书的[沈炼]放弃了火烧案牍库，戴好面罩快步出了门，可还没走两步，却发现自己已经被盯上了，灯柱后被发现的[郑掌班]，缓步走出，
0:49:34|0:49:58|[沈炼]一听快步逃窜直奔大门，[郑掌班]早有预料堵在了门前，[沈炼]闪身，再次逃去。突然一个火流星邪风袭来直奔后脑，他只得猫腰闪躲，[郑掌班]趁机杀到，一个飞踢，扑了空，拉近了距离，两人近身缠斗，[郑掌班]直取面罩，那带刺的手套数次掀起[沈炼]的面罩，[沈炼]隔挡竟被他拽住，
0:49:58|0:50:28|一推一拉竟被[郑掌班]撞飞，不等喘息，这火流星再次杀到，[沈炼]被逼得连连后退，到了墙底只得拔出宝刀，[郑掌班]转着火流星猛然甩出，被[沈炼]躲开，砸到了墙上，[郑掌班]以膝带地，以腿变劲，接连砸出，[沈炼]用脚撩起一地砂石，泼向[郑掌班]，自己趁机开溜，没曾想这火流星来得更急。
0:50:28|0:50:42|[沈炼]躲过，一刀劈在火流星的铁链上，[郑掌班]转身抬手一勾，胳膊自然是拧不过大腿。勾起来的火流星砸到了[沈炼]的胸口，来不及起身的[沈炼]侧滚，再次躲过一击。
0:50:42|0:51:3|趁着[郑掌班]刚收招，[沈炼]一跃横踢，对方只得扭头躲闪，[沈炼]栖身近战，可这[郑掌班]一口吹起镂空流星里的火苗，火花四溅，[沈炼]只能猫腰躲闪，却被[郑掌班]差点看清真容，[沈炼]重新系好了面纱，[郑掌班]抡圆了铁链甩出流星，这次却被[沈炼]扛住，
0:51:3|0:51:13|掌班飞身拿起流星另一头的钢珠戳来，却没能命中，只在墙上蹭出了一阵火花，刚要逃跑的[沈炼]被火流星砸了个结实，撞翻了院里的灯柱。
0:51:13|0:51:39|[沈炼]逃向案牍库，[郑掌班]追来却慢了一步，没能翻进窗户，将火流星挂在脚尖甩出砸开了正门，进了屋的[郑掌班]观察四周竟不见[沈炼]的踪迹，只得列好架势，防备偷袭，他拎起镂空流星一吹，借着火星查看四周，暗处的[沈炼]凌空劈来，
0:51:39|0:51:46|[郑掌班]猝不及防被劈烂了头盔，火流星滚出竟点着了地上的酒水。
0:51:46|0:52:1|霎时间火势迅猛蔓延，两人被眼前的景象惊得一愣，[沈炼]射出冷箭，掌班躲过，那剑是钉在了后面的书架，[沈炼]一抻，书架倒下险些砸中[郑掌班]。
0:52:2|0:52:9|他接二连三推倒书架，[郑掌班]甩出火流星，却牢牢地缠在了书架上。
0:52:9|0:52:34|他拿起尾端钢珠进攻，[沈炼]借力打击，将其钉进了书架，却被[郑掌班]掀开面纱，[沈炼]劈刀砍在了掌班的护腕，见事不妙，[郑掌班]拔腿就跑，[沈炼]拎起火流星直追，门外的值守再一次巡查而来，[郑掌班]跌跌撞撞扶着出了门，眼前门口那柱香快要燃尽时，[郑掌班]也距门口不过一步之遥，
0:52:34|0:52:38|奈何他刚打开门，火流星即刻飞来砸中了他后脑。
0:52:38|0:53:3|[沈炼]接住倒地的[郑掌班]，随后轻轻关好外门列队巡查的守卫竟然未能察觉异样，[沈炼]虚惊一场，回身见倒地的[郑掌班]已经口吐白沫了，而不远处的案牍库火势越烧越旺，此地不宜久留。
