0:1:24|0:1:32|他伸出粗糙的手指抚摸着刻痕，每一道刻痕的背后都写满了生存的不易。
0:4:56|0:5:7|族领大口喘着粗气，悬着的心终于放下。开心的[嫫母]一遍遍地叫着他的名字，爬上岸的[姬地]，转过身看着对岸的族人，他举起双手叫喊着，
0:5:13|0:5:18|族人瞬间沸腾，他们高兴的手舞足蹈，渡过大河就能换取生活必需品。
0:5:18|0:5:33|在他们眼里这是生存下去的希望，死里逃生的[姬地]慢慢回过神来，他大口喘着粗气，然后慢慢跪在地上，族领见状举起权杖以示感恩，[姬地]也跟着举起手，随后重重地叩拜[黄帝]。
0:5:33|0:5:41|此时天空电闪嫘鸣，一条条线汇聚到一起，描绘出气势磅礴的四个大字，轩辕大帝。
0:5:41|0:5:58|[姬地]背着武器赤裸着上身来到了神农氏部落，这里一片祥和，只见男性族，人们三两合作正拿着农具在耕地，女性族人手里抱着一盆种子，用手拿出几粒撒在土地里，随后用脚踩了几下。
0:6:3|0:6:18|[姬地]抬头看了一眼种地的族人，又低头看了一眼土地，随后抓起湿润的土，拿在手中反复观看着，其余族人各司其职，正在制造盐，这时制作好的盐吸引了[姬地]的注意力，他用手抓了一把放进嘴里。
0:6:35|0:6:43|当地族人走到[姬地]身边。族人拿起盆舀了满满一盆盐。
0:6:44|0:6:53|族人感到有些诧异，他看了一眼[姬地]，随后弯下腰拿走[姬地]放下的物品。
0:6:55|0:7:1|[姬地]换完盐来到当地的集市，琳琅满目的商品让他感到无比新鲜。
0:7:1|0:7:24|集市上有生活必需品和陶瓷瓦罐猎人带回的兽皮翡翠般的宝石，鹿头和牛头做的标本错乱的摆着，格外引人注目，闲逛的族人来来往往，他们仔细挑选着商品用木头组成的高塔上面，挂着牛头标本，最上面交叉着两把种地的农具，这是神农氏部落的象征，部落里的女人也忙碌着，
0:7:24|0:7:39|他们排成一排，手里拿着绕线棒缠绕出一排排整齐的线路，随后把线纵横交错的编织在一起。男人们则两两配合制作陶艺，一人做出雏形，一人转动实盘，这时一位族人将谷物咬进碗里。
0:7:45|0:7:58|长发女人把饭碗放在木桩上，足爷侧身洗了洗手，原来足爷就是神农氏部落，族领[姜炎]。[姬地]穿过人群径直走向他，看到陌生人来袭，[姜炎]端着碗警惕地站起身。
0:8:5|0:8:12|[姬地]直勾勾地盯着[姜炎]手中的饭。
0:8:15|0:8:25|他早已饿得前胸贴后背，毫不客气地吃起来。吃饱喝足的族人在河边打[嫫母]着石头，殊不知危险悄然来袭，不远处的森林里只见几个身穿兽皮
0:8:25|0:8:37|头戴瘦骨的神秘人类慢慢地向他们靠近，他们低头穿过浓密的山林，脚步非常轻，生怕惊动了当地族人，族人们毫无察觉，依旧有说有笑地干着活。
0:8:37|0:8:59|神秘人手里拿着长刀斧子等尖锐的武器准备伺机而动，带头人脸上画着5条排列的条纹，眼神露着杀气，他死死盯着河中，突然他使了个眼色，这时合理埋伏着的神秘人也慢慢露出水面，山林中的神秘人缓缓举起手中的武器，这时带头人发出信号，
0:8:59|0:9:13|河里埋伏的人如鬼魅一般从水里跃而出。当岸边干活的[神农氏]看到这些人时已为时已晚，正在织布的女人们听见声响，慌乱地朝四周望去，神秘人全部冲出来拿着武器大开杀戒。
0:9:14|0:9:38|敌人来袭，长发男子用力推开自己的同伴，下一秒就被敌人刺死，见此，场景族人变得更加慌乱不安，神秘人搜刮每个角落自山间野兽般疯狂抢杀，族人掩护着长老[姜炎]快速逃离，还在吃饭的[姬地]一脸茫然地看着这一切，神秘人推翻挡路的架子，陶瓷宛灌破尽一地，族人们顾不上这些一部分人扶着[姜炎]逃离，另一部分
0:9:38|0:10:2|拼死反抗，此时[姬地]手里拿着陶罐蹲在架子旁，神秘人走到面前时，他突然起飞归其手中的陶罐向神秘人狠狠地砸去，来不及逃跑的族人被敌人一刀刺中，瞬间鲜血喷涌而出，兴奋的敌人拿起实锤疯狂地砸向族人，被打动了族人摔下高台，敌人跟着跳下去，疯狂连锤不到一刻钟，[神农氏]就落败而逃。
0:10:2|0:10:20|害怕地叫喊声以冷血的武器声交叉回荡在空中，地上也遍布尸体，神秘人首领大摇大摆地走到部落里，他环顾四周试图拿回一些战利品拖，突然他停下脚步，拿起地上的织布机上下打量了一番，随后狠狠地摔在了地上。另一边
0:10:20|0:10:35|死里逃生的族人扶着年老的族领[姜炎]跑进山林，不远处有一群人正在等着他们，他们看到[姜炎]立刻跑去迎接并扶过受伤的族人，[姜炎]被扶着坐到石凳上，经过长途跋涉的他大口喘着粗气。
0:11:0|0:11:14|[姜炎]看过去，顿时张大嘴巴眼里充满了惶恐，他扶着拐杖颤颤巍巍地站起身来。只见一个头顶犄角，浓眉大眼的彪形大汉扛着一把长柄石斧缓缓走来，他的眼里充满了杀气。
0:11:14|0:11:31|刚刚逃出来的族人吓得嘴唇发白，大口呼吸着，他们举起手中的武器放在胸前准备战斗，但身体却害怕地连连向后退。原来这位彪形大汉正是九黎族部落族人[蚩尤]，入侵神农氏的神秘人均是九黎族族人。
0:11:31|0:11:40|这时神农氏族人壮着胆大喊一声，挥其手中的武器朝[蚩尤]跑去，[蚩尤]伸腿一踢强大的力量让族人瞬间倒闭。
0:11:40|0:11:49|同伴见状举起石斧来帮忙，[蚩尤]不慌不忙握住长柄石斧狠狠砸中他的腰部，摔倒在地的他艰难起身再次挑战[蚩尤]，[蚩尤]狠狠地砍向他的脖子。
0:11:52|0:12:3|鲜血瞬间涌出，另一族人为了报复拿起武器毫不犹豫地打向[蚩尤]的胳膊，[蚩尤]竟毫发未损，被惊动的他拿起斧子一击让其毙命，观战的族人见状赶忙转身逃跑。
0:12:3|0:12:26|[蚩尤]不慌不忙，他伸手抽出插在人身上的长柄石斧追在众人身后，由于地形不熟悉，神农氏族人跑到一处死角，[蚩尤]反方向围捕，这时站在前方的族人突然朝着[蚩尤]刺去，[蚩尤]抡起长柄师傅将族人的武器打断，截断的武器恰好砸中了身后族人的脑袋，看着步步紧逼的[蚩尤]，一脸惶恐的[姜炎]慢慢向后移动，
0:12:26|0:12:38|他突然看向[蚩尤]身后只见[姬地]手拿石锤从身后偷袭[蚩尤]，[蚩尤]拿起石斧抵挡，谁料石斧被砍掉一大块，[姬地]手中的武器也成两半。
0:12:41|0:12:56|族人快速逃走，[蚩尤]见状想要追上去，[姬地]快速将手中的锤柄扔向[蚩尤]，正好砸中他的头部，被激怒的他拿起石斧就向[姬地]砍去，他灵巧躲过，[蚩尤]再次抡起斧头，还接连躲避，[蚩尤]犹如被戏弄了一般。
0:12:56|0:13:23|他再次狠狠地砸向[姬地]的腹部，这次他被重重地按在了树上，[蚩尤]准备乘胜追击，再次抡起石斧时[姬地]完美躲开，趁[蚩尤]恍神之际，他一个转身一一拳打中[蚩尤]头部，转手为攻的他看准时机抽出腰部的剑刺向[蚩尤]的大腿，[蚩尤]忍痛一把将[姬地]举起然后扔在地上，看着他躺在地上，[蚩尤]拿起斧头再次发起攻击，[姬地]滚向一边躲过一劫，
0:13:23|0:13:34|身后的大树竟被砍出一个巨深的缺口，同时斧头也断成两截，惊恐未定的[姬地]缓缓站起身，[蚩尤]却反常了扔掉主攻的武器，最后邪魅一笑。
0:13:34|0:13:52|[姬地]感到不妙，转身就见一只黑熊，正张着血盆大口向他袭来，[姬地]急忙闪躲，一个侧身摔进旁边的杂草丛里，他不顾身上的伤口迅速爬起来看着黑熊，此时的黑熊盯着着[姬地]露出尖锐的獠牙，他发出恐怖的嘶吼声，仿佛在向[姬地]示威挑衅。
0:13:52|0:14:10|[姬地]却丝毫不怕，相反他举起双手向着黑熊[嫫母]拜了一下，[蚩尤]见状露出嘲讽的笑容，可黑熊却像看懂了一样停下吼叫并把头转了过去，[蚩尤]惊讶地看着黑熊随后吹响口哨，黑熊像收到命令般回过神朝着[姬地]猛扑过去。
0:14:10|0:14:19|[姬地]敏捷地掉头跑进森林，黑雄在后面穷追不舍，[姬地]见摆脱不掉，于是改变路线，纵身一跃，躲进一个斜坡里。
0:14:19|0:14:30|一动不动地观察着黑熊，黑熊见不见，人影便停下脚步4处观察，一扭头发现躲藏的[姬地]便立刻张开大口扑过去，[姬地]见状迅速抽身往反方向跑。
0:14:30|0:14:39|这时一个脸上涂满斑点的女人抓住树上垂下来的藤条，他紧跟在[姬地]身后，但并未出手相救，[姬地]察觉到危险。
0:14:39|0:14:48|他一边跑一边从背后抽出弓箭一下击中她的背部，被惹怒的女人张开双手做出猎豹的姿势扑向[姬地]，却被[姬地]一棍打倒在地上。
0:14:48|0:15:0|这时黑熊闻声赶来，他迅速扑向[姬地]，[姬地]慌张闪抖不慎摔了一跤，随身携带的弓箭也掉在地上，[姬地]顾不上肩迅速调整状态，站起身逃跑。
0:15:0|0:15:15|忽然停在一棵大树前，抬头看了眼大树，又扭头看了眼身后的熊，忽然有了主意，还往后退了几步助跑。眼看黑熊就要追上来，[姬地]几个箭步爬上树追上来的黑熊狠狠地撞到了树上，削弱地叫了几声之后没了气息。
0:15:15|0:15:33|见没有危险后[姬地]这才跳下树，这时[蚩尤]和刚才的神秘女人赶来[姬地]势单力薄，他学着女人刚才的样子，立即抓住身边的藤条荡了几下，随后在森林中没了踪影。
0:15:46|0:15:50|逃出来的大祭司被[蚩尤]重伤，幸存的神农氏族人聚在一起，围在大祭司身边。
0:16:8|0:16:22|大祭司紧闭双眼，丝毫没有吞咽的动作，这时他已经没了呼吸，将眼看着大祭司愣了一下，他的眼中充满了悲痛，随后停下手中的动作看着族人。
0:16:28|0:16:49|大祭司满脸是血，表情却很安详。姜[炎帝]默默低下头，族人眉头紧皱眼里充满泪水，低伤哀嚎着，随后全部跪下。他们双手张开朝着大祭司的方向进行跪拜，久久没有起身。族人们不敢相信尊敬的大祭司就这样离去了。
0:16:49|0:17:1|过了一会儿，姜[炎帝]慢慢抬起头看着眼前大祭司的尸首，他的眼神突然变得坚定起来，他一手扶着树干颤颤巍巍地站起身。
0:17:9|0:17:29|族人的士气被点燃，他们高高举起手中的武器大声呐喊着，这时远处突然想起诡异的吹哨声，族人们瞬间安静下来，仔细分辨哨声传来的方向，只见女人站在树上不停地吹着口哨，瞬间森林中的豺狼虎豹全部出动，向神农氏族人袭来，族人瞬间聚成一团。
0:17:31|0:17:46|其余人则面向狼豹快速围成一道人墙，凶狠的恶狼，猎豹一个跳跃就扑到他们身上，张开血盆大口对着他们又撕又咬，势单力薄的族人与凶恶的兽群实力悬殊。由于害怕一些人放弃抵抗，站在原地等死。
0:17:46|0:17:57|试图逃跑的族人被狼群咬住一条腿，猎豹从后方进行攻击，面对授权的前后夹击，族人为了保住性命，忍着疼痛拿起武器狠狠的砸向恶狼。
0:17:57|0:18:15|恶狼大叫一声，瞬间松开嘴，族人瞅准时机立刻起身，恶狼哀嚎几声便没了性命，鲜血溅满了族人的脸，他不解气地继续砍了几刀，吹哨人见此表情瞬间严肃起来，他再次吹响口哨，顿时柴暴聚在一起合伙攻击族人，其余人拿起武器来救援。
0:18:15|0:18:25|一锤下去猎豹瘫倒在地，族人好像找到了对付的方法，气势逐渐高涨，当猛虎攻击人时，其余同伴就会前来救援，一锤下去猛虎毙命。
0:18:25|0:18:48|兽群逐渐占了下风，吹哨人有些着急，他从树上一跃而下，趴在地上做出猛虎的姿势，恶狠狠地盯着[神农氏]族人见兽群的数量逐渐减少，他再次吹起口哨，听见口哨声的兽群不再撕咬人群，纷纷向山林跑去，打斗后的山林一片狼藉，筋疲力尽的族人躺在地上一动不动，他们被咬得遍体鳞伤，兽群跑到吹哨人身边，
0:18:48|0:19:6|围在他的周围，萎靡的眼神似乎在诉苦，吹哨人看了看受伤的爱宠，又凶狠的看向[神农氏]族人的方向，远离森林的浅水区却异样得平静，这时一只鸟突然被一块石头击中落入水中，原来是[姬地]，他毫不犹豫地跳进水里，准备捡起猎物，当他走到水中央时，
0:19:6|0:19:23|突然重心不稳，开始东倒西歪，随后身子慢慢下沉，看来这是一片沼泽地，他努力地向岸边走去，但身体却不听使唤，转眼间水已经没过了，他的脖子他使出浑身力气抬起头尽量能让自己正常呼吸，他伸出手想要寻求支援。
0:19:23|0:19:33|这时一根树枝突然伸过来，他牢牢抓住原来伸出树枝的是[西陵路明]是[嫘]，[姬地]慢慢露出头，[嫘]见状转身对身后的路说道，
0:19:34|0:19:44|树枝的另一头用绳子绑在两只鹿身上，他们卖力地往前方拉绳子，[嫘]跟在鹿的身后同样拽着绳子，陷入沼泽的[姬地]，皱着眉头咬着牙尽量能让身体得到摆脱。
0:19:44|0:20:6|在[嫘]和两只鹿的帮助下，[姬地]终于慢慢地露出脖子和上身，此时[姬地]半趴在泥地里，用双手抓住地面一点点向前爬，[嫘]见状扔下手中的绳子将他从水中浮起来，片刻之后，[嫘]扶着他走到了安全处，缓过来的[姬地]左手拿着一个圆形石头，上面刻着几条直线，右手将一根木棍立在几条线的中心点，
0:20:6|0:20:33|然后不停地转动石头，[嫘]好奇地看了一眼[姬地]手中的东西。[姬地]用手转了一下，插在日影石上的木棍，[嫘]看了眼太阳，又看向木棍不解。
0:20:41|0:20:51|[嫘祖]看的姬地眼里满是敬佩。随后他将日饮食拿到自己手中，仔细抚摸着石头上的刻痕，这时他注意到一个特殊的符号。
0:21:0|0:21:8|两人相视一笑，[嫘祖]低头看了眼日影石，然后若有所思地看向姬地。
0:21:11|0:21:18|[嫘祖]开心地笑了，这时少生再次响起，只见一只鹿飞驰而过，紧跟其后的是一只凶狠的猎豹。
0:21:20|0:21:42|[嫘祖]跑向鹿逃跑的方向，姬地随即跟上来，他边跑边从背后抽出一支箭射向猎豹，可猎豹跑得很快，剑难以命中，姬地紧接着掏出第二支箭，由于弓弦软弱无力，还没到猎豹身上，就已经掉落在地上，转眼间猎豹跳跃起来将路扑倒，姬地踩着木头跳上树，掏出第三支箭射向猎豹，可依旧没有射中。
0:21:42|0:22:0|此时猎豹大口啃食着鹿肉，[嫘祖]拿着一根长木棍叫嚣着冲上前一下插进猎豹的腹部，猎豹被涌入，他张着血盆大口冲过来姬地拿起一根木棍一下插进猎豹的嘴里姬地用力地将手中的木棍穿透猎豹的头部插进树里，猎豹挣扎了几下就没气了。
0:22:0|0:22:9|脸上接门写的[嫘祖]惊魂未定，大口喘着粗气，他蹲下来双手抚摸着怀孕的路，此时姬地也急忙上前查看情况。
0:22:12|0:22:22|姬地无奈地低下头看着已经死去的鹿。这时他注意到鹿旁边自己射出的箭，他自责地捡起来拿在手中反复观看。
0:22:33|0:22:40|姬地恍然大悟般对[嫘祖]笑了笑说干就干，[嫘祖]将豹筋绑在弓的尾部，随后将豹筋一点点履职。
0:22:40|0:22:54|姬地接过吕直的豹筋迅速绑在弓的头部，随后缠绕了几圈，接着他扶着弓，将缠绕好的豹筋递给[嫘祖]，他继续缠了一圈后留出一截打了个结，然后用力地拽了一下，使其变得更牢固。
0:22:54|0:22:58|姬地看着新弓箭试着拉扯了几下全新的弓弦，让他异常兴奋。
0:23:1|0:23:16|[嫘祖]从姬地背后的箭筒中拿出一只箭递给他，他接过放在空弦上，对准远处的大树用力一拉，箭牢牢的插在了树干上，二人兴奋地跑过去，姬地仔细查看插在树上的剑。
0:23:16|0:23:19|这时的[嫘祖]回头看了一眼来时的路，随后对姬地说道，
0:23:30|0:23:43|夜色渐暗，有熊氏部落的[嫫母]点着火，把在满是腌肉的房屋里打[嫫母]着石头，这时姬九悄悄掀开门帘走了，进来他故意咳嗽一声[嫫母]被吓了一跳，随后谨慎地站起身，姬九深呼了一口气。
0:23:46|0:23:58|姬九将她推倒在身后的石榻上，随后如狼似虎般地对着他猛烈亲吻，[嫫母]无力逃脱，这时他举起手中的石头，用力地朝姬九的头部砸去，姬九不堪重击晕倒了。
0:23:58|0:24:15|[嫫母]将他推到一旁喘着粗气，天色大量，[嫫母]将姬九的双手绑在背后，扛在肩上，将他背到大族领的面前，随后扔到地上，大族领疑惑地看向[嫫母]。
0:24:23|0:24:28|她朝着姬九的屁股踹了一脚，然后扭头就走，族人看着姬九的惨样纷纷嘲笑起来。
0:24:28|0:24:48|夜幕降临，森林中不时传来阵阵动物叫声，百年大树显得格外安静，光滑的树干被岁月的苍穹刻出了一道道刀疤似的伤痕，偌大的树干生长出众多分支，参差不齐，他经历了历代风雨，见证了部落间的打打杀杀，仍然是那么苍翠挺拔，充满生机，
0:24:48|0:24:57|一颗颗枝繁叶茂，苍龙进秀的古树，昂首云天，巍峨挺拔，给整个山林填描上一层神秘深幽，如梦如幻的色彩。
0:24:57|0:25:14|姬地和[嫘祖]背靠着背悠闲的坐在其中一个分支上，[嫘祖]将头靠在姬地的肩膀上，满脸幸福，而姬地却忧心重重地看着远方长叹一口气。
0:25:16|0:25:32|[嫘祖]收起笑容不再靠在姬地的肩膀上，没有得到回应的姬地转身看着她，她如小女生一般娇羞地低下头思考了一会儿，然后转头看着姬地的眼睛。
0:25:33|0:25:50|她含情脉脉地看着姬地，然后主动亲吻上去，突如其来地亲吻像暴风雨般让姬地措手不及，他顺从地闭上眼睛，本能地伸出双手，紧紧抱着[嫘祖]。[嫘祖]伸出手，慢慢划过姬地的胳膊放在他的肩膀上，两人在大树上拥吻，享受此时的甜蜜。
0:25:50|0:26:2|这时[嫘祖]的身后发出异样的声音，姬地警觉地睁开眼睛看向他的身后一条百米长的蟒蛇。死死地盯着他们，姬地无心继续亲吻，他的神情慢慢变得紧张起来。
0:26:5|0:26:12|花皮巨蟒吐着舌头蠕动着身体慢慢靠近，姬地慢慢直起身子，缓缓掏出绑在腰部的扁平武器。
0:26:12|0:26:23|由于害怕[嫘祖]僵直着身子一动不动，不停地冒着冷汗并吞咽着口水，祸不单行，就在这时一只花豹从树上跳到姬地的身后，慢慢向他靠近。
0:26:23|0:26:44|[嫘祖]看着恶豹瞪大了双眼，姬地手里拿着武器小心翼翼地转过头去，只见恶豹，露着獠牙，虎视眈眈地看着他，前有蟒蛇后有恶豹，即使这样姬地却丝毫不慌，他抬头看了眼旁边高处的树枝，忽然有了主意。
0:26:45|0:27:8|姬地伸手搂住[嫘祖]的腰，两人慢慢从树上站起，说时迟日那时快蟒蛇发出嘶吼声，首先发出攻击，猎豹听到声响，随即张开大口向两人扑去，姬地和[嫘祖]对视一眼后，同时跳起成功跳到另外的树枝上面，毫无征兆地一跳，让猎豹与蟒蛇瞬间撞在一起，蟒蛇迅速摆动身体，他张开大口准备饱餐一顿时，不料重心不稳与恶豹一同掉下树去死。
0:27:8|0:27:14|死里逃生的姬地带着[嫘祖]继续前往有熊氏，突然看见前面的小树上插着一根木棍。
0:27:38|0:27:56|一阵风波后，二人来到河边，[姬地]拿出一根绳子系在[嫘祖]的腰间，多余的部分系在自己的腰间，他试图拉着[嫘祖]渡过大河，整理好装备后，[黄帝]抬头对着[嫘祖]笑了笑，随后他拿起地上的两个充气皮囊递给[嫘祖]，尽管湍急的河流充满了污秽的泥沙，二人却丝毫不怕。
0:27:56|0:28:13|随后两人一前一后跳进河里，朝着大河对面的有熊氏游去，郁郁葱葱的森林浓雾缭绕，犹如仙境一般，距离有熊氏仅一河之隔的对岸，[神农氏]逃难族人，光着脚垂头丧气地走着，他们经过长途跋涉早已没了力气。
0:28:13|0:28:28|[姜炎]抬头看到河对岸的人，像看到了希望一般朝对岸走去，此时正在河边洗罐子的有熊氏，抬头看到了他们。由于[神农氏]的打扮与有熊氏不相同，所以有熊氏警惕的向同伴报信。
0:28:29|0:28:51|有熊氏族人全部放下手中的活，看着河对岸警惕地站起身，大族领带着族人小心翼翼地走到河边，为了打消有熊氏的顾虑，[姜炎]带领[神农氏]族人也往前走了几步。
0:29:25|0:29:31|[神农氏]将手放在胸前，朝有熊氏鞠躬。第二天[姬地]二人也来到有熊氏，
0:29:32|0:29:47|他们手牵手走进有熊氏部落，[姬地]带他来到自己家中，[嫘祖]好奇地环顾四周，这时从屋里突然飘出一股饭，香味肉香。许久未回的[姬地]不解，[嫫母]听见声音从屋里跑出来。
0:29:50|0:29:57|[姬地]看向[嫘祖]笑出了声，[嫫母]这才注意到[姬地]身旁的女人。
0:30:1|0:30:7|[姬地]转头看向[嫘祖]，两人的手十指相扣，[嫫母]露出凶狠的表情。
0:30:33|0:30:47|嫫的那双眼看向姬地眼中充满了失望，她不敢相信一起长大的姬地会这么对她，泪水在眼眶里不停打转，随后转头跑开[嫘祖]慌了，他焦急地看向姬地，[嫘祖]向前走了几步，
0:30:54|0:31:18|[嫘祖]愣了一秒，姬地感受到她的顾虑，对她笑。[嫘祖]紧绷的脸上终于露出了笑容，这时伤心的嫫哭着跑到一颗没人的大树旁，想到刚才姬地的无情，她气的转过身，脸上的泪水不停地往下流，突然姬九拿着一个网偷偷绕到嫫的后面，趁他不注意一下将他困住，他扛着嫫来到森林深处，
0:31:18|0:31:38|大雾弥漫着整片森林，除了嫫无力的叫声和姬九走路的声音外，这里一片寂静，姬九将嫫带到一片空地处，将他一把摔到地上，随即他将腰部的斧头扔到一旁，蹲下身将嫫身上的网拿开，饥渴的姬九疯狂地亲吻着嫫的脖子，愤怒地嫫用尽全身力气踹了他一脚，
0:31:38|0:31:49|姬九失去重心重重地摔在了地上，嫫迅速站起身扶着旁边的小树，由于树干太细，小树发生剧烈晃动，树上的蛇掉了下来，对着姬九的胳膊咬了过去。
0:31:49|0:32:9|19姬九看着右手臂上被咬的伤口，害怕地大声尖叫起来，一旁的嫫拿出绳子将他的左手绑在树上，躺在地上的姬九一脸茫然地看向他，只见他一脚踩住姬九受伤的胳膊，眼神死死盯着蟒蛇印，最后弯腰拿起地上的石斧，姬九看着石斧似乎明白了什么，才紧紧地闭上双眼，
0:32:9|0:32:26|随后将头扭向一边，由于害怕他的下巴突然开始抖动起来，嫫慢慢地举起石斧，看准姬九手臂上被咬的地方，然后狠狠地将其砍下，姬九死死咬着牙紧，尽量不让自己发出太大的吼声，喷涌而出的鲜血瞬间溅满了姬九的半边脸。
0:32:26|0:32:32|最后嫫扔下姬九一个人跑出山林，惊魂未定的她快速来到姬地的家中气喘吁吁的。
0:32:41|0:32:55|姬地转头走到猪圈旁，嫫不愿放弃，他跑到姬地身边，姬地并不理会看着冷漠的姬地，她猛地双膝跪地，听到声响后姬地回头看向她。
0:32:56|0:33:21|嫫的表情是如此坚定，可姬地却没当真，他转过头不在理会嫫，手里拿着瓦罐继续给小猪喂食，嫫瞪大双眼，泪水在眼里打转，不敢相信姬地竟会如此冷漠，他似乎下定了决心，紧紧抿着双唇慢慢地站起身，看着不为所动的姬地，他握紧拳头跑走了姬地看着嫫跑走的方向，担心嫫会做傻事，急忙丢下手中的瓦罐追了上去。
0:33:21|0:33:43|转眼嫫跑进了山林，快速穿梭在错综复杂的林间，安静的山林中，一阵阵回响着嫫的哭泣声担心的姬地在后面穷追不舍，由于跑得太快，嫫很快没了力气，脚步也渐渐慢了下来，姬地瞅准时机，一个箭步将嫫抱在怀里，两人摔倒在地上，嫫挣脱姬地的束缚，想要站起身来姬地抓住他的肩膀，
0:33:43|0:33:50|一个转身将他压在身下，最后大口喘着粗气，看着身下固执的[嫫]，他似乎下定了决心。
0:33:51|0:34:5|[嫫]不敢相信地瞪大双眼看着，[嫫]的脸上终于露出了笑容，心满意足的他眼里充满喜悦的泪水。姬地拉她站起并一把将他扛在肩上，向部落走去，
0:34:5|0:34:24|[嫫]对着姬地的胳膊狠狠咬了一口确认这不是梦。有熊氏与神农氏正在耕地，他们分工鲜明，各司其职，大地上长满了生机勃勃的谷物，有熊氏族领满意的对着身旁的[姜炎]。
0:34:39|0:34:45|里面摆着形形色色的陶瓷罐，洞穴凹凸不平[嫫]小心地走到罐子旁。
0:34:45|0:35:5|这时洞顶向下滴了一滴水，正巧落在[嫫]的头顶，她捂着头看向上方，发现这里湿润无比，她急忙打开陶瓷罐上压着的石头里面露出浑浊地液体，他坐在罐子旁俯身闻到一股特殊的香味，它又凑近罐口仔细闻了，闻香味更加浓郁，这是以前没有闻到过的味道。
0:35:5|0:35:22|随后还是将一根手指小心的伸进去，沾了沾水，确定可食用之后，它放进嘴里尝了尝全新的味道，让它感到新鲜与满足。她仔细回味着味道，然后露出了满意的笑容。她向四周望去，最后从左手旁拿起一个碗状物，
0:35:22|0:35:41|从陶瓷罐里舀了满满的一碗水，她看着碗里的水又凑近闻了闻沁人的香味，让他忘乎所以，她迫不及待地端起碗一饮而下，由于喝得太快，水洒了一半，可她丝毫不在意自己制作的甜水，让他忍不住开心地大笑起来，看着陶瓷罐里做的水如此成功。
0:35:41|0:35:47|她突然伸手从里面抓出一把糯米放进嘴里，尝了一口之后突然狼吞虎咽起来。
0:35:47|0:36:8|原来这是她用糯米自己酿的酒，他满足地一边吃着糯米，一边喝着糯米酒，看着自己的成果，他感到无比得骄傲，他迫不及待想拿去给族人尝一尝，随后他用小陶瓷罐装满酿米酒带回家，他给[姬地]和[嫘祖]各倒了一碗，两人端起碗打量了一番，[嫘祖]不知道这是什么水，有些顾虑。
0:36:8|0:36:15|他看到[姬地]大口都喝了起来，自己也跟着喝了一口[嫫母]，期待地看着[姬地]，他希望得到[姬地]的夸奖。
