0:3:38|0:3:47|热闹的街道上烟花礼炮齐鸣，而在这座酒店里，
0:28:49|0:29:10|原来[李宁玉]是在担心自己失踪的男朋友。忽然，窗外传来一声细不可闻的唱戏声，[顾晓梦]望去。[李宁玉]站起身。她朝阳台走去。[李宁玉]轻轻打开阳台门，迈步走出。唱戏的正是隔壁阳台的[吴志国]。
0:29:45|0:29:52|[李宁玉]掏出精致的烟盒，抽出一只红圈，走到阳台边缘。
0:29:55|0:30:2|[吴志国]双手接住，给自己点上。两人咂吧着香烟，吞云吐雾。少顷，[吴志国]亮嗓子。
0:30:21|0:30:38|[吴志国]望去，不知[顾晓梦]何时也来到阳台。即使是阳台也被装了监听。
0:30:58|0:31:16|说完，[顾晓梦]还俏皮朝着[吴志国]挑挑眉毛。[吴志国]仰头吐出烟雾，似乎也想借机吐出心中的烦忧。[王田香]正监视着远处，[武田]走来，接过望远镜。
0:31:20|0:31:32|远处的[李宁玉]凝望着楼下发呆。[武田]把望远镜还给[王田香]，回身到屋内，[王田香]跟上。
0:31:33|0:31:48|[王田香]没听太明白。[武田]端起一本书翻阅。
0:32:0|0:32:21|[武田]放下书走开。[王田香]还在猜测如何查明这几个硬茬。布网纹理上浮现出汉字：我太大意了，中了圈套，日寇必在百草堂设下陷阱，捕杀同志。需在5日内传出取消行动的消息，否则万死莫辞。
0:32:22|0:32:37|三面环海的小岛上立着两栋阴森的大楼。这便是这次众人被软禁的地方。阳光洒进[白小年]的屋子。他唱着戏曲，有板有眼地扭动着身子来到一面镜子前。
0:32:37|0:33:1|他对着镜子扭动着兰花指。忽然，他停下动作，凑近镜子整理自己的鬓角。他神情专注，两个手一起拨弄起来，俨然一副大姑娘的样子。[白小年]缓步下楼，众人早已开始就餐。
0:33:7|0:33:10|大快朵颐的[金生火]闻言突然给呛到。
0:33:19|0:33:40|勾心斗角间，这顿早餐已经接近尾声。精致的房间内，[顾晓梦]吹着口哨坐在梳妆台前，给自己涂上新的指甲油。她对着镜子比划着那双漂亮的手。与此同时，楼下的日本女人为日军献唱。一旁的单人沙发上，
0:34:40|0:34:52|另一边房门打开，穿着轻薄的[顾晓梦]拿着一张纸，摇曳着身姿走向站岗卫兵。
0:35:9|0:35:28|[顾晓梦]翻了个白眼。[顾晓梦]贴着卫兵身子，把纸塞进卫兵上衣口袋。
0:35:50|0:35:58|[顾晓梦]仔细回忆了一遍。
0:36:5|0:36:12|[顾晓梦]颇为意外。她挑了挑眉毛看向别处，有些不甘心地说。
0:36:41|0:36:55|说完她瞪着那双漂亮眸子挑了挑眉。海风吹过岛屿，在连接两座大楼的铁桥上，一个男人走过。
0:37:7|0:37:18|两人分别靠坐在沙发上，大有分庭抗礼的味道。[吴志国]起身拿起外套正要走。
0:37:25|0:37:49|[吴志国]停下动作，不悦地等着[王田香]的后文。[李宁玉]穿过门洞朝内走去，和迎面走出的吴大队擦肩而过，没有任何交流。她偏头望去，合唱团旁边的[武田]也看向这边。沙发上的[李宁玉]抽着女士香烟说道。
0:37:50|0:38:7|说完，她深深地吸了一口香烟。[王田香]微微有点诧异地望着她。另一边，[武田]正举着[顾晓梦]写的那封信，透过阳光仔细观察。
0:38:17|0:38:32|[武田]凑近了，皱着眉看着清单说道。[武田]起身打断了他的话。
0:39:0|0:39:8|[王田香]闻言喜出望外。大堂内，值班的卫兵靠着栏杆睡着。
0:39:9|0:39:27|几个人围坐饭桌前，但都兴致不佳。[顾晓梦]探着身子，关切着[李宁玉]。[李宁玉]缓下脸色，报以微笑。[金生火]拍着桌子义愤填膺道。
0:40:0|0:40:6|[吴志国]砸碎酒瓶，大家立马安静下来。他缓缓站起身，目光扫过众人，狠狠说道。
0:40:8|0:40:21|[吴志国]明里暗里讽刺[顾晓梦]。在场几个人面面相觑。[顾晓梦]绕过桌子快步走来。
0:40:29|0:40:32|[吴志国]用力扯开衣领，露出胸口的枪眼。
0:40:40|0:40:46|[顾晓梦]横眉冷对，站起身说。
0:40:50|0:40:54|她撑着桌子毫不退让。
0:41:24|0:41:32|大男子主义的[吴志国]长闻言脸上也有点挂不住。他伸出食指，狠狠地指了指[顾晓梦]，转身正要离开这场闹剧。
0:41:35|0:41:46|不料，被暗处走来的[王田香]叫住，他笑吟吟地说。[吴志国]表情冷酷，斜了一眼[王田香]，转身径直上楼。
0:41:50|0:42:0|[李宁玉]替[顾晓梦]打抱不平着，随后拽着[顾晓梦]快步上楼回了房间。[金生火]擦了把冷汗，拿起筷子。
0:42:4|0:42:25|说完，他看着几人的神态，想要找出破绽。布网纹理上再次浮现出汉字：感觉没人能走出这里。若无非常手段，恐怕难以传出消息。翌日，[王田香]穿过大厅，打开唱片机，拿着文件快步上楼。
0:42:35|0:42:50|众人都收到[王田香]亲自送来的文件。众人纷纷填写自己的相关信息。
0:42:51|0:43:5|或是用钢笔，或是用毛笔，都工笔正楷地完成书写。[顾晓梦]偏头看着好友[李宁玉]，发现[李宁玉]一本正经地写着。[顾晓梦]和另一边[吴志国]隐隐约约感觉到了不大对头。
0:43:6|0:43:26|室外的楼台上，[王田香]吹着海风，凝神思索。而屋内的[武田]正翻看资料，仔细地查看。他将资料丢给两个手下，手下照着那日带回来的彩票广告，一一对比字迹。不惜用上游标卡尺测量笔画长短和放大镜观察笔锋走势，
0:43:26|0:43:35|精准地测量，准确地比对，一次次地测试。不知道过了多久，终于在笔迹方面找到了端倪。
0:43:36|0:43:53|另一边，[顾晓梦]点燃着香烟，扭动着腰肢在屋子里翩翩起舞。老唱片洋溢出静谧的气氛，长沙发上的[李宁玉]盖着毯子还沉浸在梦乡。窈窕的身段美感十足，[顾晓梦]靠在椅子上点着烟，
0:43:53|0:44:12|静静地望着[李宁玉]。她似乎在想，这种悠闲日子何时变得珍贵起来了。不料突然断电，屋里一片漆黑。紧接着，两栋大楼的灯也陆续熄灭。黑暗中，[顾晓梦]轻弹烟灰。屋外的脚步声吵醒了[李宁玉]，
0:44:20|0:44:30|[顾晓梦]也不知所然，微微摇头。[李宁玉]起身朝门口走去。突如其来的停电让她升起不祥的预感。她耳朵贴在门口仔细听着。
0:44:33|0:44:50|听这动静好像是[白小年]遭遇了不测。[李宁玉]快步跑到阳台张望。连接两座小道的铁桥上，两名特务拿着手电筒架着[白小年]走远。屋里，[顾晓梦]也上前趴在窗户上望去。[李宁玉]神色慌张，没有说话。
0:44:52|0:45:6|地牢里，俩人从前面拖着[白小年]，后面的特务捂着他的嘴，提着煤油灯。几人合力把[白小年]塞进电梯，电梯门被紧紧关上。[白小年]挣扎着徒劳无用，电梯缓缓下行。
0:45:6|0:45:21|[白小年]被带到了一个大澡堂的池子前。特务把一块木板丢在地上，而后两名手下搬来老虎凳，[白小年]被困在椅子上。对面坐着[武田]随性地摆弄着手上的香烟。
0:45:26|0:45:34|被困着的[白小年]惊恐地盯着两份文件。
0:45:42|0:46:0|[王田香]狞笑着后退，示意手下可以开始了。两名特务分别解开[白小年]的手脚。他惊恐极了。另一名特务走上来，一把拽住[白小年]的头发，一步一步将他拖拽进另一个房间，再狠狠丢在地上。房间门砰然关上。
0:46:1|0:46:24|[白小年]仰头看着犹如深渊恶魔一般的[王处长]，他惊恐万分。两名特务立马照办。他绝望地尖叫着。角落的特务正打磨着铁刺板凳，中间的一根尤为锋利和粗长。[王田香]看着体面的侍从官这般模样，发自内心地笑。
0:46:25|0:46:40|行刑室外，[武田]听到惨绝人寰的哀嚎声后起身离开。他甚至想好[白小年]如果不是内鬼，如何平息张司令的怒火。事实上，南京出差的张司令刚得知消息并赶来裘庄。
0:46:41|0:46:48|司令的车刚到，[王田香]带队赶来迎接。他的随从给司令的亲卫拦下，只有[王田香]进屋。
0:46:49|0:47:4|[武田]和司令高坐正位。[王田香]上前，司令虎目圆瞪，一脚踹倒[王田香]。[王田香]立马爬起站直，一旁的[武田]憋不住笑了起来。
0:47:8|0:47:15|司令疑惑地看着[王田香]，又看着[武田]。看着兴师问罪的张司令，[武田]搬出掛尾中将。
0:47:19|0:47:35|听到这司令也不好发作。武田说完，看向[王田香]。
0:47:36|0:47:43|在[武田]的催促下，[王田香]转身离开。不多时，司令坐在灯前，仔细对比这两份字迹。
0:47:52|0:48:17|司令的虎眸盯着[武田]，对方却有恃无恐地露出笑容。司令拄着手拐，一步一步走向审讯室。他必须要找[白小年]问个清楚。爬出水池的[白小年]，
0:48:25|0:48:50|司令一鞭子挥下，[白小年]的脸蛋留下一道口子。原本以为等到救星的[白小年]，此刻内心彻底崩溃。他啜泣地扒着水池，边抬头倔强地看向司令。停电的大楼里漆黑一片。一个人影提着灯走上楼。
0:48:50|0:49:8|对众人来说，这注定是一个不眠夜。黑暗里，[吴志国]轻轻吸着烟。[顾晓梦]和[李宁玉]窝在一个沙发里。这道身影这时停在门前。一门之隔的屋内，[金生火]坐在沙发上，抬起手枪紧张地盯着门口。
0:49:8|0:49:18|门外的特务拎着钥匙，转而又来到另一扇门前。屋里正是[顾晓梦]和[李宁玉]。
0:49:20|0:49:27|敲门声直击心脏，[李宁玉]拦住[顾晓梦]，自己去开门。手电光直射在她脸上。
0:49:32|0:49:48|黑夜中，[李宁玉]披着衣服孤零零地走向汽车。楼上的[顾晓梦]紧张地望着，她没想到，厄运这么快就降临在自己身边。另一栋楼里，一个穿着和服的女人在前面带路，
0:49:48|0:49:58|[李宁玉]跟着他穿过大厅路过合唱团，走到一扇挂画的门前。和服女人轻车熟路地打开门，率先走进。
0:50:0|0:50:6|月光洒下，把[李宁玉]绝美的侧脸印在挂画上。她稍作犹豫，便跟上也进了门。
0:50:7|0:50:15|和服女人挑着门口备好的灯，往更深处走去。漆黑的巷子中，[李宁玉]只能跟着唯一的光源走去。
0:50:16|0:50:27|行至拐角，和服女人还十分客气，做出一个请的手势。只见[李宁玉]走在前，她在后，高高挑着灯，直到二人走进电梯。
0:50:29|0:50:44|不多时，电梯门开了，二人缓步走出。她踩着高跟鞋顺着潮湿的通道向前。这里的环境一言难尽。更像是巨型老鼠打出来的洞一般，阴森黑暗又潮湿。
0:50:48|0:50:54|和服女人停下脚步，让[李宁玉]在此稍作等候，她则示意警卫开门。旁边的木牌用油漆写着，
0:50:55|0:51:3|危险立入禁止。这次和服女人没再带路。[李宁玉]刚迈进门，厚重的铁门已被锁上。
0:51:4|0:51:12|[李宁玉]目光扫过屋内，正中椅子上坐着和服打扮的[武田]，[武田]合上怀里的书，笑盈盈地看着她。
0:51:13|0:51:28|而此刻的大厅内，[王田香]拎起煤油灯直奔楼上。
0:51:59|0:52:2|[王田香]拎起煤油灯快步赶去。
0:52:5|0:52:14|审讯室里[武田]望着[李宁玉]旗袍下凹凸有致的身材。灯下站着的[李宁玉]点头，
0:52:16|0:52:35|她十分警惕地看着[武田]。牵挂许久的男友在得知下落后，[李宁玉]忍不住询问。武田朝着[李宁玉]走来，[李宁玉]盯着他，眼神透露出厌恶和不满。她不清楚这个男人葫芦里究竟卖的什么药。
0:52:35|0:52:47|彼时，[王田香]拎着灯，亲自来到另一边大楼，探查[顾晓梦]的情况。士兵敬礼。
0:52:57|0:53:9|士兵朝着房门走去，[王田香]把灯随手放在桌上，自己则躲在暗处观察。士兵刚抬手，门便被打开了，走出衣衫不整的[吴志国]。
0:53:10|0:53:18|[吴志国]皱了皱眉，一摆手说。
0:53:19|0:53:36|说罢，[吴志国]也不理士兵，朝着自己的房间走去。审讯室的书桌前，摆着一本人体解剖学。武田拿起桌上写好的彩票广告，看向[李宁玉]。最后，他又将其撕掉。
0:54:22|0:54:39|武田目光紧盯着面前的[李宁玉]，像是要把这个女人看穿。另一边，[王田香]来到[顾晓梦]的房间敲门，门内却迟迟没有动静。[王田香]仍然执着地问。
0:54:40|0:54:51|屋里依旧是没有丝毫动静。[王田香]迫切地想知道情况如何，又担心太明显反而暴露了监听设备。就在这时[顾晓梦]打开门。
0:55:0|0:55:8|正要关门的[顾晓梦]被[王田香]卡住门，[王田香]拿出一盒点心给她。
0:55:16|0:55:34|她轻轻接过[王田香]递来的点心，暗骂了一声。而审讯室里，[武田]拿来一个箱子。箱子不大，打开，但里面工具十分齐全，像医药箱一样。打开里面共有三层小抽屉，
0:55:36|0:55:53|每一层都密密麻麻摆满了不锈钢工具。[武田]从中拿出一把小刀。[武田]从箱子里挑选出工具。
0:56:2|0:56:11|他又不慌不忙地戴上白色手套，像是在准备一场重要的手术。他端着工具走来，
0:56:21|0:56:41|[武田]伸手去解[李宁玉]领口的衣钮，[李宁玉]向后闪躲。[李宁玉]最后的倔强是偏着头看向别处。泪珠从[李宁玉]靓丽的脸庞滑过，她仰着头，尽量不让眼泪流下来。
0:56:42|0:56:49|旗袍从衣领到下摆的纽扣全被[武田]解开。[武田]轻轻把她旗袍脱下，嘴里念叨着。
0:56:52|0:56:58|褪去旗袍，[李宁玉]只剩下两件单薄的内衣。[武田]继续用解剖知识洗脑。
0:57:0|0:57:5|[李宁玉]崩溃了，此刻她一丝不挂地站在这个人面前。[武田]缓缓扶起她的头，
0:57:13|0:57:28|他拿出游标卡尺测量[李宁玉]鼻子的尺寸，然后是嘴巴，一步一步往下，直到脚踝。[李宁玉]的隐私，还有尊严在此刻荡然无存。
0:57:31|0:57:39|[李宁玉]回忆起初次见到台上的话剧演员[刘林宗]。
0:57:46|0:58:1|那时，自己正满心欢喜地在台下看着他，四目相对，擦出爱情的火花。在地牢里，[白小年]已成一具浮尸，漂在肮脏的水池里。今夜一次停电，已经发生太多事了。
0:58:2|0:58:16|布网纹理上又一次浮现出汉字：已有对策，唯需老天助我一臂之力。司令闭着眼靠坐在沙发上。
0:58:32|0:59:2|白小年的死让司令有些失神。侧边沙发的[武田]不甘心地点头，然后便示意士兵说。
0:59:3|0:59:12|[王田香]低着头，生怕再惹司令不高兴。[武田]表情凝重地整理手套。
0:59:22|0:59:29|他目光如炬，盯着前方，渴望家族荣耀的[武田]要展开一场大野心。一个月前的上午，
0:59:39|0:59:46|会议室的军官一次又一次喊叫着他的名字。[武田]抬眼望去，缓缓站起身说道。
0:59:48|1:0:7|军官面色一变，嘴角抽动。军官不怒反笑，他突然收敛了笑容。
1:0:8|1:0:27|这名军官越说声音越高，将[武田]家族的尊严在一众高级将领面前踩碎。[武田]没有做解释，只是目光如炬盯着他缓缓坐下。
1:0:28|1:0:35|刚刚坐下的[武田]突然抱起双手一撑，爬上桌子凌空一跃，扑倒刚刚嘲讽的高级军官。
1:0:36|1:0:49|武田将其按在地上，发泄着心中怒火，其他军官急忙冲上去拽开二人。而那名军官被扶起时，脸被一支钢笔扎穿。
1:0:50|1:0:59|画面一转，武田戴着斗篷，正站在楼顶凝望远方。[王田香]从后面走来，皱着眉欠身向武田汇报道。
1:1:0|1:1:6|二人用望远镜观察情况。
1:1:25|1:1:56|武田放下望远镜心生一计，对皱眉的[王田香]说。[王田香]立刻会意，带着随从走出。屋子里的[顾晓梦]正坐在沙发上穿针引线，另一头的[吴志国]和[金生火]百无聊赖地下着象棋。就在这时，[王田香]走出。
