0:2:39|0:2:46|随着使者富有庄严气息的声音，外国使节[阿斯巴将军]一行人乘着马车来到大佛脚下，
0:49:49|0:50:6|只见他们围拢于一尊石台之旁，燃烛具数座，分台上尸体而餐，生撕吞咽不觉有异，顺水而行，又见一人天生六臂，左右双持器乐而奏之，乐声哀涩婉转而面无波澜，煞是瘆人，一路无话。
0:50:6|0:50:31|三人来到一处棚阁之外，这见梁柱纷乱参差毫无章法，薄雾笼罩之下，有摇摇欲坠之感，[裴东来]似是深谙其道，进入阁楼便唤人前来，只是未有应答，几人寻捣药声进入一间屋子，便见一老头坐伏于丹炉之前，形貌低矮臃肿污秽。
0:50:31|0:50:37|老头抬眼望向众人，冲[狄仁杰]径直说道，
0:50:45|0:50:53|说罢那老头伸手入罐取一条蜈蚣吞咽口中，
0:51:11|0:51:32|他将一个罐子扔到[上官静儿]，脚下几只婴儿手掌大小的毒蝎跌落出来。听闻[狄仁杰]之言，刚将那几只毒物解决完的[裴东来]从腰间卸下钱囊放在丹顶之上，[汪驴]闻声而来，只盯那囊中金饼两眼放光，随口说道。
0:51:33|0:51:38|此话一出[汪驴]立刻警惕起来，他收拢了目光犹豫着说道。
0:51:49|0:51:57|[狄仁杰]蹲伏于汪驴面前笑着将囊中金饼在他眼前晃了晃。
0:52:7|0:52:26|就在二人交谈之际，却听棚阁顶上传来异响，屋内笼中饲养之奇珍异兽一直发出哀嚎，四人抬头而望，只见一口巨钟重重落下，直接朝汪驴砸去，事出紧急，众人各自抽身躲避，扬起尘埃无数。
0:52:26|0:52:43|借此番乱象，汪驴拉开地板密道纵身一跃，消失无踪。[狄仁杰]奋力推开挡路铜钟，紧随其后跃入密道，另一边[裴东来]行至台阶上，昂头以观，见梁木错综之中似有人影闪动，随后开口说道，
0:52:44|0:52:59|正欲追查之时，突觉身后无人跟随，于是回头冲[上官静儿]喊道，[上官静儿]入密道之中，于是众人放弃追捕刺客，转而寻踪汪驴，以确保其安全。
0:52:59|0:53:19|另一边地下暗河之上，汪驴坐于事先准备好的舟船之中拨桨前行，一通滑行之后，汪驴忽觉脚下一凉，低头查看却见船底，不知何时出一小孔，河水正疯狂涌入舱中，就在汪驴正欲着手清理船中积水之时，暗河下却猛地飞出一根巨大的木桩，
0:53:19|0:53:37|顶头撞上船尾，小舟一阵摇晃，汪驴来不及反应，只见水下接连飞出木桩，直接将所乘舟船撞向半空，而后又重落于水面上，汪驴惊魂未定，抬头望去只见十多根木桩从天而降，砸入水中，掀起波澜无数。
0:53:37|0:53:57|就在汪驴庆幸此番遇袭自己并无大碍之时，却见半空中又是无数木桩从天而降，而这一次竟有一人立于木桩之上，随之坠下，直接将汪驴之舟颠覆过来，砸入水中。只见那人高大壮硕，身披血袍，脸上戴一副恶鬼面具，不露发肤神秘无比。
0:53:57|0:54:16|他见汪驴准备逃走，于是飞身而起做虎爪状，直逼汪驴后心，那掌风强劲，几寸厚的船板竟如泡沫一般被击碎，鬼面人抓住汪驴，却发现自己如此怪力，竟不能将其拖拽过来，回头看竟发现汪驴身前站着一人，正是[狄仁杰]。
0:54:16|0:54:31|如此千钧一发之际，他急忙将汪驴从鬼面人手中夺下，随后与赶来的两位同伴兵合一处，只知道鬼面人强横无比，以一敌三竟也不落下风，[上官静儿]舞长鞭如游龙，硬生生扯下鬼面人一只手臂。
0:54:31|0:54:52|与之纠缠的[狄仁杰]顿时压力大减，不料那手臂脱离人身之后，竟又化作两个血袍怪人隐于黑暗洞壁之中，凭空掷出箭矢，[上官静儿]抽身躲避，再看那鬼面人，妖异无比，数悉之间竟能再生，[裴东来]飞身而过，惊讶道。
0:54:52|0:54:54|身旁[上官静儿]笃定回答。
0:54:54|0:55:13|[狄仁杰]趁乱绕行至鬼面人身后，一脚将木桩踢了过去，哪知这鬼面人像是脑后生出双目一般，头也不回地伸手将木桩按了下来，[狄仁杰]一计不成便孤身吸引其注意，另一头的[上官静儿]以鞭为绳束缚鬼面人于木桩之上。
0:55:13|0:55:38|就在[裴东来]以为众人已经将其成功束缚的时候，那木桩上的鬼面人居然挣脱了束缚，只见他又是尝试脱皮，众人乱作一团，他右手握一柄蛇形短剑，左手持一根玄色令旗，立身于三人之间毫无惧色。
0:55:38|0:55:55|[狄仁杰]审时度势，便知此人不好对付，他心中顾忌汪驴之安危不愿再与之纠缠，他示意[裴东来]佯攻诡秘的鬼面人。自己趁他们缠斗之时，赶着汪驴身边将他从水中扶起，匆匆说道，
0:55:55|0:56:16|说罢[狄仁杰]就提着汪驴将他扔进一旁的落木地中，之后顺势藏于暗地的[裴东来]见状立刻起身去保护汪驴，鬼面人方知自己被算计，恼羞成怒，接连抛出木桩砸向[上官静儿]，有万军之力又角度刁钻，[上官静儿]一直擦身而过，堪堪躲避，[狄仁杰]抽身前来助攻，又与鬼面人缠斗在一起，
0:56:16|0:56:38|刚刚制住其双臂，那鬼面人又褪去上肢破开了束缚，只是这一次那退下的双臂无法化成人形，径直跌落水中，宽大袍袖里竟有两条怪鱼逃窜而出，透过水面双眼放出渗人的光彩，那怪鱼游行至岸边一跃而出，并化作另一番模样，只见它壮若人形，四肢俱在，
0:56:38|0:56:57|只不过头似妖鹫，长有弯刀，足似长钉，有一步杀人力气之壮，直奔岸上汪驴而去，[裴东来]刚刚赶来，来不及近身护卫，便祭出手斧砸下了怪物，无心之举，却十分轻易地将之力劈为二。还来不及松懈，又见到怪物凭空飞起张牙舞爪而来。
0:56:57|0:57:14|[裴东来]立刻拔剑以万钧之势劈下那怪物项上人头，用脚踩在尸体之上，借微光查看方才发觉怪物身上有细丝缠绕，不过傀儡而已，举头望去，那壁暗处果然有数名刺客以丝线操纵怪物。
0:57:14|0:57:27|裴东来怒不可及，自己堂堂大理寺少卿竟被这种江湖把戏折腾得狼狈不堪。他取出一根木桩奋力掷出，直接将那些灵通的丝线全部扯断，怪物便立刻动弹不得了。
0:57:28|0:57:45|看到[上官静儿]陷入苦战，他转头对[狄仁杰]说道，经此一战三人配合默契，早已冰释前嫌，互为同伴。裴东来说罢捡回手斧于高台上，飞身而下，将鬼面人逼退，随后与静儿并肩作战。
0:57:45|0:58:7|另一边[狄仁杰]安顿好汪驴之后，发现此处顶上梁木众多，杂乱不堪，架构不稳又摇摇欲坠，于是心生一计，便向底下斗争的二人大喊，说罢并双手围掌击断棚阁梁木，只见无数板材木坠空而下，砸在鬼面人身上将其淹没。
0:58:7|0:58:31|趁此间隙四人并合一处稍加休整，裴东来经历一番苦战满头大汗，略微均匀了呼吸后看着眼前汪驴发问道，[狄仁杰]此时已经冷静下来，闻静儿所言，他又是一番思虑，却又听裴东来压低声音说道，
0:58:31|0:58:45|只见那鬼面人未伤分毫，四处探寻，静儿说完发现[狄仁杰]正目光灼灼地盯着自己，心中大感不快，于是怄气，扭头破开面前木头冲了出去。
0:59:3|0:59:10|[狄仁杰]带着汪驴朝地面上赶去，准备离开鬼市，裴东来心有担忧，只得默默跟上在其身后赶路。
0:59:11|0:59:24|另一边在错综复杂的地下洞穴中，[上官静儿]孤身一人追寻着鬼面人的踪迹。在这深不可测的地下之城中，所到之处幽暗僻静，沟壑悬崖比比皆是，稍不留神，便会葬入深渊。
0:59:24|0:59:38|就在[狄仁杰]一行人正在赶路之时，[裴东来]忽然听到远处一声怪笑传来，对[上官静儿]的担心又迈上心头，他停下脚步，一番犹豫斗争之后，转身回头准备前去相助[上官静儿]。
0:59:38|0:59:52|[裴东来]顺原路返回于一处空阔潜水区域，失去二人踪迹，好在又是一声长啸，远远传来。顿声望去侧耳倾听，才发觉这声音之源头竟在高处崖壁之上。
0:59:52|1:0:17|[裴东来]抬头细细端详，只见那悬崖两侧峭壁之上有废弃殿无数，辅以人为雕凿之壁龛，燃火于其中用于照明，虽险峻无数，却有攀爬之余地，一番苦行之后，[裴东来]爬进峭壁上一处甬道之中，在其深处，进而听闻此番动静，腰间取金针三枚于手中顿时警戒起来。
1:0:17|1:0:35|而甬道另一侧，[裴东来]一时发觉不对劲，掩身形于洞壁之后，气蕴丹田，蓄势待发，随即抛出一枚暗器吸引注意自己狂奔其后，待到拐角处就把手斧送出，二人刚一照面便兵锋相对，这才明了对方身份，
1:0:35|1:0:41|各自收了武器。[上官静儿]倚靠在壁上，只听[裴东来]焦急问道，
1:0:42|1:1:6|不待他说完话，却见[上官静儿]横手于身前，[裴东来]便知那鬼面人应在甬道深处，于是摘下腰间镂空吊熏铜炉向前一掷，铜炉呈球状贴地滚动，其中火石甘草瞬时摩擦，片刻便火星四射照出鬼面人之所在，[裴东来]立刻飞身追去，跟随那鬼面人穿过杂草跳出甬道。
1:1:6|1:1:15|哪料得甬道之外乃是一处悬崖，鬼面人冲出之后不知所踪，却苦了[裴东来]，毫无防范之下，一脚踩空坠入了悬崖。
1:1:15|1:1:37|好在崖底有林木无数，[裴东来]回过神来，仰仗其轻功，以树杈树枝为缓冲，安然落地，毫发无伤，随后迅速起身警惕周边，发现那鬼面人早已无踪迹，一番查看之下却见林木深处有一道灯火通明，再看眼前若有一座石碑依稀刻有文字。
1:1:37|1:1:43|[裴东来]随取来火折子，点燃之后细细端详，[裴东来]低声念道石碑上刻字，
1:1:48|1:2:6|原来此处竟是当朝国师陆离清修之地，可为何从鬼市之巅一跃而下会来到无极观呢，[裴东来]百思不得其解。第二天[狄仁杰]带着汪驴先行回到了洛阳城内，二人一路警戒来到一处尚未修筑完成的异国教堂之外，
1:2:28|1:2:37|只见汪驴边说，边从其脑后接连拔出数根银针，霎时面上五官扭曲不断，容貌也随即大变。
1:3:3|1:3:33|此话一出，[狄仁杰]便陷入回忆中，四方馆那一夜类似的话，[上官静儿]也曾说过，二人尚不及细聊，只听敲门声，忽地响起，安抚好受惊的汪驴，[狄仁杰]起身前去开门，门外正是[裴东来]和[上官静儿]，二人寻凶未果，遂相伴归来。
1:3:33|1:3:42|踏入教堂，[裴东来]率先注意到一旁已经容貌大变的汪驴略带惊讶地询问道，
1:4:21|1:4:31|[上官静儿]性格刚烈，哪容得下汪驴这般言辞，霎时一扬长鞭将汪驴捆住，吊起于一旁的脚手架上，[狄仁杰]急忙上前揪住一节蟒鞭，
1:4:46|1:4:52|这一番话听着[上官静儿]没了脾气，汪驴也连忙开口说道，
