0:2:41|0:2:45|所有人都面露失望，只有一个人笑得不能自已，
0:50:20|0:50:43|这边的人鱼们集体策划杀[刘轩]，而另一边的[刘轩]却扛着礼物精心准备和[珊珊]的约会。[珊珊]披着头发坐在餐桌上，看着[刘轩]抱着玫瑰走过来，她面带笑容接过手中的玫瑰，[刘轩]扶着[珊珊]的肩膀坐在她身边，就在这时[八哥]穿着一身厨师的衣服，雄赳赳气昂昂地走了进来，
0:50:43|0:51:4|他把自己的爪子藏在围裙下面，整个人都显得十分壮硕。紧接着他走到餐桌前，双手握拳放在身体两边，气势汹汹地看着他们，怒吼一声，露出了抓着武器的爪子，
0:51:32|0:51:56|[八哥]把自己的爪子扔在炙热的铁板上，他的表情瞬间因为疼痛而变得十分狰狞，[珊珊]满脸惊恐地看着[八哥]，只见两位厨师已经开始料理[八哥]的爪子了，[八哥]的表情越来越痛苦，[八哥]的爪子被厨师一块一块切割下来，
0:52:5|0:52:13|爪子被放进了绞肉机里，
0:52:26|0:52:55|[刘轩]一脸冷漠，[珊珊]却眉头紧皱，最终[八哥]实在是痛到极致，忍不住向前喷出大量墨汁，然后起身飞出窗外逃走了，只见保镖们满脸都是黑色墨汁，[刘轩]把所有人都赶了出去，然后转身看着[珊珊]，
0:52:57|0:53:16|[珊珊]呆坐了一会儿，然后带着微笑扭头看向[刘轩]。[珊珊]瞪大了眼睛，收起了笑容，愣了几秒后，从包里缓缓掏出了一个匕首，[刘轩]一把拽过[珊珊]的手，从盒子里拿出一个超大的钻戒，戴在[珊珊]的无名指上，
0:53:22|0:53:26|[珊珊]愣了几秒，用力把手从[刘轩]手中抽了出来，
0:54:40|0:55:0|[刘轩]一把打掉[珊珊]手中的匕首，然后抱住她用力稳了下去，两人在空无一人的大厅上紧紧相拥着，深深亲吻着，[珊珊]沉醉在[刘轩]的亲吻中，眼泪却慢慢地滑落下来。就在这时，[李若兰]突然从门外走了出来，
0:55:0|0:55:28|三个人在屋里相对无言，[珊珊]看了一眼[刘轩]，立刻转身离开了。我的忍耐是有限度的，[刘轩]看了[李若兰]一眼，从怀中拿出被窃听的手机，
0:55:44|0:55:57|[刘轩]把[李若兰]扔在屋子里，头也不回地走了，而另一边逃走的[八哥]正躺在沙发上，包扎着自己伤痕累累的脚，
0:56:29|0:56:48|[八哥]蹲下来看着沉默不语的[珊珊]，[八哥]突然倒立着转起了圈圈，[珊珊]瞬间就懵了，
0:57:4|0:57:16|[珊珊]满怀怒气地打开了门，发现门外的人居然是[刘轩]。[刘轩]看着[珊珊]的鱼尾，又看着满屋子的人鱼和跳在风扇上的[八哥]，
0:57:21|0:57:38|[刘轩]回过神看了眼[珊珊]，[珊珊]也一脸惊恐地看着他，[刘轩]转身想跑，不料一步都没迈出去，就被套房打晕了，他躺在地上被冷水泼醒，
0:58:34|0:58:48|[八哥]伸出爪子一把缠住[刘轩]的脖子，将他拽到地上，然后拖向自己，他用尽全身力气意图用爪子把[刘轩]勒死。
0:58:48|0:59:9|就在这时[珊珊]突然出现，用匕首砍动了[八哥]的爪子，[刘轩]瘫倒在地用力喘着气，[刘轩]跳进水中逃离了危险。
0:59:9|0:59:18|所有人都一脸诧异地看着[珊珊]，[八哥]弯腰取走了[珊珊]手中的匕首，[珊珊]趴在地上低着头，眼泪止不住地向外流，
0:59:23|0:59:48|[珊珊]只顾着哭却不说话，[八哥]满脸失望地看着她，缓缓举起手中的匕首，[八哥]举着匕首的手在颤抖，然后颤抖地向后倒下去，而另一边刚刚逃之夭夭的[刘轩]直接到了警察局，喘着粗气坐在椅子上，
1:0:17|1:0:41|警察画了一张左半边是人，右半边是鱼的图给[刘轩]看，警察又画了一张，上面是尾巴，下面是腿的图，它上面是人，警察把手中的图倒了一下，警察又画了一张，上面是人脸，下面是鱼脸的图。
1:0:42|1:0:50|另一位警察向[刘轩]摆了摆手，然后拿过纸和笔，在刚刚的图上加了浓密的头发，
1:1:19|1:1:29|[刘轩]激动地讲着自己的遭遇，其中一位警察忍不住笑了
1:1:42|1:1:49|两名警察同时捂着脸努力憋笑，
1:2:47|1:3:12|[刘轩]突然推开了门，[刘轩]无奈地离开了办公室，笑声再次把[刘轩]带回办公室，[刘轩]看着两个一本正经的警察憋了一肚子火气，转身离开了，
1:3:38|1:4:4|[刘轩]看着门口的[李若兰]，十分激动地走过去抱住了她，[李若兰]伸手回抱[刘轩]，脸上的笑容越来越大，[刘轩]从[李若兰]的怀抱中退出来，然后握着她的双臂上下端详着，
1:4:18|1:4:24|画面再次转向破旧的船舱，[珊珊]看着玻璃缸里奄奄一息的人鱼，
1:4:32|1:4:45|[珊珊]靠在玻璃缸旁边，一言不发，眼睛却瞄向地上的匕首，[珊珊]捡起匕首准备自杀，不料婆婆却突然阻止了她，
1:5:40|1:5:59|婆婆说着话，眼睛却盯着墙上一幅人鱼和人类相爱的图，画面一转，[李若兰]穿着性感内衣侧躺在床上，另一只手夹着一支烟，[刘轩]坐在桌子前，目不转睛地盯着屏幕搜索人鱼的资料，
1:6:5|1:6:19|[刘轩]不顾[李若兰]的呼唤继续盯着屏幕，他在网上观看着各种各样生态被破坏的资料和视频，
1:6:43|1:6:58|[刘轩]一步一步走向[李若兰]，然后伸手抓起她的一只脚，[李若兰]身体向后依靠，以为[刘轩]会对自己做些什么，不料[刘轩]只是抽出[李若兰]压在身下的衣服，
1:7:11|1:7:35|[李若兰]看着[刘轩]离开的背影，眼眶里满是泪水，她整个人都气到发抖，[刘轩]匆忙来到实验室，他穿过来往的工作人员，走到实验室的操控室里，[刘轩]跟随工作人员来到声纳模拟室，
1:7:45|1:7:52|声呐模拟器缓缓从[刘轩]头顶落下，他独自一人站在空旷的房间内，
1:7:55|1:8:14|[刘轩]看着声呐模拟器犹豫了片刻，工作人员打开模拟器的开关，[刘轩]在模拟器的攻击下脸都变形了。
1:8:31|1:8:37|[刘轩]看着眼前的股东们抬手指了指外面
1:9:6|1:9:20|[刘轩]被[李若兰]的话惊住了，他回头看了看[李若兰]，[李若兰]冲他笑了一下，工作人员在实验室关掉了声呐，[刘轩]抬手拍了拍[李若兰]的胳膊，
1:9:41|1:9:49|[刘轩]抬手把[李若兰]拽到一旁，
1:10:7|1:10:15|[李若兰]说完转身就推开右手边的大门走了过去。
1:10:23|1:10:28|[刘轩]看着陌生的实验室，整个人都呆住了。
1:10:50|1:11:4|[刘轩]被眼前的一幕惊呆了，实验室的玻璃柜里竟泡着两具人鱼的尸体，他向前走了两步，看着眼前的一切久久说不出话来。
1:11:19|1:11:26|[李若兰]转身刚要走，[刘轩]一把把他拽住，
1:12:19|1:12:31|[李若兰]打了[刘轩]一巴掌，然后转身就走，她边走边脱掉外面的红色外套，露出了里面的紧身皮衣。[李若兰]很快带着全副武装的下属们来到人鱼的落脚地。
1:12:53|1:12:58|[李若兰]的船只距离人鱼们越来越近，而另一旁的[刘轩]正在等助理来接自己。
1:13:30|1:13:54|[刘轩]开着豪车扬长而去，[李若兰]和她的下属们此刻也纷纷来到人鱼们所住的货船中，众多黑衣人借助绳子从船上的破洞一跃而下，其余人也陆续从别的入口闯了进来，空旷的船舱之中渐渐布满了拿武器的人群，实验室的外国男人在船舱中看到一幅画，上面画着一对夫妻，
1:13:55|1:14:1|妻子是人鱼，而丈夫却是人类。随后他指了指水下，
1:14:2|1:14:34|一个穿着潜水服的男人从人群中走了出来，打开强光手电筒，然后从木板上掉入水中，他一跳下水就用手电筒对着船底四处扫射，只见所有人鱼都在底下，男人缓缓浮出水面，然后对岸上的人指了指水下，又比了一个大拇指，岸上的人们集体持枪对准了水下，
1:14:36|1:14:56|岸上的人类对着水底无情的扫射着，很多人鱼都被射伤了，大家慌忙逃窜，鲜红的血水渐渐染红了水底，而另一边[刘轩]正开着豪车被堵在大马路上马路上的车堵得水泄不通，
1:15:1|1:15:27|画面再次回到破船里，岸上的人类依然在疯狂持枪扫射着，许多人鱼被迫离开水底跳上了岸，一条人鱼无助地躺在地上，手里拿着一个像锤子一样落后的武器，围在旁边的几个人后退一步，然后一同举起手中的武器，狠狠地刺向他，
1:15:29|1:15:37|鲜血染红了破旧的地板，所有人鱼都在遭受着人类无情的捕杀，一条年幼的人鱼被捕捉上来。
1:15:37|1:15:57|外国男人急忙拿着扫射仪对他进行扫描，人鱼的内部骨骼结构清晰地呈现在人类面前，外国男人挥了挥手，旁边的人立刻拿着麻袋走了过来，然后把地上一条一条奄奄一息的人鱼装进去，丢到旁边的空地上。
1:15:58|1:16:11|就在这时，刚刚浮出水面的[珊珊]转眼间就被套住脖子拽到地上，一把镰刀冲着她的头砍了过来，[珊珊]急忙向旁边一躲，然后拼命冲进水里。
1:16:11|1:16:33|两个带着防水装置，手持弓弩的男人紧禁紧随其后跳进水中，[珊珊]拼命向前游着，后面的人类穷追不舍，[珊珊]灵活的摆动身体，躲过了身后射来的弓弩，然后再一次冲出了水面，她拼命躲过武器落到弹簧床上，本想借着弹簧床的力量逃跑，结果还是被拦住了。
1:16:33|1:16:48|[珊珊]被迫跳回了u型池当中，抬头却看到很多人举着武器向自己冲过来，她用鱼尾使劲拍了一下地面，借力飞在半空中，来抓她的人全部撞在一起，倒在地上。
1:16:48|1:17:17|[珊珊]从半空中坠落摔到人类的身体上，人类借机勒住了她的脖子，就在这时，八爪鱼突然伸出爪子将[珊珊]救走了，他看了看[珊珊]，又看了看船舱里的人类，急忙跑到发射器旁，将[珊珊]发射出去，八爪鱼自己却落入了水中，人们看着空中的[珊珊]再次向她扔出武器，[珊珊]幸运地躲过了所有武器，却在即将逃出船舱时，
1:17:17|1:17:33|被蹲守在上方的人类打落回船舱里，她重重地摔在地上，怎么也爬不起来。四周的人类看着倒地不起的[珊珊]，举着武器一步一步向他逼近，就在[珊珊]命悬一线之际，她身边的人类突然被一阵水流打落了，
1:17:37|1:17:59|水流渐渐平息，婆婆像守护神一样出现在[珊珊]身边。[珊珊]回头看了一眼池边的婆婆，岸上的人类也面露惊讶地看着这位突然出现的老人家，婆婆缓缓的从水中抬起自己五彩斑斓的尾巴，然后用力向下一压，水池里的水瞬间开始向两边翻腾，
1:17:59|1:18:23|所有人的视线都被眼前翻腾的波浪吸引住了，部分站在岸边的人也被波浪卷了出去，婆婆再次抬起自己的大尾巴，煽动着水浪冲着旁边的人一次又一次打了出去，岸上所有人类都被水流打入水池当中，连一丝反抗的机会都没有，他们每个人都狼狈地在空中飞舞着，
1:18:32|1:18:55|婆婆一屁股坐回原来的位置，水池当中一片狼藉，到处都是人鱼的尸体，其余活着的人鱼也纷纷游到水面上，刚刚被装进麻袋的人鱼也纷纷从麻袋中挣脱出来，被打落在水边的外国男人依然不死心，他看着岸边的婆婆伸手拿起了面前的枪，对着婆婆按动了扳手，
1:18:55|1:19:4|婆婆虽然察觉到外国男人的举动，但是还是被炮弹打出了船舱。外国男人收回枪，挣扎着向前爬去，
1:19:14|1:19:27|[珊珊]虚弱地趴在船舱里松了一口气，，其余人鱼也急忙逃出船舱向海中游去，船上的人类再次发起攻击。
1:19:52|1:19:56|[珊珊]回头看了一眼船上的外国男人，顾不得尾巴上的弓弩，
1:20:0|1:20:13|外国男人在船上追踪着[珊珊]的踪迹，随后快跑几步，持着枪跳到一旁的快艇上。[珊珊]拼尽全力向前游着，人类的快艇在她身后坚持不懈地追赶着。
1:20:13|1:20:20|但是因为浮标的存在，无论她跑到哪里，人类都可以根据浮标的位置找到她。
1:20:20|1:20:45|看着离自己越来越近的快艇，她临时来一个急转弯，快艇也跟着急转弯，快艇上的人类统统摔在船上，外国男人扔下弓弩，持枪对准海面，就在外国男人感到丧气之时，突然见一架直升飞机从头顶飞过，原来是[李若兰]，[李若兰]在直升飞机上寻找[珊珊]的踪迹，[珊珊]继续向前游着，
