0:1:19|0:1:26|随着一声巨响，画面来到英岛IPT研究所人体实验基地。
0:19:11|0:19:27|后面的越野车突然加速，直接撞上了[夏天]的车尾。[夏天]受力朝前突了一下，连忙回头看去，后面的车还是紧跟不舍。[夏天]转动方向盘，准备超过前面的卡车。怎料卡车也应该方向盘。
0:19:27|0:19:44|当在了他的前面，同时后车又追了上来，再次撞向[夏天]的车尾，[夏天]的头磕在了方向盘上，他捂着额头向后看去，没想到越野车不停地撞击着车尾，[夏天]想要从缝隙中超车，却还是被卡车挡住。
0:19:45|0:20:1|就这样，越野车顶着[夏天]的车尾，前面卡车的后车板忽然打开接着放下，[夏天]只能猛踩刹车，车板落在地上，[夏天]的车被推着开进了卡车的车厢里，卡车的后车板被缓缓收了回来，[夏天]慌张的喊道。
0:20:7|0:20:19|车厢内漆黑一片，忽然，一盏大灯打开，[夏天]叫出声。一个男子趴在车前盖上，一个男子站着，两人观察着[夏天]，[夏天]也侧头看着两人。
0:20:19|0:20:24|这时，[崔琥]朝车走了过来，因为面朝灯光，[夏天]只能眯着眼睛，他看到了[豆豆]。
0:20:39|0:20:47|[夏天]却推不开门。[崔琥]转身，摸着[豆豆]的脑袋。
0:21:5|0:21:9|[崔琥]示意之后，手下拿起手提箱上前，[崔琥]接着说。
0:21:32|0:21:44|他看着[豆豆]被注射炸弹愣住了，[崔琥]则指着手表，他按下计时，寸头女手下接过[豆豆]。
0:21:59|0:22:2|[豆豆]看着车里的妈妈，又大声地哭喊道。
0:22:8|0:22:17|[夏天]紧握方向盘，咬着嘴唇。接着，画面回到实验室，[向东]正在分析数据。[向东]听到声响回过头。
0:22:26|0:22:35|就在此时，[夏天]已经赶回了研究所。他抬头看了眼中央控制室，给[向东]打去电话。[向东]看着数据接起了电话。
0:22:42|0:22:56|[夏天]一边狂奔一边挂掉电话，跑过露台进入大厅，迎面碰到人也不顾闪躲，而是直接推开。其中就有带人装炸弹的西装男。西装男侧过头，看着[夏天]的背影进入一扇门。
0:22:58|0:23:17|[夏天]跑上分析室的二楼，脚步慢了下来，愣了两秒之后呆滞地摔坐在地上，先是一阵恍惚，然后用手捂住了嘴，干呕了一下，情绪才反应上来，眼中已经被泪水所浸湿，她惊恐地捂着嘴朝着四周望着，不敢发出声音。
0:23:17|0:23:23|而她面前的地上，向东已经倒在血泊里，[夏天]向前爬去，轻轻推了一下向东。
0:23:25|0:23:38|一个圆球掉了出来，[夏天]吓得往后坐去，因为发出声响，他慌张地望向旁边，只见对面有人过来开会，发现无人注意到自己，[夏天]喘了口气。
0:23:38|0:23:52|地上的圆球里竟装着一个眼球，而[夏天]伸出手准备去拿那颗眼球，在靠近时，他痛苦地闭上眼别过头，手在旁边止不住地颤抖着，最后他还是皱紧眉头拿了起来。
0:23:56|0:24:9|[夏天]被突然的手机震动声惊语一下，他立马慌张地看了看周围。他赶紧接起电话，对面传来催壶的声音。此时，[黄晨]走进一楼。
0:24:27|0:24:32|[夏天]从地上起来，环顾了一圈之后，将眼球放在了桌上的镜影中。
0:25:0|0:25:3|[夏天]挡在楼梯上，又接过文件墙。
0:25:16|0:25:30|看着[黄晨]走下楼，[夏天]靠了下楼梯后，又抓紧时间上楼。每走两步却响起电话声。[夏天]朝下一看，[黄晨]正拿着电话，只能挥手催促。
0:25:34|0:25:47|目送[黄晨]离去，[夏天]抬头看了眼文件柜，接着，他一手拿着眼球用西装挡住，着急地下楼，却碰掉了别人的文件夹，穿过人群，却用女的撞上推车，同事问。
0:25:49|0:25:57|[夏天]吃痛，却还是摆了摆手，说完，他又亮腔地跑开了，没多久，[所长]出现在他的身后，[夏天]，你在这干什么？
0:26:15|0:26:23|[所长]听到这话愣了一下，转头，两人来到了数据室。[所长]的眼球对着识别器，识别完之后他开口。
0:26:26|0:26:30|准备离开的[所长]又转头问。
0:26:48|0:27:2|确定[所长]离开之后，[夏天]从口袋中掏出眼球，两手包住对准的识别器，上方显示三人的红膜识别都已完成。很快，数据密钥生成，从卡口中弹了出来。
0:27:9|0:27:29|[夏天]松了口气之后，拿上密钥迅速地进入数据室，扒着栏杆一步跨上了中央操作台，插入密钥之后快速地输入起来，一边加载完成，又拿下密钥去另一边继续输入，直至总显示屏上显示四个数据加载完成，到了最后一步。
0:27:30|0:27:37|[夏天]伸手举起，在上方的显示屏上输入着，完成后看着加载进度，缓慢地进行到10%。
0:27:39|0:28:0|与此同时，拿到资料的[黄晨]回到了分析室。[黄晨]走上二楼，发现没人，嘟着嘴呼了口气，摇晃着往桌边走去。[黄晨]注意到踩碎了什么东西，低头一看是一只针管，刚好抬头时，却看到了旁边文件柜下的血迹。
0:28:2|0:28:19|而另一边的[夏天]，一边按流程输入，一边焦急地看着手表。分析室内，[黄晨]已经来到了文件柜前。打开柜门，他惊坐在地上。顿时，研究所内警报器拉响，提示音响起。
0:28:40|0:28:56|这边，安保刚赶到分析室，而[夏天]还在数据室里焦急地等待着，他双手合十交叉起跑站。分析室内，一个安保询问[黄晨]，[黄晨]无力地摇摇头，在检测的安保却检测出了[夏天]的信息。
0:29:8|0:29:17|正在办公室的[大雄]听到[夏天]的名字，抬起头。而安保队长已经来到[所长]办公室。[所长]一惊讶地站起身。
0:29:24|0:29:26|相同研究员被注射了PTX导致死亡。
0:29:53|0:29:56|[夏天]分析数据模块，却被[大雄]拉住。
0:30:30|0:30:34|原来，[大雄]护着[夏天]躲在了柱子的凹陷处。
0:30:47|0:30:55|[大雄]紧紧地按着[夏天]的胳膊思索着，目光突然转向了脚边的通风口，而外面的安保似乎有所察觉。
0:30:56|0:31:15|他走了两步，对那边搜索的下属说道。安保属下一个转身来到门口，感应门自动打开，他举着枪走进去，发现有人立马快走了两步，而[大雄]举起双手反问道。
0:31:25|0:31:45|[夏天]正拿着数据模块蹲在通风口内，他顺着通风管道一直移动，来到了另一头。跳下通风口的[夏天]摔坐在地上。离开研究所，必须经过大厅，安保正在疏散着电梯口的人群。
0:31:45|0:31:49|[夏天]往自己所处的楼层电梯口跑去，却碰上了两个安保。
0:31:53|0:32:20|[夏天]双手紧紧握住数据模块抱在怀里，两个安保却突然被射中倒在地上。[夏天]慌张地看着地上的两人微微侧过头看向身后大厅的安保已经全部准备好掏出了枪等待着。[夏天]却在电梯口的显示屏上看到了等待着自己的安保望着眼前被留下的推车上面的实验品让他有了想法。他推着推车按开了电梯。
0:32:23|0:32:40|刚刚出手帮忙的西装男，正躲在后面，报告着[夏天]的行踪。进入电梯的[夏天]，从推车抽屉内拿出药瓶，打开后将粉末倒在了盆子里，又引开液体的瓶盖倒了进去，两者产生了化学反应，很快就升起了白雾。
0:32:40|0:32:47|[夏天]用胳膊挡住口鼻扇了扇，又继续往里面添加药品，安保队长看着他的行为很是不解。
0:33:15|0:33:19|突然的爆炸，冷起白灰，[夏天]趁机跑出了电梯。
0:33:29|0:33:46|跑出大厅的[夏天]，对着走廊上的门，终于找到一扇没被上锁的。他立刻推开门跑了出去，追上来的安保看着已经没有人的走廊，双手并拢是以分头去前面找。而此时，[夏天]已经爬上了外面的一处凸起的三角顶上。
0:33:46|0:34:0|他正在沿着梯子向上爬着，爬到顶上之后，[夏天]观察着走廊的安保。安保的一个转身，他连忙缩回头去。确认安保走过之后，他爬上窄窄的楼顶，小心地往垃圾处理口走去。
0:34:2|0:34:17|一个脚滑，吓得他连忙趴了下来，稳住之后他捂住胸口，喘着气缓了缓，又继续向前走。到了处理口，他侧身滑下，却没有停在处理口上方的窗户边，而是滑进了处理管道里。
0:34:17|0:34:30|巨大的冲击力下，他别过头，用胳膊挡着垃圾，所有的管道通向中心的捆碎机。[夏洛]刚出管道。连忙伸手去抓边上的滚轮。滑行了一小段之后，他终于抓住了滚轮。
0:34:31|0:34:47|手中的数据模块却失手滚了下去。[夏洛]看着数据模块停在了不足半米的台子上，而雪都坚持正往下铲着垃圾。她扒着滚轮间隔的铁管，四肢并用先往数据模块对面的上方移动。
0:34:47|0:34:56|[夏洛]以艰难的姿势缓慢地移动着，周围不断滚落的垃圾袋更是危险所在。一抬头，一袋垃圾却朝自己扑了过来。
0:34:57|0:35:8|被砸了个正着的[夏洛]，在垃圾的带动下，头朝下滑了进去。在快到台子时，他的手使劲抓住了滚轮，而尺尖就一下钉在了他的面前。
0:35:8|0:35:24|他喘了口气，换左手抓住滚轮，用更靠近的右手去抓数据模块，一旦再靠近一些，就会被尖尺所砸到。[夏天]不管不顾，一步步地朝着数据模块爬去。[夏天]倾斜着身子，手上的筋全部鼓了起来。
0:35:25|0:35:36|终于，[夏天]抓住了数据模块，他的左手依然抓着滚轮，翻过身旁屏让自己喘一口气，而在他的不远处，坚持还在不断地铲着垃圾。
0:35:38|0:35:55|研究所对岸，[崔琥]等人等候着，[豆豆]坐在斜放下的车后板上，女手下拿着枪站在前面，[崔琥]则看了眼手表上的时间，显示还剩一分钟，[崔琥]回过头看向[豆豆]，[豆豆]不自觉地站了起来，[崔琥]转过身走向他，
0:35:55|0:35:57|弯下腰握着他的脑袋问道，
0:36:14|0:36:26|[崔琥]亲了亲[豆豆]，摸着他的头。此时，[夏天]开着车赶来。见他过来，手下都举起枪靠近。[夏天]打开车门冲了下来，却被手下拦住。
0:36:28|0:36:31|女手下控制住[豆豆]，[夏天]大喊。
0:36:48|0:37:14|一个技术员拿过[夏天]手里的数据模块放入检测器当中，然后抱去给[崔琥]看，[夏天]则大声地安慰[豆豆]。[崔琥]拿出数据模块想一想，示意女手下放开[豆豆]。[夏天]紧紧抱住[豆豆]。
0:37:22|0:37:25|[豆豆]脖子上的点却亮了起来，[夏天]看向[崔琥]。
0:37:31|0:37:37|[崔琥]看了看他，转过头，接过一个笔状的按钮。[夏天]紧张地问道。
0:37:44|0:37:57|[崔琥]没有应答，而是凑近给[夏天]看了看按钮，接着直起圈子，拇指逐渐靠近按钮。[夏天]紧张地抱住[豆豆]，随着[崔琥]的按下，对岸的连接研究所一阵爆炸声响起。
0:38:24|0:38:46|说吧，村户按下手柄上的按钮，[夏天]摸着[豆豆]脖子上闪烁的点。[夏洛]又是搓又是捂，却无法让计时器停下。随着计时器停止，[豆豆]头朝后一仰，[夏洛]拖着他的背，使劲地揽到自己的怀里。
0:39:0|0:39:16|两个打手走过来，拉住[夏洛]的胳膊，强行地将二人分开。被拉走的[夏洛]绝望地嘶吼着，他的腿也不断地朝[豆豆]的方向卖力地蹬着。可无奈自己的力气还是太小，最终他还是被无情地拽上一辆商务车。
0:39:17|0:39:27|而[豆豆]被一个手下抱起，扔到了卡车里，被拉上车的[夏洛]还挖着车窗边想要出去，却被两个打手一人一边制住了手腕。
0:39:36|0:39:39|[夏洛]睁不开一只手，就朝[崔琥]的头伸去。
0:39:42|0:39:51|两个打手及时拉回了[夏洛]，再次将他控制住，并把他的头按在了中央扶手上。[崔琥]揪住[夏洛]的头发。
0:40:11|0:40:27|[夏洛]的眼神变得暗淡，[崔琥]得到他的认同后，抬了下嘴角，松开了按着他的手。就在这时，[夏天]的眼珠转动起来，猛地哭了起来，抓住了司机手下的车挡板。车子一下失控，几人受惊吓影响，向前倾去。
0:40:27|0:40:36|车子在环上经过路上，一左一右地沉静着，打手又得顾及地去控制[夏天]。车子就这样在环上经过路上，一左一右地前行着。
0:40:37|0:40:54|突然，[夏天]向前猛地一用力，将车子的挡杆推到了最高挡，车子驶离公路，翻了下去。几个跟头之后，车子整个翻过来停在了半山腰，打手和摧虎都满头鲜血，昏迷不醒。
0:40:54|0:41:0|而[夏天]躺在了正中间的位置，他睁开双眼后，从摧虎身上爬出了车厢。
0:41:5|0:41:22|下半身还没有完全爬出来的他，无力地翻身躺在了地上。他喘着气，眼神空洞，紧闭了一下双眼，想让自己缓过神来。再次睁开眼时，一架飞行器飞到了他的上空，思绪一下被拉回到了从前。
0:41:22|0:41:32|那时，[夏天]带着[豆豆]在山上野营，山上的雪还没有完全融化。他蹲在地上操控飞行器飞起来，[豆豆]就站在旁边看着。
0:41:33|0:41:37|飞行器飞出了山坡，[夏天]对[豆豆]说
0:41:42|0:41:50|[豆豆]按下确定键，飞行器向四周喷射出催化剂，四周顿时乌云密布，接着就下起了雨，[豆豆]欢呼
0:41:52|0:41:57|[夏天]一手遮住阳光，看着雨亭出现彩虹，[豆豆]再次惊呼
0:42:10|0:42:30|回忆到母子二人做完彩虹战士的招牌动作就结束了，因此[夏天]决定赶回研究所，[夏天]却反方向往里走，他的脚步亮亮呛呛，突然再次袭来爆炸，一阵烟灰四起，[夏天]倒在地上，连忙捂住脑袋，接着他起身，没走两步
0:42:30|0:42:49|就看见眼前的雕像正要倒下，[夏天]连忙后退，幸好，雕像倒下之后，靠在了斜前方的柱子上[夏天]跑出去一段距离之后，雕像还是冲入柱子，完全倒在了地上办公室内，电线因为断裂火发四溅，[夏天]双手打在头上
0:42:49|0:43:0|快步往里走着，旁边的房间却再次传来爆炸，[夏天]被巨大的气压推向了一旁的玻璃，头部直接将玻璃撞出裂痕，人也倒在了地上
0:43:0|0:43:12|趴在地上的[夏天]单手撑地，痛苦地抬起脑袋，可又无力地侧倒下去，左手捂住了右手手肘。没过多久，他还是强撑着站起了身子，推开办公室的门，终于小天。
0:43:35|0:43:43|[大雄]看着浑身是伤的[夏天]。[夏天]却静止走到操作台前，用胳膊擦开灰土。
0:44:38|0:44:51|鱼身爆炸震碎了操作器的玻璃，完成换装的[夏天]已经走进了传送室里，在内部屏幕上点击了重组粒子，然后点击确定，重组准备开始加载。
0:44:51|0:45:11|加载完成之后，[夏天]后退一步，他抬起头，看着这熟悉又陌生的传送器内部。外面被爆炸震倒的[大雄]站起身来，看着传送器内的[夏天]。传送器内的零件开始运作，感受到震动的[夏天]，低头看了看脚下，耳边传来[大雄]的声音。
0:45:11|0:45:17|[夏天]看着外面的[大雄]，虽然他喘着气，但是眼神依旧坚定。他脚下的铁盖与花瓣罩打开。
0:45:18|0:45:35|[夏天]后退了一小步，透过玻璃盖看着脚下。由此可以看到传送器的高度很高，整座研究所的中心每一层都被设计成仪器，到了顶部和底部逐渐收缩。[夏天]看着自己脚下深渊一般无底的传送器。
0:45:36|0:45:53|脸上布满伤痕的他，又挪动了一小步，站回了中央。他抬起了双眸，并握紧了自己的双拳。随着玻璃盖打开，[夏天]整个人坠落下去。在重力的影响下，他翻了个筋斗，头部朝下，一层层穿过传送器的内部。
0:45:53|0:45:58|就在他下落的同时，研究所最上方的传送器顶部，正在飞快地转动着。
0:45:59|0:46:16|随着下落的高度更多，[夏天]抬起了胳膊，抵挡了一些冲击。到达了最底部，中央呈水面状，最中间闪着亮光，[夏天]穿过这里，像是进入到了另一个世界一般，周围只有烟雾和反射的光线。
0:46:16|0:46:35|而失去重力的[夏天]，在半空中缓慢地翻转着。慢慢的，特殊材质制成的衣服开始化为一颗颗的粒子，紧接着，[夏天]的皮肤也开始散为粒子，直至[夏天]全部化为粒子，整个人慢慢地消散在了这个空间里。
0:46:35|0:46:45|在这一过程中，所有的事情开始倒带，在爆炸中炸裂的文件全部都恢复了原样，赶回研究所的[夏天]由前进变为后退。
0:46:46|0:46:59|曾经倒下的雕像努力了起来，冲下山坡的汽车也重新回到了公路上，被扔进卡车里的[豆豆]也重新回到了车口手下的手中，安宝则正在电梯口等着[夏天]。
0:47:1|0:47:20|时间回到了一小时五十分钟前，[大雄]正在传送室的办公室内看着资料，他一只手拿过旁边架子上的文件夹铺展开，又拿下一个观测眼镜戴上，这时，面前的显示屏弹出提示框，他又摘下观测眼镜，屏幕显示机器正在操作，同时，
0:47:20|0:47:28|身后又传来动静，他疑惑地回过头去，看向传送器，[大雄]转过座椅，放下手中的观测眼镜，站起身来，人？
0:48:19|0:48:31|[大雄]跑去帮[夏天]拿衣服，传送室内的[夏天]却捂住了脑袋，他蹙着眉头让自己站了起来，扶着传送器的门框，刚走出来，又捂住了脑袋，整个人差点站不稳，朝后倒去。
0:48:31|0:48:38|好在扶着门框支撑自己，没过多久，[夏天]穿好衣服走出来，[大雄]满肚子的疑问。
0:48:49|0:49:7|[大雄]惊讶地张开了嘴巴，而[夏天]顾不上多解释，拨通了电话，几声铃响之后，传来向东的声音。
0:49:15|0:49:19|大熊，黄澄刚好坐电梯上来。
0:49:35|0:49:53|分析室内，一瓶药从架子上掉落下来，向东听到声音之后转过身，弯下腰将药瓶抬起来，就在要放回架子的时候，一只手突然从对面伸了过来，紧紧地抓住了向东的衣领。向东还来不及反应，一根针管就插入到他的脖子里。
0:49:54|0:50:8|向东被注射了PTX针剂，头部快速冲血，逐渐失去了力气，倒了下去。赶到分析室的[夏天]，先抬眼看了一眼二楼，只见西装男手上沾着鲜血站了起来。
0:50:8|0:50:24|[夏天]绕到更易观察的试验台旁，西装男一边走下楼梯，一边整理着衣袖。[夏天]眼看着对方就要走到一楼，连忙躲到了柱子后。西装男离开之后，[夏天]转过身，思索了一番，偷偷用旁边实验室的影迷沾湿了棉布。
0:50:26|0:50:39|第一时空的[夏天]，很快就要赶到了分析室。果然，走出分析室的西装男，碰上了赶回来的第一时空的[夏天]。他赶到分析室的二楼，被向东的尸体所惊到，坐在了地上。
0:50:39|0:50:44|而第二时空的[夏天]，在他转过头来的时候，冲上去用棉布捂住他的嘴。
0:50:45|0:50:52|第一时空的[夏天]挣扎了两下之后失去了意识，而第二时空的[夏天]手上还再次使了使劲。
0:50:52|0:51:4|第二时空的[夏天]环顾四周，先把第一时空的[夏天]放在了地上，起身捡起向东的眼球装进了口袋，这时第一时空的[夏天]口袋里的手机开始震动。
0:51:4|0:51:16|第二时空的[夏天]从他口袋中掏出手机，上面显示着未知号码，可想而知是崔虎。[夏天]挂断了电话，接着掏出口袋里[所长]给[豆豆]的礼物。
0:51:16|0:51:29|他从布袋里拿出那个彩虹战士的手表，看了看之后戴在了自己的手上，然后他扭过头去，注意到了文件柜旁的封闭式推车。传送室内，[大雄]正在给[黄晨]查数据。
0:51:38|0:51:43|[黄晨]拿着文件夹检查着数据，[大雄]接起电话。
0:51:49|0:51:56|[大雄]看向打开的电梯门，连忙用双手夹住要转过头的[黄晨]。
0:52:4|0:52:6|[大雄]拿起耳机说。
0:52:17|0:52:32|说吧，他把[黄晨]的椅子转向显示屏幕，就连忙去处理第一时空的[夏天]，而第二时空的[夏天]正在赶往[所长]的办公室，避过了本该撞上的那辆推车，但旁边的人却追不上去。
0:52:32|0:52:41|[夏天]道着欠跑开了，传送室内，[大雄]确认了一眼之后，将推车拉了进来，怎料[黄晨]突然转过来，喊道。
0:52:45|0:52:52|吓得[大雄]连忙坐上了旁边的椅子，一只胳膊搭在推车上，冲[黄晨]挥挥手，示意他转过头去。
0:52:53|0:53:1|接着，[大雄]将第一时空的[夏天]报出来，放进衣柜里。另一边，[所长]办公室门口。
0:53:24|0:53:37|[所长]看着往后走的他，可想而知，[夏天]顺利地进入数据库，再次等待数据合成。片刻间，他想起了[豆豆]的呼救声，五指插进一旁的头发里。
0:53:43|0:53:48|想了想，他将头发扎了起来，传送室内，[大雄]摘下[黄晨]的耳机。
0:54:1|0:54:15|数据库内，数据已经合成完毕，[夏天]拿起数据模块离开，而分析室内的[黄晨]发现二楼空无一人，就准备先放下数据，输入文件柜密码后却显示错误，打不开柜门。
0:54:15|0:54:19|他吃惊了一下，放下文件夹，再次输入密码，双手去拉柜门。
0:55:4|0:55:15|画面回到分析室。维修人员修好后打开了柜门，皇臣探头看向里面。
0:55:27|0:55:36|[所长]站起身。这时的相间已经驱车赶到了对岸的停车场。
0:55:47|0:55:55|[崔琥]的手下温生连忙跑过去，[夏天]则一个急杀密码一颗，拿着数据的手举在了水面上。
0:55:56|0:56:1|[崔琥]快步走过来，[夏天]紧握了一下数据的牌块，盯着[崔琥]说道。
0:56:5|0:56:12|他的手指逐渐松开，又一下全部握住。[崔琥]思考了一下，转过头对身后的手下说。
0:56:13|0:56:23|女手下将注射炸弹的枪对准[豆豆]的脖子，炸弹就被吸了出来。
0:56:25|0:56:42|正往过跑的[豆豆]被[崔琥]一把揪住了帽子，拉到一旁。[夏天]明白他的意思，向前一步半蹲下来，缓慢地将数据模块放在了地上。看到如此，[崔琥]的脸上露出不屑的表情，接着松开了[豆豆]。
0:56:43|0:56:49|就在这时，[崔琥]和[夏天]同时拔出了手枪。[夏天]的枪则对准了数据模块。
0:56:52|0:56:55|双方对峙着，[豆豆]跑过去抱住[夏天]。
0:56:59|0:57:11|[豆豆]听完话就跑向车的那一边。[崔琥]看着眼前的[夏天]，歪着头笑了。[夏天]呼了口气，向后退了一步，对面就跟着近了一步。[夏天]喊道
0:57:14|0:57:26|孙虎收起手枪，对手下说道[夏天]侧头看了眼车内，[豆豆]已经坐好，他便慢慢地往后退去。技术员提着箱子走上前，却被[夏天]开了把枪。
0:57:28|0:57:34|[崔琥]张开双臂示意众人，接着抬起枪。
0:57:40|0:57:58|[崔琥]大喊道手下纷纷向后跑去开车，技术员则坐在地上检查数据模块。[崔琥]走向他，技术员抬起手说道[崔琥]听完，皱着眉头抬起头，研究所的数据库内，研究员检查后对[所长]说。
0:57:58|0:58:10|安保队长走上前来，[所长]抱着双臂转过头，大家都十分疑惑，对岸的[夏天]开着车安慰着[豆豆]。
