0:2:12|0:2:18|只有一只黑猫，就在她一脸不可思议之时，黑猫再次说话。
0:20:17|0:20:32|说完便一把掳走了[玉莲]，把自己的相好[白玲]忘到脑后。[白玲]醋意大发，狠狠将手中的玉簪扎进了旁边的扶手上。她气冲冲回房却惊奇地发现刚刚被她扎进扶手里的玉簪，竟完好无损地出现在了桌子上。
0:20:35|0:20:41|她拿起玉簪仔细查看，确实是自己的。正当疑惑的时候，突然听到奇怪的声音。
0:20:42|0:20:54|离奇的事情竟再次发生，桌上的酒壶竟自己往旁边的杯里倒酒，[白玲]被吓得连连后退。就在酒杯里的酒被斟满之时，[白玲]的神色也发生了变化。
0:20:55|0:21:12|她身上有一阵妖风萦绕，玉簪被她随手丢弃，她的眼睛直直盯着前方，眼圈发黑，眼珠发光，就好像被妖怪附体了一样。画面转到屋外，一轮明月倒映在湖面，[白乐天]和[空海师傅]泛舟而来。
0:21:20|0:21:36|说完二人哈哈大笑，此时[陈云樵]正专心看[玉莲]跳舞，也是不亦乐乎。一袭罗裙一头齐腰长发，一段妙漫身姿，配合着琵琶的袅袅余音，因此刻起舞的[玉莲]更是看得众人如痴如醉。
0:21:36|0:21:48|随着音乐的节奏，她时而抬腕低眉时而轻疏云手，在座的各位看官。无不被[玉莲]的一颦一笑挑动着心弦。突然一位媚眼勾魂、笑容妖娆的女子也加
0:21:48|0:22:0|入其中。忽而双目颦蹙，似有无限哀愁。忽而笑颊灿然，似有无边喜乐。倒真是应了那句，此景只有天上有，人间难得几回闻。
0:22:1|0:22:8|另一边的[白乐天]和[空海师傅]也赶到了，就在二人上楼的时候，一位衙役叫住了[白乐天]。
0:22:21|0:22:30|[白乐天]带着[空海师傅]轻车熟路地来到大厅，正巧看见[玉莲]迈着帘布在厅中旋转，看来是这段精美绝伦的舞蹈终于要谢幕了。
0:22:30|0:22:39|但[空海师傅]突然来了兴致，他默默走到[玉莲]身后。[玉莲]佯装要倒，[空海师傅]用长袖顺势一扶，二人又跳了起来。
0:22:40|0:22:50|没想到倭国僧人竟会跳舞，抬手拂袖犹如一只蝴蝶萦绕在[玉莲]身边。二人频频互动，在他的伴舞下，[玉莲]的舞曲更添了一种不一样的风情。
0:22:50|0:22:59|[陈云樵]和众人更是看得津津有味，再一曲舞毕，[白乐天]把[空海师傅]拉到一旁的走廊，嘲讽起[空海师傅]来。
0:23:6|0:23:20|[空海]大笑。谈话间丽香端着酒杯走了过来，[空海]见丽香的发簪似有异样就多看了两眼。丽香发觉后对着[空海]冷哼了一声，扭着小腰径直朝[陈云樵]走去，恭恭敬敬地把酒递给[陈云樵]。
0:23:21|0:23:33|[陈云樵]正眼都没瞧丽香一下，只是冷漠地接过酒杯，然后色眯眯地盯着起舞的[玉莲]，一曲结束后，他晃晃悠悠地站起来，对着众人漫不经心的说。
0:23:47|0:23:52|[玉莲]看向丽香，她知道丽香是在生自己的气，自己抢了她的相好，一时间不知如何作答。
0:23:52|0:24:10|此时[陈云樵]将酒递给自己，[玉莲]正好一饮而尽，就在众人欢乐之时，突然[空海]感到楼上好像有什么东西，身边的笑声似乎也变得尖锐诡异起来。屏风里画的海水红崖纹变成了真的海水，顷刻间波涛汹涌。
0:24:10|0:24:15|突然一只猫的影子出现在屏风上面。
0:24:16|0:24:23|原来又是那只会说人话的妖猫。此刻的[陈云樵]听见有人叫他的名字，带着醉意四下看去。
0:24:44|0:24:50|[陈云樵]听着这话不太舒服，立刻站起身来对众人说。
0:25:5|0:25:22|妖猫的话音刚落，[陈云樵]的匕首就扎到屏风上，妖猫的影子瞬间消失，突然墙壁上的烛光发出巨大的火光。舞女们被吓得不敢动弹。
0:25:22|0:25:43|金吾卫们纷纷拔刀防御，此时的丽香却默默从[陈云樵]身后站了起来，突然一道影子穿过[陈云樵]的脖颈处，他用手一摸手上留有血迹，三道深深的抓痕出现在他的脸上，他迅速拔刀，一场大战一触即发。胡玉楼的姑娘们哪见过这样的场面，全部四处逃窜。
0:25:46|0:25:56|此时一道黑影从他们顶端划过，一步、两步，所到之处烛光瞬间熄灭。一位眼尖的[金无畏]发现了妖猫的位置。
0:25:57|0:26:10|话音刚落，便把剑向妖猫刺去。妖猫一跃而下，从金吾卫脚边穿过，众人全部摔倒在地。好在[白乐天]手急眼快将门关上，没有被妖猫发现，逃过一劫。但里边的人就没这么幸运了。
0:26:10|0:26:31|有的被猫妖抓伤摔倒在地，有的被猫妖撞飞跌落楼下，还有的则是被猫妖抛掷高空，然后重重摔下。但是妖猫并没有伤害手无缚鸡之力的姑娘们。它跳到桌子上，然后又喊话[陈云樵]。
0:26:32|0:26:51|说完妖猫跳下桌子，大摇大摆地从金吾卫们的眼前走过。现在的他们无一人再敢动手，全部目视着妖猫跳上门外的围栏。妖猫回头看着瘫倒在地的金吾卫们，以一种胜利者的姿态离开了。
0:26:51|0:27:0|妖猫刚一离开[陈云樵]便慌忙逃走，丽香这边也好像做了亏心事一般，低着头鬼鬼祟祟地就要离开。这时她突然遇到一个被妖猫挖去眼珠子的金吾卫。只
0:27:4|0:27:17|见着金无畏眼眶血肉模糊，恐怖至极，吓得丽香惊声尖叫。与此同时[春琴]也昏倒在地。这边[陈云樵]满头大汗跑回了家，推开院门发现并无异样，终于松了口气，正准备往房中跑去。
0:27:17|0:27:25|突然他看见[春琴]正背对着自己坐在湖边，见[春琴]没有答应，他心里有些担心，一路小跑穿过长长走廊来到[春琴]那里。
0:27:25|0:27:41|可当赶到的时候，[春琴]竟凭空无息地消失了。正他疑惑的时候，突然注意到湖面似乎与往常不同。他走到湖边查看，发现竟是被挖去眼珠子的死鱼飘满整个湖面，吓得他腿都软了，差点掉进水里去。
0:27:42|0:27:49|翌日清晨，[空海]等人带着官兵来到胡玉楼的案发现场。
0:28:28|0:28:33|[李少监]意识到之前错怪了[白乐天]，于是走到他面前为之前的事道歉。
0:28:48|0:28:53|[空海]被[白乐天]宁折不屈的态度打动，一把抓住[白乐天]向他行了个拱手礼。
0:29:0|0:29:8|[李少监]站在湖边和二人说话。
0:29:19|0:29:26|拜别[李少监]二人走在回去的路上。
0:30:14|0:30:27|[空海师傅]的万般思绪无法得到解答。[白乐天]带着他来到一处城楼上。
0:30:30|0:30:50|[空海师傅]听后他转身眺望远处的皇城。突然风云突变，[空海师傅]冷哼了一声。
0:30:52|0:31:1|天色渐暗，终于来到了妖猫约定的第二天晚上，[陈云樵]和[春琴]怀着忐忑不安的心躺在床上。
0:31:8|0:31:17|二人话音刚落，果然一条黑影嗖的一声跳过院墙。
0:31:24|0:31:39|就在二人互相推卸责任的时候，陈家巡夜仆人的灯笼上竟然出现了猫的影子，院内手持桃木、嘴念经咒的道士竟然毫无察觉，就这样妖猫躲在仆人的灯笼里轻松地来到了内院。
0:31:39|0:31:57|内院门口又是一个道士拿着桃木在做法。妖猫的影子这回直接印在道士身后的墙上，可惜他还是没有发现。就这样妖猫又来到室内，踩着楼梯穿过门缝来到二楼。走廊上空无一人，妖猫大摇大摆地穿过走廊。
0:31:57|0:32:16|来到楼梯口，只剩下最后一层楼梯，妖猫就能见到[陈云樵]夫妇了。它轻声爬上最后一个台阶，又遇见一个道士，只见道士紧闭双眼，坐在桌前嘴里不停地念着咒语。妖猫轻轻一跃就跳到了桌上，
0:32:16|0:32:25|听见动静道士缓缓睁开眼睛，发现妖猫就在自己眼前盯着自己，妖猫伸出利爪瞬间要了道士的性命。
0:32:25|0:32:43|房内的[陈云樵]被惊醒，他慌忙拿起佩剑，顾不得穿好衣服，便打开房门四处查看，地上大片血迹映入眼帘，他知道这是妖猫干的，他衣衫不整紧握佩剑，顺着血迹小心翼翼地下楼查看。
0:32:43|0:33:5|正当他推开门，突然发现两具道士的尸体就躺在他的脚下，他吓得连滚带爬地上楼去找[春琴]，突然他听见[春琴]凄惨的叫声，慌忙闯进房间，一进门就愣住了。原来妖猫此时正卧在[春琴]的腿上，而[春琴]好像变了一个人，竟然在逗猫咪。
0:33:5|0:33:25|妖猫开口对[陈云樵]说道。说着便伸出利爪，在[春琴]雪白的脖颈上留下了一道抓痕。[陈云樵]落荒而逃，哪还顾得上救[春琴]。瞬间他跑到大门对门口的侍卫大喊。
0:33:36|0:33:45|[春琴]站在床边向丈夫呼救，突然被妖猫拖到房内。[陈云樵]见状赶紧往[春琴]的方向跑去，突然他一把把门给关上了，而且从外面反锁了起来。
0:33:45|0:34:0|此时一阵诡异的笑声传来，他循声望去，原来是[春琴]。奇怪，她刚刚不是在楼上吗，此刻怎么会出现在眼前？[陈云樵]踉踉跄跄的来到[春琴]面前小声试探地说。
0:34:4|0:34:18|这个披着[春琴]容貌的女子突然拿出一条鱼，竟当着[陈云樵]的面吃掉了鱼的眼珠子。吓得[陈云樵]连滚带爬地逃走了。
0:34:33|0:34:44|牡丹按照[空海]的吩咐去取带血的生肉，[白乐天]则忍不住上前查看[玉莲]的伤势。看着[玉莲]溃烂的小腿，[白乐天]大惊。
0:34:47|0:34:53|此时[陈云樵]也来到了胡玉楼，他使劲敲着老相好丽香的门，想在这儿躲一躲。
0:34:56|0:35:7|丽江一看是这个薄情的[陈云樵]，哼的一声就把门给关上了，突然他看见端着生肉的牡丹走过来，于是一路跟着牡丹。[空海]正在[玉莲]小腿上写满密密麻麻的字。
0:35:10|0:35:17|[空海]边说边掀开盖在[玉莲]膝盖处的衣裙。
0:35:31|0:35:38|按照[空海]吩咐，牡丹抓着[玉莲]，[白乐天]端着生肉，而他则用针扎进了[玉莲]的脚趾，鲜血顿时流出。
0:35:39|0:35:49|[白乐天]赶紧用生肉接住从[玉莲]脚趾里流出来的血，碗里的肉顷刻间变成了千万条虫子在蠕动。此时躲在门后的[陈云樵]看到了[空海]用生肉解毒的过程。
0:36:18|0:36:25|躲在门后的[陈云樵]看见了[空海]法术高超，于是推门而入，直接跪在地上向[空海]求救。
0:36:27|0:36:46|在[陈云樵]口中得知陈府发生的怪事之后，[空海]和[白乐天]趁着月色赶了过去。月光下的陈府被一股阴森的氛围笼罩着，突然二人发现[春琴]竟然出现在屋脊上，嘴里还吟诵着诗句。
0:36:51|0:37:1|突然[春琴]一个脚滑差点摔倒，[空海]立刻向前走去。反应过来的[白乐天]慌忙跟上，二人终于找到[春琴]卧室，只见[春琴]此刻正躺在床上。
0:37:32|0:37:50|说罢便带着[空海]离开陈府，此时妖猫的影子再次出现。天色渐亮，[白乐天]带着[空海]悄悄溜进皇城。好在这时是侍卫换班的时候，看准时间二人一路小跑溜进一处宫殿。
0:37:50|0:37:57|殿内的书籍铺满了整个墙壁，中间也整齐地排列着书架。[空海]问道。
0:38:7|0:38:17|边说边爬上查书的梯子。[空海]在底下推，[白乐天]在上面找，终于二人在史部的书架前停下，就在[白乐天]四处查阅翻找的时候，
0:38:17|0:38:26|[空海]在下面突然发现一只萤火虫，萤火虫飞呀飞，正好落在了[白乐天]要找的那本记录着[唐玄宗]皇帝在开元年间生活的起居录。
0:40:16|0:40:24|[白乐天]激动地向[空海]描述着[李隆基]对[杨玉环]的爱。
0:40:38|0:40:45|虽然[白乐天]讲得激情澎湃，[空海]却不以为然。
0:41:2|0:41:21|[白乐天]一边说着，一边好像真的穿越到了[唐玄宗]的时代。花萼相辉楼的大门向他打开，有着倾国倾城容貌的[杨玉环]缓缓向他走来，她对着[白乐天]微微一笑，[白乐天]便彻底沦陷。一旁的[空海]知道[白乐
0:41:21|0:41:26|天]说着说着就沉浸在自己的幻想中，还是忍不住打断了他。
0:42:10|0:42:18|瓜农转身见是[空海]。
0:43:12|0:43:26|远处青云寺的钟声再次响起，[空海]拜别了瓜翁，又去找[白乐天]想再去陈府。这回[白乐天]可不乐意了，路上一直嘟嘟囔囊的，担心自己也会被妖猫吃掉眼珠子。
0:43:39|0:43:48|[空海]话音刚落，天色骤变，[陈云樵]家门口不知何时多了一棵盛开的樱花树，一位女子伫立在树下。
0:44:2|0:44:14|刚说完二人身后便起了一阵雾，当他们转身时却又没有发现异样。[白乐天]走近树下女子，认出了她就是30年前的[杨玉环]。他想再靠近[杨玉环]一些，身后的[空海]提醒道。
0:44:16|0:44:21|[空海]刚说完，贵妃就连着树一起消失在[白乐天]眼前，天空也恢复晴朗。
0:44:21|0:44:32|原来刚刚的一切是一场幻术。二人推开[陈云樵]家大门才过了一个晚上，[陈云樵]家宛如过了好些年，院中杂草丛生，俨然成为了一个被遗弃多年的荒院。
0:44:33|0:44:52|正说着突然传来[春琴]的声音，只见她坐在窗边对着二人呼喊。[白乐天]和[空海]来到楼上，[春琴]一袭长裙反倒被映衬着格外美艳。
0:44:56|0:45:12|[白乐天]见桌上的茶竟然布满丝网，不安地看向[空海]。此时[空海]坦然落座，虽然他心中万般疑惑，也只好跟着坐下。谁知道刚坐下的[空海]就端起布满丝网的茶杯喝了一口，他想拦都没拦住。
0:45:29|0:45:45|刚说完[空海]和[春琴]便大笑起来，[白乐天]不好意思地附和着笑了几声。谈话间他端起茶杯，突然里边爬出一个大蜘蛛，好在[空海]眼疾手快，在他身上点了两下，蜘蛛消失了。
0:48:39|0:48:48|[春琴]没有回答，转过身背对着二人，一滴眼泪从她的眼角滑落。
0:48:56|0:49:9|[白乐天]还想追问，可此时的[春琴]已经昏迷不醒，房间内突然刮起一阵妖风，把屋内的枯叶全部给吹走了，顷刻间[陈云樵]又变回了本来的样子，二人才明白刚刚又是妖猫的幻术。
0:49:9|0:49:16|虽然是幻术，但它的话却是真的，二人果然在床底下找到了干瘪的猫皮。
0:49:19|0:49:36|[白乐天]捡起它的尸体，和[空海]商量决定在院中起一把火把它烧了，也算是让他的灵魂得到了慰藉。终于妖猫案算是了结了。[陈云樵]度过危机，于是宴请众多宾客，[春琴]为客人献舞。
0:49:36|0:49:41|[陈云樵]端着酒杯向[空海]和[白乐天]道谢。
0:49:46|0:49:53|三人台下畅饮，[春琴]脚系铜铃，身披薄纱，站在鼓上翩翩起舞，看得众宾客无不拍手叫好。
0:49:54|0:50:5|席间[春琴]将肩上薄纱甩到[陈云樵]面前，[陈云樵]一把抓住稍微用力把她拽到自己身边，二人由此斗起舞来，宴会的气氛被推向高潮。
0:50:5|0:50:13|伴奏之声越来越激烈，二人的演绎也越来越精彩，兴趣正浓的[白乐天]向[空海]介绍起这首舞曲的由来。
0:50:19|0:50:29|跳舞的[春琴]和[陈云樵]像极了当年的贵妃和[唐玄宗]。
0:50:29|0:50:48|此时[春琴]用薄纱牵着[陈云樵]来到了屏风的后面，但等二人出来之后，薄纱竟被[陈云樵]勒到了[春琴]的脖子上，[空海]和[白乐天]急忙赶去制止，只是[陈云樵]有如神力附体一般纵身一跃，就用薄纱拉着[春琴]跳到众宾客的桌子上，碗筷被踩得稀碎。
0:50:48|0:50:55|突然间卷帘落、门窗关、红烟起，众宾客吓得四处逃窜，只剩乐师们越来越激烈的演奏。
0:50:56|0:51:11|[陈云樵]又拖着[春琴]跳到鼓上，那鼓似有魔力一般，竟将桌子全部吸了过去，整体排好。他将[春琴]放倒，身体死死压着[春琴]，嘴里说道。
0:51:21|0:51:28|[空海]静静站在一边，冷眼地观察着一切。乐师的演奏们越是疯魔，[陈云樵]就越是发了疯地勒着[春琴]。
0:51:28|0:51:37|[空海]来到乐师之后朝着手抱琵琶的乐师轻轻一点，乐师立刻转身，眼睛里的异光瞬间消失，显然他们都是中了妖猫的幻术。
0:51:37|0:52:4|乐师昏倒演奏停止，而[陈云樵]也终于恢复了理智，他突然意识到自己正死死掐着[春琴]的脖子。看在躺着鼓上奄奄一息的[春琴]，他慌了神赶紧松手。可惜已经来不及了，[春琴]用最后虚弱的声音说道。
0:52:8|0:52:15|她瞪着眼睛，就这样被自己的丈夫活活勒死了。[陈云樵]用衣襟假式擦拭自己的眼泪，好像是对自己又像是对旁人说。
0:52:17|0:52:23|说完[陈云樵]便拂袖而去，好像什么事情都没发生过一样。突然一声猫叫再次传来。
0:52:28|0:52:38|来到屋外只见[陈云樵]正骑在一棵树上向下撒钱，看着陈家二人最后的悲惨结局，[白乐天]悲愤地说道。
0:52:48|0:52:57|但[空海]却由此事得到启发，并追问[白乐天]。
0:53:18|0:53:24|听到[空海]的判断，[白乐天]的脸色变得非常难看，
0:53:27|0:53:51|他生气地质问[空海]，[空海]没有说话，[白乐天]转身离开。[空海]望着[白乐天]近乎发疯的控诉，满眼怜惜，突然[白乐天]又撤回来，接着说。[白乐天]摔门而去留下[空海]一人。
0:53:52|0:54:4|长安城的上空依旧被乌云笼罩，为了查明真相，[空海]再次来到[白乐天]家中。一进门他便看见灶台上放着[白乐天]几日未洗的碗筷，发馊的剩饭引来蝇虫四处飞舞。
0:54:4|0:54:13|[白乐天]此时正坐在书桌前发呆，他的屋内堆满了书籍，就连墙上都贴满了画。
0:54:20|0:54:36|[空海]看到地上有张画便顺手捡了起来，再四下望去，原来他竟画了一整面墙的那个女子，她就是[杨玉环]。[白乐天]慌忙起身想要撕掉墙上的画。
0:55:27|0:55:43|说完[空海]从[白乐天]手中夺走那张画着[杨玉环]的画离开屋子，想让[白乐天]一个人静一静，但[白乐天]并不领情。[空海]前脚刚走出房间，他后脚就把门关上，他越想越气，最后忍不住隔着墙向[空海]说道，
0:57:18|0:57:36|[空海]的一句长恨歌的爱情故事是假的，彻底击溃了[白乐天]心里的最后防线。他站在门前，久久才转身面对[空海]，含着泪说道。
0:58:44|0:58:52|师傅用肯定的眼神对[空海]说。
0:59:16|0:59:34|[空海]拜别了死去的师傅背起行囊，杵着手杖，穿着木屐，踏着皑皑白雪，就这样开始了前往大唐的道路。一路上他要攀过陡峭的山峰，乘着小船淌过汪洋大海。不幸的是，海上遇到强风暴，数10米高的海浪。
0:59:43|0:59:55|一时间哀嚎声四起。面对死亡威胁的[空海]，此时也露出慌乱的神色，但他身边的一位妇人却面色平静，神态安详地哄着怀中的孩子。[空海]忍不住问。
1:0:4|1:0:19|正当[空海]疑惑看向妇人时，突然间海水冲入船内，最终小船不敌海上风暴沉入海底，所有人都被卷进海里。好在[空海]习得水性，他奋力地从船内游了出来，但风浪并没有停止，反而更加肆虐。
1:0:19|1:0:27|海浪一层一层重重地拍打着海面，他因为体力不支，还是被卷进了海里。
1:0:36|1:0:43|就在[空海]快要被淹死的时候，他的脑海里却突然间想起了。
1:0:56|1:1:4|[白乐天]被[空海]打动，二人再次踏上寻找真相的旅途。
