0:1:6|0:1:11|此时，他们正围着训练场进行体能训练。
0:7:37|0:7:51|[刘立]不情愿地站好，跟随大家开始体能训练，只见学生们不断挥舞着手中的跳绳，紧接着又立马开始向空中踢腿，为增强个人耐力，平衡力和爆发力挥洒着汗水。
0:7:51|0:7:58|[刘立]和杨卉也在其中，她俩神情坚定，每一次踢腿都配合一声响亮的怒号。
0:7:58|0:8:22|就算发丝已经被汗水完全浸透，学生们互相练习，其他人拿着脚把，[刘立]依次出腿，奋力一踢，转眼到了午饭时间，[刘立]见食堂排队人多，便找了个全是男生的队伍见缝插针。这时，后面的男生不乐意了。
0:8:22|0:8:26|[刘立]不服气，差点挥舞拳头，身后的小伙瞥了她一眼。
0:8:32|0:8:35|[刘立]得意地在队伍中蹦跳，吹起口哨。
0:8:49|0:8:59|[刘立]接过餐盘，韩冰紧接着上前打菜。[刘立]嫌弃地瞪了她一眼，便去寻找杨卉。刚准备享用午餐，队友陈佳顺势坐到对面。
0:9:27|0:9:43|没想到新教练韩冰会这样闯进我的生活。看来意外是否又含着必然。回到宿舍后，[刘立]躺在杨卉旁边稍作休息。杨卉一边轻轻地抚摸着她的头，一边仿佛在思考什么。
0:9:43|0:9:48|没过一会儿，头顶便传来一阵臭气声，[刘立]起身关心。
0:10:6|0:10:12|[刘立]看着杨卉哭泣的样子，轻拂脸颊帮她拭去眼泪，温柔地安慰。
0:10:29|0:10:34|杨卉掏出一把锋利的剪刀，[刘立]傻眼了，她拿过剪刀看着杨卉。
0:10:39|0:10:43|[刘立]甚是不解，看了一眼继续追问。
0:10:51|0:11:0|杨卉一边用手把玩剪刀，一边望着[刘立]，而[刘立]的目光一直聚焦在剪刀上。她拿过剪刀，脑海中闪过一个儿时的画面。
0:11:19|0:11:34|当时，杨卉妈妈站在屋子里唱歌，这曼妙的歌声吸引到了[刘立]。[刘立]知道杨卉妈妈反感自己，只能望而却步，只能偷偷地趴在房顶的对面，小心地探出脑袋偷瞄。
0:11:34|0:11:38|只见杨卉妈妈柔美的身姿杵在门口，动人的歌声从屋内传出。
0:11:39|0:12:1|此时，杨卉正偷偷拿着那把剪刀对着镜子剪着头发，神情凝重举止神秘。正当[刘立]要翻过房檐时，杨卉妈妈发现剪刀不见了。慌乱中，剪刀掉在地上，妈妈却突然进门。
0:12:13|0:12:23|这对悲惨的母女紧紧相拥，杨卉妈妈无奈地捡起剪刀，仔细修剪杨卉剪得残缺的头发，一边落泪一边责怪杨卉。
0:12:26|0:12:37|而杨卉也留下了泪水，举起镜子看着自己假小子的模样。混乱的思绪被拉回现实，只见室内的训练场上站着新来的教练，韩冰。
0:12:37|0:12:47|训练道具被学生们随意摆放，地上既有专用的脚把也有手套，还有四个轮胎被垒得十分结实，已经有韩冰的一半高。
0:12:47|0:13:2|他若有所思地发了一会儿呆，先是静静地躺在轮胎上，眼睛毫无目的地看向天花板，紧接着又猛然起身走到别处，随手抄起一个脚把，对着全星使劲地比划了几下。
0:13:2|0:13:12|最后，他站定在训练场的中心，环顾四周，将手背在身后，静止向室外走去。此时的窗外雷声轰鸣，学生们都站在跑道上。
0:14:8|0:14:17|听到这里，[刘立]队和陈佳开始嬉闹起来，示意对方先上去。韩冰喊住陈佳，陈佳脸上的笑容瞬间僵化。
0:14:23|0:14:34|韩冰狠狠地踹了一脚陈佳的小腿，陈佳险些倒下，随后韩冰迅迟到。副教练已经被雨淋了打着韩战，韩冰却继续喊杨卉初恋。
0:15:2|0:15:8|最后，杨卉尖叫着向他出腿，流利抹去雨水，下一秒，杨卉就挡在雨中。
0:15:12|0:15:22|杨卉纷纷不平地起身归队，[刘立]丽暗暗地握紧拳头，比出加油状，可却被杨卉一把甩开，随后，韩冰站到[刘立]丽面前。
0:15:25|0:15:28|[刘立]丽还是一副与自己无关的样子。
0:15:44|0:15:50|韩冰踹了[刘立]一脚，[刘立]踉跄倒地。
0:15:57|0:16:14|[刘丽]跪在地上，一副与韩冰不共戴天的架势。出人意料的是，她随后又换了个姿势，先翘起二郎腿，然后忘我的唱了一首征服，扬起头高声歌唱，甚至还对地上吐口水，韩冰拿她没有办法。
0:17:1|0:17:6|韩冰的见面礼，让人永世难忘。
0:17:13|0:17:19|身临其境，即使坚强的男人也会受不了。
0:17:24|0:17:31|画面一转，琉璃回到宿舍躺在沙发上。杨卉想帮她换下石头的衣服，却被琉璃一把挣脱。
0:17:59|0:18:11|[刘莉]说完长舒一口气。晚上，杨卉拖着受伤的脚来到洗衣房，却碰到躺在桌上看书的韩冰。杨卉如同见到死敌一般扭头就走，韩冰听到后回头看了一眼.
0:18:22|0:18:33|韩冰紧皱眉头，利落地起身从桌上下来，她大大方方地走到[杨卉]面前，而[杨卉]面对她的死亡提问，一时间竟说不出话来。
0:18:36|0:18:40|韩冰一把拿过[杨卉]手中的洗衣液，直接丢在地上。
0:18:41|0:18:55|[杨卉]瞬间呆愣住，尴尬地抿了抿嘴，捏着衣角不敢直视她。韩冰没有说话，而是将旁边洗衣机里的衣服全部取出。随后，她走到[杨卉]身后，拍了拍手，双手插兜。
0:18:58|0:19:5|[杨卉]双手背在身后，像个犯错的小孩。韩冰冷冷地回头看了一眼，随后放下杂志。
0:19:7|0:19:23|[杨卉]站在原地挠了挠头。[杨卉]这才拖着全力一边的腿走到他面前。韩冰神情冷漠放下手中的杂志，只知桌上的空地是以[杨卉]将脚抬上去。
0:19:26|0:19:33|韩冰直接将她的腿抬起，[杨卉]并无愿意，没有说话。就在这时，门口出现一个黑影，是[刘立]。
0:19:35|0:19:51|[杨卉]瞥了一眼韩冰，将自己的腿放下。[杨卉]推开韩冰，灵活地将腿挪开，走到洗衣机前。韩冰的好意被误解，她只是整理起手上的书，继续说。
0:19:55|0:20:10|说完，韩冰头也不回地离开洗衣房。站在门口的[刘立]听到了这段话，走进洗衣房狠狠地瞪了韩冰一眼，暗暗地做了拳击的手势，宣泄心中的不满，还不忘嘴里碎碎念几句。
0:20:10|0:20:15|随后，她双手插兜，走到[杨卫]身旁，见他在发呆，便夺过他手里的洗衣液。
0:20:21|0:20:26|[刘立]将洗衣液随手放在一边，两人沉默了一会儿，[刘立]忍不住说道。
0:20:28|0:20:31|[杨卉]放下手中的衣服，偷笑一声反驳道。
0:20:37|0:20:45|[刘立]摆了[杨卉]一眼。最后，[刘立]继续往洗衣机里放衣服，神情中多了份坦然和不屑。
0:20:56|0:21:0|[刘立]猛地关上洗衣机，发出沉重的响声。
0:21:13|0:21:21|二人沉默拜赏，[刘立]动大眼睛，[杨卉]又一番辩护。[刘立]诧异地望着她，仿佛听到了笑话。
0:21:24|0:21:27|[杨卉]的眼神中闪过一丝害羞。[杨卉]扭过头，吹吹地笑。
0:21:55|0:22:6|两人说完互相依偎，险些倒在地上。韩冰听后没有说话，继续提问。[刘立]点儿郎当，不给韩冰面子，有气无力回答道。
0:22:36|0:22:40|所以这个级别也被称为死亡级别。
0:22:50|0:23:8|[刘立]表情坚定，第二天天刚亮，她便带着学生们在大马路上进行魔鬼式晨跑，自己在队伍前面骑着自行车，大家跟在她的身后。她还催促每个学生快一点，再快一点，流利为了证明自己，一直跑在队伍的最前方。
0:23:8|0:23:13|他们穿过人行道。横穿马路，绕了一圈又一圈，又跑到公路旁的野草地里。
0:23:14|0:23:33|[刘立]一会儿在队伍最前方，一会儿又到了队伍后面抓落单的学生。有些学生明显已经跑到历劫，[刘立]却还是不放过他们。冬日的晨曦罩在身上，这群学生却一点都不觉得温暖。他们如傀儡一般前进，动作松散没有秩序。
0:23:33|0:23:42|我鬼式训练让每个人都难以承受，但大家都强撑着继续向前。[刘丽]此时面色惨白，队友在一旁找她搭话。
0:23:50|0:23:56|鸟人在路边坐下，大口喘着粗气，这时杨卉跑回来奋力拉住[琉璃]。
0:24:56|0:25:2|接连三天，每天一个马拉松，寒冰像魔鬼一样逼着我。
0:25:31|0:25:47|每当[琉璃]实在累得不行时，韩冰就会扛着自行车，想要从她身上压过去。[琉璃]不得不乖乖就饭，继续跑步。那是一个十三寒冷的冬天，[琉璃]身穿羽绒马甲，而韩冰只穿了一件薄卫衣。
0:25:47|0:25:59|[琉璃]耳边回想起的都是韩冰一次又一次的，起来，继续。但凡[琉璃]双心无地瘫软在草地上，韩冰就会用不同的方式让她起来，一副恨铁不成钢的样子。
0:26:0|0:26:25|有时连韩冰自己都没了力气和[琉璃]一起倒下，但他还是会将[琉璃]拉起来，就算爬也要爬到终点。韩冰气愤的垂地，[琉璃]此时趴在草地上，依靠双肘支点带来的微弱力量向前挪动着。
0:26:31|0:26:37|[刘立]咬牙切齿，用手扯着草皮，双手的伤口在爬行的路上留下血迹，她面目狰狞，发出嘶吼。
0:26:48|0:26:59|此时的[刘立]分不清是汗水还是泪水，只觉得脸上总是挂着水珠。一步，两步，三步，韩冰丝毫没有让他停下的意思，只是告诉他这是最后的二十米。
0:27:10|0:27:25|留了一颈皱着眉头，维持着原来的姿势向上爬，用仅存的一点微薄力量完成了最后的20米。随后，他将头埋在草地里，此时已经完全无法起身，双手因为长期与地面的摩擦留下血迹。
0:27:25|0:27:37|韩冰站在他身后，任凭他肆意宣泄，一点用也没有。[刘立]已经筋疲力尽，累到连呼吸都困难。终于训练结束，她回到宿舍。
0:27:50|0:28:2|这声愤怒的嘶吼，让所有人都闭上了嘴。他走到花洒底下，打开水龙头，连衣服都没脱，就直接冲澡。水柱留躺在身上，吞噬着身体最后一次温度。
0:28:13|0:28:27|此时的杨卉正不紧不慢地擦头发，一副事不关己的样子，丝毫没有尚且安慰的意思。[刘立]的脸上都是野草和伤疤，她将发带扔在地上。
0:28:52|0:28:55|[刘丽]双手抱头摇了摇，发出沉重的妥协。
0:29:1|0:29:4|杨卉没有理会[刘丽]，只是任凭她用拳头锤枪。
0:29:11|0:29:25|[刘立]的脑海中闪过儿时练习击剑的画面。那是一个凛冽的冬天，地面已结成冰层，[刘立]和杨卉的双甲被冻得没有一点血色，两人穿着滑冰鞋，舍之细长的竹竿。
0:29:25|0:29:34|面前胡子拉叉的老头行用流水的剑法，让[刘立]措手不及。这是[刘立]的爷爷，杨卉左右抵挡，一不小心被他钻了空子。
0:29:35|0:29:51|爷爷笔直的身形瞬间做出批刺的动作，一个剑步将[刘立]和杨卉步步紧逼，他的剑法轻如蝶舞，急如风刺，[刘立]一股脑地向他刺去，谁知爷爷闪躲，[刘立]扑了空，硬生倒地。
0:29:59|0:30:16|思绪回到现实，[刘立]漫无目的地在训练场上走着，心事重重的样子，似乎在思考着什么。奇怪的是，极度疲劳之后，愤怒地发泄之后，居然渐渐产生了一种征服自己的快感。
0:30:20|0:30:37|随着时间的流逝，[刘立]和杨卉渐渐习惯了寒冰魔鬼式的训练，每天重复着高强度的体能训练，滚着轮胎踢腿，拉轮胎，喊声练习等。为了让自己在赛场上更有爆发力，喊声训练必不可少。
0:30:37|0:30:40|他们不止一次有过放弃的想法，但也都坚持下来。
0:31:34|0:31:43|两人的眼泪在眼眶里打转，被突然喊停后倒在地上，索性就不起身了。
0:31:54|0:32:6|往往只是一个不经意的眼神，或片言止语，就让彼此心头充满温暖，鼓起劲来，再迎接下一步挑战。
0:32:7|0:32:25|[刘立]瘫软在杨卉的肚子上，两人累得起不了身。此时，韩冰在另一个训练场等待副教练。她一边练着三段跳和跨栏，一边手上拿着秒表计时。即使她身在训练场，担心却在别处。就在这时，副教练走过来。
0:32:45|0:32:53|关键的是运动员的全神贯注，在短时间之内，调整好自己，接受挑战。
0:33:36|0:33:39|[刘立]吃不下，便将面包从嘴里吐了出来。
0:34:15|0:34:25|[刘立]拿起桶装矿泉水一个劲地猛灌，边喝还边转几圈，酣畅淋漓地打了嗝，但杨卉还是不满足。
0:34:34|0:34:40|[刘立]无奈妥协，一瓶矿泉水又咕咕下肚，洒了一地。
0:35:17|0:35:31|[刘立]蹦跳十分开心，杨卉便催促着[刘立]为了比赛再多吃点。然而，另一边的器材室里，韩冰正躺在椅子上睡觉，她不知道自己是何时睡的，也不知道自己睡了多久。
0:35:31|0:35:51|此时器材室外还有学生在进行训练，学生们训练的热情高涨，但喊声将韩冰吵醒，韩冰起身的动作有些吃力，她满脸倦容尽显疲态，这里似乎长期无人收拾，周围四处摆放着吃剩的外卖盒，训练器材和电脑。
0:35:51|0:35:57|她随手拿起杯子将水一饮而尽，双手插兜，愣了会儿神后，准备带学生们训练。
0:35:58|0:36:16|为了提升跆拳道的实战技巧，在跆拳道选手的练习中往往会加入陪练这一项。而最经典，也是最残酷的便是男陪女练。由于先天体能不占优势，加上身形，体格比不过男生，[刘立]和杨卉在一群男生中被打得落花流水。
0:36:18|0:36:36|先是控制不好距离，很快就被噤声，又是出腿收腿过于迟钝，被抓住格挡不点。公斤级轻的男生速度快，重的男生力量大。[刘立]和杨卉显然不是他们的对手。然而，韩冰的世界里哪里有投降的道理，硬撑着也必须练好。
0:36:36|0:36:53|只见学生们在一声声呐喊中快速出腿收腿，[刘立]和杨卉要面临来自四面八方的攻击。此时，韩冰在一旁拿脚把监督着其他学生出腿，即使全身都穿好的护具，[刘立]和杨卉也被打得鼻青脸肿。
0:36:53|0:37:9|由于体力不支，一个初学者的高边腿就将他俩打趴下，只见[刘立]双臂交叉护住头部，可终究还是被踢到了。头接触地面的一瞬间有强烈的震动，随后就是巨大的动能拉扯身体在地上翻滚。
0:37:9|0:37:14|就在这时，[韩冰]还未狠狠地将他们训练一顿，并要他们继续训练。
0:37:32|0:37:35|[韩冰]气愤地拿脚把对着地面，重重一摔。
0:37:42|0:37:57|[韩冰]狠狠地敲了一下[杨卉]的头，周围的学生都不敢说话。[杨卉]脸朝地，开始抽气。[韩冰]的神情中闪过一丝心疼，却还是叫周围的学生回去训练。她没有顾及二人直接起身，只留下一句话。
0:38:2|0:38:11|[韩冰]的话显然没有起到作用，[刘丽]和[杨卉]还是趴在地面上，隔着距离手拉起手。男陪女练是一种非常残酷的训练。
0:38:13|0:38:20|[刘丽]低头一看，[杨卉]的脚渗出大量鲜血。她匆忙衣柜，生气地指责[刘立]。
0:38:52|0:39:8|[刘丽]换了衣服往训练场外跑，丝毫没有理会受伤的杨卉。而出了训练场，她狠狠地摔了一跤，顾不得拍打身上的灰尘，因为她现在要去砸掉寒冰的自行车。[刘丽]先将自行车摔在铁柱上，踩了几脚。
0:39:8|0:39:12|温生赶来的杨卉瘸着腿一蹦一跳，急忙阻止。
0:39:39|0:39:45|换声笑语间，[刘丽]便带着杨卉来到了医务室。
0:40:31|0:40:35|画面一转，韩冰正和副教练散步聊天。
0:41:16|0:41:23|两人相视一笑，另一边杨卉和[刘莉]在房间里，[刘莉]拿着桶装水一个劲地往嘴里灌。
0:41:53|0:42:14|[琉璃]蹲下，撂开杨卉的裤脚，仔细观察她的伤口，问道。杨卉木讷地摇摇头，目光有些暗淡。残酷的训练中，即使小心躲避，也难免伤痛。何况感觉迟钝的杨卉，真的不疼？
0:42:34|0:42:45|窗间过马，猪流币转，转眼间，比赛的日子就要到了。[刘丽]、杨卉和韩冰三人飞过云端，但他们脸上丝毫看不出一点兴奋，而都是忧心忡忡。
0:42:46|0:43:10|[琉璃]和杨卉望着窗外发呆，韩冰则捧着手里的杂志翻看起来。海鸥飞过汪洋瀑布，如[琉璃]和杨卉远赴温哥华为国争光，这次他们一定要赢，转眼到了比赛现场。
0:43:16|0:43:29|中国队本次参赛最佳队员参加在加拿大埃德蒙顿举行的世界跆拳道锦标赛。中国女子运动员[刘丽]和杨卉是最有希望获得冠军的女队选手。这是她们在比赛当中的场面。
0:43:29|0:43:35|杨卉使用后横批技术击中美国运动员杰西巴的有效得分部位，取得第一天比赛。
0:43:37|0:43:42|所有人都为这激动人心的结果欢呼，自己住餐厅里，他们正一起吃饭。
0:43:50|0:44:6|[刘立]听到这话愣住了，转头去看身后的一群不速之客，她意识到接下来会是一场硬仗。她回过头来，面色凝重，拉着杨卉来到机房。
0:44:7|0:44:10|杨卉拖着受伤的腿往外走。
0:44:25|0:44:36|韩斌折开他的裤脚，伤口刺眼地裸露在空气中。随后，韩斌马上带杨卉到医院检查。[医生]的话无疑是晴天霹雳。
0:44:37|0:44:51|她的病在医学上称为感觉分离。如果不能恢复自觉保护能力，他将与跆拳道失之交臂。得知结果的[刘立]手足无措，以往凶神恶煞的样子荡然无存。
0:44:51|0:45:3|[刘立]就在楼下，听到这段对话，她仿佛灵魂被抽空，就连医生路过给她打招呼，她都没有反应。随后，韩冰赶紧找来副教练，商量对策。
0:45:18|0:45:28|命运对于杨卉未免太残酷了。就在决战前夕，她却失去了晋级的可能。
0:45:40|0:45:48|杨卉却仿佛置身度外，志在必得。病房里，[刘立]正在给杨卉整理头发。
0:46:3|0:46:9|[刘立]深知杨卉病情的严重性，她向后退了一步坐下，开始教育其他。
0:46:40|0:46:49|琉璃脑海中，闪过儿时和杨卉拜师学武的场景。琉璃爷爷拉着[杨卉]的手，问道。
0:46:52|0:46:55|这时，[杨卉]的妈妈出现了，将[杨卉]拉到一边。
0:47:44|0:47:52|[杨卉]的妈妈不敢相信，原来她一直误会了。[杨卉]推着轮椅，喊住郁闷的刘丽。
0:47:53|0:47:59|刘丽回过神，擦去眼角的泪珠。见她失神的样子，[杨卉]一脸自信地安慰道。
0:48:17|0:48:22|琉璃当然清楚，但她还是停下脚步，生气地捶了一拳栏杆。
0:48:33|0:48:37|[杨卉]被这句话惹怒了，自己推着轮椅，静止往外走。
0:49:14|0:49:23|刘丽拗不过他，刚刚缓和的情绪又被激起怒火。她欲言又止，轻拍[杨卉]的肩膀，深吸一口气，继续往前推。
0:49:38|0:49:56|杨卉边说边撑着栏杆，试图找到支点站立。[刘丽]强硬地将她按在轮椅上，冲她怒吼。另一边，教练们选择用抛硬币的方式，决定杨卉是否参加比赛。房间内竟是沉默。
0:50:18|0:50:28|显然，这次比赛杨卉必定参加，韩冰十分纠结，烦躁得挠挠头。突然，电话声响起，她吃惊地看了一眼，脸忙起身，小跑着去接。
0:50:47|0:50:59|面对杨卉的坚决请战，不知道是否上级领导也治了肛份，才决定同意她参赛，给运动员一个最后的机会。
0:51:1|0:51:17|此时，[刘丽]正帮杨卉更换纱布，伤口还是没有好转的趋势。
0:51:32|0:51:48|杨卉愣住了，直勾勾地盯着[刘丽]。[刘丽]一抬头对上杨卉的眼神，她的目光仿佛藏了把刀，让人不敢直视。向来胆大的[刘丽]这次也乖乖认输，随后她微微定神后站起身来。
0:51:56|0:52:6|[刘丽]没有动怒，继续帮她整理衣服。两人相对无言。杨卉将嘴一撅，瞪着[刘丽]，眉眼间透露出杀气。
0:52:14|0:52:22|说完，琉璃静止转身走向洗漱台，双手撑着台子思考着杨卉不领情，仿佛与她有深仇大恨一般。
0:52:59|0:53:2|[刘丽]翻了个白眼，韩冰双手插腰，走到她面前。
0:53:36|0:53:54|两人剑拔弩张的气氛愈演愈烈，韩冰正准备拉她到门口，[刘丽]一把甩开。[刘丽]指着门口，边说边摇摇头。韩冰和[刘丽]不再正面相对，而是绕到她的身后听她说话。
0:54:11|0:54:27|随着[刘丽]一声尖叫，韩冰的手落在她脸上，狠狠地打了她一耳光。韩冰迟疑几秒，还没反应过来自己刚才的动作。随后，只是淡淡地催促[刘丽]上场。[刘丽]捂着脸愣了一会儿，她没有想到自己会挨着一巴掌。
0:54:27|0:54:31|许是两人都气得上头，说话的动作不受她的控制。
0:54:33|0:54:44|他忍受不了这种委屈，重重地摔门，捂着脸跑到浴室，一个人瘫坐在椅子上，双手抱头，泪水夺眶而出，冷静之后他也想通了。
0:55:22|0:55:31|决赛拉开帷幕，场下的观众已经沸腾，不仅因为这是一场国际比赛，还因为上场的选手是同队朝夕相处的队员。
0:55:32|0:55:50|这种刺激场面确实难见，可真是苦了[刘丽]。她脑海里浮现出两人互相搏击的场面，超神的腿弓，转身回旋踢等，如同放电影一般来回循环。想到这里，[刘丽]垂头丧气的依偎在墙角，可事实上，比赛就在眼前。
0:55:50|0:55:57|画面一转，杨卉缓缓走到场馆中央，给观众和裁判深深鞠躬，[刘立]在后场是迟迟不上场。
0:55:58|0:56:11|戴好头盔后，[刘立]深吸一口气，步伐慢得响而慢，而韩冰则在教练席等待，看着刚刚打[刘立]的那只手，她无奈又愧疚。[刘立]一上场，便传来解说的声音。[刘立]，穿红色护具的是她的队友杨慧。
0:56:38|0:56:51|而就在这时，爷爷和杨卉的妈妈也正在收看电视直播。电视机里传来解说员宣布杨卉病情的消息，听到这儿，杨卉妈妈没有惊讶和意外，而是默默地擦了把眼泪。
0:56:51|0:57:20|二人围坐在火炉旁，相对无言，但脸上都是为他们感到骄傲和自豪。画面一转，比赛场馆内，战况越来越激烈。杨卉和[刘立]不分上下，场下的寒冰来回踱步，看似很衰焦虑。
0:57:41|0:57:52|赛后的某天，雨过天晴，[刘立]拖着行李箱急步快走，她一点都不注意脚下的影子，韩冰骑车将她喊住。
0:57:54|0:57:58|[刘莉]只顾朝前走，韩冰将车一丢，拉住她。
0:58:29|0:58:45|韩冰没有回答，她只是盯着[琉璃]看了好一会儿，随后拍了一下[琉璃]的肩膀，就像兄长对妹妹那样。许是出于愧疚，韩冰将[琉璃]的行李扶起，双手拖到[琉璃]面前，示意她先回去。
0:58:45|0:58:50|[琉璃]接过行李，叹了口气，冷漠地拒绝了韩冰的好意。
0:59:7|0:59:10|韩冰一手指着出口的方向，[刘丽]气不成声。
0:59:12|0:59:28|寒冰黑着脸，又呵斥了一句，[琉璃]瞪了他一眼，拖着行李箱就走。谁知，雨天的路上坑坑洼洼，[琉璃]走了一段路，箱子被绊倒在地上。她索性狠狠地踹了一脚，饮食宣泄，直至寒冰的后背，愤怒地谴责。
0:59:30|0:59:46|说吧，[刘丽]便拖着行李箱，头也不回地离开了。韩冰一脸满不在乎的样子，与[刘丽]未道而驰。[刘丽]气冲冲地走到大门口，揽了一辆出租车。正当司机帮她放行李时，她才意识到自己与跆拳道的感情有多深。
0:59:47|1:0:5|但既然去意已决，[刘丽]只是回头久久地看了一眼学校。尽管心中有再多的落寞与不舍，但她还是上了车。可谁能想到，车刚开走的一瞬间，韩冰突然跑了出来，追车呐喊要她留下。
1:0:5|1:0:9|过了好些日子，某天，桌上出现[刘丽]当模特杂志的封面。
1:0:14|1:0:22|照片上的[刘丽]穿着性感，姿势妖娆。韩冰看了一眼，嘴气撕得粉碎。
1:0:46|1:0:54|韩冰毕恭毕敬的告别后，副教练一把挂断，韩冰走到窗前叹了口气，心情沉重，自言自语。
1:1:0|1:1:16|隔天，街上到处都贴满了琉璃的海报，画面中的琉璃浓妆艳抹，发型潮流，粉饰前卫，丝毫看不出在赛场上挥洒汗水的样子。韩冰盯着[琉璃]的海报来挥头布，似乎在等待什么，可此时的[琉璃]正在闪闪发光。
1:1:17|1:1:27|P台上走路的气势很是个性张扬，她穿着极为显眼的礼服，每个动作都跟随伴奏的旋律，看得台下观众连连叫好。
1:1:27|1:1:43|就在演出结束前，[琉璃]还不忘给所有观众一个魅惑的眼神和笑容，而没有找到[琉璃]的[韩冰]回到办公室垂头丧气，她不知道该怎么办，烦躁的情绪冲上头脑。她打掉散落的纸片，走到窗前深思。
1:1:43|1:1:54|与此同时，演出结束，[琉璃]回到家后，看着镜中华丽的自己，拿出摄像机，得意地想象着自己万丈光芒的样子。
1:2:29|1:2:50|与此同时，懊恼不已的[韩冰]独自喝起了闷酒，整杯白酒下肚，一杯接着一杯。她的鼻翼微微抽动，好像下一秒眼泪就要掉下。酒精的剧烈灼烧感让她感到不适，她突然猛烈地咳嗽起来。
1:2:50|1:2:52|画面一转，[韩冰]来到了[刘立]的家中。
1:2:53|1:3:9|房屋装修满满的暧昧气息，墙上贴着一张艺术家海报，还有一台老式电影机摆在角落。韩明发现衣柜上挂着一件跆拳道道服，那是以前[刘莉]最常穿的衣服，如今被整齐地挂起来，洗得干净。
1:3:9|1:3:18|但由于好久没碰，落了灰，[刘莉]此时刚换上一件颇有风格的夹克，搭配紧身牛仔裤和长靴，说是沙漠女郎，一点也不为过。
1:3:19|1:3:36|他双手插了兜，从厕所里大摇大摆地走了出来，直到看见韩冰，他愣住了，眼前许久未见的教练，此刻却显得十分陌生。[刘丽]走向前，先开口。韩冰缓缓地回过头，上下打量着[刘丽]。
1:3:36|1:3:40|[刘丽]挤出一个微笑，下一秒嘴角又搭了下去，摇摇头。
1:3:44|1:3:54|话音刚落，[刘莉]表情凝固，两人相对无言，沉默着。韩冰微微垂下头，[刘莉]转身，不再与他聊这个话题。
1:4:0|1:4:5|[刘莉]冷漠地看着他，随即背过身没有回答，将自己的情绪演示得很好。
1:4:12|1:4:27|琉璃久久凝望着韩冰远去的背影，房间里只剩她一人，竟显落寞和冷清。画面一转，[杨卉]一个猎妾差点倒在地上。此时她正在练习，奈何伤口的原因，她连正常走路都做不到。
1:4:27|1:4:34|独自坐在家中的[刘立]，身旁堆满了自己的模特海报，即便海报上的她光鲜亮丽，她也无法高兴起来。
1:4:37|1:4:55|[杨卉]为了找到合适的支点，她尽力用受伤的腿尝试，只是每一次尝试都差点摔倒，她只要一出腿就重心不稳。剧烈难忍的疼痛感让她变得狰狞且脆弱，她尝试着像以前那样出拳，想象对手就在眼前也无济于事。
1:4:55|1:5:5|怀念以前的[刘立]尝试给[杨卉]拨通电话，打不通电话的[刘立]心情变得低落，将电话甩到一边，独自躺在海报堆中。
