0:0:46|0:0:50|这天，[悖亲王]正十万火急地前往神机营。
0:31:13|0:31:21|面对[陈家沟]众人的恶言，[杨露禅]也无力反驳，而身为他妻子的[陈玉娘]想用行动堵住众人的嘴。
0:31:22|0:31:33|[陈玉娘]刚要上前制止铜钟，便被一只手按住肩膀，还没等她反应过来，只见[陈栽秧]一跃而起，落于铜钟面前。这铜钟本就重如千钧，不可移之，
0:31:33|0:31:42|如今它高速旋转所增加的转力更是难以估量。可面对这让人望而生畏的庞然大物，[陈栽秧]显得无比淡定，只见他气运丹田，击出一掌。
0:31:59|0:32:5|[陈栽秧]环其四周打完[陈家]拳中最为基础的手法之后，回到原地，再次运气，
0:32:11|0:32:22|[陈栽秧]看准时机，将全身之力汇聚双掌，击向铜钟。数千斤重的铜钟受力之后，竟在空中翻滚了两圈后，平稳落地。解决完铜钟之后，
0:32:22|0:32:30|[陈栽秧]转身略显得意地立于众人面前，现场众人亲眼目睹之后，无一不被[陈栽秧]的功力所折服。
0:32:31|0:32:40|而这一幕除现场众人所见之外，还被藏于屋顶之上的[金允儿]密切观察着。
0:32:40|0:32:52|这时，一身影从屋顶的另一端悄然飞来，[金允儿]在阳光的照射下难分敌我，便急忙拔剑。可刚一出剑，便被一脚踢开，[金允儿]立即重振软剑刺向男子，该剑忽软忽硬，
0:32:52|0:33:0|变幻莫测，其剑路更是令人难以捉摸。险些被伤的男子凌空一跃，之后立于屋檐之上，缓缓转身。
0:33:11|0:33:22|[金允儿]见到此人是[陈长兴]之后，便如实交代：当时她藏于铜钟之内，将仪器底座固定在铜钟顶部之后，只是轻轻晃动，仪器所悬挂的三个铁球便飞速地转
0:33:22|0:33:29|了起来，[金允儿]交代完之后便飞下屋檐。此时，堂内的[三叔祖]宣布道，
0:33:50|0:33:59|[陈栽秧]看似在一旁与小妹玩耍，实则众人每一句话他都听得真切，他缓缓转身，一脸惆怅之情走到[三叔祖]面前。
0:34:8|0:34:15|[陈栽秧]一番婉言推辞之后，不曾想过竟无人再次劝说，他见此情景只能再次说道，
0:34:40|0:34:51|话音刚落，只见已观察多时的[陈长兴]踏碎屋顶，落入屋内。[陈栽秧]见到突如其来的父亲之后，顿时紧张起来。
0:35:12|0:35:22|见[陈栽秧]沉默不语，[陈长兴]便从袖中掏出书信，立于面前。
0:36:11|0:36:23|[杨露禅]心生胆怯地看了看[陈玉娘]，而另一边的[陈栽秧]也被[三叔祖]所逼迫，在重压之下的[陈栽秧]看到身旁信心满满的[三叔祖]之后，一脸不情愿地走向前。
0:36:23|0:36:37|而站在对面的[杨露禅]见状，也只能硬着头皮走到前面。这时，二人在众目之下立于堂前，可二人的战斗欲望并不高涨。在一旁的[陈长兴]见迟迟不肯动手，便出言指导起[杨露禅]。
0:36:39|0:36:55|[杨露禅]听令并摆出架势，只见其扎稳下盘，左臂横直，左手呈钩状，而右掌挡于面前，这招式一出，气势便也与刚才大不相同。[陈长兴]见[陈栽秧]起势之后，便继续说道，
0:36:56|0:37:8|可二人刚一交手，便发现[陈栽秧]先前功底形同虚设，破绽百出。这时，[杨露禅]将右脚悬于[陈栽秧]腹前并未发力，[陈长兴]看出[杨露禅]有意留手之后，
0:37:10|0:37:15|受纸球之力便将[陈栽秧]击退数米，此时[陈栽秧]的力道并无刚才击钟之势。
0:37:20|0:37:30|听到[陈玉娘]的不解，[陈长兴]并未解释。[陈栽秧]次次出拳皆被化解，其身体逐渐僵硬，毫无还手之力。这时，[杨露禅]一记高探马将[陈栽秧]甩于半空之中，
0:37:31|0:37:45|在其翻转之后，抓住时机，冠以全力使出最后一记双推手。受到这一记的[陈栽秧]凌空飞出，大褂也被[杨露禅]的内功所震碎。可就在这时，众人惊奇地发现，除了大褂被震碎之外，
0:37:45|0:37:54|与其一同飞出的竟还有许多机械零件。在场的众人除了[陈长兴]垂头叹气之外，其余没有一个人不被此景所震撼。
0:37:54|0:38:21|原来先前[陈栽秧]所展现的深厚功底皆是在其研制的机器加持之下才得以使出，他那稳如泰山的下盘功底也是将鞋里的钉子插入地面所致，原来引发[杨露禅]暴走的原因并不是因为他不堪受辱，而是[陈栽秧]当时为他戴帽子时，将银针刺入他的一角中所致。身为父亲的[陈长兴]看着满天的零件和仍然在旋转的齿轮，陷入到了栽秧儿时的回忆中。
0:38:21|0:38:27|多年前的一天午后，[陈长兴]满心欢喜地陪[陈玉娘]荡着秋千。
0:38:28|0:38:34|这时[陈栽秧]带着弟弟们跑到父亲的面前说道，
0:38:36|0:38:53|随后，[陈长兴]便满脸笑意地坐直，期待着[陈栽秧]的拳法，弟弟妹妹们听后也纷纷坐在一边准备学习。[陈栽秧]在准备好之后，转身面向[陈长兴]起式，金刚捣碓再接十字手，一套动作招式行云流水，颇有气势。
0:38:53|0:39:6|[陈长兴]看着长进飞快的[陈栽秧]，也不禁频频点头，弟弟妹妹们更是看得津津乐道，崇拜不已。见众人满意的表情之后，[陈栽秧]更是高高跃起，紧接着一记白鹤亮翅更是将气氛推向高潮。
0:39:9|0:39:17|可此时的[陈长兴]早已收起笑容，转而一脸严肃地看着[陈栽秧]，他似乎逐渐从[陈栽秧]的动作中发现了端倪。
0:39:17|0:39:30|可就在这时，只见在边转圈，边高踢腿的[陈栽秧]已逐渐失去控制，他动作僵硬，踢腿变得十分机械，身体也越转越快，他想努力控制住，可面对机械的强大动力，他再怎么努力也于事无补。
0:39:32|0:39:43|[陈长兴]见状急忙顺其旋转的方向，抓住[陈栽秧]的右手将他揽入怀中。这时，机器也超出负荷，无数的零件从衣服中弹出，散落一地。
0:39:43|0:39:51|栽秧胸前遍布齿轮的机械背心也赫然显现。[陈长兴]见此一幕，瞠目结舌，久久不能言语。
0:39:51|0:40:13|他愤怒地将怀里的[陈栽秧]扔到地下，[陈长兴]恨铁不成钢地叹了口气，便转身朝屋中走去，弟弟妹妹看到之后，急忙上前扶起大哥。现如今，在大堂内的一幕与多年前如出一辙。[陈长兴]眼里泛着泪花，叹了口气说道，
0:40:14|0:40:20|他说罢，连看都没看[陈栽秧]一眼，便径直朝门外走去。[陈栽秧]见状，更是万般委屈。
0:40:20|0:40:40|此时，[陈玉娘]看出[陈栽秧]的委屈之后劝说道，[陈栽秧]听后，眼泪夺眶而出，挣脱开众人的搀扶之后大喊道，听到此话的[陈长兴]虽然没有回头，但也放慢了脚步，[陈栽秧]擦干眼泪之后，坐在地上继续说道，
0:41:10|0:41:19|[三叔祖]听清原委之后，恨铁不成钢般地垂头丧气。
0:41:23|0:41:33|身边的兄弟姐妹们听后都十分生气，可看着眼前充满无奈和委屈的大哥之后，纵使有万般怨恨，在亲情面前也都变得可以理解。
0:41:33|0:41:50|[陈栽秧]说罢，湿润着眼眶看了眼被自己算计的[杨露禅]，许久之后，流下了一滴悔恨的泪水，可他并无多言，缓缓起身看向[三叔祖]。[三叔祖]看着险些让自己酿成大祸的[陈栽秧]，并无惋惜之情，而是转身离去。
0:41:52|0:41:59|众长老更如墙头草一般对[陈栽秧]恶言相向，可这些刺耳的言语对于身为掌门长子
0:41:59|0:42:11|可又不爱习武的[陈栽秧]来说，似乎早已经听到耳朵生茧。他拖着狼狈不堪的身体，垂头丧气地朝大门外缓缓离去，在换了一身行头之后，没有片刻停留，
0:42:11|0:42:27|带着妻子[金允儿]离开了[陈家沟]。此时，[陈玉娘]与[杨露禅]骑马追上。被叫住的[陈栽秧]回头之后，略显吃惊地看向下马的二人，[陈玉娘]双手捧着刺绣布袋跑到大哥面前说道，
0:42:28|0:42:34|[陈栽秧]一脸疑惑地从布袋中抽出木盒，打开之后惊讶地说道，
0:42:43|0:42:50|[陈栽秧]听到之后，顿时明白了，父亲虽然万般严厉，但不论何时，心中仍然牵挂着自己。
0:42:52|0:43:1|这时，[杨露禅]一脸不舍地将马的缰绳十分恭敬地递到大哥手上，[陈栽秧]接过缰绳，看着面前这个憨厚老实的傻小子说道，
0:43:3|0:43:11|就在[陈栽秧]的眼泪似乎要夺眶而出之时，他便转过身去，与妻子驾马离开了[陈家沟]。而栽秧不知道的是，
0:43:11|0:43:24|此次前来送行的并非只有[陈玉娘]二人，早已藏在特洛伊之上的[陈长兴]眼眶湿润，强忍分别之痛，看着儿子渐渐远行，或许这就是这位严厉的父亲表达爱意的方式。
0:43:26|0:43:35|在[陈栽秧]夫妻二人离开[陈家沟]的当天夜里，[河南省道台江炎皓]在自己贪污所得的仓库中用留声机播放着音乐，
0:43:35|0:43:48|伴随着欢快的音乐，[江炎皓]得意地看着满墙的国宝级古董花瓶，在犹豫片刻之后，拿起了一个最为喜爱的釉里红梅瓶仔细端详着。可就在这时印度骑兵迫降而入，
0:43:48|0:44:1|这突如其来的剧场声吓得[江炎皓]一哆嗦，釉瓶也从手中滑落，不过好在掉下脚上，并未摔碎。在他反应过来时，数名手持火枪的印度士兵已经将他团团围住，[江炎皓]故作
0:44:3|0:44:9|声势地喊道，可士兵们听完之后脸上并未表现出丝毫畏惧，仍然高举火枪对准[江炎皓]。
0:44:9|0:44:22|这时，一身穿捕服，头戴花莲的官员从地上缓缓捡起先前掉落的釉瓶，因为此人将釉瓶挡于面前，[江炎皓]无法窥探其面容，便不敢轻举妄动，可随后便见到此人正是[方子敬]。
0:44:25|0:44:32|只见[江炎皓]话音刚落，[方子敬]便将价值连城的釉里红梅瓶摔碎在地。
0:45:0|0:45:13|[方子敬]听后，他那阴沉的脸上没有丝毫波动，缓缓走到[江炎皓]的面前，看着胆怯的[江炎皓]小声说道，
0:45:26|0:45:40|在[方子敬]的一声令下，士兵们把贪官[江炎皓]押了出去。这满屋的金银财宝，古董名画丝毫没有引起[方子敬]的兴趣，甚至连看都没多看一眼，他转而走到留声机前享受起了音乐。
0:45:41|0:45:59|深夜，在[陈家沟]中，[陈玉娘]半夜翻身却发现地铺上的[杨露禅]早已不见踪影。她深知[杨露禅]的习惯，便穿好衣服，一跃来到屋顶之上问道，
0:46:7|0:46:26|翌日早晨，在天津的市集上已遍布商贩，这时[金允儿]看到了迎面走来的巡逻官兵后，示意[陈栽秧]回避，[陈栽秧]见状灵机一动，拉着[金允儿]便跑到包子铺佯装成客人。[陈栽秧]用余光看着官兵走后也急忙离去。
0:46:28|0:46:38|此时的二人已经没有了刚才散步的闲情雅致，一路微低着头快步行走于嘈杂的街道之中。当来到自己的厂房前，却发现大门上的封条和铁链纹丝未动。
0:46:45|0:46:56|[陈栽秧]三步并两步地向前跑着，看着封条急躁地就要伸手准备撕下。在一番劝说之后，[陈栽秧]听从了[金允儿]的意见，来到厂房的后窗，[陈栽秧]在向[金允儿]示意之后，
0:46:56|0:47:13|便独自一人爬上堆在后窗的箱子，仅三两步便爬上了最高处的箱子。随后，[陈栽秧]并没有心急地推窗而入，而是很谨慎地透过百叶窗的缝隙向里查看情况。在确认厂房内没人之后，[陈栽秧]才翻了进去，
0:47:13|0:47:19|可一不小心却摔了个跟头，这一跤对于从不习武的[陈栽秧]来说可显得有些疼痛。
0:47:19|0:47:33|他强忍疼痛，缓缓睁开眼睛，却发现厂房昔日的光辉早已不见，转而变成现在这副遍地老鼠，如同废墟一般的场景。但当他看到地上的零件后，便不顾疼痛，急忙起身捡起。
0:47:33|0:47:41|看着自己的心血现在如废铜烂铁一般被扔在地上，心中顿时感慨万千，眼眶也渐渐湿润起来。
0:47:41|0:47:53|片刻之后，他抬头向空中望去，只剩框架的天威翼虽然残破，但仍然让[陈栽秧]感到无比自豪，他幻想着自己驾驶着完美的天威翼在空中尽情遨游，肆意飞翔。
0:47:53|0:48:2|当他回过神来之后，仍然紧紧盯着天威翼，可就在他哽咽之时，厂房的大门却被缓缓打开，[陈栽秧]还以为是[金允儿]，便说道，
0:48:4|0:48:11|可当[陈栽秧]回过头时，却发现[金允儿]早已被埋伏好的官兵抓住，四名官兵从四周将利刃横于[金允儿]脖颈之上，
0:48:11|0:48:20|迫于无奈的二人随后被带回了衙门。但二人跪于大堂上之后，身为四品大官的[方子敬]道台才缓缓走向堂前，
0:48:20|0:48:30|只见[方子敬]身穿鸳鸯补服，头戴红缨尾帽，坐于堂上，其气势在尾帽顶端的那颗青金石的加持之下显得更为磅礴。
0:48:32|0:48:39|[陈栽秧]听此声音有些耳熟，缓缓抬头望去，不曾想到道台大人真是[方子敬]。
0:48:40|0:48:47|[陈栽秧]见是熟人便随意起来，盘腿坐在地上后说道，
0:48:49|0:48:56|[方子敬]此言一出，[陈栽秧]立马十分尴尬，但迫于如今身份悬殊过大，只好再次跪在原地。
0:49:15|0:49:22|[方子敬]见[陈栽秧]故作沉默，便恶狠狠地对手下说道，
0:50:43|0:50:52|[陈栽秧]泪眼婆娑地看着[方子敬]的背影，哽咽着再次向他确认道，
0:51:6|0:51:15|此时，在陈家沟的山林间，[陈长兴]和[杨露禅]一同倒挂在粗壮的树枝上，片刻之后，[杨露禅]不解地问道，
0:51:27|0:51:32|[杨露禅]听后照做。
0:51:43|0:51:58|[陈长兴]慵懒地打了个哈欠之后，转头看向持续深吸缓吐的[杨露禅]。仅几个回合之后，[杨露禅]便顿悟般地睁开了双眼说道，说罢，便回忆起[陈玉娘]练功时情绪低落的场面。
0:52:2|0:52:8|[陈长兴]听后，脸上终于露出欣慰的表情，随后从树枝上下来，便要离去。
0:52:15|0:52:26|[陈长兴]说着，便摆手走出了林间，只剩[杨露禅]一人还倒挂在树上，体会着用心看的境界。晌午，在村中的[陈玉娘]从井里挑水，准备做饭，
0:52:26|0:52:33|[陈玉娘]仍是一副心不在焉的模样。就在这时，村口传来阵阵击打铁器的声音，
0:52:37|0:52:44|听着声音，走了神的[陈玉娘]将刚打上来的水桶打翻在地。片刻之后，众多村民闻声赶到了村口。
0:52:47|0:52:56|只见[杨露禅]在损坏的特洛伊内部疯狂地击打着，村民们听着一声声震耳欲聋的敲击声，纷纷拍手叫好。
0:52:58|0:53:23|[杨露禅]虽然赤手空拳，但仍然将全身钢铁的特洛伊打得零件飞散。此时，[陈玉娘]闻声赶来，她站在特洛伊的顶部，看着眼前发疯般的傻小子问道，[杨露禅]说罢，便继续打击起来。
0:53:23|0:53:38|而此时的[陈玉娘]听到这如此单纯的真心话之后，眼泪已悄悄爬上眼眶，她没有赞同也没有阻止，而是跳下特洛伊，缓缓朝村里走去。随着[陈玉娘]越走越远，她眼中的泪水也越聚越多，
0:53:38|0:53:55|就要呼之欲出时，她停下脚步，朝[杨露禅]喊道，[陈玉娘]说罢，脸上释怀般地露出了笑容，[杨露禅]听后也停手，走到[陈玉娘]身边说道，
0:53:59|0:54:10|可众人刚刚散去，特洛伊的一颗螺丝突然松动，随后，整个巨大的钢铁碉堡再也承受不住[杨露禅]那深厚的内力瞬间坍塌。
0:54:10|0:54:19|数日后，直隶总督携各位官员来到郊外的一处观景台上，此时看台下的那三门威武霸道的巨炮早已蓄势待发。
0:54:21|0:54:28|霎时间，几千米开外的土地上火光乍现。
0:55:21|0:55:37|这话中之意[方子敬]自然也是听得明白，随后便将早已准备好的一万两银票夹在册中，双手奉上。见到银票的总督大人顿时松口说道，
0:56:6|0:56:14|[方子敬]眼珠一转，便想到由头。
0:56:16|0:56:23|当天夜晚，在睡梦中的[陈栽秧]突然惊醒，大口地喘着粗气，他对守在一旁的妻子说道，
0:56:28|0:56:36|随后，他便立即起身，掀开床垫，床板上出现一颗突兀的钉子。他拔出钉子，千年淮山从机关中弹出。
0:56:42|0:56:50|说罢，他便一把抽开绑在图纸上的绳子，缓缓打开，[金允儿]见图纸上十分精密地画着天威翼各个部位之后，
0:57:1|0:57:11|深夜，练了一天拳的[杨露禅]和往常一样，洗完澡之后疲惫地回到房中。
0:57:12|0:57:26|他关好门之后，十分随意地穿上睡衣，二话没说，一头钻进他睡了多日的地铺之中。躺下之后，看到[陈玉娘]心事重重地站在窗边，但不懂女人的[杨露禅]并没有安慰，只是开口说道，
