0:2:12|0:2:18|With only a black cat present, just as she looked incredulous, the black cat spoke again.
0:7:25|0:7:33|Just as [Kong Hai] was puzzled and lost in thought looking into the distance, he suddenly heard someone calling him from behind.
0:7:34|0:7:41|[Master Konghai] turned around and unexpectedly saw [Bai Letian] walking towards him.
0:8:14|0:8:20|[Bai Letian] took the hair from [Kong Hai] and examined it carefully before saying.
0:8:20|0:8:26|Suddenly, [Kong Hai] seemed to have discovered something and walked quickly forward. Following the direction pointed by [Kong Hai],
0:8:28|0:8:34|Under the moonlight, [Bai Letian] discovered fluorescent cat footprints on the ground of the imperial city.
0:8:50|0:8:57|Between the two of them talking, a wooden sign suddenly appeared on the ground. [Kong Hai] bent down to pick it up, but the wooden sign moved on its own, startling [Bai Letian]. [Kong Hai] picked up the wooden sign, and there was writing on it.
0:9:8|0:9:13|As soon as the imperial palace courtyard was mentioned, thunder roared, as if something bad was about to happen.
0:9:13|0:9:28|That night in the mansion of [Chen Yunqiao], he was enjoying a romantic moment with [Chun Qin]. The two were in bed together when they heard the sound of broken tiles outside. Sensing it was the work of a demon cat, [Chun Qin] whispered to [Chen Yunqiao]'s ear.
0:9:40|0:9:47|But at this moment, [Chen Yunqiao] only had thoughts of the gentle town, he pounced on [Chun Qin], with no room in his mind for anything else.
0:9:48|0:9:57|Little did he know that, through the moonlight, the shadow of a cat was being cast on the wall inside their house, watching their every move.
0:9:57|0:10:9|In the middle of the night, [Bai Letian] sneaked into the Imperial Library in the Imperial Hall. The hall was filled with boxes of all sizes. He stepped on a wooden box and reached out to grab a small box on top labeled "Phoenix Perch Tower".
0:10:9|0:10:15|After obtaining it, he first looked around cautiously to make sure no one had noticed before carefully opening the box.
0:10:15|0:10:19|Inside the box is a key carved with a phoenix and the words "Death upon intrusion".
0:10:20|0:10:24|Suddenly there was a sound of the door opening, and he quickly blew out the candle and sneaked out.
0:10:24|0:10:30|Taking advantage of the night, he hid in the artificial mountain in the palace, and when no one followed, he headed towards the Phoenix Perch Tower.
0:10:30|0:10:37|He agilely passed through the hidden secret passage in the artificial mountain. Judging by his familiar and confident demeanor, it was clear that he had been here before.
0:10:37|0:10:47|Before long, he arrived at the Phoenix Perch Pavilion. He pushed open the heavy door and found it empty inside.
0:10:47|0:10:53|Ascending the towering cloud ladder, they finally arrived at the inner hall. Looking up, various constellation patterns were embedded on the dome.
0:10:54|0:11:5|In the middle of the hall was a round cloisonné box three people high. Unfortunately, he didn't have time to admire the scenery in the hall carefully. He took three steps and stepped onto the steps in front of the cloisonné box, taking out the key he had stolen from the Imperial Hall.
0:11:5|0:11:14|He carefully opened the box with a portrait of the empress. To his surprise, inside was another box with a dragon head painted on it, and upon opening that, there was yet another box with a sea pattern.
0:11:14|0:11:25|Upon opening the patterned box, Bai Letian finally saw what was inside the cabinet. Just as he was about to reach for it, a pipa suddenly appeared behind him and started playing on its own.
0:11:26|0:11:36|To avoid alerting the patrolling soldiers outside, he quickly went to grab the pipa. After some maneuvering, he finally managed to grab hold of the pipa, but still made some noise in the process.
0:11:41|0:11:53|Just as the soldiers outside were puzzled, the mechanism inside the house was triggered again. At the critical moment, [Bai Letian] rushed to the cabinet, took out the sachet inside, and iron arrows poured down from the roof, deeply piercing into the ground.
0:11:53|0:11:59|Fortunately, he reacted quickly and managed to escape. Just as he rushed down the ladder, he suddenly heard the voices of the soldiers.
0:11:59|0:12:3|Luckily, he hid behind the door, and suddenly a cat's meow was heard.
0:12:5|0:12:12|Outside the house, the guards saw a cat appearing on the railing of a gap, thinking that the noise just now was made by the cat, so they didn't investigate further.
0:12:13|0:12:17|Bai Letian, who was hiding behind the door, thus escaped unscathed.
0:12:18|0:12:24|The next morning, [Bai Letian] went to visit [Master Konghai], only to find Master Konghai packing his bags at home. Bai Letian bowed to Master Konghai.
0:12:37|0:12:48|He sat down on the couch while speaking, and added.
0:14:54|0:14:58|[Bai Letian] said triumphantly, then turned around and walked away. [Kong Hai] smiled and followed after.
0:14:58|0:15:6|The two of them walked and chatted on the bustling streets of Chang'an.
0:15:31|0:15:38|The distant sound of the bell from the Great Blue Dragon Temple could be heard as they were talking. Accompanied by the melodious bell sound, the two walked through the bustling acrobatic performance.
0:15:38|0:15:46|Finally, he was attracted by the shout of a melon farmer.
0:15:54|0:16:6|The two walked through the crowd to the melon farmer. He first showed the watermelon seeds to everyone, then bent down to plant the seeds in the ground, and covered them with soil using his feet. He then took out a water bottle to show to everyone, and proceeded to water the newly planted watermelon.
0:16:6|0:16:14|In front of everyone's eyes, something magical happened - the watermelon seeds sprouted.
0:16:14|0:16:21|It not only sprouted, but also grew taller and taller. Soon the watermelon vines extended and began to entwine around the trellis.
0:16:22|0:16:36|Some were puzzled, some were surprised, with various expressions. Following the instructions of the farmer, the watermelon instantly climbed up the entire trellis, then bloomed, and finally bore a large watermelon.
0:16:36|0:16:45|Just as [Bai Letian] and the others were cheering and applauding, [Kong Hai] remained indifferent.
0:16:56|0:17:5|Just as [Bai Letian] felt that [Kong Hai] was unreasonable, a melon farmer picked a watermelon, cut it with a knife, revealing the flesh inside, and the crowd applauded again. Reluctantly, [Bai Letian] followed [Kong Hai] as they left, when suddenly the melon farmer rushed up to them.
0:17:44|0:17:50|After finishing his words, the melon farmer stuffed the watermelon into [Kong Hai]'s arms, laughed heartily, and turned away. [Kong Hai] walked through the market holding the melon, when suddenly [Bai Letian] noticed something was wrong.
0:17:59|0:18:3|After Bai Letian finished speaking, he snatched the fish head from Kong Hai's hand and ran off. Kong Hai stared at the fish blood on his hand.
0:18:23|0:18:31|The two arrived outside the imperial city to find [Chen Yunqiao], and happened to see him finishing his duty, chatting with his men about having fun tonight.
0:18:32|0:18:38|A group of people set off on horseback, whistling as they go, with [Bai Letian] pointing at the receding figures and saying to [Kong Hai].
0:18:39|0:18:48|Chen Yunqiao sat on the horse with a hunched back and squinted eyes, looking rather unhappy. Bai Letian and Kong Hai, without horses, had to take shortcuts to chase after them as best as they could.
0:18:48|0:18:52|After a chase, [Chen Yunqiao] and others dismounted at the ferry crossing, preparing to change boats.
0:19:19|0:19:28|Upon hearing that [Kong Hai] was going to the brothel, [Bai Letian] burst into laughter. The Hu Yulou was built by the water, accompanied by the sound of the river waves, and the sky gradually darkened.
0:19:28|0:19:32|The twinkling lights quickly connected into a whole, and beautiful singing voices came from the building.
0:19:42|0:19:48|At this moment, [Chen Yunqiao] stood unmoved at the bow of the boat, despite the soft calls of the girls.
0:19:48|0:19:57|It turns out that he had a lover named [Bai Ling] at the Huyu Tower. Just as [Bai Ling] was twisting her slender waist to go find her lover [Chen Yunqiao], she suddenly bumped into [Chen Yunqiao] who was scrutinizing [Yu Lian] up and down.
0:20:0|0:20:6|Chen Yunqiao was immediately attracted to the beauty of Yu Lian.
0:20:17|0:20:26|After saying that, [Yu Lian] was taken away, completely forgetting about her lover [Bai Ling]. Enraged with jealousy, [Bai Ling] forcefully stabbed her jade hairpin into the nearby armrest. She stormed back to her room.
0:20:26|0:20:32|Surprisingly, the jade hairpin that was just stuck in the armrest appeared intact on the table.
0:20:35|0:20:41|She picked up the jade hairpin and examined it carefully, confirming it was hers. Just as she was puzzled, she suddenly heard a strange voice.
0:20:42|0:20:49|A strange thing happened again, the wine pot on the table poured wine into the cup next to it on its own, [Bai Ling] was frightened and kept backing away.
0:20:49|0:20:54|Just as the wine in the cup was being poured, [Bai Ling]'s expression also changed.
0:20:55|0:21:6|She was surrounded by a demonic aura, casually tossing aside her jade hairpin. Her eyes stared straight ahead, with dark circles around them and a glowing gaze, as if possessed by a demon.
0:21:6|0:21:12|The scene shifts to outside the house, with a bright moon reflected on the lake, as [Bai Letian] and [Master Konghai] row their boat towards it.
0:21:20|0:21:27|After the two of them finished speaking and burst into laughter, [Chen Yunqiao] was focused on watching [Yu Lian] dance, thoroughly enjoying himself.
0:21:27|0:21:36|Dressed in a flowing robe with waist-length hair, swaying gracefully to the lingering sound of the pipa, [Yu Lian] captivated the audience with her enchanting dance from that moment on.
0:21:36|0:21:48|With the rhythm of the music, she gracefully raises her wrist and lowers her brows, lightly moving her hands like drifting clouds, captivating the hearts of all the audience present. Suddenly, a charming and enchanting woman with seductive eyes and a captivating smile also joins in.
0:21:48|0:22:0|Enter. Suddenly, his eyes furrowed, as if filled with endless sorrow. Then, a radiant smile appeared on his face, as if filled with boundless joy. Truly embodying the saying, "Such a scene is only found in heaven, rarely seen in the human world."
0:22:1|0:22:8|On the other side, [Bai Letian] and [Master Konghai] also arrived. Just as the two of them were going upstairs, a constable stopped [Bai Letian].
0:22:21|0:22:30|[Bai Letian] and [Master Konghai] arrived at the hall with ease, just in time to see [Yu Lian] gracefully spinning in the center of the hall with her veil, indicating that this exquisite and unparalleled dance performance was coming to an end.
0:22:30|0:22:39|But Master Konghai suddenly became interested and quietly walked behind Yu Lian. Yu Lian pretended to fall, and Master Konghai supported her with his long sleeves, and the two of them jumped up again.
0:22:40|0:22:50|I didn't expect the Japanese monk to dance, his hand movements like a butterfly fluttering around [Yu Lian]. The two interacted frequently, and with his accompaniment, [Yu Lian]'s dance gained a different kind of charm.
0:22:50|0:22:59|[Chen Yunqiao] and the others were watching with great interest. After another dance, [Bai Letian] pulled [Master Konghai] to a corridor and started mocking him.
0:23:6|0:23:12|[Kong Hai] laughed heartily. During the conversation, Lixiang walked over with a wine glass. [Kong Hai] noticed something unusual about Lixiang's hairpin and took a closer look.
0:23:12|0:23:20|Li Xiang noticed and gave a cold snort at [Kong Hai], then she swayed her waist and walked straight towards [Chen Yunqiao], respectfully handing him the wine.
0:23:21|0:23:33|[Chen Yunqiao] didn't even glance at Lixiang, just coldly took the wine glass, then leered at the dancing [Yu Lian]. After the song ended, he stood up unsteadily and casually said to everyone.
0:23:47|0:23:52|[Yu Lian] looked at Lixiang, knowing that Lixiang was angry with her for stealing her lover, and for a moment didn't know how to respond.
0:23:52|0:24:5|At this moment, [Chen Yunqiao] handed a glass of wine to himself, and [Yu Lian] happened to finish it in one gulp. Just as everyone was enjoying themselves, suddenly [Kong Hai] felt like there was something upstairs, and the laughter around him seemed to become sharp and eerie.
0:24:5|0:24:10|The painted sea on the screen turned into a real sea with towering waves in an instant.
0:24:10|0:24:15|Suddenly, the shadow of a cat appeared on the screen.
0:24:16|0:24:23|It turns out to be that talking cat demon again. At this moment, [Chen Yunqiao] hears someone calling his name and looks around drunkenly.
0:24:44|0:24:50|Chen Yunqiao felt uncomfortable hearing this and immediately stood up to address everyone.
0:25:5|0:25:22|As soon as the demon cat finished speaking, the dagger of [Chen Yunqiao] stabbed into the screen, and the shadow of the demon cat disappeared instantly, with a sudden burst of firelight from the candles on the wall. The dancers were so scared that they dared not move.
0:25:22|0:25:43|The Jinwu Guards drew their swords in defense, but at this moment, Li Xiang quietly stood up from behind [Chen Yunqiao]. Suddenly, a shadow passed through the neck of [Chen Yunqiao]. He touched his neck and found blood on his hand, with three deep scratch marks appearing on his face. He quickly drew his sword, and a fierce battle was about to begin. The girls from the Huyu Tower had never seen such a scene before and all fled in all directions.
0:25:46|0:25:50|At this moment, a black shadow swept across the top of them, one step, two steps, and wherever it went, the candlelight extinguished instantly.
0:25:50|0:25:56|A sharp-eyed Bai Letian discovered the location of the demon cat.
0:25:57|0:26:4|As soon as the words fell, the sword was thrust towards the demon cat. The demon cat leaped down, passed by the feet of the Jinwu Guards, and everyone fell to the ground.
0:26:4|0:26:10|Fortunately, [Bai Letian] acted quickly to close the door, avoiding detection by the demon cat and escaping unharmed. However, those inside were not so lucky.
0:26:10|0:26:20|Some were scratched and fell to the ground by the cat demon, some were knocked and fell downstairs, while others were thrown high in the air by the cat demon and then fell heavily. However, the cat demon did not harm the helpless girls.
0:26:20|0:26:31|It jumped onto the table and then shouted at [Chen Yunqiao].
0:26:32|0:26:40|After the demon cat finished speaking, it jumped off the table and swaggered past the Jinwu guards.
0:26:40|0:26:45|None of them dared to make a move now, all watching as the demon cat leaped onto the fence outside the door.
0:26:45|0:26:51|The demon cat looked back at the collapsed Jinwu guards on the ground and left in a victorious manner.
0:26:51|0:27:0|The demon cat fled in a panic as soon as it left [Chen Yunqiao], while Lixiang seemed to be acting guilty, lowering her head and preparing to leave sneakily. At this moment, she suddenly encountered a Jinwuwei whose eyes had been gouged out by the demon cat.
0:27:4|0:27:10|Seeing Jin Wuwei's eye sockets bloody and terrifying, causing Lixiang to scream in horror. At the same time, [Chun Qin] also fainted on the ground.
0:27:10|0:27:17|Chen Yunqiao ran back home with sweat all over his head, pushed open the courtyard door, found nothing unusual, finally breathed a sigh of relief, and was about to run into the house.
0:27:17|0:27:25|Suddenly he saw [Chun Qin] sitting by the lake with her back to him. When [Chun Qin] didn't respond, he felt a bit worried and ran through the long corridor to where she was.
0:27:25|0:27:32|When he arrived, [Chun Qin] had disappeared without a trace. Just as he was puzzled, he suddenly noticed that the lake surface seemed different from usual.
0:27:32|0:27:41|He walked to the lakeside to investigate and found that the dead fish floating all over the lake had their eyeballs gouged out, which scared him so much that his legs went weak, almost falling into the water.
0:27:42|0:27:49|The next morning, [Master Konghai] and others arrived at the crime scene of Hu Yulou with the soldiers.
0:28:28|0:28:33|Minister Li realized that he had wrongly accused Bai Letian before, so he walked up to him to apologize for what happened before.
0:28:48|0:28:53|[Master Konghai] was moved by [Bai Letian]'s unyielding attitude and grabbed him, bowing to him.
0:29:0|0:29:8|Li Shaojian stood by the lake and talked to the two people.
0:29:19|0:29:26|Bidding farewell, [Li Shaojian] and the two walked back on the road.
0:30:14|0:30:19|Master Konghai's myriad thoughts could not find an answer.
0:30:19|0:30:27|[Bai Letian] took him to a city tower.
0:30:30|0:30:39|Master Konghai turned around and gazed at the distant imperial city after hearing that.
0:30:39|0:30:50|Suddenly, the weather changed dramatically, and [Master Konghai] snorted coldly.
0:30:52|0:31:1|As the sky darkened, finally arriving at the second night as agreed with the demon cat, [Chen Yunqiao] and [Chun Qin] lay on the bed with anxious hearts.
0:31:8|0:31:17|As soon as the two finished speaking, a black shadow swiftly leaped over the courtyard wall.
0:31:24|0:31:39|As the two were busy shifting blame onto each other, a cat's shadow unexpectedly appeared on the lantern of the Chen family's night patrol servant. The Taoist priest in the courtyard, holding peach wood and reciting sutras with his mouth, was completely unaware. And so, the demon cat easily made its way into the inner courtyard hidden in the servant's lantern.
0:31:39|0:31:47|At the entrance of the inner courtyard, another Taoist priest is performing a ritual with peach wood. The shadow of the demon cat is directly printed on the wall behind the Taoist this time, but unfortunately, he still hasn't noticed.
0:31:47|0:31:52|The demon cat then entered the room, walked up the stairs, and passed through the door crack to the second floor.
0:31:52|0:31:57|The corridor was empty, and the demon cat swaggered through it.
0:31:57|0:32:3|Arriving at the staircase, with only the last flight of stairs left, the demon cat would soon meet the couple [Chen Yunqiao].
0:32:3|0:32:7|It quietly climbed the last step and encountered another Taoist.
0:32:7|0:32:16|The Taoist sat with his eyes closed, chanting incantations silently at the table. The demon cat leaped lightly onto the table.
0:32:16|0:32:25|The Taoist slowly opened his eyes upon hearing movement, only to find the demon cat staring at him. The demon cat extended its sharp claws, ready to take the Taoist's life in an instant.
0:32:25|0:32:43|In the room, [Chen Yunqiao] was awakened and hastily picked up his sword. Without bothering to put on his clothes, he opened the door to look around. Large patches of blood on the ground caught his eye, and he knew it was the work of the demon cat. With his clothes disheveled, he tightly gripped the sword and carefully followed the bloodstains downstairs to investigate.
0:32:43|0:33:5|As he pushed open the door, he suddenly found the bodies of two Taoist priests lying at his feet. He was so scared that he scrambled upstairs to find [Chun Qin]. Suddenly he heard [Chun Qin]'s miserable cry and rushed into the room. As soon as he entered, he was stunned. It turned out that the demon cat was lying on [Chun Qin]'s legs at this time, and [Chun Qin] seemed to have changed into a different person, actually playing with the cat.
0:33:5|0:33:10|The demon cat spoke to [Chen Yunqiao].
0:33:13|0:33:17|He extended his claws and left a scratch on the snow-white neck of [Chun Qin].
0:33:17|0:33:25|[Chen Yunqiao] fled in panic, no longer caring about saving [Chun Qin]. In an instant, he ran to the gate and shouted at the guards on duty.
0:33:36|0:33:45|[Chun Qin] stood by the bed calling for help to her husband, but suddenly she was dragged into the room by the demon cat. Seeing this, [Chen Yunqiao] hurried towards [Chun Qin], but suddenly he closed the door and locked it from the outside.
0:33:45|0:33:52|At this moment, a strange laughter was heard, and looking towards it, it turned out to be [Chun Qin]. Strange, wasn't she just upstairs a moment ago?
0:33:52|0:34:0|How did you end up here at this moment? [Chen Yunqiao] staggered to [Chun Qin]'s side and whispered tentatively.
0:34:4|0:34:14|The woman with the appearance of [Chun Qin] suddenly took out a fish and ate the fish's eyeball in front of [Chen Yunqiao].
0:34:14|0:34:18|Chen Yunqiao was so scared that he fled in a panic.
0:34:33|0:34:37|Peony followed Master Konghai's orders to fetch fresh meat with blood on it, while Bai Letian couldn't help but step forward to check on Yu Lian's injuries.
0:34:37|0:34:44|Seeing the festering wound on [Yu Lian]'s leg, [Bai Letian] was shocked.
0:34:47|0:34:53|At this moment, [Chen Yunqiao] also arrived at the Hu Yulou. He knocked hard on the door of his old friend Lixiang, hoping to hide here for a while.
0:34:56|0:35:7|In Lijiang, the cold-hearted [Chen Yunqiao] was seen, he snorted and closed the door. Suddenly, he saw Peony carrying raw meat and followed her all the way. [Kong Hai] was writing densely packed words on [Yu Lian]'s calf.
0:35:10|0:35:17|[Master Konghai] spoke as he lifted the skirt covering [Yu Lian]'s knees.
0:35:31|0:35:38|Following Master Konghai's orders, Mudan held Yu Lian, Bai Letian carried raw meat, and he pierced Yu Lian's toes with a needle, causing blood to flow instantly.
0:35:39|0:35:49|[Bai Letian] quickly caught the blood flowing from [Yu Lian]'s toes with raw meat, and the meat in the bowl turned into millions of worms wriggling in an instant. At this moment, [Chen Yunqiao] hiding behind the door saw [Kong Hai] detoxifying with raw meat.
0:36:18|0:36:25|Chen Yunqiao, hiding behind the door, saw Kong Hai's superb magic skills, so he pushed the door open and knelt directly on the ground, begging Kong Hai for help.
0:36:27|0:36:38|Upon hearing about the strange occurrences at the Chen residence from [Chen Yunqiao], [Kong Hai] and [Bai Letian] hurried there under the moonlight. The Chen residence was shrouded in a sinister atmosphere under the moonlight.
0:36:38|0:36:46|Suddenly, the two of them discovered that [Chun Qin] had appeared on the roof, reciting poetry with her mouth.
0:36:51|0:37:1|Suddenly, Chun Qin slipped and almost fell, Kong Hai immediately walked forward. Bai Letian, who realized what happened, hurried to catch up. The two finally found Chun Qin's bedroom, only to see Chun Qin lying on the bed.
0:37:32|0:37:39|After that, [Bai Letian] left the Chen's residence with [Kong Hai], and at this moment, the shadow of the demon cat reappeared.
0:37:40|0:37:44|As the sky gradually lightened, [Bai Letian] quietly sneaked into the imperial city with [Kong Hai].
0:37:44|0:37:50|Fortunately, it was the changing of the guards at that time. Seizing the opportunity, the two of them ran into a palace.
0:37:50|0:37:57|The books in the hall cover the entire wall, with bookshelves neatly arranged in the middle. Asked [Master Konghai].
0:38:7|0:38:17|While climbing up the ladder to search for books, [Kong Hai] pushed from below and [Bai Letian] searched above. Finally, the two stopped in front of the history section bookshelf. Just as [Bai Letian] was searching around,
0:38:17|0:38:26|[Kong Hai] suddenly noticed a firefly flying below, and it landed right on the record of the daily life of Emperor [Tang Xuanzong] during the Kaiyuan era that [Bai Letian] was looking for.
0:38:28|0:38:34|On the first page of the book, it is written.
0:40:16|0:40:24|[Bai Letian] excitedly describes to [Kong Hai] the love of [Li Longji] for [Yang Yuhuan].
0:40:38|0:40:45|Although [Bai Letian] spoke passionately, [Kong Hai] remained unmoved.
0:41:2|0:41:10|Bai Letian seemed to have traveled back to the time of Tang Xuanzong as he spoke.
0:41:10|0:41:21|The gate of the Huaye Xianghui Tower opened to him, and the stunningly beautiful [Yang Yuhuan] slowly walked towards him. With a slight smile towards [Bai Letian], [Bai Letian] completely fell for her. On the side, [Kong Hai] knew that [Bai Letian] had completely succumbed.
0:41:21|0:41:26|Bai Letian was immersed in his own fantasy as he spoke, but he was interrupted before long.
0:42:10|0:42:18|The melon farmer turned around and saw [Kong Hai].
0:43:12|0:43:17|In the distance, the bell of the Qingyun Temple rang again. [Kong Hai] bid farewell to Guaweng, and then went to find [Bai Letian] to go to the Chen Mansion again.
0:43:17|0:43:26|Bai Letian was not happy this time, muttering all the way, worried that he would also have his eyeballs eaten by the demon cat.
0:43:39|0:43:48|As soon as [Kong Hai] finished speaking, the sky suddenly changed, and a blooming cherry blossom tree appeared outside the door of [Chen Yunqiao]'s house, with a woman standing under the tree.
0:44:2|0:44:8|Just as they finished speaking, a mist rose behind them. When they turned around, they found nothing unusual. [Bai Letian] approached the woman under the tree.
0:44:8|0:44:14|Recognizing her as Yang Yuhuan from 30 years ago, he wanted to get closer to Yang Yuhuan. Master Konghai behind him reminded him.
0:44:16|0:44:21|[Master Konghai] had just finished speaking when the noble consort disappeared along with the tree in front of [Bai Letian], and the sky cleared up again.
0:44:21|0:44:32|The previous events turned out to be an illusion. Just one night passed since the two pushed open the door of Chen Yunqiao's house, but it seemed like many years had gone by. The courtyard was overgrown with weeds, resembling an abandoned dilapidated house.
0:44:33|0:44:43|Just as they were talking, suddenly the voice of [Chun Qin] was heard, and she was seen sitting by the window shouting at the two.
0:44:43|0:44:52|[Bai Letian] and [Kong Hai] came upstairs, while [Chun Qin] in a long dress appeared even more beautiful.
0:44:56|0:45:0|Bai Letian looked uneasily at the tea on the table covered with silk nets, and glanced at Kong Hai.
0:45:0|0:45:5|At this moment, [Kong Hai] sat down calmly, although he was full of doubts in his heart, he had no choice but to follow suit.
0:45:5|0:45:12|Who knew that as soon as [Kong Hai] sat down, he picked up the teacup covered in silk net and took a sip, and no one could stop him.
0:45:29|0:45:38|After [Kong Hai] and [Chun Qin] finished speaking, they burst into laughter. [Bai Letian] awkwardly chuckled along with them.
0:45:38|0:45:45|During the conversation, he picked up a teacup, and suddenly a large spider crawled out from inside. Fortunately, [Master Konghai] acted quickly and tapped him twice, making the spider disappear.
0:48:39|0:48:48|[Chun Qin] did not answer, turned her back to the two of them, a tear slid from the corner of her eye.
0:48:56|0:49:9|[Bai Letian] wanted to ask further, but at this moment [Chun Qin] had already fainted and couldn't wake up. Suddenly, a demonic wind blew through the room, sweeping away all the dried leaves inside. In an instant, [Chen Yunqiao] returned to his original form, and the two realized that it was another illusion created by the demon cat.
0:49:9|0:49:16|Although it was an illusion, what it said was true. The two of them did find a dried cat skin under the bed.
0:49:19|0:49:26|[Bai Letian] picked up its body and discussed with [Master Konghai] to set a fire in the courtyard to burn it, which could be considered as a comfort to its soul.
0:49:26|0:49:36|The case of the demon cat is finally resolved. [Chen Yunqiao] survived the crisis and hosted a banquet for many guests, with [Chun Qin] performing a dance for the guests.
0:49:36|0:49:41|[Chen Yunqiao] raised his glass to thank [Kong Hai] and [Bai Letian].
0:49:46|0:49:53|Three people were drinking heartily below the stage, with [Chun Qin] tied to copper bells on her feet, draped in thin gauze, dancing gracefully on the drum. The guests couldn't help but applaud and cheer.
0:49:54|0:50:5|During the banquet, [Chun Qin] tossed the thin veil on her shoulders in front of [Chen Yunqiao], who grabbed it and pulled her towards him with a bit of force. The two then started dancing, escalating the atmosphere of the banquet to a climax.
0:50:5|0:50:13|The accompaniment became more and more intense, and as the two performed more brilliantly, the intrigued [Bai Letian] began to introduce the origin of this dance music to [Kong Hai].
0:50:19|0:50:29|Dancing [Chun Qin] and [Chen Yunqiao] are just like the imperial concubine and [Tang Xuanzong] back in the day.
