0:1:49|0:1:54|[Zhu Guangsheng] looked at the grilled meat in his hand, then placed the skewer on the plate.
0:22:43|0:22:55|and dragged him on the ground. At this moment, the villain kept rolling, trying to break free from the bites of [Blue Wave], but [Blue Wave] didn't give him a chance to catch his breath, biting him tightly. The next day, in a great mood, [Zhu Guangsheng] hummed a tune.
0:22:55|0:23:4|As the eight large characters "Protecting the mountains and nurturing the forests, greening the motherland" on the side of the house were being repainted, at that moment, the police car stopped by the road, and Director Liu got out of the car and shouted at his back, [Director Liu].
0:23:17|0:23:22|[Zhu Guangsheng]'s movements began to slow down.
0:23:30|0:23:34|[Zhu Guangsheng] stopped his actions and turned to look at [Director Liu],
0:23:51|0:24:0|Director Liu started the car and drove away, watching Zhu Guangsheng go far away. At this moment, Zhu Guangsheng furrowed his brows and looked down at the ground, saying worriedly,
0:24:18|0:24:38|The man then took off his sunglasses and looked at [Changzi]. At that moment, [Changzi] standing by the table, looked at [Zhang Biao] in surprise. In the other corner of the guard station, Old Zhu was sitting by the stove, adjusting the hook made of twisted steel wire with pliers. Just as he was trying to flatten the bottom of the hook, Director Liu suddenly opened the door and looked at him, saying,
0:25:0|0:25:15|Old Zhu looked at Director Liu in front of him, gesturing for him to sit down with his right hand holding pliers. Then Old Zhu put down the hook that had already been formed in his hand, turned off the radio, and looked at him seriously, saying,
0:25:19|0:25:32|Director Liu, who was already seated, looked up as Old Zhu, with a smile on his face, lowered his head and busied himself with the task at hand.
0:25:42|0:26:6|With a furrowed brow, Zhu Guangsheng rubbed his hands on the stove and stopped his actions, pursing his lips. He suddenly looked up at Director Liu, then put down what was in his hands and calmly said, pretending to be composed. The honest and simple Zhu Cong did not think he had done anything wrong.
0:26:27|0:26:32|At this moment, the atmosphere in the room was extremely tense, and the two of them did not notice that [Zhu Lin] had walked in.
0:27:10|0:27:16|Following [Zhu Cong]'s pull of the trigger, as the gunshot rang out, the screen was covered in blood, with someone holding a hunting rifle in the snowy field.
0:27:20|0:27:24|After finishing speaking, [Changzi] turned around, closed his eyes tightly, and breathed heavily.
0:27:31|0:27:49|Changzi turned to Zhang Biao in shock, while Zhang Biao, who was looking for prey, put away his hunting gun and walked forward. The clumsy Changzi quickly picked up the rabbit on the ground and ran towards Zhang Biao. He grabbed Zhang Biao, almost slipping, and after stabilizing himself, he said,
0:27:55|0:28:4|[Zhang Biao] walked forward absentmindedly, [Changzi] immediately caught up. [Zhang Biao] stepped heavily on the snow, staring blankly at a spot not far away.
0:28:7|0:28:30|After listening to [Changzi]'s words, [Zhang Biao] instantly understood something. He then threw the bag containing the hunting rifle into the bushes. Slowly, he walked to the bag, squatted down, removed his gloves, raised the rifle high, aimed at Old Zhu's dog yard, scanned every dog, and finally aimed at the dog lying on the ground. His intense desire for revenge blinded his eyes, and without hesitation, he pulled the trigger.
0:28:30|0:28:36|The bullet swiftly pierced through the dog's head, and after a few whimpers, the dog collapsed into a pool of blood.
0:28:36|0:28:44|At this moment, the snow wolf on the mountain is watching from afar. Inside the forest station at night, [Zhu Guangsheng] stares blankly out the window.
0:29:9|0:29:15|As the two were talking, the dog outside the window kept barking. Upon hearing the noise, [Zhu Guangsheng] immediately looked towards it.
0:29:22|0:29:29|Don't do anything stupid. Soon after, [Zhu Guangsheng] in military coat, holding his drumstick, walked towards a residential house. Upon reaching the front gate, he urgently knocked on the door.
0:29:29|0:29:40|Seeing that no one opened the door, he increased the force in his hands. On the other side of the dog yard, [Zhang Biao] and [Changzi] sneaked into the kennel, where the dogs, sensing a strange presence, kept barking incessantly.
0:29:40|0:29:54|Walking in the front, [Zhang Biao] suddenly turned around and reached out his hand to [Changzi]. Understanding the signal, [Changzi] immediately handed over the stick in his hand. [Zhang Biao] took the stick and continued walking forward, while Blue Wave, locked in the cage, watched them calmly.
0:29:54|0:29:59|The next day, [Zhu Lin] anxiously opened the door and said to [Zhu Guangsheng], who was washing up,
0:30:6|0:30:19|[Zhu Guangsheng] carefully observed the object in his hand, furrowing his brows. Slowly, [Zhu Guangsheng] lifted his head, and the blue waves were locked on the iron fence.
0:30:37|0:30:52|The cook holding the money glanced at the locked Lanbo, bypassed [Changzi], and walked towards the house. Meanwhile, [Changzi] chewing gum remained in place, watching Lanbo struggling and showing a lewd smile. After Lanbo exhaustedly collapsed on the ground, [Changzi] was satisfied and turned to leave.
0:30:52|0:31:1|When Zhu Guangsheng saw him reaching for the chicken in the cage, he immediately stood up and stared closely at his back. Blue Wave kept scratching the iron gate with his claws.
0:31:1|0:31:9|And tried to climb over, but ultimately failed. [Changzi] walked towards the kitchen with the chicken, [Lan Bo] suddenly shouted, only to have the iron chain torn off.
0:31:25|0:31:48|The two of them arrived on the road, searching for the figure of [Lan Bo]. The cook pointed forward with a stick, but before they took a few steps, [Changzi] sat on the cook's lap. At that moment, [Lan Bo] suddenly stopped, turned around, and saw them about to catch up. [Lan Bo] immediately jumped into the abandoned courtyard, went through the window into the house, while [Changzi] and the cook kicked open the iron gate.
0:31:54|0:32:21|The nervous chef sat at the dining table, constantly tapping the tabletop with chopsticks. Suddenly, the door was pushed open, and he saw Zhu Guangsheng leaning against the door. He hurried over to Zhu's side. Zhu walked into the room unhurriedly, cautiously looking around and seeing no one. He then asked, and the chef, feeling flustered, ran into the kitchen.
0:32:21|0:32:30|Old Zhu walked slowly towards the large bowl of meat and wine on the table, pulled out the chair in the middle of the table, but he didn't sit down directly. Instead, he looked towards the direction of the kitchen.
0:32:30|0:32:56|He lifted his clothes and took out the big drum hammer hidden at his waist, then tucked it into his sleeve. After completing all the precautions, Old Zhu sat on the stool with a poker face, concealing the anger in his heart. Just then, the half-opened door was pushed open from the outside. Old Zhu turned his head slightly towards the door, only to see a person in black leather boots walking in. After closing the door, the person approached Old Zhu.
0:32:56|0:33:19|At this moment, Old Zhu turned his head disdainfully, and [Zhang Biao], who walked up to him, first placed his hand on his shoulder, then stared at him sharply with a fierce look in his eyes. Bending down and leaning his face next to him, he casually said, "Facing danger without fear." Old Zhu, facing his eyes, saw [Zhang Biao] with such a sharp look for the first time, it was a year ago when he was caught.
0:33:19|0:33:32|At that time, he hated Zhu Guangsheng for bringing the police. Now, Zhang Biao is seeking revenge on Zhu Guangsheng, causing his family to be destroyed. He then patted Zhu Guangsheng on the shoulder and slowly walked towards the center of the long table.
0:33:46|0:34:17|After finishing speaking, he picked up the white wine on the table and poured it into the empty glass. When the wine reached one-third of the glass, he closed the bottle. At this moment, Old Zhu ignored him, so he placed the glass in front of Old Zhu. Old Zhu, who didn't understand the meaning of this action, looked up at him. Old Zhu, who was glancing sideways at Zhang Biao, did not get angry because of his words. He disdainfully shifted his gaze to the table, placed his arm with the big drumstick hidden on the left on the table, and then picked up the glass of white wine with his right hand and took a big sip.
0:34:17|0:34:24|After hesitating for a moment, [Zhu Guangsheng] picked up a piece of meat from the basin and stuffed it into his mouth, chewing continuously.
0:34:29|0:34:36|Shortly after, a wave of nausea surged in Zhu Guangsheng's heart. He leaned over the table and vomited all the meat out. Zhang Biao, with a smug expression, burst into uncontrollable laughter.
0:34:40|0:34:46|[Zhu Guangsheng]’s face changed drastically, and in anger, he pulled out a large drumstick and swung it towards [Zhang Biao].
0:34:52|0:35:12|Seeing [Zhang Biao] lifting a stool to smash towards [Zhu Guangsheng], [Blue Wave] rushed in and bit his arm, with [Zhu Cong] and [Zhu Lin] following closely. Just as [Zhang Biao], who had just broken free from the jaws of [Blue Wave], was kicked to the ground by [Zhu Guangsheng], the panting [Zhu Guangsheng] first glanced at his daughters, then walked to the table to calm down the agitated [Blue Wave].
0:35:16|0:35:40|Zhu Guangsheng then turned to look at Changzi and the cook, who were scared in the corner by Lan Bo. Knowing that they were not bad people, he turned around and put the drumstick back into his sleeve. Burning with anger, he looked at the unharmed Lan Bo and decided not to pursue further. He then turned and walked towards the exit, but was stopped by the fallen Zhang Biao after a few steps. He looked at Zhang Biao helplessly.
0:35:40|0:35:44|Sensible [Zhang Biao] immediately moved aside to make way.
0:35:46|0:36:13|[Zhu Guangsheng] walked out of the room, followed closely by his two daughters. Then [Zhang Biao] slowly stood up, glaring fiercely at [Changzi]. Nervously, [Changzi] recounted the details of [Lan Bo]'s escape to [Zhang Biao]. The two of them chased after [Lan Bo] to an abandoned courtyard. When they saw [Lan Bo] hiding in a corner, they tried to scare him with sticks. However, fearless [Lan Bo], finding an opportunity, immediately jumped out of the window, bypassing the two of them.
0:36:1|0:36:35|The two who came up carefully observed every corner of the room. [Lan Bo] climbed out through the hole in the wall, and the two standing on the street watching the passing sheep were lost in thought. In a moment of inspiration, [Changzi] thought for a moment and the cook decisively said to add more cooking wine.
0:36:39|0:36:52|In a fit of anger, [Zhang Biao] overturned the long table, causing the two people in the corner to be scared and collapse against the wall again. However, [Zhang Biao] looked at them with a smile on his face.
0:37:3|0:37:10|Director Liu, who was on patrol, saw a man leading a horse not far away and shouted,
0:37:22|0:37:31|After Director Liu finished speaking, he drove away. The village chief continued to lead the horse forward, and then his colleagues helped Director Liu make a phone call and put it next to his ear.
0:37:42|0:38:1|On the other side, [Zhu Guangsheng] listened to the phone call and then walked towards the sheep pen with a hemp rope and a bundle of hay. The little lambs kept bleating when they saw [Zhu Guangsheng] approaching. After a moment of hesitation, [Zhu Guangsheng] first slung the hemp rope over his shoulder, then separated the hay and threw them in four different directions. He watched the little lambs huddled in a corner.
0:38:1|0:38:9|His gaze finally fell on the smallest one, and then [Zhu Guangsheng], who was stewing the meat, started cutting the vegetables.
0:38:29|0:38:35|After Director Liu finished speaking, he opened the bottle of wine and started pouring, but Zhu Guangsheng's mind was on the newly made tobacco pipe.
0:38:54|0:39:1|Director Liu put down Zhu Guangsheng's bowl, picked up his own bowl with chopsticks, and immediately put a piece into his mouth.
0:39:3|0:39:16|Director Liu, who couldn't bear it in his heart, said while eating meat, Zhu Guangsheng, who had no expression on his face, expressed helplessness about the matter. Director Liu, deep in thought, furrowed his brow.
0:39:26|0:39:40|After Zhu Guangsheng finished speaking frankly, he sat up straight, stretched out his hands to look at him. Director Liu ignored him and instead put down the bowl and chopsticks, took out a large amount of cash from his jacket pocket and handed it to him.
0:39:54|0:39:57|Director Liu stood up and snatched it back, and after sitting down, he put the money back in place.
0:40:12|0:40:18|Director Liu, who was inexplicably called by Lan Bo, raised his head and asked Zhu Guangsheng.
0:40:22|0:40:28|Director Liu looked at Zhu Guangsheng in disbelief, his face full of shock. The more he thought about it, the more disgusted he became, and he immediately spat out all the meat in his mouth.
0:40:36|0:40:57|He drank the wine in his hand in one gulp, and at this moment, Lanbo also stopped making noise and quietly lay on the ground watching [Zhu Guangsheng]. The next day, [Zhu Guangsheng] took his old partner and two daughters to pick up garbage near the dog field. He walked in the front with a large bamboo basket on his back, while [Zhu Cong] carried a small basket and [Zhu Lin] walked beside him. The old partner on the hillside picked up garbage alone, and the sensible Lanbo carried the garbage towards [Zhu Guangsheng].
0:40:57|0:41:9|They tied the collected plastic bags to the fence of the dog field, adding a different scene to the single Tian Shan forest with colorful garbage bags.
0:41:16|0:41:28|In the dog kennel, Zhu Guangsheng and two others stood up and walked towards the outside. The man at the front stood at the door, patted his arm, then turned to Zhu Guangsheng behind him and said,
0:41:30|0:41:36|After the veterinarian finished speaking, [Zhu Guangsheng] turned to look at the dog kennel, the anxious [Zhu Guangsheng] softly inquired of the veterinarian,
0:41:54|0:41:58|Upon hearing the price, [Zhu Guangsheng] instinctively clenched his fists, unable to bear giving up these dogs.
0:41:58|0:42:5|He watched absentmindedly as the doctor left with his hat in hand, while on the other side, [Zhu Guangsheng]'s wife rummaged through boxes and cabinets searching for something.
0:42:5|0:42:12|In a fit of anger, she slammed the empty handbag on the table in front of Zhu Guangsheng, who was drinking.
0:42:12|0:42:27|[Zhu Guangsheng] held a bottle of wine in one hand, feeling troubled, he slowly spoke. His wife beside him was very impatient. [Zhu Guangsheng] lowered his head nervously and answered slowly. Hearing his response, the angry wife slapped [Zhu Guangsheng]'s shoulder heavily.
0:42:37|0:42:44|[Zhu Guangsheng], who was mentioned, shamelessly continued to speak.
0:42:50|0:43:1|[Zhu Guangsheng] glanced at his gasping wife out of the corner of his eye, filled with regret and no expression on his face. Just as he was about to pick up the wine glass, his wife snatched it from him and threw it to the ground.
0:43:39|0:43:50|The provocation from his wife's words made [Zhu Guangsheng] even more irritable at the moment. As his wife struggled to get up from the ground, she said,
0:43:51|0:44:13|After his wife walked out of the door without looking back, enraged [Zhu Guangsheng] stared at the handbag on the table and angrily threw it to the ground. [Zhu Guangsheng] was torn between two choices, caught in endless dilemma. He looked at the blue waves in front of him, sticking out their tongues at him, but in the end, he stuck to his inner self. The azure sky framed the towering peaks, with endless forests winding below the snow line.
0:44:13|0:44:19|[Zhu Guangsheng] sat on the hillside with a radio and a blue wave, settling his anxious mood.
0:44:25|0:44:39|[Zhu Guangsheng] stopped his movements, placed the water bottle down, and took the money handed to him by [Dr. Niu]. He lightly flicked his fingers and began counting the money. Just then, a mountain bike slowly came to a stop in front of his house.
0:45:8|0:45:16|[Zhu Guangsheng] lowered his head in confusion, and after a moment of contemplation, he sighed softly and looked at Boss Qin, pleading.
0:45:32|0:45:37|Boss Qin pulled the man selling sheep intestines away, while [Zhu Guangsheng] stood in place watching them go.
0:45:40|0:46:5|[Zhu Guangsheng] looked helplessly at the limited amount of cash in his hand. In the afternoon, as he was washing the horse on the slope, [Zhu Cong] shouted. After speaking, she turned her head back to continue with her work. [Zhu Cong] urged Lanbo to walk towards the intersection. She carried a single-shoulder bag, with her hands in her pockets. Curious Lanbo followed beside her, trying to get her attention.
0:46:5|0:46:24|As she reached the doorway, she suddenly stopped, turned to look at her father's busy figure, [Zhu Cong] couldn't bear to see her father in such distress. She then lowered her head and took out a small stack of money from her pocket, spreading the money out in her hand. Looking at the limited amount of money, she hoped to do her best to help her father with her meager contribution.
0:46:24|0:46:43|He watched as Lanbo returned to his father and then turned to leave. [Zhu Guangsheng] heard Lanbo calling out and turned back, only to see Lanbo running towards him. He opened his arms and embraced Lanbo, but as he was comforting him, he noticed some money attached to Lanbo's dog leash. He took the money off and looked in the direction where [Zhu Cong] had left.
0:46:43|0:47:8|At this moment, [Zhu Guangsheng] was feeling a mix of emotions in his heart. He looked at the dog kennel he had built at the foot of the mountain with his own hands, and recalled recent events with deep regret. He stood under the national flag in front of the kennel, solemnly put on his hat, let out a long sigh, and then set off. Before long, his feet were on the stairs. After hesitating for a moment, he walked with heavy steps to the pawnshop's door, pushed it open, and handed over the property deed.
