0:0:26|0:0:31|A sedan is driving on a small road, with three men in the car dressed in neat Zhongshan suits.
0:11:53|0:11:58|[Gao Fengshan] moved the medicine bowl aside and looked at him, then walked in with a clean basin of water for washing his face.
0:11:59|0:12:7|[Gao Fengshan] picked up the medicine on the table and slowly drank it, the bitter Chinese medicine made [Gao Fengshan] frown.
0:12:7|0:12:10|He put down the bowl and looked at the boy who was making the bed.
0:12:10|0:12:17|I say, [Wang Yuzhen] put down the work in her hands and walked towards the gentleman, her eyes filled with longing.
0:12:40|0:12:45|As soon as the words fell, the gentleman raised his hand and pointed outside the door, indicating Wang Yuzhen to leave.
0:13:20|0:13:22|He placed the breakfast on the table.
0:13:22|0:13:23|In the street, a man with a crew cut is holding a piece of grass and wandering around.
0:13:36|0:13:40|Before the fight began, a coin fell to the ground with a clang, catching the attention of [Bald Man].
0:13:40|0:13:46|[Gao Fengshan] covered it with his hand, but it was immediately stepped on by a foot, and [the bald man] picked up the money.
0:13:53|0:13:57|[Gao Fengshan] jumps onto the back of the [man with crew cut].
0:13:57|0:14:5|The man with a crew cut grabbed Gao Fengshan from behind, pinned him to the ground, and tried to hit him, but was flipped onto a nearby stall by a boy standing by.
0:14:27|0:14:31|The man pushed away [the crew-cut man] and then took [Gao Fengshan] to pack up.
0:14:31|0:14:34|Under the city wall, the sky bridge is still bustling with activity.
0:14:34|0:14:36|The brother stood under the shade of a tree with [Gao Fengshan].
0:14:38|0:14:43|[Gao Fengshan] took the yellow-faced nanny from his brother's hand and gobbled it up, then suddenly stopped.
0:14:58|0:15:0|Gao Fengshan hesitated upon hearing the news.
0:15:49|0:15:55|Fengshan listened to Gao Fengshan's fast-paced rhythm, unable to help but be fascinated, staring in awe at the artistic charm of the rhythm.
0:15:55|0:16:1|[Gao Fengshan] performed his art skillfully, with the surrounding ice houses packed with spectators, showcasing his passion for the art.
0:16:1|0:16:5|Standing on the side, [Gao Fengshan] unconsciously reached for the fast board on the railing.
0:17:2|0:17:4|Madam Shi swayed as she walked out of the room.
0:17:24|0:17:27|Madam Shi shook her head and walked away.
0:17:27|0:17:33|Mr. Gao Fengshan stared at Fengshan with a serious expression, and Fengshan slowly stood up from in front of the washbasin.
0:17:33|0:17:41|Fengshan followed Mr. Gao into the room. Mr. Gao took a fan from behind his neck and placed it on the table, while she sat on a stool and looked at Fengshan in front of her.
0:17:41|0:17:44|Gao Fengshan, who was thin and small, felt a little uneasy in front of the gentleman.
0:17:54|0:18:3|Madam Shifu raised her hand to stop Mr. Xiansheng, who then put down the fan in his hand.
0:18:3|0:18:10|Madam Bai gave a disdainful look at [Gao Fengshan], then turned around to fetch the clappers from the table. [Gao Fengshan] looked nervously at the master.
0:18:10|0:18:11|Madam Shifu handed it to [Gao Fengshan].
0:18:20|0:18:28|I'm here, [Gao Fengshan] pursed his lips, the master stared expressionlessly, not allowing [Gao Fengshan] to deceive his belief in fast-paced rhythm.
0:18:46|0:18:55|The gentleman tapped the chopsticks with a fan, and [Gao Fengshan] hurriedly knelt down in tears.
0:18:55|0:19:0|[Gao Fengshan] cried with a sad face, and the master saw this and helped [Gao Fengshan] up from the ground.
0:19:11|0:19:15|Upon hearing the words of the teacher, Mr. Xian seemed lost in thought and looked up at [Gao Fengshan].
0:19:15|0:19:19|[Gao Fengshan] knelt on the ground, kowtowing to his master, tears rolling down his cheeks.
0:19:49|0:19:52|The gentleman bowed to the audience around him to express his gratitude.
0:19:52|0:19:56|He staggered back with a punch, leaning against the nearby table, and sat on the ground.
0:19:56|0:19:59|Gao Fengshan carefully counts the tips on the ground.
0:19:59|0:20:1|A spectator raised his hand holding money, looking at [Gao Fengshan].
0:20:1|0:20:7|[Gao Fengshan] glanced at the master, walked towards the audience, and picked up the fallen money with both hands.
0:20:7|0:20:9|He took the money and walked towards [Cao DeKui].
0:20:20|0:20:27|[Cao DeKui] slapped the palm of [Gao Fengshan], then slowly stood up, looking down at [Gao Fengshan] who was enduring the intense pain in his hand.
0:20:51|0:20:53|[Cao DeKui] gritted his teeth, looking serious.
0:20:53|0:20:55|For him, rules are taboo.
0:20:55|0:20:58|Back home, the old porcelain bowl was filled with dark medicinal soup.
0:20:58|0:21:1|[Cao DeKui] picked up the bowl from the table, but hesitated.
0:21:1|0:21:3|The next moment, he placed the bowl back on the table.
0:21:3|0:21:6|He pointed at his leg and looked up at [Gao Fengshan].
0:21:46|0:21:50|Upon hearing Cao DeKui's words, Gao Fengshan was overjoyed and quickly ran to the cabinet, taking out chopsticks and a plate.
0:21:50|0:21:53|The gentleman fiddled with the fan in his hand, waiting for [Gao Fengshan].
0:22:34|0:22:40|Mr. [Gao Fengshan] taught the indifferent [Gao Fengshan], and as the night grew late, the moon hung high in the sky.
0:22:40|0:22:51|Mr. Gao Fengshan carefully walked into the room with an oil lamp, checked on the already asleep Fengshan, placed a water kettle by the bed. The Fengshan on the bed was already fast asleep, with traces of blood at the corner of his mouth from the scolding by Mr.
0:22:51|0:22:58|Mr. Gao Fengshan placed the oil lamp by the bedside, then reached into his jacket pocket and took out a box of matches, holding it in his hand.
0:22:59|0:23:9|Gao Fengshan adjusted the coat on his shoulders, took out a match and struck it gently. The flickering flame danced in the night until it lit the wick of the oil lamp, illuminating the dim room.
0:23:9|0:23:15|Mr. Gao's gentleness at this moment is completely different from his sternness during the day, it is just his insistence on the art of fast-paced storytelling.
0:23:16|0:23:20|No one can be perfunctory in his faith.
0:23:20|0:23:25|Lighting the oil lamp, he blew out the match in his hand and put the matchbox back into his pocket.
0:23:25|0:23:30|He gently removed the towel draped over his shoulder, picked up a basin of water, and poured it onto the towel.
0:23:30|0:23:37|The dry towel was wetted, and he turned his head to Gao Fengshan, looking at the bloodstains and wounds at the corner of Gao Fengshan's mouth.
0:23:39|0:23:44|Gao Fengshan slowly wiped the corners of his mouth, his movements gentle yet deliberate.
0:23:44|0:23:52|At this moment, Madam also walked into Gao Fengshan's room wearing a coat, watching as the master tended to Gao Fengshan's wound, reaching out to pat the master's head.
0:23:54|0:24:0|The gentleman raised his hand to signal the teacher not to make a sound, picked up the nearby water pot and handed it to the teacher.
0:24:0|0:24:6|Madam Shifu took the water bottle with a worried look on her face, while Mr. slowly turned around and blew out the oil lamp on the bedside.
0:24:6|0:24:19|The bright room once again fell into darkness, Mr. Gao slowly picked up the oil lamp by the bedside, instructing the inn owner to walk out of the room together. Their figures gradually disappeared outside the door, while Gao Fengshan on the bed had already woken up.
0:25:3|0:25:8|The man at the village entrance took the grass out of the bird's mouth and bent down to the stone pagoda to collect money.
0:25:53|0:26:4|The surrounding area was crowded with people enjoying the excitement. The crew-cut man who had been tripped still refused to pay, he got up from the ground and stood there nonchalantly.
0:26:4|0:26:22|The crew-cut man took a step forward, hesitated, looked at the crowd around him, and spat provocatively at the ground. He turned to leave but was stopped by the onlookers. He raised his hand to adjust his clothes and walked out of the crowd with a look of arrogance.
0:26:24|0:26:28|The onlookers gradually dispersed, and in the early morning, Gao Fengshan walked into the master's room.
0:26:54|0:27:13|After speaking, the gentleman lay back on the bed. [Gao Fengshan] walked to the wall and took down the hanging clothes. The scene on the bridge was still lively, with the sound of fast-paced drumming in the air. [Gao Fengshan] knelt alone on one knee, drumming the fast board in his hand. Seeing no onlookers around, he put away the board and placed it in a nearby bag.
0:27:13|0:27:23|Raising his head to the scorching sun in the sky, he slowly stood up, supporting his knees with his hands. Gao Fengshan, bending over, walked over to him as he rubbed his knees on the ground.
0:28:3|0:28:12|After speaking, [Master] turned and left, while [Gao Fengshan] walked over from a distance holding a jar.
0:28:25|0:28:30|The brother opened his shirt pocket to show Gao Fengshan, leaning forward and whispering in his ear.
0:28:32|0:28:37|The two brothers hurriedly left with the jar and sat in the alley.
0:28:37|0:28:40|Gao Fengshan placed the jar upside down on the steps.
0:28:42|0:28:47|[Gao Fengshan] hurriedly got up in response, his brother turned his head and watched as [Gao Fengshan] walked away.
0:28:47|0:28:49|Before long, Gao Fengshan returned with a stone in his hand.
0:29:34|0:29:38|[Gao Fengshan] handed the tobacco to the man with a crew cut, who took it and sniffed it.
0:29:42|0:30:0|The brother took out a rolling paper from his pocket, and the man with a crew cut stared at the rolling paper in his brother's hand, eagerly snatching it away. He licked the edge of the rolling paper in his hand, tore off a piece of the wrapped cigarette, then placed the cigarette in his mouth. He took out a match from his hand, struck it, and lit the cigarette in his mouth.
0:30:0|0:30:9|The brother stared intently at the cigarette in the bald man's hand. As the cigarette lit up, the bald man took a deep drag, exhaled the smoke stylishly, and smiled with delight.
0:30:47|0:31:1|The crew-cut man went to fetch Gao Fengshan's whip again, his expression changed drastically as he listened to the fast-paced rhythm.
0:31:1|0:31:11|The crew-cut man, as the fast-paced narration goes, acted exactly as described, leaning against the table with his hands on his waist, then clutching his stomach and fleeing in a flurry.
0:31:46|0:31:50|Go ahead, brother, carry the luggage on your back and embark on the distant journey.
0:31:50|0:31:53|[Gao Fengshan] watched his brother's departing figure with a smile.
0:31:53|0:31:55|After taking two steps, she turned around and looked back at [Gao Fengshan].
0:31:55|0:31:58|[Gao Fengshan] and his brother waved goodbye.
0:31:58|0:32:2|The brother, with a look of reluctance, turned and walked towards the distance.
0:32:2|0:32:4|Gao Fengshan walked a few steps lightly, then turned back again.
0:32:4|0:32:7|One step, three glances back, is the elder brother's reluctance to part with the younger brother.
0:32:8|0:32:19|[Gao Fengshan]'s upturned corners of the mouth gradually dropped, and this time his brother who turned and left never looked back again, disappearing from sight with slow steps.
0:32:19|0:32:29|On the bridge, many spectators around Gao Fengshan applauded, while Cao DeKui and the storyteller stood by watching Gao Fengshan's performance.
0:33:11|0:33:21|[Cao DeKui] walked towards the crowd with a fan in his hand, interrupting [Gao Fengshan] who was playing the stilts. Seeing [Cao DeKui] stop his activity, [Gao Fengshan] gave him a deep and meaningful look.
0:33:34|0:33:38|[Gao Fengshan] didn't listen to [Cao DeKui] and started tapping the board again.
0:33:38|0:33:40|Cao DeKui glanced at the crowd and didn't say a word.
0:33:40|0:33:42|He turned around and left.
0:33:42|0:33:46|In the room, Gao Fengshan sweeps the room with a golden-haired gall bladder.
0:35:25|0:35:41|[Gao Fengshan] knelt on the ground with a look of grievance on his face, but without saying a word. Despite kneeling, he kept his back straight and gazed faithfully at his master in front of him. [Cao DeKui] still had anger on his face, and he turned away without looking at the kneeling [Gao Fengshan].
0:35:41|0:35:53|As the words fell, Gao Fengshan did not get up. Seeing this, Cao DeKui picked up the chicken feather duster on the table. Gao Fengshan hurriedly got up and walked towards the door. Cao DeKui slammed the chicken feather duster heavily on the table, causing the maid beside him to tremble in fear.
0:36:10|0:36:18|[Cao DeKui] finished speaking and walked towards the overpass. The storyteller smiled and looked at [Cao DeKui]'s back, as [Cao DeKui] started to perform a fast-paced monologue alone under the overpass.
0:36:19|0:36:23|[Cao DeKui] looked around and saw that there were no audience, so he stopped the fast board in his hand.
0:37:18|0:37:23|The old man glanced at [Gao Fengshan] with a tilted head, then left without any hesitation.
0:37:23|0:37:32|[Gao Fengshan] stood in place looking puzzled, but upon further thought, he became even more resentful. The clappers and other tools were still lying quietly on the ground.
0:37:34|0:37:36|[Gao Fengshan] walked out from the main gate.
0:38:39|0:38:45|Fengshan took a step back, bowing deeply to [Gao Fengshan], who lowered his head with a solemn expression, looking at Fengshan.
0:38:45|0:38:50|Gao Fengshan slowly stood up and raised her head, looking at her without saying a word.
0:38:50|0:38:55|Fengshan walked away with the package, but still kept her eyes on the door where Gao Fengshan stood.
0:38:55|0:38:59|He took three steps and looked back, silently expressing his reluctance in his heart.
0:39:4|0:39:9|With another turn, the young Fengshan had grown into a tall and strong young man.
0:39:9|0:39:12|She walked slowly out of the alley, also stepping into a new life.
0:39:12|0:39:18|In the lawless area of Tianjin's Sanbuguan, everyone on the street is hustling for a living.
0:39:18|0:39:22|A shabbily dressed young man staggered down the street, carrying a bundle.
0:39:22|0:39:25|He staggered and quickly grabbed the window frame by the roadside.
0:39:25|0:39:30|The sudden sense of weakness overwhelmed him, and he collapsed by the window, unconscious and unresponsive.
0:39:31|0:39:37|Two passersby watched as he collapsed on the ground, and soon a crowd gathered around him.
0:39:37|0:39:44|The two brothers squatted down in front of him, supporting his head and looking at his face with a puzzled expression.
0:39:49|0:39:52|The two brothers carried the unconscious Gao Fengshan into the room and slowly walked towards the house.
0:40:18|0:40:24|The landlady brought two men to put the benches together in front of the table, and the two big brothers lifted Gao Fengshan and placed him on the bench.
0:40:24|0:40:40|The landlady sighed as she supported her waist, everyone looked at the unconscious Gao Fengshan, placed the porridge brought over by him near Gao Fengshan's mouth, and fed him a spoonful of porridge.
0:40:43|0:40:49|The landlady took the porridge bowl, picked up the ladle, and slowly brought the porridge to Gao Fengshan's mouth.
0:40:49|0:40:53|The elder brother beside him held [Gao Fengshan]'s mouth with both hands, trying to make him open it.
0:40:53|0:40:57|Porridge slowly poured into Gao Fengshan's stomach, but half of it spilled out of his mouth.
0:41:1|0:41:5|Gao Fengshan, who was in a coma, gradually regained consciousness, and the surrounding people who were on guard felt relieved.
0:41:40|0:41:44|Three people supported [Gao Fengshan], helping him sit up straight, while the grandmother reached out and pounded his waist.
0:42:5|0:42:9|[Gao Fengshan] slowly turned his head and looked at his senior brother beside him.
0:44:29|0:44:37|[Gao Fengshan] sat in the room with a solemn expression, holding a pair of clappers in his hands and occasionally stroking them. He used the clappers to evoke memories of his childhood.
0:45:45|0:45:48|Senior Brother and [Gao Fengshan] approached each other, their shoulders touching.
0:46:42|0:46:56|Night falls, at the mansion's grand banquet, the audience is packed, the scene is lively. The maids in the mansion are serving dishes in an orderly manner, earnestly entertaining the guests. The performers, dressed in cheongsam, stand elegantly on the stage.
0:46:56|0:47:4|With Tianjin drumsticks in hand, [京韵大鼓] opens his mouth to command attention from all directions. His pronunciation is clear and his aura is profound, indicating his deep foundation in the art.
0:47:4|0:47:10|The guests below the stage are enjoying themselves in a loop, forming a sharp contrast with the common people who are making a living.
0:47:10|0:47:12|[Gao Fengshan] and his senior brother sat in the room eating.
0:49:22|0:49:35|Butler Wan tilted his head back and left the room with his wife, as the smile on Gao Fengshan's face gradually faded.
0:50:9|0:50:14|At this moment, the atmosphere in the examination institute remains lively, with guests dressed in their finest attire.
0:50:14|0:50:21|The performer on stage expressed emotions vividly and eloquently, sometimes passionate and intense, sometimes speaking softly and subtly.
0:50:21|0:50:32|With his left hand on the board and his right hand on the drum, he creates a mesmerizing performance, swaying gracefully with a touch of charm in his every move and expression.
0:51:37|0:51:44|The oldest Gao Fengshan staggered towards the table opposite, taking two steps and then collapsing onto a nearby chair.
0:51:44|0:51:53|The performance of Gao Fengshan on stage is coming to an end, as he continuously moves his hands and changes his postures, captivating the audience below with his brilliant performance.
0:51:53|0:51:57|The audience's continuous applause is a great affirmation of his performance.
0:51:57|0:52:8|Two spectators in the audience, with looks of enjoyment on their faces, couldn't help but raise their thumbs up, showing their appreciation. Seeing this, Gao Fengshan performed even more energetically. After a final song, the performance came to an end.
0:52:23|0:52:30|Butler Wan walked up to Gao Fengshan, took a look at him, and found that Gao Fengshan was already drunk and fast asleep, with drool coming out of his mouth.
0:53:5|0:53:8|A servant on the side poured tea on Gao Fengshan's hill.
0:53:8|0:53:15|Butler Wan walked towards the drunken Gao Fengshan and pulled him up by the collar.
0:53:37|0:53:42|[Butler Wan] glared angrily, while his senior brother knelt on the ground pleading.
0:54:1|0:54:5|Senior Brother grabbed the servant, but was kicked to the ground by the servant.
0:54:5|0:54:8|The servant bumped into the wall, and he grimaced in pain as he straightened up and held his waist.
0:54:16|0:54:21|Butler Wan's face was full of smiles, yet it sent chills down people's spines.
0:54:21|0:54:25|Watching the drunken [Gao Fengshan], he suddenly pulled out a handgun from his pocket.
0:55:2|0:55:8|On the side, Gao Fengshan was still sound asleep, and the smile on Butler Wan's face immediately disappeared.
0:55:13|0:55:25|[Butler Wan] put away the gun in his hand, pointed at his senior brother, and the senior brother kneeling on the ground slowly stood up. [Butler Wan] grabbed a wooden board from the nearby cabinet and slammed it heavily into the senior brother's hand, who turned around in fear and walked away slowly.
0:55:25|0:55:32|Butler Wan lifted his foot and kicked towards his senior brother. In the blink of an eye, the performance ended, and his senior brother carried Gao Fengshan back to the Grandmother's Hall.
0:55:36|0:55:41|The waiter went up to help support him. Gasping for breath, [Gao Fengshan] sat down on the chair.
0:56:25|0:56:30|Gao Fengshan's drunken appearance infuriated Lady Cui, and the inn owner walked over with a basin in hand.
0:56:30|0:56:34|He glanced at [Lady Cui] and without saying a word, splashed water on Fengshan's face.
0:56:34|0:56:39|Gao Fengshan, who is drunk, slowly wakes up, and Lady Cui glares at him angrily.
0:56:39|0:56:49|Upon waking up, Fengshan rubbed his eyes with his sleeve, struggled to push himself up from the chair, and looked at Lady Cui with a fearful expression. Then, without saying a word, he glanced at his senior brother beside him.
0:56:51|0:56:54|[Lady Cui] said that integrity was being compromised, slamming the table, causing [Gao Fengshan] to lower his head in shame.
0:57:52|0:57:54|Gao Fengshan appeared lost in thought.
0:57:59|0:58:5|[Gao Fengshan] nodded and pushed open the room door, closing it behind him.
0:58:41|0:58:46|Master Shen was very pleased with Gao Fengshan's attitude, he picked up the wine glass and poured it full.
0:58:51|0:59:1|[Gao Fengshan] walked to the table with a smile on his face. The two masters watched his back as [Gao Fengshan] carried a cup filled with tea and approached them.
0:59:19|0:59:35|[Gao Fengshan] looked at the two masters with a smile on his face. Qin master spoke first, and Master Shen looked at Qin master helplessly. The two masters raised their wine glasses towards [Gao Fengshan], who drank the tea in his hand without hesitation.
0:59:41|0:59:53|The performance proceeded smoothly, but as time passed, the world was no longer peaceful. The aggressors' warplanes attacked the land of China, and the Marco Polo Bridge Incident erupted on July 7th. The country was destroyed, families were torn apart, and the grief and indignation were overwhelming.
0:59:53|0:59:58|In the main hall of the mansion, it was no longer bustling, with everyone sitting in chairs dozing off.
1:1:1|1:1:6|[Gao Fengshan] traveled day and night to return to Beiping. He stood in front of his master's house, holding medicine in his hands.
1:1:6|1:1:10|Looking at the master's gate, it seems like the moment of departure is still vivid in front of my eyes.
1:1:11|1:1:12|He was full of emotion when thinking about the past.
1:2:53|1:3:0|[Gao Fengshan] angrily watched the shopkeeper, who hurriedly turned and left. Just as he ran out the door, he took a big tumble.
1:3:0|1:3:6|He picked up his glasses hanging on the ground, put them back on, and propped himself up with his hands, struggling to get up.
1:3:6|1:3:11|He supported himself with both hands on the dust on his body, and turned his head to look around.
1:3:17|1:3:22|Shortly afterwards, [Gao Fengshan] gently closed the door of the room and took out money from his pocket to hand it to the doctor.
1:3:45|1:3:49|[Gao Fengshan] pursed his lips, looking worried, and waved his hand to see off the doctor.
1:3:49|1:3:55|Outside the door, [Gao Fengshan] knows well that he cannot resist the cycle of life and death in this world.
1:5:33|1:5:37|Master lying on the bed, weak as a thread, looking at [Gao Fengshan] in front of him.
1:5:37|1:5:44|[Gao Fengshan] looked pained and reluctant, picking up the clapper on the table with a heavy heart.
1:5:44|1:5:50|The clappers in his hands sounded, which was the best medicine for his master, but it was still too late.
1:6:17|1:6:30|Accompanied by the fast-paced rhythm, the master closed his eyes, leaning weakly against the bed as tears streamed down the corners of [Gao Fengshan]'s eyes. He realized the deep gratitude his mentor had shown him, a debt that could never be repaid by anyone.
1:6:30|1:6:42|Paper money scattered in the sky, [Gao Fengshan] walked alone on the path, pulling his master's coffin fruit. As he walked, he scattered the paper money, showing his final filial piety to his master.
1:6:42|1:6:45|The scattered paper money signifies that [Gao Fengshan] has no more family in this world.
1:6:47|1:7:4|As the night grew darker, [Gao Fengshan] tossed and turned in bed, constantly disturbed by dreams.
1:7:4|1:7:9|The figures of [Gao Fengshan] and [Cao DeKui] kept appearing, the image of the once prosperous but now destitute [Gao Fengshan] vividly passing through the dream.
1:7:15|1:7:21|In his dream, [Gao Fengshan] was performing with his master, but suddenly woke up and sat up.
1:7:43|1:7:47|The man with the drill took the tip money while no one was paying attention.
1:8:30|1:8:39|At the village entrance, the man listened to the fast-paced rhythm, his expression lost in thought. The second senior brother looked at the dispersing audience around him, and Gao Fengshan shook his head with a sigh.
1:9:2|1:9:13|The rice in this bowl steams, the boys in the courtyard are playing happily, while the mother picks vegetables on the side. [Gao Fengshan] and his martial brothers perform on the street, with large knots the size of copper coins on their necks.
1:9:53|1:10:4|Hearing the noise outside the door, the woman got up and walked to the door, opening it.
1:10:4|1:10:7|The senior brothers put the medicine in their hands on the table and sat down.
1:10:49|1:10:50|[Gao Fengshan] stood up and escorted his senior brother out of the room.
1:11:12|1:11:14|[Cao's Wife] sees a bag on the ground.
1:11:16|1:11:19|The senior brother quickly raised his hand to stop him from making a sound.
1:11:19|1:11:23|Gao Fengshan heard the noise and looked towards the door with difficulty.
1:11:23|1:11:25|Days passed by one after another.
1:11:25|1:11:29|[Gao Fengshan]'s wife squatted on the ground in the kitchen, scooping rice from the rice jar.
1:11:29|1:11:32|A ladle scooped out, but only poured a little, placed in the basin aside.
1:11:33|1:11:41|He looked at the basin, then at the rice jar, raised his hand and poured the few grains of rice back into the jar, and then lifted the lid of another jar.
1:11:41|1:11:44|The son bit his finger and quietly watched his mother.
1:11:44|1:11:55|[Gao Fengshan] threw the ladle in her hand into the jar, covered it with a lid, then approached a nearby bamboo basket, took out the potatoes from the basket, and then dug out some carrots, looking at the vegetables in her hand lost in thought.
1:11:56|1:12:0|By the side of a small river, overgrown with weeds, dried branches and leaves were scattered around haphazardly.
1:12:0|1:12:6|The water in the river ripples in circles, as [Gao Fengshan] walks along the path by the river in light clothing.
1:12:6|1:12:15|The surroundings of the lake were extremely quiet, [Gao Fengshan] had a calm expression, looking somewhat despondently at the small river in front of him, lost in thought.
1:12:15|1:12:20|After the calm, a fierce battle ensued, with shells landing and fireworks shooting into the sky.
1:12:21|1:12:28|In the midst of the artillery fire, everything turned to ashes and smoke, as the soldiers charged into the courtyard to defend their homeland.
1:12:28|1:12:35|After the war, with the country now at peace, the doctor was making the final bandage for [Gao Fengshan] lying in bed.
1:12:47|1:12:52|The chief surgeon looked at the still unconscious Gao Fengshan, as if he had discovered something.
1:15:36|1:15:39|It was late at night, [Cao's Wife] stepped forward and snatched the pen from [Gao Fengshan]'s hand.
1:15:39|1:15:41|[Gao Fengshan] retrieves his pen.
1:16:13|1:16:16|[Cao's Wife] leaned in for a closer look.
1:17:2|1:17:22|[Cao's Wife] left, the room was decorated with lanterns and streamers. Holding the door sign, [Gao Fengshan] and his martial brothers walked out from the door in Zhongshan suits. The three of them welcomed guests from all directions, sat at the table by the door, and chatted with everyone. Firecrackers were already neatly arranged, and they lit the firecrackers with matches.
1:17:22|1:17:28|With a crackling sound, fireworks shot up into the sky, symbolizing a new beginning.
1:17:37|1:17:40|He looked up and saw [Gao Fengshan] with a shocked expression.
1:17:40|1:17:44|He is the man with a crew cut who has been looking for tea consecutively.
1:18:1|1:18:9|The guests stood up to congratulate Gao Fengshan as he stood in the room performing a fast-paced routine, with a strong young man standing behind him.
1:18:51|1:18:56|The skinny disciple quickly picked up the clapper on the table and stood in front of [Gao Fengshan], tidying up and straightening himself.
1:18:56|1:19:1|[Gao Fengshan] also picked up the chicken feather duster on the table, the fast rhythm sounded, and the apprentice entered the state.
1:19:1|1:19:7|[Gao Fengshan] looked at his disciple with a serious expression, furrowing his brow slightly as he listened to the fast-paced rhythm of the thin disciple.
1:19:8|1:19:18|[Gao Fengshan] turned around and reached out with a chicken feather duster to sweep upwards. He sighed, returned to the table and sat down, patting the feather duster on the table, glancing at the two apprentices in front of him.
