0:0:44|0:0:50|The woman sat on a chair in the bank and placed the mynah bird in her arms on the ground.
0:38:27|0:38:36|[Wang Xiaopo] took off his shirt, without even looking, casually threw it onto the nearby clothes rack, then walked over to the lower bunk of the bunk bed and sat down. As he sat down, he suddenly squinted his eyes tightly.
0:39:42|0:39:47|Seeing that no one paid attention to him, [Wang Xiaopo] angrily slammed the door and walked away.
0:39:47|0:39:56|After entering the room, he took out his phone, glanced at it, pressed a button, then threw it aside. He pulled out a piece of paper from under the table, tore it open, and stuffed it into his ear.
0:39:56|0:40:0|Sitting on the bed, he listened for a moment before turning around to continue sleeping.
0:40:0|0:40:5|Just as he was about to cover himself with the blanket, he hesitated and put it back down, then stopped for a moment and listened again before finally covering his head with it.
0:40:7|0:40:15|The scene then cuts to the street, where [Da Xu] is riding his bicycle, with taxis and buses passing by him.
0:40:15|0:40:19|He wiped the sweat while riding, but the speed on his feet never slowed down.
0:40:19|0:40:23|And Wang Xiaopo was already fast asleep, with his phone lying on the table.
0:40:23|0:40:29|Looking down from the window near the roadside, [Da Xu] angrily stopped his bicycle by the side of the road.
0:40:35|0:40:39|Da Xu immediately got off the bike, put it on the steps, and ran upstairs.
0:40:39|0:40:50|Da Xu, climbing the stairs, had a warm face covered in sweat.
0:40:50|0:40:54|[Da Xu] pushed open the door with the glass panel and attempted to wake up [Wang Xiaopo] with a stick.
0:41:20|0:41:21|There was finally movement on the bed.
0:41:34|0:41:44|[Da Xu] was hanging on the door, [Wang Xiaopo] came over, hugged his legs and lifted them up, allowing [Da Xu] to free his arms.
0:41:44|0:41:46|[Wang Xiaopo] threw the stick out of the door.
0:42:1|0:42:6|[Da Xu] lifts the blanket, turns his head, and then pulls the blanket back over himself.
0:42:19|0:42:24|[Wang Xiaopo] suddenly sat up, [Wang Xiaopo] said a sentence, and then lay back down.
0:42:37|0:42:40|After he finished speaking, he threw himself back onto the bed.
0:43:6|0:43:8|[Da Xu] pointed at [Wang Xiaopo] and said,
0:43:21|0:43:27|Pushing Wang Xiaopo's back again, Wang Xiaopo kicked the blanket with one foot, finally getting both legs onto the edge of the bed.
0:43:27|0:43:36|Da Xu handed him the shirt, Wang Xiaopo got up and turned back, pushing Da Xu aside with one hand, and walked to the table to grab the phone.
0:43:36|0:43:46|[Da Xu] followed and walked out the door, while pressing his wound and talking on the phone.
0:43:51|0:43:57|During the conversation, the previous woman suddenly rushed in, knelt on the ground, and Wang Xiaopo quickly half-knelt to pull her up.
0:44:28|0:44:30|Feng Nu shook off [Zheng Jin]'s hand.
0:44:30|0:44:35|[Zheng Jin] was about to speak, but when he saw his colleagues outside the glass window watching, he quickly waved his hand.
0:44:35|0:44:38|The colleague outside the window immediately ran around the green plants behind and ran away.
0:44:38|0:44:40|A male colleague beckons Xiaotang over.
0:46:2|0:46:3|Father and daughter high-fived, looking very proud.
0:46:9|0:46:17|[Zheng Jin] walked towards the door and saw [Wang Xiaopo] coming out. His colleagues pretended to be busy, and he approached Xiao Tang.
0:46:18|0:46:22|But then he looked at the person next to him and beckoned him to come with him.
0:46:22|0:46:24|Xiao Tang followed up, [Zheng Jin] looked around.
0:47:10|0:47:14|Xiao Tang looked up, avoiding eye contact, then lowered his head to reach into his pocket and pulled out some folded money.
0:48:31|0:48:39|[Zhang Li] hesitated for a moment, and her colleague smiled and said.
0:48:39|0:48:51|Reporter Chen stepped on a nail, the camera turned to the repair shop, where the armored vehicle smashed by Wang Xiaopo lay in ruins.
0:48:51|0:48:55|[Da Xu] walked in, saw the armored vehicle, and his steps noticeably slowed down, his hands also dropped.
0:48:57|0:49:8|He walked quickly to the armored vehicle, bending over to look at the front windshield, and on the side of the vehicle, [Wang Xiaopo] also walked over.
0:49:8|0:49:19|[Da Xu] was at a loss, turned around and asked [Wang Xiaopo]. [Wang Xiaopo] raised his hand, pouted and put it down. [Da Xu] looked at him, then looked at the armored vehicle, and then looked back at him.
0:49:22|0:49:31|[Wang Xiaopo] lowered his head as [Da Xu] turned to look at the armored vehicle, then rushed towards [Wang Xiaopo] and pushed him hard.
0:49:31|0:49:43|[Wang Xiaopo] took two steps back, then walked back to [Da Xu] in silence. [Da Xu] pointed at him and spoke.
0:49:43|0:49:48|Da Xu moved his eyes widely, took two steps towards the armored vehicle, and then pointed at Wang Xiaopo.
0:49:55|0:50:14|Da Xu leaned forward and shouted, quickly walked to the armored vehicle, pointing and asking. Da Xu walked up to Wang Xiaopo, raised his hand and slapped the back of his head, then turned back to pick up the hammer in front of the armored vehicle.
0:50:16|0:50:28|After the fight, [Da Xu] walked up to [Wang Xiaopo], handed him the hammer, and gestured towards his own head.
0:50:28|0:50:35|[Wang Xiaopo] pulled hard, breaking free from [Da Xu]'s grip, and took two steps back.
0:50:35|0:50:39|Da Xu points towards the armored vehicle in front of him.
0:50:39|0:50:40|[Wang Xiaopo] lowered his head.
0:50:44|0:50:48|[Da Xu] raised his arm, palm against [Wang Xiaopo]'s neck, and pushed hard.
0:50:48|0:50:53|[Wang Xiaopo] staggered back a step, adjusted his collar in silence, and walked towards the armored vehicle.
0:50:53|0:50:57|[Da Xu] steps forward.
0:50:57|0:51:4|[Wang Xiaopo] propped himself up on the armored vehicle with a hammer, arched his back, limbs contracted, and then pushed up to his forehead along his face.
0:51:8|0:51:12|He raised his index finger, gave it a strong shake, covered his face with his hand, and then threw the hammer.
0:51:48|0:51:54|[Da Xu] pushed Wang Xiaopo's face, and Wang Xiaopo couldn't control himself anymore, so he hugged Da Xu.
0:51:54|0:51:57|[Da Xu] also held him tightly, punching his back with his fist.
0:52:2|0:52:4|[Da Xu] pushed [Wang Xiaopo] aside and grabbed his shoulder.
0:52:4|0:52:5|[Da Xu] slapped him.
0:52:5|0:52:8|At the KTV entrance on the other side.
0:52:28|0:52:31|[Zhang Li] is looking at her phone, while Shen Yan and Reporter Chen are waving their hands.
0:52:40|0:52:41|The two of them walked and chatted while complaining.
0:52:57|0:53:6|Next, the scene shifts to a small grove, where [Zheng Jin] is holding a pair of binoculars under a tree, when suddenly she hears a woman's voice.
0:53:6|0:53:12|She was hit by a mineral water bottle.
0:53:19|0:53:24|Zheng Jin stared intently in the direction of the man and woman, while quietly sneaking to the side.
0:53:24|0:53:30|Across the street, Mrs. Zheng, still wearing her daytime clothes, bent over and walked to a tree in front of a large billboard.
0:53:30|0:53:37|Seeing someone approaching, [Zheng Jin] raised the binoculars, while Mrs. Zheng found a piece of bluestone and placed the ransom wrapped in a plastic bag underneath.
0:53:37|0:53:45|[Zheng Jin] watched as [Mrs. Zheng] walked away briskly, setting down the binoculars and gazing in the direction she left. In the pile of grass, there was a man waiting for her, holding a wrench in his hand.
0:53:46|0:54:1|The man shook his head and waved his hand, while the two squatted down to watch the money drop. The scene shifted to Wang Xiaopo and Da Xu, who were driving on the road in an armored vehicle. Wang Xiaopo was inside the car, leaning forward cautiously while driving, while Da Xu had half of his body outside the car, even though Wang Xiaopo couldn't see him.
0:54:1|0:54:18|But he kept making various gestures, [Wang Xiaopo] occasionally looked up to ask, [Da Xu] was very pleased and waved to the cars next to him. In the crowded streets, the armored vehicle was very conspicuous, and other cars kept avoiding it. However, [Wang Xiaopo] couldn't see the road conditions, while [Da Xu] was only focused on having fun.
0:54:18|0:54:20|Resting his head weakly on the steering wheel.
0:54:20|0:54:22|An armored vehicle slowly drives through the tunnel.
0:54:22|0:54:26|The cars next to it are all changing lanes because it's driving too slowly.
0:54:26|0:54:30|[Da Xu] saluted and clapped like a leader.
0:54:30|0:54:37|In the car, [Wang Xiaopo] was sweating profusely, with visible sweat on the steering wheel, frowning, and looking up at [Da Xu].
0:54:37|0:54:40|[Da Xu] first gestured as if shooting a gun, then saluted.
0:54:40|0:54:46|On his side, you can see the safety line pulled up by the construction site on the street, passing by the entrance of a free trade zone.
0:54:46|0:54:52|Riding his bicycle, Reporter Chen noticed that the armored vehicle and Da Xu had stopped. He turned back while pedaling.
0:55:3|0:55:11|Road maintenance workers are chatting while working underground, when suddenly the silent one crashes into two workers along with his car.
0:55:31|0:55:38|Da Xu suddenly rushed back.
0:55:38|0:55:52|He climbed out of the car, using both hands to push forward with all his might. His upper body was leaning against the car, but the armored vehicle didn't move. [Da Xu] leaned against the back of the car, panting, but unexpectedly the armored vehicle started moving down the slope. [Da Xu] lost his balance, fell to the ground, and quickly got up to chase after the car.
0:55:57|0:56:4|On the other side of the construction site, [Reporter Chen] climbed up the pile of soil, his glasses askew on his nose, digging into the soil.
0:56:23|0:56:24|Officer Zhang, who was passing by, approached to inquire.
0:56:24|0:56:26|Reporter Chen sat on the ground, looking aggrieved.
0:56:53|0:56:56|Officer Zhang tilted his head and pointed at Reporter Chen's butt, sniffing.
0:56:58|0:57:0|Reporter Chen immediately stood up to check.
0:57:2|0:57:6|A taxi happened to drive by, and Officer Zhang hailed it.
0:57:7|0:57:13|Two workers walked ahead, slowly approaching the taxi, and then they opened the car door and got in.
0:57:13|0:57:16|Reporter Shen slowly walked up to the car and opened the passenger door.
0:57:16|0:57:25|Officer Zhang saw the three of them get into the car and pointed ahead to the driver.
0:57:25|0:57:31|The taxi slowly drove away, Officer Zhang watched the car leave, hands behind his back, tilting his head slightly to the side, deep in thought.
0:57:34|0:57:38|He glanced around and immediately ran towards the police car.
0:57:38|0:57:48|At this moment, the armored vehicle has entered the view of the standard telescope.
0:57:48|0:57:51|In the midst of their loud shouting, the cannon of the armored vehicle pierced into the large billboard.
0:58:50|0:58:53|Da Xu, who was just about to get up, suddenly stopped.
0:58:53|0:58:59|Wang Xiaopo, still looking at the wheel, slowly emerges from under the car, watching as Da Xu leans on the ground and moves towards the car.
0:59:9|0:59:11|[Wang Xiaopo] got up, but almost fell down.
0:59:11|0:59:15|Da Xu is wearing him.
0:59:27|0:59:28|Mrs. Zheng is holding it.
0:59:38|0:59:40|She then nudged her younger brother with her elbow as she spoke.
0:59:50|0:59:54|After speaking, Mrs. Zheng stood up, bent over, grabbed her hat, and walked away with small steps.
0:59:54|0:59:58|Inside the armored vehicle, Wang Xiaopo's forehead was covered in sweat as he tried to start the engine.
0:59:58|1:0:2|Unable to succeed in one try, he pursed his lips and tried again. [Da Xu]'s head popped in.
1:0:4|1:0:6|[Wang Xiaopo] looked up at him.
1:0:11|1:0:15|He wiped the sweat off with his arm, [Da Xu] propped himself up inside and left the hole on the car roof first.
1:0:15|1:0:22|[Wang Xiaopo] wiped the sweat off again, left the driver's seat, unaware that Officer Zhang across the street was observing the situation with binoculars.
1:0:32|1:0:37|[Wang Xiaopo] glanced around.
1:0:37|1:0:50|He stood with one hand on his hip, looking around the armored vehicle.
1:0:50|1:0:55|Da Xu also bent at the waist, while Wang Xiaopo supported his knee with one hand and bent down, looking towards Da Xu.
1:0:58|1:1:18|[Da Xu] put [Wang Xiaopo]'s arm over his shoulder and they walked towards the construction site together. Seeing the two of them leave, Officer Zhang put down his binoculars, then immediately picked them up again to continue observing.
1:1:18|1:1:23|Not long after, [Wang Xiaopo] and [Da Xu] covered the armored vehicle with many branches, both of them spitting out saliva.
1:1:36|1:1:38|[Wang Xiaopo] checks while [Da Xu] runs over.
1:1:42|1:1:44|[Wang Xiaopo] pulled [Da Xu] aside to hide.
1:1:48|1:1:51|[Wang Xiaopo] is holding a tree branch, about to hide himself as well.
1:1:51|1:1:54|Da Xu quickly grabbed a branch to shield himself upon seeing the situation.
1:1:54|1:2:6|Officer Zhang's police car drives up on the road, and he looks out from the passenger seat.
1:2:6|1:2:11|Seeing the police car leave, [Wang Xiaopo] pushed aside the branches and took a step forward.
1:2:11|1:2:13|[Da Xu] also put down the branches and asked.
1:2:17|1:2:24|[Wang Xiaopo] stood with one hand on his hip, nodding.
1:2:24|1:2:30|Both of them turned around, but kept an eye on the direction the police car was leaving.
1:2:30|1:2:37|The scene cuts to the home of Zheng Jin, where Mrs. Zheng is asleep on the sofa, still holding a photo of sesame in her arms, with the phone placed on the armrest.
1:3:5|1:3:8|After hanging up the phone, he picked up the photo and was about to leave.
1:3:8|1:3:10|The next day, [Zhang Li] sat with her colleagues.
1:3:27|1:3:37|[Zhang Li] got up from her seat, walked to the front desk, and took out a small model from under the table. The bottom was a rear end, the top was a camouflage tank, and there were some grass decorations on the side.
1:3:37|1:3:47|Looking at the model, [Zhang Li] recalled the moment when she received this gift, when she and [Wang Xiaopo] were sitting on the bus, [Zhang Li] glanced at him.
1:4:29|1:4:33|Wang Xiaopo places two fingers on the tank model.
1:4:33|1:4:37|Recalling this, [Zhang Li] touched the model and remained silent.
1:4:37|1:4:43|The scene cuts back to the armored vehicle, with Zheng Jin lying on the grass asleep, still holding a pair of binoculars in one hand.
1:4:43|1:4:50|After waking up, [Wang Xiaopo] quickly raised the binoculars to observe the situation. Seeing no one around, he stood up and ran over there with his legs spread.
1:4:50|1:4:57|On the other side of the armored vehicle, Wang Xiaopo was sleeping on a piece of tarp, one hand on his stomach and the other covering his eyes.
1:4:58|1:5:3|On the street, [Zheng Jin] nervously moves towards this direction, keeping an eye out for any signs of someone appearing.
1:5:6|1:5:10|As he approached quickly, he hurriedly took a few steps and bent down to take a look.
1:5:10|1:5:15|He held a telescope in one hand and, with the other hand open, took small steps to the position above [Wang Xiaopo]'s head.
1:5:15|1:5:21|With one foot stepping on a tree branch, he was about to fall, but quickly used one hand to support himself.
