0:4:8|0:4:11|The story begins with the Fox Clan's residence in Qing Qiu.
0:42:44|0:42:48|After Xuan Nv left, the real Bai Qian rushed back from the stone peach forest and questioned with a puzzled expression.
0:43:45|0:43:53|Zhe Yan transformed into a phoenix and brought [Bai Qian] to the Grand Purple Palace.
0:43:53|0:43:55|Zhe Yan quickly deals with the guard with a big leg.
0:44:1|0:44:3|[Bai Qian] heard it and immediately rushed in.
0:44:9|0:44:16|[Xuan Nv] at this moment, holding chicken wings containing a stillborn fetus, [Bai Qian] had already rushed into the main hall of the ancestral palace, dealing with a small group of ghost craftsmen.
0:44:43|0:44:51|Thousands of ghosts stood still with long knives and swords in their hands, watching as Zhe Yan took out a wine flask from his pocket and drank heartily.
0:44:51|0:45:0|After taking a few sips, he held the wine pot up high and a iron sword pierced through it, followed by a large firework bursting into flames in the sky.
0:45:0|0:45:9|In the palace, [Bai Qian] waved the hand holding the sword lightly, transforming the Kunlun fan into a long sword, then back into the shape of a fan, but the fan leaves turned into restraints for a blade.
0:45:9|0:45:15|[Bai Qian] raised the Kunlun fan and swung it forcefully twice, sending several ghost soldiers flying out.
0:45:15|0:45:18|She bypassed the few ghosts and ran straight towards [Xuan Nv].
0:45:18|0:45:29|[Xuan Nv] used her internal force to push out her outer garment, trying to briefly block [Bai Qian]'s line of sight. However, [Bai Qian] quickly avoided the sharp knives behind the outer garment, pressing [Xuan Nv] relentlessly. [Bai Qian] leaped and hovered in mid-air.
0:45:29|0:45:38|Revealing her nine tails, she swiftly landed on the ground, made a quick turn, and the power of her tails directly caused several ghost soldiers surrounding her to give up their pursuit.
0:45:38|0:45:46|Using one tail, he curled up the last ghost general, then with another tail, he heavily slapped him in the face, finally throwing him down a deep abyss.
0:45:46|0:45:54|Seeing [Xuan Nv] rushing over, he easily flicked [Xuan Nv] away with his tail, but [Xuan Nv] crashed into the ice coffin not far away in the courtyard.
0:45:54|0:45:57|After getting up, he engaged in another fight with [Bai Qian].
0:45:57|0:46:4|On the way, a ghost suddenly appeared, and [Bai Qian] threw him out with her tail, only to unexpectedly collide with the ice coffin in the tomb courtyard again.
0:46:4|0:46:13|The ice coffin gradually shifted from its original position after repeated impacts. After several rounds of fighting, [Xuan Nv] was attacked in succession by [Bai Qian]'s nine tails, and ended up falling to the ground in a sorry state.
0:46:13|0:46:18|At this moment, the two only noticed the ice coffin in the tomb and the dead fetus crystal on the ice coffin.
0:46:18|0:46:28|As the ice coffin was about to fall into the endless abyss, [Bai Qian] transformed her tail into a ribbon and forcefully dragged the ice coffin, but the dead fetus crystal on the ice coffin still fell down.
0:46:31|0:46:40|He turned around and used his weapon to shatter the ice cone wrapped in ribbons, instantly causing the ice coffin to break free from control and continue sliding towards the endless abyss.
0:46:40|0:46:50|When [Xuan Nv] raised her weapon and smashed towards the ice coffin, [Bai Qian] had already quickly protected the ice coffin, striking down that hammer. As the ice coffin continued to slide, a sword was inserted at the edge of the cliff, stopping everything.
0:46:50|0:47:0|[Xuan Nv] was extremely angry, wanting to strike the ice coffin again, but was countered by the arrival of [Ye Hua], falling heavily to the ground. [Bai Qian] on the ice coffin was panting heavily, enduring the pain in her body.
0:47:6|0:47:18|To prevent the devastation of all living beings, Ye Hua arrived in time and successfully saved the immortal body of [Mo Yuan].
0:47:18|0:47:22|[Bai Qian] once again placed the ice coffin back in the Salt-Hued Cave.
0:47:29|0:47:30|And then,
0:47:33|0:47:38|Both Bai Qian and Susu retreat into seclusion.
0:48:14|0:48:19|The catastrophe 70,000 years ago is still vivid in the memory of [Bai Qian].
0:48:34|0:48:37|[Bai Qian] restored her true form and entered the water to heal her injuries.
0:48:48|0:49:0|Seventy thousand years ago, after [Mo Yuan] sacrificed himself to the Eastern Emperor, [Siyin] carried his immortal body to a cave in Qingqiu where spiritual energy converged, known as the Yanhua Cave, and preserved [Mo Yuan]'s immortal body in an ice coffin.
0:49:0|0:49:3|He looked at [Mo Yuan]'s celestial body and said.
0:49:43|0:49:47|[Ye Hua] grabbed [Bai Qian]'s hand and placed it on his chest.
0:49:49|0:49:52|[Bai Qian] looked at [Ye Hua] without responding to her.
0:49:52|0:49:56|[Ye Hua] approached [Bai Qian], wrapped his arms around her neck, and slowly moved towards her forehead.
0:50:2|0:50:5|Bai Qian felt the force on her slender neck.
0:50:5|0:50:12|Unable to control herself, she slightly lifted her head, before she could react, her lips were tightly covered by [Ye Hua]'s scorching lips.
0:50:12|0:50:25|[Bai Qian] was stiff all over at first, then her body was bound in [Ye Hua]'s arms. Before long, she completely succumbed to the dense and deep texture of [Ye Hua], and her arms unknowingly climbed onto his sharp head.
0:50:25|0:50:31|After a moment of tenderness, [Bai Qian] followed [Ye Hua] back to the Heavenly Palace, where the Heavenly Emperor issued a decree.
0:50:58|0:51:4|The heavenly soldiers and generals kneel down to pay their respects, [Ye Hua] and [Bai Qian] hold hands and walk up to the main hall, when suddenly a star deity rushes forward.
0:51:29|0:51:33|Grandma, upon hearing this, stood behind [Bai Qian] with her head bowed.
0:51:33|0:51:38|Su Jin on the side had eyes full of anger, staring fiercely at the grandmother behind Bai Qian.
0:51:40|0:51:42|[Ye Hua] smiled, indicating his consent.
0:51:44|0:51:48|Later, [Ye Hua] brought [Bai Qian] to a courtyard.
0:52:29|0:52:35|Upon hearing Ali's words, [Ye Hua] couldn't help but laugh, while [Bai Qian] immediately picked up Ali and left the courtyard.
0:52:35|0:52:41|After some time, a dozen fairy geese came to dress up and do the hair for [Bai Qian].
0:52:41|0:52:49|Two fairy geese poured the mercury from the pot into a basin in front of [Bai Qian], and the mercury immediately rose, condensing in mid-air into a mirror.
0:52:49|0:52:52|After finalizing the wedding attire, [Bai Qian] returned to the palace.
0:52:55|0:52:58|Grandma walked up to Bai Qian, who was drinking.
0:53:1|0:53:3|Bai Qian asked in surprise,
0:53:32|0:53:35|[Bai Qian] turned around and saw a fierce tiger.
0:54:5|0:54:11|[Su Jin] turned and walked towards the back, [Bai Qian] glanced at the roaring tiger behind her and followed her footsteps.
0:54:23|0:54:27|She didn't even report this to [Ye Hua].
0:54:27|0:54:33|So no one in the palace actually knows who [Su Jin] is, they just think she's a new palace maid.
0:54:33|0:54:38|[Ye Hua] settles [Su Jin] down, waiting for her to give birth to the child.
0:54:40|0:54:44|[Susu] continued to walk towards the platform where the immortals were gathered.
0:55:20|0:55:28|The mortal jumped down, [Bai Qian] followed Susu up the last step, bending down to look into the unfathomable abyss.
0:55:40|0:55:46|[Bai Qian] looked serious, standing at the highest point of the Immortal's Platform, as if she really heard [Su Jin]'s voice.
0:55:46|0:55:49|She turned back and asked [Su Jin] behind her.
0:55:53|0:56:3|At that time, [Ye Hua] had just been appointed as the Crown Prince. He must have understood that he couldn't give up the position of Crown Prince for a mortal woman.
0:57:0|0:57:5|Bai Qian snorted coldly upon hearing this, then turned and left the Bamboo Immortal Platform, dragging her skirt behind her.
0:57:5|0:57:10|The grand wedding rehearsal is approaching, [Bai Qian] is dressed in a gorgeous gown, and the celestial geese are grooming her.
0:58:6|0:58:15|[Ye Hua] did not answer [Bai Qian]'s question. [Bai Qian] stubbornly looked ahead, glancing sideways as [Ye Hua] bowed to him in a formal greeting.
0:58:21|0:58:38|[Bai Qian] stood straight, showing no sign of retreat, and turned around to coldly question [Ye Hua].
0:58:38|0:58:42|[Ye Hua] remained silent, but a faint smile tugged at the corners of his quiet lips.
0:58:50|0:58:56|After giving a sarcastic reply to the etiquette official, [Bai Qian] took off her dress and left the scene without looking back.
0:59:16|0:59:24|After returning to the palace, [Ye Hua] sat alone at the desk, frowning as he stared at the suspended broken lamp in front of him, motionless.
0:59:32|0:59:35|[Bai Qian] took a few sips of peach blossom wine.
0:59:37|0:59:41|Zhe Yan gave a wicked smile and then said to him.
1:0:25|1:0:29|In order to clear the injustice of the dead, [Bai Qian] had to come to find [Ye Hua].
1:0:29|1:0:33|At this moment, [Ye Hua] was not sitting at the desk, and the room was empty.
1:0:33|1:0:38|[Bai Qian] approached, looking at the glowing candlestick, and couldn't help but reach out her hand.
1:0:38|1:0:42|Upon hearing the voice of [Ye Hua], she quietly withdrew her hand.
1:1:24|1:1:27|[Bai Qian] walked out in a huff.
1:1:52|1:1:55|After venting her frustration, [Bai Qian] grabbed the front of [Ye Hua]'s clothes.
1:2:32|1:2:37|At this moment, [Ye Hua] placed [Bai Qian]'s hand on her chest.
1:3:27|1:3:39|[Bai Qian] looked at [Ye Hua] in front of her, her eyes filled with incredulity. She quickly took a few steps back, leaving [Ye Hua]'s study, leaving [Ye Hua] alone to shed tears in sorrow. Even when he was with A Li, his mind was elsewhere.
1:4:3|1:4:9|After explaining everything to Ali, [Ye Hua] took the sword from the guard and left the Heavenly Palace under the guard's watchful eyes.
1:4:9|1:4:18|At this moment, [Bai Qian] is climbing a cliff hundreds of meters high with bare hands, with the deep East Sea behind her.
1:4:18|1:4:24|After climbing up the cliff, [Bai Qian] was greeted with a vast expanse in front of her, with thorns and moss under her feet, and dead trees scattered around.
1:4:24|1:4:34|[Bai Qian] wherever she went, the vegetation on the ground and the fungi on the dead wood all emitted a faint light one by one. She searched carefully, looking for the Godly Grass.
1:4:34|1:4:38|Suddenly, she turned her head and saw a shining fairy grass.
1:4:38|1:4:47|After carefully identifying it, she happily squatted down, reached out and grabbed the root of the Godly Grass, trying to pull it out, but the Godly Grass remained unmoved.
1:4:48|1:5:0|She exerted force with both hands, turning a few more times, but the Divine Grass remained motionless. She transformed the Kunlun Fan into a sharp blade and stabbed towards the roots of the Divine Grass. The ground trembled twice under her feet before returning to calm.
1:5:0|1:5:12|Following that, [Bai Qian] once again stabbed towards the roots of the Godly Grass. After a few consecutive strikes, the entire ground began to shake violently, causing moss and dead wood to be lifted up. [Bai Qian] released the Godly Grass and stood up to maintain her balance.
1:5:13|1:5:19|Suddenly, a pair of terrifying eyes emerged from the lifted ground, accompanied by a few roars.
1:5:19|1:5:28|[Bai Qian] is now more than ten meters above the ground. As she jumps down, she sees a Taotie surrounded by withered trees, covered in moss.
1:5:28|1:5:32|The Taotie laughed at the sky, then dragged its heavy body towards [Bai Qian].
1:5:33|1:5:48|[Bai Qian] was agile, with a swift move she dodged the giant foot of the glutton with ease. After quickly regaining her balance, without hesitation, she threw the sharp blade in her hand towards the glutton. The blade fiercely pierced into the glutton's back, causing it to roar in pain once again.
1:5:48|1:5:58|[Bai Qian] seized the opportunity, stepping on the tail of the Taotie, quickly rushing to its back. The Taotie's body writhed wildly, [Bai Qian] grabbed the blade on its back, trying to obtain the God's Grass once again.
1:5:58|1:6:3|Suddenly, his body, along with the dagger he was holding, was flung towards the ground.
1:6:3|1:6:7|As Ye Hua rushed in, he shot an arrow straight at the top of Tao Tie's head.
1:6:7|1:6:12|[Tao Tie] suddenly fell to the ground, [Ye Hua] shot an arrow and rushed to [Bai Qian]'s side.
1:6:12|1:6:16|After surviving the calamity, [Bai Qian] took a deep breath.
1:6:16|1:6:23|[Ye Hua] reached out a hand towards him. His originally serious and stern face immediately broke into a smile when [Bai Qian] grabbed his hand.
1:6:38|1:6:47|The Taotie behind suddenly woke up, catching the two off guard. [Ye Hua] pushed [Bai Qian] away, and as he turned around to defend, he was bitten on the arm by Taotie.
