0:2:20|0:2:27|After filming, Wu Fuchun sat across from Jing Ruyi, looking at her.
0:14:50|0:15:2|[Jing Ruyi] ignores [Wu Fuchun], she picks up a handful of snow and applies it to her wound. [Wu Fuchun] looks disdainfully at [Jing Ruyi], continues to consolidate the resources around him, and empties the suitcase.
0:15:2|0:15:8|Have [Jing Ruyi] sit down and watch Natasha's body without moving.
0:15:14|0:15:23|[Jing Ruyi] lowered her head to look at the body next to her, then turned to [Wu Fuchun] imploringly, the only male currently with a sound and pain-free body.
0:15:23|0:15:29|The tycoon [Wu Fuchun] deservedly turned into a laborer, tying one end of the rope to the suitcase.
0:15:29|0:15:50|On the other end, dragging it laboriously forward with it over the shoulder, one side of the suitcase contained Natasha's body, while the other side held the injured [Jing Ruyi]. [Jing Ruyi] clutched onto the remaining supplies, as [Wu Fuchun] stopped in his tracks, looking around in confusion.
0:15:58|0:16:9|[Wu Fuchun] looked around in confusion, then obediently picked up the rope and walked forward with determination. Soon they arrived at a wide ridge that they needed to climb over.
0:16:9|0:16:16|It will take a long time, and the weather here has become very harsh.
0:16:34|0:16:41|Ruyi hurriedly took out a pickaxe from her backpack and threw it to [Wu Fuchun], who then desperately started digging up the ground.
0:16:45|0:16:48|[Wu Fuchun] looks ferocious, never daring to stop for a moment.
0:16:48|0:16:53|And not far away, heavy snow mixed with a storm, roaring towards them like the end of the world.
0:16:53|0:17:3|Ruyi struggled out of the suitcase and crawled towards [Wu Fuchun]. The snowstorm grew stronger, and soon a layer of frost formed on Natasha's face.
0:17:3|0:17:10|[Wu Fuchun] frantically dug through the snow, quickly uncovering a hole half a meter deep, while Ruyi lay on the other side of the snow pit.
0:17:10|0:17:15|Continuously pushing the snow out, the storm is getting closer and closer, pressing down overwhelmingly.
0:17:15|0:17:21|At the critical moment, they finally dug a snow pit big enough for two people to squeeze into.
0:17:21|0:17:31|Natascha's body and backpack were left outside the pit, and the fierce blizzard kept sweeping over her. The sky above Antarctica was gloomy at this moment.
0:17:31|0:17:38|The sky was covered with gray murky clouds, and the storm raged over the glacier like sharp swords.
0:17:38|0:17:46|Finally, the snow stopped, and through the crack in the luggage compartment, the sky was gradually getting brighter, and the howling wind disappeared.
0:17:46|0:17:57|The two in the pit were close together, with [Jing Ruyi] slowly opening her eyes. [Wu Fuchun], on the other hand, was sleeping soundly leaning against [Jing Ruyi], seeming to sense the movement beside him, frowning.
0:17:57|0:18:5|Opening his eyes, he shook his head and looked at [Jing Ruyi] beside him with confusion, clearly not fully awake.
0:18:6|0:18:14|[Wu Fuchun] raised his arm and pushed the corner of the overhead luggage compartment with force, the sudden light surrounded [Jing Ruyi] who couldn't open her eyes.
0:18:22|0:18:30|[Jing Ruyi] looked at [Wu Fuchun] as if he were an idiot, then lowered her head to examine her own calf.
0:18:47|0:18:51|[Jing Ruyi]'s eyes were filled with suppressed resentment.
0:19:4|0:19:13|Wu Fuchun then vented his frustration by pushing the suitcase aside, and struggled to climb out of the snow pit. He picked up his handbag and walked forward without looking back.
0:19:17|0:19:22|Without the burden of Natasha and [Jing Ruyi], [Wu Fuchun] quickly reached the top of the ridge.
0:19:22|0:19:28|From a distance, the yellow fur moved slowly, like a proud rooster.
0:19:28|0:19:35|He first walked slowly on a snowy slope, then suddenly, with a burst of energy from who knows where, he started running.
0:19:35|0:19:46|[Wu Fuchun] ran and climbed to the top of the mountain, then continued walking along this line. Upon reaching the final vantage point, [Wu Fuchun] threw the handbag up there.
0:19:46|0:19:58|Then [Wu Fuchun] used both hands and feet to climb up the rocks. Obviously, this wealthy young man is not a fan of sports, but he managed to climb up here out of sheer survival instinct and unwillingness to give up, standing at the highest point of the mountain ridge.
0:19:58|0:20:0|He staggered forward for several steps.
0:20:0|0:20:11|[Wu Fuchun] gritted his teeth, quickly pulled out his phone from his pocket, and raised it high again, trying to find a signal, which was his last glimmer of hope in his eyes.
0:20:11|0:20:22|On the other side, the sound of birds caught [Jing Ruyi], who was still in the snow pit, off guard. She seemed to have realized something, her expression changing from initial surprise to undisguised fear.
0:20:22|0:20:34|[Jing Ruyi] cautiously peeks out half of her head, only to see a group of Antarctic skuas feasting voraciously on Natasha's body. [Jing Ruyi] looks ahead in disbelief, unsure of how to shift her gaze away.
0:20:34|0:20:46|At this moment, [Wu Fuchun] is still standing at the highest point of the mountain ridge, holding up his phone to search for a signal. [Wu Fuchun] looks at the screen in frustration, and eventually his hand helplessly drops down.
0:20:52|0:21:4|[Wu Fuchun] was so angry that he picked up a stone and threw it into the distance. However, he exerted too much force, slipped under his feet, and rolled down the hillside. He quickly grabbed onto the snow to stop himself.
0:21:4|0:21:14|Exhausted, Wu Fuchun finally managed to stop himself. He lay motionless on the ground, using all his strength to barely prop up his upper body with his arms.
0:21:14|0:21:37|The first thing that [Wu Fuchun] did was to search for the fallen phone. He hurried to the phone and was about to pick it up, but coincidentally saw something exciting. Below the snow slope stood a small wooden house covered with snow. On the other side, more and more seagulls came to search for food. [Jing Ruyi] tightly hugged a thermos cup, curled up in a snow pit, and closed her eyes tightly.
0:21:37|0:21:44|Trembling in fear, the agile seagull followed the sound and mercilessly pecked at [Jing Ruyi] when it saw her.
0:21:44|0:21:55|Ruyi waved the thermos cup in fear, but couldn't drive it away. Suddenly, a hand accurately grabbed the seagull by the neck and threw it far away. After driving away the seagull, [Wu Fuchun] appeared.
0:22:0|0:22:8|[Wu Fuchun] emptied everything from his backpack onto the ground, picked up a pair of sunglasses and put them in his pocket, then casually picked up a piece of underwear.
0:22:8|0:22:17|After identifying what it was, [Wu Fuchun] impatiently threw it to the ground, then stuffed the thermos into the other side of the backpack and tucked a stack of dollars into her fur pocket.
0:22:17|0:22:28|After finishing all this, he threw the iron pickaxe at his feet and walked forward. [Wu Fuchun] walked up to Natasha, knelt down slowly in front of her, frowned, and finally reached out his hand.
0:22:28|0:22:31|Took off Natasha's knitted hat.
0:22:31|0:22:41|Ruyi didn't say anything after seeing this scene, just lowered her head sadly. [Wu Fuchun] put the hat on his own head and started shoveling snow onto Natasha.
0:22:41|0:22:44|A tomb made of snow was quickly built.
0:22:47|0:22:58|Ruyi still sat in place, lowering her head in confusion. Soon, the two of them set off again, with [Wu Fuchun] carrying the injured Ruyi towards the small wooden house that represented their last hope.
0:22:58|0:23:6|They walked on the plain at times, and climbed up the hill at other times. The snow in Antarctica was deep up to their calves, and [Wu Fuchun] found it very difficult to take each step.
0:23:15|0:23:23|Ruyi's leg kept rubbing against the bloody surface, while [Wu Fuchun] carried her on his back, climbing up the rocks with great effort.
0:23:24|0:23:33|[Wu Fuchun] took a deep breath, then dragged [Jing Ruyi] up a bit. Exhausted, [Wu Fuchun] collapsed at the top of the slope, with [Jing Ruyi] falling to the side.
0:23:45|0:23:51|Confronted with the paralyzed [Jing Ruyi], [Wu Fuchun] immediately lifted her onto his shoulders without hesitation.
0:23:51|0:24:2|He staggered forward two steps, then his knees gave way and he tumbled down with [Jing Ruyi]. The snow slope was long, with no cover around, and the two of them rolled for a long time before coming to a stop.
0:24:2|0:24:10|[Wu Fuchun], stabilizing his body, immediately crawled towards [Jing Ruyi] in front, while [Jing Ruyi], under the dual torment of physical pain and mental anguish, eventually passed out.
0:24:12|0:24:22|After an unknown period of time, [Jing Ruyi] finally opened her eyes, only to see the dim wooden furniture in front of her. She saw [Wu Fuchun] leaning on the wooden table beside her.
0:24:25|0:24:37|Upon hearing the knocking, [Wu Fuchun] opened his eyes to find that [Jing Ruyi] had already woken up. [Wu Fuchun] hurried to [Jing Ruyi]'s bedside, while [Jing Ruyi] struggled to prop up half of her body with tears of pain in her eyes.
0:25:2|0:25:14|[Jing Ruyi] looked at [Wu Fuchun] with tears in her eyes, calmly. [Wu Fuchun] stood with his hands crossed in front of his chest, not saying a word. In the end, [Wu Fuchun] took on this heavy responsibility, steadying [Jing Ruyi]'s foot with one hand.
0:25:14|0:25:21|Wu Fuchun carefully unzipped the zipper on her pants leg, but every move brought pain to Jing Ruyi.
0:25:22|0:25:28|Suddenly, [Jing Ruyi] grabbed [Wu Fuchun]'s arm.
0:25:31|0:25:37|[Wu Fuchun] nodded in silence for a moment, then turned and walked towards the door to wait.
0:25:38|0:25:44|[Wu Fuchun] stopped in his tracks, turned around in astonishment, only to see [Jing Ruyi] with tears streaming down her face.
0:25:44|0:25:53|[Jing Ruyi] is currently trampling on her self-esteem, unable to lift her head in sadness, while [Wu Fuchun] purses his lips, showing sympathy tinged with a hint of heartache.
0:25:53|0:25:56|He folded back and sat next to [Jing Ruyi].
0:25:56|0:26:7|As Wu Fuchun reached out his hand, Jing Ruyi quickly grabbed the blanket beside him and covered his lower body. He felt embarrassed, sniffled, and tremblingly reached his hand into the blanket.
0:26:7|0:26:14|Unbuckling his belt, [Wu Fuchun] pursed his lips and looked expressionlessly to the side, preserving [Jing Ruyi]'s last trace of dignity.
0:26:15|0:26:24|Shortly after, [Jing Ruyi] tearfully untied the belt around her waist, pulled down her pants from her hips, but once the pants reached her thighs, she couldn't exert any more force.
0:26:24|0:26:35|[Wu Fuchun] awkwardly reaches into the blanket, finds the waistband of the pants, and slowly pulls them down. As [Wu Fuchun] moves, [Jing Ruyi] tightly grips the blanket with both hands.
0:26:35|0:26:42|Tears of pain streamed down as a large, purplish-black swelling on the middle of the left calf was visible, a sight that was truly shocking.
0:26:43|0:26:51|[Jing Ruyi] gritted her teeth and nodded, while [Wu Fuchun] placed one hand on her knee and the other hand on her leg, slowly bending it to the left.
0:26:51|0:27:0|[Wu Fuchun] glanced at [Jing Ruyi], not daring to stop for a moment. The immense pain made [Jing Ruyi] unable to hold on any longer, and she fainted directly.
0:27:4|0:27:25|Fuchun was at a loss for a moment, standing by the bed not knowing what to do. Outside, the cold wind continued to blow fiercely, and snowflakes blew into the wooden house through the cracks in the ice wall day and night. Exhausted, Fuchun lay on the upper bunk, pursing his lips unwilling to wake up. He furrowed his brow, squinted his eyes, turned over in confusion, and looked towards Jing Ruyi on the lower bunk.
0:27:25|0:27:33|[Jing Ruyi], with a helpless look on her face, furrowed her brow and remained silent, holding a blanket.
0:27:33|0:27:40|Fuchun lay on the edge of the bed for a while without any response, impatiently lay back, and [Jing Ruyi] knocked on the floor again.
0:27:49|0:27:59|After saying this, she dared not look at Fuchun again. Then Fuchun sawed a big hole in the bed board, while [Jing Ruyi] curled up in the corner of the lower bunk.
0:27:59|0:28:10|Her head weakly rested on the edge of the bed, her heart already as lifeless as ashes. Soon, Wu Fuchun chiseled a large hole in the bed board, placed a copper basin under the hole, and then walked away.
0:28:11|0:28:21|After everything was done, Wu Fuchun walked to the door without looking back. Jing Ruyi remained motionless, only the shadow of her profile silently expressing the torment in her heart.
0:28:21|0:28:28|Outside the door, the snowstorm continued, Wu Fuchun opened the wooden door and walked out wearing only a down jacket.
0:28:28|0:28:34|Wu Fuchun then staggered down the steps in the wind and snow, shivering with arms crossed.
0:28:34|0:28:47|He looked around for a target, and suddenly his gaze was caught by a yellow oil tank. He bent down and pondered for a while, then squatted in front of the oil tank, carefully wiping the scale in front of him.
0:28:47|0:28:54|Upon realizing what it was, [Wu Fuchun] immediately rushed towards the cabinet in the corner where a generator was placed.
0:28:54|0:29:5|[Wu Fuchun] opened the cabinet door and pressed the red button on the left, then he searched around the generator for something. Upon seeing the pull cord on the right, [Wu Fuchun] grabbed it without hesitation and began to pull with all his strength.
0:29:8|0:29:20|At this moment, [Jing Ruyi] sat on the bed, dealing with her need to relieve herself with shame and despair. Suddenly, the chandelier above the table emitted a dim yellow light, and the electric heater in the center of the room also lit up.
0:29:20|0:29:32|[Jing Ruyi] couldn't help but look up, staring fixedly at the glowing electric heater in front of her. Outside, it was still a world of ice and snow, a place of despair, while this room was like a faint flicker of flame.
0:29:47|0:29:59|[Wu Fuchun] flipped through the items on the shelf and reported them to [Jing Ruyi], while [Jing Ruyi] carefully recorded the information of these items in her notebook.
0:30:23|0:30:30|[Jing Ruyi] frowned, looking at the can thrown on the bed, then picked it up and examined it carefully.
0:31:44|0:31:53|[Wu Fuchun] couldn't calm the anger in his heart. He stood up and walked to the window, hands on his hips, looking outside with an unprecedented determination in his eyes.
0:31:55|0:32:3|[Jing Ruyi] took out a marker pen and began writing down all the known information on a poster hanging on the wall.
0:32:3|0:32:11|She first listed the numbers 1 to 75 and drew simple directional coordinates.
0:32:11|0:32:16|[Jing Ruyi] stared at the information on the poster and crossed out the numbers 1 to 3 with a red pen.
0:32:31|0:32:35|The diesel generator was working methodically.
0:32:35|0:32:46|This is an important device for the two to survive. The room is gradually warming up, and the electric heater has been moved closer to the bed. [Wu Fuchun] is sleeping unattractively on the upper bunk.
0:32:48|0:32:59|While [Jing Ruyi] on the lower bunk kept her eyes wide open, [Wu Fuchun] soon put on [Jing Ruyi]'s ski suit and started preparing for departure. He poured the clear porridge into an aluminum lunch box and a thermos cup respectively.
0:32:59|0:33:11|[Jing Ruyi] was still sitting on the lower bunk, earnestly drawing on a poster. [Wu Fuchun] picked up the pot of porridge, tilted his head back and drank every drop of the clear porridge inside. Then he carefully inspected the lunch box and thermos.
0:33:11|0:33:24|He glanced at [Jing Ruyi] again, and when he confirmed that [Jing Ruyi] was not looking in this direction, he quietly poured some clear porridge from the lunch box into the thermos. [Jing Ruyi] did not notice [Wu Fuchun]'s little move.
0:33:24|0:33:29|Wu Fuchun handed the lunch box to Jing Ruyi while still looking at the poster attentively.
0:33:30|0:33:38|[Wu Fuchun] immediately started to search through various pockets, and sure enough, he pulled out a few candies from the left pocket and handed them to [Jing Ruyi].
0:33:46|0:33:50|[Wu Fuchun] put the candy back into his pocket, then took down his fur coat from the upper bunk.
0:33:56|0:34:3|[Wu Fuchun] stuffed the thermos cup containing porridge into the side pocket of the backpack, and then put on a knitted hat on his head.
0:35:36|0:35:42|[Jing Ruyi] points in the completely opposite direction of [Wu Fuchun]'s line of sight.
0:35:44|0:35:49|[Jing Ruyi] sat silently on the lower bunk, but still lifted his head to see him off.
0:35:49|0:35:58|[Wu Fuchun] pushed open the door and walked out, but he was confused by the scene in front of him, so he helplessly walked in a circle.
0:36:0|0:36:12|[Wu Fuchun] stood at the door muttering to himself, shouted towards the wooden house, then turned around helplessly. He looked around and finally tentatively chose a direction, gritted his teeth and walked forward.
0:36:46|0:36:57|The tiny [Wu Fuchun] moved slowly on the vast snowy plain for nearly 10 hours, while [Jing Ruyi] who stayed in the cabin carefully circled the number 4 in red on the lower bunk.
0:37:30|0:37:41|Every day's journey consumes a great deal of energy for [Wu Fuchun]. Usually, after returning, he falls into a deep sleep, and in the blink of an eye, the numbers 5 and 6 on the poster are also crossed out.
0:37:41|0:37:51|Day after day, [Wu Fuchun] remained away for a long time, while the two of them searched for their last hope. Occasionally, he would also come across some interesting little things.
0:37:51|0:37:58|The seal looked confused, tilting its head to one side.
0:37:59|0:38:6|The little seal glanced at [Wu Fuchun], then lazily lay down on the ground.
0:38:6|0:38:12|[Wu Fuchun] helplessly waved his hand and continued to walk forward, soon arriving at a glacier.
0:38:12|0:38:32|Here not only is there a vast expanse of sea, but also adorable and simple penguins standing in groups of three or four. [Wu Fuchun] is crawling on the ground, taking out his phone to take a close-up photo with himself and the penguins, then joining their group. He opens his arms and kneels on the ground, imitating the penguins as he waddles forward.
0:38:32|0:38:40|At this moment, he seemed to have forgotten the predicament he was in, standing at the top of a slope and throwing his backpack directly down.
0:38:40|0:38:46|At the same time, [Wu Fuchun] also opened his arms and lay on the ground, sliding down the snow slope, having a great time.
0:38:46|0:38:57|Perhaps this was the happiest day for him since he set foot on Antarctica. After sliding to the bottom of the slope, [Wu Fuchun] lay in the snow, reluctant to leave, enjoying this rare moment of tranquility.
0:39:3|0:39:9|Wu Fuchun, with a scruffy beard, wearing sunglasses, squats on the ground, staring at the seagulls in front of him.
0:39:19|0:39:28|Suddenly, a loud noise in the distance, the seabirds flew away at the sound. [Wu Fuchun] alertly raised his head, only to see a large glacier suddenly cracking open.
0:39:28|0:39:37|He went straight towards the ice where he was, hurriedly stood up, grabbed his backpack and ran forward. The rolling ice blocks quickly caught up with [Wu Fuchun].
0:39:37|0:39:45|Poor [Wu Fuchun] was running for his life while trying to pull up his pants in a hurry. He couldn't help but glance back, so scared that he couldn't even hold onto the cigar in his mouth.
0:39:45|0:39:56|The avalanche behind him was powerful, he grabbed his belt with one hand and his backpack with the other. Just as he ran to a huge rock, he was swept down by the avalanche along with his backpack.
0:39:56|0:40:2|He could only cower behind the giant rock, trembling in fear, praying to safely survive this disaster.
0:40:23|0:40:40|Ten days passed quickly. [Wu Fuchun] walked towards the window while chewing on a can of food. The scene outside the window made his face turn serious - the sky was filled with howling winds and snow, with extremely low visibility.
0:40:52|0:40:58|[Wu Fuchun] helplessly sealed the can, frowning as he looked at [Jing Ruyi].
0:41:0|0:41:12|[Wu Fuchun] sat in front of the wooden table, staring at the drawings and writings on the poster of [Jing Ruyi]. [Jing Ruyi] turned around and looked quietly at [Wu Fuchun], with a hint of grievance and sadness in her eyes. [Wu Fuchun] dared not face such a gaze.
0:41:20|0:41:27|[Wu Fuchun] walked over in three or two steps, knelt beside the lower bunk, took the pen from [Jing Ruyi]'s hand, and reached over her body.
0:41:27|0:41:33|An arrow was drawn towards the east of the seal, and [Jing Ruyi] watched his movements intently.
0:41:50|0:41:59|[Jing Ruyi] uncovered the blanket and looked at her left leg, which had been set askew, speechless for a long time, and the number on the poster had already reached fifteen.
0:41:59|0:42:16|On that day, [Wu Fuchun] went as usual to search for the supply station. He climbed up the last hill in the direction he had previously locked onto, only to see the vast sea and endless glaciers in front of him. Looking down, he saw a desolate and uninhabited area with not a single soul in sight.
0:42:16|0:42:25|He took out a thermos cup from his backpack, carefully poured some porridge onto the lid, tilted his head back and poured it into his mouth. This was his two days' ration.
0:42:25|0:42:37|After filling his stomach with a simple meal, [Wu Fuchun] took out a notebook and a pen. His fingers were already frozen in the cold weather as he carefully drew the detailed location where he was currently at in the notebook.
0:42:37|0:42:46|After finishing the recording, [Wu Fuchun] wiped his nose, subconsciously looked around, and below the mountain hollow, he saw a human skeleton.
0:43:12|0:43:19|[Jing Ruyi] took a sip with a skeptical look.
0:43:32|0:43:37|The strong fishy smell of the thief's soup forced [Wu Fuchun] to vomit all the bones and soup.
0:43:37|0:43:45|It has been 17 days so far.
0:43:59|0:44:8|He walked up to [Jing Ruyi] and gently grabbed her calf, placing it softly on the bed.
0:44:26|0:44:34|[Wu Fuchun] sneered at [Jing Ruyi], covered her with a blanket, and another day passed. [Jing Ruyi] drew a red circle on 18.
0:46:7|0:46:37|[Wu Fuchun] set off again, this time throwing his backpack to the side, sticking his butt up and lying on the ice. He then took out a fishing rod, attached a piece of bait, carefully extended the rod, and cast it into the ice hole. As time passed, [Wu Fuchun] changed his posture from sitting to lying down, resting his head on the backpack, looking helplessly at the sky, tightly holding the fishing rod in his hand. Suddenly, the fishing rod moved, and the pulling sensation became more and more obvious.
