0:0:44|0:0:47|[Qi Jia] boarded a bus with a vacant look in her eyes.
0:37:25|0:37:39|[Qi Jia] borrowed a tablet, and on the screen was a runaway wedding dress.
0:38:30|0:38:36|On a rainy night, [Lin Shuer] fell asleep in the passenger seat, while [Yuan Xiaoou] continued driving.
0:38:36|0:38:38|[Qi Jia] remembered what [Liu Chong] said.
0:39:26|0:39:28|The two of them stood facing each other in silence across the bushes.
0:39:41|0:40:7|[Liu Chong] glanced at the dormitory building, then turned and walked away. [Qi Jia] also left in a huff, memories fading. Leaning against the car window, [Qi Jia] silently shed tears, his profile illuminated by the street lamp, tears shimmering faintly. Catching a glimpse of [Qi Jia]'s expression in the rearview mirror, [Yuan Xiaoou] immediately handed him a tissue. [Qi Jia] smiled faintly.
0:40:7|0:40:13|Quietly closing her eyes, [Yuan Xiaoou] twitched at the corner of her mouth and reluctantly took back the tissue.
0:40:13|0:40:19|She glanced at the roadside, turned the steering wheel to the right, the car flashed its lights, and stopped under the street lamp.
0:40:19|0:40:24|The torrential rain pounded on the car, making it almost impossible to see the faces inside.
0:40:24|0:40:31|[Yuan Xiaoou] lowered her head to unbuckle her seatbelt, turned towards the back seat, extended her arm, and wiped away [Qi Jia]'s tears.
0:40:31|0:40:34|She carefully used a tissue to touch the corner of [Qi Jia]'s eye.
0:41:45|0:41:48|[Liu Chong] leaned back on the sofa, looking relieved.
0:42:29|0:42:35|In the hotel, [Qi Jia] closed the door after receiving a large package.
0:42:35|0:42:49|On the floor of the room lay an opened gift box. [Qi Jia] stood in front of the mirror in a shirt and jeans, holding a section of wedding dress, comparing it to herself, and then hugging it close.
0:42:49|0:42:57|On the grass outside a Gothic Catholic church, guests chatted in small groups, while [Liu Chong] in formal attire greeted the guests.
0:42:59|0:43:5|In the room, [Yuan Xiaoou] is trying on a shirt in front of the mirror, then putting on a slightly tight groomsman suit.
0:43:5|0:43:9|[Lin Shuer] is wearing a sleeveless dress, looking around in the corridor.
0:43:20|0:43:31|A bright Maserati convertible parked in front of the church, [Lin Shuer] hurried forward to open the door. With her face covered by a veil, [Qi Jia] stepped out of the car and whispered.
0:43:43|0:43:45|[Qi Jia] and Lin Shuer walked into the church side by side.
0:43:55|0:44:3|Ling Shuer elegantly escorts [Qi Jia] to Liu Chong's side. Liu Chong extends his arm to [Qi Jia], and when she links arms with him, he senses something amiss and asks.
0:44:6|0:44:11|[Qi Jia] kept her head down and didn't say a word, just kept walking forward, while [Yuan Xiaoou] raised her face and clapped.
0:44:32|0:44:45|[Qi Jia] turned her face to the side, remaining silent for a long time. Liu Chong's smile gradually faded, while [Yuan Xiaoou] and Lin Shuer on both sides anxiously watched them.
0:44:45|0:44:48|[Qi Jia] suddenly lifts the veil and turns to Liu Chong.
0:45:34|0:45:38|Liu Chong looked at [Qi Jia] with a complicated expression in his eyes, and [Qi Jia] turned her head to look down the aisle.
0:45:38|0:45:59|He also turned around to look, and the guests in the seats all turned their heads. The real bride, wearing the exact same wedding dress as [Qi Jia], walked slowly towards them. [Qi Jia] looked flustered and glanced at [Yuan Xiaoou], who had a cold expression. Then she looked at Lin Shuer with concern in his eyes, and at Liu Chong with worry and anxiety. Tears filled [Qi Jia]'s eyes.
0:45:59|0:46:1|In the blink of an eye, they all rushed to fall down one after another.
0:46:1|0:46:5|Finally, he lifted the hem of the dress and ran towards the entrance of the church as if escaping.
0:46:21|0:46:26|[Qi Jia] passed by the bride, and the guests' eyes followed [Qi Jia] as she ran out of the church.
0:46:28|0:46:41|Yuan Xiaoou made a tough statement and then followed Lin Shuer out. The guests' attention returned to Xingyun in front of them. Liu Chong held the bride's hand tightly, and the two watched as Yuan Xiaoou and the others disappeared at the door.
0:46:55|0:47:18|You only know how to fall and bleed, Qi Jia is lying in the bathtub in a wedding dress, soulless, letting the water from the shower wash over herself, with the lights of Beijing shining brightly at night, and the traffic flowing like branches.
0:47:19|0:47:27|In the house, Qi Jia walked into the kitchen and pulled open the hollowed-out curtain of the cupboard, revealing transparent sealed jars storing various grains.
0:47:27|0:47:32|He carefully examined the gaps between the jars, but found nothing.
0:47:32|0:47:37|Qi Jia opened the cabinet below, where a pile of hazelnuts and purple rice porridge cans were stored.
0:47:37|0:47:39|He closed the cabinet door and then pulled open the drawer.
0:47:42|0:47:51|Qi Jia squinted one eye and leaned in to look inside, only to find cold spatulas and knives in the drawer.
0:47:51|0:47:57|[Yuan Xiaoou] heard the sound and came out to see her squatting in the kitchen, then asked.
0:49:15|0:49:19|[Yuan Xiaoou] was scared by Qi Jia's gaze and quickly shut her mouth.
0:49:19|0:49:28|Qi Jia is lying on the bed with a fish tank in her arms, sleeping deeply on her side. The floor under the bed is a mess, with items scattered around haphazardly.
0:49:28|0:49:35|[Yuan Xiaoou] lay on the floor, sleeping among the clutter, as a little turtle slowly crawled past her.
0:49:35|0:49:41|In the early morning, [Yuan Xiaoou] cooked chicken soup and chopped vegetables while tilting her head and holding her phone to call Lin Shuer.
0:50:11|0:50:16|Qi Jia rushed into the bathroom with both hands raised high, then turned back and excitedly shouted at [Yuan Xiaoou].
0:50:16|0:50:21|One day, [Yuan Xiaoou] saw Qi Jia pacing back and forth in the living room, and asked in confusion.
0:50:41|0:50:47|[Yuan Xiaoou] grabbed Qi Jia and quickly brought a bowl of soup from the kitchen to her.
0:50:54|0:50:58|[Yuan Xiaoou] bowed respectfully and pleaded, while Qi Jia turned around and spoke.
0:51:24|0:51:28|[Yuan Xiaoou] walked back to the bedroom alone and vomited all the soup medicine she had just drunk into the flowerpot.
0:51:28|0:51:34|In the living room, Qi Jia was about to drink a beverage when [Yuan Xiaoou] squatted in front of her and pushed all the snacks on the coffee table off.
0:51:41|0:51:44|She handed him a few pieces of sushi on a plate.
0:53:1|0:53:8|Qi Jia followed through, yes, every bone and muscle in her body received full relaxation.
0:53:34|0:53:38|[Qi Jia] gradually fell asleep in [Yuan Xiaoou]'s nanny-like coaxing.
0:53:38|0:53:42|The next day, [Qi Jia] slowly opened her eyes in the gentle light.
0:53:42|0:53:47|She sat up energetically, only to be startled by [Yuan Xiaoou] sitting at the foot of the bed.
0:53:47|0:53:49|[Qi Jia] frowns and scolds angrily.
0:54:21|0:54:30|[Yuan Xiaoou] grabbed Qingxia's arm and helped her do ineffective sit-ups.
0:54:56|0:55:1|[Qi Jia] walks out of the room in a professional suit, putting on a small blazer in front of the mirror.
0:55:1|0:55:9|He walked to the dining table, where a conspicuous note was placed. It read, "Qi Jia, please take your medicine after finishing your meal."
0:55:9|0:55:20|Not only that, [Yuan Xiaoou] makes a different heart-shaped lunchbox for him every morning, and [Qi Jia] looks at the lunchbox and smiles faintly.
0:55:20|0:55:29|[Yuan Xiaoou] dragged [Qi Jia] to run by the river, the cinema was packed with no empty seats, everyone was wearing 3D glasses and watching the movie intently.
0:55:29|0:55:35|[Yuan Xiaoou] kept eating popcorn from the bucket, licking her fingers and focusing her gaze on [Qi Jia]'s hands.
0:55:36|0:55:45|[Yuan Xiaoou] was about to hold [Qi Jia]'s hand when a strong wind suddenly blew through the theater, causing the seats to shake violently, creating a very realistic environmental effect.
0:55:45|0:55:53|But [Yuan Xiaoou] was left in a sorry state by the popcorn in her arms, and could only silently gather the remaining popcorn on her body into the bucket.
0:55:53|0:55:55|[Qi Jia] looked at her awkward expression and burst out laughing.
0:55:57|0:56:2|In the beauty salon, [Qi Jia] is wearing ancient bear-style Han needle clothing, lying in a private room doing a mud mask.
0:56:2|0:56:5|[Yuan Xiaoou] is lying on the sofa in the rear cabin, sleeping.
0:56:5|0:56:10|She tilted her head, and the impurities covering her face fell off.
0:56:10|0:56:13|[Qi Jia] took the opportunity to apply a facial mask on [Yuan Xiaoou], giving her a big flower face.
0:56:24|0:56:39|[Yuan Xiaoou] stood up and suddenly saw the mirror in the shop window.
0:56:39|0:56:42|Qi Jia hurriedly slipped away, and [Yuan Xiaoou] quickly chased after.
0:56:42|0:56:50|On the balcony, [Yuan Xiaoou] put the washed clothes into the basin, and as she was about to leave, she sensed something was wrong. She slowly looked down and was shocked.
0:57:13|0:57:18|[Qi Jia] couldn't accept that the turtle had the same name as her. She looked at [Yuan Xiaoou] and squeezed out a sentence after a long time.
0:57:26|0:57:33|At this age, she is in her prime in the world of besties, and what she eats is not so important to her.
0:57:40|0:57:45|On the beach, [Qi Jia] is wearing a coat, paired with shorts.
0:57:48|0:58:4|The two of them sat on the beach, laughing and joking. [Qi Jia] used a marker to write the words "流冲" on the back of a turtle.
0:58:4|0:58:7|Yuan Xiaoou takes a photo with Qi Jia and a turtle.
0:58:19|0:58:32|[Qi Jia] was bitten on the upper lip by a turtle. [Qi Jia] waved goodbye to the turtle with a smile, and [Yuan Xiaoou] threw it hard. The turtle flew in an arc in the air before dropping into the sea.
0:58:34|0:58:39|"Little turtle," [Yuan Xiaoou] saw the situation and quickly shouted to imitate him for a while.
0:58:51|0:58:53|[Qi Jia] ran up to the turtle and asked.
0:59:1|0:59:5|[Yuan Xiaoou] exerted all her strength and threw the turtle back into the sea.
0:59:7|0:59:10|[Qi Jia] took a few steps and turned back, the little turtle appeared again.
0:59:28|0:59:39|[Qi Jia] covers her face with a scarf, and the two shyly lower their heads and run away.
0:59:39|0:59:42|[Yuan Xiaoou] suddenly pointed at [Qi Jia] and then bent over laughing.
0:59:45|0:59:49|[Qi Jia] turned around, his upper lip swollen in a comical way.
0:59:51|0:59:56|[Qi Jia] half opened her swollen mouth, while [Yuan Xiaoou] laughed so hard that she couldn't help but squat down.
0:59:56|1:0:2|The two of them arrived at the lake in the park, [Yuan Xiaoou] holding a turtle and looking at [Qi Jia] with questioning eyes.
1:0:2|1:0:6|After getting confirmation, [Yuan Xiaoou] slowly placed the little turtle on the water surface.
1:0:17|1:0:20|Ling Shuer observed [Qi Jia] at the outdoor table.
1:1:35|1:1:39|In front of the health-preserving Chinese medicine counter, Guijie professionally introduces [Qi Jia] and Lin Shuer.
1:1:44|1:1:51|In a jewelry store in the mall, [Yuan Xiaoou] buys a diamond ring, while the salesperson wearing gloves waits on the side.
1:1:51|1:2:0|[Yuan Xiaoou] picked up the diamond ring, didn't even take the gift box, and walked out of the store. As she walked, she carefully held the diamond ring and put it into her pocket.
