0:0:57|0:1:2|Although it is already spring, the trees are still bare, without a single leaf.
0:40:10|0:40:15|Dai Liyan was a little shy when she heard what he said.
0:40:15|0:40:18|After Dada and Xiaomei finished speaking, [Zhou Yuwen] stared at the mirror in silence.
0:40:18|0:40:24|Zhou Yuwen looked at herself in the mirror after looking at Dai Liyan, and smiled somewhat shyly.
0:40:24|0:40:29|The two sisters-in-law whispered to each other, while [Zhang Zhichen] in the study was tidying up the luggage alone.
0:40:29|0:40:33|The alarm sounded in the distance, reminding everyone of the impending power outage.
0:40:35|0:40:39|At 12 o'clock, the lights in the room flickered a few times and then slowly went out.
0:40:39|0:40:50|[Zhang Zhichen] was not in a hurry. He first tidied up the clothes in his hands, then walked to the table to light the candle with a match, and finally sat at the corner of the bed in a daze.
0:40:50|0:40:55|The alarm was still ringing, echoing in the silent room, making it a bit eerie.
0:40:55|0:41:1|The night was already late, and [Zhang Zhichen] was not in a hurry to sleep, not knowing how long he would maintain this absent-minded posture.
0:41:3|0:41:9|A new day dawns, [Zhou Yuwen] picks up the basket hanging on the cabinet, ready to go grocery shopping.
0:41:9|0:41:12|[Zhang Zhichen] happened to meet by chance.
0:41:12|0:41:14|[Zhang Zhichen] smiled and said to him.
0:41:37|0:41:43|[Zhou Yuwen] smiled slightly in agreement, then disappeared at the end of the corridor with a basket of vegetables.
0:41:43|0:41:50|[Zhang Zhichen] looked at his gradually disappearing figure with some joy until he completely disappeared from sight.
0:41:50|0:42:12|After breakfast, [Zhou Yuwen] and [Zhang Zhichen] met as planned. [Zhou Yuwen] had already stood up, but neither of them let go of the hands they had just held onto while helping each other up.
0:42:23|0:42:29|[Zhou Yuwen] responded with a smile, and [Zhang Zhichen] walked up to him, staring at him.
0:42:41|0:42:47|[Zhou Yuwen] raised her head to look elsewhere, and smiled lightly at [Zhang Zhichen]'s face.
0:42:47|0:42:50|After he finished speaking, neither of them spoke again.
0:42:50|0:42:53|[Zhang Zhichen] suddenly turned around and walked along the city wall.
0:42:53|0:42:59|[Zhou Yuwen] followed him silently, with birds chirping around, making the atmosphere between the two even more serene.
0:43:1|0:43:8|On the roadside, a scarf is hanging on a tree [Lao Huang], swaying lonely in the wind.
0:43:8|0:43:16|[Zhang Zhichen] stopped at the highest point of the city wall, [Zhou Yuwen] stopped a few steps behind him, then turned around and didn't look at him again.
0:43:18|0:43:23|[Zhang Zhichen] immediately turned around and embraced [Zhou Yuwen] upon hearing these words.
0:43:23|0:43:26|[Zhou Yuwen] hesitated for a moment, then leaned on [Zhang Zhichen]'s chest.
0:43:33|0:43:38|[Zhou Yuwen] gently opened [Zhang Zhichen]'s arms and walked towards [Lao Huang], who was holding a handkerchief.
0:43:41|0:43:45|She looked at [Zhang Zhichen] somewhat shyly and smiled.
0:43:52|0:43:58|[Zhang Zhichen] listened to her finish, then like a gust of wind, floated down the city wall and ran down the pebble path with big strides.
0:44:0|0:44:5|Ignoring the exquisite suit on his body, [Lao Huang] leaped up like a monkey.
0:44:5|0:44:14|His climbing posture was very skilled, and in no time he reached the handkerchief hanging on the branch. He hurriedly ran down the slope to show off the loot to [Zhou Yuwen].
0:44:16|0:44:19|[Zhou Yuwen] covered her mouth in shock and hurriedly ran away.
0:44:19|0:44:22|Zhang Zhichen put down the waving handkerchief without any mistake.
0:44:22|0:44:27|The date ended abruptly, as if nothing had ever happened.
0:44:27|0:44:31|On the attic rooftop, [Zhang Zhichen] was pondering while playing with the oranges in his hand.
0:44:31|0:44:35|The mind of a sixteen or seventeen-year-old girl can be very complicated and unpredictable.
0:44:35|0:44:39|In Dr. Dai's room, Zhang Zhichen is using a stethoscope to give her a check-up.
0:44:39|0:44:43|After treatment, [Dr. Dai]'s body has improved a lot.
0:46:8|0:46:15|She, alone in the room, was in tears, without a hint of a smile in front of others.
0:46:30|0:46:32|At this point, [Dai Liyan] sighed.
0:46:35|0:46:39|[Dai Liyan] lowered his head in silence, as if thinking of something, and spoke anxiously.
0:47:29|0:47:31|[Zhou Yuwen] sat on the chair, speaking eloquently.
0:47:31|0:47:38|At this point, she turned away as if feeling a bit sad, let out a sigh, and a few teardrops could be seen in her eyes.
0:47:38|0:47:38|[Zhou Yuwen] spoke in a flat tone, as if everything had nothing to do with her.
0:48:3|0:48:12|The heavy words were thrown at Zhang Zhichen one by one, and he walked silently to the side of the shelf, continuing to listen.
0:48:12|0:48:23|[Zhou Yuwen] paid no attention to [Zhang Zhichen] and continued speaking to himself. When [Zhou Yuwen] reached this point, the calm facade finally cracked a bit. He sighed, lowered his head in dismay, and then continued speaking.
0:48:39|0:48:45|Sunlight falls on the face of [Zhou Yuwen], her delicate features filled with sadness.
0:48:45|0:48:49|[Zhang Zhichen] hesitated for a long time before finally deciding not to approach [Zhou Yuwen] after arriving at Yuzi.
0:49:2|0:49:7|[Zhou Yuwen] struggled to maintain her composure, choking back tears as she continued speaking.
0:49:9|0:49:13|[Zhang Zhichen] slowly placed his hand on [Zhou Yuwen]'s hand.
0:49:17|0:49:21|[Zhou Yuwen] shed no tears, allowing the tears to flow freely.
0:50:1|0:50:15|He was speaking when Zhang Zhichen had already gently embraced him. But as he finished speaking, he quickly realized that the current actions with Zhang Zhichen were somewhat crossing the line. He promptly pushed Zhang Zhichen away, turned to the side, and no longer looked at him.
0:50:15|0:50:24|Early the next morning, [Zhou Yuwen] dressed in a simple cheongsam as usual, tied up her hair with a handkerchief, and walked down the street with a basket.
0:50:26|0:50:35|She left very early, the streets were empty with not a single person in sight, only the faint sound of birds chirping and the clacking of leather shoes on the stone pavement.
0:50:35|0:50:42|The once tall walls on both sides of the small road are no longer there, leaving only broken remnants.
0:50:42|0:50:46|In a lonely place, [Zhou Yuwen] quietly disappeared at the end of the path.
0:50:46|0:50:50|Contrary to the loneliness on the street, the courtyard of [Dai Liyan]'s house is lively.
0:50:50|0:50:54|Early in the morning, [Dai Xiu] dashed into the corridor and ran towards [Zhang Zhichen]'s room.
0:50:59|0:51:5|[Zhang Zhichen] heard [Dai Xiu]'s call but did not respond, instead he went to the utility room to seek peace and quiet.
0:51:5|0:51:17|[Zhang Zhichen] listened to the footsteps outside the door, [Dai Xiu] searched for his voice, pacing back and forth in the utility room. The anxious footsteps scattered on the ground announced the heaviness and boredom of the owner's mind.
0:51:17|0:51:22|He sat weakly on a low stool on the side, his tall figure showing helplessness.
0:51:26|0:51:31|[Dai Xiu] couldn't find her no matter what, and suddenly rushed out the door.
0:51:31|0:51:36|In the Dai family garden, [Dai Liyan] is holding a book under the sunlight, carefully studying it.
0:51:36|0:51:39|Her spirits have improved a lot compared to a few days ago.
0:51:39|0:51:43|[Zhang Zhichen] walked over from the front yard and greeted her.
0:52:21|0:52:25|[Dai Liyan] smiled and then walked along the path with his hands behind his back.
0:52:25|0:52:27|[Zhang Zhichen] hurriedly followed behind her.
0:52:37|0:52:41|[Zhang Zhichen] lowered his head in shame after hearing about the losses.
0:53:38|0:53:41|In school, [Zhang Zhichen] greets the classmates nearby.
0:54:46|0:54:53|Accompanied by the music, the once shy students no longer held back, inviting their desired dance partners to glide into the dance floor together.
0:55:19|0:55:38|Night is falling, [Zhou Yuwen] walks alone on the city wall with a basket in hand, silently wandering. The ancient collapsed city wall looks even more dilapidated at this moment. His cheongsam quietly sways in the evening breeze, but he pays no attention. He walks aimlessly on the overgrown path, without any specific destination in mind.
0:55:38|0:55:41|In the end, he stood by the lake, gazing into the distance.
0:55:41|0:55:58|In the dim night, [Zhang Zhichen] lay on the bed in the study of Dai's house, idly playing with miscellaneous items. Suddenly, there was a knock on the door, but he paid no attention to the visitor and continued to fiddle with the small trinket in his hand.
0:55:58|0:56:2|The person came in and saw that he was being ignored, so he pushed open the door by himself.
0:56:2|0:56:5|The unexpected guest turns out to be [Zhou Yuwen].
0:56:5|0:56:7|He walked into the study and remained silent after entering.
0:56:43|0:56:48|[Zhou Yuwen] is untying [Zhang Zhichen] and walks to the small table in the other corner of the room.
0:56:48|0:56:57|[Zhang Zhichen] didn't hurry to catch up, he took a step forward and pulled the lamp string before walking behind [Zhou Yuwen].
0:57:3|0:57:8|[Zhou Yuwen] shifted her body away, avoiding any contact with [Zhang Zhichen], as she slowly paced around the small room alone.
0:57:10|0:57:11|[Zhou Yuwen] shook her head.
0:57:39|0:57:41|In the darkness, the expression on the face could not be clearly seen.
0:57:48|0:57:52|[Zhang Zhichen] grabbed [Zhou Yuwen]'s arm and pulled it forcefully.
0:57:59|0:58:3|[Zhou Yuwen] finished speaking and looked meaningfully at [Zhang Zhichen].
0:58:3|0:58:8|[Zhang Zhichen] felt a bit uncomfortable under his gaze, so he turned his head away and stopped looking at him.
0:58:11|0:58:18|[Zhou Yuwen] walked up to [Zhang Zhichen] with a satisfied smile on her face, as if she had just won a battle, and said.
