0:2:20|0:2:29|In the city, tall buildings stand densely, with crowds of people flowing continuously.
0:7:54|0:8:3|[Ai Mi] was scared by the monster in the movie, she screamed and quickly dropped what she was holding, covering her eyes.
0:8:12|0:8:17|[Ai Mi] looked at her colleague who was being scolded by the boss, taking a deep breath in shock.
0:9:2|0:9:11|[Ai Mi] sat on the sofa, looking at [Xiong Dun] with a helpless expression. A whole night had passed, [Xiong Dun] was still wearing the same clothes from yesterday, with messy hair.
0:9:11|0:9:17|Her head was against the wall, sleeping soundly. She struggled to open her eyes and found herself sitting on the toilet, still holding a plastic bucket.
0:9:17|0:9:24|She then got up to wash up, splashing cold water on her face. Just as she lifted her head, [Ai Mi] suddenly appeared behind her.
0:9:36|0:9:42|Xiong Dun's boss was touching up her makeup while getting angry. Xiong Dun kept his head down, doodling on a notebook.
0:10:22|0:10:26|[Xiong Dun] angrily tried to flip the table, but the conference table remained unmoved.
0:10:26|0:10:33|Colleagues around couldn't help but cover their mouths and chuckle, leaving the boss speechless with anger. [Xiong Dun] felt extremely embarrassed, kicked the chair away, and walked out.
0:10:38|0:10:43|Halfway there, [Xiong Dun] suddenly stopped, a wicked expression on her face. She licked her thumb and headed straight for her boss.
0:10:43|0:10:52|She grabbed her boss's chin and rubbed it hard. A mole suddenly appeared on the boss's chin, looking around in panic. [Xiong Dun] smirked, satisfied, and turned away.
0:10:54|0:11:9|[Xiong Dun] ordered a table full of delicious food, eating the meat in her hands hungrily, trying to forget about the shadow of losing her job. Suddenly, her boyfriend [Xiao Xia] appeared at the entrance of the restaurant.
0:11:21|0:11:29|Xiong Dun, who was still in a daze, suddenly panicked. She dropped the bone in her hand, grabbed her bag, and ran off. After running a few steps, she realized she had forgotten her phone.
0:11:31|0:11:39|[Xiong Dun] had nowhere to go, so he simply hid under the table. The waiter took away the unfinished meal of [Xiong Dun].
0:11:39|0:11:46|The girl took the menu handed by Xiao Chuan and flipped through it. [Xiong Dun] suddenly realized that her scarf was still on the bench, so she reached out to grab it.
0:11:47|0:11:54|She quickly pulled the scarf over and accidentally touched the girl's leg.
0:12:9|0:12:13|Xiong Dun's phone ringtone gave away her location, causing her to panic for a moment.
0:12:23|0:12:30|[Xiong Dun] lifted the table over her head, blocking her face, not wanting to be discovered. She frantically felt for the direction, trying to escape forward, only to be blocked by the glass door.
0:12:30|0:12:32|The table was hit and fell to the ground.
0:12:32|0:12:40|[Xiong Dun] rushed out of the door, with Xiaochuan anxiously calling out to her from behind. However, no matter how Xiaochuan shouted, [Xiong Dun] refused to look back.
0:12:40|0:12:46|She flicked the scarf around her neck backwards, pretending to stride forward carefreely, while her mood plummeted.
0:12:46|0:12:54|The cold atmosphere turned the surrounding environment into a snowy landscape. The tall buildings around her world were gradually surrounded by ice.
0:12:54|0:13:2|The trash cans and fire hydrants on the roadside were not spared. The billboards on the tall buildings all turned into photos of Xiao Chuan and [Xiong Dun], and in the end, they were slowly engulfed by the ice.
0:13:2|0:13:9|A boy skateboarding past [Xiong Dun] suddenly freezes into a sculpture suspended in mid-air.
0:13:9|0:13:16|The inside of the mall was already a snowy world, with shoppers gradually being wrapped in ice. A newspaper was blown by the wind and flew past from the side.
0:13:16|0:13:22|Passing by [Xiong Dun], a photo of him and Xiao Chuan printed on it. Instantly frozen in place.
0:13:22|0:13:28|A person fell on the street, their coffee and newspaper flying out of their hands, but frozen in place by ice at the roadside.
0:13:28|0:13:34|[Xiong Dun] walked forward like an Ice Queen, freezing everything around her slowly.
0:13:34|0:13:49|The ice crackled, [Xiong Dun] stopped, her face expressionless. She looked up and saw the buildings around her covered in snow, the sky turned cold grey. The path she walked on instantly turned into ice.
0:13:49|0:13:58|At that moment, the whole world was frozen. [Xiong Dun], who was unemployed and heartbroken, felt just like this cold icy world.
0:13:58|0:14:4|At night, Xiong Dun did not return home.
0:14:16|0:14:20|[Xiong Dun] sat on a bench by the street, listening to the voices of his friends.
0:14:20|0:14:28|With a pout and red eyes full of grievances, she stubbornly held back her tears. At that moment, her phone rang. She lowered her head to see it was a call from her mother.
0:14:28|0:14:37|She placed her hand on the receiver button and took a deep breath.
0:15:34|0:15:42|[Xiong Dun] didn't want to worry his parents, so he lied without a trace. After hanging up the phone, the suspended heart also relaxed. As night fell,
0:15:42|0:15:51|The shops behind [Xiong Dun] lit up with lights, bustling with people, casting a contrast to [Xiong Dun]'s lonely figure. She sighed and swallowed back her sadness.
0:15:51|0:15:56|The scene cuts to [Xiong Dun] stepping out of the elevator, looking down to fish out his keys while glancing towards the door.
0:15:56|0:16:3|A sticky note on the door reads "Meet at the usual place." When she returned home, the lights suddenly turned on.
0:16:35|0:16:44|In front of [Xiong Dun] was a dartboard with a photo of Xiao Chuan on it. She turned around and glared at the three people, asking.
0:16:58|0:17:3|[Xiong Dun] threw a dart while speaking.
0:17:54|0:18:2|[Xiong Dun] opened the red envelope with joy on her face, only to find a stack of lottery tickets inside, her expression immediately changed.
0:18:34|0:18:38|The four of them stood up simultaneously, raised their glasses, and drank in unison.
0:18:38|0:18:42|[Xiong Dun] suddenly put down the food in his hand and ran towards the rooftop.
0:18:42|0:18:48|She pushed open the glass door leading to the rooftop, where four people were leaning over the edge, shouting loudly into the distance.
0:19:2|0:19:9|Four people are playing wildly on the rooftop, spraying champagne on each other.
0:19:9|0:19:18|Even the birthday cake is used as a weapon, with everyone's faces covered in cream. The scene shifts, and [Xiong Dun] carefully unravels a scarf knitted from wool.
0:19:30|0:19:37|[Xiong Dun] couldn't help but recall the painful memory of breaking up, as her first boyfriend pointed at the plain-dressed [Xiong Dun].
0:19:51|0:19:58|She dressed herself up as an artistic girl again, but her third boyfriend chose a tall stewardess.
0:20:6|0:20:13|[Xiong Dun] ran happily towards the bedroom. Suddenly, strange noises could be heard coming from the bedroom.
0:20:19|0:20:25|Immediately, nervously looking at [Lao Zheng] and [Xiao Xia] beside him, the three of them stood up and ran towards the bedroom.
0:20:25|0:20:33|[ Xiong Dun ] is seen lying flat on the ground. The screen goes black, and then,
0:20:33|0:20:42|[Xiong Dun] lies on the hospital bed with an oxygen mask on. She tightly closes her eyes, but soon slowly opens them to find herself in the hospital.
0:20:42|0:20:51|The sunlight shone on her face, the surroundings unusually quiet, only the sound of machines operating and water dripping. She took off the oxygen mask and sat up.
0:20:51|0:20:56|Looking around in confusion, she realized that besides herself, there was no one else around.
0:20:56|0:21:3|She got up and walked out of the ward, and what caught her eye was a dilapidated corridor, with eerie lights flickering in the dimly lit hallway.
0:21:3|0:21:9|Her gaze fell on the anti-theft door not far away. The door was prominently marked with the warning, "Danger, do not approach."
0:21:9|0:21:17|In bold red letters, Xiong Dun, refusing to give up, bravely moves forward step by step, surrounded by dilapidated facilities.
0:21:17|0:21:25|Telecommunication cables were tangled messily. In the corridor, eerie singing could be heard. She stood still, staring intently at the security door not far away. At this moment,
0:21:25|0:21:33|Outside the door, several zombies with gaping mouths suddenly appeared. The zombies, through the glass, spotted [Xiong Dun] not far away and began to fiercely pound on the door.
0:21:33|0:21:38|[Xiong Dun] retreated in horror, but before he could take a few steps back, the zombies broke through the door blocked by the baseball bat.
0:21:38|0:21:58|Before long, hordes of zombies poured in from the doorway. However, Xiong Dun was already scared stiff, only retreating backwards. He accidentally stepped on a belt, causing the metal on it to make a noise, attracting the attention of the zombie horde. They suddenly started rushing towards Xiong Dun frantically. Instead of running away, Xiong Dun stood still, the fear on his face disappearing in an instant, replaced by a resolute and fierce look in his eyes.
0:21:58|0:22:4|She kicked the belt on the ground with her foot, tied it around her waist, and had two pistols tied around her waist.
0:22:4|0:22:10|She grabbed a piece of cloth and tied it around her shoulders as a cape, quickly pulled out a gun, and shot at the approaching zombies.
0:22:10|0:22:19|[Xiong Dun]'s marksmanship is steady and precise, with clean and swift movements. In a moment, she has taken out many zombies. She jumps down, stepping on a zombie's shoulder, performing a magnificent spin in the air.
0:22:19|0:22:28|Riding on top of the zombie, she aimed a shot at its head. With a gun in each hand, she charged into the zombie horde, and soon ran out of bullets. Just then,
0:22:28|0:22:36|At the other end of the corridor, a large number of zombies also appeared. [Xiong Dun], however, remained calm and collected, taking out two new magazines from his waist and throwing them into the air, quickly reloading.
0:22:36|0:22:41|She pushed the gun away and spun around with her arms outstretched, shooting at the zombies on both sides, causing them to fall one after another.
0:22:41|0:22:51|[Xiong Dun] kicks a zombie away, then jumps up in place, flying onto the nearby wall. She runs forward along the wall while shooting, then performs a spin in mid-air before landing on the ground.
0:22:51|0:22:59|She looked up and saw the remaining three zombies, showing a victorious smile. She stood up to continue shooting, only to find that the bullets had run out, [Xiong Dun] clenched his fists.
0:22:59|0:23:8|Aiming at the zombie's head, she used all her strength to charge forward. At this moment, the scene shifted, and [Xiong Dun] was lying on a hospital bed in reality. She suddenly roared and sat up straight.
0:23:14|0:23:21|[Xiong Dun] slowly opened his eyes, with [Doctor Liang] wearing a mask standing by the hospital bed.
0:23:23|0:23:44|[Doctor Liang] felt the burning gaze of [Xiong Dun], so [Doctor Liang] quickly put the pen in his pocket and lowered his head to check on [Xiong Dun]'s condition.
0:23:59|0:24:4|[Xiong Dun] suddenly sat up excitedly. The smile on her face disappeared instantly as she lay back down. With the examination by [Doctor Liang],
0:24:4|0:24:10|[Xiong Dun] cried out in pain. [Lao Zheng], [Ai Mi], and [Xiao Xia] walked in.
0:24:11|0:24:17|[Lao Zheng] is teasing [Xiong Dun] at the end of the bed, and [Xiong Dun] extends his finger, making a threatening gesture towards [Lao Zheng].
0:24:17|0:24:21|[Doctor Liang] slowly takes off his mask while looking through Xiong Dun's test results.
0:24:21|0:24:27|[Xiong Dun] stared at [Doctor Liang]'s face, his eyes devoid of focus but shining. He possessed a meticulously sculpted face.
0:24:27|0:24:35|High nose bridge and delicate lips. [Xiong Dun] was stunned. [Doctor Liang] was completely unaware of [Xiong Dun]'s gaze.
0:24:52|0:24:58|[Doctor Liang] settled everything and walked away with the list in hand, as [Xiong Dun] exclaimed excitedly.
0:25:27|0:25:34|Shortly after, [Xiong Dun] entered the room where the biopsy was being performed.
0:25:58|0:26:5|[Xiong Dun] stopped undressing and lay back. She couldn't contain her excitement.
0:26:5|0:26:14|Resting his head on his hand, lifting one foot up. Then, he lay on the bed and fixed his hair, propping his chin with his hand, lost in thought. At this moment,
0:26:14|0:26:15|The nurse walked in.
0:26:20|0:26:24|[Xiong Dun] hadn't reacted yet when he saw a white-haired, already balding [Doctor Liang] walking in.
0:26:24|0:26:32|The doctor held a huge syringe and smiled kindly at Xiong Dun. Xiong Dun widened his eyes and then fainted in fear.
0:26:32|0:26:39|After the examination, Xiong Dun slowly opened his eyes. In front of him, there was suddenly Xiao Xia holding a pen.
0:26:50|0:26:53|[Xiao Xia] smirked, revealing her missing front tooth.
0:26:53|0:26:58|[Xiong Dun] looked at [Xiao Xia] who was motionless, stood up angrily, grabbed his leg and put him down.
0:26:59|0:27:3|She got out of bed, put on her shoes, and walked out while moving her shoulders.
0:27:3|0:27:7|[Xiao Xia] sat on [Xiong Dun]'s bed, watching her walk out.
0:27:9|0:27:16|With a sinister smile on his face, [Xiong Dun] walked out of the ward, hands in his pockets, pacing in the corridor. People around him looked at [Xiong Dun] with strange eyes.
0:27:16|0:27:21|Some people even laughed out loud. [Xiong Dun] felt the strangeness of the people around him, but didn't know what had happened.
0:27:21|0:27:27|Uncomfortably scratching his head, he ran to the bathroom. In the mirror, Xiong Dun's face was covered in black watercolor pen marks.
0:27:27|0:27:33|Wearing a small beard and an eye patch, resembling a pirate, [Xiong Dun] was so angry that he huffed and puffed.
0:27:38|0:27:50|A rural man walked in, the little boy's father turned his head and greeted [Xiong Dun] expressionlessly.
0:28:8|0:28:15|[Mao Dou's Dad] turned and walked out. Seeing this, [Xiong Dun] quickly pulled [Mao Dou] in front of him and asked.
0:28:19|0:28:24|[Xiong Dun] stared at [Mao Dou], biting his lip and rolling his eyes, then his imagination ran wild.
0:28:24|0:28:34|In the imagination, [Mao Dou's Dad] stands in a dim corridor, surrounded by smoke, wearing sunglasses, with a cigarette in his mouth, holding a machine gun and continuously firing ahead.
0:28:34|0:28:38|The firepower gradually increases, continuously shooting at the camera.
0:28:40|0:28:47|[Doctor Liang] suddenly burst in.
0:29:23|0:29:35|[Doctor Liang] suppressed a smile and glanced at [Mao Dou]. [Xiong Dun] nodded obediently and watched [Doctor Liang] leave. Then he turned his head and glared at [Mao Dou] who was smirking on the side.
0:29:41|0:29:48|[Lao Zheng] and [Xiao Xia] came to see [Xiong Dun]. [Mao Dou] pointed at [Lao Zheng]'s chest, insisting that he is the older brother, which made [Lao Zheng] stand up in a hurry to prove otherwise.
0:30:8|0:30:15|[Xiao Xia], influenced by [Mao Dou], stared at [Lao Zheng] on the side. [Xiao Xia] was startled and quickly averted her gaze.
0:30:16|0:30:24|[Lao Zheng] wrapped his coat tightly. [Xiao Xia] accompanied [Mao Dou], playing on the side. In the corridor.
0:30:53|0:30:56|[Xiong Dun] watched everything from the side. He saw the woman approaching.
0:30:56|0:31:1|Hastily turned his head and averted his gaze. The woman flicked the cigarette butt into the trash can at [Xiong Dun]'s feet.
0:31:1|0:31:9|[Xiong Dun] couldn't help but be curious, but the woman gave her a disdainful look without hesitation.
0:31:12|0:31:17|[Doctor Liang] examines [Xiong Dun], all the while soothing her with a gentle tone.
0:31:17|0:31:27|[Xiong Dun] bit his hand tightly in pain, holding back tears. In the hospital room, [Mao Dou] touched [Xiong Dun]'s head.
0:31:48|0:31:56|[Xiong Dun] was touched on the wound and instinctively waved his hand towards [Mao Dou].
0:31:57|0:32:4|[Mao Dou] suddenly started to have a nosebleed, [Xiong Dun] quickly pressed the call button. [Doctor Liang] and the nurse rushed over with a gurney.
0:32:12|0:32:18|[Xiong Dun] lowered his head guiltily. He looked like a child who had done something wrong, with a worried expression as he gazed at [Mao Dou].
0:32:30|0:32:42|[Xiong Dun] 's face changed, he swallowed hard, thinking about his illness, and couldn't help but start to have wild thoughts.
0:32:51|0:32:57|With wide eyes full of fear, she fell onto the bed, her mind racing with wild thoughts as she began a new fantasy.
0:32:57|0:33:2|[Xiong Dun], wearing a wool coat and fluffy earmuffs, stood by a lake. It was snowing heavily with big snowflakes falling down.
0:33:2|0:33:8|Her face was pale, her body weak, and before long, she became too exhausted, closing her eyes and falling backwards.
0:33:8|0:33:13|But before she could fall to the ground, the scene suddenly froze, with her body suspended in mid-air.
0:33:13|0:33:22|Snowflakes falling in the air also froze, as if time had stopped. Not far away, the figure of Doctor Liang suddenly appeared, walking slowly towards Xiong Dun.
0:33:22|0:33:28|His eyes were filled with worry and reluctance. He walked forward, his eyes red, his brows furrowed tightly.
0:33:28|0:33:34|He looked at [Xiong Dun], reached out and hugged her around the waist, but [Xiong Dun] kept her eyes tightly closed, completely unaware.
0:33:34|0:33:42|[Doctor Liang] hugged [Xiong Dun] tightly, raised one arm, and cast a spell into the air. The world immediately returned to its original state, and time began to flow again.
0:33:42|0:33:48|Snowflakes began to fall again. [Xiong Dun] woke up and locked eyes with [Doctor Liang]. Speaking in Korean, [Doctor Liang] said, "
0:34:3|0:34:7|I am satisfied with a hundred, a thousand, ten thousand of them.
0:34:7|0:34:12|[Xiong Dun] was stunned, before he could answer, [Doctor Liang] slowly leaned in.
0:34:12|0:34:17|The two of them closed their eyes in unison and passionately kissed each other in the icy snow.
0:34:17|0:34:20|[Xiong Dun] is immersed in this beautiful dream and refuses to wake up.
0:34:20|0:34:28|Lying on the hospital bed with her mouth pouted, she then revealed a dreamy smile and gradually woke up. She rolled her eyes and looked to the side.
0:34:28|0:34:36|Their eyes met [Doctor Liang]'s gaze. With a furrowed brow, [Doctor Liang] looked at her with a strange expression. Around the hospital bed, there were about ten people.
0:34:36|0:34:44|[Xiong Dun] covers his face, avoiding the gaze of the crowd.
0:35:15|0:35:26|[Xiong Dun], wearing heavy makeup and a low-cut dress, walked back and forth in the hospital building. Just as she walked down the escalator, she saw [Doctor Liang] approaching with two other doctors. [Xiong Dun] gave a sly smile.
0:35:26|0:35:35|Wearing high heels and full of confidence, she walked up and pretended to pass by. [Doctor Liang], however, frowned, looked through the documents in his hand, and didn't even see [Xiong Dun].
0:35:42|0:35:53|The scene cuts to a room where Doctor Liang and another doctor are examining the patient's films. Xiong Dun, like a shadow, follows behind Doctor Liang, leaning against a table not far away, fidgeting.
0:35:53|0:35:57|[Xiong Dun] pulls out all the stops to get [Doctor Liang]'s attention.
0:35:57|0:36:6|[Doctor Liang] was so engrossed in his work that he didn't even notice [Xiong Dun] standing beside him. He turned around and walked away again, leaving [Xiong Dun] rolling his eyes in resignation, but determinedly following after him.
0:36:6|0:36:8|Doctor Liang is making rounds in the ward.
0:36:8|0:36:15|[Xiong Dun] stood outside the glass window, swaying back and forth. When the nurse saw [Xiong Dun], she quickly pulled up the curtain. At that moment, three men dressed as farmers,
0:36:15|0:36:24|Discussing in the hallway about [Doctor Liang].
0:36:28|0:36:35|[Doctor Liang] pushed open a door and walked out. [Xiong Dun] rushed forward and dragged him away.
0:36:37|0:36:44|[Doctor Liang] was startled by [Xiong Dun], who pushed open the door of a storage room and dragged [Doctor Liang] inside to hide.
0:36:56|0:37:4|Face to face, squeezed into a small storage room, they involuntarily get closer. [Xiong Dun] widens his eyes and lifts his head up.
0:37:10|0:37:18|[Xiong Dun] suddenly stopped and changed the subject. She blinked her eyes, signaling [Doctor Liang] to look.
0:37:33|0:37:39|[Doctor Liang] paused for a moment, feeling that he was not serious enough. Then he continued speaking.
0:37:48|0:37:56|Upon hearing Doctor Liang's explanation, Xiong Dun's smile disappeared instantly. Doctor Liang's expression, on the other hand, began to look unnatural and his heartbeat started to accelerate.
0:38:18|0:38:21|[Xiong Dun] didn't want to part with [Doctor Liang] yet, so he deliberately delayed the time.
0:38:21|0:38:29|Secretly burying his head on [Doctor Liang]'s shoulder, unable to help but cover his mouth and chuckle. After succeeding, [Xiong Dun] couldn't help but start to daydream again.
0:38:29|0:38:35|She fantasized that she and [Doctor Liang] were on a beach, and the crutch he was holding turned into a coconut tree.
0:38:35|0:38:43|The bright sunlight shines on their faces, casting on the beach beside. [Xiong Dun] nestles in [Doctor Liang]'s chest, shyly covering her face.
0:38:43|0:38:49|Doctor Liang looked around and rested his chin on Xiong Dun's head, extending his other arm to embrace Xiong Dun.
0:38:49|0:38:54|[Xiong Dun] placed his hand on [Doctor Liang]'s chest, closing his eyes contentedly.
0:38:54|0:38:59|[Xiong Dun] was startled by his own fart, his thoughts snapped back to reality, and the atmosphere became extremely awkward.
0:39:5|0:39:11|The two walked out, only to be tripped by the clutter on the floor. [Doctor Liang] quickly caught [Xiong Dun] who was about to fall.
0:39:55|0:39:57|[Doctor Liang] did not take the money and lowered his head in shame.
0:40:4|0:40:12|[Doctor Liang] gathered up the courage and said these words. The air suddenly quieted down. Several people fell silent, their faces filled with undeniable sadness.
0:40:21|0:40:36|Lao Cui was stunned, looking at the innocent and naive [Mao Dou], not knowing how to respond for a moment.
0:40:46|0:41:1|[Xiong Dun] half lying on the bed, holding a paintbrush and notebook in her hand, she watches the lively [Mao Dou] with a fond smile. Lao Cui looks at his son's figure and lets out a gentle sigh.
0:41:1|0:41:8|He glanced at [Xiong Dun], then quickly looked away, stood up, and slowly started packing his luggage.
0:41:17|0:41:24|Turning around and standing by the window, crying heartbreakingly, his shoulders shaking uncontrollably, he buried his head lower and lower, unable to straighten up due to the intense crying.
0:41:24|0:41:28|The sunlight streamed in from the window, casting a lonely shadow over the father.
0:41:30|0:41:37|The hospital was bustling with people coming and going, all seeking medical help. There were [Doctor Liang] and nurses hurrying around, as well as the hopeful family members of the patients.
0:41:37|0:41:42|And Lao Cui's hope was gone.
0:41:56|0:42:1|[Xiong Dun] stopped the pen she was drawing with, turned her head to look at [Mao Dou], and asked as she put down the pen.
0:42:9|0:42:19|Mao Dou looked at Xiong Dun expectantly.
0:42:19|0:42:29|[Xiong Dun] couldn't help but laugh out loud.
0:42:31|0:42:37|She tidied up the things in her hands. [Mao Dou] lay on the bed, unable to hide his joy.
0:43:26|0:43:30|[Mao Dou] listened to [Xiong Dun]'s story, suddenly felt drowsy, closed his eyes, and fell asleep.
0:43:30|0:43:45|The next day, everyone accompanied [Mao Dou] to leave the hospital. [Xiong Dun] gave [Mao Dou] a handmade flipbook, and she squatted on the ground, vividly demonstrating it to [Mao Dou].
0:44:11|0:44:16|Mao Dou patted Xiong Dun on the shoulder like a little adult, then turned around and started playing around with Xiao Xia behind him.
0:44:16|0:44:25|[Xiong Dun] turned his head and exchanged a smile with [Lao Zheng], while Lao Sun on the side shouted with a smile. Upon hearing his father's call, [Mao Dou] turned around.
0:44:33|0:44:38|[Mao Dou] happily lay on his dad's shoulder. [Xiong Dun's Mother] and the others watched [Mao Dou].
0:44:50|0:44:54|[Xiong Dun] leaned on [Lao Zheng]'s shoulder, and [Lao Zheng] comfortingly patted her back.
0:44:54|0:45:2|At night, [Doctor Liang] stood at the edge of the rooftop railing, lost in thought. [Xiong Dun], wrapped up tightly, walked past him without making a sound.
0:45:31|0:45:37|[Xiong Dun] pretended to ask casually, waiting anxiously for an answer, but [Doctor Liang] did not give her a direct response.
0:46:10|0:46:16|The two people joked around and the atmosphere became more cheerful.
0:47:19|0:47:26|She imagined giving herself a slap. The beaten [Xiong Dun] covered her face in grievance.
0:47:30|0:47:39|[Xiong Dun] was caught off guard, slowly turned his eyes and twisted his head, grimacing awkwardly, wishing he could fly away immediately. A sudden ringtone from a cellphone broke the awkward silence.
0:47:48|0:47:56|[Xiong Dun] nodded obediently and watched [Doctor Liang] leave out of the corner of her eye. She felt too embarrassed and banged her head against the nearby wall.
0:47:56|0:48:9|Then he made a gesture of shooting himself in the head with his hand, followed by a stabbing motion towards his abdomen, and finally collapsed against the wall pretending to be dead. [Doctor Liang] was nearby, watching her with a smile in his eyes.
0:48:9|0:48:17|The next day, [Xiao Xia] and [Lao Zheng] sat in [Doctor Liang]'s office.
0:48:39|0:48:45|[Lao Zheng] snatched the file from [Doctor Liang]'s hand, and the expression on [Lao Zheng]'s face was one of disbelief when he saw the results.
0:48:45|0:48:53|Sitting in the chair, unable to come to his senses for a long time. Xiao Xia saw Lao Zheng's reaction and panicked, only to see the diagnosis results written on it.
0:48:53|0:48:59|Non-Hodgkin's lymphoma. Later, the two of them found [Ai Mi] and the three of them sat in the hospital cafeteria.
0:49:32|0:49:41|[Xiao Xia] looked at [Ai Mi] who was speaking earnestly, and raised her hand again. At this moment, [Xiong Dun] suddenly walked in, and the conversation among the three came to a sudden halt.
0:49:58|0:50:4|[Xiong Dun] said casually.
0:50:4|0:50:12|Lao Zheng immediately lowered his head, avoiding Xiong Dun's gaze. Ai Mi glanced at Lao Zheng and hesitated to speak, her eyes wandering.
0:50:58|0:51:4|[Xiong Dun] clasped his hands together and closed his eyes, but [Ai Mi] and the other two were not feeling happy.
0:51:22|0:51:30|[Xiong Dun] pushed the chair away and stood up, patting [Xiao Xia] on the shoulder. She happily spread her arms, humming a song, and ran out.
0:51:30|0:51:38|Lao Zheng sighed, with Ai Mi looking worried as well.
0:51:50|0:51:57|[Xiao Xia] was caught off guard and stood there in a daze. Lao Zheng sat angrily against the backrest, and the three of them fell into silence.
0:51:57|0:52:3|In the evening, [Xiao Xia] sat on the sofa eating noodles from a lunchbox, while Lao Zheng anxiously searched for something nearby.
0:52:16|0:52:21|Lao Zheng suddenly slammed the drawer shut and sat down heavily on the floor.
0:52:30|0:52:40|Sitting at the dining table, [Ai Mi] couldn't control herself and started to cry. Lao Zheng waved his hand, trying hard to restrain his emotions.
0:52:41|0:52:46|[Xiao Xia] lowered her head, with red eyes, slurping noodles in an attempt to shake off the sorrow.
0:52:46|0:52:51|Lao Zheng continued to search for the disc, but suddenly stood up and knocked over Xiao Xia's lunchbox.
0:52:54|0:52:58|[Xiao Xia] was startled by [Lao Zheng]'s sudden movement, her hands frozen in midair.
0:52:58|0:53:9|The noodles in his mouth, not yet swallowed, he looked up at [Lao Zheng] with tears in his eyes. [Lao Zheng] looked down at [Xiao Xia], and finally, like a deflated ball, he slumped onto the sofa.
0:53:9|0:53:16|On the side, [Ai Mi] couldn't help but shed tears as well. The three of them fell into silence, and [Xiao Xia] couldn't hold back anymore, tears streaming down her face.
0:53:16|0:53:23|At this moment, [Xiong Dun] is sitting in the hospital corridor, holding a tablet in his hand with the comic strips created by [Xiong Dun].
0:53:23|0:53:31|The protagonist in the comic is wearing a patient gown, with a group of demons behind him. Unable to escape, the protagonist turns around and unleashes a burst of fire to drive away all the demons.
0:53:31|0:53:40|The next day, [Xiong Dun] sat on the toilet, searching for information on non-Hodgkin's lymphoma.
0:53:40|0:53:44|In the restroom stall, there was suddenly a commotion.
0:53:54|0:54:0|[Xiong Dun] opened the toilet door and walked out, looking curiously to the side. As she washed her hands, the person in the next stall walked out.
0:54:0|0:54:8|It turned out to be the glamorous woman who was smoking in the corridor earlier. [Xiong Dun] couldn't help but glance at her, and both reached for the hand sanitizer at the same time.
0:54:8|0:54:16|The woman turned her head, staring coldly at [Xiong Dun], who was a little scared and more like a servant, taking the initiative to help her squeeze the hand sanitizer.
0:54:44|0:54:47|[Xia Meng] hung up the phone and turned around, standing by the window.
