0:2:44|0:2:48|Shen Lian's heart tightened as he watched.
0:15:46|0:16:4|The person also fell down, watching as [Yin Cheng] ended his own life. [Shen Lian] felt a sense of chaos in his heart. Just then, [Ling Yunkai] arrived with his men. They all gathered at the railing, perhaps hoping to catch [Shen Lian] in the act of fleeing.
0:16:4|0:16:14|They watched eagerly as the boat sailed out of the bridge, [Shen Lian] sheathed his sword, while [Yin Cheng] lay on the boat, already a corpse, the two men on opposite banks gazing at each other.
0:16:14|0:16:23|[Ling Yunkai] succeeded in his scheme, while [Shen Lian] was set up and quietly took note of it.
0:16:23|0:16:40|In a small pavilion deep in the mountains and forests that day, [Shen Lian] pushed [Yin Cheng]'s birth information over. A monk named Jing Hai opened a package.
0:16:56|0:17:16|[Shen Lian] selected a painting by [Bei Zhai], which depicted a black rooster about to eat a grasshopper. Suddenly, a muffled thunder sounded in the sky, and rain poured down on the pond, getting heavier by the moment. The two did not exchange many words, as the rain in the mountains was unpredictable.
0:17:16|0:17:26|[Shen Lian] simply set off on the journey home. Along the forest path, [Shen Lian] ran a few steps and then stopped to look at the sky, touching the painting, afraid it would get wet again.
0:17:26|0:17:32|With a stretch of mountain road ahead, it seems unlikely that this painting can be preserved. He lowers his head and looks at the pond.
0:17:32|0:17:42|A figure walked into the reflection, decisively [Shen Lian], drawing his sword. But as he looked up, he realized the person approaching was a graceful woman holding an oiled-paper umbrella for him.
0:17:42|0:17:47|A slight frown in her eyes, like a lost fish or wild goose; three smiles in the mirror, shy of her own beauty.
0:17:50|0:18:16|With almond-shaped eyes and snow-like cheeks, lips as red as clouds and hair as bright as the moon, [Shen Lian] lowered his eyes and sheathed his sword, then took a closer look. His demeanor was graceful like a startled swan, majestic like a dragon. From afar, he shone like the rising sun; up close, he was radiant like a lotus in clear water after a light rain, exuding a soft and charming aura. Walking towards him, an old man in a patched robe and a bamboo hat exclaimed,
0:18:48|0:18:58|The girl, not afraid to ask back, when these words came out, [Shen Lian]'s fierce eyes, facing those tender eyes, unexpectedly lost their sharpness.
0:18:58|0:19:29|The girl, don't turn around. The thunder is rumbling, as if urging the two, [Shen Lian] looked up, and the dark clouds dispersed. Sunlight passed through and sprinkled in this mountain forest. The girl's eyes were playful, she closed the umbrella and walked towards another path. [Shen Lian] looked at her back and long hair, only then did he come to his senses. At this first sight, [Shen Lian] couldn't describe the feeling in his heart, he just felt indescribably wonderful.
0:19:29|0:19:35|A sudden rainstorm appears on one side, while on the other side it is just beginning.
0:19:35|0:19:44|Grand Eunuch [Wei Zhongxian] is fishing at the lakeside pavilion near the imperial palace, with hundreds of armored soldiers standing guard and dozens of civil officials holding documents waiting on the side.
0:20:19|0:20:29|[Lu Wenzhao] held a fish basket with a flattering look on his face, while the finely dressed [Wei Zhongxian] seemed distracted, his eyes vacant and not paying attention to the fish biting the hook.
0:20:29|0:20:50|[Lu Wenzhao] leaned forward to remind [Wei Zhongxian], who was busy with his fishing rod, struggling with the fish. But with a sudden tug, there was no response at all. Getting anxious, [Lu Wenzhao] cautiously approached the water's edge, afraid of splashing water and ruining the enjoyment of the Lord Factory Chief.
0:20:50|0:21:3|He slowly moved forward in the water, the new robe on his body seemed unimportant now, the fish caught by [Chief Zheng] was the main focus. He reached out and grabbed the fish that had already been hooked, this fish had a big head and struggled fiercely.
0:21:3|0:21:15|After a struggle, Shen Lian managed to subdue Lu Wenzhao who came down from the battlefield. Once on shore, Lu Wenzhao knelt before Chief Zheng and presented the fish to him, but Chief Zheng casually threw it away.
0:21:18|0:21:54|[Lu Wenzhao] gasped and said seriously, [Wei Zhongxian] looked empty-eyed and weak, before [Lu Wenzhao] could speak, [Chief Zheng] gave him a cold look. [Lu Wenzhao] lowered his head, dared not speak, nor did he dare to expect any tasks.
0:22:6|0:22:40|[Lu Wenzhao] immediately beamed with joy, [Chief Zheng] stood up, and the two little eunuchs behind him dragged the court robes for him through the crowd. As [Wei Zhongxian] was escorted back to the sedan chair, [Lu Wenzhao], who was still kneeling in place, caught sight of the fish and couldn't help but smile. Back at the mansion, [Lu Wenzhao] devoured the fish, then set down his chopsticks, picked up a brush, and drew a cross on [Yin Cheng]'s nameplate.
0:23:48|0:24:6|After saying that, [Shen Lian] pushed open the door of the cabin in the woods and hurried away. Although they were usually adversaries, they were now partners. The Jinyiwei were meticulous in their work, and the two of them, one in front and one behind, inadvertently blocked the entrance to the cabin. [Shen Lian] went around to the back of the house, drew his sword, pried open the window, and caught a glimpse of a figure.
0:24:10|0:24:41|Seeing [Ling Yunkai] has broken in, [Shen Lian] lurks in the room from the window. The two complement each other, one in the light and one in the dark. [Shen Lian] checks the wardrobe and bed, then crosses over to the tea table and picks up the red seal on top. Walking over, [Shen Lian] tosses the seal to [Ling Yunkai]. Hearing this, [Ling Yunkai] places the long knife on the table. Behind him stands the painter known as [Bei Zhai]. [Shen Lian] recognizes her immediately as the woman who handed him the umbrella earlier.
0:24:41|0:25:8|[Ling Yunkai] pinched [Bei Zhai]'s chin, then stamped the seal with his bad breath on her face. Mr. [Bei Zhai], who was insulted, immediately shed tears. [Ling Yunkai] held a knife to [Bei Zhai]'s neck, frightening her to shrink back and dodge. Her tender white neck was particularly alluring, and her delicate body wrapped in a light-colored dress couldn't help but tremble. [Ling Yunkai] had evil intentions.
0:25:8|0:25:22|He put away the knife, grabbed [Bei Zhai], pinched her neck and walked towards the inner room. [Bei Zhai] looked weak with tears on one side of her face and a red mark on the other, looking particularly pitiful. Her eyes, looking at [Shen Lian], were full of pleading.
0:25:32|0:25:50|[Ling Yunkai] threw him onto the bed, flipping him over. [Bei Zhai] struggled but was no match for this man. [Ling Yunkai] received a slap, then fiercely slapped back. [Shen Lian] turned away, unable to bear it.
0:25:52|0:26:7|[Bei Zhai] was about to have his flimsy clothes stripped off, a steel blade pressed against [Ling Yunkai]'s shoulder. [Ling Yunkai] turned around, dodging as he climbed off the bed, the steel blade always close to [Ling Yunkai]'s neck.
0:26:16|0:26:47|The two stood facing each other, with [Bei Zhai] struggling to sit up on the bed and looking over. [Shen Lian] gazed at her with concern. The perceptive [Ling Yunkai] noticed the clues between the two. [Shen Lian] was clearly not good at lying. [Ling Yunkai] bypassed the uneasy [Shen Lian] and patted him on the shoulder. Afraid of causing trouble, [Shen Lian] followed [Ling Yunkai] to the outer room, only to find him recording something on the Book of Impermanence. [Ling Yunkai] picked up the Book of Impermanence and began to read aloud.
0:26:52|0:26:56|[Shen Lian] raised his sword and shouted. [Ling Yunkai], who was complacent, looked up and was startled by this move.
0:26:59|0:27:19|[Ling Yunkai] grabbed the blade of [Shen Lian] and menacingly said, [Shen Lian] felt a bit guilty, as [Ling Yunkai] took the knife and threw it on the table. [Ling Yunkai] kept pressing closer, slapping [Shen Lian]'s cheek and pushing him away.
0:27:19|0:27:45|[Bei Zhai] was peeking at the door without anyone noticing. [Shen Lian] furrowed his brows and saw [Ling Yunkai] looking fearless. He realized that things might not end well, so he prepared to confront him. [Ling Yunkai] picked up the Book of Life and Death, stuffed it into his chest in front of [Shen Lian], and then arrogantly patted it through his clothes.
0:27:45|0:28:11|Outside the window, thunder and rain were raging, but the atmosphere inside the room was no less intense. [Shen Lian] stepped forward to retrieve something, only to be pushed away by [Ling Yunkai]. In the scuffle, [Ling Yunkai] landed a punch on [Shen Lian]'s face. Caught off guard, [Shen Lian] had to step back, holding his face. After a moment to collect himself, he suddenly struck back, slamming his hands down. [Ling Yunkai], not one to back down, blocked the attack with his arms, then swiftly grabbed one of [Shen Lian]'s arms and twisted him into submission.
0:28:11|0:28:23|With another kick, Shen Lian, who was just getting up, was kicked again by Ling Yunkai. Seizing the opportunity, Ling Yunkai drew out the embroidered spring knife. Seeing the opponent brandishing the icy blade, Shen Lian swiftly approached, dodging Ling Yunkai's attack, trying to pick up his own knife.
0:28:25|0:28:45|Who would have expected that [Ling Yunkai] would flick the knife into the water tank, his stabbing and slashing attacks were swift, while [Shen Lian] countered by evading and striking in one fluid motion. Seizing the opportunity, [Ling Yunkai] threw [Shen Lian] over his shoulder and attempted a fierce stab. [Shen Lian] dodged up close, using a move called "rabbit kicking the soldier" to kick him away, flipping over the table in the process, and then took the chance to catch his breath.
0:28:45|0:29:7|[Ling Yunkai] stood up and delivered a horizontal kick, [Shen Lian] somersaulted, with the thigh clamping the back of the knife, snatching the Embroidered Spring Knife, [Shen Lian] with the ice blade in hand swiftly attacked, turning the knife to hold it against [Ling Yunkai]'s neck, [Shen Lian] gritted his teeth and punched [Ling Yunkai] away, but this guy relentlessly threw calligraphy and paintings at [Shen Lian], only to be kicked and thrown into the corner by [Shen Lian], then [Shen Lian] leaped forward and kicked.
0:29:7|0:29:15|[Ling Yunkai] dodged quickly, pulled out a dagger and aimed a kick at [Shen Lian]. [Shen Lian] dodged left and right, seized the opportunity to grab a pair of scissors. Losing control, [Ling Yunkai] fiercely stabbed, but with no technique.
0:29:15|0:29:41|[Shen Lian] picked up the scissors and stabbed, then delivered an elbow strike to the heart, sending [Ling Yunkai] flying. As [Ling Yunkai] by the water tank tried to get up, [Shen Lian] pressed him back into the water. Seeing the steel knife from before in the water, [Ling Yunkai] hesitated. [Shen Lian] released him, and [Ling Yunkai] drew the long knife from the water, slashing [Shen Lian]'s abdomen. Seizing the opportunity, he pursued, but his arm was caught by [Shen Lian], who once again pushed him back into the water.
0:29:41|0:29:52|Perhaps out of instinct, [Shen Lian] skillfully cut open the artery of [Ling Yunkai] with scissors. Even he himself was taken aback, and he quickly stepped forward to check on [Ling Yunkai]'s condition.
0:29:54|0:30:22|Seeing no response even after dragging him out, [Shen Lian] panicked. He accidentally killed [Wei Zhongxian]'s nephew. Lightning flashed across the sky at that moment, startling the onlooker [Bei Zhai], who hurriedly fled into the house. It was only then that [Shen Lian] reacted, hastily following her. However, [Bei Zhai] had already escaped through the window. Ignoring his injuries, he agilely leaped out of the window and chased after [Bei Zhai] in the muddy ground.
0:30:22|0:30:36|The wound on his abdomen was still bleeding, [Shen Lian] almost slipped and fell, he chased out of the alley holding his stomach but couldn't see [Bei Zhai]'s figure. Killing the flag officer was enough for him to drink a pot, let alone being a relative of [Wei Zhongxian], this is something that people can't bear to see.
0:30:36|0:30:44|Currently, [Shen Lian] can only take one step at a time, the next day,
0:31:13|0:31:38|In the small courtyard of [Bei Zhai], it was bustling with Jinyiwei. Faced with Commander [Lu Wenzhao], he had to tell a lie first. But as he sat dryly at the stone table, he suddenly felt a malicious gaze. The sensitive [Shen Lian] stared with his sharp eyes, while a man with his legs crossed was nibbling on snacks in the distance. When [Shen Lian] looked over, he stood up and approached with his assistant officer by his side.
0:31:38|0:31:44|[Shen Lian] had a premonition of trouble when the person sat opposite him so brazenly.
0:31:59|0:32:28|[Shen Lian] furrowed his brow and pondered for a moment, giving a look of confusion. [Shen Lian]'s disdainful appearance amused [Pei Lun], who then stood up and walked into the room. [Shen Lian] remained silent for a while before turning around, signaling the start of their confrontation.
0:32:28|0:32:35|Entering the room, [Pei Lun] pushed aside [Ling Yunkai]'s collar to inspect the wound, as [Shen Lian] answered.
0:32:39|0:32:42|[Pei Lun] looked thoughtful for a moment, then smiled.
0:32:42|0:32:53|He stood up and took out the Book of Life and Death from his bosom. A junior officer beside him bent down and offered a wolf hair brush with both hands. [Pei Lun] took the dried wolf hair brush and actually sharpened it on the junior officer's tongue.
0:32:57|0:33:15|The sergeant led the men into the room to search. [Pei Lun] gave [Shen Lian] a harmless smile, while [Pei Lun] checked the signs of fighting in the room. Suddenly, he found [Bei Zhai]'s seal on the floor beside the bed, chuckled lightly, and bent down to pick it up.
0:33:22|0:33:28|The junior officer approached and whispered a report to [Shen Lian], who impatiently responded.
0:33:37|0:33:54|[Shen Lian] recalled that after [Ling Yunkai] died, he took out the Book of Life and Death and put it into the pile of fire, burning it clean. [Shen Lian] gestured towards the ground where [Ling Yunkai] lay. [Pei Lun] chuckled lightly, but just as he was about to pick up the pen to write, he suddenly smelled a fragrance. [Shen Lian] didn't say anything, but he was greatly shocked in his heart.
0:34:38|0:34:59|In the end, staring fiercely at [Shen Lian], the situation just came to a close. [Shen Lian] walked back to his residence through the street bridge, unknowingly finding that meeting [Bei Zhai] had become the most urgent matter at hand. Just as [Shen Lian] was about to open the door, he noticed a black cat nestling at his feet. He brought the cat inside with him, and the cat happily ran around in the courtyard.
0:34:59|0:35:16|At noon, [Shen Lian] sat at the door eating pickles and steamed buns, stroking the furry cat. The cat in front of him ran towards the corridor, catching [Shen Lian]'s attention to the letter delivered by arrow. He took down the arrow, looked around, saw nothing unusual, and then opened the letter.
0:35:19|0:35:24|The Ming Code states that those who kill the Jin Yiwei are guilty of conspiracy and shall be executed along with their families. At the hour of the dog (7-9pm), at the Cloud Perch Slope in the West Mountain.
0:35:24|0:35:55|Just as [Shen Lian], who had just settled down, was about to sit down, he had to take risks again. It seemed that the only witness, [Bei Zhai], had already been controlled. At the hour of the dog, the moon shone on the Cloud Perch Slope of the West Mountain. [Shen Lian] arrived as scheduled and heard a flute playing. A figure wearing a hood sat on a strange stone in the bamboo forest, playing the flute. [Shen Lian] cautiously approached step by step with a knife in hand, carefully observing this messenger.
0:35:55|0:36:5|Upon closer inspection, it was a spirited and heroic woman. Without saying a word, she suddenly turned around, leaped over the rocks, and fled into the depths of the bamboo forest.
0:36:5|0:36:28|[Shen Lian] hurried to catch up, after all, it was rare to have news of [Bei Zhai]. No matter what, he had to meet. The two of them rushed down the bamboo forest hillside, obviously the other party was very familiar with this terrain, and quickly found the sloping slope in the forest, sitting and sliding down. This was a pre-prepared escape route. Even from a high point, [Shen Lian] could only quicken his pace. Even if there was an ambush ahead, he had to take a chance.
0:36:28|0:36:34|[Shen Lian] leaped forward with his sword and viciously struck the woman's back, the sound of metal clashing echoing through the air.
0:36:34|0:36:54|The woman stopped and reached behind for the metal shield. She took off the shield and drew a short knife from underneath, then rubbed it against the shield with force. Those who are not experts only hear the noise, while those who are skilled know the technique behind it. This sound is not from an ordinary weapon.
0:36:54|0:37:10|And behind [Shen Lian] came a middle-aged man playing with a wolf's teeth club, while a woman in green walked beside him with a sword in hand. Her hair was neatly tied behind her head, with high eyebrows and sharp features, showing no signs of weakness but a restrained heroic spirit, she was a female swordsman.
0:37:50|0:38:22|In the midst of the night wind in the forest, with a touch of heroism, the tension rises, and sinister plots brew. Amidst the glint of blades and shadows of swords, the air of solemn killing intent blooms. [Shen Lian] raises his steel sword, wiping it clean. In the dense bamboo forest, the moonlight falls gracefully on the blade. With a resolute gaze, the spirit of battle gathers in the air. The wolf-toothed club swiftly thrusts forward, [Shen Lian] sidesteps to intercept, the opponent pulls back the club to deflect the steel sword, then swiftly swings it back.
0:38:22|0:38:29|Shen Lian is smashed and thrown into a bamboo pole.
0:38:34|0:38:57|[Shen Lian] became alert and realized that the group of thieves was extraordinary. He quickly positioned his sword in front of him, but the female swordsman noticed the trick. [Shen Lian] pretended to run sideways, and as the two caught up, he turned around and attacked the female swordsman. Their weapons clashed, and the steel sword sent [Shen Lian] flying, landing beside a woman named [Ding Chong].
0:38:57|0:39:13|The iron rod came charging again, [Shen Lian] caught [Ding Chong] and took the blow for him. Seizing the opportunity, he pulled out his crossbow, ran and shot at the same time. The arrows pierced the opponent's thigh and then arm. [Shen Lian] rushed towards the female warrior, while his two disciples hurriedly reminded him.
0:39:15|0:39:32|[Shen Lian] wielded the might of ten thousand soldiers as she struck down, the female swordsman closed her eyes to heighten her senses, suddenly striking with her blade. The blades clashed, and the female swordsman swiftly pulled her blade horizontally, then flipped her wrist to strike downwards. Surprisingly, [Shen Lian]'s blade was cut in one blow. Without hesitation, she placed her blade against [Shen Lian]'s neck, revealing a confident smile.
0:39:44|0:39:55|Hearing this, the female knight put away her sword, and [Shen Lian], who was half-kneeling, then stood up.
0:39:55|0:40:1|The agreement between the two was reached, and [Shen Lian] had to take a risk in order to get [Bei Zhai] back.
0:40:1|0:40:3|Heavy guards were stationed in front of the door of the imperial archives that day.
0:40:22|0:40:30|The other party checked the identity and handed back both hands. [Shen Lian] took the token and headed straight for the table key, alarming the guards on the spot.
0:40:40|0:41:1|[Shen Lian] turned back unhappily, the approaching person was Chief Zheng of the Eastern Depot, accompanied by [Lu Wenzhao], Captain [Lu Wenzhao] gestured with his hand, [Shen Lian] tactfully made way.
0:41:23|0:41:33|[Lu Wenzhao] humbly bowed to escort, the arrogant Chief Zheng walked with his head held high, [Shen Lian] reluctantly handed over the key.
0:41:39|0:42:1|Chief Zheng walked in, and [Lu Wenzhao] turned his face full of smiles slowly. The smile on his face disappeared, replaced by a look of resentment. He walked straight out, and [Shen Lian] followed closely. [Lu Wenzhao] angrily pushed [Shen Lian].
0:42:5|0:42:31|Like a big brother, although there is dissatisfaction, at this moment still caring for [Shen Lian], deeply involved in the situation, [Shen Lian] is also feeling a bit embarrassed. In the temple, the monk serves a good meal, the young monk trembles as he presents the meal to the two Jinyiwei officials. Monk Jing Hai takes the tray, the young monk retreats fearfully. Jing Hai serves the meal to [Pei Lun], who sniffs at the vegetarian meal.
0:42:33|0:42:41|He picked up another pickled vegetable and tasted it.
0:42:41|0:42:59|In the spacious room, among a dozen people, only [Pei Lun] was making the sound of chewing while enjoying the sweetness of the vegetarian meal. He then happily shared his joy with the junior officer sitting across from him.
0:43:21|0:43:28|Jing Hai's expression changed suddenly, and he immediately became nervous.
0:43:48|0:43:58|The scribe glanced at Jing Hai, who was recording, and Pei Lun, who was eating, also stopped. Jing Hai realized he had misspoken, and the scribe looked at Pei Lun with questioning eyes.
0:44:8|0:44:34|The young officer read aloud while writing, intimidating the frail monk. Anxious Jing Hai pointed at the Book of Impermanence but dared not speak, seeking help from [Pei Lun]. [Pei Lun] set down his chopsticks, glaring displeased at the young officer. The young officer quickly lowered his head and presented the written record. [Pei Lun] snatched it, leaned back in his chair, squinted his eyes, and casually glanced over it.
0:44:35|0:44:44|One playing the good cop, one playing the bad cop, Jing Hai, who has never experienced any turbulence, suddenly felt uneasy.
0:44:46|0:45:11|[Pei Lun] tore up the transcript and threw the notebook back, the paper torn into pieces by him. [Pei Lun] took out his pipe, and the little flag beside him lit it up for him. [Pei Lun] smoked contentedly, looking at Jing Hai. At this moment, the once calm and pleasing Jing Hai was now terrified.
0:45:11|0:45:43|In the afternoon at an inn, the mysterious female warrior known as [Ding Baiying] observed the situation and closed the window. Beside her, [Bei Zhai] was arranging the thatched bed. She brought a blanket over, and after a moment of contemplation, [Ding Baiying] lowered her head. [Bei Zhai] stopped his work and sighed softly, "Unsociable" [Ding Baiying] went out the door and saw that figure.
0:45:45|0:46:18|Shen Lian hurried back home, closed the doors and windows, and pulled out a half-cut-off sword. He carefully examined the blade, then walked to the ancestral tablet in the house. Opening the long box on the table, he found a precious sword inside. He held it up with both hands, the blade and hilt cast as one, the tip of the sword shining brightly.
0:46:20|0:46:51|Now the precious sword is sheathed, the night rain has just passed, the ground is still wet, the patrolling soldiers are lined up neatly, with a solemn military appearance, conducting routine inspections around the archives. [Shen Lian], hiding behind the wall, holds a stick of agarwood, estimating the time. After speaking, [Shen Lian] pulls up his mask. The soldiers on the street gradually move away, and [Shen Lian] also puts on his backpack and starts to move. He is extremely cautious, running while observing his surroundings.
0:46:51|0:47:6|Continuing to run with a burst of energy, [Shen Lian] took a big step onto the horse hitch and leaped over the high wall. As he landed gracefully, he ran to the door, took out his tools, and pried open the door. The night fell upon this magnificent and grand attic under the bright sun.
0:47:6|0:47:11|[Shen Lian] walked quickly into the room and casually lit a stick of incense in the censer to use as a timer.
0:47:11|0:47:36|He observed the layout of the document room, slowly took off his mask, his eyes fierce and resolute. Then he took off his backpack and started pouring wine. Shen Lian, who was meticulous, poured a circle from beginning to end. After doing all this, he took out the fire starter. Just as he was about to set fire, he saw his reflection in the spilled water and suddenly remembered something.
0:47:50|0:47:58|In a moment of distraction, a spark quietly fell, and [Shen Lian] quickly reached out to catch it, when suddenly a change occurred outside the door.
0:48:2|0:48:11|Late at night, [Chief Zheng] inexplicably found himself in the archives, unaware that [Shen Lian] was searching for documents about the emperor's treasure ship.
0:48:12|0:48:26|He quickly found the record of the treasure ship construction, and began to flip through it. [Chief Zheng] also entered the gate of the document storage yard, although he did not find the scent in the corner, but this smell caught his attention.
