0:0:26|0:0:31|The family consists of thirteen members, and today is the annual New Year's Day.
0:6:48|0:6:50|Welcome, [Father] and [Mother] made an appearance.
0:6:50|0:6:55|As the sky darkens, the table in the kitchen is set with the New Year's Eve dinner prepared by [Mrs. Cheng].
0:6:55|0:7:1|[Uncle Cheng] sat alone at the table, staring blankly ahead with his eyes lowered, showing no interest in the New Year's Eve dinner.
0:7:1|0:7:10|Cheng [Father] didn't start this New Year's Eve dinner by picking up chopsticks to taste it, but by picking up a bottle of wine, filling the glasses for the two of them as he spoke.
0:7:19|0:7:30|Chen [Father] was both surprised and delighted.
0:7:30|0:7:31|The couple smiled at each other.
0:7:43|0:7:50|After a moment, the atmosphere suddenly quieted down, and the faces of the elderly couple both darkened.
0:7:50|0:7:54|To ease the awkward silence, Cheng [Father] smiled and set aside the wine.
0:8:1|0:8:1|Cheng [Mother] looks shy on her face.
0:8:26|0:8:29|Mother Cheng had a sullen face, followed closely by Father Cheng's words.
0:8:32|0:8:35|In the darkness, Cheng [Father] finishes his drink once again.
0:8:35|0:8:39|The dishes on the table seemed untouched, but Father had already downed several glasses of alcohol.
0:8:39|0:8:42|Mother Cheng watched her husband drinking alone with a heavy expression.
0:8:52|0:8:55|The wine glass was placed down, and the two of them sat in silence facing each other.
0:8:55|0:8:59|Outside the window, the colorful fireworks contrasted with the desolation of this home.
0:8:59|0:9:4|Fireworks are blooming in the sky, while inside the house, there is a silent scene of the two elderly people looking at each other.
0:9:4|0:9:7|At this moment, [Uncle Cheng] covered his stomach and let out a cold laugh.
0:9:9|0:9:17|Opening the tightly wrapped package, they found several stacks of thick banknotes inside, totaling around one hundred thousand yuan.
0:9:17|0:9:24|He took out all the banknotes with a stern attitude, [Uncle Cheng] placed the banknotes on the table, one tower, two towers, three towers.
0:9:25|0:9:29|This is all his hard-earned money from the past half year, already occupying the entire table.
0:9:30|0:9:37|[Mrs. Cheng] looked terrified and puzzled, never having seen so much money before. She suddenly felt at a loss.
0:9:37|0:9:42|[Uncle Cheng] holds a stack of banknotes in his hand, with a contemptuous look, as if he doesn't consider the money as money.
0:9:42|0:9:50|He smiled warmly, and [Mrs. Cheng] remained silent beside him as he pushed all the money directly in front of her.
0:9:50|0:9:54|A pair of hands with calluses, showing the signs of years of weathering.
0:9:54|0:9:57|Father Cheng noticed the dilemma on his wife's face and spoke up.
0:10:0|0:10:12|This time, Cheng's [Mother] couldn't hold back anymore. Her brows furrowed tightly, and a tear suddenly flashed in her eyes. The skin, weathered by years of wind and sun, was lined with wrinkles, and her sagging cheeks formed distinct smile lines.
0:10:12|0:10:16|Facing this situation, she choked up and managed to squeeze out a few words.
0:10:26|0:10:31|As soon as the words fell, she began to cry loudly, wiping away a few tears with one hand covering her face.
0:10:31|0:10:37|Perhaps thinking of being alone in the house for most of the year, now finally seeing a glimmer of hope.
0:10:37|0:10:39|Seeing her like this, Cheng [Father] comforted her softly.
0:10:46|0:10:51|Mother Cheng's chin slightly tucked in at this moment, and her sense of grievance reached its peak in an instant.
0:11:1|0:11:5|The couple remained silent, but their hearts were as clear as a mirror.
0:11:5|0:11:12|Cheng [Father] took out a matchbox to light a cigarette, while the steam rising from the burning firewood behind him continued to surge in the dark.
0:11:12|0:11:20|With a flick and a puff, the smooth and continuous movements are no different from an old smoker, the drifting smoke rings floating in the air, [Mrs. Cheng]'s face slowly becoming blurred.
0:11:21|0:11:26|In the midst of the swirling smoke, tears streamed down [Mother Cheng]'s face, her brows furrowed in anguish.
0:11:26|0:11:27|Revealing pain and amnesia.
0:11:27|0:11:30|So, [Uncle Cheng] gestured for him to also take a sip.
0:11:30|0:11:33|[Mrs. Cheng] took the cigarette and skillfully blew out smoke rings.
0:11:33|0:11:38|Uncle Cheng asked, and Aunt Cheng nodded carefully.
0:11:44|0:11:48|He saw only a few circles of smoke lingering, and handed the cigarette back to [Uncle Cheng].
0:11:48|0:11:51|At this moment, [Uncle Cheng] appears profound and serene.
0:11:51|0:11:55|Before long, a sentence brought the two back from their fantasy to reality.
0:12:3|0:12:11|[Mrs. Cheng] looked fearful and conflicted, avoiding her husband's gaze, while [Mr. Cheng] remained silent, just taking a deep drag of his cigarette.
0:12:14|0:12:25|At this moment, firecrackers and the noise of children could be heard outside the window. In the rural northeast, they would also smash a bowl filled with coins, symbolizing peace and prosperity. The children would then rush to grab the coins.
0:12:25|0:12:37|However, the hustle and bustle outside the window seemed unrelated to [Father] and [Mother]. Inside their own home, [Big Brother] was helping [Sister-in-law] with cupping therapy. Perhaps due to the biting cold, [Sister-in-law]'s rheumatism acted up again, as she was seen wrapping her exposed body with a blanket.
0:12:38|0:12:44|[Big Brother] lit the cotton ball and quickly pulled the can out of his back, forming craters of various sizes in no time.
0:12:52|0:12:56|While speaking, he doesn't forget to tap the fire pot and check it.
0:12:57|0:13:8|[Sister-in-law]'s helpless response made [Big Brother] look even more guilty, after all, it was his departure that left all the heavy burden on [Sister-in-law] alone.
0:13:8|0:13:16|Perhaps due to the tacit understanding between husband and wife, [Sister-in-law] sensed his self-blame. He slightly turned his head to signal [Big Brother] that everything would be fine.
0:13:17|0:13:24|Shortly after, [Big Brother] covered [Sister-in-law] with a blanket, and the two of them affectionately leaned on each other, their eyes filled with tenderness and sorrow.
0:13:24|0:13:29|Big Brother's forehead was creased with lines, while outside the window, the festive atmosphere was strong.
0:13:29|0:13:35|[Big Brother] invited [Sister-in-law] to go out together, so [Sister-in-law] reluctantly walked out onto the street.
0:13:35|0:13:39|Everywhere you look, there are scenes of children happily playing with fireworks.
0:14:9|0:14:11|On the road, they encountered a young man selling fireworks.
0:14:43|0:14:49|A group of spirited children surrounded the open space, all waiting for the centerpiece firework to make its grand entrance.
0:14:49|0:14:55|[Father] stood in the center of the crowd, fireworks lighting up the sky, at this moment he was the most eye-catching.
0:14:55|0:14:58|Just as the fireworks were lit, the children all jumped up excitedly.
0:15:4|0:15:11|As the fireworks faded away and the children's cheers gradually dissipated, the next morning arrived in an instant.
0:15:11|0:15:24|The first light of dawn brought this small town closer and farther away, the sky no longer so clear, with a thin mist enveloping the ever-changing tree trunks. Through the cracks between the mist, the mountains, forests, and buildings only revealed a faint sunlight.
0:15:25|0:15:39|There was no festive atmosphere like during the New Year, no lively exchanges and heated arguments. Outside, a thick layer of ice had formed, serving as a natural refrigerator. At the entrance of the [Cheng Family], neatly arranged cured meat hung conspicuously.
0:15:39|0:15:48|In the house, [Mother] is busy making dumplings, rolling out the dough, preparing the ingredients, and mixing the meat filling. These complex operations and procedures require time to accumulate and settle.
0:15:48|0:16:0|The rolled dumpling skin is as thin as a cicada's wings, gently wrapping the meat filling inside. Use a little water on the edge of the dumpling skin to stick it together, carefully pinching with moderate force to form a beautiful round shape.
0:16:0|0:16:5|At this moment, [Father] was smoking a cigarette, watching [Mother] busy around tirelessly.
0:16:16|0:16:20|Uncle Cheng took a puff of his cigarette and chatted with his children.
0:16:54|0:17:3|Yes, as soon as you planned for me, the first figure returning home appeared on the hillside in front of the house.
0:17:3|0:17:7|Second Son [Cheng Yuan] and his new girlfriend [Tian Ge] were the first to return home.
0:17:7|0:17:12|[Cheng Yuan] was admitted to the graduate school in Beijing, and this time he brought his girlfriend home for the Chinese New Year.
0:17:12|0:17:20|On the wide ten-mile long street, [Father] and [Mother] sat behind the carriage, not far from the hillside, was the newly built villa of the [Cheng Family].
0:17:20|0:17:23|[Cheng Yuan] pointed in the direction of the house, smugly telling [Tian Ge].
0:17:36|0:17:44|[Tian Ge] is dressed very stylishly, wearing a mink fur hat and holding the latest model camera, taking photos of a villa not far away.
0:17:44|0:17:50|[Tian Ge] is full of smiles and anticipation, [Cheng Yuan] sees the newly renovated home, which is obviously more magnificent than before.
0:17:50|0:18:1|He couldn't wait to show his girlfriend around his new home, urging the coachman on. The horse galloped faster and faster, stumbling along the way, and soon the carriage arrived at the entrance of the new villa.
0:18:9|0:18:13|In the room at this moment, the silent elderly couple heard the voice of [Cheng Yuan].
0:18:16|0:18:21|Looking in the direction of the voice, [Uncle Cheng], who said not to come back, is more excited at this moment than anyone else.
0:18:21|0:18:25|[Mrs. Cheng] in her apron, immediately got up to greet the first son who came home.
0:18:45|0:18:54|Uncle Cheng turned his head to the side, with a look of resistance on his face, pursing his lips and looking a bit embarrassed. Tian Ge took a photo of them, then straightened his hat and paid New Year's respects to the elderly couple.
0:19:24|0:19:29|[Mrs. Cheng] enters the room with [Tian Ge], and [Mrs. Cheng] begins psychological negotiations.
0:20:2|0:20:3|The two walked down the hallway.
0:20:28|0:20:32|[Mrs. Cheng] is kind and gentle, but [Brother Tian] has been eyeing [Cheng Yun]'s family all along.
0:20:55|0:20:57|[Cheng Yuan] pulled Mother aside and asked quietly.
0:21:55|0:21:59|[Cheng Yuan] closed the door at this moment to prevent Father from hearing the conversation between the two.
0:22:25|0:22:40|Mrs. Cheng went back to the room, Mr. Cheng felt relieved. She knew that he must be going to persuade Mr. Cheng, so she turned around and hugged Brother Tian tightly.
0:22:40|0:22:49|[Mrs. Cheng] lit a pipe, only to have it extinguished by [Mr. Cheng], outside the door were the joyful voices of the young couple, while inside the house [the elderly Cheng couple] were filled with worries.
0:22:49|0:22:53|At that moment, [Tian Ge] walked into the room carrying a mattress, with a smile on his face.
0:23:16|0:23:18|[Tian Ge] helped [Cheng Yuan] lay out the mattress.
0:23:37|0:23:41|Saying that, [Father] helped him onto the bed and urged him.
0:23:41|0:23:44|[Uncle Cheng] leaned to one side, took a step, and lay down carefully.
0:23:48|0:23:58|[Susu's Mother]'s feeling penetrated deep into [Cheng Uncle]'s marrow. He stuck his head out and carefully observed this mattress. This wonderful feeling got him excited, and he chuckled with [Cheng Yuan].
0:24:55|0:25:2|[Cheng Yuan] shifted the gear to a higher position, catching [Mother] off guard and almost causing her to fall off the bed. Afterwards, [Mother] took out some snacks to treat [Tian Ge].
0:25:23|0:25:29|When it came to this point, [Father] took a puff of his cigarette, and smoke came out of his nose as he began to interrogate the young couple.
0:25:48|0:25:51|Uncle Cheng immediately showed confusion and puzzlement.
0:25:52|0:25:58|Upon hearing this, [Big Brother] felt a bit embarrassed, then shifted his gaze to [Cheng Yuan], talking about his own family.
0:26:25|0:26:25|When this was said,
0:26:25|0:26:39|The atmosphere instantly dropped to freezing point, [Sister-in-law] dared not speak, clearly looking towards [Big Brother], [Cheng Yuan]'s face was filled with tension and anticipation, while [Big Brother] could only casually flick the cigarette ash, everyone was waiting for him to speak.
0:26:39|0:26:44|He stood up, put out the cigarette, and as he left the kang, he didn't forget to kick [Cheng Yuan].
0:26:44|0:26:52|[Cheng Yuan] seemed to understand Father's intention, raised his head, and asked tentatively again. [Big Brother] impatiently replied, "What do you want?"
0:27:4|0:27:7|The Mother then ruthlessly closed the door.
0:27:7|0:27:11|At that time, [Big Sister] Cheng Rong's family was also preparing to set off.
0:27:11|0:27:21|[Second Sister's Husband] Ding Tu is a middle-aged bald man. Cheng Rong picks up a wig and puts it on Ding Tu's head. In the mirror, his wife's expression looks vague. Ding Tu scolds him.
0:27:21|0:27:33|Cheng Rong hesitated to speak, just continued combing his hair. Ding Tu glanced at him, Cheng Rong didn't answer, then forced a bitter smile, which made Ding Tu even more impatient.
0:27:40|0:27:44|Later, Cheng Rong and Ding Tu were stuck in heavy traffic on their way to [Father]'s house.
0:27:44|0:27:53|It turned out that they encountered a folk spontaneously formed drum team, a group of people dressed in various ancient costumes, waving fans, carrying lanterns, carrying burdens, and swinging hand frames.
0:27:53|0:28:0|The whole street was crowded with people, all common folks standing by to watch, after all, this was a rare lively scene of the year.
0:28:0|0:28:6|The gongs and drums are loud, firecrackers are popping, and [Father] and [Mother] are singing and dancing, along with a group of actors on stilts.
0:28:6|0:28:11|Stilt performers, each holding a fan, dance on the street after getting on stilts.
0:28:11|0:28:27|Not far away, Cheng Jia's [Big Brother] Cheng Zhi was also attracted over, along with his son [Younger Son] Nao Nao.
0:28:27|0:28:28|Cheng [Big Brother] happened to be out.
0:28:45|0:28:53|He saw [Nao Nao] and waved to him.
0:28:53|0:29:0|In the stilts team, it's really hard to find the other side. Facing the giants who are two to three meters tall, Cheng [Big Brother] still has to pass through them to find Nao Nao.
0:29:0|0:29:11|Cheng [Big Brother] could only pass through under the stilts, which were a pile of long wooden sticks. He even started dancing to the cheerful music, feeling no danger at all, just like a mischievous old child.
0:29:11|0:29:17|Finally reunited with Naonao after passing through the crowd, the doting Cheng [Big Brother] didn't forget to buy gifts for Naonao.
0:29:22|0:29:24|Nana leaned in close to his ear.
0:29:30|0:29:32|Sister-in-law spoke sincerely.
0:29:41|0:29:47|Turning around, at the back of the line is [Wang Mei], the wife of Cheng Zhi, a burly and fierce-looking woman.
0:29:47|0:29:51|Uncle Cheng lost interest all of a sudden, picked up his grandson, and walked back home across the bridge.
0:29:51|0:29:55|Nana sat on Father's shoulders, dancing to the rhythm of the Takahashi team.
0:29:55|0:29:59|The grandfather and grandson looked up and could see the makeup on the face of the actor Gao Qiao.
0:30:0|0:30:4|They immediately blended into the crowd and started swaying together.
0:30:4|0:30:9|The child who just said that his mother wouldn't let him go to his grandfather's house has now completely forgotten about it.
0:30:9|0:30:14|Uncle Cheng's face, which had always been stern, finally broke into a smile. Not far away, Cheng Yuan and [Mrs. Cheng] were standing.
0:30:15|0:30:22|Uncle Cheng is interacting with the actors, with a round and fair face, clear and bright eyes showing curiosity about things.
0:30:22|0:30:31|Grandfather and grandson were soon surrounded by the Takahashi team. [Mrs. Cheng] stood on the side, watching with great interest, hands clasped, brushing away the unhappiness of her children missing the New Year's appointment.
0:30:31|0:30:36|Tian Ge also joined them, casually picking up the camera and starting to operate it, while also picking up a fan to interact with them.
0:30:50|0:30:54|Cheng [Mother] covered her mouth, laughing heartily.
0:30:54|0:30:58|At this moment, the fierce and evil Wang Mei is planning to intercept Cheng Zhi on his way to visit the family.
0:30:58|0:31:5|He followed all the way and finally caught up with [Cheng Zhi].
0:31:18|0:31:23|Chengzhi and [Wang Mei] are riding their bicycles back.
0:31:23|0:31:25|At this moment, [Nao Nao] is learning to ride a bicycle.
0:31:44|0:31:52|[Mrs. Cheng] complained with a sense of grievance, but could only swallow her anger, because at this moment [Wang Mei] was approaching them.
0:32:10|0:32:22|[Madame Cheng] was disheveled in the wind, [Mr. Cheng] had long disappeared, and behind them, [Wang Mei] was staring at them intently, with a contemptuous and angry expression on her face, then she gave [Cheng Zhi] a shove.
0:32:27|0:32:33|After finishing speaking, [Cheng Zhi] could only timidly follow him and continue on the way to find his parents-in-law.
0:32:33|0:32:39|[Wang Mei] clung to [Cheng Zhi] all the way, while also being affectionate, which really puzzled people.
0:32:39|0:32:43|He came up behind [Second Brother and Second Sister-in-law], reluctantly speaking.
0:32:57|0:32:59|Nana mistakenly thought that it was [Wang Mei] who wanted to take her home.
0:33:29|0:33:32|As soon as the words fell, Father turned the car around and headed home without looking back.
0:33:32|0:33:35|Shortly after, [Big Brother] and his family arrived.
0:33:35|0:33:42|In the car, [Sister-in-law] was anxiously thinking about something, when her husband [Big Brother] spoke up.
0:33:42|0:33:46|Halfway, they met [Second Brother] and [Second Brother's Friend], and [Big Brother] immediately asked the driver to stop the car.
0:33:49|0:33:52|They got off the car and warmly greeted each other.
0:34:51|0:34:58|At the end of the conversation, [Big Brother] still held onto [Second Brother]'s hand for a long time, and only got on the car and left after being urged by [Second Brother's Friend].
0:35:7|0:35:21|While walking, he waved his hand, and after the hustle and bustle of the car passed, the film of [Big Brother]'s family, starring [Younger Son] Cheng Yong, had just ended. The staff were urging the last remaining audience members to leave.
0:35:21|0:35:26|That's Younger Son Cheng Yong and his girlfriend Younger Son's Girlfriend.
0:35:35|0:35:40|Coming out of the cinema, [Younger Son's Girlfriend] was still half asleep, in a daze.
0:35:40|0:35:43|Cheng Yong zips up his jacket while holding onto [Xiao Feng].
0:35:43|0:35:54|[Xiao Feng] yawned deeply and lazily leaned against Cheng Yong.
0:35:54|0:35:56|Cheng Yong took the hat and the two of them got into the car.
0:35:56|0:36:1|At the gate of the Cheng family, two women were shoveling snow into a snow pile, which is a natural refrigerator unique to Northeast China.
0:36:4|0:36:14|Mrs. Cheng patted her pants leg as she spoke, and [Wang Mei] wanted to help support her and continue to flatter her.
0:37:34|0:37:43|Mother's words struck Cheng Rong's heart, and his expression began to look aggrieved.
0:37:43|0:37:55|Entered the room, [Mother] led him back to the room to sit down, intending to question him thoroughly.
0:37:55|0:38:1|Mrs. Cheng put away the wine, only to find that Mr. Cheng's hands were unusually cold, which may be a sign of physical weakness.
0:38:27|0:38:33|[Wang Mei] seemed to know Ding Tu's secrets, making Ding Tu flustered. [Wang Mei]'s expression became even more animated.
0:38:42|0:38:49|[Mrs. Cheng] is inviting [Cheng Rong] to experience the massage parlor. She gestures for [Cheng Rong] to come closer, and [Cheng Rong] smiles and politely declines.
0:38:49|0:38:53|Unexpectedly, the conversation from the neighboring kitchen reached his ears.
0:40:0|0:40:17|Ding Tu gestured to [Cheng Rong] when he wasn't paying attention, signaling him not to speak out of turn.
0:40:17|0:40:23|Hearing this, [Wang Mei] felt jealous and started a fight with her husband [Cheng Zhi], snatching the book from his hand.
0:40:30|0:40:33|On the other side, [Uncle Cheng] and [Naonao] are skiing, having a great time.
0:40:50|0:40:54|The grandfather and grandson take big strides on the snowy ground, enjoying the sense of freedom between heaven and earth.
0:40:54|0:41:2|At this moment, [Cheng Yong] and [Xiao Feng] were dozing off in the car, which happened to be parked in front of the [Cheng family] house. They coincidentally met [Uncle Cheng] bringing [Nao Nao] home.
0:42:44|0:42:49|[Younger Son] Cheng Yong ignored advice, so [Mother Cheng] had to lean against the window and sneak a peek inside.
0:42:49|0:42:58|[Mrs. Cheng] couldn't resist [Younger Son]'s demands, stomping her feet in frustration, then massaging her back and stretching outside the door, perhaps triggered by an old ailment.
0:42:58|0:43:1|Before leaving, he couldn't help but sneak a glance at her in the net.
0:43:1|0:43:4|Before long, Nao Nao and [Father] also returned home.
0:44:49|0:44:54|Cheng Yong got up slowly and opened the door. [Father] immediately started scolding him harshly.
0:45:24|0:45:34|Saying that, Cheng Yong rolled up his clothes and quilt and walked out, looking defiant, and still reminding Xiao Feng.
0:45:34|0:45:40|Seeing Cheng Yong leaving the room, [Father] finally walked out with relief. Back in the living room, [Mother] cautiously grabbed his arm.
0:45:45|0:45:53|After the two entered, Wang Mei sneakily peeked at the door, then pulled Big Brother [Father] Cheng Yuan behind her to whisper.
0:45:55|0:45:58|[Mother] closed the door carefully and said softly.
0:46:19|0:46:26|[Mother] watched as [Father] sat silently beside her, perhaps realizing she had touched a nerve.
0:46:26|0:46:33|Both of them fell silent for a long time. [Mother] slowly took out a pack of cigarettes from her sleeve, pulled one out, and timidly handed it to him.
0:46:33|0:46:36|Father unexpectedly faced Mother's goodwill,
0:46:39|0:46:43|Big Brother hung his head dejectedly, creating an atmosphere that sent shivers down Sister-in-law's spine.
0:46:43|0:46:46|She took out matches and a lighter, talking to herself.
0:46:52|0:47:0|Cheng [Big Brother] finally looked up at Cheng [Sister-in-law], with a frown forming a 川 character on his forehead, but Cheng [Sister-in-law] continued to calmly light a cigarette for him.
0:47:0|0:47:9|Cheng [Big Brother] took the cigarette, his eyes lowered as if hiding something, his mouth slightly twitched, looking a bit at a loss. He took a deep drag on the cigarette and slowly uttered a few words.
0:47:17|0:47:20|Ding Tu gently closed the door and asked.
0:47:52|0:47:54|He is really a skilled technician.
0:49:4|0:49:9|Sister-in-law Cheng put down the vegetables in her hand and left, Big Brother Cheng poured a glass of wine, and Ding Tu continued speaking.
0:49:11|0:49:13|Ding Tu gestured as he spoke.
0:49:28|0:49:32|Cheng [Sister-in-law] turned back at the sound, and the three of them listened as if Ding was telling a story.
0:49:44|0:49:52|The scene shifts to Qian Dachuan and their second daughter [Cheng Ping] getting ready to return to her mother's home.
0:50:16|0:50:35|The members of the construction team insisted on giving money to the couple Da Chuan, unable to resist the group, [Cheng Ping] had to get on the car. As soon as he stepped in, everyone tacitly put on helmets and started the motorcycle. In a flash, they all disappeared without a trace. After a commotion, they returned to Cheng's house. At this time, Wang Mei was gathering firewood and gossiping with Ding Tu.
0:50:40|0:50:43|Ding Tu continued to help him support the wood.
0:51:8|0:51:12|Wang Mei lifted the sawn wood and made way for him, while Bingtu gave way.
0:51:14|0:51:19|Meanwhile, Second Daughter [Cheng Ping] and Qian Dachuan's motorcycle team also arrived late.
0:51:19|0:51:24|They drove on the wide road and then reached the snow-covered hillside.
0:51:24|0:51:28|The motorcycles numbered around fifty or sixty, their roaring exhaust sounds echoing throughout the entire village.
0:51:29|0:51:34|Suddenly, Qian Dachuan's motorcycle stopped on the flat ground not far away.
0:51:34|0:51:38|After the car came to a stop, he quickly extinguished the fire, and the boss's wife [Cheng Ping] also got out of the car.
0:51:38|0:51:41|Qian Dachuan turned around, raised his hand to take off his helmet, and said.
0:52:22|0:52:26|Cheng Zhi smiled perfunctorily and continued flipping through the book in his hand.
0:52:26|0:52:30|Mother stared with wide eyes, continuing to search through Cheng Zhi's hair.
0:52:30|0:52:33|Mother's expression and tone are full of tenderness.
0:52:33|0:52:34|She asked.
0:52:43|0:52:46|Cheng Zhi completely ignored the concern of Mother Cheng.
0:52:46|0:52:47|Mother Cheng asked again.
0:53:24|0:53:27|On the other side, the dominant Wang Mei was chatting with Cheng Rong.
0:53:55|0:54:5|Saying that, Wang Mei dropped the cloth in her hand and sat down next to Cheng Rong. She was shocked to find two scars on Cheng Rong's face, so she lifted his hair to take a closer look.
0:54:5|0:54:12|Cheng Rong quickly pushed her away.
0:54:12|0:54:16|Cheng Rong felt guilty and glanced at her, but Wang Mei continued talking to herself.
0:54:20|0:54:25|Just then, [Cheng Yuan] and [Tian Ge] returned, and exchanged greetings with [Wang Mei].
0:54:55|0:55:1|At the door of the [Cheng family], [Qian Dachuan] patted [Cheng Ping]'s head, signaling him not to continue the stalemate.
0:55:10|0:55:12|Suddenly, [Chengping] froze.
0:55:12|0:55:19|It turned out that [Father] walked out of the door with [Mother] slowly, and saw their second daughter. [Mother] couldn't hold back anymore.
0:55:19|0:55:22|She pursed her lips, feeling a bit absent-minded and walking unsteadily.
0:55:22|0:55:25|From a few meters away, tears streamed down [Father]'s face.
0:55:36|0:55:44|[Mother] tightly hugged her daughter, too overwhelmed with emotion to speak clearly, only managing to utter three words with a sobbing voice.
0:55:44|0:55:52|[Qian Dachuan] stood awkwardly on the side, watching as the mother and daughter were finally reunited. The usually tough man was now too scared to say a word.
0:55:52|0:55:54|[Mrs. Cheng] lifted [Cheng Ping]'s face, but he looked towards [Da Chuan].
0:56:14|0:56:28|[Cheng Rong] and others rushed over when they heard the sound.
0:56:33|0:56:40|Mrs. Cheng remained silent, [Cheng Ping] glanced at [Qian Dachuan], and Mr. Cheng must still be sulking.
0:56:40|0:56:44|At this moment, [Big Brother] Cheng Zhi stepped forward to break the awkward silence.
0:57:8|0:57:16|[Cheng Ping] said as he walked into the room.
0:57:16|0:57:22|Uncle Cheng didn't even look back when he heard the commotion. Nao Nao had never seen Grandpa so indifferent, so she could only weakly say a sentence.
0:57:24|0:57:42|Just then, [Father] walked to the door, followed closely by [Big Brother] and [Big Sister]. Seeing no response from [Mother], he straightened his clothes, stared at [Uncle Cheng] intently, and tentatively called out.
0:57:42|0:57:48|Saying that, [Father] walked into the room, followed by [Mother] and [Ding Tu], all staring at [Second Sister] with a look of unease.
0:57:51|0:58:1|Uncle Cheng remained silent, everyone waited outside the door for him to speak. The wrinkles on his face became more defined, and Sister Chengrong couldn't bear to watch anymore.
0:58:8|0:58:10|At this moment, [Middle-aged Woman] came to find her husband.
0:58:10|0:58:13|She walked into the room and glanced back at her children.
0:58:13|0:58:18|Uncle Cheng is stubborn and cares about his reputation, and Mother Cheng knows it best.
