0:0:22|0:0:25|Night falls, and the entire town seems to fall into a deep sleep.
0:10:43|0:10:45|The man with a crooked mouth, bare-chested, smiled and answered.
0:10:54|0:10:56|The crooked-mouthed man said lewdly.
0:11:0|0:11:6|After speaking, he winked at [Wang Damao], and this little flirt came over.
0:11:11|0:11:17|[Wang Damao] said fiercely, while the crooked-mouthed man walked up behind her and placed a hand on her shoulder to comfort her.
0:11:22|0:11:27|Upon hearing this, [Wang Damao]'s expression softened and he smiled at the crooked-mouthed man.
0:11:32|0:11:39|Speak up, [Wang Damao] turned around and leaned lightly on the table, while the crooked-mouthed man hurriedly approached to show his loyalty.
0:11:39|0:11:47|[Wang Damao] pushed the crooked-mouthed man away with his hand, then lifted his foot against the crooked-mouthed man's chest.
0:11:47|0:11:54|At that moment, the door of the room suddenly swung open, and [Old K] with a gloomy face walked in with his hands behind his back, asking.
0:11:55|0:11:58|At this moment, there was no sign of Wang Damao in the room.
0:12:4|0:12:18|[Hong Tao] finished speaking and turned to leave. [Wang Damao] immediately changed his expression, looking sorrowful as he got up from the table and left the room. The man with a crooked mouth then peeked out from under the table, looking terrified.
0:12:18|0:12:27|On the other side, [Shun Zi] entered the room where the common people rested with a bag on his back. He sat silently on a chair, looking at the rows of men sleeping on the kang.
0:12:27|0:12:32|Who knew, the [commoners] who had just been sleeping suddenly surrounded them out of the blue and asked.
0:12:36|0:12:43|Shun Zi turned around in fright, he quickly lit the oil lamp, but Old K earnestly advised him.
0:13:18|0:13:27|The next day, [Wang Damao] sat in the courtyard watching the [commoners] work, while [the man with a crooked mouth] held a watermelon and attentively spoke to [Hong Tao].
0:13:28|0:13:35|[Hong Tao] smiled slightly, shyly took the watermelon handed over by [Old K], and then impatiently handed the watermelon to [Wang Damao].
0:13:37|0:13:43|[Wang Damao] took the watermelon from [Hong Tao] and then handed it to [Chun Tian] standing next to him.
0:13:45|0:13:50|[Shun Zi] watched all this in the yard, and [Chun Tian] ended up with the watermelon, melting into the ground nearby.
0:13:53|0:13:58|Shun Zi, who was still pushing the millstone, saw Chun Tian's actions and then laughed foolishly at Chun Tian.
0:13:58|0:14:8|Who knew, Hong Tao blinked in surprise when she saw Shun Zi's smile, thinking she was flirting with her, and immediately shyly threw a flirtatious glance at her.
0:14:8|0:14:11|And [Shun Zi], upon seeing this, grimaced and started working.
0:14:18|0:14:30|He pretended his eyes were uncomfortable, leaning towards [Wang Damao]. As night fell, two night lights were hung at the gate of the Wang family courtyard, and the guards were all asleep on the ground. [Wang Damao] and [Hong Tao] were also fast asleep in the room.
0:14:30|0:14:38|In the mediocre room, the crooked man and a group of mediocre people have also entered dreamland, only [Shun Zi]'s bed is empty.
0:14:38|0:14:46|The night was deep, [Shun Zi] secretly took [Chun Tian], but unexpectedly, Mr. Cat suddenly sat up from the bed as if he had a premonition.
0:14:53|0:14:57|After speaking, Wang Damao lifted the blanket, got up, and walked out of the room.
0:14:57|0:15:3|[Shun Zi] and [Chun Tian] were running in the courtyard, about to step over the threshold, but suddenly stopped.
0:15:32|0:15:37|The two hurriedly passed by [Wang Damao] and quickly headed towards the door.
0:15:37|0:15:44|[Wang Damao] suddenly spoke out to stop the two, both of whom were stunned, then turned to look at him slowly, even calmly asking.
0:15:50|0:15:53|After Mr. Wang finished speaking, he walked towards the door on his own.
0:15:53|0:15:55|[Shun Zi] and [Chun Tian] are following behind him.
0:15:58|0:16:0|He slowly turned around to face the two of them.
0:16:0|0:16:4|In a moment of anxiety, [Shun Zi] gathered up the courage to ask.
0:16:26|0:16:27|The crooked-mouthed man stopped [Wang Damao].
0:16:30|0:16:34|[Wang Damao] looked down at his bandeau top.
0:16:35|0:16:38|When they arrived at the grave, [Wang Damao] knelt down and wept bitterly.
0:16:49|0:16:53|The crying abruptly stopped, and [Wang Damao] turned to look at [Wang Damao] and the crooked-mouthed man.
0:17:13|0:17:15|Looked at [Shun Zi] and [Chun Tian] again.
0:17:18|0:17:23|[Chun Tian] only moves to another place.
0:17:23|0:17:28|The old master Wang Damao, who wanted to make a statement, couldn't help but ask.
0:17:28|0:17:45|At dawn, everyone returned to the mansion. [Shun Zi] was grinding on the millstone in the courtyard, sweating profusely. [Wang Damao] walked over with a wooden bucket, his eyes fixed on [Shun Zi]. After a while, [Wang Damao] slyly hummed, causing [Shun Zi] to stop his work and bow to him.
0:18:6|0:18:14|[Shun Zi] lowered her head and dared not look at him, while [Wang Damao] blushed and turned to walk towards the bathhouse.
0:18:16|0:18:24|After speaking, she swayed into the bathhouse, and [Shun Zi] finally looked up with a gloomy expression, then left the courtyard.
0:18:24|0:18:31|In the bathhouse, [Wang Damao] sits in a wooden tub, pouting, arching her back, lifting her leg to the edge of the tub, and crudely scrubbing her feet.
0:18:31|0:18:39|Just as she was washing vigorously, the door slowly opened. [Wang Damao], with her back to the door, stopped her hands, twisted her body slightly, and shyly said.
0:18:52|0:19:0|Thinking it was [Shun Zi] who came, but turned around to find two useless people from home, which made [Mrs. Wang] so angry that she threw a towel at them.
0:19:0|0:19:6|Wang Damao put on his clothes and walked into Chun Tian's room with an air of superiority, ignoring even Shun Zi's greeting.
0:19:6|0:19:13|She walked into the room with sharp eyes, seeing [Wang Damao] sitting next to [Chun Tian], as [Mrs. Wang] swayed gracefully and spoke.
0:19:47|0:19:52|Night falls, Wang Damao lies on a large dining table wearing only a pair of oversized underpants.
0:19:52|0:19:58|His right leg bent, left leg crossed over it, one foot raised high, as if waiting for someone to arrive.
0:19:58|0:20:15|In the courtyard, [Shun Zi] sneaked up to the wall, cautiously looking around before quickly walking to a room door. He stopped in front of it, knocked on the door, and it opened to reveal [Chun Tian]. The two cautiously walked towards the main gate.
0:20:16|0:20:27|Who knew that [Wang Damao] also walked out from the door at this time, she leisurely waved the fan, but saw [Shun Zi] and [Chun Tian] trying to escape, and quickly went forward to stop the two.
0:20:27|0:20:31|Shun Zi and Chun Tian stood still, only to hear Mrs. Wang say again.
0:20:47|0:20:50|The two turned to go to the kitchen, but heard [Wang Damao] shout again.
0:20:53|0:20:57|[Wang Damao] pushed open the kitchen door, with [Shun Zi] and [Chun Tian] following closely behind.
0:20:57|0:21:1|Three of them stood still in shock when they saw the scene inside the house.
0:21:1|0:21:6|[Fang Pian] the butler stood up immediately upon seeing the arrival, sitting cross-legged with arms raised up.
0:21:6|0:21:8|Shun Zi looked at him like this and asked.
0:21:14|0:21:24|[Wang Damao] looked around with a helpless expression on his face as he walked towards the dining table.
0:21:24|0:21:29|[Chun Tian] followed closely behind, while the butler [Fang Pian] leered at the two with a sleazy look on his face.
0:21:29|0:21:34|Later, the two sat down at the dining table, with [Shun Zi] standing on the side.
0:21:34|0:21:37|[Wang Damao] awkwardly asked,
0:21:37|0:21:41|Fang Pian, the butler, said hesitantly.
0:21:59|0:22:4|Several people stood up to leave, but unexpectedly, [Wang Damao] walked into the room and looked at them, saying.
0:22:26|0:22:33|Mrs. Wang finished speaking and walked out of the room, followed closely by [Chun Tian]. After Shun Zi finished speaking, he also left the room.
0:22:33|0:22:38|At this moment, the only one left in the room was the butler [Fang Pian], sitting at the dining table in his underwear.
0:22:49|0:22:52|[Fang Pian] the butler confronts [Shun Zi] at the table.
0:23:20|0:23:28|He pulled out the knife stuck in the table, glared fiercely at the person opposite him, and pushed the knife out.
0:23:45|0:23:49|The housekeeper snorted coldly, then stood up from his seat and walked over to [Shun Zi].
0:23:49|0:23:55|Next, he picked up a piece of paper from the table and casually grabbed a brush, writing the words "kill" on the paper.
0:23:55|0:23:59|He looked up at [Shun Zi] and handed him the pen in his hand.
0:23:59|0:24:3|Shun Zi borrowed a brush and immediately wrote the characters for Wang Damao on the paper.
0:24:3|0:24:8|The two looked at each other, and at that moment, the door was opened by someone.
0:24:13|0:24:22|The newcomer is the protagonist on paper, [Shun Zi] and [Housekeeper Fang] quickly turned around to tear back what they had just written, only to be stopped by [Wang Damao].
0:24:22|0:24:29|[Wang Damao] sauntered up to the two of them, with [Fang Pian] and [Shun Zi] staring at him, their faces covered in sweat from nervousness.
0:24:29|0:24:34|Wang Damao looked at the two of them on guard, expressionlessly picked up the paper on the table and glanced at it.
0:24:35|0:24:39|Suddenly, he frowned and looked at [Fang Pian] and [Shun Zi].
0:24:59|0:25:16|[Wang Damao] smiled happily, nodded at [Fang Pian], and quickly left the room with permission from [Fang Pian]. He closed the door, leaned against the wall, and limped out of the courtyard.
0:25:39|0:25:45|[Wang Damao] crumpled the paper he had just written on and threw it aside, then took out a new piece of paper and a pen.
0:25:45|0:25:54|Just as he was about to pick up the pen to write, he suddenly paused, then turned his head and asked [Shun Zi] beside him.
0:25:54|0:26:2|[Shun Zi] took the pen from [Wang Damao] and wrote on the paper as requested. After finishing, [Shun Zi] handed the pen back to [Wang Damao].
0:26:14|0:26:21|As soon as the words fell, the door was opened, and [Wang Damao] walked in slowly from outside, looking at the two and asking.
0:26:24|0:26:27|[Shun Zi] turned to [Wang Damao] for help.
0:26:29|0:26:36|[Wang Damao] finished speaking, turned to look at [Shun Zi], gestured for him to deal with the contents on the paper, and then left the room.
0:26:36|0:26:45|Mrs. Wang watched as [Wang Damao] left, then she stared sharply at [Shun Zi], who tried to remain calm and stared back at her.
0:26:45|0:26:51|Mrs. Wang Damao walked up to [Shun Zi] and met his defiant gaze, causing him to lower his head in submission.
0:26:53|0:26:58|Shun Zi looked at Mrs. Wang with his eyes, but his hand secretly wanted to take the paper from the table.
0:26:58|0:27:4|Who knew he was stopped by Mrs. Wang, who took the paper from his hand and looked at it. It was written "I love Mrs. Wang" on it.
0:27:20|0:27:26|Mrs. Wang smiled and neatly folded the paper, then tucked it into her chest. [Shun Zi] explained with a smile.
0:27:36|0:27:46|Mrs. Wang Damao spun around with her body leaning back, while [Shun Zi] had one hand on her shoulder and the other around her waist, the two of them looking at each other with smiles, as beautiful as a painting, for a long time.
0:28:19|0:28:27|Mrs. Wang finished speaking, looking up at [Shun Zi] with a smile, and [Shun Zi] also looked at him with a mysterious smile on his face.
0:28:27|0:28:37|The turntable on the table played melodious music, and a pair of hands opened the drawer in front of the table. The person inside took out the arsenic from the drawer, and then closed the drawer.
0:29:0|0:29:10|[Shun Zi] took the noodles, knocked on the door of [Wang Damao]'s room, walked to the desk with the noodles in his hands, then bent down and placed the noodles steadily on [Wang Damao]'s desk.
0:29:10|0:29:12|He slightly raised his body and said.
0:29:15|0:29:18|[Wang Damao] stared at [Shun Zi] in silence, not saying a word.
0:29:28|0:29:41|[Shun Zi] carried the bowl of noodles laced with poison meant for [Wang Damao] into the room of the matriarch, placing it on the table inside. However, she almost blew her cover as soon as she opened her mouth.
0:29:43|0:29:45|Mrs. Wang Damao exclaimed in surprise.
0:29:45|0:29:48|Shun Zi hesitated for a moment, then quickly tried to make up for it.
0:29:48|0:30:6|Mrs. Wang immediately smiled when she heard this, she put down the comb in her hand, then opened the drawer under the dressing table and took out a small porcelain jar of poison. With a smile, she placed it next to her face, showing it to [Shun Zi]. She stood up, took the jar of poison and walked to the table.
0:30:14|0:30:17|At the dining table, [Wang Damao] sat in the main seat.
0:30:17|0:30:22|Sitting on both sides are Mrs. Wang and [Fang Pian], the steward, each with a bowl of noodles in front of them.
0:30:22|0:30:28|The three of them stared at the noodles in front of them in silence, while [Shun Zi] stood aside nonchalantly.
0:30:28|0:30:30|Three people sat at the table with their own secrets.
0:30:30|0:30:34|[Wang Damao] first looked at [Fang Pian], then turned to look at [Hong Tao].
0:30:35|0:30:42|Then all three of them looked at [Shun Zi] at the same time, but [Shun Zi] turned his head to the side, indicating that he did not want to get involved in their grievances.
0:30:42|0:30:46|The three of them dared not act rashly. Unable to bear the atmosphere, [Wang Damao] spoke to [Fang Pian].
0:30:49|0:30:59|Master, Wang Damao did not move his chopsticks after listening, but turned his head thoughtfully towards Hong Tao, then said.
0:31:7|0:31:21|Wang Damao's gaze shifted from Mrs. Da to a bowl of noodles on the table. He picked up the chopsticks and noodles, but made no move to eat. Instead, he turned the conversation towards Fang Butler.
0:31:21|0:31:25|[Wang Damao] placed the noodles in front of [Fang Pian], who had a fake smile on his face.
0:31:30|0:31:36|[Fang Butler] couldn't maintain the fake smile on his face after hearing that, he watched as [Wang Damao] turned his head to look at the noodles on the table.
0:31:36|0:31:46|It took a while for [Shun Zi] and [Wang Damao] to pick up their noodles and chopsticks. They nervously swallowed their saliva as they watched [Fang Pian]'s actions, knowing the truth.
0:31:55|0:32:1|[Fang Butler] opened his mouth, about to put the noodles in, but quickly stopped when he heard the words.
0:32:1|0:32:8|[Fang Butler] then cast a grateful glance at her, while [Wang Damao] and [Shun Zi] both watched [Mrs. Da] for her next move.
0:32:24|0:32:41|[Wang Damao] and Mrs. Wang forced [Fang Butler] to eat noodles. [Fang Butler] looked at their serious faces, then lowered his head to look at the noodles in his hand. Determined, he was about to put the noodles into his mouth when suddenly gunshots were heard outside the door, startling everyone. All eyes turned towards the door, where two soldiers were holding rifles.
0:32:55|0:32:59|[Wang Damao], [Fang Pian], and [Shun Zi] walked over.
0:32:59|0:33:3|Mrs. Wang is hiding behind the wall.
0:33:3|0:33:10|The shorter soldier finished speaking, looked at the three in front of him, then walked up to [Wang Damao] and asked.
0:33:19|0:33:35|Soldier Jia asked Shun Zi, who nodded. Soldier Jia then asked Fang Pian and received a satisfactory answer. Soldier Jia then looked at Wang Damao and asked.
0:33:35|0:33:37|[Wang Damao] was slapped by the soldier because of his ignorance.
0:33:41|0:33:49|Soldier Ai walked up to [Shun Zi] and asked.
0:33:49|0:33:57|Then he walked slowly to [Wang Damao] and prepared to ask questions.
0:33:57|0:34:0|After hearing Wang Damao's words, Soldier Jia walked up to Shun Zi and asked.
0:34:22|0:34:26|The short official asked the three people.
0:34:26|0:34:32|[Wang Damao] and [Fang Pian] each took a step back, while the short soldier stood still, but it was [Shun Zi] in front who asked.
0:35:8|0:35:17|After speaking, the two soldiers walked towards the door, while the steward Fang sent the guests off obsequiously. Madam Wang watched everything behind the wall, and Shun Zi immediately knelt down upon hearing Wang Damao's words.
0:35:21|0:35:29|Just as [Wang Damao] raised his hand to hit [Shun Zi], the soldier who had just left kicked the door open and came back.
0:35:32|0:35:33|The short official asked [Shun Zi].
0:35:48|0:35:55|Two soldiers chased after Wang Damao and arrived at the mess hall. After a brief chase, they both stared blankly at the three bowls of noodles on the table.
0:35:55|0:36:7|The soldiers put down their guns and sat at the table. [Shun Zi], the steward, and Mrs. Wang Damao all came to the kitchen. They watched as the soldiers started to eat noodles and couldn't help but shout, startling the soldiers.
0:36:17|0:36:25|The soldiers were stunned by this roar, they didn't listen to any persuasion.
0:36:25|0:36:31|Wang Damao picked up the bowl again, and Mrs. Wang raised her hand, making a three gesture.
0:36:31|0:36:52|Two soldiers faced each other, and after speaking, they picked up the noodles to eat. The soldiers aimed their guns at them, [Wang Damao] and the others were scared stiff and didn't dare to move. The soldiers then started eating the noodles heartily, and after finishing, they prepared to leave.
0:36:52|0:36:54|Several people bowed to the soldiers.
0:37:2|0:37:14|The two soldiers had not even walked out the gate when the poison took effect. They suddenly knelt down on the ground, convulsing uncontrollably. [Wang Damao] and the others bowed halfway, quickly went forward to check. [Shun Zi] leaned in to check the soldiers' breathing and said.
0:37:17|0:37:20|There was a pause, and then he continued.
0:37:55|0:38:0|After Shun Zi finished speaking, Wang Damao and Fang Pian looked back, only to find other servants from the house behind them.
0:38:3|0:38:24|Servants holding torches, [Wang Damao] and the others looked at each other in silence. By morning, [Wang Damao] hurriedly packed some clothes, account books, and several silver dollars into a bundle, planning to run away. As he stepped out of the door, he froze in place, seeing [Fang Pian], [Shun Zi], the mistress, and [Chun Tian] standing at the doorway. Seeing his reaction, [Shun Zi] spoke up.
0:38:43|0:38:52|The words were weighty and profound, [Fang Pian] and [Shun Zi] helplessly lowered their heads, while Mrs. Wang and [Chun Tian] looked disdainful.
0:39:4|0:39:10|[Shun Zi] turned his head and looked at the big lady next to him, who twisted her body with a look of disdain.
0:39:39|0:39:44|Madam Wang interrupted Wang Damao unhappily, and Wang Damao approached her and said seriously.
0:39:57|0:40:3|[Fang Butler] hesitated for a moment, lowered his head, and [Wang Damao] walked towards the door with his luggage on his back, followed by the other four.
0:40:15|0:40:22|[Fang Butler] hesitated to shout, and when [Wang Damao] heard it, he stopped in his tracks and turned to look at him.
0:40:22|0:40:27|At this moment, [Butler Fang] hurried to [Wang Damao]'s side, and the two looked at each other.
0:40:27|0:40:30|After a while, Butler [Fang Pian] spoke up.
0:40:30|0:40:34|He reached out and straightened Wang Damao's clothes, saying tenderly.
0:40:41|0:40:46|[Fang Pian]'s words as the steward were touching, but [Wang Damao] remained ungrateful.
0:40:46|0:41:2|[Wang Damao] finished scolding the steward [Fang Pian], then turned and walked towards the door. But as soon as he reached the door, it was kicked open, and a gun was pointed at [Wang Damao]. He had to slowly step back as two soldiers entered, one of them asking him a question.
0:42:0|0:42:5|With these words, the soldiers looked at them in disbelief.
0:42:5|0:42:7|Wang Damao answers.
0:42:25|0:42:29|The soldiers, satisfied with the answer, turned and left.
0:42:29|0:42:35|Who knew they would see Mrs. Wang Damao leaning against the wall, and the two of them asked in a sly manner.
0:42:35|0:42:42|Mrs. Wang Damao said hesitantly.
0:42:42|0:42:45|[Fang Pian] the steward stood by with a blue face, while Soldier Jia asked [Chun Tian].
0:42:50|0:42:57|After speaking, the soldiers walked towards [Chun Tian].
0:42:57|0:43:9|[Shun Zi] stops the soldiers and then stands in front of the two soldiers.
0:43:9|0:43:14|The soldiers looked at [Chun Tian], then glanced at [Shun Zi] with confusion, and then asked.
0:43:18|0:43:23|The two soldiers looked at each other, then turned to the uneasy Chun Tian, while Mrs. Wang watched from the side.
0:43:23|0:43:27|Who knew, the soldiers turned their gaze towards her, raising their eyebrows slightly.
0:43:42|0:43:51|Mrs. Wang snorted coldly at these words, swaying her figure as she walked into the house, while the butler [Fang Pian] watched this scene from behind the wall, feeling very angry.
0:43:51|0:43:54|He disappeared from the screen, not knowing what he had in mind.
0:43:54|0:44:1|Two soldiers holding guns threateningly, Mrs. Wang entered the room. As she walked to the bedside, Mrs. Wang suddenly turned to look at them.
0:44:20|0:44:26|Two soldiers saw Mrs. Wang like this, both put down their guns and looked at each other, then walked towards Mrs. Wang.
0:44:33|0:44:40|The soldier turned his head in confusion and saw the big lady who appeared next to [Fang Pian] the steward.
0:44:40|0:44:46|Housekeeper Fang embraces Mrs. Damao and blows her a kiss, while [Wang Damao] watches from outside, his mouth twisted in anger.
0:44:48|0:45:0|Two soldiers watched the situation and joined forces to grab their guns. [Fang Pian] immediately pushed the big lady in his arms away, took a kitchen knife and tried to chop the hands of the two soldiers who were about to grab the guns, but was rushed by the soldiers.
0:45:0|0:45:9|Next, [Fang Butler] angrily took a kitchen knife and chopped towards the faces of the soldiers, then towards the middle of the two, followed by chopping towards the crotch and waist of the two.
0:45:10|0:45:16|The soldiers dodged one after another, and finally found the right moment to kick [Fang Pian] in the waist, sending him flying out.
0:45:16|0:45:23|The fallen [Fang Butler] didn't have time to check his own injuries. He immediately picked up the kitchen knife at hand and stood up to attack the soldiers.
0:45:23|0:45:30|Who knew, as soon as he turned around, he froze in place and dared not move, while the two soldiers had already aimed their guns at [Fang Pian]'s crotch.
0:45:40|0:45:48|Two soldiers rushed out of the door, while on the other side, Shun Zi and Chun Tian had already run out of the village, Wang Damao and others also followed and ran out of Wang's house.
0:45:48|0:45:51|The soldiers went out of the door, looked around, and said.
0:45:51|0:45:57|The soldiers rushed to chase after the people, and [Wang Damao] and others in the house also ran out to join the team chasing after [Shun Zi] and [Chun Tian].
0:46:3|0:46:14|[Shun Zi] and [Chun Tian] ran into the woods, with a large group of people chasing after them. The soldiers couldn't hold back and fired two shots at them.
0:46:14|0:46:33|The soldiers followed all the way to the snack street next to the human and heavenly realms. They passed by Pan Jinlianzi Island, and then passed four strangely dressed vendors. The four vendors stared at them with ill intentions. After the soldiers left, they rolled their eyes and left the stall, while [Shun Zi] and [Chun Tian] also peeked out from behind the stall.
0:47:30|0:47:34|[Wang Damao] led the mediocre people into the human world and heaven, followed by orders.
0:47:34|0:47:41|Under Wang Damao's command, the ordinary people ran in different directions to search. Shun Zi followed Chun Tian to the room where he used to live.
0:47:49|0:47:59|[Shun Zi] and [Chun Tian] looked at each other, then [Shun Zi] tiptoed over to the edge, slowly picked up [Chun Tian]'s father's qin, and the two of them planned to leave quickly.
0:47:59|0:48:3|Just as they were about to go downstairs, they saw [Wang Damao] looking for someone downstairs.
0:48:7|0:48:15|[Wang Damao] and the servants went upstairs together, even entered a room with [Chun Tian], then quickly closed the door and ran towards the room.
0:48:15|0:48:20|Later, [Wang Damao] and others opened the door and swaggered into the room.
0:48:29|0:48:45|Several people rushed forward and began beating the two people on the bed. While [Shun Zi] and [Chun Tian] tried to escape in the chaos, suddenly a gunshot rang out, startling everyone present. They saw a smoking hole in someone's back, then [Old K] emerged from under the blanket and shouted loudly.
0:48:52|0:49:0|The girls all ran out from heaven and earth, with [Shun Zi] and [Chun Tian] taking advantage of the chaos to run away. [Wang Damao] and the others followed behind, relentlessly chasing after them.
0:49:5|0:49:10|[Shun Zi] and [Chun Tian] were exhausted and couldn't run anymore, so they gave up escaping and rested in place.
0:49:10|0:49:13|[Wang Damao] and others caught up, panting on the side.
0:49:32|0:49:38|At this moment, [Wang Damao] in Dawang Village was still unaware of the seriousness of the situation.
0:49:38|0:49:43|He sat in the main seat of the room with the big wife, and standing beside them was the butler [Fang Pian].
0:49:43|0:49:49|After a while, [Wang Damao] began to interrogate the captured [Shun Zi] and [Chun Tian].
