0:2:50|0:2:58|The unruly steed continued to gallop forward, and the group turned towards another intersection.
0:34:40|0:34:49|On the city wall, [William] walks while looking around. Soldiers on the Vermilion Bird Tower are preparing ropes. [Female General] carries a lasso and walks towards [William], gazing at him from a distance.
0:34:50|0:35:3|[Female General] waved her hand to invite, [William] walked in confidently and climbed up the Vermilion Tower along the ladder steadily. Looking at the scenery on the platform, [William] felt awe in his heart. [Female General] walked to the side with a safety rope, and the three Vermilion Birds all put on their waist locks one after another.
0:35:5|0:35:10|[William] snorted disdainfully and looked up, only to realize that he was already dozens of feet high.
0:35:17|0:35:24|[Female General] explained, and the smiles on the faces of several female soldiers brightened even more, prompting [Female General] to smile as well.
0:35:38|0:35:46|On the towering Vermilion Bird Terrace, thick hemp ropes hung five iron wings. [William] slowly made his way around the ropes.
0:35:46|0:35:57|[Female General] followed behind with a leash in hand, nearing the end of the Iron Wing, [William] slowed down, leaning down to look below, right at the previous battlefield. [William] turned around and started walking back.
0:36:48|0:36:55|[William] frowned in thought, never having experienced such emotions before. It seemed like he had made up his mind to move forward.
0:36:55|0:37:3|Deep down, he wasn't actually afraid to leap from here, looking at the battle scars left behind that day, he understood.
0:37:19|0:37:25|General Wu, clad in red armor, is leading a team to inspect the defense works inside the city.
0:37:28|0:37:36|On a table, a small bowl bursts into bright flames, causing [William] and [Balade] to instinctively dodge. [Balade] laughs and says:
0:40:13|0:40:25|A column of imperial guards came galloping, led by [Dian Shuai], followed closely by attendants holding torches and shouting announcements. The imperial guards slowed down as they approached the body of a night watchman lying not far ahead.
0:40:25|0:40:37|[Dian Shuai] raised his hand to signal, and the imperial guards stopped steadily. [Dian Shuai] looked puzzled and said, then he waved his hand to give the order, and the imperial guards quietly dismounted.
0:40:38|0:40:44|[Dian Shuai] and [Female General] drew their swords, opened the reins, advanced in an orderly manner, and quickly formed a formation.
0:40:44|0:40:49|Contradictions form the defensive formation, with [Dian Shuai] surveying the situation through the cracks.
0:40:49|0:41:4|The body of the sentry flowed with a large amount of blood, as [Dian Shuai] led the army forward slowly. The Great Wall stood proudly under the moonlight, and as they advanced a hundred feet ahead, a ferocious monster, the Taotie, crawled forward with its terrifying fangs exposed.
0:41:8|0:41:13|At the command, the troops formed up steadily and advanced in a neat and orderly manner.
0:41:13|0:41:21|[Dian Shuai], holding a precious sword in his hand, showed his anger without being intimidating. He inadvertently noticed the danger behind him through the moonlight reflected by the sword.
0:41:21|0:41:30|Another Taotie quietly followed, waiting for an opportunity to strike. [Dian Shuai] signaled to [Female General] to be aware that the Taotie behind them was stealthily approaching.
0:41:31|0:41:46|[Female General] and [Dian Shuai] slowly crouched down, each pulling out the dagger and bayonet from their boots, staying vigilant against the Taotie's sneak attacks. [Dian Shuai] felt a lingering fear in his heart, as the Taotie quickly approached the military formation in front.
0:41:46|0:41:51|The marching squad on the main road is surrounded by enemies on both sides, with two ferocious beasts charging simultaneously.
0:41:51|0:41:59|The Female General had long been prepared to produce a short weapon to insert into his eyes, and the glutton behind was killed as soon as it took off, rushing over by inertia.
0:41:59|0:42:5|In the midst of the urgency, [Dian Shuai] pushed aside [Female General] and went straight for the Glutton, only to have half of his shoulder bitten off.
0:42:5|0:42:32|[Counselor Wang] led the troops over, and [Dian Shuai], who was on the verge of collapse, stopped the team. [Counselor Wang] rushed forward to check the situation, and [Dian Shuai] on the stretcher said, "Female General" nodded sadly.
0:42:32|0:42:41|[Dian Shuai] used his last bit of strength to pull out a military token from his waist, slowly handing over a round token with intricate patterns and embedded with gemstones.
0:43:4|0:43:10|In the distance, [William] and another person look complicated.
0:43:19|0:43:25|At that moment, the soldiers in the scene all knelt down to receive the orders, and [William] was also touched by this camaraderie.
0:43:26|0:43:32|In the coffin, [Dian Shuai] is dressed in armor with a sword, while [Female General] gently covers him with exquisite silk.
0:43:33|0:43:40|The soldiers, with solemn expressions and white silk on their heads, slowly pushed the coffin lid closed with the help of two strongmen.
0:43:41|0:43:53|At dawn on the Great Wall, the sky was not yet bright. The sound of drums pierced the morning air. Looking at the soldiers stretching for dozens of miles on the city wall, all of them wore white silk on their heads and bodies.
0:43:53|0:44:2|Warriors lit sky lanterns, and the lanterns floated out one by one. [William] and [Pero] looked in astonishment as hundreds of sky lanterns rose slowly into the sky.
0:46:36|0:46:44|[Pero] angrily said:
0:46:53|0:47:1|After saying that, [William] pushed open the door and walked in, his face hesitant, on the city wall.
0:47:7|0:47:23|In the thick fog, soldiers lined up to prepare anesthetic. The entire Great Wall was shrouded in dense fog, with iron spears faintly visible, and the distant city walls covered in clouds and mist.
0:47:23|0:47:31|The Great Wall stretches out before the still dormant dragon, with General Lin [Dian Shuai] standing by the wall in the army, looking resolute.
0:47:31|0:47:49|Female General's infantrymen carried a huge metal horn in front of the wall. The horn had a wide head like a big pot and was over 6 meters long. It took at least three people to lift the mouth of the horn. It was placed outside the city wall for eavesdropping. Surprisingly, dozens of ladders were set up underneath the horn.
0:47:51|0:47:53|The young soldier hurried to help upon hearing the words.
0:47:54|0:47:59|Commander Dian Shuai looked back at William by the rolling wheel near the city wall, William's expression was complex.
0:47:59|0:48:6|To avoid the gaze of [Dian Shuai], he lowered his head and stirred the wheel, the sound of breaking bowls attracting everyone's attention.
0:48:6|0:48:11|The young soldier looked flustered.
0:48:14|0:48:22|The young soldier's face turned ugly as he took the order and ran off. [William] looked around anxiously by the wheel, realizing that no one was paying attention to him, he turned and headed towards the weapons in the corner.
0:48:22|0:48:30|He came to the corner, picked up the arrow bag, took the hard bow, avoided the soldiers' sight, and quickly left.
0:48:30|0:48:38|On the city wall, [William] briskly walked past the disciplined Imperial Guards, soon encountering a dejected young soldier who had been sent back.
0:48:38|0:48:46|The two exchanged a glance, [William] hesitated to speak, then quickened his pace and left. Inside the stone chamber, [Balade] anxiously waited at the door.
0:49:4|0:49:10|The impatient [Pero] ignored him and quickly walked out of the room, the thick fog on the city wall had not yet dispersed.
0:49:10|0:49:16|At the end of the giant horn, [General Chen] is listening attentively with his ear tilted, while soldiers in different styles of armor are lined up.
0:49:16|0:49:25|Some are clad in heavy armor wielding long spears, some wear soft armor holding spiked shields, and there is even a female soldier in leather armor looking heroic and valiant.
0:49:25|0:49:37|Lined up with crossbowmen and trumpet troops under the wall, wearing cloaks, carrying quivers, and holding strong bows, all showing that this is an elite army.
0:49:38|0:49:51|The horn soldier in front of the wall was suddenly dragged away by the gluttonous and thrown outside the city wall. The gluttonous army, without artillery hindrance, had quietly reached the foot of the city wall under the cover of thick fog.
0:49:54|0:50:5|Iron hooks are tied to a circular ring, with the other end attached to the soldiers of the suicide squad. As the mechanism is pulled inside the wall, cracks open up on the city wall, revealing giant scissors.
0:50:10|0:50:16|The suicide squad, armed with knives and axes, with bags tied around their waists, leaped outside the city wall under the cover of arrows.
0:50:17|0:50:24|This is a pair of scissors being pushed together against the wall, wherever the scissors go, chaos and destruction follow.
0:50:24|0:50:32|The daredevil swung the axe at the glutton, the giant scissors opened and closed, limbs flying everywhere.
0:50:34|0:50:41|On the main road, [William] slowed down his pace and fell into contemplation. The brief experiences of these days had taught him a lot.
0:50:42|0:50:49|Faith, trust, and love for his country emerged in his heart, and he fell into contemplation. On the small path along the city wall,
0:51:6|0:51:18|Balade stood still, Pero turned around to look for William. On the city wall and high platform, soldiers were stirring the pulleys, pulling iron chains, and adjusting the crossbows.
0:51:20|0:51:32|Several dozen harpoon swords flew out with iron chains, drawing perfect arcs in the air. They pierced into the body of the glutton with the momentum of breaking the wind, causing the wounded glutton to howl in pain. The scene repeated itself as they shook their heads in resistance.
0:51:33|0:51:40|The thick iron chain was pulled straight, and the soldiers on the city wall exerted all their strength to hold onto the pulley without letting go.
0:51:40|0:51:45|The city's gluttonous monsters twisted their heads and pulled out harpoons with sharp teeth, assisting each other.
0:51:45|0:51:53|Biting, dragging, or pulling, [William] pulled the harpoon sword out of his companion, causing soldiers on the city wall to fall one after another.
0:51:53|0:51:59|More and more Taotie break free from their restraints, empty harpoons are thrown against the city wall.
0:52:3|0:52:13|Inside the city, [William] had a determined look in his eyes, while [Counselor Wang] became anxious. The last spear sword wobbled, and the soldiers hurried to help. On the city wall, [William] set off with weapons on his back.
0:52:13|0:52:28|The iron chains swayed, and the beast below the city struggled to break free but found it difficult to move an inch. [William] tightly gripped his bow and arrow, striding forward quickly against the crowd on both sides. The fearless city defenders on the wall never hesitated and boldly jumped down.
0:52:38|0:52:50|As the iron chains loosened, the monster below the city was able to move, its limbs trembling, the medicine starting to take effect. [William] observed the swinging of the iron chains.
0:52:59|0:53:27|The huge stone-throwing arm suddenly lifted up, and the scorching fireball whistled through the air, piercing the thick fog and smashing into the gluttonous army, creating a sea of fire. The crowd heard the iron chains swaying and banging against the wall, [William] immediately grabbed a large bundle of stones next to him and tied them around himself with a rope.
0:53:34|0:53:50|Lin [Dian Shuai] explained to [William], who nodded and took two steps back. He then leaped from the city wall with arms outstretched, grabbing onto the iron chain connecting the two Taotie, sliding down in mid-air.
0:53:53|0:54:4|The archers on the city wall passed the signal arrows to each other, with only the arrowheads of the harpoon arrows left. The signal arrows whistled out and the harpoon targets, when hit, revealed their positions with loud cries as they ran.
0:54:4|0:54:9|[William] also managed to slip out safely just as the iron chains were about to fall.
0:54:11|0:54:22|Standing still, [William] did not rush to act. Instead, he held his breath and focused on sensing the position of the surrounding gluttons. After confirming that there was no danger, he took big steps forward towards the sedated glutton.
0:54:23|0:54:40|[William] cautiously prodded the Taotie with arrows twice before bending down to tightly wrap the iron chain around it. After pulling it taut, he shook the chain to signal the soldiers on the city wall.
0:54:40|0:55:5|The soldiers moved quickly, turning the wheels to pull up the iron chains, dragging the monster outside the city slowly. Just as the sound of arrows was heard, in the moment they flew out, [William] shot an arrow at the monster, causing it to fall to the ground. Unexpectedly, another one rushed out from the side, and in a moment of urgency, a long spear pierced its eye. It turned out to be [Pero] who had arrived.
0:55:10|0:55:17|The iron chains on the city wall are still stirring, and the mist is heavy below the wall. Two people each hold a wooden axe, cautiously observing their surroundings.
0:55:24|0:55:32|Two figures twisted and threw flying axes, the two axes collided in mid-air. With a clang of arrows, the monster burst out of the mist, and [William] immediately shot three arrows in a row.
0:55:32|0:55:34|Successive hits in the eyes.
0:55:34|0:55:45|[Pero] threw the board axe upwards, [William] shot at it continuously with his bow, attracting the Taotie with sound. [Pero] took the opportunity to throw the board axe, splitting it on the head, and then the arrows shot into the Taotie's eyes.
0:55:45|0:56:9|The outer fires are getting stronger, with some monsters breaking through. [Pero] draws his twin swords, ready to fight to the death, while [William] retreats and picks up arrows, shooting towards the sky. On the city wall, [Dian Shuai] immediately understands.
0:56:10|0:56:35|Soldiers ran up with a wooden box, which turned out to be weapons made of black gunpowder, including arrows and cannons. The soldiers, in perfect formation, defended desperately against [William] and the others. The fiery Taotie charged towards them, but they dodged and lay down. A Thunderbolt Sword fell at the feet of the Taotie, exploding and shattering its body, even knocking down the two of them.
0:56:35|0:56:41|William slowly climbed up, every two steps he took, a bomb fell not far away, causing rocks to fly everywhere.
0:56:41|0:56:46|Under the tremendous impact, the two of them staggered and could only crawl towards each other.
0:56:46|0:56:52|In the smoke, the gluttonous beast attacked, but was shot by the Thunderbolt Sword as soon as it leaped up, instantly exploding into pieces of flesh.
0:56:53|0:57:1|[William] and [Pero] were also knocked down by the powerful wave of energy. As Pero struggled to get up, he leaned on his sword and managed to open a door on the city wall.
0:57:2|0:57:9|Delirious [Pero] mistook it for a gluttonous monster swinging a sword in the air, as two rows of soldiers ran out from the stone gate.
0:57:9|0:57:14|In the distance, [William] is on the verge of losing consciousness, while the artillery in the sky continues to roar.
0:57:16|0:57:25|Clusters of mushroom clouds rose in the sky, as [William] groggily saw [Pero] being rescued in the distance, finally unable to support himself and collapsing to the ground, losing consciousness.
0:57:27|0:57:37|In the gentle light, [William] slowly opened his eyes and found someone beside him. He suddenly sat up and upon closer inspection, realized it was a soldier who had been treating him.
0:57:37|0:57:45|William finally noticed Dian Shuai sitting beside him, smiling but not saying a word. After confirming it was safe, William breathed a sigh of relief and said:
0:57:54|0:58:1|Lin [Dian Shuai] looked at [William], who was bare-chested with terrifying scars on his front and back, his expression slightly changing.
