0:1:9|0:1:13|In a wide alley, the sunlight shines particularly bright on the street.
0:4:21|0:4:23|The child touches the bell hanging on the iron railing next to his mother.
0:4:28|0:4:33|The wife held the child upside down, while [Su Yumei] continued to eat from the bowl.
0:4:37|0:4:41|In the afternoon, [Li Shimin] and his father-in-law came to the square for the sacrificial ceremony.
0:4:41|0:4:45|At the altar, the wizard drops blood into the wine and drinks it all in one gulp.
0:4:45|0:4:52|Later, he raised the iron whip made by Jingde, held it high above his head, and sprayed the blood from his mouth onto the whip.
0:4:52|0:4:58|The wizard lightly brushed the iron whip with his index and middle fingers, slowly slid it down, then raised the iron whip high into the sky, reciting an incantation.
0:5:6|0:5:14|The wizard walked with big strides, turned to face the people, and watched as the wizard raised the iron whip in his hands, causing the people to kneel down and kowtow.
0:5:14|0:5:21|Yuchi Jingde and his father-in-law knelt at the front, while the others kowtowed and recited incantations.
0:5:21|0:5:25|Outside the village, thousands of horses galloped, but the people were unaware of the approaching danger.
0:5:25|0:5:30|During the ceremony, Jingde placed the iron whip into the Hall of Heavenly Kings, and his father-in-law said devoutly.
0:5:40|0:5:45|As soon as the words fell, the galloping warhorses raised a cloud of dust, casting a layer of gray over the village.
0:5:45|0:5:50|The tranquility of the village was shattered by a thousand troops and soldiers armed with swords and spears stormed in.
0:6:9|0:6:24|The clueless deaf-mute boy continued to spin his top, oblivious to the arrogant words of the invading soldiers. As the soldiers charged towards the child, he stood frozen in place, only realizing their presence when they were just one meter away from him and his mother.
0:6:24|0:6:31|In the nick of time, [Yuchi Gong] rode past and grabbed the reins, causing two soldiers to fall off their horses.
0:6:31|0:6:36|The spinning top stopped and fell to the side, while the soldier waved a spear, aiming to blind the child's eyes.
0:6:36|0:6:40|[Su Yumei] tightly grasped the spear, restraining the soldiers' movements.
0:6:41|0:6:44|The power gap is huge, the soldiers' hands are almost dislocated.
0:6:44|0:6:53|Another person stabbed towards [Su Yumei], and with a block from her left arm, the spear broke into two pieces and flew into the sky.
0:6:53|0:6:56|Immediately, [Su Yumei] forcefully pulled the soldier off the horse.
0:6:56|0:7:2|The soldier watched as the spear fell from the sky and stabbed fiercely into his own chest, causing him to lose his breath.
0:7:2|0:7:4|The mother quickly took the child to thank and left.
0:7:9|0:7:19|The soldiers panicked and fled, while the villagers reminded [Su Yumei].
0:7:19|0:7:24|In the crowd, [Su Yumei]'s wife holds her son in the wall fort, staring in shock with wide eyes.
0:7:24|0:7:27|Outside the city, soldiers on fast horses rush to report to the general.
0:7:32|0:7:44|General Yuchi Gong stopped General Lv Huxun's hand, looked fiercely at the soldier who was being carried, then mounted his horse and waved his hand to command the soldiers.
0:7:44|0:7:51|General Yuchi Gong led his elite soldiers into the village with a fierce momentum, determined to seek revenge on Yu Chi Jingde.
0:7:51|0:7:53|Father-in-law paced nervously at home, instructing Jingde Road.
0:8:11|0:8:18|Jingde looked at the innocent child in the duck blood rain with reluctance, but the army that came to avenge on horseback did not hesitate at all.
0:8:26|0:8:29|The soldiers split up and the father-in-law nervously closed the door.
0:8:49|0:8:54|The wife picked up the scissors beside her, pulled out a strand of her own embroidered hair, and cut it off.
0:8:54|0:8:58|The wife, with tears in her eyes, ran to Jingde and handed him a strand of hair.
0:9:3|0:9:22|Wife pushed Jingde out of the back door in distress. Before Jingde could say goodbye to his wife, he saw soldiers searching the yard as soon as he ran in, so he quickly hid behind the eaves. After two soldiers relaxed their vigilance and rode away, he continued to escape, knowing that Jingde had started his own escape journey.
0:9:22|0:9:36|He ran out of the city gate, with green mountains outside the city. Jingde was fleeing everywhere outside the city, while soldiers were searching for Jingde's family inside the city. In the rugged mountains, Jingde seemed to hear the cry of his own child.
0:9:36|0:9:41|On the other side, in the home of Jingde, General holds a knife against the chest of Yuchi Gong, the father-in-law of Su Yumei.
0:10:22|0:10:41|On the small path, [Yuchi Gong] turned around and flew back to the village, while in the house on the other side, [Su Yumei] snatched the child away.
0:10:41|0:10:42|[Yuchi Gong] strides into the city gate.
0:10:58|0:11:7|At home, the wife pleaded with [Li Shimin] in vain, crying and falling to the ground, while outside on the street, [Yuchi Gong] quickly ran to the Temple of Heaven.
0:11:16|0:11:25|After speaking, [Yuchi Gong] ran out of the Heavenly King's Hall and looked at the streets in a mess.
0:11:25|0:11:31|He ran into the blacksmith's shop, only to see his father-in-law lying motionless on the ground.
0:11:31|0:11:33|[Yuchi Gong] vigorously shakes his father-in-law's body.
0:11:38|0:11:46|[Yuchi Gong] arrived on the street, and the people fled, leaving only him to face the war brought by thousands of troops and horses alone.
0:11:46|0:11:49|General Yuchi Gong led his troops forward on horseback, smiling proudly.
0:11:49|0:11:55|Raising an eyebrow, the two infantrymen first swung their swords to attack the fierce Yuchi Gong.
0:11:55|0:12:10|[Yuchi Gong] wielded the iron whip with one hand, knocking down two infantry soldiers. A cavalryman on horseback swung a big knife towards him, but [Yuchi Gong] was quick to react, using the iron whip to block the attack and then striking at the horse's side. The horse startled and turned sideways, as [Yuchi Gong] adjusted his fighting stance.
0:12:10|0:12:18|General's spear stabbed towards [Yuchi Gong], who directly pulled the general off the horse, causing him to fall heavily to the ground. The spear was then swung towards [Yuchi Gong].
0:12:18|0:12:28|[Yuchi Gong] noticed the blazing fire pit behind him as he held the iron whip with both hands vertically to resist, and he spun the whip to pick up charcoal fire, sparks splashing on the general's face.
0:12:28|0:12:37|General, with no face left, shot a hidden weapon at [Yuchi Gong] in preparation to escape. The hidden weapon pierced into the left arm of [Yuchi Gong], while other soldiers swarmed in with long spears.
0:12:37|0:12:43|[Yuchi Gong] grabbed four long spears, leaving the soldiers unable to move.
0:13:18|0:13:35|Struggling to break free from the soldiers' encirclement, [Yuchi Gong] limped after his wife, who was being taken away, while she cried out.
0:13:35|0:13:42|[Yuchi Gong], with red eyes, looked at his wife in pain, woke up from a nightmare, sat up suddenly, and took deep breaths to calm himself down.
0:13:52|0:14:6|After the soldiers left, [Yuchi Gong] slowly raised his hand in the room, rubbed his knee, and then grabbed his neck. The suffocating pain felt so real, as if he had just experienced a true memory replay instead of a dream.
0:14:6|0:14:16|After a moment of calm, [Yuchi Gong] took out a carefully wrapped handkerchief from his clothes, opened it carefully, and inside was a lock of hair cut by his wife.
0:14:17|0:14:24|Yuchi Gong's hair was tied up with a fine rope and adorned with a jade pendant, showing how much he treasured the things left by his wife, [Su Yumei].
0:14:33|0:14:39|Yuchi Gong was still lost in memories, while outside the window, a mysterious masked figure was surreptitiously observing the entire room.
0:14:39|0:14:44|One day, as the morning sun rose, the light of the day still lingered with the remnants of the night.
0:14:44|0:14:49|A mysterious man dressed as an official releases a carrier pigeon, sending the information he saw last night to elsewhere.
0:14:50|0:14:57|At the gate of Jiezhou, [Yuchi Gong] leads the soldiers to overlook the people, understand the situation, and gaze into the distance from the city gate.
0:14:57|0:15:0|The soldiers following [Yuchi Gong] expressed their concerns to [Yuchi Gong].
0:15:2|0:15:26|Looking along the direction guided by the soldiers, Yuchi Gong saw a scene of chaos on the street, with war fires raging, thick smoke billowing, few people on the street, and a desperate situation. Men with leg injuries were moving with difficulty, while women were running with children. A man was seen flipping stones for fruits from Lianggang, smashing an empty jar without saying a word.
0:15:42|0:15:51|The soldier [Li Shimin] bowed and took his leave, complex emotions surging in his heart. He turned to look into the distance, where the signboard of Jiezhou City was clearly visible.
0:16:19|0:16:34|[Li Shimin] did not answer, the hand holding the horse tightened a bit, sitting on the horse, staying in place, frowning slightly and looking ahead, thinking. In a moment, the artillery continued to attack Jiezhou, with firearms being projected from a distance to attack the gates of Jiezhou.
0:16:34|0:16:38|Originally, the Tang army pressed forward with a large force, while a thousand foreign cavalry invaded Jiezhou City.
0:16:39|0:16:43|The Tang army was well-organized, well-equipped, carrying numerous weapons.
0:16:43|0:16:48|A group of soldiers pushed a war chariot towards the city gate, trying to force it open.
0:16:48|0:16:53|The Tang army waved their military flags, looking like victory was within their grasp, with the soldiers shouting loudly and the situation seeming inevitable.
0:16:54|0:17:12|On the carriage door, [Yuchi Gong] commanded the troops to shoot arrows at the Tang army below the city tower. Tang soldiers climbed up the city wall with long ladders, while the defending soldiers shook the ladders and dropped heavy objects. Many Tang soldiers were hit and fell down heavily. The Tang army increased their efforts to break through the city wall, while [Yuchi Gong] called on the soldiers to defend rigorously.
0:17:15|0:17:34|The Tang army threw weapons, taking advantage of the unpreparedness of [Yuchi Gong]'s army. Many Tang soldiers rushed up the city tower, and the two armies met in battle. The soldiers on the city gate were still shaking the ladder, throwing stones to resist the Tang soldiers climbing up the tower. Seeing this scene, [Yuchi Gong] bent his knees, pulled the bow, and shot towards [Li Shimin] riding a horse below the city, the sharp sword piercing through the Tang army flag.
0:17:34|0:17:47|The arrow struck the man's chest directly, but he didn't struggle and fell to the ground. [Yuchi Gong] felt puzzled but didn't understand why. The real [Li Shimin] stood outside the city, watching the battle from afar on the distant mountains.
0:17:52|0:17:57|Under the leadership of [Yuchi Gong], the soldiers pushed down the final climbing ladder of the Tang army on the wall.
0:17:57|0:18:2|The Tang army fled in panic, and [Li Shimin] watching the battle from afar, rode away.
0:18:2|0:18:7|The soldiers led by [Yuchi Gong] cheered on the city wall to celebrate the successful defense of the city.
0:18:7|0:18:10|The defeated Tang army fled from the city gates in waves. 
0:18:10|0:18:16|[Yuchi Gong] gazes into the distance from the city gate, while [Li Shimin] analyzes the topography of Jiezhou with stones in the outskirts.
0:18:16|0:18:20|The city walls of Jiezhou are six zhang high, surrounded by mountains on three sides.
0:18:36|0:18:59|[Li Shimin] discovered a secret, his brows relaxed, showing a hint of joy on his face. But soon, deep contemplation replaced it. He walked a few steps forward, leaning on a wooden pole and stood still. The wind blew over [Li Shimin]'s helmet, strengthening his determination. He walked to the tree where the general [Cheng Yaojin] was resting, only to find [Cheng Yaojin] sleeping soundly, shaking his head in resignation.
0:19:11|0:19:20|[Li Shimin] immediately galloped onto the horse.
0:19:20|0:19:27|[Cheng Yaojin] confronts Jingde, who throws [Cheng Yaojin] to the ground, injuring his hand. Meanwhile, Jingde is already chasing after [Li Shimin].
0:19:32|0:19:38|[Yuchi Gong] chased after them bravely, with [Li Shimin] in the front and [Cheng Yaojin] riding a horse behind the two.
0:19:38|0:19:44|Alert and urgent, the three individuals were not far apart, galloping on horseback together with the vast desert and the long river.
0:19:44|0:19:46|Forming a straight line extending to the sky.
0:19:46|0:19:58|When crossing the river, [Li Shimin] and [Yuchi Gong] easily waded through the water on their horses, while [Cheng Yaojin], being larger in stature, lost his balance and fell off the horse into the water.
0:19:58|0:20:4|[Cheng Yaojin] looked disheveled, adding a touch of threatening humor to the tense and exciting chase.
0:20:18|0:20:22|When [Cheng Yaojin] got up to chase the horse, the slope had already been occupied by the Tang army.
0:20:22|0:20:30|On the small slope, Qin Shubao shot arrows towards [Yuchi Gong] in the distance.
0:20:30|0:20:37|Jingde, quick-eyed and quick-handed, grabbed the sword from the side. [Li Shimin] had already ridden far away, while Jingde dismounted to face Qin Shubao.
0:20:41|0:20:58|Qin Shubao threw the bow and arrow to the soldier behind him to catch, then dismounted and drew the double-sided attack from his back to attack Jingde. Jingde defended with an iron whip, while Qin Shubao pressed on step by step. Jingde dodged by flipping backwards, the two were evenly matched, and after several rounds of confrontation, it was hard to determine the winner.
0:20:59|0:21:3|Li Shimin called for a small group of reinforcements to come from afar.
0:21:3|0:21:10|Qin Shubao held Jingde's iron whip from both sides, and the two brave and skilled generals, [Yuchi Gong] and [Li Shimin], sized each other up.
0:21:10|0:21:19|Just as the two were deadlocked, [Li Shimin] appeared with his troops.
0:21:19|0:21:24|The two of them put away their weapons and moved apart.
0:21:24|0:21:28|Li Shimin dismounted and walked over to face Jingde and Qin Shubao.
0:22:8|0:22:17|Not far away, a burly mysterious man hides beside a big tree, silently observing everything, respectfully saluting and taking his leave [Li Shimin].
0:22:17|0:22:23|But no one noticed the mysterious man lurking in the woods on the side.
0:22:23|0:22:29|Watching as Yuchi Gong rode away on his horse towards the Jade Pool, Li Shimin solemnly declared to Qin Shubao.
0:22:36|0:22:50|After Yuchi Gong returned to the military camp, he celebrated with his military advisor, who couldn't stop smiling. They raised their glasses and drank heartily. The military advisor then set down his cup and asked Yuchi Gong.
0:23:8|0:23:23|Jingde stood up, walked to the military map behind the military strategist, stood in front of it, found Binzhou on the map, and turned to the military strategist with a worried expression, asking.
0:23:23|0:23:35|Yuchi Jingde looked at the map of Binzhou with a mixture of belief and doubt, while the military advisor smirked and looked at Jingde with a sly smile. Jingde spoke as he walked.
0:24:19|0:24:29|The military advisor was frightened, hesitated for a moment in shock. Jingde saw the military advisor's stunned reaction and couldn't help but laugh out loud, prompting the military advisor to quickly respond to Jingde.
0:24:59|0:25:4|Speak, threatening the strategist with arrows in hand, the strategist retreats repeatedly.
0:25:4|0:25:10|In the next moment, Jingde shot the green arrow in his hand, and the arrow flew past the left side of the military advisor's face, scaring the military advisor to close his eyes.
0:25:10|0:25:16|Jingde left the camp, and the military advisor carefully opened his eyes, with arrows sticking straight into the map of Binzhou City.
0:25:16|0:25:19|In the evening, [Yuchi Gong] and his subordinates conspired.
0:25:35|0:25:46|The man below is the one who was spying in the woods before. After the strategist left, the man kept an eye on Jingde's room. The next day, Cheng Yaojin aimed his bow at the pigeons flying in the sky.
0:25:52|0:26:2|With one strike hitting the target, Cheng Yaojin ran to where the prey fell and picked up a carrier pigeon, unexpectedly finding a piece of paper tied to its foot. He untied the paper and handed the intelligence over to [Li Shimin].
0:26:24|0:26:30|In the military camp, [Li Shimin] showed a confident smile, indicating his determination as he sat back on the throne and gave orders.
0:26:47|0:26:53|Prince Jin's military advisor, accompanied by Sui soldiers, watched the Tang army retreat from the city gate and said to the Sui soldiers.
0:27:33|0:27:38|The strategist squinted his eyes, turned around with a grim expression, and the two of them left the city gate.
0:27:38|0:27:49|After nightfall, [Su Yumei] rested in her room. The lingering sounds in the courtyard added to [Su Yumei]'s sorrow and anxiety. She pushed open the door to change her mood, and sighed with her head lowered.
0:27:49|0:28:0|In the sky, the bright moon hangs high, half of the moon is shrouded in darkness. The moon is half bright and half dark, just like the mood of [Su Yumei]. [Su Yumei] misses his wife and children, worrying about their safety.
0:28:1|0:28:13|Raising his head to look at the moon, [Yuchi Gong] had already reddened his eyes. In the light and shadow of the crescent moon, he seemed to see his wife and children.
0:28:13|0:28:20|[Su Yumei] is thinking that her wife and children may have been imprisoned by the enemy, waiting for her to go and rescue them.
0:28:30|0:28:35|The hazy crescent moon added a touch of melancholy to [Su Yumei] as she thought about it.
0:28:35|0:28:52|He, with red eyes, slowly lowered his head, blaming himself inwardly, looking at a strand of embroidered hair tied with a thin rope in his hand, playing with the jade pendant and bells tied to the rope. The softness in his heart was touched, settling his longing for his wife and children. But suddenly, [Yuchi Gong] burst in, breaking through the rare bottleneck in his heart.
0:29:7|0:29:12|[Su Yumei] rode away on horseback with worry, leaving Jiezhou City alone in the night, heading towards Bingzhou.
0:29:12|0:29:15|The dark night added a mysterious atmosphere to the forest.
0:29:15|0:29:19|[Yuchi Gong] rode to the outskirts and found a carriage overturned in the woods.
0:29:28|0:29:32|The man held an iron chain and quickly wrapped it around the neck of Yuchi Gong.
0:29:32|0:29:36|[Yuchi Gong]'s voice caught the attention of the soldiers dozing off next to the carriage.
0:29:36|0:29:39|The soldiers rushed over and grabbed [Yuchi Gong] by the neck from behind.
0:29:39|0:29:42|[Yuchi Gong] shook off the two and fell to the ground.
0:29:42|0:29:46|More soldiers could be seen emerging, falling down regretfully as they were pressed underneath.
0:29:46|0:29:53|The soldiers together dragged [Yuchi Gong], whose neck was held by an iron chain, backwards. Several of them then tied up [Yuchi Gong] to a tree with his limbs bound.
0:29:54|0:30:0|Jingde couldn't break free, holding tightly onto the iron chain around his neck to prevent suffocation.
0:30:3|0:30:6|The strategist walked over with a sinister smile.
0:30:43|0:30:46|Yuchi Gong exerted all his strength, trying to break free from the iron chains.
0:30:46|0:30:48|A soldier walked forward, wielding a sword and then shooting out a sharp blade.
0:30:51|0:30:56|It turned out that halfway through, [Cheng Yaojin] suddenly appeared and shot the soldier who was about to turn back with an arrow.
0:30:56|0:31:0|[Cheng Yaojin] brought a group of soldiers, frightening [Yuchi Gong] and his companions.
0:31:0|0:31:17|[Yuchi Gong] set up a trap, and all his men were defeated. The brave Tang soldiers fought fiercely, searching for [Yuchi Gong]'s whereabouts.
0:31:17|0:31:19|[Yuchi Gong] in the carriage was discovered by [Cheng Yaojin].
0:31:22|0:31:40|[Cheng Yaojin] knocked down two enemy soldiers and blocked their path towards the carriage.
0:31:40|0:31:46|Iron Chain Jinde walked over, he threw down the iron chain and grabbed [Yuchi Gong]'s throat, pressing [Yuchi Gong] against the tree.
0:31:55|0:32:5|[Yuchi Gong] was killed by a sword.
0:32:5|0:32:7|Managed to hold up the fallen Yuchi Gong.
0:32:13|0:32:20|The military strategist has already died, falling heavily to the ground. [Yuchi Gong] walks slowly in despair and tears, as [Cheng Yaojin] shouts.
0:32:29|0:32:35|[Yuchi Gong] hesitated, looking pained, and asked [Cheng Yaojin]. [Cheng Yaojin] smiled and walked over.
0:32:56|0:32:57|[Li Shimin] hurriedly arrived on horseback.
0:32:57|0:32:59|Yuchi Gong looked up in confusion and said with a hint of admiration.
0:33:40|0:33:44|Bowing his head, he turned around to leave.
0:33:44|0:33:47|Li Shimin dismounted and followed closely.
0:33:47|0:33:53|Li Shimin walked up to Yuchi Gong and asked him sideways.
0:34:4|0:34:7|Xiao Wang is deeply unsettled.
0:34:23|0:34:28|[Li Shimin] thought about this question, walked confidently behind [Yuchi Gong], and answered.
0:34:28|0:34:33|[Yuchi Gong] respectfully kneels before [Li Shimin].
0:35:2|0:35:11|The two of them were extremely worried, [Yuchi Gong] looked anxiously towards Jiezhou, and the next day led the Tang army to march out to rescue the city of Jiezhou.
0:35:13|0:35:16|Become the right-hand man of [Li Shimin].
0:35:23|0:35:32|Wherever Fan Jingde's army went, they were invincible in battle, sweeping away all obstacles in the way of the Tang army. Fan Jingde fought on the battlefield for Li Shimin, achieving great victories and renowned military exploits.
0:35:49|0:35:57|Outside the grand Tang palace, with a majestic presence and heavy military guards, everything is flourishing and full of vitality.
0:35:57|0:36:0|Within the Forbidden City, the people live and work in peace and prosperity, with flourishing trade and transportation.
0:36:8|0:36:17|In the market inside the city, vendors are shouting, sugar merchants are selling novelty items everywhere, women are dressed beautifully, and life is happy.
0:36:17|0:36:27|Outside the city in the suburban woods, [Li Shimin] and Yuchi Jingde led the troops to ride and hunt, looking for prey. They stopped their horses, and a soldier reminded [Li Shimin].
0:36:32|0:36:36|Yuchi Gong, Su Yumei, and Li Shimin rode after them, while Xiong Ji was searching for food under the tree.
0:36:36|0:36:38|Li Shimin and his group approached cautiously.
0:36:38|0:36:44|[Li Shimin] and [Yuchi Gong] slowly took aim with their bows, afraid of startling the grouse.
0:36:44|0:36:47|[Li Shimin] aimed, quick-eyed and quick-handed, and shot out an arrow.
0:36:47|0:36:50|The arrow pierced the body of the bear chicken, and everyone cheered.
0:37:42|0:37:45|[Li Shimin] agreed and left on his horse from Jingde.
0:37:45|0:37:49|Watching Jingde's figure disappear into the distance, [Li Shimin] let out a heavy sigh.
0:37:49|0:37:59|Before long, Yuchi Gong led the horse to the riverside. With tall trees and short grass, a thin horse in the west wind, clear water under a sunny sky, one person and one horse slowly walked along the riverbank.
0:37:59|0:38:2|Not far away, [Li Shimin] and his group are galloping through the woods, searching for prey.
0:38:6|0:38:14|Seeing the prey in front of him, [Li Shimin] felt excited, drew the arrow from his back, pulled the bow and aimed at the wild rabbit grazing not far away.
0:38:14|0:38:22|Unlike the intense chase with Lin Jian, by the riverside it felt like being in a paradise. Yuchi Gong lowered his head to drink water, unexpectedly standing by the horse for a long time before going into battle.
0:38:22|0:38:26|And Lin Jian was still hunting nervously.
0:38:28|0:38:29|Suddenly slowed down.
0:38:30|0:38:41|[Li Shimin] raised his hand to signal everyone to move on, carefully observing the path of the rabbit. After leading the rabbit away, he led the troops to chase after it, while Jingde stayed by the river with the old horse.
0:38:41|0:38:47|Old Ma drank his fill of water and raised his body, seeing Yuchi Gong slowly lifting a handful of water, rubbing the side of Su Yumei's face with his nose.
0:38:47|0:38:53|Jingde misses his wife and children deeply, and the water ripples in front of him with the faces of his wife and children.
0:38:53|0:38:57|Ma Dongmei leaned against Jingde, as if comforting him. Jingde reached out and stroked Ma Dongmei.
0:38:59|0:39:4|Li Shimin and his companions chased the rabbit into the depths of the forest, but their vision was blocked by thick fog.
0:39:15|0:39:21|The mist lingered, the cold wind blew, and the slanting wind that disturbed the leaves made the mountains and forests extremely eerie.
0:39:21|0:39:24|The soldiers all gripped their sword hilts, on edge.
0:39:24|0:39:31|Li Shimin and his companions could only hear the sound of footsteps and horse hooves carried by the cold wind, but they couldn't see who was approaching.
0:39:31|0:39:39|A group of strong men dressed in the attire of the northern frontier stand behind the bushes, bows hidden beside the trees, arrows nocked and ready to be released.
0:39:49|0:39:57|The two armies confront each other, [Li Shimin] rides away, but the enemy soldiers are armed with bows and arrows, making it impossible for the Tang army's swords to match them.
0:39:57|0:40:5|An enemy soldier shot [Li Shimin] in the back with an arrow, and then helped him mount a horse to escape.
0:40:8|0:40:24|A thick fog enveloped the area as the enemy troops pursued relentlessly on horseback, creating a grand and imposing scene. The commotion caught the attention of [Yuchi Gong] not far away, who promptly rushed to rescue [Li Shimin]. With a swift move, Yuchi Gong blocked the enemy's path with his sword drawn. A soldier from the enemy side swung his blade towards Yuchi Gong, who intercepted the attack and then swiftly kicked another soldier, causing him to fall to the ground.
0:40:25|0:40:30|Yuchi Gong pursues the enemy and dismounts two soldiers from their horses, throwing them heavily to the ground.
0:40:30|0:40:36|A petite soldier on horseback swiftly attacks with a quick blade, easily snatching the broadsword from Yuchi Gong.
0:40:36|0:40:44|A soldier somersaulted off the horse and landed on the ground, with long hair catching everyone's attention. It turned out to be a beautiful woman, who stared arrogantly at Yuchi Gong.
0:40:44|0:40:50|Yuchi Gong inserted the sword taken from Jinde into the ground, frightening the enemy soldiers to the ground and unable to get up, while a soldier on a fast horse came to report.
0:40:58|0:41:2|[Li Shimin] stayed in place, but the enemy's large army had already arrived.
0:41:21|0:41:41|Turkish soldiers entered the border, burning, killing, and looting, committing all kinds of atrocities. In the village, the flames of war were raging, with the sound of battle cries filling the air. The brave soldiers of the Tang Dynasty fought against the Turkish soldiers, sacrificing themselves for their country. The battle was fierce and intense, with drums of war thundering. The Tang army, like a pack of wolves and tigers, was unstoppable, achieving victory in every battle. They fought with their backs against the water.
0:41:41|0:41:50|Placed in a desperate situation, the frontline soldiers of the Tang Dynasty maneuver through the battles with swords and shadows, thrilling and galloping on the battlefield, crushing the Turkic army.
0:42:12|0:42:15|At the moment when the butcher raised his knife, he said to the Turkic beauty who was fighting against Yuchi Gong,
0:42:34|0:42:38|The Turkic princess knelt down defiantly, and at the moment when [Yuchi Gong] swung his sword, something unexpected happened.
0:42:40|0:42:53|Yuchi Gong rode a fast horse and arrived at a gallop. After stopping the Han Xue treasure horse at the foot of the hill, he angrily glared at the soldiers preparing to slaughter the prisoners of war, and signaled a stop to the [Butcher] with a glance at the Turkic princess.
0:42:55|0:42:57|The leading soldier said triumphantly.
0:43:24|0:43:34|Prince Qi arrived and called out to the two confronting individuals. They both knelt down and bowed to Prince Qi.
0:43:34|0:43:40|Prince Qi, fully armed and in a spirited manner, rode his horse around the two, sizing up Su Yumei.
0:43:40|0:43:45|After a long pause, Yuchi Gong finally interviewed Su Yumei with an impatient tone, and said, "..."
0:43:59|0:44:3|The prisoners of war have now laid down their weapons.
0:44:21|0:44:23|Prince Qi watched Jin De intently.
0:44:23|0:44:31|Soon after, the Turkic princess was hung horizontally on a tree, with five long ropes placed beneath her. If she fell accidentally, her life would be in danger.
0:44:31|0:44:32|Prince Qi said.
0:44:43|0:44:47|The Turkic princess glared at the cunning [Li Shimin], while [Yuchi Gong] bowed and said.
0:44:51|0:45:11|Li Shimin's words had just fallen, and the soldier standing next to Yuchi Gong immediately attacked him with a beast. Yuchi Gong first caught the long weapons in the hands of the two soldiers with both hands, kicked with his feet, and the two fell to the ground. Then he used the two weapons he had taken to resist the attacks of others, swinging the weapons to raise the yellow sand. The other soldiers were no match for Yuchi Gong at all, and all fell to the ground and could not get up.
0:45:12|0:45:16|As the incense stick is about to burn out, [Li Shimin] has no choice but to dismount himself.
0:45:16|0:45:22|In a moment of impatience, [Li Shimin] rushed forward and stabbed at [Yuchi Gong], but [Yuchi Gong] grabbed his wrist.
0:45:22|0:45:26|[Yuchi Gong] fought bare-handed, making [Li Shimin], who was armed, too intimidated to make a move.
0:45:26|0:45:33|In the end, [Li Shimin] dropped the Changshuo in his hand along with the burning incense, while [Yuchi Gong] kicked the pine rope and saved the princess.
0:45:37|0:45:45|The soldiers surrounded King Qin to protect him, and the rescued princess looked at Jingde with admiration and respect in her eyes.
0:45:45|0:45:52|King Qin's eyes were burning with anger as he glared at [Yuchi Gong], his terrifying gaze filled with hatred, brewing a desire for revenge and blood feud.
0:45:52|0:46:1|At night, everyone returned to the Tang army camp. In [Yuchi Gong]'s tent, the princess was taking a bath in a wooden tub, slowly pouring water over herself.
0:46:1|0:46:4|Just then, [Yuchi Gong] happened to return to the military camp.
0:46:19|0:46:28|The princess slowly stood up with the help of the bucket, water droplets sliding down her body. Before she could wipe them off, she was draped in a soft silk robe.
0:46:28|0:46:35|Later, [Princess] turned sideways, lightly stepped out of the wooden tub, walked down the steps step by step, and spoke to Jingde with interest.
0:46:54|0:47:5|Yuchi Gong, in a nervous state, quickly released Su Yumei's hands from his embrace, ran out of the tent, leaving Su Yumei standing there feeling lost, watching Yuchi Gong's figure disappear into the distance.
0:47:5|0:47:10|Outside the tent, the Crown Prince rode back to the camp on horseback, welcomed by the Prince of Qi.
0:47:56|0:48:2|[Li Shimin] stopped and the crown prince looked at Jingde with great interest, Jingde said.
