0:1:28|0:1:34|The driver got out of the car and headed straight for the entrance of the club.
0:5:18|0:5:25|When he struggled with all his might to break free, the car finally couldn't hold on any longer and flipped off the bridge.
0:5:26|0:5:33|At the same time as the car fell off the bridge, a truck came head-on and hit the car, sending it flying more than ten meters before coming to a stop.
0:5:33|0:5:40|In the late night on the overpass, with no cars passing by, only [Lu Xiaoxing] was lying on the ground, his life unknown.
0:5:40|0:5:46|The truck under the bridge with its hazard lights on stopped in the middle of the road, and the driver showed no intention of getting out.
0:5:46|0:5:51|[Lu Xiaoxing] closed his eyes tightly, and after moving his lips a few times murmuring, he remained unresponsive.
0:5:57|0:6:2|Three years have passed in the blink of an eye, and today is a sunny day, with the warm sunshine pouring into the room.
0:6:2|0:6:7|On the top shelf of the bookcase are a row of detective books, while below are various items such as printers, staplers, and computers.
0:6:10|0:6:18|The calendar on the table clearly shows that today is April 4, 2015.
0:6:18|0:6:25|At this moment, [Lu Xiaoxing] is sound asleep in bed, while a Labrador retriever is biting the curtain and pulling it to the edge.
0:6:25|0:6:33|Jumping onto Lu Xiaoxing's bed with ease, Lin Chong pulled back the blanket on her body, then leaned in towards Lu Xiaoxing's face, sniffing continuously.
0:6:33|0:6:40|[Lu Xiaoxing] turned over drowsily, slowly opened her eyes, her pupils unfocused.
0:6:40|0:6:48|Just looking ahead blankly, the car accident took away her younger brother and her eyes, leaving [Lu Xiaoxing] half-leaning on the bed.
0:6:48|0:6:54|After fumbling to get the phone, Lu Xiaoxing slid up the screen and skillfully tapped on the app on the left side of the screen to open the radio.
0:6:54|0:6:58|After doing all this, she felt around the bedside and tentatively put on her slippers.
0:7:32|0:7:38|After finishing washing up, [Lu Xiaoxing] went to the cloakroom and felt the Braille on the clothes hangers to select the outfit to wear for the day.
0:7:38|0:7:45|After changing clothes, she stuffed the diary on the table into her bag, and then put on the guide dog's leash specially designed for Labrador retrievers.
0:7:45|0:7:53|After completing all the preparations, she slowly walked towards the gate with the guide dog leading the way. Despite the assistance, the blind person's life still faced many inconveniences.
0:7:53|0:8:4|After stopping at the door with the guide dog, she carefully felt for the door handle, then moved along to the latch, turned the knob, [Lu Xiaoxing] took a deep breath, twisted the door handle and walked out of the house.
0:8:4|0:8:13|She walked slowly down the corridor with her guide dog, facing the sunlight, her shadow stretched long, marking the first step she took towards a new life.
0:8:13|0:8:17|At this moment, [Lu Xiaoxing] walked into the Yanzhou City Police Academy hand in hand with a guide dog.
0:8:17|0:8:24|This is the place she is most familiar with, and also the starting point of her own ideals, with police officers in uniform everywhere on campus.
0:8:24|0:8:31|[Lu Xiaoxing] made an appointment with the teacher and sat on a chair in the long corridor.
0:8:33|0:8:40|[Lu Xiaoxing] turned to the side, looking earnestly towards Teacher Ma.
0:9:18|0:9:25|Lu Xiaoxing stood at the intersection and pressed the button of the pedestrian crossing signal for the visually impaired.
0:9:25|0:9:33|Unexpectedly, the wires of this electrical box had been cut a long time ago. At this moment, a man ran to the roadside and looked around before rushing over.
0:9:33|0:9:44|Ignoring the red light on the zebra crossing, [Lu Xiaoxing] heard his footsteps and thought the green light was on, so she took [Liang Cong] by the hand and carefully stepped onto the zebra crossing, the world of [Lu Xiaoxing] was pitch black.
0:9:44|0:9:52|Subconsciously, only the green light was flickering in the distance, when suddenly a car slammed on the brakes in front of [Lu Xiaoxing].
0:9:55|0:10:0|Lu Xiaoxing was a bit flustered for a moment, and the flashing red light ahead was particularly dazzling.
0:10:0|0:10:8|[Lu Xiaoxing] turned around in a panic, in her world, she could only feel a truck rushing towards her with strong light in the darkness.
0:10:8|0:10:15|The bus didn't slow down at all, passing by [Lu Xiaoxing], who became even more panicked, looking around helplessly.
0:10:15|0:10:21|Leading [Liang Cong] forward quickly, she just wanted to cross the street quickly, but when she reached the edge of the street, she stumbled on a step.
0:10:21|0:10:27|The character Lu Xiaoxing seemed accustomed to knocking her shins on the stone pier, as she felt her way to sit on it and rolled up her right pant leg.
0:10:27|0:10:34|Pressing down to find two bruises, took out a bottle of spray from the bag, sprayed it on the calf, and went back home.
0:10:34|0:10:38|[Lu Xiaoxing] packed all her photos and certificates from the police academy into a cardboard box.
0:10:38|0:10:57|Then she proceeded to take down all the criminal investigation books from the bookshelf and put them into a cardboard box. With great effort, she moved the box into the storage room and closed the door. For [Lu Xiaoxing], these things might never be needed again. At that moment, [Liang Cong] was earnestly eating, while [Lu Xiaoxing] sat on the carpet nearby, listening to the sounds around her.
0:10:57|0:11:2|Liang Cong glanced at [Lu Xiaoxing], placed the food tray in front of [Lu Xiaoxing], and sat down obediently.
0:11:10|0:11:20|The sunshine outside the window is still bright, while the kitchen stove is cluttered with chopped food. The mess in the kitchen can be identified through the food residues, which was caused by preparing a meal for [Liang Cong].
0:11:20|0:11:31|[Liang Cong] was lying lazily in the arms of [Lu Xiaoxing], enjoying himself, while a girl threw herself at the iron gate, desperately pulling the handle. Her wrist was dripping with blood, but the gate didn't budge an inch.
0:11:31|0:11:42|She leaned against the iron gate, crying in despair. Suddenly, her face turned pale with fear as she listened carefully to the noise outside the door. She saw the girl quickly crawl to the corner of the stairs next to the iron gate and crouched down, not daring to move.
0:11:42|0:11:55|As the footsteps and whistling drew closer, the iron gate was opened. A pair of black leather shoes stepped in, seemingly unaware of the girl in the corner. He continued to walk inside, and the girl seized the opportunity to rush up the stairs and try to escape.
0:11:55|0:12:1|With a slip under her feet, she made a sound, turned back in despair, shook her head, and then desperately climbed up the stairs.
0:12:1|0:12:10|However, the man grabbed the girl's legs and pushed her into the dark corner, making her disappear. The iron gate was closed again, with a huge iron lock on it, sending shivers down one's spine.
0:12:22|0:12:30|[Lu Xiaoxing] walked slowly to the entrance, feeling the wall and opening the intercom in front of him.
0:12:30|0:12:33|On the screen appears the figure of a middle-aged woman.
0:12:48|0:12:54|[Lu Xiaoxing] came to the villa and opened the French windows in the living room.
0:12:54|0:13:2|Standing in the garden, she felt the atmosphere here and looked ahead lifelessly as if she had returned to her childhood.
0:13:5|0:13:10|In their youth, [Lu Xiaoxing] and [Liang Cong] joyfully ran in the garden, with mischievous [Liang Cong] climbing onto a sculpture.
0:13:11|0:13:18|[Liang Cong] climbed to the top and joyfully looked at the bird's nest above.
0:13:21|0:13:28|[Lu Xiaoxing] withdrew her gaze, sighed silently, and realized that no one had visited the courtyard for a long time.
0:13:28|0:13:37|The ground was covered with fallen branches and leaves, and the once pristine white sculpture that used to be climbed by the two, now looked old and dilapidated. [Lu Xiaoxing] carefully made her way to the top floor along the handrail.
0:13:37|0:13:45|The previously familiar home now had to be navigated by feeling. She stood at the doorway of [Liang Cong]'s bedroom, a scene from the past reappearing before her eyes.
0:13:52|0:13:59|The young [Liang Cong] flashed a brilliant smile and plucked the guitar strings.
0:13:59|0:14:5|[Lu Xiaoxing] seemed to really see [Liang Cong] sitting on the bed playing the guitar, tears instantly filled her eyes.
0:14:5|0:14:11|She steadied her emotions, lightly placing her hand on the wall, gliding past the poster photo of [Liang Cong], and walked to the middle of the cabinet.
0:14:11|0:14:21|On the cabinet stands the guitar that [Lu Xiaoxing] bought for [Liang Cong] back then. [Lu Xiaoxing] reaches out her hands, carefully picks up the guitar and holds it in her arms, gently caressing it. This is the bond between her and [Liang Cong].
0:14:21|0:14:23|It's also the only thing that can be used to remember.
0:14:23|0:14:32|After brushing the strings, she finally showed a hint of a smile, but suddenly as if remembering something? In an instant, the smile disappeared, and she hurriedly tried to put the guitar back in its original place.
0:14:32|0:14:40|Lu Xiaoxing's trembling hands did not successfully place the guitar on the stand, and the guitar slipped from her hands and fell to the ground.
0:14:48|0:14:59|The past is vividly remembered, always a hurdle that Lu Xiaoxing cannot get over. She stood there with her eyes tightly closed, motionless. If she hadn't been so excited at that time, would things not have turned out like this now? Unfortunately, there are no "ifs" in the world.
0:14:59|0:15:5|After a long time, [Lu Xiaoxing] came down from the building and stopped in his tracks.
0:15:6|0:15:13|The mother walked slowly behind [Lu Xiaoxing], frowning. She took [Lu Xiaoxing]'s hand and placed a device the size of a mobile phone in her palm.
0:16:3|0:16:13|The mother turned away, unable to hold back her tears. And at this moment, [Lu Xiaoxing] was already in tears.
0:16:13|0:16:21|The mother was at a loss for words for a moment.
0:16:21|0:16:26|[Lu Xiaoxing] ignored her mother and walked expressionlessly towards the door.
0:16:37|0:16:40|She shook her head self-deprecatingly and walked out of the door, leaning against the door frame.
0:16:42|0:16:52|The rain at night grew heavier, and soon there were several large puddles. [Lu Xiaoxing] and a group of people were waiting for a bus at the bus stop by the road, and soon many people hailed taxis and left.
0:17:11|0:17:17|Passengers waiting for the train suddenly all turned to look in the same direction on the platform.
0:17:28|0:17:33|[Lu Xiaoxing] may be in the dark, but she can still discern the movements of everyone around her through sound.
0:17:37|0:17:42|Time passed gradually, although the heavy rain continued, people at the station started to arrive one after another.
0:17:42|0:17:50|Fewer and fewer people stayed behind, until only [Lu Xiaoxing] and a girl in a sexy outfit, holding a cigarette, remained on the platform.
0:18:2|0:18:10|The taxi quickly pulled up and stopped in front of the girl. She frowned, looked up, and then ran through the rain to the passenger seat, opened the door, and got in.
0:18:10|0:18:17|The last person left the station, leaving [Lu Xiaoxing] standing there all alone.
0:18:17|0:18:23|[Lu Xiaoxing] fell silent for a moment, then tentatively reached out her hand to hail a taxi. Her hand froze in midair for a long time.
0:18:23|0:18:30|Trying to change direction and gesturing to hail a taxi, but it was still quite challenging for the blind [Lu Xiaoxing].
0:18:30|0:18:39|She put down her hand somewhat hesitantly, but the extreme heavy rain forced her to reach out for a taxi again. Her hand quickly got wet, but she failed to hail a taxi.
0:18:39|0:18:46|[Lu Xiaoxing] dropped her arm in despair, when a car approached her with its glaring headlights, making her aware of its presence.
0:18:46|0:18:51|[Lu Xiaoxing] had a vision of a taxi pulling up in front of her.
0:19:0|0:19:8|After carefully getting into the car, the man drove away from the station, with no sign of the rain stopping outside, but rather getting even heavier.
0:19:29|0:19:35|At the moment the man twisted the knob, warm air rushed out from the layers of equipment in the front passenger seat towards [Lu Xiaoxing].
0:19:35|0:19:39|And with the loss of vision, [Lu Xiaoxing]'s sense of smell became exceptionally sharp.
0:19:46|0:19:49|[Lu Xiaoxing] felt for the button on the back seat door and rolled down the window halfway.
0:19:49|0:19:54|The image of her sitting in the back seat of a taxi with the window down appeared in her mind again.
0:19:56|0:20:4|The man closed the car window for [Lu Xiaoxing] from the driver's seat, and secretly observed [Lu Xiaoxing] through the rearview mirror, with a hint of cunning in his eyes.
0:20:10|0:20:18|The man took out a bottle of coffee, reached out his right hand to the back seat, [Lu Xiaoxing] hesitantly reached out with both hands and touched the man's wrist, then took the coffee from his hand.
0:20:19|0:20:25|[Lu Xiaoxing] held a cup of coffee in one hand and leaned against the seat with the other. After touching the seat, she paused for a moment and then touched it repeatedly several times.
0:20:29|0:20:34|The man was a little surprised and couldn't help but reach out his right hand behind him and waved it in front of [Lu Xiaoxing].
0:20:37|0:20:42|The man quickly withdrew his right hand, as if relieved, while [Lu Xiaoxing] held the coffee tightly in both hands and remained silent.
0:20:42|0:20:47|The man stole another glance at [Lu Xiaoxing].
0:21:2|0:21:13|A woman crashed through the windshield, rolled over the roof of the car, and landed on the road. A man got out of the car, bent over to support his knees, looked at the woman for a long time, then bent down and dragged her upper body up.
0:21:13|0:21:32|[Lu Xiaoxing] was hit on the head by the sudden brake just now. She held her forehead for a long time before coming to her senses. With a furrowed brow, she instinctively looked up, her eyes filled with uncontrollable panic. [Lu Xiaoxing] felt around her seat, stuffing the recently dropped keys, pepper spray, and other items into her bag. Unfortunately, she didn't notice the diary that had fallen under the passenger seat. Afterwards, [Lu Xiaoxing] slung the bag over her shoulder.
0:21:32|0:21:40|Locking the car door, finding the switch, and opening the door, Lu Xiaoxing got out of the car. The rain outside was still heavy, with one hand protecting her head, she closed the car door.
0:21:40|0:21:47|At this moment, half of a man's body had just been moved out of the trunk, and he immediately closed the trunk.
0:21:56|0:22:1|[Lu Xiaoxing] shook off the man's hand and took out her phone from her pocket to make a call.
0:22:3|0:22:10|[Lu Xiaoxing] hurriedly crouched on the ground, searching for her phone. A man in the distance saw a car approaching and immediately bent down to pull [Lu Xiaoxing].
0:22:12|0:22:27|The man roughly pulled [Lu Xiaoxing] up, preparing to push her into the back seat. In a moment of desperation, [Lu Xiaoxing] grabbed the man's wrist and pinned him against the car. The man was unable to break free for a moment, but as the car behind approached, he panicked. He forcefully pushed [Lu Xiaoxing] to the ground, quickly opened the car door, sat in the driver's seat, and drove away from the scene.
0:22:27|0:22:35|[Lu Xiaoxing] struggled to get up and continued to search for the phone with [Lu Li]. She felt around on the ground for a long time and finally found it. In a hurry, [Lu Xiaoxing] picked up the phone, ready to call the police.
0:22:36|0:22:44|The car drove straight towards them, its lights blinding. A drunk man sat on the sofa, laughing foolishly.
0:23:15|0:23:23|The young police officer glanced absentmindedly at the drunken man playing with alcohol.
0:23:23|0:23:25|Turned around pretending to be serious.
0:23:47|0:23:55|[Lu Xiaoxing] was turning her head in confusion about what was happening around her, when an old policeman behind her stood up, stretched lazily, and walked towards the drunkard.
0:24:32|0:24:38|The old police officer limped over to the young police officer and impatiently took off his glasses frame,
0:24:57|0:25:3|He tapped the young police officer's head, indicating him to continue flipping through the report, and sat in front of [Lu Xiaoxing].
0:25:30|0:25:42|The old police officer looked at Lu Xiaoxing in astonishment, but Lu Xiaoxing ignored him. She shook off the hand that grabbed her wrist, then reached out and took the young police officer's arm. The officer dared not move recklessly and carefully led her towards the door.
0:25:42|0:25:49|The old police officer sat in the chair, watching [Lu Xiaoxing] leave the office with a scrutinizing look on his face, before finally lifting his legs up and hugging his knees.
0:25:49|0:25:51|Rubbing his knee joints with a frown.
0:25:52|0:26:15|The yellow light bulb flickered, revealing an eerie atmosphere everywhere. A girl slowly opened her eyes while lying on the bed, staring blankly at the ceiling. There were a few scratches and bruises on her face, with dried blood on the side. The girl subconsciously looked around and found another girl lying on a single bed to her left, with her wrists and ankles tied to the bed. Her eyes half-opened, seemingly lifeless.
0:26:37|0:26:42|The man tenderly approached the girl, one hand clawed and pressed down on the girl's head, his expression becoming even gentler.
0:26:44|0:26:53|The girl struggled in fear, but her movements became smaller and smaller, soon she stopped moving. Beside her lay a carefully kept diary, with a clear message written on it: "If you find this, please contact in 8 words."
0:26:56|0:27:5|The man picked up a delicate surgical knife and cut along the lines drawn on the girl's face, blood gushing out and splashing onto the man's face. He didn't mind at all, but instead enjoyed it immensely.
0:27:7|0:27:24|Gently bending down, without hesitation, Lu Xiaoxing moved towards the girl. As he crawled, the man looked at the wall behind him, where a huge photo was projected. The photo showed a girl in white clothes with a lovely face, slightly round, very cute. The slides kept changing, all showing the same girl's appearance.
0:27:24|0:27:31|A man's gaze is filled with infatuation and nostalgia, as a person wearing black canvas shoes appears in the hallway of [Lu Xiaoxing]'s home one day.
0:27:53|0:27:58|[Lu Xiaoxing] walked out of the bathroom and fumbled for the access phone on the wall to make a call.
0:28:13|0:28:22|The old police officer's words made [Liang Cong] furrow his brows, while [Lu Li] crouched on the ground, looking expressionlessly at the young police officer who was pouting and amusing himself, then disdainfully turned his head away.
0:29:36|0:29:42|[Lu Li] hurriedly opened a notebook.
0:30:9|0:30:13|[Lu Li] involuntarily raised his left wrist.
0:30:23|0:30:31|Officer Lu Li turned his eyes, touched his nose, and nodded thoughtfully.
0:30:54|0:31:2|Another sunny day, on a deserted street, a group of rollerblading teenagers zoom past, showing off their skills.
0:31:2|0:31:12|Some people leap over the safety belt, some jump up and do a 360-degree turn, a boy wearing a duck hat crosses a clearing, then elegantly turns back, standing in front of a notice.
0:31:12|0:31:20|Please carefully read the above content. The notice indicates that a traffic accident occurred on the evening of April 11th, and valuable clues are needed from the public.
0:31:44|0:31:51|The young police officer subconsciously looked at Officer Lu with his chin in his hand.
0:32:2|0:32:8|The young police officer awkwardly licked his lips, while Officer Lu continued to turn around to look at the slides.
0:32:29|0:32:37|The boy in the duckbill cap sat across from [Lu Li], impatiently glanced at [Lu Xiaoxing]. [Lu Li] raised his eyebrows and sighed, the boy seemed accustomed to such distrust and rolled his eyes.
0:32:37|0:32:45|He wanted to take a look at [Lu Xiaoxing], extending a finger to wave in front of [Lu Xiaoxing], and becoming even more reckless when he found [Lu Xiaoxing] unresponsive.
0:33:29|0:33:34|[Lu Xiaoxing] sat up straight and ignored the boy, who looked around boredly.
0:33:34|0:33:42|Suddenly, [Lin Chong] stared at the phone on the table of Lu Xiaoxing, took out his own phone and compared them side by side.
0:33:45|0:33:58|[Lu Xiaoxing] expressionlessly picked up her phone, turned on the camera, switched to selfie mode, and approached the boy. The boy confidently looked at the phone screen and even leaned towards the lens, narcissistically adjusting his bangs.
0:35:8|0:35:18|The boy's phone rang, the familiar ringtone causing [Lu Xiaoxing] to involuntarily turn his body.
0:35:18|0:35:27|The boy chuckled after hanging up the phone, his face once again showing that mischievous expression.
0:35:47|0:35:55|The boy reluctantly turned his head, giving a response, and then walked out of the office with a straight face. At this moment, a female police officer walked in holding a folder.
0:36:1|0:36:9|The female police officer looked up at [Lu Xiaoxing] and froze.
0:36:19|0:36:23|[Lu Li] was carefully looking at the documents, while Ya Nan smiled at Lu Xiaoxing and walked out of the office.
0:36:23|0:36:29|It was only then that [Lu Li] looked up and saw the two of them, as a girl walked out of the nightclub at night.
0:36:31|0:36:37|The girl, with a graceful figure, wearing 10-centimeter high heels and holding a cigarette in her hand, walked down the stairs and waved to someone in the distance.
0:36:37|0:36:40|A sedan came to a stop in front of her.
0:36:42|0:36:49|The girl leaned against the window with a smile, elegantly opened the car door and sat in, while the driver was still the man who caused the accident.
0:36:49|0:36:55|The girl threw the cigarette out of the window, fastened her seatbelt, and then the man smiled as he drove away from the nightclub, with no one around noticing anything unusual.
0:36:57|0:37:4|[Lu Xiaoxing] returned home and opened the storage room door again. She moved two large cardboard boxes out and stacked them on the living room floor.
0:37:4|0:37:11|Then [Jingkuang] quietly knelt on the side of the Mosuo paper box cover, as if cheering herself up, took a deep breath and opened the paper box.
0:37:11|0:37:15|Crime psychology and other criminal investigation books are neatly arranged inside.
0:37:30|0:37:36|[Lu Xiaoxing]'s phone suddenly rang, the screen showed an unknown number, and she answered the call without any awareness.
0:37:36|0:37:44|In the car, a medicine bottle was left at the edge of the seat, and [Lu Xiaoxing]'s diary was held in the man's hand.
0:37:48|0:38:0|The man hung up the phone expressionlessly, flipped through his phone to look closely at a photo. The girl in the photo was the one who had just gotten into his car. The man looked at the passenger seat with a smile that was not a smile, only to see that the girl had already fallen asleep.
0:38:0|0:38:4|He then calmly threw his phone out of the car and drove away in the sedan.
0:38:4|0:38:16|The following vehicle ran over the phone, instantly shattering it into pieces. There were many vehicles coming and going on this road, and soon the phone was crushed beyond recognition. Meanwhile, the police station was still brightly lit.
0:39:14|0:39:27|[Lu Xiaoxing] knew she was right, so she could only nod, while [Liang Cong] was sleeping soundly on the side. They spent the whole day listening to recordings in the car, and [Lu Li] handed a hamburger to [Lu Xiaoxing].
0:39:29|0:39:37|[Lu Li] nodded in agreement, opened the wrapper of the hamburger and took a big bite. [Liang Cong] sat in the back seat staring at the hamburger in [Lu Li]'s hand, almost drooling.
0:39:38|0:39:47|[Lu Li] jokingly handed the hamburger to [Liang Cong]'s mouth and then pulled it back.
0:39:47|0:39:57|Liang Cong seemed to understand, lying gloomily on the seat, Lu Li drove the car away after finishing the burger, taking Lu Xiaoxing home.
0:39:57|0:40:4|On the other side, [Lin Chong] skated over and stopped in front of the sign, rolling his eyes disdainfully.
0:40:13|0:40:20|The man recalled the day when he was driving away and happened to pass by [Lin Chong] who was standing on the roadside holding an umbrella, and they both glanced at each other.
0:40:22|0:40:28|[Lin Chong] vented for a while as if not relieved, then took out his phone and called [Lu Li].
0:40:40|0:40:43|[Lin Chong] stubbornly hung up the phone, looking very displeased at the screen.
0:40:43|0:40:46|Lu Xiaoxing picked up the phone and left on roller skates following the billboard.
0:40:46|0:40:53|The man sat in the car observing Lin Chong. After seeing Lin Chong leave, he started the car and quietly followed behind him.
0:41:7|0:41:13|[Lu Li] blinked discreetly, [Lu Xiaoxing] was not surprised, just sighed softly.
0:41:54|0:42:6|[Lu Li] glanced guiltily at [Lu Xiaoxing], awkwardly waved his hand to fan the air around him, then quickly lowered the car window to let the smell dissipate. As the window went down, a familiar voice resounded once again, and [Lu Xiaoxing] listened quietly.
0:42:6|0:42:12|Her expression turned serious, as she recalled the man in the car also made the same sound when he rolled down the window.
0:42:13|0:42:21|After the man closed the window for [Lu Xiaoxing] from the driver's seat, the strange noise disappeared.
0:42:44|0:42:50|But on that taxi, [Lu Li] was a bit surprised and couldn't help but look at [Lu Xiaoxing] several times.
0:43:2|0:43:12|[Lu Xiaoxing] recalls the sound of the car hitting the girl and shattering the windshield, only this time the scene changes from a taxi to a Golf 6, and now this Golf 6 follows [Lin Chong] to a small fountain.
0:43:12|0:43:19|He parked the car on the side, turned off the engine and lights, while [Lin Chong] remained completely unaware, sliding and answering the phone.
0:43:20|0:43:28|The man stared at Lin Chong's every move, gently closing the notebook. Beside the notebook was a delicate music box, and the man, dressed smartly, also wore a baseball cap.
0:43:28|0:43:39|After getting off the car, he pulled up his scarf, only revealing a pair of eyes, [Lu Li] complained and hung up the phone.
0:43:46|0:43:50|[Lu Li] anxiously looked ahead, waiting for the right moment to sharply turn the steering wheel.
0:43:50|0:43:58|Turning around and walking back, at this moment [Lin Chong] is still leisurely rollerblading forward.
0:44:12|0:44:19|[Lin Chong] hung up the phone, continued to slide forward with his hands in his pockets, skillfully took out a pair of black leather gloves, put them on, and continued to follow closely behind him.
0:44:26|0:44:47|[Lin Chong] hummed a song without noticing, while the man looked back vigilantly, quickening his pace towards [Lin Chong] after confirming that no one was coming. [Lin Chong] leisurely took a few steps forward, suddenly feeling something amiss behind him. He subtly turned his head back a bit, stopped in his tracks, then boldly turned half of his face towards the man behind him, directly halting him. The man hesitated for a moment and didn't dare to approach, while [Lin Chong] nonchalantly turned away.
0:44:47|0:44:56|Rushing forward quickly, the man soon realized and sprinted after, [Lin Chong] swiftly turned a corner, but the man stopped after turning into an alley, looking around.
0:44:56|0:44:59|He picked up a motorcycle leaning against the wall and rode on it.
0:45:1|0:45:18|The man once again closely chased after [Lin Chong], who turned into a narrow alley two meters wide, desperately sliding forward. He frowned and glanced back, only to find the motorcycle getting closer, its headlight illuminating the path ahead clearly. With the end in sight, in the last moment, [Lin Chong] made a 180-degree sharp turn, facing the motorcycle once again.
0:45:18|0:45:41|He paused for a second, clearly seeing the fierce eyes of the man, then turned sharply again, gracefully sliding down the handrail of the stairs. The man slammed on the brakes, his face staring fiercely at the figure of [Lin Chong]. He revved the motorcycle again and rode down the stairs in front of him. The motorcycle swiftly turned and caught up again. [Lin Chong] crossed a flower bed and slipped into a narrow alley only one meter wide. The inherent speed advantage of the motorcycle quickly brought him to [Lin Chong].
0:45:41|0:46:5|Behind him, after [Lin Chong] rushed out from under his feet and down a few steps, the motorcycle followed without hesitation. Following directly behind, [Lin Chong] turned another corner and slid into a construction site. He bent over, spun around, passed through the scaffolding, leaped over a large construction pit, provocatively glanced back, then smoothly slid away. The man stopped by the roadside, glanced at [Lin Chong], then turned and rode into another alley. [Lin Chong] breathed a sigh of relief only after watching him go far away.
0:46:7|0:46:13|[Lin Chong] looked puzzled and angry as he glanced in the direction the motorcycle was leaving, sliding forward while taking out his phone, staring at the screen with a displeased expression.
0:46:15|0:46:34|[Lin Chong] impatiently put down his phone and slid towards the intersection. He didn't notice the Golf 6 parked next to him. Suddenly, the car's headlights lit up, shining into [Lin Chong]'s eyes. The car accelerated abruptly, hitting [Lin Chong] and sending him flying to the side of the road. [Lin Chong] fell to the ground, blood seeping from his head. The man quickly reversed the car and stopped in front of [Lin Chong] again, his foot constantly pressing on the gas pedal.
0:46:34|0:46:41|His face couldn't hide the cold and ruthless expression, he was about to step on the gas pedal, but a few boys appeared in front of him.
0:47:12|0:47:16|Xing stood by the roadside listening to the noise, unaware that the man was standing right beside her.
0:47:18|0:47:27|[Lu Li] returned to the car, [Lu Xiaoxing] fumbled and sat back in the passenger seat. Two ambulances drove forward, with [Lu Li]'s car following closely behind. The people around scattered, leaving only a man with his hands in his pockets.
0:47:27|0:47:34|Standing still in place, he didn't move for a long time. Finally, he took two steps forward, calmly raised his head, and looked in the direction where the ambulance was leaving.
0:47:34|0:47:42|[Lin Chong]'s head has been bandaged and he is lying on the bed receiving intravenous fluids, still in a coma. [Lu Xiaoxing] is standing outside the window anxiously waiting.
0:48:7|0:48:13|At this moment, [Lu Xiaoxing] is sitting on a chair in the hospital lobby, while [Lu Li] walks over with two cans of coffee.
0:48:15|0:48:21|[Lu Li] carefully pulled the tab of the soda can for [Lu Xiaoxing], then sat down across from her.
0:48:30|0:48:38|[Lu Xiaoxing] stood up straight, carefully sniffing the small cart pushed behind her. She suddenly turned around to face the cart moving away, once again immersed in memories.
0:48:38|0:48:44|That night, the man turned the knob and turned on the warm air inside the car.
0:49:6|0:49:13|[Lu Li] furrowed his brow, looking serious, as he leaned back in his chair and nodded in agreement.
0:50:6|0:50:17|[Lu Li] quickly took the phone, took out his own phone while walking towards the nearby gate. After walking out of the gate, he looked solemnly at the screen of [Lu Xiaoxing], and immediately made a call with his own phone.
0:50:20|0:50:22|[Lu Xiaoxing] sat on the chair, with a somewhat heavy expression.
0:50:22|0:50:30|The next day, [Lin Chong] lay on the hospital bed, as if feeling some strange sensation, furrowing his brow and opening his eyes.
0:50:30|0:50:35|Liang Cong licked his toes, which scared Lin Chong into pulling back his toes and sitting up.
0:51:26|0:51:33|[Lin Chong] sat on the other side of the hospital bed with his back to [Lu Xiaoxing], heaved a sigh of relief, picked up the roller skate shoes at his feet and held them in his arms, gently brushing off the dust on them.
