0:0:47|0:0:51|A ship sailed by as [Cheng Yi] was smoking at home.
0:28:27|0:28:32|Zhou Biao handed the money bag to [Cheng Yi], but before he could finish speaking, he collapsed completely.
0:28:32|0:28:42|[Cheng Yi] had one hand on Zhou Biao's shoulder and the other hand holding a money bag. Looking around and not seeing anyone, he stood up, grabbed the money bag, and ran away.
0:28:42|0:28:50|Every now and then, [NICOLE] tried on the wedding dress and returned with the man from Zhongshan Manor, only to see this scene, they hurried over.
0:29:0|0:29:18|Li Xiaolu on this side has already run back to the rental house. He gasped heavily by the TV, was about to put down the money bag, then walked to the window, took a few breaths while leaning on the piano. He turned around, put the money bag on the table, and sat down by himself, leaning back with all his strength. He instinctively grabbed the back of the chair with one hand.
0:29:18|0:29:41|The other hand grabbed the money bag, suddenly as if remembering something, moved closer to the chair. He hesitated for a moment, quickly opened the money bag, bundles of money made [Cheng Yi] widen his eyes. He took out a bundle and flipped it over, then reached deep into the money bag, took out a paper bag, and inside were two DVDs.
0:29:41|0:29:50|[Cheng Yi] held the disc in his hand, pondered for a moment, took a few steps back and forth, sighed, then put down the disc and took out his phone from his pocket.
0:30:4|0:30:9|Hanging up the phone, [Cheng Yi] walked into the bedroom, quickly packed up his things, grabbed his backpack, and left.
0:30:9|0:30:15|He arrived at the Kowloon Through Train station wearing a mask, at this moment, the pedestrians on the street were also wearing masks.
0:30:15|0:30:19|[Cheng Yi] looked around, hands in pockets, and walked straight into the station.
0:30:19|0:30:25|After a car journey, [Cheng Yi] arrived in front of Guangzhou Zhongqing Square, looking ahead with a bewildered expression on his face.
0:30:33|0:30:42|Chen Yi, holding onto the strap, looked around in confusion, unaware that inside the office of the Hong Kong Police Station, the police were already having a meeting.
0:30:45|0:30:47|One giant is dead and the other is seriously injured.
0:30:47|0:30:49|And according to the footage captured by the on-site CCTV.
0:30:57|0:31:0|He took away a bag of things at the scene of the crime.
0:31:7|0:31:10|He was around 6 o'clock on the day of the incident.
0:32:12|0:32:19|Later, because her father was seriously ill and needed money for treatment, she went out to earn money and met Zhou Biao.
0:32:22|0:32:25|But so far, she is unwilling to say anything about Zhou Biao.
0:32:41|0:32:44|The boss glanced at his watch.
0:33:14|0:33:16|Now Li Xiaolu is in the hospital.
0:33:50|0:33:51|He has become a vegetable.
0:33:59|0:34:3|You lowered your head and took another puff of cigarette before walking slowly.
0:34:3|0:34:10|In the hospital, Zhou Biao lies on the hospital bed with a ventilator. The police officer walks over and shows his credentials to the security guard.
0:35:1|0:35:5|[NICOLE] rubbed Zhou Biao's hand and then touched his forehead.
0:35:5|0:35:10|However, Zhou Biao's hand with the needle inserted still showed no response.
0:35:10|0:35:13|At this moment, a knocking sound is heard inside the hotel room.
0:35:15|0:35:33|[Cheng Yi] sprang up from the bed, thought for a moment, got up cautiously and walked over to open the door, only to find Zhou Biao glaring at him with a knife in hand, ready to stab. [Cheng Yi] quickly stepped back and explained.
0:35:33|0:35:37|[Cheng Yi] stood up in panic, gasping for breath.
0:35:43|0:35:52|Later, [Cheng Yi] left the hotel and went to a barbershop, where the barber finally adjusted his hairstyle. He looked at his new hairstyle in the mirror.
0:35:52|0:36:5|The barber removed the cloth, and [Cheng Yi] stood up and approached the mirror. He ran his hand through his hair a couple of times, took off his old glasses, put on the new glasses hanging on his collar, and smiled satisfactorily at his reflection in the mirror.
0:36:9|0:36:12|Leaving the barbershop, [Cheng Yi] walked down the street with a backpack on his back.
0:36:12|0:36:20|At a building entrance, a few young men are loading goods onto a van. [Cheng Yi] notices the advertisements on the walls and utility poles by the roadside.
0:36:20|0:36:25|Approaching to take a look, then turned to look at the utility pole, and immediately tore off a piece and held it in hand.
0:36:25|0:36:30|He looked around and found the address on the advertisement, then followed an old lady upstairs.
0:37:5|0:37:7|[Cheng Yi] said to the open door of the mother-in-law.
0:37:7|0:37:9|[Cheng Yi] had just borrowed the key and was about to enter the door when the door next to it opened, and an old man and a beautiful woman poked their heads out.
0:37:55|0:37:59|[Cheng Yi] stood at the door, thought for a moment, pursed his lips, and then went into the house.
0:37:59|0:38:4|At this moment, a car drove into the alley, and four men in suits and sunglasses got out.
0:38:4|0:38:11|One of them opened the car door, [NICOLE] dressed up beautifully got out of the car, and then walked to the alley with four people.
0:38:11|0:38:18|[NICOLE] is wearing high-heeled sandals, holding a small leather bag in her hand, wearing a suspender jacket over a mesh short-sleeved top, and the necklace on her neck is shining.
0:38:18|0:38:22|A man from Zhongshan Villa walked out with his bodyguard to meet him head-on.
0:38:47|0:38:54|Okay, before Biao went to Guam, he talked to the one surnamed Chen, and [NICOLE] thought for a moment before continuing.
0:38:57|0:39:8|The men of Zhongshan Village thought for a moment, looked to the side, gritted their teeth, nodded slightly, and the scene cut back to the streets of Guangzhou. [Cheng Yi] was walking on a pedestrian overpass, with bustling traffic below.
0:39:8|0:39:14|On the bridge, only a few pedestrians passed by. [Li Xiaolu] walked along the side of the overpass, making a phone call as she walked.
0:39:14|0:39:19|She stood with one hand in her pocket and the other holding a phone, dialing again after no one answered.
0:39:19|0:39:24|She stopped, switched her phone to the other side, and leaned her arms on the railing.
0:39:36|0:39:37|[A Ling] in a wedding dress.
0:40:17|0:40:28|[A Ling] turned to look at her fiancé, who was trying on a suit. [Cheng Yi] swallowed hard, holding back tears, and remained silent for a long time. [A Ling] slowly put down her phone and hung up the call.
0:40:28|0:40:33|[Cheng Yi] put down his phone, bit his lip, took a deep breath, and stared intently ahead.
0:40:34|0:40:41|He walked dejectedly on the narrow sidewalk, with motorcycles parked on one side and pedestrians passing by on the other.
0:40:41|0:40:48|After walking a few steps, he felt the vibration of his phone, took it out and glanced at it, then looked around, and finally answered the call.
0:40:48|0:40:53|After answering the call, Li Xiaolu looked around and made sure there was no one nearby.
0:41:9|0:41:11|He took off his backpack and sat down on the parked car.
0:41:41|0:41:47|[Cheng Yi] hung up the phone thoughtfully, sighed, then continued walking with a backpack on his back.
0:41:47|0:41:52|At this moment, [A Ling] is walking on the street, holding a coat in one hand and stretching her shoulders.
0:41:52|0:41:59|Walking down a sparsely populated downhill road, he was followed by two men in suits, while three others peered out from behind a van parked by the roadside.
0:41:59|0:42:1|[A Ling] wanted to leave when she sensed danger from the newcomer.
0:42:6|0:42:15|A man in a suit stopped him and pushed him, several people punched and kicked him, and forced him into the car at gunpoint.
0:42:15|0:42:21|[A Ling] was taken to a factory where his ex-girlfriend [An Jiu] was tied up and hanging, with tape over her mouth.
0:42:24|0:42:26|[A Ling] tears open the tape.
0:42:32|0:42:34|A man from Zhongshan Village came over playing with a small knife.
0:42:50|0:42:55|Ahui was pushed aside, and [Cheng Yi] approached with a knife in hand, bending down.
0:43:13|0:43:21|The man from Zhongshan Village lightly cut Li Xiaolu's shoulder with a small knife.
0:43:21|0:43:23|[Li Xiaolu] changed her tone and called out.
0:43:46|0:43:56|It's okay, what will be the consequences. [Ahui] was startled by the small knife hanging down. At this moment, inside the police station.
0:44:2|0:44:4|And she has never had any contact with any suspicious individuals.
0:44:35|0:44:37|Zhou Biao still had no reaction.
0:44:37|0:44:38|[NICOLE] continued.
0:44:50|0:44:53|[NICOLE] was unaware that Zhou Biao's finger twitched slightly.
0:44:59|0:45:4|On the other side, [A Ling] returned to the rental house and passed by the door of the beautiful big-eyed girl, only to find a key inserted in the door.
0:45:41|0:45:46|[A Ling] shrugged and followed him in. The big-eyed beauty gestured towards the chair.
0:46:1|0:46:2|[Cheng Yi] was stunned.
0:46:6|0:46:8|He finally breathed a sigh of relief.
0:46:14|0:46:16|Li Xiaolu and A Ling shook hands.
0:46:35|0:46:42|[Cheng Yi] took the business card ordered by Qin Jialu and left, while Qin Jialu waved at her.
0:47:2|0:47:9|In the daytime tea restaurant, Li Xiaolu was reading the newspaper, just took a sip of milk tea, when the phone rang, he picked it up and looked at it.
0:47:33|0:47:34|[Cheng Yi] stood up from the lawn, and A Hui asked.
0:47:58|0:48:5|After speaking, he switched hands to hold the phone, took out a pen, and wrote down [Cheng Yi]'s address on the newspaper.
0:48:5|0:48:8|After putting down the pen, she said to [Cheng Yi] on the phone.
0:48:11|0:48:24|[Cheng Yi] hung up the phone with a worried look on his face, glanced at the sculpture of the musician Xian Xinhan next to him, sighed, and left.
0:48:24|0:48:27|In the Disco at night, Li Xiaolu is on stage as the DJ.
0:48:32|0:48:35|[Cheng Yi] comes in and sees the customers dancing on the dance floor.
0:48:35|0:48:38|Circled around and took another look at [Li Xiaolu].
0:48:38|0:48:40|He is swaying his body to the rhythm.
0:48:40|0:48:44|Looking up, Li Xiaolu saw A Ling smiling at him, and A Ling raised his hand to wave at him.
0:48:44|0:48:46|After putting it down, [Li Xiaolu] found a place to sit down.
0:48:46|0:48:47|Before long.
0:48:51|0:48:53|The waiter placed the drinks and also put down two plates of snacks.
0:48:56|0:49:5|Li Xiaolu touched the wine bottle without drinking, at this moment she took off her earphones, looked at Chengyi who was sitting alone, put the earphones on the table, and walked towards Chengyi.
0:49:44|0:49:49|[Cheng Yi] smiled, watched him walk away, and then looked back at the crowd still dancing on the dance floor.
0:49:49|0:49:54|He took a sip from the bottle, put it down, crossed his hands in front of his chest, and lowered his head.
0:50:0|0:50:6|Another night, [Cheng Yi] was sleeping in bed, while next door [Li Xiaolu] started playing the guitar.
0:50:6|0:50:9|[Cheng Yi] frowned irritably and turned over.
0:50:9|0:50:15|[Li Xiaolu] plucked the strings a few times, wrote something on the paper, put down the pen, plucked the strings again, and then stood up with the zither in hand.
0:50:15|0:50:15|He opened the two pens, and [Cheng Yi] covered his ears.
0:50:30|0:50:32|[Cheng Yi] turned over again, [Li Xiaolu] extended her index finger to find the rhythm.
0:50:32|0:50:34|[Cheng Yi] couldn't stand it anymore, sitting up and fiercely scratching his head.
0:50:55|0:51:1|[Cheng Yi] rushed out of the room, the knocking interrupted [Li Xiaolu]'s singing, he opened the door with a piece of paper.
0:51:52|0:51:57|[Li Xiaolu] looked at the drowsy [Cheng Yi] and smiled, then the camera cut to the police station.
0:52:15|0:52:26|[A Ling] took the piece of paper with the phone number on it.
0:52:26|0:52:30|At this moment, [Cheng Yi] is walking down the stairs and runs into [Li Xiaolu]'s grandmother.
0:52:49|0:52:56|Chen Yi helped Grandma [Cheng Yi] to the hospital, but the Qin family was stopped by medical staff in protective clothing at the entrance.
0:53:0|0:53:5|Qin Jialu took the mask from the medical staff and quickly put it on as she walked inside.
0:53:5|0:53:13|In the hospital, both medical staff and patients are wearing masks. Upstairs, a banner is hung, with the words "Unity in the fight against SARS" written on it.
0:53:13|0:53:22|Qin Jialu grabbed her bag and searched around, looking for the patient who needed urgent care. When she saw the person being brought in, she rushed forward, only to discover that it was not her grandmother. She took off her mask and headed to the registration desk.
0:53:28|0:53:31|He hurriedly ran in the direction pointed out by the medical staff, but was stopped.
0:54:20|0:54:21|Qin Jialu reaches out his hand.
0:54:45|0:54:49|Seeing Qin Jialu pointing at himself with a mischievous look, [NICOLE] curiously stretched her neck.
0:54:49|0:54:55|The next day, Li Xiaolu walked out of the house with a big box in her arms, unable to free her hands so she used her foot to hook the door closed.
0:54:55|0:55:1|[NICOLE] who was reading the newspaper stood up, leaned against the wall with one leg bent, and pushed open the door next door with a hand.
0:55:4|0:55:7|When Li Xiaolu reached out, Qin Jialu helped him close the door.
0:55:7|0:55:8|Downstairs, volunteers are busy at work.
0:55:8|0:55:10|Qin Jialu watched as [Cheng Yi] put the box in the trunk.
0:55:41|0:55:59|Speak up, [Cheng Yi] helped the volunteer to carry a box of water together. After putting it in place, the two of them closed the trunk together and clapped their hands on Qinjia Road.
0:56:1|0:56:9|Qin Jialu pushed [Cheng Yi] onto the car, and a banner with "Love Fills the World" was pasted on the side of the van.
0:56:9|0:56:16|Driving along a stretch of road, the volunteers in the car counted the number of items.
0:57:41|0:57:52|Qin Jialu and [Cheng Yi] were both a bit embarrassed by the physical contact caused by the shaking. The van finally arrived at Nancun Elementary School, and as soon as the door opened, the students shouted,
0:58:29|0:58:34|The two exchanged a glance, and [Cheng Yi] smiled at Qin Jialu, who was waving to the students.
0:58:34|0:58:36|The two walked, and [Cheng Yi] asked,
0:58:49|0:58:53|This is set up for some children who cannot afford to attend classes.
0:58:53|0:58:59|Due to insufficient funding, many teachers also volunteer to help out. The students' stationery and office supplies are mostly donated by individuals.
0:59:5|0:59:7|Qin Jialu watched the volunteers unloading the goods.
0:59:31|0:59:33|[Cheng Yi] lowered his head and dared not look at him.
0:59:47|0:59:50|Sincerely hooked the little finger deep in the Qinjialu.
1:0:29|1:0:32|[Cheng Yi] reached out his hand and almost stumbled, [Li Xiaolu] quickly grabbed him to steady him.
1:0:34|1:0:39|Qin Jialu supported him and finally reached the door. Qin Jialu opened the door.
1:1:10|1:1:18|Li Xiaolu sat opposite Chen Yi on Qin Jialu, expressing her concern.
1:1:18|1:1:29|Qin Jialu stood up and walked away, witnessed by Chen Yi, sitting on the chair that Qin Jialu had just sat on from the bed. He picked up the script on the table and looked at it, while Qin Jialu picked up a medical kit.
1:1:29|1:1:30|Chen Yi asked.
1:1:32|1:1:33|Please ask [Li Xiaolu] to sit on the bed.
1:2:21|1:2:29|Qin Jialu pinched the trouser leg of [Cheng Yi], pointed to the lower leg to confirm, [Cheng Yi] nodded, and then he wiped it with gauze.
1:2:29|1:2:34|[Cheng Yi] gritted his teeth in pain, put down the axe in his hand, and turned his head to the side.
1:2:34|1:2:39|Qin Jialu chuckled, [Cheng Yi] winced again, raised a hand to do something, then pulled it back.
1:2:42|1:2:44|[Cheng Yi] is trying hard to endure the pain all over his body.
1:2:44|1:2:48|Shortly after, Qin Jialu opened the door and took out a key in front of [Cheng Yi].
1:3:1|1:3:6|Li Xiaolu looked at him with a sincere smile, but he leaned in closer, making the atmosphere more ambiguous. Li Xiaolu smiled politely.
1:3:16|1:3:20|The two of them locked eyes, approaching each other with sincerity, one hand leaning against the wall.
1:3:20|1:3:25|Qin Jialu didn't know where to look, glanced down, and blinked.
1:3:25|1:3:28|Faced with the increasingly sincere approach, she finally closed her eyes.
1:3:28|1:3:32|Just as the two were about to collapse, Li Xiaolu suddenly stopped.
1:3:32|1:3:36|Qin Jialu opened his eyes and looked at [Cheng Yi] who was bowing his head, picking at his fingers.
1:3:49|1:3:53|Qin Jialu thought for a moment and then grabbed him.
1:4:15|1:4:33|Looking at the closed room door, Li Xiaolu hesitated, leaned against the wall and looked up, sighed, then looked towards the door again. The scene shifts to the hospital, where A Ling puts a bunch of flowers into a vase. She is wearing a cool camisole today, with a neat ponytail, and after casually arranging the flowers, she reaches out to touch Lin Zai's hair.
1:4:33|1:4:35|Sitting by the hospital bed.
1:4:48|1:4:54|[NICOLE] stared ahead with a fierce look in her eyes, as drops of poison dripped onto the pages of Zhou Biao's book depository.
1:4:54|1:5:0|At this moment, [Cheng Yi] placed the guitar on his lap and leaned over it, writing on a piece of paper.
1:5:0|1:5:4|After finishing writing, Li Xiaolu put down the pen and paper, muttered to herself, and then picked up the guitar.
1:5:4|1:5:4|The scene shifts to a bridge.
1:5:13|1:5:15|Ahui is being held by [Cheng Yi].
1:6:2|1:6:8|In this world, the one I trust the most is [Li Xiaolu], with the waiter leading the way ahead.
1:6:9|1:6:10|The waiter asked.
1:6:41|1:6:44|[A Ling] pulled [Li Xiaolu] to sit down.
1:6:45|1:6:48|Both [Li Xiaolu] and [A Ling] leaned back on the sofa together.
1:7:18|1:7:19|[A Ling] took the wine.
1:7:24|1:7:28|The two of them drank a glass together, and [Lin Zai] put his arm around the girl next to him.
1:7:39|1:7:41|[Cheng Yi] picked up the wine glass, but didn't drink.
1:7:41|1:7:43|Miss Li Xiaolu picked up the fruit again.
1:8:2|1:8:9|[Cheng Yi] took out a roll of money and placed it on the bill.
1:8:9|1:8:18|[Cheng Yi] sat down and glanced at Miss Li Xiaolu. The four of them got up and left, arriving at the D4 Dance Hall on Qinjia Road where Lin Zai worked.
1:8:18|1:8:22|[Cheng Yi] stopped by the dance floor with Miss Li Xiaolu, looking towards Qin Jialu on the DG stage.
1:9:14|1:9:19|Looking at the intimate couple, [Cheng Yi] was very unhappy, and soon the four of them came out.
1:9:22|1:9:38|Ahui left with two ladies in his arms. At this moment, Li Xiaolu followed, turning his head with sincerity, and walked over.
1:9:40|1:9:42|Seeing him remain silent, [Cheng Yi] continued to ask.
1:10:2|1:10:8|After speaking, [Li Xiaolu] turned and walked away. [Li Xiaolu] took a step forward, tears in his eyes as he watched him leave.
1:10:8|1:10:11|And the police arrived to investigate the KTV that the two had just visited.
1:10:17|1:10:18|The TV science team has confirmed it.
1:10:42|1:10:48|His good friend A Hui is also worth noting, their appearance always signals the next move.
1:10:53|1:10:58|Sincerely opens the door of [Cheng Yi]'s room, holding a few music scores and a file bag.
1:10:58|1:11:6|At this moment, [Li Xiaolu] was still asleep. [A Ling] came to his bedside, watching him silently saying goodbye in his heart.
1:11:20|1:11:29|He placed the file bag on the bedside table, put the sheet music in a prominent place, pressed it with a water pipe, then glanced at the sleeping Li Xiaolu before leaving.
1:11:53|1:11:59|[A Ling] and [Li Xiaolu] locked eyes, then turned around and took action, followed by the other police officers getting up and leaving.
1:11:59|1:12:5|Miss Li Xiaolu was still asleep on the Qinjia Road, with a letter left on the table with a music score, addressed to Miss Li Xiaolu.
1:12:5|1:12:13|Qin Jialu sat up and rubbed his eyes. At this moment, Li Xiaolu had already arrived at the seaside by car. Li Xiaolu and A Ling got out of the car, while Qin Jialu was drinking water.
1:12:13|1:12:19|After finishing the drink, Li Xiaolu casually placed the bottle cap on the table, about to leave when she noticed a letter on the table.
1:12:19|1:12:26|He picked up the letter and sat on the nearby cave to read it, while [Cheng Yi] and [A Qing] walked together to the dock at this time.
