0:0:53|0:0:59|After hearing this, [Jiang Haolong] reached out and took the bag of clothes from [Mandy]'s hand.
0:16:43|0:17:8|The plane slowly landed, and several planes were parked on the vast tarmac. Inside the cabin, a flight attendant appeared with the crew and walked to the passengers. The passengers stood up and looked at [Zhang Zhiming] anxiously, quickly covering up for him.
0:17:48|0:17:55|[Zhang Zhiming] turned his head to stare at his father-in-law, who guiltily turned away and avoided looking at him.
0:18:4|0:18:18|As the father-in-law said, [Zhang Zhiming] and the sexy flight attendant will have a wonderful encounter next. The car is speeding along, with tall buildings lining the road on both sides. The red light causes a long line of cars on the main street, with horns blaring incessantly.
0:18:18|0:18:44|Upon entering the apartment, [Zhang Zhiming] neatly placed a stack of books on the shelf with both hands, then turned around to squat on the floor to organize the items in the cardboard box. He took out a gift box and a cup and placed them on the floor, then picked up a small glass bottle. Pausing his actions, he unwrapped the packaging to find half a cigarette inside the small glass bottle, while recalling [Yu Chunjiao]'s words.
0:18:44|0:18:51|He brought the small glass bottle to his eyes, spinning it with his fingers, lost in memories.
0:19:19|0:19:23|[Yu Chunjiao] was so scared that she jumped onto the sofa with her eyes covered.
0:20:15|0:20:22|[Yu Chunjiao] shook her head, [Zhang Zhiming] burst into laughter, quickly covering his mouth with his hand.
0:22:12|0:22:26|After the flashback, [Zhang Zhiming] lowered his head and stared blankly. He looked at the glass bottle in his hand, stepped on the trash can, and expressionlessly looked down at the trash can. He pinched the glass bottle, moved his foot away, turned around, and walked away.
0:22:26|0:22:44|Gazing up at the changing sky, the cigarette butt on the trash can is still smoking. In the alley, [Yu Chunjiao] and the party are in front of the trash can. [Yu Chunjiao] is holding a drink with a straw in her mouth, while the party next to her takes a puff of cigarette and hands the cigarette box to [Yu Chunjiao], who shakes her head.
0:22:54|0:23:14|[Yu Chunjiao] froze, on the other side of the nightclub, smoke filled the air, sexy women in the dance floor were twisting their waists and hips wildly, men were laughing and flirting among them. Next to the dance floor, [Sam] was holding a beer, swaying his body as he walked towards the beautiful women.
0:23:28|0:23:35|Sam put his arm around the beautiful woman's shoulder and clinked glasses with her, then pushed her towards his friend.
0:23:42|0:23:48|In the blink of an eye, a group of people arrived at the restaurant, and the gentlemen kindly pulled out chairs for the ladies.
0:24:26|0:24:32|Late at night, the office building in Beijing was still brightly lit,
0:24:58|0:25:21|Continuing, [Zhang Zhiming] took out his phone and walked into a place called "Bed Bar," sighing softly. The building had a retro style, with classical music playing inside. [Shang Youyou] called out and sat on the sofa. [Zhang Zhiming] walked in and sat down next to her.
0:25:32|0:25:40|[Zhang Zhiming] sat eating snacks, turned to look at [Shang Youyou], [Shang Youyou] aimed the camera at him and pressed the shutter. Stimulated by the flash, [Zhang Zhiming] turned his head to the other side.
0:25:50|0:25:56|[Zhang Zhiming] pursed his lips, then sat up and took a bite of snacks.
0:26:37|0:27:2|[Zhang Zhiming] reached into his pocket for money, and [Shang Youyou] saw something fall out of his pocket. She reached out, picked it up, and upon closer inspection, realized it was a condom. [Zhang Zhiming] turned around to see the condom in [Shang Youyou]'s hand. She held the condom and sighed. [Zhang Zhiming] awkwardly took it from her hand and put it back in his pocket, his gaze shifting uncertainly.
0:27:3|0:27:26|Silently turning his face away, [Zhang Zhiming] put his hand in his pocket and slowly sat up from the sofa. He quickly turned his head to the other side, while [Shang Youyou] smiled even more brightly. [Zhang Zhiming] drank while looking at her, standing side by side with [Shang Youyou] in the crowd, watching the band performing in the middle. [Shang Youyou] held a bottle of wine in one hand, closing her eyes and immersing herself in the music.
0:27:26|0:27:39|[Zhang Zhiming] was swaying gently with his head down, while the people around him were also swaying lightly to the music. [Shang Youyou] and [Zhang Zhiming] held hands tightly, deeply immersed in the music.
0:27:39|0:27:46|In the early morning, as the sun just rose, shining on the tall buildings, several colleagues gathered around the crying Dora.
0:27:55|0:28:2|[Yu Chunjiao] glanced back at Dora, who was crying.
0:29:47|0:29:59|[Yu Chunjiao] looked up in surprise at E Jie, while [Zhang Zhiming] was standing in front of the wall covered with photos at [Shang Youyou]'s house.
0:30:20|0:31:1|[Zhang Zhiming] nodded while eating, [Shang Youyou] propped up her chin, looking at him with a pleased smile. [Zhang Zhiming] covered his mouth with one hand, turned to look into [Shang Youyou]'s eyes. [Shang Youyou] handed him a cup of water and a tissue. [Zhang Zhiming] drank the water quickly without speaking, while [Shang Youyou] watched him with a smile.
0:31:9|0:31:30|Youyou once again lifted [Zhang Zhiming]'s face, and he stuck out his tongue. Youyou gently kissed the tip of his tongue, causing Zhiming to instantly feel a tingling sensation all over his body. With his tongue out, he stared straight into her eyes. Youyou kissed Zhiming's tongue again, and Zhiming, looking into her eyes, could no longer contain the restless beating of his heart.
0:31:30|0:31:49|Following that, [Shang Youyou] took the initiative to approach Zhang Zhiming, kissing his lips gently, sucking softly, nibbling tenderly, extracting all the sweetness from his mouth. Gradually, Shang Youyou slumped on the sofa, holding Zhang Zhiming's hand with increasing strength, their breath quickening. With closed eyes, the two immersed themselves in the blissful moment.
0:31:54|0:32:21|Outside the window, tall buildings stand, with green trees shading below. At this moment, at the exit of Beijing Airport, a group of flight attendants walk out carrying luggage. Inside the station, the crowd surges. Chen Jun and Xiao Juan hold up a sign for pick-up, looking towards the exit. When [Yu Chunjiao] comes out, she and Isabelle also see them, waving and greeting them. Chen Jun warmly helps [Yu Chunjiao] with her luggage and they head back to the hotel. [Yu Chunjiao] busily unpacks her luggage and, unintentionally, notices a plastic bottle ashtray. She picks it up and stares at it.
0:32:21|0:32:30|Memories suddenly flashed back to the past, in the car [Zhang Zhiming] cut open a plastic bottle, inverted the top half into the bottom half and handed it to [Yu Chunjiao].
0:32:30|0:32:37|In the hotel, [Yu Chunjiao] sat in front of the mirror, took out a cigarette, held it in her mouth, and stared at the lighter absentmindedly.
0:33:10|0:33:23|[Yu Chunjiao] turned her head in astonishment and saw [Zhang Zhiming], who was dumbfounded. [Zhang Zhiming] looked a bit nervous as he pursed his lips, while [Yu Chunjiao] used her hand to tidy up her wind-blown hair. [Zhang Zhiming] looked around.
0:33:29|0:33:38|I came to Beijing with Isabelle, [Zhang Zhiming] turned around, Shang Youyou hugged [Zhang Zhiming]'s arm with a deep cleavage, making [Zhang Zhiming] feel a bit embarrassed.
0:34:19|0:34:26|Yu Chunjiao looked at Yu Chunjiao from a distance, and Zhang Zhiming turned to look at Yu Chunjiao.
0:34:30|0:34:51|The others looked at each other in silence. Isabelle turned around again to look into the distance, while Chen Jun pursed his lips and lowered his head.
0:35:12|0:35:19|Isabel shook her head in anger,
0:35:54|0:36:19|[Yu Chunjiao] stared at him in astonishment, picked up a straw in silence. In Zhongshan Park in Beijing, the square was filled with elderly people holding cardboard signs with words written on them, some even had photos attached, describing boys, girls, gender, age, and occupation. [Yu Chunjiao] walked on despondently.
0:38:2|0:38:32|Later, [Yu Chunjiao] was arranged to meet a blind date at a restaurant. She touched the frame of her glasses with her nails painted black, causing the man on the blind date to smile awkwardly with his head down. Startled, [Yu Chunjiao] choked on her milk tea and covered her mouth with her hand. Brenda, who was sitting not far away, saw them giggling. The man on the blind date awkwardly picked up his water glass. Meanwhile, [Zhang Zhiming] and [Shang Youyou] were taking a walk in the park.
0:38:32|0:38:42|The two walked down the steps hand in hand, returned to the room, [Zhang Zhiming] lay on the recliner reading a magazine, [Shang Youyou] snatched the magazine, placed it aside, and then lay on top of [Zhang Zhiming].
0:38:52|0:39:10|Shang Youyou heard crying and turned to look into the distance. Zhang Zhiming nodded slightly. Following Zhang Zhiming's gaze, they were back home in an instant. Zhang Zhiming poured dry ice into the toilet. After pouring the dry ice, they squatted down to watch the reaction in the toilet. A gas slowly emerged from the toilet.
0:39:27|0:39:38|Shang Youyou tentatively asked, Zhang Zhiming gently touched the gas on the toilet with his hand, the two fell into silence. Through the glass window, the bustling and prosperous street under the night sky, Yu Chunjiao sitting alone by the window.
0:39:47|0:40:17|The warm and lively past of the two slowly drifted into Yu Chunjiao's mind. At the gathering, Zhang Zhiming took out his phone and looked puzzled at the blank message sent by Yu Chunjiao. The concise dialogue box floated on the phone screen, gently stirring Zhang Zhiming's emotions like willow leaves. Upon hearing the ringtone, Yu Chunjiao hurriedly opened her phone to check, as the sweet and playful music played.
0:40:18|0:40:32|[Yu Chunjiao] looked at the text message with a slight smile on her lips. The two of them started chatting without saying a word, [Zhang Zhiming] avoided [Shang Youyou] at the gathering, secretly replying to messages from [Yu Chunjiao] from time to time, while [Shang Youyou] remained completely unaware.
0:40:33|0:40:41|The lively atmosphere at the party seemed to quiet down at this moment, with [Zhang Zhiming] replying to messages while secretly observing the friends at the gathering.
0:40:48|0:41:12|[Yu Chunjiao] repeatedly pretended to provoke [Zhang Zhiming]'s nerves, and [Zhang Zhiming] finally couldn't help but invite [Yu Chunjiao] for a late-night snack. [Yu Chunjiao] leaned back on the sofa contentedly, saying she just took a bath and felt a bit tired, testing [Zhang Zhiming]. Sure enough, unable to hold back, [Zhang Zhiming] directly sent a message: Let's meet in 20 minutes. [Yu Chunjiao] went to the mirror, quickly trying on the clothes in the wardrobe.
0:41:12|0:41:48|She carefully matched and tried on each piece, looking at herself in the mirror. Just as Zhang Zhiming was about to leave, Shang Youyou wrapped her arms around his neck and kissed him without hesitation. In the elegant Hong Kong-style restaurant, Zhang Zhiming greeted Yu Chunjiao as she approached the dining table. Yu Chunjiao took off her coat as she walked to her seat, revealing her sexy back.
0:41:52|0:42:5|Zhang Zhiming blinked in astonishment, while [Yu Chunjiao] elegantly sat down. Seeing Zhiming staring at her, he shook his head gently. [Yu Chunjiao] took the menu from the waiter and carefully examined it.
0:42:34|0:43:2|Teasingly, [Yu Chunjiao] joked with a hint of stubbornness towards Zhiming, who looked at her with confusion. After dinner, the two walked side by side on the street. A taxi drove past them, and Zhiming turned to look at the distant [Yu Chunjiao] with a sigh.
0:43:6|0:43:19|Upon hearing Yu Chunjiao say she wanted to go home, Zhang Zhiming became even more puzzled. He questioned Yu Chunjiao, who stared at him before turning to look behind her.
0:43:26|0:43:33|Zhiming felt a bit embarrassed, trying to cover it up with a smile. [Yu Chunjiao] quickened her pace and got into a taxi.
0:43:43|0:43:54|In the taxi, [Yu Chunjiao] turned her head to look ahead, leaving Zhang Zhiming alone in a daze. After a moment, Zhang Zhiming touched his lips before realizing they had arrived in the living room.
0:44:14|0:44:31|Brenda carefully checks her makeup, takes out her phone and calls [Yu Chunjiao] not far away. [Yu Chunjiao] turns her head and looks at Brenda, who has a displeased expression on her face.
0:45:0|0:45:39|[Yu Chunjiao] finished speaking and walked towards the restroom holding her stomach. She walked through the glass corridor into the restroom, while Brenda continued to check her makeup at the table. She didn't notice the man in white slowly approaching behind her. Brenda turned her head to look at the man in white and nervously stood up. Brenda slowly reached out her hand to shake hands with the man in white, who suddenly pulled back his hand. Brenda had to sit down awkwardly, but her gaze never left the man in white.
0:45:47|0:46:1|In the bathroom, [Yu Chunjiao] was about to squat down when her phone unexpectedly fell into the toilet first. Glancing at it, she immediately pulled up her pants, picked up a nearby tool to try to fish out the phone from the toilet. Then she turned to twist the bathroom doorknob, but after twisting it several times, there was no response.
0:47:44|0:47:50|Brenda looked up and thought for a moment. At this moment, Yu Chunjiao in the bathroom couldn't hold it anymore.
0:47:58|0:48:29|Sam deliberately diverted Yu Chunjiao's attention. Yu Chunjiao felt a bit embarrassed, lowered his head and dared not look at Brenda. He suddenly showed a surprised smile, and Brenda also smiled with him. Brenda shyly lowered her head and smiled lightly. In the restroom, Yu Chunjiao twisted the door handle in pain. Finally, the staff outside quickly opened the door for her. Yu Chunjiao ran towards the men's restroom, while Brenda watched him wide-eyed.
0:48:37|0:49:9|Brenda nervously swallowed and slowly placed her hand on the table, trembling as she reached out to touch Ben with her index finger. Brenda seemed to tremble as if shocked and pulled her finger back, then tried to touch Ben's index finger again. They both showed surprise on their faces, and finally their hands fully held each other. They experienced an unprecedented feeling, tightly holding each other's hands.
0:49:15|0:49:20|[Sam] immediately showed a surprised smile, the sunlight shining on [Sam]'s face, making it look particularly dazzling.
0:49:22|0:49:49|[Ben] stood up joyfully, while Brenda excitedly packed up the things on the table and put them into her bag. She put on her backpack and quickly got up. At that moment, Chunjiao hurriedly came out of the men's restroom. Sam, who was washing his hands, stopped her and gestured towards the bag next to the basin, where Chunjiao's phone was. Chunjiao picked up the bag and glanced at it. Sam made a please gesture, and the two walked through the corridor back to the cafe, only to find Brenda's seat empty. Sam looked around.
0:50:9|0:50:21|[Sam] looked at Chunjiao with a hint of suspicion, then walked to the front of the car. He opened the car door for Chunjiao, who casually put down the plastic bag in her hand and made a phone call. As soon as [Sam] got in the car, he looked at her.
0:50:41|0:50:52|Yu Chunjiao returns the phone to [Sam], reaches for her own phone, opens the plastic bag, looks disgusted, and [Sam] notices her actions.
0:52:12|0:52:19|In the glow of the setting sun, Yu Chunjiao and [Sam] sit on the grass, creating a scene that resembles a painting.
0:52:50|0:52:55|At the end of the woods, as the sun gradually sets, Yu Chunjiao sits in the car, fastening her seatbelt.
0:53:30|0:53:49|[Sam] nervously placed his hands on the steering wheel, while Chunjiao shyly looked out the window. The water on the road mirrored the turbulent hearts of [Sam] and Chunjiao. That day, Chunjiao walked into a restaurant while talking on the phone and looking around anxiously.
0:54:4|0:54:14|Yu Chunjiao looked around the secluded corner of the restaurant, while [Zhang Zhiming] took out a tablet from under the table. Chunjiao directly opened the packaging.
0:54:20|0:54:33|Yu Chunjiao suddenly leaned in towards him and stared at him, and he leaned in as well, staring back at Yu Chunjiao, who then put away the tablet on the table.
0:55:16|0:55:22|In the blink of an eye, we are in the living room of [Zhang Zhiming]'s house. [Yu Chunjiao] stands up while putting on clothes, and [Zhang Zhiming] is getting dressed on the sofa.
0:55:33|0:55:50|[Yu Chunjiao] put on her coat and sat on the sofa, looking at [Zhang Zhiming]. [Zhang Zhiming] looked disappointedly elsewhere, pursed his lips and rolled his eyes, then turned to look at [Yu Chunjiao].
0:56:4|0:56:23|[Zhang Zhiming] lay on the sofa with a displeased expression, while [Yu Chunjiao] sat upright without looking at him. Both of them were lost in their own thoughts, and [Zhang Zhiming] suddenly sat up.
0:56:41|0:56:48|[Zhang Zhiming] frowned at [Yu Chunjiao],
0:57:30|0:57:41|The atmosphere in the room dropped to freezing point again. Angry [Yu Chunjiao] rubbed her nose and found blood on it. [Zhang Zhiming] quickly took out a tissue and handed it to [Yu Chunjiao].
0:57:45|0:58:1|[Yu Chunjiao] raised her nose and used a tissue to wipe the nosebleed, while [Zhang Zhiming] gently bowed his head to massage the tiger's mouth for [Yu Chunjiao].
0:58:1|0:58:10|With Zhang Zhiming's gentle movements, Yu Chunjiao's heart gradually melts. Sensing Yu Chunjiao's gaze, Zhang Zhiming lowers his head with a hint of guilt.
0:58:10|0:58:13|[Yu Chunjiao] turned her head with a tissue stuffed in her nostrils to look at [Zhang Zhiming],
0:58:21|0:58:27|[Yu Chunjiao] chuckled, and a piece of tissue fell out of her nostril, [Zhang Zhiming] looked at [Yu Chunjiao] with a mixture of warmth and anger.
0:58:36|0:58:45|Outside the window, the night is hazy at this moment.
0:58:50|0:59:8|[Yu Chunjiao] rested her chin on her hand and looked at [Sam]. Sensing [Yu Chunjiao]'s gaze, [Sam] glanced at his colleagues and successfully made [Yu Chunjiao] laugh.
0:59:17|0:59:29|[Yu Chunjiao] sat up straight and picked up her phone to check messages, while [Sam] and her colleague continued working. [Yu Chunjiao] sent a text to arrange a meeting with [Zhang Zhiming] for the weekend.
0:59:31|0:59:36|With the lively music playing, several boats were floating on the lake in Chaoyang Park, Beijing.
1:0:46|1:0:51|[Zhang Zhiming] and Yi Jian sat side by side eating, [Zhang Zhiming] pointed to the food and said:
1:1:21|1:1:48|Speaking, Yu Chunjiao lowered her head, [Zhang Zhiming] nodded thoughtfully, Yu Chunjiao nodded and took a sip of porridge, she has influenced me a lot, [Zhang Zhiming] looked at him in surprise, then started eating, the two fell into silence, [Zhang Zhiming] ate with his mouth full, awkwardly looking at Yu Chunjiao.
1:1:55|1:2:2|Yi Jian took a sip of beer, looked at [Zhang Zhiming], then glanced at him after a moment of silence, nodded and smiled.
1:2:32|1:2:51|Yi Jian glanced over, [Zhang Zhiming] fell into contemplation. At this moment, it was [Zhang Zhiming]'s turn to feel awkward. Yi Jian then raised an eyebrow at [Zhang Zhiming], who forced a smile and nodded. In the next second, they both reached for a piece of green vegetable at the same time. Yi Jian politely picked up the vegetable and started eating.
1:2:58|1:3:3|[Zhang Zhiming] got up to see Yukin leave. Just as he sat down, he saw Yukin awkwardly smile.
1:3:22|1:3:29|Chang'an Street, brightly lit with flowing traffic and flashing lights, Yu Chunjiao waited outside.
1:3:39|1:3:46|Sitting by the window, [Yu Chunjiao] had a unique charm under the light. As soon as [Zhang Zhiming] opened the door, he saw Youyou.
1:4:3|1:4:24|Zhang Zhiming turned around, closed the door, looked at [Shang Youyou] awkwardly, thought for a moment, [Yu Chunjiao] was still sitting in the restaurant, waiting for [Zhang Zhiming] expressionlessly. She stared blankly out the window, finally couldn't help but pick up the phone. After [Zhang Zhiming] answered the phone, he hid in the bathroom with the tap running to take the call.
1:4:30|1:4:35|[Yu Chunjiao] heard [Shang Youyou]'s voice on the phone and hung up directly, sitting there in a daze.
1:4:42|1:4:54|Zhang Zhiming walked out of the restroom, while on the other side, Yu Chunjiao and Sam were sitting together eating. Yu Chunjiao was eating noodles expressionlessly and absentmindedly, as if she didn't need the specially delivered food.
1:5:54|1:6:19|She choked back tears, as the night fell outside the window, enveloping the city in silence. Inside the car shop, [Zhang Zhiming] leaned against the window, carefully examining the interior of the car. After a moment of contemplation, [Yu Chunjiao] turned to look at him.
1:7:3|1:7:10|[Grandpa] turned to look at him,
1:7:29|1:7:55|[Zhang Zhiming] ignored [the father-in-law], and a week later, [Zhang Zhiming] drove to pick up [Yu Chunjiao]. [Yu Chunjiao] carried a large backpack on her back, and [Zhang Zhiming] considerately opened the car door for her. After seeing [Yu Chunjiao] seated, [Zhang Zhiming] started driving. Pretending to be clueless, [Zhang Zhiming] said: "After looking at [Yu Chunjiao], he said:"
1:8:1|1:8:17|Yu Chunjiao and Zhang Zhiming arrived at the Great Wall Community in no time. They stopped in front of a bamboo house, with Yu Chunjiao walking into it joyfully, looking around in disbelief, while Zhang Zhiming lay on a recliner by the window.
1:8:23|1:8:30|Speaking, [Yu Chunjiao] jumped up the steps with a smile on her face, and then she walked over and lay down on the sofa.
1:8:54|1:9:0|[Yu Chunjiao] carefully brought the food to [Zhang Zhiming] wearing gloves, and when [Zhang Zhiming] smelled the fragrance, he opened his eyes wide.
1:9:19|1:9:32|[Yu Chunjiao] opened the bamboo door and smiled with satisfaction. She put her feet into the water under the bamboo house and sat down. Feeling the coolness under her feet, she enjoyed this moment of tranquility. [Yu Chunjiao] subconsciously responded to [Zhang Zhiming].
1:10:15|1:10:22|[Yu Chunjiao] stood up and adjusted her pants leg, while [Zhang Zhiming] chewed on noodles and watched her walk away.
1:11:25|1:11:33|Back in reality, [Yu Chunjiao] slowly walks in the water.
1:11:43|1:12:7|[Zhang Zhiming] sat in the pavilion, quietly listening to [Yu Chunjiao] speak. [Yu Chunjiao] sat diagonally across from [Zhang Zhiming], who chewed on noodles and stirred the takeout box a couple of times. [Zhang Zhiming] hesitated to speak, while [Yu Chunjiao] pushed open the bamboo door with a hint of anger.
1:12:39|1:13:10|[Yu Chunjiao] ignored him and walked out, leaving [Zhang Zhiming] sitting in the pavilion, hugging his knees in frustration, watching her walk away. He sighed and as night fell, surrounded by tall trees, the bamboo house seemed lonely. [Zhang Zhiming] was alone in the kitchen, talking on the phone, when he heard [Yu Chunjiao] coming out. He hung up and turned to look at her, noticing her serious expression.
1:13:18|1:13:32|[Zhang Zhiming] looked at the lowered head of [Yu Chunjiao]. [Yu Chunjiao] glanced at the floor, bit her lip, showing some dissatisfaction. [Zhang Zhiming] silently brushed past her, but she grabbed his arm, and the two of them locked eyes.
1:13:34|1:13:40|After a moment of eye contact, [Zhang Zhiming] turned his head slightly, hesitated for a moment,
1:14:6|1:14:46|Facing the question from [Zhang Zhiming], [Yu Chunjiao] once again lowered her head in dissatisfaction, then pursed her lips, raised her head, and held back tears. After a moment, she pouted and nodded, then turned to look at [Zhang Zhiming]. Impatiently, [Zhang Zhiming] put his hands in his pockets. [Yu Chunjiao] kept her head down and did not look at him again. Outside the window, [Zhang Zhiming] drove away quickly. As night fell, in the bamboo house in the forest, only [Yu Chunjiao] was left, sorrowful by the window.
1:14:49|1:15:4|[Zhang Zhiming] returned home and sat on the coffee table, lowering his head nervously. He looked up at [Shang Youyou], who was staring into his eyes, trying to gauge his reaction. [Shang Youyou] had a serious expression on her face.
1:15:42|1:16:6|Shang Youyou was lying on Zhang Zhiming's lap, Zhang Zhiming looked down at her with some guilt, while Yu Chunjiao walked with a backpack on her back, talking on the phone. The phone rang, Zhang Zhiming looked down at his phone, Shang Youyou hugged Zhang Zhiming's thigh tightly, tears welled up in Zhang Zhiming's eyes as he looked away.
1:16:7|1:16:20|Upon hearing [Shang Youyou]'s sobbing, [Zhang Zhiming] hung up the phone and [Yu Chunjiao] walked forward with a hint of disappointment.
1:18:18|1:18:35|Zhang Zhiming lowered his head to listen to the phone, while Yu Chunjiao on the other end of the line was in tears, trying hard to endure the pain.
1:18:41|1:19:16|[Yu Chunjiao] felt a bit bored, she once again put her phone to her ear to listen. Zhang Zhiming, who had just finished listening to the voice message, had tears in his eyes as he looked up at the photos on the wall. Inside the carriage, [Yu Chunjiao] looked sadly out the window, while Sam glanced back at her. [Yu Chunjiao] held back her tears and remained silent, just quietly looking out the window. Sam no longer disturbed her.
1:19:16|1:19:29|The car arrived at the destination, [Sam] parked the car at the entrance, unbuckled his seatbelt, turned off the car lights, and sat in the passenger seat while [Yu Chunjiao] remained silent.
1:19:29|1:19:36|Sam turned to look at her, [Yu Chunjiao] lowered her head expressionlessly, as if brewing something.
1:19:54|1:20:5|[Yu Chunjiao] mustered up her courage again and said, [Sam] gave a bitter smile and replied, [Yu Chunjiao] looked at [Sam] in surprise after hearing that.
1:20:15|1:20:28|[Sam] looked deeply into [Yu Chunjiao]'s eyes. After locking eyes with him, [Yu Chunjiao] fell into silence. As time passed, the car lights flickered on the streets of Beijing, the crowd surged, and they were in a KTV.
