0:1:33|0:1:38|Night falls, the bustling streets of Tokyo are illuminated by thousands of lights.
0:26:21|0:26:33|Li Shan has finished styling Ayo's hair. Ayo looks up and sees his reflection in the mirror, his bangs, which were originally neatly in place, now sticking up like an octopus tentacle on his forehead.
0:26:33|0:26:39|Ri Ge touched his already fixed hairstyle, then suddenly smiled, indicating his great satisfaction.
0:26:39|0:26:44|Putting on a three-piece suit, Li Shan swaggered behind Katie and the other two.
0:26:44|0:26:50|At this moment, [Li Shan] in a short leather jacket, approaches from the side and walks in the middle of the group.
0:26:50|0:26:54|The high nose bridge is casually adorned with sunglasses, exuding a cold and arrogant Southern aura.
0:27:6|0:27:11|In the RV, [SWAN] sticks a small paper-sized transmitter behind Ling Xin's ear.
0:27:11|0:27:17|At this moment, there was a strange sound coming from the computer. It turned out that Ayo had placed the transmitter on his forehead.
0:27:17|0:27:19|Li Shan whimsically swayed his neck.
0:27:46|0:27:51|At the seaside open-air market, Li Shan is holding a coconut drink, following behind a man in a baseball cap.
0:27:57|0:27:59|The two then sat at a small table by the roadside.
0:28:6|0:28:12|But the man in the baseball cap just lowered his head and took a bite of the sausage in his hand, indicating that he was unaware of the situation.
0:28:12|0:28:20|Rioge had no choice but to give up. He gestured towards the table full of snacks, indicating for the man in the baseball cap to enjoy them slowly, then picked up his suit jacket and left.
0:28:30|0:28:36|In the hanging building not far from the market, Righo's voice is transmitted to [Li Shan] through the conductor.
0:28:36|0:28:50|Glancing back once again, Li Shan saw the man in the baseball cap quickly take out his phone and speak in a low voice after Right Brother left the market. Right Brother, with an ice cream in his mouth, turned into a dark alley without paying any attention to the two burly men following behind him.
0:28:50|0:28:54|[Li Shan] sat at the end of the alley, leisurely peeling an apple with a knife.
0:29:1|0:29:7|She couldn't stand it and raised her hand to make a direct wave, the small knife instantly disappearing under the crotch of the man with long hair and a strong build.
0:29:7|0:29:19|At this moment, Li Shan with long hair stood in front of the burly man, lifted the knife handle heavily, asking where Tom was, while Ayo picked up the snacks that had accidentally fallen on the ground and walked towards the RV with a juice in hand.
0:29:43|0:29:46|Katie took a few bites of the grilled skewers and then hurriedly walked down from the RV.
0:29:46|0:29:50|Li Shan gestured with his hand for Ayo to catch up, as she saw him standing still.
0:29:50|0:29:54|The two quickly sneaked into [Du Mupa's girlfriend]'s house in the dark.
0:29:54|0:30:0|Katie tiptoed into the living room, took out her portable button camera, and placed it in the eye of the toy bear.
0:30:6|0:30:13|Upon hearing [SWAN]'s response, [Li Shan] had no choice but to give up and then turned to walk towards [Tom]'s girlfriend's room.
0:30:13|0:30:16|Approaching the bedside table, [Li Shan] leaned over and picked up her phone.
0:30:16|0:30:21|At this moment, Katie Dove approached [Li Shan] and handed her a data reader.
0:30:56|0:31:5|Just as [Li Shan] was saying he wasn't afraid, he suddenly jumped three feet and collapsed on the table by the window.
0:31:5|0:31:10|After successfully copying the phone data, [Li Shan] and Katie walked slowly down the steps side by side.
0:31:37|0:31:44|In front of the computer, Li Shan saw Katie being stunned by the delivery guy.
0:31:44|0:31:51|Originally, [Baby], who was still smug and content, suddenly stood up straight, pulled out a stun gun, and rushed out of the RV.
0:31:51|0:32:1|Unable to catch up in time, Li Shan had to change his target. After stunning another group of black-clothed men with a gun who were planning to escape by car, he seized their car and drove out of the alley.
0:32:44|0:32:49|Ri Ge picked up his phone, looked at the location of the two people, and exclaimed excitedly.
0:32:49|0:32:56|Sitting in the corner, Katie blinked her eyes and tried to avoid any physical contact with [Li Shan].
0:32:56|0:33:0|[Li Shan] reached behind with one hand, but couldn't find the switch no matter how hard he tried.
0:33:9|0:33:18|Katie, who had also freed her hands, extended her single arm and charged straight ahead, but always ended up bumping into Li Shan's waist and hips while feeling her way around.
0:33:18|0:33:27|[Li Shan] grabbed Katie around the waist and carried her to the side of the door, just as the car suddenly passed over a speed bump, causing the newly opened trunk to slam shut tightly once again.
0:33:31|0:33:50|At this moment, [Li Shan] embraced Katie, his right arm gently supporting her waist, while his left hand reached for the button on the car door again. When Katie realized what was happening, she shyly leaned against [Li Shan]'s neck, and then pulled down the door that had just opened once more.
0:33:50|0:33:52|Li Shan lowered his head and asked Katie, who was close at hand.
0:34:2|0:34:9|Ayo stepped on the gas pedal and accelerated away.
0:34:9|0:34:18|Brother Li Shan was staring at the car in front of him, chasing closely. When he heard what Katie said, he instantly felt something was wrong and slammed on the brakes.
0:34:18|0:34:23|Without the car coming to a stop, [Li Shan] and Katie rolled out of the trunk, then ran wildly on the main road.
0:34:31|0:34:35|Driving towards them in the RV, [Baby] pointed behind [Li Shan].
0:34:35|0:34:39|Brother Li Shan bent over and got out of the car with the open trunk.
0:34:39|0:34:43|At this moment, [Swan] runs towards the crowd.
0:34:43|0:34:48|Ignoring the recent blunder, everyone quickly followed [SWAN] back into the RV.
0:35:40|0:35:43|Everyone followed [Ayo]'s hand and looked ahead.
0:35:46|0:35:49|The sign of the West Puan Hotel came into view.
0:36:33|0:36:38|The camera zooms in, a bearded man stands by the door.
0:36:58|0:37:5|Seeing Li Shan leaving, Ayo urged Katie again, then immediately got up and sat in Katie's place.
0:37:30|0:37:33|Ayo awkwardly got up and slowly walked down from the RV.
0:37:43|0:37:53|[Li Shan] and Katie walked out of the elevator one after the other, bickering along the way. They passed by crystal chandeliers and finally arrived at the door of Room 1210.
0:37:53|0:38:1|At this moment, Du Mupa suddenly opened the door, and [Li Shan] quickly seized the opportunity, grabbing the back of Katie's head and kissing her directly.
0:38:1|0:38:7|Ke Dumupa discovered the uncertainty, turned sideways and flashed back into the room, isolating the two who were about to steal the car outside the door.
0:38:8|0:38:12|Then, he picked up the submachine gun and fired a burst of shots at the gate.
0:38:12|0:38:16|[Li Shan] took advantage of her reloading break and used his fist to push open the already dilapidated door.
0:38:16|0:38:21|Katie helped Li Shan up and then raised the stun gun to shoot at Tom.
0:38:21|0:38:26|[Li Shan] took advantage of Duma's evasion to rise up and knocked her assault rifle out with one elbow.
0:38:27|0:38:30|Immediately, [Li Shan] twisted his shoulder and pulled him down to the ground.
0:38:30|0:38:36|Unexpectedly, as Dumupa fell to the ground, another kick flew directly into Li Shan's abdomen.
0:38:41|0:38:43|With another twist, Li Shan had already rushed to the front.
0:38:44|0:38:56|Li Shan jumped up from the ground, with his left foot on the bed for support, and his right foot kicking directly at Du Mupa's face. This flying kick sent Du Mupa's spine crashing heavily onto the glass coffee table behind him.
0:38:56|0:39:9|Li Shan then bent down and grabbed her collar, intending to ask for an explanation. But seeing Du Mupai looking anxiously towards the cake box on the corner of the room's desk, she stopped in her tracks and carefully opened it.
0:39:18|0:39:24|Du Mupaze was surprised why [Li Shan] knew the cake was a bomb, and listened to what [Li Shan] said.
0:39:35|0:39:39|As soon as the words fell, a strange sound came from the well in Du Mupapa.
0:39:39|0:39:43|[Li Shan] pulled open her collar, revealing a necklace-shaped bomb counting down.
0:40:18|0:40:25|The countdown sound effects became more and more urgent, Du Mupa pushed away Katie's hands with one hand, twisted and ran towards the bathroom in the room.
0:40:26|0:40:34|With a loud bang, flames instantly engulfed the entire living room, and the intense shockwave directly knocked Li Shan and Katie to the ground.
0:40:36|0:40:47|[Li Shan] pulled the chair and smashed the window on the ground.
0:40:47|0:40:52|Katie is still not giving up, she plans to continue questioning Southeast Han in the bathroom.
0:40:52|0:40:55|Li Shan pulled him over and then jumped off the twelfth floor.
0:40:57|0:41:3|In the RV, the three of them, already shocked by the explosion, anxiously look towards the hotel building.
0:41:3|0:41:11|[Li Shan] was seen adjusting his posture in mid-air as he leaped out of the window, half embracing Katie with his back facing upwards, and fell straight into the open-air swimming pool below.
0:41:12|0:41:21|At this moment, in front of the floor-to-ceiling windows of another hotel across the street, a slender figure extended his right arm and elegantly played with the firelight in the air.
0:41:21|0:41:29|After the dust settled, the next morning in the RV was so cold and silent, [Li Shan] looked at Li Shan and Catty and said.
0:41:41|0:41:44|[SWAN] awkwardly pursed his lips in an attempt to liven up the atmosphere.
0:41:51|0:41:56|In the RV, [Li Shan] and Katie sit opposite each other, arguing loudly.
0:42:6|0:42:12|Katie inexplicably shifted her gaze back to [Li Shan] and then took a deep breath.
0:42:20|0:42:24|Katie banged on the door, swaggered in, leaving four people standing in place.
0:42:25|0:42:29|[Li Shan] scraped the ground with his heel and took the lead, walking forward.
0:42:37|0:42:41|[Li Shan] stopped moving forward, looked down, and suddenly, a heavy truck rushed out from the side of the road.
0:42:59|0:43:5|[Li Shan] looked towards the end of the road, only to see Katie's RV being hit by the werewolf.
0:43:5|0:43:10|Four burly men got off the truck, ready to take Katie away, when suddenly [Li Shan] rushed towards them.
0:43:10|0:43:16|The leader raised his hand and fired a shot, only to see a tranquilizer dart firmly pierce Li Shan's right arm.
0:43:16|0:43:24|[Li Shan] didn't have time to think too much. He quickly grabbed a long anesthesia needle with his left hand, reached into his waist with his right hand, and swung out the expandable baton straight towards the opponent's face.
0:43:25|0:43:31|Li Shan swiftly bent down, wielding a retractable staff, and ended the battle with just a few moves.
0:43:31|0:43:40|Unfortunately, the tranquilizer suddenly took effect. The leader took advantage of Li Shan's daze, got up, and slammed his head heavily into Li Shan's waist.
0:43:40|0:43:45|[Li Shan] instinctively struck the back of the opponent's head with his elbow, then collapsed softly on the ground.
0:43:48|0:43:53|In a state of unconsciousness, it seemed like the sound of children playing and frolicking in the alley could be heard.
0:43:53|0:43:56|The voice of the child was getting closer and closer.
0:43:56|0:44:2|Before long, the children's voices simultaneously stopped in a small wooden cabin.
0:44:2|0:44:7|On a low bed that barely reaches the knees, a boy is approaching the unconscious [Li Shan] with a string of grilled snacks in his hand.
0:44:9|0:44:14|Seeing [Li Shan] suddenly wake up, the children scattered and ran outside.
0:44:14|0:44:17|[Li Shan] propped himself up with one arm and looked around.
0:44:17|0:44:23|At the head of the bed, the hollow humidifier is working slowly, and the warm light on the ceiling helps people fall asleep.
0:44:23|0:44:28|Afterwards, [Li Shan] stood up and walked outside, following a bamboo path to the end.
0:44:28|0:44:33|In front of them, the tall trees were decorated with lights and the high canopy was full of people.
0:44:38|0:44:41|Ayo and Li Shan, the newlyweds, bow to the guests in gratitude.
0:44:58|0:45:2|[Li Shan] and Ayo looked around, searching for Katie's figure.
0:45:2|0:45:7|The next moment, Katie walked past the guests and stood smiling in front of the two.
0:45:7|0:45:9|[Baby] is roasting a whole lamb on the other side.
0:45:18|0:45:22|Tianke gnawed on corn, looking at Li Shan and Katie in front of the cabin.
0:45:26|0:45:31|After a moment of silence, [Li Shan] leaned his arms against the railing of the wooden house spring and spoke to the person beside him.
0:45:40|0:45:43|Katie turned her head and looked up to ask [Li Shan].
0:45:46|0:45:52|[Li Shan] heard this and slowly avoided Katie's gaze, turning his eyes to the crowd celebrating in front of him.
0:45:54|0:45:57|Katie smiled lightly and didn't press for more answers.
0:46:24|0:46:31|At some point, Li Shan, who was gazing ahead, unexpectedly had tears in his eyes. Katie looked away and sighed.
0:46:37|0:46:41|Speak up, Katie turned her head to look at [Li Shan] again, but smiled and pursed her lips.
0:46:54|0:47:4|In a playful moment, Li Shan's emotions returned to normal. He smiled at Katie, and just as the two were bantering, the sound of fireworks suddenly rang in their ears.
0:47:4|0:47:14|They turned their heads in unison towards the front following the sound, where colorful flags and lanterns hanging on the branches adorned the central area of the crowded forest pavilion, creating a very harmonious and warm atmosphere.
0:47:15|0:47:37|The sky was filled with sky lanterns carrying the hopes and dreams of people of all ages and genders. As they rose slowly into the hazy moonlight, a message came through on Tianke's phone. Singapore has expressed its stance on the terrorist attack, promising to hold the responsible parties accountable and collaborate with Thailand and Interpol in the future.
0:47:45|0:47:49|Ayo was staring at the news footage, muttering to himself.
0:48:0|0:48:5|Next to the spokesperson, a woman in a [Ling Xin] suit caught Ayo's attention.
0:48:20|0:48:23|Tianke pulled up the woman's information and showed it to everyone.
0:48:37|0:48:39|Tianke lightly taps the keyboard, and a message pops up.
0:48:56|0:49:1|Katie assigned tasks clearly, and everyone immediately left the cabin to start preparing.
0:49:1|0:49:6|The next morning, a group of five people boarded a comfortable and luxurious private plane.
0:49:42|0:50:4|[Baby] quickly used a napkin to wipe [Li Shan]'s pants. At this time, [Ayo] crawled out of the rear cabin with a lesson from last time, and was the first to put on the landing suit. "I'm ready to jump," he said. By the shady, snow-like, soft and cloud-like beach, facing the sea, bathing in the morning sun, stands the towering A Hotel.
0:50:4|0:50:10|And facing the cliff above A Hotel, another five-story villa also shines with a touch of sunlight.
0:50:11|0:50:19|At this moment, the elevator bell rings and the door opens in the villa. Katie enters the luxurious hall first, then stands in front of the leather sofa.
0:50:19|0:50:30|Next, [Li Shan] raised his hand across the sofa, and the curtains in front of him fell as if by sensing, allowing the sunlight to trickle into the spacious and desolate hall through the tall French windows.
0:50:30|0:50:38|Li Shan and Ayo, who were walking at the back, stopped in their tracks and stood still when they saw the scene ahead.
0:50:38|0:50:47|Tianke felt like he was back home, first picking up a glass of water and taking a sip, then walking to the side of the marble platform.
0:50:47|0:50:59|Calling out to [Li Shan] and [Ayo], he pressed a button on the stage and a mist sprayed out. Suddenly, an oval-shaped secret door opened, revealing a display case filled with various lipsticks, hair gels, and other cosmetics.
0:51:4|0:51:8|[Li Shan] and [Ayo] couldn't help but come to the display case.
0:51:8|0:51:13|[Ayo] couldn't help but step forward and pick up a cylindrical bottle of hair gel.
0:51:49|0:51:51|[Li Shan] looked at the electrified baton.
0:52:41|0:52:58|One person on the left and one person on the right grabbed his trousers and pulled them down, then turned around and threw them into the small fountain.
0:53:13|0:53:20|Li Shan, who thought it wouldn't explode, argued as he stood up and looked at the mess in front of him.
0:53:20|0:53:26|At the moment of the explosion, [Baby], who was standing in front of Katie, quickly got up and pulled the two of them away.
0:53:26|0:53:30|Continuing, the four of them exchanged a smile and looked helplessly at [Ayo] hiding beside the fountain.
0:53:32|0:53:37|He, with only his underwear on the lower half of his body, launched an attack on the city, covering his face and crying in pain.
0:53:37|0:53:41|After a brief farce, the five of them split up and began to take action.
0:53:41|0:53:47|In a busy dock, a crane is slowly lowering a container onto a truck.
0:53:47|0:53:50|After getting ready, the truck followed a sedan and left the dock.
0:53:51|0:53:55|In a hidden corner, a camper van followed closely behind.
0:53:55|0:54:4|On the other side, [Li Shan] arrived at the top floor of Hotel A, put on special sunglasses, and could even see the figures of people below through the floor.
0:54:4|0:54:9|[Baby] drills with a hammer, creating several small holes about 10 centimeters deep in the ground.
0:54:9|0:54:16|Later, [Li Shan] carefully took out a small tube that looked like mascara, removed the core inside, and placed it in the hole.
0:54:18|0:54:25|A man in a floral shirt bows as he opens the car door for [Ayo].
