0:1:56|0:2:1|At this moment, a handsome man and a beautiful woman are flirting in a high-end restaurant.
0:5:51|0:6:5|She turned around, sweetly kissed [Chen Jiaqiao], mischievously put her own empty city hat on his face, and then bounced away to open the balcony French window.
0:6:5|0:6:9|The man affectionately kissed the girl's cheek and then took out a property deed from his pocket.
0:6:13|0:6:18|The girl looking at the property deed was stunned, and after a long time, she looked up at [Luo Yi].
0:6:49|0:6:55|Looking at the girl pouting with a face full of grievances, the man helplessly pinched her chin.
0:6:55|0:6:59|In the late night, the girl was immersed in her dreams, letting out a restless sigh.
0:7:0|0:7:6|In the blink of an eye, another late night. The [flight attendants] walked out of the airport lobby in groups, pulling their suitcases.
0:7:6|0:7:15|A [flight attendant]'s boyfriend considerately carried the luggage and got on the car with his girlfriend, while the other staff members walked out chatting and laughing.
0:7:16|0:7:21|The girl stood alone at the door of the hall, pulling the suitcase without moving.
0:7:21|0:7:30|Obviously, the man did not come to pick her up this time. Just as she was about to leave alone with her head down, the [flight attendant] who had been taken away by her boyfriend returned once again.
0:7:34|0:7:40|[COCO] raised the wine glass and finished it in one gulp.
0:7:40|0:7:46|[COCO] raised the wine glass and drank it all in one gulp.
0:7:46|0:7:54|[COCO] raised the wine glass and drank it all in one gulp.
0:7:54|0:8:1|[COCO] raised the wine glass and finished it in one gulp.
0:8:18|0:8:24|At this moment, [COCO] was already half drunk, and excitedly lifted the wine glass again, taking a big sip.
0:8:24|0:8:29|In the early morning, the door of [COCO]'s room was opened, and someone walked in sleepily.
0:8:29|0:8:33|However, all of this did not wake up the hungover [COCO].
0:8:33|0:8:35|The first chapter of the film, setting the stage.
0:8:35|0:8:45|At this moment, [COCO] is still sound asleep, looking pure and serene. The person who came in seems reluctant to wake him up, half kneeling on the ground, picking up the scattered clothes of [COCO] one by one.
0:9:20|0:9:27|[Chen Jiaqiao] did not answer, but kept kissing [COCO]'s forehead repeatedly.
0:9:27|0:9:36|[Chen Jiaqiao] remained silent, easily approaching [COCO], only to be impatiently avoided by the other party.
0:9:40|0:9:44|[Chen Jiaqiao] turned around wearily and silently placed his hand over his eyes.
0:9:44|0:9:52|The next moment, [COCO] rushed into the kitchen, clumsily cracking eggs into the pot and haphazardly sprinkling seasonings inside.
0:9:53|0:9:58|[Chen Jiaqiao] lay on the sofa in the living room, looking very annoyed when he heard the phone ringing.
0:9:58|0:10:5|In the end, he took out his phone from his pocket, glanced at the caller ID, and then threw it onto the coffee table.
0:10:5|0:10:12|On the screen, the words "Yanzi calling" appeared. On the other side, COCO walked out of the kitchen with a freshly cooked instant noodle, smiling.
0:10:31|0:10:43|Please like, subscribe, share, and support the Mingjing and Diandian programs. [COCO] was about to step forward to check the incoming call display when suddenly enraged [Chen Jiaqiao] startled her.
0:10:43|0:10:51|[Chen Jiaqiao] slammed his face onto the ground, grabbed the phone on the table without hesitation, and shook off [COCO]'s hand to leave.
0:10:51|0:10:54|[COCO] was left sobbing helplessly.
0:10:54|0:11:0|After a long time, [COCO] knelt on the ground, slowly wiping away the soup and water with a towel and brush.
0:11:0|0:11:6|However, every time she wiped, she couldn't help but recall the scene just now, and she collapsed, lowering her head.
0:11:6|0:11:9|Suddenly, the sound outside the door caught the attention of [COCO].
0:11:9|0:11:12|However, when he looked up, he saw nothing at all.
0:11:12|0:11:17|[COCO] lowered her eyes and vigorously wiped the floor again.
0:11:17|0:11:21|However, the unidentified noise outside the house once again caught her attention.
0:11:21|0:11:26|Looking up again this time, Chen Jiaqiao still didn't see anything unusual.
0:11:33|0:11:39|[COCO] hurriedly walked towards the door, without seeing Jiaqiao's figure.
0:11:39|0:11:43|As she walked back in disappointment, she was startled by the sudden appearance of a woman.
0:11:43|0:11:47|[COCO] gave a perfunctory smile and was about to close the door.
0:12:7|0:12:12|The woman's pleading, full of affection, made [COCO] unable to refuse, so she had to let her in the house.
0:12:12|0:12:18|After the woman entered, she placed the thermos on the table and took a few steps forward at a steady pace.
0:12:18|0:12:24|She turned her head slightly to illuminate the bedroom for a moment, then casually observed the furnishings in the living room.
0:12:34|0:12:40|The woman knelt down without saying a word and skillfully wiped the floor with a rag.
0:12:40|0:12:44|[COCO] was at a loss, squatting on the side, only able to wash the detergent on the ground.
0:12:44|0:12:48|Suddenly, the woman stopped and picked up a photo of [COCO] and the two of them.
0:12:54|0:12:59|[COCO] frowned, took the photo frame from the woman's hand and placed it on the table, then continued to scrub the floor with her head down.
0:13:2|0:13:15|[COCO] said nothing, but the reddened eye sockets and tightly clenched lips spoke volumes.
0:13:15|0:13:18|The woman took out a tissue from her bag and gently wiped away [COCO]'s tears.
0:13:23|0:13:27|In the next moment, [COCO] was holding a thermos of soup and drinking it heartily.
0:14:5|0:14:9|The woman slowly straightened up and approached [COCO].
0:14:55|0:15:2|Gu Xiaofan and [COCO] hit it off at first sight and even went shopping together at the supermarket.
0:15:2|0:15:6|COCO handed a flower plate to [Gu Xiaofan].
0:15:6|0:15:12|Gu Xiaofan shook his head and put the plate back on the shelf, but COCO seemed reluctant and picked it up again.
0:15:21|0:15:30|[COCO] ultimately placed the floral plate back on the shelf.
0:15:30|0:15:34|That day, Chen Jiaqiao parked the car in front of the airport departure hall, anxiously looking around.
0:15:35|0:15:43|Upon seeing [COCO] come out, he immediately honked the horn, but [COCO] ignored him and continued to walk forward with the suitcase.
0:15:43|0:15:48|Jiaqiao quickly stopped the car and reached out his hands to block COCO's way.
0:16:0|0:16:4|[COCO] may have a frown on her face, but she can't hide the smile on her face.
0:16:4|0:16:10|As soon as they entered the house, they couldn't contain the passion in their hearts and kissed each other.
0:16:10|0:16:15|She threw away the hat in her hand, constantly rubbing Chen Jiaqiao's face, expressing her longing.
0:16:15|0:16:19|Suddenly, COCO pushed Chen Jiaqiao away as if she remembered something.
0:16:23|0:16:29|[COCO] pecked Chen Jiaqiao's lips like a dragonfly touching the water, then hurriedly slipped to the side and clumsily put on high heels.
0:16:44|0:17:3|[COCO] under the guidance of [Chen Jiaqiao], went to the supermarket and bought two large bags of ingredients. Excitedly, she ran back home. Taking advantage of the time when [Yanzi] was taking a shower, [COCO] rushed into the kitchen, put on an apron, took out several bowls and plates from the cupboard, then grabbed the cutting board from the table, and went to the outdoor sink.
0:17:3|0:17:4|She returned to the kitchen once again.
0:17:5|0:17:9|Take out the draining basket, quickly wash the vegetables clean, and take them out.
0:17:9|0:17:26|For the first time, [COCO] cooked a meal seriously for her boyfriend, making him both excited and nervous. He skillfully cut the onions into large pieces, prepared a series of seasonings such as ginger and garlic, carried the seasoning bowl back to the kitchen, closed the kitchen door tightly, and quietly dialed a phone number on his phone.
0:17:35|0:17:40|COCO blushed and pushed Chen Jiaqiao out of the kitchen, then closed the door again.
0:17:42|0:17:48|[Chen Jiaqiao] stood outside the kitchen like a mischievous child, holding a necklace in her hand.
0:17:48|0:17:55|Just as [COCO] was in a panic, he sneaked into the kitchen, wrapped his arms around [COCO], and carefully put the necklace on for the other person.
0:18:3|0:18:16|[COCO] kissed [Chen Jiaqiao] to comfort him, then playfully pushed him out of the kitchen again.
0:18:16|0:18:24|[COCO] was in a panic and accidentally cut herself several times with the scissors while rushing.
0:18:24|0:18:32|The thick soup in the clay pot is about to overflow. After lifting the lid, the lamb soup stewed with burnt sauce is appetizing.
0:18:32|0:18:41|At the dining table, Chen Jiaqiao picked up the clay pot and drank all the soup inside without leaving a drop, then looked at COCO coquettishly.
0:18:41|0:18:49|[Chen Jiaqiao] shook his head and rubbed against [COCO]'s chest, then lifted [COCO] up, with his legs still around his waist.
0:18:50|0:19:1|[COCO] lay delicately with a slender waist, [Chen Jiaqiao] effortlessly carried her into the bedroom, kissing each other along the way, filling the room with the scent of shadows.
0:19:1|0:19:9|Chen Jiaqiao's first dish is called Peppered Lamb Chops Treasure, not only delicious but also with aphrodisiac effects.
0:19:9|0:19:14|Chen Jiaqiao placed [COCO] on the bed and quickly took off his own clothes.
0:19:14|0:19:18|While the two were enjoying themselves, Jiaqiao's phone rang again.
0:19:20|0:19:26|At the same time, a strange woman holding a bowl of soup hung up the unanswered phone call.
0:19:26|0:19:32|The next day, in a bustling teahouse, a woman was skillfully brewing the tea in front of her.
0:19:32|0:19:40|Later, she lifted the teapot, raised and lowered it to pour water, repeating the motion three times, exactly like the memory of the phoenix nodding three times.
0:19:40|0:19:44|The tea maker is actually [Gu Xiaofan], who handed a handbag to [Coco] with force.
0:19:59|0:20:4|At the persuasion of [Gu Xiaofan], [COCO] went to the bathroom with her to change into a new dress.
0:20:4|0:20:12|The dark suspender dress set off [COCO]'s skin even whiter, and she twirled satisfactorily in front of the mirror.
0:20:12|0:20:16|[Chen Jiaqiao] had one hand on [COCO]'s chest and the other around her shoulder.
0:20:27|0:20:33|Since then, [COCO]'s first action upon returning home was to turn on the gas stove and cook a delicious dish according to the recipe.
0:21:27|0:21:34|[COCO] is unaware that the unfamiliar woman is carrying a pot of soup that bears a striking resemblance to Gu Xiaofan.
0:21:34|0:21:39|[COCO] failed to have an epiphany and return home, and ended up falling asleep on the dining table.
0:21:39|0:21:47|Chen Jiaqiao, who returned home late, tiptoed over and glanced at COCO, who was still half asleep, and then started to enjoy the feast in front of him.
0:21:47|0:21:50|Chen Jiaqiao took a spoonful of warm flowers and stuffed them into his mouth.
0:21:51|0:22:2|COCO, who was awakened by the crisp sound of dishes and chopsticks clinking in front of him, looked at his boyfriend [Luo Yi] happily eating in front of him, and he smiled contentedly.
0:22:15|0:22:33|At this moment, [Yanzi]'s home remains quiet and silent, with only a lamp on the stove still lit. The soft light shines on the boiling pot, and in the middle of the night, Jiaqiao seems to be awakened by the thunder, picking up a glass of water and drinking it quickly, while [COCO] remains sound asleep.
0:22:33|0:22:39|One day, [COCO] was tidying up the dishes and chopsticks when a sudden vibration of the phone made him stop his movements.
0:22:39|0:22:47|[COCO] touched the coat draped over the chair, confirmed that the sound came from his pocket, and carefully took out the phone from inside.
0:22:48|0:22:56|He glanced at the incoming call display, then turned back to [Chen Jiaqiao] who was sound asleep, and answered the phone.
0:22:56|0:23:10|The other party not only did not respond, but also hung up the phone. Curious, [COCO] glanced at [Chen Jiaqiao] and then redialed the number.
0:23:10|0:23:17|The lonely telephone rings in the empty room, with no one answering it. Helpless [COCO] has no choice but to hang up the phone.
0:23:23|0:23:29|COCO, who had just finished work, didn't have time to change into her flight attendant uniform, so she hurriedly made an appointment with Gu Xiaofan to pick up a food box.
0:23:29|0:23:32|This is the third dish prepared for [Chen Jiaqiao] - steamed hairy crabs.
0:23:32|0:23:36|The meat of hairy crabs is fat, fresh, and delicious, tonifying the channels and collaterals, consolidating essence, clearing heat, and detoxifying.
0:23:36|0:23:41|[COCO] quickly took the delicious food out of the lunch box and placed it on the plate, then hurriedly hid the lunch box in the cupboard.
0:23:57|0:24:1|That day, [Chen Jiaqiao] and [Yanzi] were playing doubles tennis in the gym.
0:24:1|0:24:6|[COCO] and [Chen Jiaqiao] cooperate seamlessly, and soon they shout loudly.
0:24:6|0:24:11|Jiaqiao watched as COCO caught the ball attentively, then playfully used the racket to pat COCO's bottom.
0:24:11|0:24:15|Jiaqiao suddenly changed her expression, trembling as she crouched down.
0:24:28|0:24:33|Chen Jiaqiao lifted his head in pain, for a moment not knowing where he was, feeling only a dizzying sensation of the world spinning around him.
0:24:33|0:24:37|[COCO] suddenly realized something was wrong and quickly hugged him.
0:24:37|0:24:55|[COCO] was about to answer the phone, but was still blocked by Chen Jiaqiao's frowning.
0:25:5|0:25:10|Jiaqiao intended to comfort [COCO] with a kiss, but was avoided by the other party discontentedly.
0:25:10|0:25:16|Chen Jiaqiao didn't insist anymore, picked up the tennis bag and walked towards the door, leaving only [COCO] behind.
0:25:16|0:25:25|And [COCO], like a little girl, quickly put aside the negative emotions and happily went shopping with Gu Xiaofan in a few supermarkets.
0:25:25|0:25:29|Gu Xiaofan pointed at the fish in the water tank, smiling with a deep meaning.
0:25:29|0:25:31|Back home, the hyperactive fish flopped onto the ground.
0:25:32|0:25:35|[COCO] was so scared that she jumped up and almost fell down.
0:25:35|0:25:40|Gu Xiaofan was lying on the ground desperately grabbing, and the two of them laughed heartily.
0:25:40|0:25:51|Gu Xiaofan is obviously an experienced cook. He slices the shredded potatoes quickly and evenly, carefully removes the seeds from the bell peppers, and even cuts the scallions into different shapes according to their different uses.
0:25:51|0:25:58|After seasoning the fish, Chen Jiaqiao skillfully cut it into beautiful flower patterns, and then evenly spread the beaten egg mixture on the fish.
0:25:58|0:26:3|After the oil in the pot reached a certain temperature, she slid the fish in along the edge of the pot.
0:26:3|0:26:11|This is the fourth dish, stewed catfish with sea cucumber, sweet in taste and warm in nature, nourishing the middle and benefiting yang.
0:26:13|0:26:18|[COCO] immediately dropped the kitchen utensils and ran out of the kitchen with a big smile on her face.
0:26:32|0:26:42|In the gap while waiting for the elevator, the two of them kissed as if no one else was around, while at home Gu Xiaofan calmly poured the fermented black beans all over himself, and neatly brought it to the dining table.
0:26:42|0:26:42|After entering the elevator, [Chen Jiaqiao], [Yanzi], COCO, and [Luo Yi]...
0:26:54|0:27:2|At the same time, Chen Jiaqiao calmly tidied up the dining table, even pouring two cups of white wine, looking every bit like a hostess.
0:27:2|0:27:8|Jiaqiao and [COCO] passionately kissed until the elevator's arrival signal interrupted their passion.
0:27:8|0:27:15|[COCO] took the lead out of the elevator, tossing her hair back seductively and effortlessly putting the glasses back on Chen Jiaqiao.
0:27:28|0:27:32|[COCO] excitedly ducked into the kitchen, only to find that Chen Jiaqiao was nowhere to be seen.
0:27:32|0:27:39|She picked up the apron and pouted, unable to resist dialing the phone.
0:28:1|0:28:7|[COCO] hung up the phone with a smile, as if remembering something joyful, and left a message to slip out of the kitchen.
0:28:7|0:28:13|At this moment, Gu Xiaofan, with a cold expression, walked out of the elevator, completely different from her usual gentle smile.
0:28:17|0:28:21|Chen Jiaqiao immediately lifted the heavy oven and walked towards the kitchen.
0:28:21|0:28:24|As soon as [Chen Jiaqiao] entered the kitchen, an unexpected incident occurred.
0:28:34|0:28:39|Later, Chen Jiaqiao was taken to the hospital and underwent various tests with different instruments.
0:28:39|0:28:45|From CT scans to MRI, every possible area that can be checked has been meticulously examined.
0:29:8|0:29:19|[COCO] carefully studied the recipe, occasionally lifting the lid to check the status of the stew.
0:29:22|0:29:25|Chen Jiaqiao rubbed his eyes listlessly, looking like he couldn't wake up.
0:29:25|0:29:36|[COCO] placed the soup in front of him, affectionately kissing his forehead, while [Chen Jiaqiao] only took a few sips before furrowing his brow and absentmindedly pushing the food around in his mouth.
0:29:38|0:29:44|[COCO] approached in confusion, with a few broken strands of hair floating on the tip of the spoon.
0:29:44|0:29:48|He looked at [Chen Jiaqiao] again, and was instantly shocked.
0:29:51|0:30:6|[Jiaqiao] touched his eyebrows, only to find that they easily fell off. In a panic, he couldn't listen to any of [Coco]'s comforting words. He stood up and rushed into the bathroom. Almost pressing his face against the mirror, he stared at himself for a long time before couldn't help but reach out and pull at his right eyebrow.
0:30:7|0:30:15|Before he even exerted any force, a clump of hair was plucked from between his fingers. He stubbornly tugged at the left eyebrow, twisting the hair around his finger in an instant.
0:30:15|0:30:22|Even more terrifying, when [Chen Jiaqiao] was taking a bath, she found that the amount of hair falling in the bathtub seemed as if it had been cut by someone.
0:30:22|0:30:30|He incredulously scooped out the hair, grabbed a handful on his head, and [Chen Jiaqiao] couldn't help but tremble, leaning weakly against the wall with his hands full of hair.
0:30:30|0:30:34|He frantically splashed water on his head and kept rubbing it.
0:30:34|0:30:44|After the breakdown, [Chen Jiaqiao] hugged her head, dried off the water droplets on the mirror after showering, ran her fingers through her hair again, as expected, her hand was full once more.
0:30:44|0:30:48|[COCO] couldn't help but walk in when she saw the mirror covered with hair.
0:30:59|0:31:5|Jiaqiao weakly leaned on [COCO] as if clinging to the last straw for help.
0:31:5|0:31:9|Upon hearing the nurse's call, [Chen Jiaqiao] walked into the examination room dejectedly.
0:31:9|0:31:12|A male doctor uses tweezers to continuously pluck out Jiaqiao's hair.
0:31:23|0:31:26|Extract several active hair follicles from the patient's subcutaneous tissue.
0:31:38|0:31:39|The inflammation runs deep.
0:31:49|0:31:59|At this moment, [Yanzi] is still guarding the lonely stove.
0:31:59|0:32:2|After lifting the lid, a thick steam rushed out.
0:32:2|0:32:9|[COCO] stood in her own kitchen, pondered for half an hour, then took out her phone and dialed a number.
0:32:53|0:33:2|Later, the Chinese doctor had Jiaqiao lie on the bed and applied several fire cups to his back to detoxify, followed by acupuncture treatment.
0:33:2|0:33:6|Before long, thin and long needles were inserted into the head, like a hedgehog.
0:33:6|0:33:10|Suddenly, a stream of blood flowed down the forehead, making [Chen Jiaqiao] both shocked and scared.
0:33:39|0:33:49|[Chen Jiaqiao] rushed out of the traditional Chinese medicine shop, pushing away [COCO]'s arm, and walked down the stairs without looking back, leaving her standing there alone feeling wronged.
0:34:9|0:34:14|Gu Xiaofan handed a freshly brewed cup of tea to [COCO] with a smile.
0:34:40|0:34:46|Gu Xiaofan smiled meaningfully and gently pushed the stone box towards [COCO].
0:34:46|0:34:49|After the conversation, Gu Xiaofan left again on the light rail.
0:34:49|0:34:57|Before the vehicle started, he waved to [COCO], but [COCO] seemed to still be immersed in the struggle with [Chen Jiaqiao], a little distracted.
0:34:57|0:34:58|Soon.
0:35:0|0:35:11|[COCO] carried a huge stone box on her arm, walking casually. Suddenly, she stopped in front of a bookstore, furrowing her brow in hesitation for a few seconds before absentmindedly stepping into the shop.
0:35:11|0:35:18|After a search, she pulled out a copy of "Daily Gourmet" edited by Gu Xiaofan from the bookshelf corner in the living cooking area.
0:35:19|0:35:29|However, at the moment when flipping through the pages, [COCO] was stunned to see a photo of Gu Xiaofan in the book, realizing that the Gu Xiaofan he had recently been in contact with was not the same person.
0:35:36|0:35:43|[COCO] unbelievably flipped through the cover's name, then flipped the page again to look at the photo.
0:36:15|0:36:23|At this moment, a chill shot straight to his forehead, causing him to weakly lower his hand and slowly squat down against the wall of 1308.
0:36:23|0:36:33|At the same time, another family was energetically changing windows, and what was chilling was that Gu Xiaofan's stove and clay pot appeared in this family.
0:36:33|0:36:38|The person who has been pretending to be Gu Xiaofan is none other than Chen Jiaqiao's wife, [Yanzi].
0:36:38|0:36:43|At this moment, [Chen Jiaqiao] on the side is dressed in a casual home outfit, stretching lazily.
0:36:59|0:37:9|Upon seeing [Chen Jiaqiao] pick up the medicine bottle, [Yanzi] immediately set down the ingredients in her hand, grabbed a glass and went to fetch water. As [Chen Jiaqiao] reached out, the glass of water was smoothly placed into his hand.
0:37:13|0:37:19|[Chen Jiaqiao] finished the medicine, weakly coughed, and then impatiently glanced out the window.
0:37:19|0:37:26|On the other side, [COCO] kept flipping through two "Daily Gourmet" magazines, trying to find a clue.
0:37:26|0:37:32|[Yanzi] gently supports her chin with one hand, looking at [Chen Jiaqiao] in front of her, then picks up the chopsticks to prepare to pick up some food as well.
0:37:32|0:37:40|Suddenly, [Chen Jiaqiao] put down the chopsticks in her hand, took out a delicate velvet jewelry box from under the table, opened it, and handed it to [Yanzi].
0:37:46|0:37:55|[Yanzi] ignored [Chen Jiaqiao]'s fake smile, staring expressionlessly at the necklace in front of him before reaching out to take it after a long pause.
0:37:55|0:38:4|[Chen Jiaqiao] smiled and lowered her head, took a few bites of rice, while [Yanzi] slowly took out a necklace from the box, but hesitated to put it on.
0:38:4|0:38:14|[Chen Jiaqiao] stood up again after seeing the situation, walked around behind [Yanzi], took the necklace from her hands, carefully unfastened the clasp, and gently put it around [Yanzi]'s neck.
0:38:14|0:38:19|But [Yanzi]'s expression remained indifferent, showing no signs of joy.
0:38:19|0:38:25|Yanzi finally showed a hint of a smile when Chen Jiaqiao pulled her into his arms and kissed her.
0:38:25|0:38:28|[Jiaqiao] gently pressed her shoulder to comfort her, then sat back in her seat.
0:38:29|0:38:38|[Yanzi] caressed the pendant on her collarbone, still lost in thought with an expressionless face, then the two continued to peacefully have lunch.
0:38:45|0:38:57|[Yanzi] focused on peeling the shrimp in her hand, as if it was just a casual remark. [Chen Jiaqiao] paused for a moment, then set down her chopsticks, took out a tissue, wiped her mouth leisurely, and leaned towards [Yanzi].
0:39:2|0:39:19|[Yanzi] still showed no emotion, but instead dipped the peeled shrimp in sauce and handed it to [Chen Jiaqiao]'s mouth.
0:39:19|0:39:27|[Chen Jiaqiao] opened his mouth without hesitation, swallowed the shrimp, and also touched [Yanzi]'s fingers.
0:39:27|0:39:29|[Yanzi] carefully helps [Chen Jiaqiao] put on his coat.
0:39:40|0:39:45|[Yanzi], like every virtuous wife, helps her husband tie his tie.
0:39:45|0:39:48|After tidying up her clothes neatly, [Chen Jiaqiao] watched her walk out of the door.
0:39:51|0:40:0|On the other side, [COCO] was not as leisurely, he kept staring at the computer screen without a moment's rest, searching for all the information about Gu Xiaofan.
0:40:0|0:40:5|However, no matter how he searched, the Gu Xiaofan on the food website was not the one he knew.
0:40:5|0:40:8|He tried his best to walk forward and stand up, even greeting his colleagues was very difficult for him.
0:40:31|0:40:41|[Chen Jiaqiao], wearing sunglasses, making it hard to see his expression. However, his complexion reveals a hint of illness, barely holding up. At this moment, the secretary also steps forward.
0:40:45|0:40:49|[Chen Jiaqiao] impatiently took the documents from the secretary and flipped through them as he walked.
0:40:49|0:40:59|Suddenly, he felt a dizzy spell and everything spinning around him. He stopped in his tracks, his eyes rolling uncontrollably upwards, and then he collapsed to the ground.
0:40:59|0:41:6|[Chen Jiaqiao] fell to the ground, foaming at the mouth and convulsing, with scattered documents all over the floor. The next moment, he was rushed to the hospital.
0:41:6|0:41:12|At this moment, [Chen Jiaqiao] on the emergency bed has long been unconscious, with traces of vomit still not cleaned up at the corner of his mouth.
0:41:13|0:41:22|The surgical lights in the operating room all lit up, and [Doctor] skillfully opened [Chen Jiaqiao]'s eyelids to observe the condition of the pupils, and the surgery proceeded in an orderly manner.
0:41:49|0:41:56|On screen, as a fan of [Luo Yi], [Yanzi] and [COCO] are tightly hugging each other, sending a chill down [COCO]'s spine.
0:42:58|0:43:1|[Yanzi] looked at [Chen Jiaqiao] lying on the sickbed, with a mocking smile on her face.
0:43:32|0:43:40|[Yanzi] looked at the attending physician of [Chen Jiaqiao], the sarcasm in her eyes vanished, replaced by deep concern and heaviness.
0:43:40|0:43:52|With an excellent professional background, [Yanzi] effortlessly took [Chen Jiaqiao] out of the hospital. [Yanzi] had her hair tied in a simple ponytail, wearing a chiffon shirt with partially exposed sleeves, showcasing her sexy shoulders.
0:43:53|0:43:58|His smile was satisfied and gloomy, and he wheeled [Chen Jiaqiao] out of the hospital with just one wheelchair.
0:43:58|0:44:3|At this moment, even though it's not yet autumn, [Chen Jiaqiao] is already wrapped in the coat of autumn.
0:44:3|0:44:8|He tilted his head, dozing off weakly, unaware of where he was.
0:44:8|0:44:14|And [Yanzi], seemingly tireless, pushed him out of the hospital and crossed numerous streets to reach the riverside.
0:44:15|0:44:21|Under the meticulous planning of [Yanzi], the man in front of her could no longer escape from her control.
0:44:21|0:44:26|And at this moment, [Chen Jiaqiao] was still unaware, still treating [Yanzi] as a lifesaving straw.
0:44:26|0:44:31|[Chen Jiaqiao] regained consciousness after boarding the boat, weakly holding the hand resting on their shoulder.
0:44:35|0:44:42|[Yanzi] squatted down and lightly rubbed her forehead against the side of [Chen Jiaqiao]'s face, as if none of this had ever happened.
0:44:42|0:44:46|Now, [Chen Jiaqiao] doesn't even have the strength to bathe himself.
0:44:46|0:44:49|He sat paralyzed in the bathtub, letting [Yanzi] wipe him.
0:45:4|0:45:17|Watching his wife tuck him in, [Chen Jiaqiao] couldn't help but move closer to her embrace. [Yanzi] gently stroked her husband's blanket and whispered softly in his ear.
0:45:55|0:45:58|Chen Jiaqiao and Monk Yan tightly hold Yanzi's hands.
0:46:2|0:46:7|[Yanzi] freed up one hand and brought the soup bowl, which had already been placed on the edge of the bathtub, in front of [Chen Jiaqiao].
0:46:7|0:46:11|[Chen Jiaqiao] showed no resistance, picked up the bowl of soup and started drinking heartily.
0:46:35|0:46:45|[COCO] did not bring the stone box, but hurriedly walked to the roadside, hailed a taxi, and immediately told the driver where she wanted to go.
0:46:45|0:46:51|[Yanzi] arrived at the old teahouse without suspecting anything.
0:46:59|0:47:4|[Yanzi] smiled and hung up the phone, without lingering in the teahouse, she got up and left directly.
0:47:4|0:47:9|Little did they know, [COCO] was sitting in the café downstairs, secretly watching her.
0:47:9|0:47:17|[Yanzi] saw [COCO] leaving her seat, lost in thought. Just as she turned to look outside the door, she saw [Luo Yi] walking towards the cafe.
0:47:17|0:47:21|[COCO] was immediately scared out of a cold sweat, and quickly pressed against the wall, covering her chest.
0:47:22|0:47:27|Fortunately, [Yanzi] just turned at the door and walked forward calmly.
0:47:27|0:47:36|[COCO] sat at the table, calmed down, confirmed that [Yanzi] had walked away, picked up the phone on the table, and sneakily slipped out of the café.
0:47:36|0:47:37|At this moment, she still didn't know,
0:47:37|0:47:44|This seemingly flawless tracking plan was completely exposed by [Yanzi] with just one phone call.
0:47:56|0:48:6|Yanzi, who hung up the phone, breathed a sigh of relief and glanced at the rearview mirror, only to see a taxi following her closely, while COCO was unaware that she had been discovered.
0:48:10|0:48:16|The taxi driver, true to his word, continued to follow [COCO] and eventually brought her to an underground parking garage.
0:48:16|0:48:20|[Yanzi] locked the car door and walked into the passage calmly.
