0:0:54|0:1:0|On the calm river surface, a young boy is sitting in a wooden boat happily fishing.
0:56:28|0:56:31|At this moment, Captain Zhang Ga walked in.
0:57:11|0:57:30|Captain Qu placed the food in front of [Zhang Ga], just as [Luo Jinbao] returned.
0:57:30|0:57:33|[Zhang Ga] ran to the door and pricked up his ears to eavesdrop.
0:57:38|0:57:39|While the district captain was away, [Zhang Ga] quickly begged [Luo Jinbao].
0:58:50|0:59:4|Early the next morning, [Pang Dun] had already set up an ambush waiting for the enemy, with [Zhang Ga] among them. The soldiers looked serious, observing the surroundings carefully.
0:59:4|0:59:9|From a distance, two large trucks filled with soldiers drove by.
0:59:10|0:59:18|As soon as their car entered the ambush circle, it triggered a landmine.
0:59:18|0:59:32|Upon the captain's command, the enemies quickly got off the car, took out their weapons, and hurriedly prepared to fight back.
0:59:32|0:59:35|The soldiers shouted and charged towards the enemy.
0:59:36|0:59:47|Facing the strong offensive of our army, the enemy quickly couldn't hold on and had to retreat to the river behind them.
0:59:49|0:59:56|On the other side of the river, [Luo Jinbao] and his gang, including [Gan Zi], had already set up an ambush, just waiting for the enemy to take the bait.
0:59:56|1:0:1|The soldiers stared at the river, waiting for the perfect moment.
1:0:7|1:0:31|When the enemy was about to cross the river, [Luo Jinbao] gave the order, and the soldiers threw grenades one after another. With [Luo Jinbao] joining the battle, countless shells flew from all directions, exploding on the river surface. It was a pincer attack, causing the little devils to be surrounded and flee in panic.
1:0:37|1:0:46|[Zhang Ga] also joined the battle, and the soldiers rushed down to engage the enemy in hand-to-hand combat.
1:0:46|1:0:58|A Japanese soldier raised a sword and swung it towards Luo Jinbao. Luo Jinbao managed to snatch the sword from the soldier's hand, lifted him high, and then threw him heavily into the water.
1:1:4|1:1:14|In the midst of chaos, a pseudo-soldier tried to escape but was caught red-handed by [Zhang Ga].
1:1:14|1:1:23|The person is running faster, the battle is still going on fiercely here, while [Zhang Ga] is also chasing the escaped fish on the other side.
1:1:23|1:1:31|In the chaos, the fleeing pseudo-soldier fired a shot at [Zhang Ga], who picked up a stone from the ground and threw it back.
1:1:33|1:1:38|The pseudo-soldier fell into the water.
1:1:38|1:1:54|The pseudo-soldier turned around, wanting to continue shooting, but the bullets in the gun had already run out.
1:1:54|1:1:59|[Zhang Ga] leaped into the water, pounced forward, and wrestled with the pseudo-soldier.
1:2:3|1:2:7|[Zhang Ga] bit down on the pseudo-soldier's wrist and took away his pistol.
1:2:17|1:2:30|[Zhang Ga] was very pleased, pressing the puppet troops while looking for the platoon leader, and tapping the real thing in his hand. Meanwhile, the platoon leader was directing the soldiers to clean up the battlefield and collect the spoils.
1:2:30|1:2:38|[Zhang Ga] walked over with the pseudo army, and when he saw the district captain from a distance, he quickly hid the real thing he was holding in his arms.
1:2:41|1:2:44|At this moment, [Luo Jinbao] walked over.
1:2:47|1:2:50|[Zhang Ga] has hidden the gun.
1:2:51|1:2:55|[Zhang Ga] brought the pseudo army to the front of the district captain.
1:3:4|1:3:6|Captain Qu casually patted Zhang Ga's buttocks.
1:3:11|1:3:13|Yang Xiaogen carried [Zhang Ga] on his back.
1:3:38|1:3:55|The scene shifts, the calm water surface reflecting the beautiful scenery on the shore. Injured Zhang Ga is leaning on the boat as it slowly sails on the river. Sitting across from him is a handsome young girl named Yuying.
1:3:55|1:4:3|[Zhang Ga] bent down and covered his stomach, then pulled out a real gun from his pocket.
1:4:24|1:4:36|[Zhang Ga] took a boat to Yu Ying's house to recuperate, the boat sailed through dense reeds, with a row of fishing boats in the distance, and the fishermen were busy.
1:5:1|1:5:10|The sunlight spilled onto the water, shimmering through the dew with a sparkling light.
1:6:1|1:6:11|On the other side, another large group of tail poles slowly moved on the water surface, with the poles guiding the boat to the side of the tail poles.
1:6:11|1:6:21|He reached out and pulled out a tail pole, only to find a person hidden underneath, spraying a mouthful of water all over the face of the pole.
1:6:37|1:6:50|Rumors had it that Zhang Ga saw a large group of Lu porcelain not far away, which made him itch with excitement. Taking advantage of the unguarded imperial physician, Zhang Ga immediately jumped into the water.
1:6:55|1:7:3|[Zhang Ga], who just got off the water, is even more cheerful than a stove. On the boat, [Luo Jinbao] is sulking alone.
1:7:3|1:7:11|[Zhang Ga] quietly swam over and gently rocked the boat, but [Luo Jinbao] was still angry.
1:7:11|1:7:16|She reached out and caught a big fish from a distance, throwing it onto the boat. [Luo Jinbao] happily picked up the fish.
1:7:33|1:7:37|[Zhang Ga] picked up an oar and assumed a fighting stance similar to wielding a knife.
1:7:51|1:7:57|The boat was rocking back and forth, with voices talking in the background.
1:8:33|1:8:38|Zhang Ga stood on the side of the boat, singing a song while marching in small steps.
1:9:5|1:9:7|[Zhang Ga] excitedly threw himself into his arms.
1:9:21|1:9:27|[Zhang Ga] happily took the package and opened it to find biscuits and canned food.
1:9:31|1:9:35|[Luo Jinbao] took a bag of cookies, then took a can of food, carefully examining them.
1:10:12|1:10:20|After Uncle Luo finished his task, he turned around and hurriedly boarded the boat.
1:10:53|1:11:2|Zhang Ga watched as [Luo Jinbao] walked away, his eyes rolling around, his mischievous mind at work again.
1:11:2|1:11:3|Night.
1:12:49|1:12:56|After speaking, [Zhang Ga] remembered the captured old Zhongshu, his eyes becoming even more determined.
1:12:56|1:13:6|The next morning, as the sky was just getting light, [Luo Jinbao] and his parents caught a basket full of fish and returned home with a full load.
1:13:40|1:13:44|When Zhang Ga's father came home and took a look, the water tank was full of water.
1:13:52|1:14:1|Ruiyin showed the painting on the table to her parents.
1:14:33|1:14:43|[Zhang Ga] returned to the village of Old Man Man's house. Just as he arrived at the village entrance, he could hear a commotion inside.
1:14:52|1:14:56|It turns out that the bandits were robbing the civilians.
1:14:56|1:15:0|[Zhang Ga] lifted his robe to reveal the real gun hidden at his waist.
1:15:3|1:15:5|He then headed in another direction.
1:15:12|1:15:22|Originally, this clever little thug wanted to hide the gun in the bird's nest of the big tree by the river.
1:15:22|1:15:38|After a while, two pseudo-soldiers in the village swaggered with the ducks they had just stolen, suddenly seeing [Zhang Ga] walking hurriedly, arousing suspicion in their hearts.
1:15:50|1:16:4|[Zhang Ga] turned and ran, the pseudo army soldiers immediately gave chase with their guns.
1:16:4|1:16:11|[Zhang Ga] ran to [Pang Dun]'s house and ran into Pang Dun's father who was working.
1:16:17|1:16:39|Uncle Lao Man quickly took [Zhang Ga] into the house, and at this moment, the pseudo army came chasing after them.
1:16:39|1:16:43|Uncle Man pretended to have just woken up and went out the door.
1:16:55|1:17:1|The door opens, but it's [Pang Dun] rubbing his eyes who comes out.
1:17:1|1:17:6|He stretched lazily.
1:17:6|1:17:11|The impostor king looked up and down.
1:17:43|1:17:47|Da Zi first opened the curtains and saw the scenery outside, feeling relaxed.
1:18:4|1:18:19|When the pseudo-soldiers were about to take away [Pang Dun], [Zhang Ga] stepped forward.
1:18:34|1:18:39|The bandits grabbed the pole, flipped it over, and aimed a blow at his wrist.
1:19:14|1:19:17|The scene cuts to [Zhang Ga] being taken into the enemy's stronghold.
