0:2:1|0:2:8|Xiaoyou placed the treasure map on the table, attracting the attention of two individuals.
0:11:38|0:11:50|The Alliance Leader looked at the photos taken by Hu Zi and found the approximate location of the treasure sword.
0:11:50|0:11:52|The Alliance Leader is worried about the lack of hiding spots.
0:12:11|0:12:22|At a critical moment, [Hu Zi] unexpectedly had a sudden realization and shouted [Miao Zi]'s name out loud.
0:12:22|0:12:27|After a passionate exchange between the two, [Miao Zi] proudly shows off his precious loot to Qianqian.
0:12:30|0:12:34|Qianqian tied up this jade-skinned cultivator, her face showing complete indifference.
0:12:47|0:12:49|At the mention of antiques, Qianqian became interested.
0:13:0|0:13:2|Yaozi is already envisioning the life before and after.
0:13:13|0:13:15|Qianqian knew well that her identity was awkward.
0:14:3|0:14:4|Qianqian only cares about money.
0:14:20|0:14:24|The next morning, Yao went to the main street to post small advertisements.
0:14:24|0:14:26|The advertisement prominently reads, "Seeking help with true feelings."
0:14:28|0:14:31|Before long, the street was filled with advertising slogans.
0:14:31|0:14:34|[Miao Zi] is still not satisfied and continues on.
0:14:34|0:14:39|The arrival of a police car at the corner interrupted [Miao Zi]'s continued footsteps.
0:14:46|0:14:54|Minjie in the police car is telling the vendor about the precautions during patrol. When she mentions being thirsty, she hands the vendor a bottle of drink.
0:14:54|0:15:0|During a break, Min's attention was drawn to the advertisement on the utility pole while drinking water.
0:15:0|0:15:10|The vendor followed and then opened the car door, walked up, leaned his hand on the pillar, and carefully observed the content of the advertisement.
0:15:24|0:15:30|In front of the remote cave, [Hu Zi] cried falsely and was slapped into the cave by [Alliance Leader].
0:15:30|0:15:35|The two of them entered the remote cave sneakily, while keeping a close eye on the surroundings, fully alert.
0:15:51|0:16:2|In the bar, the trio of [Donggua] is drinking and having fun recklessly. [Donggua] opens a capsule pill, pours the powder onto a piece of paper, and then swallows it in one gulp.
0:16:8|0:16:11|[Donggua] was about to pick up the bottle of wine and swallow the medicine.
0:16:11|0:16:16|[An Zai] intervened directly, and the aggrieved [Donggua] had no choice but to obediently drink the water.
0:16:16|0:16:20|[Donggua] stared foolishly at the couple singing together next to him, with a silly grin on his face.
0:16:21|0:16:29|The next moment, the two embraced passionately, with [Donggua] watching in fascination. Inadvertently, he knocked over a bottle of wine, interrupting the two deeply engrossed in the moment.
0:16:29|0:16:38|The two interrupted individuals were a bit shy, looking around with their eyes, not daring to look directly at each other, but the smiles at the corners of their mouths revealed the feelings of both sides.
0:16:38|0:16:44|The two of them held hands and left in unison, leaving [Donggua] alone in the room to amuse himself.
0:16:44|0:16:50|Outside the door, the two were about to fall into an ambiguous atmosphere, but the arrival of several uninvited guests made them flee in a panic.
0:17:0|0:17:9|Simple-minded [Donggua] managed to grab snacks on the table even in the midst of a life-threatening escape, truly a genuine foodie.
0:17:9|0:17:14|Three people are desperately running ahead, with others closely chasing behind.
0:17:17|0:17:20|In the narrow space, only the echoing sound of footsteps can be heard.
0:17:23|0:17:30|Several people hurriedly ran into a warehouse, hoping to borrow some miscellaneous items to evade the pursuit behind them.
0:17:30|0:17:37|Donggua ran past the cardboard boxes, still not forgetting to knock them down, creating obstacles for the people chasing behind.
0:17:37|0:17:45|At this moment, the three of them passed by the kitchen, and [Donggua] casually locked the door, trying to cut off the people behind them.
0:17:45|0:17:50|It is obvious that the locked door did not help at all, as the pursuers behind easily opened it.
0:17:53|0:18:2|[Donggua] from the alliance picked up a plate and threw it behind him, while also grabbing a lamb leg to replenish his energy.
0:18:2|0:18:16|The pursuers crossed the obstacles and chased after the crowd. [Donggua] calmly ate a lamb leg while running away. When he reached the door, he closed it and then used the lamb leg to prop it shut.
0:18:16|0:18:21|With this move, the pursuers were completely isolated inside the house, and [Donggua] and the other two managed to safely shake off the crowd.
0:18:24|0:18:29|[Donggua] ran past a sedan, then suddenly returned to the side of the car.
0:18:29|0:18:36|With hands on hips, glaring fiercely at the young boy in the car, looking like he's about to strike.
0:18:36|0:18:40|The little boy, under threat, had his lollipop taken away by [Donggua].
0:18:40|0:18:48|[Donggua] happily ate candies and ran around contentedly.
0:18:48|0:18:53|While Donggua was resting on the side of the road, Sha Sha quickly asked how much money An Zi owed.
0:19:11|0:19:15|[Sha Sha] was suddenly at a loss and didn't know what to do.
0:19:15|0:19:18|[Donggua] was attracted by the flag on the utility pole.
0:19:21|0:19:34|Unbeknownst to her, the man passing by also looked at the utility pole, but he was drawn to the heartfelt players on top. He then dialed the player's phone number.
0:20:14|0:20:20|In the mall, [Sha Sha] closely followed the man on the elevator and, taking advantage of his distraction, skillfully stole his phone.
0:20:24|0:20:29|On the other side, [An Zai] is also searching for the target to strike.
0:20:29|0:20:40|Sha Sha pretended to bend down to tie his shoelaces, and his dagger cut through the man's outer bag, causing the wallet inside to fall out.
0:20:40|0:20:48|[An Zai] slipped the wallet into his chest and then tossed it to [Donggua] who was snacking by the pillar, showing their perfect coordination.
0:20:52|0:21:1|At this moment, [Sha Sha] also returned to the meeting point of the three people, proudly handing the stolen phone to Donghua for safekeeping.
0:21:21|0:21:27|Xiao Xiaotian and Sha Sha passed by [Donggua], becoming their next target for theft.
0:21:27|0:21:38|[An Zai] gestured to [Donggua], who understood immediately and followed Xianxian, looking for the opportunity to steal.
0:21:38|0:21:46|[Donggua] used the lollipop in his hand to throw the phone out of Xianxian's pocket, removed the phone case, and found it was an iPhone, secretly feeling pleased with himself.
0:21:51|0:21:57|Little did they know, the phone suddenly rang.
0:21:57|0:22:0|Xianxian turned around and found the phone in the hands of [Donggua].
0:22:31|0:22:39|With Xianxian's shout, the security guards chased closely behind [Donggua], Chun Chun, and Pure, forcing the three of them to run for their lives.
0:22:39|0:22:43|After a chase, [Donggua] and [An Zai] were almost caught by the security guards.
0:22:48|0:23:1|The security guards watched the three escaping individuals with anger. As the saying goes, enemies meet with extra jealousy. [Xiao Xiaotian] and [Sha Sha] coincidentally ran into [An Zai] and others in the parking lot.
0:23:1|0:23:13|[An Zai] parked the car directly in front of [Xiao Xiaotian]'s car, making a warning gesture towards him, then took down [Xiao Xiaotian]'s license plate number before driving away.
0:23:13|0:23:20|In the room, [Xiao Xiaotian] carefully examines the jade pendant brought by [Miao Zi], his face solemn, then orders to close the door and leave.
0:24:9|0:24:12|[Xiao Xiaotian] tells Xianxian about his art of speaking.
0:24:12|0:24:18|[Miao Zi] pressed the elevator button, feeling extremely agitated, and kicked a nearby flower vase to vent his frustration.
0:24:20|0:24:24|Miao Zi, upon hearing the voice of the Alliance Leader, quickly found a place to hide.
0:24:44|0:24:54|While [Alliance Leader] and [Hu Zi] were waiting for the elevator, [Miao Zi] hid in the shadows watching them, his mind calculating who knows what.
0:24:54|0:25:6|After seeing the two enter the elevator, [Miao Zi] rushed out and quickly returned to [Xiao Xiaotian]'s residence, throwing a piece of jade skin directly onto the table.
0:25:9|0:25:26|[Xiao Xiaotian] was attracted by the treasure map on the table. He never expected that [Miao Zi] would be so ignorant, mistaking the treasure map for a piece of torn paper used to wrap jade.
0:25:26|0:25:36|[Xiao Xiaotian], who successfully obtained the treasure map, happily celebrated by the pool with Xianxian, unable to hide the excitement in his heart.
0:25:36|0:25:42|Continuing to play with the jade pendant in hand, Sha Sha studies its origins and history.
0:25:42|0:25:48|However, it is quite obvious that what really interests [Xiao Xiaotian] is the treasure map.
0:26:14|0:26:17|The treasure map hides a shocking secret behind it.
0:26:36|0:26:54|The [Alliance Leader] in the room is waiting for [Hu Zi] to bring in new recruits, but it turns out to be [Donggua] who enters the room.
0:26:54|0:27:2|[Hu Zi] warmly introduces [Donggua] to the [Alliance Leader], then picks up two chicken legs from the table and hands the smaller one to [Donggua].
0:27:12|0:27:14|[Hu Zi] kicked [Donggua].
0:27:16|0:27:19|[Donggua] looked at the two in confusion.
0:27:22|0:27:24|[Hu Zi] is furious.
0:27:56|0:27:59|The Alliance Leader was amused by Donggua and burst into laughter.
0:28:26|0:28:31|Upon hearing this, Xiao Qian immediately went out to get money for [Miao Zi].
0:28:31|0:28:43|Next second, [Alliance Leader] was kidnapped.
0:28:43|0:28:51|[Miao Zi] tried to escape by jumping out of the window, but was caught by [Alliance Leader] and [Hu Zi] by the arm.
0:28:51|0:28:52|Both sides are deadlocked.
0:29:13|0:29:16|Just as it seemed too late, a familiar sound of a car engine, [Ba Ge] arrived.
0:29:23|0:29:24|The crowd panicked.
0:29:33|0:29:37|The hiding places for everyone are inside the curtains and under the sofa.
0:29:37|0:29:45|Outside the window, [Miao Zi] was still hanging in mid-air, no one paid attention to it anymore. [Alliance Leader] quickly pulled down the curtains.
0:29:45|0:29:55|[Donggua] found a strange object under the coffee table, without bothering to investigate, hurriedly hid underneath and even remembered to bring the knife in with him.
0:29:55|0:30:5|[Hu Zi] opened the wardrobe and hid inside. Just as he concealed himself, the wardrobe door was opened by the [Alliance Leader]. It seems that the [Alliance Leader] also chose this hiding spot.
0:30:5|0:30:14|[Alliance Leader] set up a posture, gave a signal with his eyes, [Hu Zi] obediently gave up his position, and even remembered to close the wardrobe door for [Alliance Leader].
0:30:14|0:30:20|[Alliance Leader] sat down, and [Xiao Qian] quickly pushed the bag under the bed.
0:30:27|0:30:28|[Zhang Renfa] approaches [Xiao Qian].
0:30:47|0:30:50|[Zhang Renfa] walked to the window and was about to pull open the curtains.
0:30:50|0:30:56|A phone call arrives, can it save [Xiao Qian] from the current crisis.
0:31:31|0:31:33|[Xiao Qian] turned around with a guilty conscience and said.
0:31:33|0:31:36|[Zheng Renfa] dare not look directly at him.
0:31:36|0:31:40|But the more he did so, the heavier the doubts in [Zhang Renfa]'s heart.
0:31:40|0:31:44|Immediately, the curtain was pulled open and looked outside.
0:31:44|0:31:49|[Sha Sha] saw the situation and became restless, feeling the tension rising to its peak in her heart.
0:32:37|0:32:40|[Zhang Renfa]'s doubts in his heart were not dispelled.
0:32:55|0:33:9|[Sha Sha] pretended to prove herself, only to see [Donggua] unexpectedly.
0:33:9|0:33:15|Seeing that they had narrowly escaped, [Sha Sha] hurriedly went downstairs to see [Zhang Renfa] off.
0:33:15|0:33:19|Hu Zi in the wardrobe quickly opened the door and walked out.
0:33:19|0:33:22|The cramped space made his body extremely twisted and uncomfortable.
0:33:26|0:33:33|After coming out, Sha Sha politely knocked on the wardrobe door where the Alliance Leader was located, reminding the Alliance Leader to move the song.
0:33:33|0:33:42|Even though the [Alliance Leader] was nervous inside, he still maintained his composure and refused to lose face in front of [Hu Zi] as the big brother.
0:33:42|0:33:47|[Donggua] immediately climbed down from the coffee table, still holding a small whip, and curiously gave it a flick.
0:33:49|0:33:55|Then he tucked the whip into his pants.
0:33:55|0:34:1|[Hu Zi] roughly pulled [Miao Zi] up.
0:34:23|0:34:25|[Hu Zi] is furious.
0:34:37|0:34:42|[Alliance Leader] at this moment was suppressing his anger, only wanting to know the whereabouts of the treasure map.
0:34:55|0:35:1|In this crisis situation, [Miao Zi] had to quickly express that he was not lying.
0:35:1|0:35:3|The Alliance Leader kicked her to the ground.
0:35:23|0:35:29|[Donggua] holds the small whip he found, intending to use it to tie up [Miao Zi].
0:35:29|0:35:31|[Hu Zi] looked on with a look of curiosity.
0:35:34|0:35:40|[Hu Zi] tied up [Miao Zi], and with a command from the [Alliance Leader], kicked [Miao Zi] out.
0:35:44|0:35:46|[Donggua]'s question made [Xiao Qian] blush with shyness.
0:35:48|0:35:52|At the entrance of the hotel, [An Zi] forcefully pulled out the arm that [Sha Sha] was holding.
0:35:56|0:35:59|[Sha Sha] tenderly applies medicine to [An Zai].
0:35:59|0:36:4|[An Zai] noticed that [Donggua] was not in the room.
0:36:11|0:36:15|Sha Sha couldn't see Donggua's An Zi, and started to feel suspicious in her heart.
0:36:15|0:36:16|[Sha Sha] noticed the note on the table.
0:36:51|0:37:2|The phone in the movie kept ringing with no one answering, [An Zai]'s heart hanging in the air.
0:37:2|0:37:3|[Donggua] tried to make a call, but no one answered.
0:37:11|0:37:22|In the dark of night, [Xiao Xiaotian] and [Sha Sha] sensed that something was amiss in the cave and decided to explore it carefully.
0:37:22|0:37:28|The [Alliance Leader] in the cave was playing with a lighter boredly, waiting for his men to work.
0:37:28|0:37:32|Suddenly, the sound of footsteps outside made [Alliance Leader] panic.
0:37:34|0:37:36|Lian Mang called [Hu Zi] over.
0:37:41|0:37:45|[Hu Zi] and Lian Mang climbed out of the cave to check the situation.
0:37:45|0:37:51|The Alliance Leader adjusts the wreath, pretending to be in mourning.
0:37:51|0:37:56|Miao Zi followed closely behind, also crawling out of the hole.
0:37:56|0:37:59|The three of them immediately panicked.
0:37:59|0:38:3|[Donggua] had just stuck his head out of the hole when he was kicked back in by [Miao Zi].
0:38:4|0:38:13|Soon after, the three of them covered the hole with a sheet of iron and also used straw as a cover.
0:38:13|0:38:16|With the sound of knocking on the door, [Yang Shanshui] walked into the room.
0:38:56|0:38:59|This younger brother actually looks even older than his older brother.
0:39:19|0:39:23|Yang Shangshui was about to leave when his attention was caught by the bell on [Miao Zi]'s neck.
0:39:23|0:39:23|[Miao Zi] shyly lowered her head.
0:40:9|0:40:12|[Donggua] made two gestures, causing [Alliance Leader] to doubt himself.
0:40:15|0:40:18|Hu Zi explains on the side.
0:40:26|0:40:28|The Alliance Leader throws a clod at Donggua.
0:40:53|0:40:59|This kid, as the festive music plays, the Yang family wedding enters the countdown.
0:40:59|0:41:2|The winners arrived as scheduled, coming to witness the happiness of the couple.
0:41:24|0:41:30|Various luxury cars arrived, all showcasing Brother Fa's wealth and love for his daughter.
0:41:30|0:41:36|Outside the cave, the [Alliance Leader] and his companions were constantly keeping an eye on the situation at the wedding scene.
0:41:36|0:41:47|Beside the main car, the groom gently leads the bride out of the car and back to their home, where a scene of joy is everywhere.
0:41:47|0:41:50|Guests also took this opportunity to meet friends and have a good chat.
0:42:28|0:42:36|[Donggua] entered the cave first, followed closely by [Miao Zi].
0:42:36|0:42:45|Both of them entered the cave, with the [Alliance Leader] reminding [Hu Zi].
0:42:45|0:42:49|Then they also entered the cave.
0:42:51|0:42:56|The cave was dark, with no lights, they could only rely on flashlights for illumination.
0:42:56|0:42:59|The dim flashlight made the cave even more eerie.
0:42:59|0:43:5|[Donggua] found it amusing, laughing incessantly, completely unaware of the lurking danger in the cave.
0:43:5|0:43:10|[Alliance Leader] led [Donggua] to search for direction in the tomb, and they saw the kerosene lamp lit by Xiao Xiaotian.
0:43:10|0:43:15|Miao Zi quickly stepped forward and lit the kerosene lamp.
0:43:17|0:43:26|Something magical happened, all the kerosene lamps in the cave lit up, once again revealing the mystery within the tomb.
0:43:29|0:43:31|[Donggua] exclaimed excitedly.
0:43:32|0:43:36|[Alliance Leader] carefully observed the tomb, hoping to make a new discovery.
0:43:36|0:43:45|Outside the tomb, [An Zai] and [Sha Sha] climbed over the wall in the moonlight, advancing towards the groom's house, preparing to steal. [An Zai] lowered his steps, not daring to make a sound.
0:43:47|0:43:52|[Qingqing] walked up the steps, opened the door, and gestured for [Sha Sha] to enter.
0:43:52|0:43:55|[Sha Sha] quickly imitated [An Zai]'s actions.
0:43:55|0:44:0|The three [Alliance Leader] in the tomb are still searching aimlessly.
0:44:0|0:44:5|The [Alliance Leader] appeared as if experienced, with a carefree attitude.
0:44:5|0:44:10|[An Zai] walked to the bedroom door, this is the room where the betrothal gifts are stored, he seemed to see money beckoning to him.
0:44:14|0:44:19|The groom in the room was singing loudly, completely unaware of the impending danger.
0:44:19|0:44:25|[An Zai] cautiously pushed open the bedroom door, walked quietly to the cabinet where the betrothal gifts were placed, ready to take action.
0:44:25|0:44:36|At this moment, [Sha Sha] unexpectedly came to the table and picked up the bride's skincare products. Indeed, loving beauty is a woman's nature.
0:44:36|0:44:41|[An Zai], as a seasoned thief, carefully approached the bed to see if the newcomer was already fast asleep.
0:44:43|0:44:49|With all the surrounding dangers resolved, they were finally ready to proceed with the theft.
0:44:49|0:44:57|Next to the table, [Sha Sha] picked up the skincare products and carefully examined them. If it weren't for the tense situation, she would have been ready to do some skincare on the spot.
0:45:3|0:45:13|The Alliance Leader signaled for Sha Sha to come over and help. Sha Sha reluctantly put down the skincare products in her hand, walked to An Zi's side, and saw a stack of red envelopes, her face full of joy.
0:45:13|0:45:22|The two of them started to prepare the betrothal gifts, looking nervous, restraining their excitement, afraid of missing a single red envelope.
0:45:22|0:45:30|[An Zai]'s movements became more cautious, at this moment, what was in the bag seemed to be not just a simple betrothal gift, but their beautiful future.
0:45:33|0:45:38|After looting the money, the two quickly fled the scene.
0:45:38|0:45:43|When climbing over the wall, she still tightly held onto her backpack.
0:45:48|0:45:53|In the tomb, [Alliance Leader] and the other two gradually found themselves in a predicament.
0:45:53|0:45:57|They were wandering around in the maze-like tomb.
0:45:57|0:45:59|With no clue, the atmosphere gradually became tense.
0:46:2|0:46:12|They turned another corner, what kind of unknown awaits them at the corner?
0:46:12|0:46:21|Gradually, they began to notice something was amiss as the surroundings slowly became familiar.
0:46:21|0:46:29|They arrived at a place they had been to before, and the familiar scene immediately made the three of them panic.
0:46:29|0:46:31|The [Alliance Leader] also lost his composure at the beginning.
0:46:37|0:46:41|A look of panic appeared on the face.
0:46:41|0:46:50|Three of them quickened their pace, searching anxiously in the tomb, like ants on a hot pan.
0:46:50|0:46:59|[Alliance Leader] realized the urgency of the situation and decided that the three of them should split up to save time in searching.
0:47:21|0:47:27|[Miao Zi] didn't want to be alone, but had to obey.
0:47:27|0:47:34|Outside the cave, [Xiao Xiaotian] seized the opportunity and led Xian Xian into the cave, where they tied up [Hu Zi].
0:47:36|0:47:43|They then entered the cave, where the [Alliance Leader], Mu Xue, and the others were weakly leaning against the wall.
0:47:43|0:47:47|At this moment, an inescapable fear enveloped them.
0:47:47|0:47:57|Suddenly, the [Alliance Leader] had a sudden inspiration. He took out his phone and carefully examined the treasure map, hoping to make a new discovery.
0:47:57|0:48:3|After a brief search, the [Alliance Leader] actually made a new discovery, looking at the two people beside him with surprise.
0:48:8|0:48:11|The words of the [Alliance Leader] seemed to have reinvigorated the three of them with strength.
0:48:11|0:48:16|They followed a rope down and arrived at an open area.
0:48:16|0:48:19|[Alliance Leader] signaled for [Miao Zi] to go first.
0:48:21|0:48:25|Even if [Miao Zi] is unwilling, he has to do as he is told.
0:48:26|0:48:30|He walked carefully in front, with [Donggua] following closely behind him.
0:48:32|0:48:38|Suddenly, [Miao Zi] stepped on a trap and almost fell in.
0:48:38|0:48:46|Fortunately, [Alliance Leader] acted quickly and pulled him up, the three of them looked at the scene in the trap and exchanged glances.
0:48:46|0:48:52|[Alliance Leader] hurriedly opened the phone again to look at the treasure map, and said confidently.
0:48:52|0:49:9|[Alliance Leader] once again signaled for [Miao Zi] to take the lead. This time, [Miao Zi] cautiously moved forward along the wall, with [Donggua] following closely behind, trembling in fear of stepping into a trap. [Alliance Leader] at this moment was also unable to remain calm within the walls, following closely behind [Donggua].
0:49:9|0:49:14|The three of them were too busy to notice [Xiao Xiaotian] and Xianxian behind them.
0:49:17|0:49:26|[Xiao Xiaotian] and [Alliance Leader] were obviously in a much better situation than the three of them, well-prepared and experienced.
0:49:26|0:49:41|[Xiao Xiaotian] opened the treasure map, with victory in hand, showing a confident look as if the world belonged to him, then he pointed out the correct direction.
0:49:41|0:49:42|Look back at the Nine Bends Yellow River Formation.
0:49:46|0:49:53|[Alliance Leader] The three of them arrived at a narrow space, with a stone door blocking their way.
0:49:53|0:49:58|[Alliance Leader] looked around and bluntly stated that there were hidden mysteries in this place.
0:50:10|0:50:15|They then decided to use the most stupid method, planning to push open the stone door with human force.
0:50:15|0:50:17|Obviously, this method is not feasible.
0:50:17|0:50:23|[Alliance Leader] decided to change tactics and called for the three people pushing the door to stop.
0:50:29|0:50:35|On the wall, a unique stone statue caught the attention of [Alliance Leader].
0:50:43|0:50:45|[Alliance Leader] gave a meaningful glance.
0:50:46|0:50:50|[Miao Zi] stepped forward and tried to twist the stone statue.
0:50:50|0:50:53|Sure enough, there is a hidden mechanism, and the stone statue begins to rotate.
0:50:53|0:51:0|With a loud rumble, the stone door slowly opened on its own.
0:51:0|0:51:2|The three of them decided to see what was going on.
0:51:6|0:51:18|Entering the stone gate, what greeted their eyes was a huge room with a strange layout. The three of them slowly searched for secrets with flashlights in the empty room.
0:51:18|0:51:23|The room was filled with only the noisy sound of footsteps, revealing a sinister atmosphere.
0:51:23|0:51:27|Soon, the three of them cast their gaze on a certain spot.
0:51:27|0:51:31|On the other side, [Xiao Xiaotian] and Xianxian also noticed the corner entering the room.
0:51:33|0:51:37|A magical scene occurs again in the room.
0:51:37|0:51:41|The lights all come on in an instant.
0:51:41|0:51:45|The central stone pillar stands out conspicuously.
0:51:45|0:51:52|[Alliance Leader], [Donggua], and [Hu Zi] stood closely around the stone pillar, their faces showing a look of fascination.
0:51:52|0:51:58|At this moment, in the eyes of the [Alliance Leader], there was only the Yang Family Sword in the stone pillar.
0:51:58|0:51:59|The smile of victory blossomed on his face.
0:52:1|0:52:6|The Alliance Leader seemed to see a million people waving at him.
0:52:30|0:52:33|[Alliance Leader] shouted at [Miao Zi].
0:52:33|0:52:37|[Miao Zi] took out the Yang Family Sword and handed it over to [Alliance Leader] politely.
0:52:37|0:52:42|[Alliance Leader] took over the Yang Family Sword, holding it tightly in his hand, with a big smile on his face.
0:52:50|0:52:55|He walked out of the room with the Yang Family Sword in hand, a smile on his face, unaware that danger was about to come.
0:52:55|0:53:2|[Xiao Xiaotian] had been waiting outside for a long time when the [Alliance Leader] stepped on the trap he had set up.
0:53:2|0:53:7|Taking advantage of the chaos, [Xiao Xiaotian] snatched the sword and ran off, leaving only the wailing Alliance Leader and two others behind.
0:53:9|0:53:20|[Xiao Xiaotian] hurriedly took Xianxian away from the sight of the [Alliance Leader], observing the surroundings in a safe area, feeling excited in his heart.
0:53:20|0:53:28|On the way out of Yangjia City, [Sha Sha] saw a familiar car, and upon closer inspection, it turned out to be [Xiao Xiaotian]'s car.
0:53:28|0:53:34|In the saying that no debt goes unpaid, the time has not come yet. In this perfect opportunity, how could [Alliance Leader] let it slip by.
0:53:36|0:53:45|Parking the car by the roadside, waiting for [Xiao Xiaotian] to arrive, filled with hatred from the previous encounter at Yixi Mall.
0:53:45|0:53:56|[Xiao Xiaotian] and the other person ran out of the tomb, quickly arrived at the car, opened the trunk, put the backpack in, and prepared to drive away.
0:53:56|0:54:2|Sitting in the driver's seat, [Xiao Xiaotian] still couldn't hide his excitement, constantly studying the items borrowed from the Yang family.
0:54:12|0:54:18|[Xiao Xiaotian] eagerly took the sword, looking excited.
0:54:18|0:54:33|[Xiao Xiaotian] made this impolite request.
0:54:33|0:54:48|A dagger lay across Xiao Xiaotian's face, as An Zai pressed Xiao Xiaotian and the other against the car door.
0:54:48|0:54:59|[Sha Sha] immediately took out Xiao Xiaotian's backpack and started searching through it. As she was searching, Alliance Leader suddenly had a big change in expression, took out an heirloom from the bag, and found out it was actually a handgun.
