0:1:4|0:1:6|The morning sun shines on the lake, sparkling on the water.
0:11:0|0:11:2|The girl buried her delicate face in the horse's mane.
0:11:3|0:11:17|Her mouth slightly open, her eyes gazing at the horse with fascination, her slender legs graceful and smooth, the moonlight shining on her body, making her look particularly graceful and charming, as if one is placed in a beautiful painting.
0:11:17|0:11:29|After a while, the woman's tense body suddenly relaxed, one hand weakly hanging down to the side, and her calf slowly lowered. But soon after, she lifted her leg again, pressing tightly against the horse's belly.
0:11:30|0:11:39|At this moment, his body is tense, with his calves slightly bent, muscles slightly bulging, and his hands circling and caressing the strong body of the horse.
0:11:39|0:11:51|After a moment, he raised his hand to tuck the stray hair behind his ear, revealing his face, breathing heavily. Then he buried his head deeply into the horse's neck, crossing his hands in front and embracing the horse's neck.
0:11:55|0:12:2|Huang Yaoshi's pouring action came to a sudden stop, only to see the person opposite him picking up the water pitcher and pouring it into his own bowl.
0:12:2|0:12:14|[Huang Yaoshi], who had lost, moved the wine bottle away and watched quietly as the water in the opponent's bowl kept pouring in. As soon as the person put down the pot, he immediately picked up the bowl filled with water and drank it all in one gulp.
0:12:14|0:12:17|[Huang Yaoshi] looked at the extraordinary warrior in front of him and said.
0:12:19|0:12:21|The warrior looked ahead with indifference and responded.
0:12:24|0:12:38|After speaking, he looked quietly at [Huang Yaoshi] sitting opposite him, with no expression on his face.
0:12:54|0:12:57|The hero lowered his head and chewed on the side dish, making no response.
0:12:57|0:13:5|He furrowed his brow and asked [Huang Yaoshi] in return. Seeing that the other party did not speak, the warrior answered on his own, and after finishing, he picked up the bowl again and drank it all in one gulp.
0:13:5|0:13:6|After that, he wiped the water stains from the corner of his mouth with his sleeve and then left with his sword.
0:13:42|0:13:48|A drinker slammed the table and stood up, only to see the person sitting across from him immediately overturn the table.
0:13:51|0:14:4|Miss [Murong Yan], how dare you offend me like this. Miss [Murong Yan]'s sword was already half drawn, but suddenly pushed back into the scabbard.
0:14:4|0:14:7|[Huang Yaoshi] gently held her hand and persuaded her.
0:14:10|0:14:20|The opponent coldly watched as [Ouyang Feng] stopped his movements. Seeing this, [Ouyang Feng] slowly withdrew his hand, but Miss [Murong Yan] quickly drew her dagger and swung it forcefully.
0:14:20|0:14:27|The wild cat in the shop was startled by the sudden commotion, and [Huang Yaoshi] weakly clung to the pillar, his hands covered in blood.
0:14:27|0:14:33|He squinted at the other person, intending to escape quickly, but his body uncontrollably fell backwards.
0:14:34|0:14:53|At this moment, Miss [Murong Yan] still maintained her sword-wielding posture without moving. [Ouyang Feng], who was injured, had sweat beading on his face as he looked down at the bleeding wound on his abdomen. He extended his fingers, already stained with blood, to examine it repeatedly, revealing a bitter smile. As if resigning herself, she slowly leaned her head against the pillar.
0:15:11|0:15:23|In the scene, Miss [Murong Yan] smiles with satisfaction.
0:15:58|0:16:9|The other party shook his head uncontrollably after hearing it, but in an instant his expression turned sinister.
0:16:9|0:16:13|After the two of them talked, [Ouyang Feng] learned the ins and outs of the matter.
0:16:35|0:16:50|The scene goes back to the night when [Huang Yaoshi] and [Murong Yan] were drinking and chatting. Both were intoxicated, and [Murong Yan], feeling shy, looked at [Huang Yaoshi] intentionally or unintentionally. She pretended to be calm as she raised her hand to drink another bowl, looking at him with a proud expression.
0:16:50|0:16:54|Huang Yaoshi also lifted the wine cup upon seeing this, staring at the other's face and drinking it all in one gulp.
0:16:56|0:17:5|With the help of alcohol, [Ouyang Feng] saw [Murong Yan]'s face become even more beautiful, making him unable to help but stare at her a few more times.
0:17:5|0:17:10|Finally, [Huang Yaoshi] couldn't help but reach out and touch her cheek, his eyes gentle as water.
0:17:16|0:17:27|After speaking, [Huang Yaoshi] withdrew his hand. [Murong Yan] turned her face away without looking at him. Unintentionally, [Murong Yan] knocked a chopstick off the table. She bent down to pick it up, her expression becoming awkward.
0:17:43|0:17:45|Later, the two of them set a date.
0:17:49|0:17:57|On the day of the appointment, the woman who looks exactly like [Murong Yan] waited for a long time, but [Huang Yaoshi]'s figure had not yet appeared.
0:17:57|0:18:6|He anxiously looked around, but there was only the sound of the wind next to Gor. His inner hope quickly turned into disappointment, followed by a surge of anger.
0:18:8|0:18:14|The dejected woman stumbled towards the tree.
0:18:14|0:18:21|She leaned her whole body against the tree trunk, frowning and shedding tears silently, her stubborn self-esteem shattered at this moment.
0:18:31|0:18:36|The woman shouted out the pain suppressed in her heart, but inside, it hurt like a knife stabbing.
0:18:36|0:18:42|She tightly closed her eyes, clenched her teeth, and her delicate face was momentarily clouded with sorrow.
0:18:42|0:18:49|Before the eyes, the endless desert stretches with countless folds of sand and stones, extending all the way to the distant horizon.
0:20:1|0:20:6|The woman left after bursts of laughter, leaving [Ouyang Feng] looking at her back in confusion.
0:20:6|0:20:9|The next day, [Murong Yan] made an appointment to meet [Ouyang Feng].
0:20:28|0:20:32|Immediately, he turned his head and looked towards [Murong Yan] beside him.
0:20:33|0:20:37|The other party pondered for a moment after hearing this, and their eyes instantly became sharp.
0:20:51|0:20:57|At dusk, a figure quietly appeared in the home of [Ouyang Feng], and the visitor was none other than the sister of [Murong Yan].
0:20:57|0:21:5|She walked slowly through the dim corridor, holding a birdcage in her hand. Just as she was about to enter, a hint of vigilance flashed in her eyes.
0:21:5|0:21:12|Soon, the woman no longer hesitated and walked in, her back facing [Ouyang Feng].
0:21:12|0:21:15|The woven birdcage spins in front of the woman, its reflection shining on her face.
0:21:19|0:21:23|[Ouyang Feng] looked at the woman's back and stirred the food in his mouth.
0:21:25|0:21:27|He approached while speaking.
0:21:36|0:21:41|After speaking, he walked to the table on the side and picked up a cup, pouring some water onto his hand.
0:22:54|0:23:1|The woman remained silent, walking to the side of the birdcage and slowly sitting down, [Ouyang Feng] turned to look at her.
0:23:1|0:23:9|Night falls, the woman leaves with a birdcage.
0:23:9|0:23:12|Before long, a birdcage appeared at the door of [Ouyang Feng].
0:23:12|0:23:18|He walked out the door and carefully observed, then turned to look behind him. The woman upstairs immediately hid back into the room.
0:23:20|0:23:29|The woman turned her back tightly against the wall, her body trembling uncontrollably. She occasionally looked back towards the door, then quickly turned her head away.
0:23:29|0:23:34|She clung tightly to the wall with both hands, her body desperately shrinking inward.
0:23:34|0:23:38|At this moment, [Ouyang Feng] slowly approached, standing behind her.
0:23:45|0:23:49|The woman, in an emotional outburst, then turned and threw herself into [Ouyang Feng]'s arms.
0:23:57|0:24:6|A few days after giving her some wine, [Murong Yan] came to see [Ouyang Feng] and started questioning him as soon as she sat down.
0:24:44|0:24:47|Murong Yan's eyes shimmered with a cold light that traversed back and forth.
0:24:47|0:24:49|Ouyang Feng walked up to the birdcage.
0:24:51|0:24:51|Ouyang Feng asked in return.
0:24:51|0:24:52|He didn't rush to answer, but walked quietly to the other side of the birdcage, lowered his head in thought before speaking.
0:25:12|0:25:15|After saying that, he lowered his head as if nothing had happened.
0:25:28|0:25:31|There is a wounded person hiding.
0:25:35|0:25:39|Murong Yan threw the wine bowl and looked up at the night sky.
0:25:41|0:25:42|After speaking, she turned her head to one side.
0:25:42|0:25:46|Wearing men's clothing, [Murong Yan] was half drunk and half awake, after pondering for a while, she turned to look at the person she was talking to, only seeing a blurry silhouette in the night.
0:26:18|0:26:21|[Murong Yan] speaks while touching her own neck.
0:26:44|0:26:47|She buried her head in her arms, waiting for the other person to answer.
0:26:47|0:26:55|After saying those words while drunk, [Murong Yan] lifted her head and the moonlight shone on her face.
0:27:15|0:27:21|She lowered her head in pain, tears swirling in her eyes.
0:27:23|0:27:31|[Murong Yan]'s narrow phoenix eyes were suddenly filled with jealousy, as if a fiery killing intent was emanating from her.
0:27:42|0:27:53|After speaking, a hint of a pleased smile appeared on her face, then she gently raised her hand to touch her own face.
0:27:53|0:28:0|She looked at the moonlight outside the window, gently closed her eyes, and slowly spoke.
0:28:0|0:28:3|At this moment, [Murong Yan] suddenly turned around.
0:28:13|0:28:20|After speaking, she couldn't help but get angry, turned around and leaned against the window, tightly covering her mouth.
0:28:20|0:28:23|[Ouyang Feng] stood in the shadows, quietly watching her.
0:28:23|0:28:26|That night seemed particularly long.
0:28:36|0:28:40|Time passed in the blink of an eye, and the dark sky gradually returned to brightness.
0:28:40|0:28:47|[Murong Yan] leaned against the wall, looking ahead listlessly, as [Ouyang Feng] approached.
0:28:47|0:28:52|Murong Yan listened but showed no reaction.
0:28:52|0:29:0|At this moment, she finally reacted.
0:29:0|0:29:5|[Ouyang Feng] looked at the weary figure in front of him and answered after a moment of contemplation.
0:29:17|0:29:24|The night gradually envelops the earth, a suspicious figure suddenly appears, quietly moving along the wall.
0:29:24|0:29:29|The moonlight outside the window shines into the room, casting his figure in and out of shadows.
0:29:29|0:29:33|[Ouyang Feng], who had already rested, lay on the bed sleeping soundly.
0:29:38|0:29:41|The delicate profile paused in the moonlight, the person who came was [Murong Yan].
0:29:41|0:29:46|Ouyang Feng, in a deep sleep, slightly closed his eyes and breathed lightly.
0:29:46|0:29:55|At this moment, a slender hand slowly approached her cheek. It was [Murong Yan] sitting behind her, gazing affectionately at the reclining [Ouyang Feng].
0:29:56|0:30:3|At this moment, whether he is Ouyang Feng or Murong Yan, he has already deeply fallen into this unattainable love.
0:30:3|0:30:9|He greedily caressed Ouyang Feng's cheek, then slid gently down his neck to his arm.
0:30:9|0:30:16|His hand quickly slid more wantonly towards [Ouyang Feng]'s thigh, but his eyes were fixed on his profile.
0:30:17|0:30:21|[Ouyang Feng] kept his eyes tightly shut, as if completely unaware.
0:30:21|0:30:31|Murong Yan's fingers were as soft as willow branches, wandering around Ouyang Feng's thighs, with the shadows of the moving fingers reflected on the wall.
0:30:31|0:30:41|The scene shifts, [Ouyang Feng] has opened his eyes, and at this moment, the hand slowly pushes aside his clothes, slipping into his chest, but he closes his eyes again.
0:30:42|0:30:50|At this moment, the person behind him also underwent a change in heart along with him, and that person was not [Murong Yan], but another beautiful woman.
0:30:50|0:31:0|The enchanting hand of [Ouyang Feng] slid around his waist, its movements becoming more unrestrained, yet the eyes gazed at her with infatuation.
0:31:0|0:31:1|Murong Yan's hand slowly moved up across her chest.
0:31:17|0:31:22|In her eyes, the person lying in front of her is not [Ouyang Feng], but [Huang Yaoshi].
0:31:22|0:31:28|She gently touched the sharp contours of her memory's face, arranging the scattered hair on both sides.
0:31:28|0:31:33|Day after day, [Murong Yan] would come to [Ouyang Feng]'s residence every night.
0:31:33|0:31:37|She either tied up her hair or let it fall loosely down her back.
0:31:37|0:31:43|Unfortunately, she lay as usual beside [Ouyang Feng], constantly caressing his solid chest.
0:31:45|0:31:50|When the love went deep, he couldn't help but fall into this beautiful fantasy.
0:31:50|0:31:58|He, dressed in a long robe, with hair flowing like a waterfall, leaned against the wall, his cheeks showing a hint of charm.
0:31:58|0:32:8|Shortly after, he walked to a withered tree outside the door, leaning his whole body against the trunk. He gently swayed, responding to the uncontrollable desires in his heart.
0:32:8|0:32:12|His hands tightly gripped the branches on both sides, occasionally making a sound.
0:32:29|0:32:32|The wind rustled through the leaves.
0:32:32|0:32:34|That day began.
0:32:37|0:32:43|Years later, a strange swordsman appeared in the martial world, and no one knew his origins.
0:32:46|0:32:49|He has a very special name, called [Ouyang Feng].
0:32:50|0:32:55|From then on, [Murong Yan] adopted the alias Lone Swordsmen and became a renowned swordsman in the martial arts world.
0:32:55|0:33:2|She spends her days practicing swordsmanship by the lake, either dressed in a white dress or in a long robe with her hair tied up in a crown.
0:33:2|0:33:7|The steel sword danced in his hands, stirring up majestic sword energy and creating waves of splashes.
0:33:7|0:33:14|Dozens of meters high waves cascaded down like a waterfall, with [Murong Yan] holding a sword in her left hand pointing straight ahead.
0:33:14|0:33:18|Her eyes were cold, like a glacier, making people hesitate.
0:33:19|0:33:27|The figure moved as light as [Tao Hua], graceful and elegant, displaying a sense of elegance in the flowing movements. Amidst the heroic and spirited demeanor, a set of sword techniques had been perfected.
0:33:27|0:33:36|He stood in place, still holding his sword, and couldn't help but shout out loud.
0:33:36|0:33:45|The misty lake water gently swayed, like a piece of dancing silk in the wind. The sky was reflected in the lake, making it hard to distinguish between heaven and earth.
0:33:47|0:33:56|The undulating mountains, embedded in the sky, [Murong Yan] walks on the opposite side of the lake, only able to see his silhouette, but not his face.
0:33:56|0:34:2|The dawn slowly unfolds, a woman stands with her back to the door of [Ouyang Feng].
0:34:3|0:34:5|The woman had a melancholy expression as she raised her head slightly.
0:34:10|0:34:13|The woman furrowed her brow and said slowly.
0:34:25|0:34:28|Ouyang Feng walked towards the woman after hearing.
0:34:29|0:34:32|After speaking, he crossed his arms and looked at the woman.
0:34:38|0:34:40|[Ouyang Feng] nodded slightly and then asked.
0:34:42|0:34:45|The woman lowered her head even further, holding a basket of eggs in her hands.
0:34:45|0:34:47|[Ouyang Feng] stood still, silently watching the woman.
0:34:47|0:34:48|He looked up and down, shook his head, and let out a long sigh.
0:34:48|0:34:48|He furrowed his brow and tried to persuade the woman.
0:34:48|0:34:48|[Ouyang Feng] looks serious.
0:35:17|0:35:19|The woman adjusted her long hair, covering her cheeks.
0:35:19|0:35:20|After speaking, Ouyang Feng stared at her intently.
0:35:20|0:35:21|The woman tilted her head slightly after hearing it.
0:35:50|0:35:58|At dusk, a woman's figure appeared on the hilltop. She gazed at [Ouyang Feng]'s residence for a long time, then turned and led the donkey away.
0:36:12|0:36:16|The next morning, [Ouyang Feng] stood high and looked at the woman.
0:36:19|0:36:30|The scene shifts, and [Ouyang Feng]'s elder sister-in-law is combing her hair in front of the mirror. Her complexion is crystal clear, with a radiant glow like snow. Delicate and gentle, her eyebrows are like a painting, exuding an indescribable charm and delicacy.
0:36:30|0:36:38|She raised her slender jade hand, lifted the embroidered hair on the side, but the smile on her face gradually disappeared, replaced by a hint of melancholy in her eyes.
0:36:38|0:36:44|The room was empty except for her. She sat on the blanket, looking at herself in the mirror.
0:36:44|0:36:48|Unexpected melancholy came over her, the prelude of which she did not know when it began, as she arrived at her new house.
0:37:2|0:37:17|In the dream, [Ouyang Feng] seemed to be back at the White Ostrich Mountain, the familiar lake was clear and transparent, as calm as a mirror, about to merge with the sky. But in an instant, the person accompanying him rode away, leaving [Ouyang Feng] alone by the lake.
0:37:18|0:37:27|At that moment, he woke up, opened his eyes and looked outside the door. An endless desert came into view, with rolling hills in the distance.
0:37:27|0:37:43|At this moment, a pair of bright and piercing eyes appeared on the screen. Under the sunlight, he slowly closed his eyes. At that moment, the sun quietly hid behind the clouds, and the earth momentarily darkened. [Ouyang Feng] walked out from the house, cautiously observing the stranger in front of him.
0:37:45|0:37:48|The man slowly opened his eyes, [Ouyang Feng] glanced at the corpses, and asked.
0:37:48|0:37:51|The man opened his chapped lips and then turned around to ask.
0:38:18|0:38:21|[Ouyang Feng] wipes his hands with a book of poetry and history.
0:38:21|0:38:23|A few months ago.
0:38:38|0:38:43|Not far away, a woman crouched by the road waiting, while a man stood with his back to [Ouyang Feng].
0:38:46|0:38:48|The duel between the man and the Blind Swordsman quickly begins, with him standing in place, head lowered.
0:39:6|0:39:9|The quick swordsman gripped the knife in his hand without any hesitation.
0:39:9|0:39:15|On the side of the mountain peak, a figure sat quietly at the top, observing the situation of the two.
0:39:15|0:39:17|The man is [Ouyang Feng].
0:39:17|0:39:25|The man lifted his head, his gaze as if lifting, staring fixedly at the setting sun, but the intense beam of light made him unable to help closing his eyes.
0:39:25|0:39:31|The quick-handed [Blind Swordsman] charged towards the man. At a critical moment, the man moved swiftly, dodging the long knife and striking back with all his might.
0:39:42|0:39:46|As soon as the words fell, the quick swordsman fell straight down.
0:39:46|0:39:56|In the evening, a gentle breeze blew in, causing the window curtains to flutter. A man led a horse back to [Ouyang Feng]'s residence.
0:39:56|0:40:1|The man seemed as if he hadn't heard anything, brushed past the woman, and then walked on by himself.
0:40:11|0:40:19|As the sun set, the man chewed on his food, but his eyes were fixed on the outside.
0:40:19|0:40:25|The woman sat on the ground leaning against a wooden stake, with a donkey standing behind her and a basket of eggs beside her.
0:40:25|0:40:33|After a while, the woman stood up again and took a few steps. She looked up at the sun overhead, opened the handkerchief in her hand, and covered her face.
0:40:33|0:40:37|The man was standing outside the door, gazing at the woman.
0:40:37|0:40:39|[Ouyang Feng] was puzzled, the man's lips were pale, he took a deep breath.
0:40:48|0:40:56|Seeing the man not responding, [Ouyang Feng] walked up to him and placed both hands on the wooden fence.
0:40:56|0:41:3|At this moment, the woman that [Huang Yaoshi] once searched for appears on the screen.
0:41:3|0:41:10|After the man finished speaking, [Ouyang Feng] did not respond anymore, and the two remained silent for a long time.
0:41:10|0:41:12|[Ouyang Feng] ponders for a moment before answering before leaving.
0:41:14|0:41:16|Finally, the man looked into the distance.
0:41:23|0:41:27|Day and night alternate, and the days pass by one after another.
0:41:27|0:41:36|The man sat on the steps in front of the door all day, sometimes looking up at the setting sun, but soon lowering his head to stare blankly into the distance.
0:41:36|0:41:41|After a few more days, the bandits still did not arrive. The man went to a distant hilltop and waited in silence.
0:41:53|0:41:59|His desolate figure sat at the peak of the mountain, inserting the long sword he carried with him into the soil.
0:42:5|0:42:9|In the room, the man slowly extends the torch in his hand towards the wick.
0:42:9|0:42:17|After a while, the wick was lit, his face illuminated by the candlelight, but his eyes remained tightly shut.
0:42:17|0:42:23|Outside the door, the woman still sat on the ground, with a donkey poking its head around her from side to side, the desert night wind was inevitably a bit cold.
0:42:24|0:42:29|The woman tightly hugged herself with both hands, burying her head deeply in the crook of her arm.
0:42:29|0:42:34|Her face showed no emotion, but was filled with exhaustion.
0:42:38|0:42:44|Upon hearing the question from the other party, the man lowered his head and fell silent.
0:42:44|0:42:48|Upon hearing the words "hometown," the man seemed to recall something.
0:42:48|0:42:53|His hands trembled slightly, he grabbed his collar and wiped the sweat off his mouth, leaning back against the wall.
0:43:11|0:43:15|The woman holding the egg asked the question and stared at him intently, waiting for his answer.
0:43:15|0:43:19|After a while, the woman turned around and left the room, walking quietly towards the outside.
0:43:19|0:43:23|Her steps were unsteady, with tears faintly visible on her face.
0:43:23|0:43:27|Perhaps, she herself didn't expect that the man would reject her.
0:43:27|0:43:30|The woman's self-esteem shatters at this moment.
0:43:30|0:43:32|She frowned, gripping the pillar tightly.
0:43:32|0:43:36|[Ouyang Feng] is drinking in the courtyard, a bowl is placed in front of him.
0:43:38|0:43:45|She took a bite of the food in her mouth, looked up, then picked up the wine vessel on the table and poured it into the bowl.
0:43:45|0:43:50|The man watched quietly as the wine poured slowly, then picked up the wine bowl and drank it all in one gulp.
0:43:52|0:43:57|The man casually placed the wine cup on the table, rolled up his sleeves, and wiped his mouth.
0:43:59|0:44:6|Her face showed a sense of determination, [Ouyang Feng] looked straight at her, then quickly shifted his gaze elsewhere.
0:44:8|0:44:9|The man stopped in his tracks and replied.
0:44:43|0:44:48|[Ouyang Feng] stared at him with wide eyes, but the man left without looking back.
0:44:48|0:44:51|An hour later, the man led the horse and prepared to set off.
0:44:51|0:44:57|When passing the intersection, he paused in front of the woman holding the eggs for a moment, but quickly turned and left.
0:44:57|0:45:1|He took a few steps and then stopped again, bowing his head in contemplation.
0:45:2|0:45:6|The woman behind is standing still with a basket of eggs.
0:45:6|0:45:12|At this moment, the man suddenly turned around, inserted the sword into the sand, and tightly embraced the woman, steadying himself.
0:45:12|0:45:16|The woman's face was full of resistance, using all her strength to push the other person away.
0:45:16|0:45:20|The man immediately turned around at this moment, sheathed his long sword, and left.
0:45:20|0:45:27|The woman, feeling angry, squatted down, grabbed a handful of sand and threw it at his back, then walked back and leaned against a wooden stake.
0:45:27|0:45:29|At this moment, the man furrowed his brow.
0:45:38|0:45:47|The woman who was forcibly kissed broke down emotionally, squatting on the ground holding her head and crying in pain, with most of the eggs in the basket beside her already smashed.
0:45:47|0:45:50|She cried as she picked up the broken eggs one by one and put them back into the basket.
0:45:55|0:46:2|The man was thinking about the woman in his hometown, but little did he know that at this moment, the woman in his hometown was tightly holding onto his clothes.
0:46:2|0:46:17|He walked forward expressionlessly, his eyes filled with determination. Beads of sweat glistened on his face, and his eyes appeared even deeper in the dimly lit corridor. The battle against the bandits was not only a fierce fight, but also a daring gamble with fate.
0:46:17|0:46:21|No one knows if he will ever see the hometown's [Tao Hua] again after he leaves.
0:46:23|0:46:25|A pair of horse thieves are galloping towards us, exchanging whips.
0:46:54|0:47:1|Not far away, a man is sitting in an abandoned wooden house, waiting. He closes his eyes and concentrates, waiting for a storm to come.
0:47:1|0:47:11|The woman holding the eggs is still standing at the intersection next to [Ouyang Feng]'s residence, but this time, she doesn't have any eggs in her hands, only the remaining donkey still standing beside her.
0:47:11|0:47:17|She squatted helplessly on the ground, grabbed a handful of sand and threw it out as if still in a fit of anger.
0:47:18|0:47:24|On the other side, the man picked up a jar of wine on the table and drank it all, wiping his mouth with his sleeve.
0:47:24|0:47:30|The bandit group with straw hats watched him quietly, their eyes extremely fierce.
0:47:30|0:47:34|In this moment, the bandits rushed forward with their swords in a chaotic manner.
0:47:38|0:47:42|At that moment, flames burst out and ignited the clothes of the person at the forefront.
0:47:44|0:47:47|He drew his sword in the chaos and fought fiercely against the bandits on horseback.
0:47:47|0:47:52|After a few moves, the bandits suffered numerous casualties, while the man remained unscathed.
0:47:52|0:47:58|The others, seeing the situation, did not dare to rush forward to their deaths, only holding their knives and glaring at the man with fierce eyes.
0:47:58|0:48:2|The seemingly harmonious scene did not last long, and the two sides started fighting again.
0:48:2|0:48:4|At this moment, another group of people and horses arrived outside.
