0:2:2|0:2:8|He then exerted force to prop up his upper body and sat up. He then walked outside.
0:12:33|0:12:49|[Lin Kai] sat on a rock, took out a pack of cigarettes from his pocket, flicked the lighter, lit one, held it in his mouth, took a deep drag, and then stared blankly ahead. Seeing this, [Laoying] slowly squatted down beside him.
0:12:50|0:13:2|After speaking, [Lin Kai] glanced at the man in glasses, who nodded thoughtfully.
0:13:7|0:13:12|He then got into the car of the man with glasses and stopped in front of a shantytown.
0:13:13|0:13:20|After looking around, he bent down, opened the car door and got out, while the man with glasses was lost in memories.
0:13:29|0:13:37|Wearing a police uniform, [Lin Kai] stood opposite him, with a resolute and determined expression.
0:13:53|0:13:56|The flashback ends, [Lin Kai] has disappeared at the end of the road.
0:13:56|0:14:8|The camera cuts to Cheng Yi leading [Lin Kai] into a narrow corridor, arriving at the entrance of a mahjong room. A man inside notices them and walks over.
0:14:8|0:14:16|Yingjie got up from the card table and walked over to the two of them.
0:14:20|0:14:26|On the other side, Yang Bin and his friends were sitting in the car, chatting and laughing. Suddenly, gunshots were heard not far away.
0:14:26|0:14:31|He immediately opened the door and ran.
0:14:33|0:14:40|Cheng Yi then led [Lin Kai] into a vegetable market.
0:14:42|0:14:48|He pointed at the vendor.
0:14:51|0:14:57|Yang Bin turned into an alley at this moment, saw the police aiming their guns and fired, but was instantly surrounded and shot in the heart.
0:14:58|0:15:4|Cheng Yi led [Lin Kai] towards the depths of the alley, with his subordinates occasionally handing him cigarettes along the way.
0:15:5|0:15:12|On the side, the police officer touched Yang Bin's neck, repeatedly confirming whether he was dead.
0:15:29|0:15:34|Cheng Yi was actually walking around with [Lin Kai] to familiarize with the heads of various major strongholds, announcing his official takeover from Yang Bin.
0:15:36|0:15:44|Soon after, Lin Kai and Laoying arrived at a factory where neatly dressed workers were methodically separating drugs.
0:15:55|0:16:3|The two indulged in revelry in the nightclub.
0:16:8|0:16:15|[Lin Kai] walked away after receiving the cash, then returned to the factory and carefully inspected the packaged goods. He heard [Li Jianguo] calling his name.
0:16:17|0:16:26|Following him, [Lin Kai] walked towards the depths of the factory. As night fell, a car slowly drove by the riverbank.
0:16:42|0:16:45|[Lin Kai] leaned back on the back seat of the car, talking to the man with glasses.
0:16:45|0:16:53|Hearing this, Lin Kai fell into contemplation. Suddenly, the pained face of his comrade and a tombstone with the name Zhang Haitao,
0:16:53|0:16:59|Entering his mind, but soon, these images disappeared.
0:17:7|0:17:13|[Lin Kai] and his men are eating, drinking, and smoking.
0:17:16|0:17:22|It's as if consciousness has detached. After three rounds of drinks, people gradually go crazy, with someone throwing a large amount of RMB into the air.
0:17:22|0:17:32|In the house, a rain of banknotes fell. However, [Lin Kai] sat at the edge of the bed with a lonely expression, looking at the smoke-filled light and the continuously falling Renminbi.
0:17:34|0:17:43|He numbly drank alcohol and smoked one cigarette after another, the surrounding excitement seemed to have nothing to do with him.
0:17:43|0:17:50|For a long time, the drunken people were sleeping in all sorts of positions, some lying on the ground, some slumped in chairs.
0:17:50|0:17:57|The only similarity is that they both have a lot of cash in their hands. [Lin Kai] fell asleep.
0:17:57|0:18:6|However, he was gasping in pain. In his sleep, a young woman curled up with her legs drawn up, leaning against a chair.
0:18:6|0:18:11|After gritting his teeth, Lin Kai injected the drugs into his arm through a syringe.
0:18:11|0:18:20|Suddenly, she began to convulse uncontrollably, her breathing becoming very rapid. Accidentally knocking over the table lamp beside her onto the ground.
0:18:20|0:18:28|At this moment, a young boy hides behind the cabinet, quietly watching the scene in the room, not daring to make a sound.
0:18:29|0:18:38|Seeing the woman suddenly stiffen in her chair, not moving at all, he bit his lip, shuffled his feet, and when he reached her side, he couldn't help but cry.
0:18:40|0:18:45|The woman turned out to be [Qingshui].
0:18:45|0:18:53|[Ma Dongmei] is the mother of the boy. The phone rings urgently.
0:18:53|0:19:1|[Lin Kai] opened his eyes in an instant, and the little boy in the dream disappeared. It turned out to be his childhood.
0:19:2|0:19:14|Next, [Lin Kai] turned and picked up the phone beside him. After listening, [Lin Kai] quickly got up and opened a door slightly.
0:19:14|0:19:28|Seeing [Cheng Yi] standing at the door, looking at him seriously, Lin Kai shouted. [Cheng Yi] did not respond directly.
0:19:28|0:19:36|Instead, driving with [Lin Kai], arrived at a waste paper compactor station. Slowly, the car stopped in front of a large shovel.
0:19:36|0:19:43|The workers saw this and hurried forward. Soon after, [Cheng Yi] and [Lin Kai] got out of the car.
0:19:50|0:19:57|Lin Kai opened the trunk and suddenly froze, inside were bundles of US dollars.
0:19:57|0:20:3|Seeing the workers skillfully carrying away the money, he stood still and quietly observed. 
0:20:3|0:20:8|[Cheng Yi] stood in front of the car, looking at the workers, holding the money towards the depths of the compression station.
0:20:8|0:20:9|At this moment, Lin Kai, Laoying, Li Jianguo, and Qingshui were all standing on the edge of the cliff, looking down at the raging river below.
0:20:9|0:20:18|A person approached the machine, tapped on the screen a few times, and the conveyor belt immediately started. The forklift first put the waste paper on the conveyor belt.
0:20:18|0:20:22|Several workers then threw bundles of US dollars into the pile of paper.
0:20:25|0:20:30|Soon, the two of them disappeared at the end of the machine together with the conveyor belt.
0:20:30|0:20:36|After a while, an enormous block of garbage emerged from the machine's outlet.
0:20:36|0:20:43|[Lin Kai] took a step forward, staring at everything intently, then turned his head and smiled at [Cheng Yi].
0:20:43|0:20:52|At this moment, the machine was still running steadily, while the forklift quietly transported the compressed garbage blocks.
0:20:52|0:21:4|Suddenly, [Cheng Yi]'s phone rang. He glanced down at it, then turned and walked towards the narrow and dimly lit passage behind. With no one around, he answered.
0:21:6|0:21:14|Hanging up the phone, [Lin Kai] looked around cautiously, then sent out the words "good weather" via text message.
0:21:14|0:21:20|Then quickly walked out of the corridor.
0:21:21|0:21:31|After giving instructions to the workers, [Cheng Yi] waved to [Lin Kai]. Then, he led two trucks away from the waste paper compactor station.
0:21:31|0:21:38|In the car, [Cheng Yi] looked at [Lin Kai] with a tense expression, smiled, and then asked him.
0:21:50|0:21:56|[Cheng Yi] let out a sigh after listening, then turned his head to look at [Lin Kai], smiling with satisfaction.
0:21:56|0:22:13|At this moment, the convoy arrived at the railway transportation transfer station. Among the densely packed goods piles, [Cheng Yi] found a vacant space and slowly parked the car there. The two large trucks behind them stopped not far away.
0:22:13|0:22:18|Cheng Yi finished speaking to [Lin Kai] who followed him, and then walked towards the small building inside the transfer station.
0:22:19|0:22:27|[Lin Kai] then lowered his head and lit a cigarette, standing in place to survey the area. At this moment, Cheng Yi arrived at the warehouse door and peered inside.
0:22:27|0:22:36|Not long after, there was a noise behind them. Two cars and a truck drove through the containers towards the two of them.
0:22:36|0:22:42|The police are ambushing from a vantage point, which is shocking.
0:22:43|0:22:50|In a boxcar at the transfer station, the leader from earlier was deploying the operation with a walkie-talkie.
0:22:52|0:23:0|Looking at the real-time monitoring on the screen, the leader saw the three cars pass by Cheng Yi and [Lin Kai], and parked directly in front of the warehouse.
0:23:0|0:23:9|Soon after, the leading car, a man wearing a headscarf and a gloomy expression, opened the door and got out first.
0:23:9|0:23:18|Cheng Yi, upon seeing the situation, hurried forward, bent at the waist, and warmly greeted him.
0:23:19|0:23:26|Upon seeing General Luo getting out of the car, [Lin Kai] furrowed his brow and stared at him intently.
0:23:26|0:23:36|Cheng Yi quickly put on a smile and explained to him.
0:23:52|0:24:1|After Mr. Luo finished listening, he nodded to one of his subordinates, indicating something. Then, [Lin Kai] led the subordinates to the side of the large truck.
0:24:1|0:24:8|Then a person used a cutting machine to cut off a corner of the garbage block, revealing a bundle of US dollars.
0:24:8|0:24:16|Not far away, the police camera captured the entire process of the transaction between the two parties and the stolen money clearly.
0:24:17|0:24:26|Hearing that there are 28 packs of US dollars, [Luo Zong] signaled to his subordinates again. Subsequently, his group of subordinates uncovered the plastic sheet on the big truck.
0:24:29|0:24:37|At this moment, several huge logs appeared in the carriage, and a henchman used an electric saw to cut a rectangular opening from above.
0:24:37|0:24:43|After moving away the cut wooden blocks, neatly packaged drugs were unexpectedly arranged inside.
0:24:44|0:24:53|At this moment, his subordinate took out a package and threw it to [Lin Kai] standing by the car. After looking at it in his hand, [Lin Kai] immediately walked towards Cheng Yi.
0:24:53|0:24:56|Then, he was handed over.
0:24:58|0:25:6|Cheng Yi joyfully reached out his right hand, and the leader at this moment picked up the walkie-talkie.
0:25:7|0:25:15|In the boxcar, the police officers leaped up and rushed out. The sirens blared, and their subordinates were scared and fled in all directions.
0:25:15|0:25:23|Mr. Luo quickly got into the car under the cover of his subordinates. Taking advantage of the fight between [Lin Kai] and his subordinates, Mr. Luo and Cheng Yi hurriedly escaped.
0:25:23|0:25:26|At this moment, the police stopped the large truck.
0:25:27|0:25:32|As soon as [Lin Kai] drove out of the exit, he found himself surrounded by police cars in the front and back.
0:25:33|0:25:42|On the other side, Cheng Yi, upon seeing the police approaching in the opposite direction, suddenly turned the steering wheel and abandoned the car, then disappeared into the container group.
0:25:42|0:25:51|The police immediately opened fire and chased after them. [Lin Kai] was wrestling with his subordinates, and when he saw the police, he immediately dove under the police car.
0:26:35|0:26:44|After knocking down one of the police officers, he immediately dodged. Unexpectedly, just as he passed through an intersection, he ran into four police officers head-on.
0:26:44|0:26:52|Reluctantly, he could only turn around and hide in the crevice. Then he took out the hand grenade he carried with him and threw it under the police's feet.
0:26:52|0:27:3|The deafening explosion and dazzling fire immediately caught the attention of [Lin Kai]. However, during the chaos, Luo was hit in the right calf while trying to escape.
0:27:3|0:27:12|Shortly after, he threw another grenade at the police. At this moment, [Lin Kai] followed the explosion's light and hurriedly approached Luo Zong, saying.
0:27:14|0:27:18|After identifying the newcomer, [Luo Zong] put away the gun and immediately got into the back seat of the car.
0:27:18|0:27:26|Shortly after, [Lin Kai] accelerated out of the pile of goods, unfortunately, the police car behind was still in hot pursuit.
0:27:26|0:27:31|At this moment, another police car turned into the intersection ahead.
0:27:31|0:27:36|Seeing that he was about to be surrounded, [Lin Kai] suddenly turned the steering wheel and drove into the warehouse.
0:27:36|0:27:43|In the chaos, the vehicles knocked down the goods along the way, while the police kept shooting from behind.
0:27:46|0:27:53|Soon, [Lin Kai] drove the vehicle crashing through the gate, and after landing on the railway, he wobbled forward and drove away.
0:27:53|0:28:1|The leader, who appeared out of nowhere, was wearing a police cap at this moment, looking in the direction where [Lin Kai] was running away, and let out a deep sigh.
0:28:1|0:28:8|In the car, Luo Zong pointed a gun at the back of Lin Kai's head while treating the wound.
0:28:10|0:28:16|[Lin Kai] disdainfully glared at Manager Luo. Manager Luo ignored him.
0:28:17|0:28:25|Taking off the scarf around his neck, [Lin Kai] tightly wrapped it around his calf. After pausing for a moment, he then took out his phone from his pocket and made a call.
0:28:27|0:28:35|Upon answering the call, Lin Kai shouted at the other party to come pick him up by the river after the accident. Soon, they arrived at the riverside.
0:28:35|0:28:42|[Lin Kai] followed the instructions and stopped the car. As he got out of the car and stood still, he turned around and saw,
0:28:42|0:28:52|Luo Zong leaned against the door, still pointing the gun at himself. Staring at the loaded gun, [Lin Kai] felt helpless and could only comply.
0:28:52|0:29:1|Lin Kai slowly walked towards the riverbank. Mr. Luo, seeing this, limped behind him with a gun in hand.
0:29:1|0:29:3|Maintaining a distance of three steps from him.
0:29:3|0:29:13|At this moment, the sky is already bright. In the murky river water, Luo Zong is holding [Lin Kai] hostage, making him carry him on his back and swim to the other side.
0:29:14|0:29:24|He held a gun in one hand and tightly wrapped his other arm around [Lin Kai]'s neck, putting all his weight on top of him. Finally, the two of them swam to the shore.
0:29:24|0:29:27|Mr. Luo groaned in pain because of the wound.
0:29:27|0:29:34|Threatened, [Lin Kai] supported him and walked into the dense jungle on the side. Then, both of them collapsed to the ground.
0:29:35|0:29:43|During a moment of catching his breath, a rustling sound could be heard. As [Lin Kai] just opened his eyes, he saw a person approaching him with a gun.
0:29:43|0:29:46|Before he could even get up, he was knocked unconscious.
0:29:46|0:29:53|Soon after, a group of people arrived at the notorious Golden Triangle region.
0:29:53|0:29:57|[Lin Kai] was blindfolded, hands and feet tied, and thrown into the back seat of a vehicle.
0:29:57|0:30:7|In the front row, a woman wearing sunglasses occasionally looked back at him, then picked up a walkie-talkie and made a call.
0:30:14|0:30:23|After a brief response from Sunglasses Woman's father, he hung up the phone. The camera then pulled back to reveal that he was actually sitting in a room that looked like a prison.
0:30:24|0:30:27|On the exquisite mahogany table, neatly arranged tea sets are placed.
0:30:27|0:30:35|He picked up a bowl of hot water and drank it all in one gulp. At this moment, the group led by the woman in sunglasses arrived at the lumber mill deep in the forest.
0:30:35|0:30:44|[Lin Kai] was blindfolded and thrown to the ground. Soon, two cars slowly drove up the narrow path from deep within the forest.
0:30:47|0:30:53|Shortly after, the car stopped in front of the gate of the lumber factory. Seeing this, the subordinates all stood up straight to welcome them.
0:30:53|0:31:1|Mr. Luo sat on a wooden stake, smoking a cigarette and wiping his gun. At this moment, his fully armed henchmen respectfully opened the car door.
0:31:1|0:31:10|A middle-aged man wearing a straw hat got off the car, waving a handkerchief. The woman in sunglasses stood up straight and walked towards him.
0:31:10|0:31:16|It turns out that he is the father of the woman in sunglasses. Without paying attention to [Li Jianguo] who approached.
0:31:16|0:31:24|He walked towards Lin Kai while playing with the matches in his hand, and then sat directly on the chair opposite Lin Kai.
0:31:24|0:31:30|Two henchmen stood obediently behind him.
0:31:48|0:31:55|The father of [Mo Jing Woman] reached back and took the gun.
0:32:9|0:32:16|The father of the woman in sunglasses aimed a gun at [Lin Kai], seemingly contemplating something. Then, he slowly stood up.
0:32:16|0:32:22|Two subordinates immediately grabbed [Lin Kai] and pushed him in front of the scene.
0:32:27|0:32:33|As soon as the words fell, the father of the woman in sunglasses emptied the bullets in the gun, leaving only one.
0:32:41|0:32:48|The trigger was pulled, but nothing happened the next second. Watching [Lin Kai] curl up into a ball,
0:32:48|0:32:56|The father of [Mo Jing] raised his eyebrows and honked several times in a row.
0:32:57|0:33:3|The father of the woman in sunglasses asked with a smile. [Lin Kai] gritted his teeth in response.
0:33:7|0:33:16|Shortly after, the father of the woman in sunglasses signaled to the henchmen holding [Lin Kai]'s hand. [Lin Kai] was dragged down directly. Seeing this, Mr. Luo...
0:33:16|0:33:23|Throwing away the cigarette in his mouth, dragging his injured leg, Lin Kai limped towards the father of the woman in sunglasses.
0:33:36|0:33:41|The woman in sunglasses, also known as [Qingshui],
0:33:41|0:33:50|After listening, Lin Kai nodded and glanced cautiously at Luo Dongfang. Seeing this, Qingshui's father vigorously wiped Luo Dongfang's neck with a handkerchief.
0:33:50|0:33:55|Shortly after, [Lin Kai] turned and left. Before the sun set,
0:33:55|0:34:1|[Lin Kai] was forced into a car by [Qingshui] and Luo Dongfang, and immediately drove towards the Chinese border.
0:34:1|0:34:8|On a refreshing morning in Yunlai City, a large number of police and journalists gathered inside the factory.
0:34:27|0:34:33|The leader who has a secret deal with Cheng Yi is now standing in front of the public, speaking with righteousness.
0:34:33|0:34:42|Subordinates lit torches in front of the reporters to destroy the drugs. Looking at the leader on the stage, [Lin Kai].
0:34:42|0:34:50|The man in glasses whispered instructions to his colleague. At this moment, [Lin Kai] and the other two arrived at the entrance of a vegetable market by car.
0:35:0|0:35:6|Later, looking at the expressions of [Qingshui] and [Lin Dongfang], he proposed this plan.
0:35:8|0:35:18|Sitting in the back seat, [Luo Dongfang] listened and then leaned forward to threaten him. However, [Lin Kai] ignored him and got out of the car, walking straight into the market.
0:35:18|0:35:35|At this moment, the man wearing a hat was trading with a vegetable vendor, exchanging drugs for money. After receiving the drug funds, he took out a notebook he carried with him and started jotting something down. Just as he put the notebook back into his bag, he turned around and saw [Lin Kai].
0:35:36|0:35:44|[Lin Kai] ignored it and took the notebook. Then, he tore out a page.
0:36:11|0:36:17|[Lin Kai] just slipped a note into Xiaobei's shirt pocket and secretly took his phone.
0:36:17|0:36:26|At this moment in the police station, Lin Kai's phone rang. He abruptly pulled open a drawer, revealing the least used emergency phone.
0:36:33|0:36:38|[Lin Kai] didn't wait for the phone to be answered, he pushed Xiaobei to the ground and returned the phone in one swift motion.
0:36:55|0:37:0|On the narrow road, [Cheng Yi] driving a luxury car, suddenly received a phone call.
0:37:0|0:37:7|Hearing the continuous ringing, he lowered his head to pick up the phone from his seat, took a glance at it, and answered the call.
0:37:11|0:37:16|As soon as the words fell, the rear of Lin Kai's car was violently hit by Laoying.
0:37:16|0:37:24|Next, Laoying's henchman with a gun arrived at Lin Kai's car and forcefully pulled him out of the driver's seat.
0:37:25|0:37:34|[Luo Dongfang] took his phone from the seat. Seeing [Cheng Yi] pinned in the back seat of his car, [Lin Kai] stepped on the gas pedal and accelerated out.
0:37:35|0:37:42|Listening to the frightened gasps of [Cheng Yi], [Luo Dongfang] sitting beside him spoke.
0:38:9|0:38:17|Qingshui listened and then dialed Wang Bo's number, and then handed the phone to Cheng Yi.
0:38:24|0:38:27|[Cheng Yi], with a gun pointed at his forehead, could only comply.
0:38:27|0:38:36|The scene cuts to an abandoned building. [Cheng Yi] and [Wang Bo] are hanging, with broken glass beneath their feet.
0:39:34|0:39:42|[Luo Dongfang] suddenly raised his hand and shot towards [Cheng Yi]'s thigh. Then, he walked up to [Wang Bo] with a phone in hand and pressed the play button.
0:39:56|0:40:2|Upon finishing speaking, [Lin Kai] slowly raised the muzzle of the gun, aiming at the side of [Wang Bo]'s face.
0:40:12|0:40:23|[Luo Dongfang] retracted the gun, turned around, and looked at [Cheng Yi] who was coughing. [Cheng Yi] answered cautiously.
0:40:24|0:40:29|Lin Kai continued to fire, and Laoying fell silent in an instant.
0:40:29|0:40:38|At this moment, one of Luo Dongfang's henchmen quietly approached [Lin Kai] from behind. Wang Bo had just let out a sigh of relief.
0:40:38|0:40:46|Just saw Luo Dongfang speaking towards [Lin Kai]. His henchman immediately raised his gun and approached to confront [Lin Kai].
0:40:47|0:40:52|Who knew, [Lin Kai] dodged and used his body to block Luo Dongfang's shots.
0:40:52|0:40:57|After that, they quickly took care of the others with a few moves and hid behind a cement pillar.
0:40:57|0:41:3|At this moment, Luo Dongfang, who was hiding behind a cement pillar, signaled to [Qingshui] with his eyes.
0:41:3|0:41:9|Lin Kai was asked to step forward while Qingshui took a shot from the other side.
0:41:9|0:41:15|In coordination with the fight, the two walked out from behind the pillar, one in front and one behind, striding towards [Lin Kai].
0:41:16|0:41:24|Seeing Luo Dongfang getting closer to the cement pillar where [Lin Kai] was hiding, suddenly, [Lin Kai] noticed several gas tanks on the open space diagonally ahead.
0:41:25|0:41:34|After several shots, multiple leaking gas tanks spun and flew towards the corner where [Lin Kai] was standing. Seeing this, he crouched down and fired again.
0:41:34|0:41:37|The explosion's shockwave sent Lin Kai flying out directly.
0:41:37|0:41:43|Lin Kai continued to pursue, shooting him in the shoulder while he was unable to get up in time.
0:41:43|0:41:48|Shortly after, [Laoying] approached [Qingshui] from behind and disarmed her of her pistol.
0:41:51|0:41:59|[Luo Dongfang] lay on the ground, clutching his wound. [Lin Kai] threatened [Qingshui] with a gun.
0:42:0|0:42:5|[Lin Kai] did not answer, but just pushed the muzzle forward with force.
0:42:5|0:42:15|Qingshui had no choice but to take out his phone, dial the number, and hand it to Lin Kai behind him. Qingshui's father's voice came through the phone.
0:42:32|0:42:41|He then calmly agreed to Lin Kai's conditions and hung up the phone first. Inside the building,
0:42:41|0:42:50|[Luo Dongfang] covered his injured shoulder, sweating profusely. Then, under the coercion of [Lin Kai], the three of them left the place. The scene shifted,
0:42:50|0:42:55|A man is eating instant noodles in the dormitory.
0:42:58|0:43:2|After the man with glasses and a few police officers stripped him naked, they carefully searched his personal belongings.
0:43:24|0:43:35|After taking the note, Lin Kai found only a scribbled "wait" on it, so he nodded knowingly. On the other side,
0:43:39|0:43:46|He held a gun against Lin Dongfang's head, forcing him to drive obediently, while observing the surroundings.
0:43:46|0:43:53|Upon entering a dense forest, Lin Kai suddenly realized that his phone had completely lost signal, so he looked out the window.
0:43:53|0:44:2|It turns out that there are many signal jammers covered with leaves not far away. At this moment, [Qingshui]'s father waved a handkerchief and walked into the lumber factory.
0:44:2|0:44:11|There are many henchmen holding guns behind. [Lin Kai] is pointing a gun at [Laoying], looking at him quietly.
0:44:12|0:44:19|[Qingshui]'s father stood opposite [Lin Kai], casually waving the handkerchief in his hand, gently creating a breeze.
0:44:27|0:44:33|Qingshui's father lowered his head and smiled.
0:44:42|0:44:47|[Lin Kai] held a gun against [Laoying] as a threat, then smiled and looked towards [Qingshui]'s father.
0:44:47|0:44:53|[Luo Dongfang] hung his head in guilt.
0:45:6|0:45:13|Qingshui's father listened, one hand supporting the chair, the other using a handkerchief to cover his nose and sniffed, then said.
0:45:42|0:45:53|At this moment, [Lin Kai] suddenly smirked, turned the gun around, pointed it at [Qingshui]'s father, then, with a loosened grip of his right hand, handed the gun over.
0:45:53|0:46:2|After [Qingshui]'s father took the gun, he aimed straight at Lin Dongfang's forehead and then walked over to [Qingshui].
0:46:8|0:46:15|After explaining with tears in his eyes, he turned around and returned to [Lin Kai], then slapped him hard, knocking him to the ground.
0:46:15|0:46:23|The scene shifts to the hospital. Lin Kai, accompanied by a few henchmen, walks through the corridor and enters Wang Bo's hospital room.
0:46:26|0:46:31|Then he showed his police officer badge to him. It turned out that his name was [Li Jianguo].
0:46:34|0:46:41|On the other side, [Qingshui]'s father, accompanied by two henchmen, arrived at the second floor of the lumber factory, then walked up to [Lin Kai].
