0:2:12|0:2:18|With only a black cat present, just as she looked incredulous, the black cat spoke again.
0:23:47|0:23:52|[Yu Lian] looked at Lixiang, knowing that Lixiang was angry with her for stealing her lover. She was momentarily at a loss for how to respond.
0:23:52|0:24:10|At this moment, [Chen Yunqiao] handed himself a drink, and [Yu Lian] happened to finish it in one gulp. Just as everyone was enjoying themselves, suddenly [Kong Hai] felt like there was something upstairs, and the laughter around him seemed to become sharp and eerie. The painted sea on the screen turned into a real sea, and in an instant, the waves surged.
0:24:10|0:24:15|Suddenly, the shadow of a cat appeared on the screen.
0:24:16|0:24:23|It turns out to be that talking cat demon again. At this moment, [Chen Yunqiao] hears someone calling his name and looks around drunkenly.
0:24:44|0:24:50|[Chen Yunqiao] felt uncomfortable hearing this and immediately stood up to address everyone.
0:25:5|0:25:22|As soon as the demon cat finished speaking, Bai Letian's dagger stabbed into the screen, and the shadow of the demon cat disappeared instantly, with a sudden burst of firelight from the candles on the wall. The dancers were so scared that they dared not move.
0:25:22|0:25:43|The Jinwu Guards drew their swords in defense, but at this moment, Li Xiang quietly stood up from behind [Chen Yunqiao]. Suddenly, a shadow passed through the neck of [Chen Yunqiao]. He touched his neck and found blood on his hand, with three deep scratch marks appearing on his face. He quickly drew his sword, and a fierce battle was about to begin. The girls from the Huyu Tower had never seen such a scene before and all fled in all directions.
0:25:46|0:25:56|At this moment, a black shadow swept across the top of them, one step, two steps, extinguishing the candlelight wherever it went. An observant [Jin Wuwei] spotted the whereabouts of the demon cat.
0:25:57|0:26:10|As soon as the words fell, the sword stabbed towards the demon cat. The demon cat leaped down, passed by the feet of the Jinwu Guards, and everyone fell to the ground. Fortunately, [Bai Letian] quickly closed the door and was not discovered by the demon cat, escaping a disaster. But the people inside were not so lucky.
0:26:10|0:26:31|Some were scratched and fell to the ground by the cat demon, some were knocked and fell off the building, and others were thrown high in the air by the cat demon and then fell heavily. However, the cat demon did not harm the powerless girls. It jumped onto the table and then called out to Chen Yunqiao.
0:26:32|0:26:51|After the demon cat finished speaking, it swaggered past the Jinwu Guards. None of them dared to move, all watching as the demon cat leaped over the fence outside the door. The demon cat looked back at the collapsed Jinwu Guards, leaving in a victorious manner.
0:26:51|0:27:0|The demon cat fled in a panic as soon as [Chen Yunqiao] left, and Li Xiang seemed to be acting guilty, lowering her head sneakily as if she had done something wrong. At this moment, she suddenly encountered a Jinwuwei whose eyes had been gouged out by the demon cat.
0:27:4|0:27:17|Seeing Jin Wuwei's eyes bloodshot and terrifying, causing Lixiang to scream in fear. At the same time, [Chun Qin] also fainted on the ground. On the other side, [Chen Yunqiao] ran back home with sweat on his forehead, pushed open the courtyard door to find nothing unusual, finally breathed a sigh of relief, and was about to run into the house.
0:27:17|0:27:25|Suddenly he saw [Chun Qin] sitting by the lake with her back to him. When [Chun Qin] didn't respond, he felt a bit worried and ran through the long corridor to where she was.
0:27:25|0:27:41|When he arrived, [Chun Qin] had disappeared without a trace. Just as he was puzzled, he suddenly noticed that the lake seemed different from usual. He walked to the edge of the lake to investigate and found that dead fish with their eyes gouged out were floating all over the lake, which scared him so much that his legs went weak and he almost fell into the water.
0:27:42|0:27:49|The next morning, [Master Konghai] and others arrived at the crime scene of Hu Yulou with the officials and soldiers.
0:28:28|0:28:33|Li Shaojian realized that he had wrongly accused Bai Letian before, so he walked up to him to apologize for what happened before.
0:28:48|0:28:53|[Master Konghai] was moved by [Bai Letian]'s unyielding attitude and grabbed him, bowing to him.
0:29:0|0:29:8|Li Shaojian stood by the lake and talked to the two people.
0:29:19|0:29:26|Bidding farewell, [Li Shaojian] and the two walked back on the road.
0:30:14|0:30:27|Master Konghai's myriad thoughts could not find an answer. Bai Letian brought him to a city tower.
0:30:30|0:30:50|[Master Konghai] listened and then turned to gaze at the distant imperial city. Suddenly, the weather changed dramatically, and [Master Konghai] snorted coldly.
0:30:52|0:31:1|As the sky darkened, finally arriving at the second night agreed upon with the demon cat, [Chen Yunqiao] and [Chun Qin] lay on the bed with anxious hearts.
0:31:8|0:31:17|As soon as the two finished speaking, a black shadow swiftly leaped over the courtyard wall.
0:31:24|0:31:39|Just as the two were shifting blame onto each other, a cat's shadow appeared on the lantern of the Chen family's night patrol servant. The Taoist priest in the courtyard, holding peach wood and reciting sutras with his mouth, was completely unaware. And so, the demon cat easily made its way into the inner courtyard hidden in the servant's lantern.
0:31:39|0:31:57|At the entrance of the inner courtyard, another Taoist priest is performing a ritual with peach wood. The shadow of the demon cat is directly printed on the wall behind the Taoist, but unfortunately, he still hasn't noticed. And so, the demon cat enters the room again, walks up the stairs, and passes through the door crack to the second floor. The corridor is empty, and the demon cat struts through it confidently.
0:31:57|0:32:16|Arriving at the staircase, with only the last flight of stairs remaining, the demon cat would soon meet the couple [Chen Yunqiao]. It quietly climbed the final step and encountered a Taoist priest. The priest sat at a table with his eyes closed, continuously chanting a spell. The demon cat leaped lightly onto the table.
0:32:16|0:32:25|The Taoist priest Bai Letian slowly opened his eyes upon hearing a noise, only to find the demon cat staring at him. The demon cat extended its sharp claws, ready to take the priest's life in an instant.
0:32:25|0:32:43|In the room, [Chen Yunqiao] was awakened and hastily picked up his sword. Without bothering to put on his clothes properly, he opened the door to look around. Large bloodstains on the ground caught his eye, and he knew it was the work of the demon cat. With his clothes disheveled, he tightly gripped the sword and carefully followed the bloodstains downstairs to investigate.
0:32:43|0:33:5|As he pushed open the door, he suddenly found the bodies of two Taoist priests lying at his feet. He was so scared that he scrambled upstairs to find [Chun Qin]. Suddenly, he heard [Chun Qin]'s miserable cry and rushed into the room. As soon as he entered, he was stunned. It turned out that the demon cat was lying on [Chun Qin]'s legs at this time, and [Chun Qin] seemed to have changed. She was actually playing with the cat.
0:33:5|0:33:25|The demon cat spoke to [Chen Yunqiao]. With a swipe of its claws, it left a scratch on the snowy white neck of [Chun Qin]. [Chen Yunqiao] fled in panic, no longer caring to save [Chun Qin]. In an instant, he ran to the gate and shouted at the guards.
0:33:36|0:33:45|[Chun Qin] stood by the bed calling for help to her husband, but suddenly she was dragged into the room by the demon cat. Seeing this, [Chen Yunqiao] quickly ran towards [Chun Qin], but suddenly he closed the door and locked it from the outside.
0:33:45|0:34:0|A strange laughter was heard, and looking towards it, it turned out to be [Chun Qin]. Oddly, wasn't she just upstairs? How did she appear in front of him now? [Chen Yunqiao] staggered to [Chun Qin] and cautiously said in a low voice.
0:34:4|0:34:18|The woman with the appearance of [Chun Qin] suddenly took out a fish and ate its eyeball in front of [Chen Yunqiao], frightening him to flee in panic.
0:34:33|0:34:44|Peony followed Master Konghai's instructions to fetch fresh meat with blood on it, while Bai Letian couldn't help but step forward to check Yu Lian's injuries. Seeing Yu Lian's festering leg, Bai Letian was greatly shocked.
0:34:47|0:34:53|At this moment, [Chen Yunqiao] also arrived at the Hu Yulou. He knocked hard on the door of his old friend Lixiang, hoping to hide here for a while.
0:34:56|0:35:7|In Lijiang, the cold-hearted [Chen Yunqiao] took one look and huffed before shutting the door. Suddenly, he saw Peony carrying raw meat and decided to follow her. Meanwhile, [Kong Hai] was writing densely packed words on [Yu Lian]'s calf.
0:35:10|0:35:17|[Master Konghai] spoke as he lifted the skirt covering [Yu Lian]'s knees.
0:35:31|0:35:38|Following Master Konghai's orders, Mudan held Yu Lian, Bai Letian carried raw meat, and he pierced Yu Lian's toes with a needle, causing blood to flow instantly.
0:35:39|0:35:49|[Bai Letian] quickly caught the blood flowing from [Yu Lian]'s toe with raw meat, and the meat in the bowl turned into millions of worms wriggling in an instant. At this moment, [Chen Yunqiao] hiding behind the door saw [Kong Hai] detoxifying with raw meat.
0:36:18|0:36:25|Chen Yunqiao, hiding behind the door, saw Kong Hai's superb magic skills, so he pushed the door open and knelt directly on the ground, begging Kong Hai for help.
0:36:27|0:36:46|Upon learning about the strange occurrences at the Chen residence from [Chen Yunqiao], [Kong Hai] and [Bai Letian] hurried there under the moonlight. The Chen residence was shrouded in a eerie atmosphere under the moonlight, and suddenly the two noticed [Chun Qin] appearing on the roof, reciting poetry.
0:36:51|0:37:1|Suddenly, [Chun Qin] slipped and almost fell, [Kong Hai] immediately walked forward. Realizing what happened, [Bai Letian] hurried to catch up, and the two finally found [Chun Qin]'s bedroom, only to see her lying on the bed.
0:37:32|0:37:50|After that, [Kong Hai] left the Chen residence with [Bai Letian]. At this moment, the shadow of the demon cat appeared again. As the sky gradually brightened, [Bai Letian] sneaked into the imperial city with [Kong Hai]. Fortunately, it was the time for the guards to change shifts, so they took advantage of the timing to sneak into a palace.
0:37:50|0:37:57|The books in the hall cover the entire wall, with bookshelves neatly arranged in the middle. Asked [Master Konghai].
0:38:7|0:38:17|Climbing up the ladder while talking. [Kong Hai] pushes from below, [Bai Letian] searches above, and finally the two stop in front of the history section bookshelf. Just as [Bai Letian] is searching around.
0:38:17|0:38:26|[Master Konghai] suddenly noticed a firefly flying below, and it landed right on the daily record of Emperor [Tang Xuanzong]'s life during the Kaiyuan era that [Bai Letian] was looking for.
0:40:16|0:40:24|[Bai Letian] excitedly describes to [Kong Hai] the love of [Li Longji] for [Yang Yuhuan].
0:40:38|0:40:45|Although [Bai Letian] spoke passionately, [Kong Hai] remained unmoved.
0:41:2|0:41:21|[Bai Letian] spoke as if he had really traveled back to the time of [Tang Xuanzong]. The gate of the Huaye Xianghui Tower opened to him, and the stunning beauty [Yang Yuhuan] slowly walked towards him. With a slight smile towards [Bai Letian], he was completely captivated. Beside him, [Kong Hai] knew that [Bai Letian] had succumbed.
0:41:21|0:41:26|Bai Letian] was immersed in his own fantasy as he spoke, and was interrupted by someone who couldn't bear it.
0:42:10|0:42:18|The melon farmer turned around and saw [Kong Hai].
0:43:12|0:43:26|In the distance, the bell of Qingyun Temple rang again. [Master Konghai] bid farewell to Guaweng, and went to find [Bai Letian] to visit the Chen Mansion again. This time, [Bai Letian] was not happy, muttering all the way, worried that he might also have his eyeballs eaten by the demon cat.
0:43:39|0:43:48|[Kong Hai] had just finished speaking when the sky suddenly changed, and in front of [Chen Yunqiao]'s house appeared a blooming cherry blossom tree, with a woman standing underneath it.
0:44:2|0:44:14|Just as they finished speaking, a mist rose behind them, but when they turned around, they found nothing unusual. [Bai Letian] approached the woman under the tree and recognized her as [Yang Yuhuan] from 30 years ago. He wanted to get closer to [Yang Yuhuan], but [Master Konghai] behind him reminded him.
0:44:16|0:44:21|After [Kong Hai] finished speaking, the noble consort disappeared along with the tree in front of [Bai Letian], and the sky cleared up again.
0:44:21|0:44:32|It turns out that everything just now was an illusion. After pushing open the door of [Chen Yunqiao]'s house for just one night, [Chen Yunqiao]'s house seemed to have passed many years. Weeds grew in the courtyard, making it look like an abandoned desolate house for many years.
0:44:33|0:44:52|As they were talking, suddenly the voice of [Chun Qin] came, and they saw her sitting by the window shouting at the two. [Bai Letian] and [Kong Hai] went upstairs, and [Chun Qin], in a long dress, looked particularly beautiful.
0:44:56|0:45:12|[Bai Letian] saw that the tea on the table was covered with silk nets, and looked uneasily at [Kong Hai]. At this moment, [Kong Hai] calmly took a seat, although he was full of doubts in his heart, he had no choice but to sit down as well. Little did he know that as soon as [Kong Hai] sat down, he picked up the tea cup covered with silk nets and took a sip, and no one could stop him.
0:45:29|0:45:45|After [Kong Hai] and [Chun Qin] finished speaking, they burst into laughter. [Bai Letian] awkwardly chuckled along a few times. As they chatted, he picked up a teacup, and suddenly a large spider crawled out from inside. Luckily, [Kong Hai] acted quickly and tapped him twice, making the spider disappear.
0:48:39|0:48:48|[Chun Qin] did not answer, turned her back to the two of them, a tear slid from the corner of her eye.
0:48:56|0:49:9|[Bai Letian] wanted to ask further, but at this moment, [Chun Qin] had already fainted and couldn't wake up. Suddenly, a demonic wind blew through the room, sweeping away all the dried leaves inside. In an instant, [Chen Yunqiao] returned to his original appearance, and the two realized that it was another illusion created by the demon cat.
0:49:9|0:49:16|Although it was an illusion, what it said was true. The two of them did find a dried cat skin under the bed.
0:49:19|0:49:36|[Bai Letian] picked up its body and discussed with [Master Konghai] to burn it in the courtyard, which could be considered as comforting its soul. Finally, the case of the demon cat was resolved. [Chen Yunqiao] survived the crisis and then hosted a banquet for many guests, with [Chun Qin] performing a dance for the guests.
0:49:36|0:49:41|[Chen Yunqiao] raised his glass to thank [Kong Hai] and [Bai Letian].
0:49:46|0:49:53|Three people were drinking heartily below the stage, with [Chun Qin] tied to copper bells on her feet, draped in thin gauze, dancing gracefully on the drum. The guests couldn't help but applaud and cheer.
0:49:54|0:50:5|During the banquet, [Chun Qin] flung the thin veil on her shoulders in front of [Chen Yunqiao], who grabbed it and pulled her towards him with a little force. The two then started dancing, pushing the atmosphere of the banquet to a climax.
0:50:5|0:50:13|The accompaniment became more and more intense, and as the two performed more brilliantly, the intrigued Bai Letian introduced Kong Hai to the origins of this dance music.
0:50:19|0:50:29|Dancing [Chun Qin] and [Chen Yunqiao] are just like the imperial concubine and [Tang Xuanzong] from the past.
0:50:29|0:50:48|At this moment, [Chun Qin] led [Chen Yunqiao] behind the screen with a thin veil. However, when the two came out, the veil was unexpectedly wrapped around [Chun Qin]'s neck by [Chen Yunqiao]. [Kong Hai] and [Bai Letian] hurried to intervene, but [Chen Yunqiao], as if possessed by a supernatural power, leaped up and pulled [Chun Qin] onto the guests' table with the veil, shattering the dishes and utensils.
0:50:48|0:50:55|Suddenly the curtains rolled up, the doors and windows closed, red smoke rose, and the guests were scared and fled in all directions, leaving only the musicians playing more and more intensely.
0:50:56|0:51:11|[Chen Yunqiao] dragged [Chun Qin] onto the drum. The drum seemed to have a magical power, as it sucked the table over and arranged it neatly. He pushed [Chun Qin] down, his body pressing tightly against hers, and said.
0:51:21|0:51:28|[Master Konghai] stood quietly on the side, observing everything with a cold gaze. The more frenzied the musicians played, the more [Chen Yunqiao] went crazy and strangled [Chun Qin].
0:51:28|0:51:37|[Kong Hai] arrived at the musician and gently tapped the musician who was holding the pipa. The musician immediately turned around, the strange light in his eyes disappeared instantly, obviously they were both under the illusion of the demon cat.
0:51:37|0:52:4|The musician fainted, the music stopped, and [Chen Yunqiao] finally regained his senses. He suddenly realized that he was tightly gripping [Chun Qin]'s neck. Seeing [Chun Qin] lying on the drum struggling for breath, he panicked and quickly let go. Unfortunately, it was too late. With her last weak voice, [Chun Qin] said.
0:52:8|0:52:15|She stared with her eyes wide open as she was strangled to death by her own husband. [Chen Yunqiao] wiped away her tears with the hem of her clothes, as if speaking to herself and to others at the same time.
0:52:17|0:52:23|After saying goodbye to [Chen Yunqiao], he left as if nothing had happened. Suddenly, another cat meow was heard.
0:52:28|0:52:38|Outside the house, Bai Letian saw Chen Yunqiao sitting on a tree, throwing money down. Watching the tragic end of the Chen family, Bai Letian said indignantly.
0:52:48|0:52:57|But [Kong Hai] was inspired by this and questioned [Bai Letian].
0:53:18|0:53:24|Upon hearing Master Konghai's judgment, Bai Letian's face turned extremely ugly.
