0:2:20|0:2:27|After filming, Wu Fuchun sat across from Jing Ruyi, looking at her.
0:10:30|0:10:40|[Wu Fuchun] nodded tremblingly, lifted Natasha first, and tried to put her down from the overturned seat. What he didn't see was a piece of iron had already pierced Natasha.
0:10:40|0:10:57|[Wu Fuchun] unbuckled Natasha's seatbelt and carried her out of the cabin, while [Jing Ruyi] was still pinned under the metal sheet, unable to move, watching helplessly as [Wu Fuchun] and Natasha left the cabin. Mixed emotions flooded her mind, every second at this moment was a torment for her.
0:10:58|0:11:5|After settling Natasha down, [Wu Fuchun] quickly returned to the cabin, giving [Jing Ruyi] a renewed sense of hope for survival.
0:11:14|0:11:30|The sudden turbulence of the plane caused [Wu Fuchun] to fall down. By now, the ice had already cracked open, and the cabin was rapidly sinking, allowing seawater to rush in. Seeing this, [Wu Fuchun] quickly picked up the backpack and prepared to rush outwards.
0:11:30|0:11:43|He glanced apologetically at [Jing Ruyi], then rushed out without looking back. Facing the desertion of his teammates, [Jing Ruyi] felt both pain and despair as the seawater continued to spread upwards.
0:11:43|0:11:55|[Jing Ruyi] could only sit up straight, trying her best to lift the steel plate on her leg. As self-rescue proved futile, [Jing Ruyi] finally burst into tears. Suddenly, [Wu Fuchun] appeared at the cabin door.
0:11:55|0:12:4|He clung to the door frame of the cabin, watching as [Jing Ruyi] cried and struggled to lift the steel plate. When [Jing Ruyi] saw [Wu Fuchun], a hint of pleading smile appeared on her face.
0:12:4|0:12:14|Unbeknownst to [Wu Fuchun], her gaze was actually fixed on the black suitcase behind her. She grabbed a fire extinguisher to wedge under the steel plate, and forcefully pulled up the upper body of [Jing Ruyi].
0:12:18|0:12:35|[Wu Fuchun] quickly dropped [Jing Ruyi], and leaned over the steel plate trying to pull out her foot, but the non-slip boot was firmly stuck under the plate. With the strength of both, they couldn't get it out at all. [Wu Fuchun] could only pull [Jing Ruyi]'s foot out of the shoe, grab her arm, and drag her out with all his might.
0:12:35|0:12:52|The two escaped from the cabin, but the 10-meter ice couldn't hold up. The wreckage of the plane slowly sank in front of them. In a panic, [Wu Fuchun] fell to the ground but didn't dare to stop for a moment. He grabbed [Jing Ruyi]'s clothes and crawled further away, with [Wu Fuchun] using both hands and feet to move backwards.
0:12:52|0:13:4|Until he felt safe enough to stop, the plane quickly disappeared into the ice hole. Now, there were only the three of them on the ice, with [Wu Fuchun] and [Jing Ruyi] looking at everything in front of them.
0:13:4|0:13:16|Wu Fuchun, who was the first to regain his strength, couldn't calm down for a long time. He propped up his feet and held up his phone to search for a signal everywhere, while Jing Ruyi sat beside Natasha, reaching out to touch her carotid artery.
0:13:16|0:13:34|After a while, [Jing Ruyi] slowly stopped and [Wu Fuchun] looked at the phone with "No Service" in the top left corner, his brows furrowed. [Jing Ruyi] covered Natasha's eyes with her hand, tears streaming down uncontrollably. [Wu Fuchun] silently crouched in front of [Jing Ruyi], not saying a word for a long time.
0:13:34|0:13:41|After giving [Jing Ruyi] some time to calm down, a while later, [Wu Fuchun] finally couldn't hold back and took a few steps forward.
0:13:43|0:13:49|[Jing Ruyi] sat on the side absentmindedly, as if not hearing a word of what [Wu Fuchun] was saying.
0:13:59|0:14:12|[Wu Fuchun] furrowed his brow in thought, then lifted his head to look at [Jing Ruyi]. [Jing Ruyi] raised her wrist to check the time, only to find that her watch face had been shattered.
0:14:25|0:14:44|The confident words of the high-altitude physicist hit [Wu Fuchun] like a hammer. He sat weakly on the ice, looking around at the vast white glaciers in silence. Soon, [Wu Fuchun] regained his composure and began to rearrange the remaining supplies.
0:14:50|0:15:8|[Jing Ruyi] ignored [Wu Fuchun], she picked up a handful of snow and applied it to her wound. [Wu Fuchun] glanced disdainfully at [Jing Ruyi], then continued to gather resources around him, emptying the suitcase for [Jing Ruyi] to sit in. [Jing Ruyi] sat motionless, staring at Natasha's body.
0:15:14|0:15:29|[Jing Ruyi] lowered her head to look at the body next to her, then turned to [Wu Fuchun] with a pleading expression. As the only male with a healthy and pain-free body, the wealthy [Wu Fuchun] willingly transformed into a laborer, tying one end of the rope to the suitcase.
0:15:29|0:15:50|On the other end, dragging it laboriously on his shoulder, one side of the suitcase contained Natasha's body, while the other side held the injured [Jing Ruyi]. [Jing Ruyi], clutching the remaining supplies, [Wu Fuchun] stopped in his tracks and looked around in confusion.
0:15:58|0:16:16|[Wu Fuchun] looked around in confusion, then obediently picked up the rope and walked forward with great effort. Soon they arrived at a wide ridge they needed to cross. It would take a long time, as the weather had become extremely harsh in this area.
0:16:34|0:16:41|Ruyi hurriedly took out a pickaxe from her backpack and threw it to [Wu Fuchun], who then dug up the ground desperately after receiving it.
0:16:45|0:17:3|[Wu Fuchun] had a fierce expression, never daring to stop for a moment. Meanwhile, not far away, a blizzard mixed with a storm was roaring towards them, as if it were the end of the world. Ruyi struggled to climb out of the trunk and crawled towards [Wu Fuchun]. The wind and snow grew stronger and stronger, and soon a layer of frost formed on Natasha's face.
0:17:3|0:17:21|[Wu Fuchun] frantically dug through the snow, quickly digging out a half-meter deep pit, while Ruyi lay on the other side of the snow pit. Continuously pushing the snow out, the storm was getting closer and closer, pressing down overwhelmingly. At the last moment, they finally dug a snow pit big enough for two people and crawled into it.
0:17:21|0:17:38|And Natasha's body and backpack were left outside the pit, the fierce blizzard constantly sweeping over her. At this moment, the sky over Antarctica was gloomy, with gray murky clouds covering the sky, and the storm raging over the glaciers like sharp swords.
0:17:38|0:17:46|Finally, the snow stopped, and through the crack in the luggage compartment, the sky gradually brightened up, and the howling wind disappeared.
0:17:46|0:17:57|The two in the pit were close together, with [Jing Ruyi] slowly opening her eyes. [Wu Fuchun], on the other hand, was sleeping soundly leaning against [Jing Ruyi], seeming to sense the movement beside him, with a frown on his face.
0:17:57|0:18:5|Opening his eyes, he blinked and looked at [Jing Ruyi] next to him with confusion, clearly not fully awake.
0:18:6|0:18:14|[Wu Fuchun] raised his arm and pushed the corner of the overhead luggage compartment with force, the sudden light surrounded [Jing Ruyi] who couldn't open her eyes.
0:18:22|0:18:30|[Jing Ruyi] looked at Wu Fuchun as if he were an idiot, then lowered her head to examine her own calf.
0:18:47|0:18:51|[Jing Ruyi]'s eyes were filled with suppressed resentment.
0:19:4|0:19:13|Wu Fuchun then vented his frustration by pushing the suitcase aside, and struggled to climb out of the snow pit. He picked up his handbag and walked forward without looking back.
0:19:17|0:19:35|Without the burden of Natasha and [Jing Ruyi], [Wu Fuchun] quickly walked to the top of the ridge. Looking from a distance, the yellow fur moved slowly, like a proud rooster. He first walked slowly on a snowy slope, and suddenly, with some unknown strength, he even started to run.
0:19:35|0:19:46|[Wu Fuchun], after running and climbing to the top of the mountain, continued to walk forward along this line. Upon reaching the final vantage point, [Wu Fuchun] first threw the handbag up.
0:19:46|0:20:0|Then [Wu Fuchun] used both hands and feet to climb up the rocks. Obviously, this wealthy young man was not a fan of sports, but he managed to climb up here relying solely on his will to survive and unwillingness to give up, standing at the highest point of the mountain ridge. He then staggered forward for several steps.
0:20:0|0:20:11|[Wu Fuchun] gritted his teeth, quickly pulled out his phone from his pocket, and raised it high again, trying to find a signal, which was his last glimmer of hope in his eyes.
0:20:11|0:20:22|On the other side, the sound of birds caught [Jing Ruyi], who was still in the snow pit, off guard. She seemed to have realized something, her expression changing from initial surprise to an undisguised fear.
0:20:22|0:20:34|[Jing Ruyi] cautiously peeks out half of her head, only to see a group of Antarctic skuas feasting voraciously on Natasha's body. [Jing Ruyi] looks ahead in disbelief, unsure of how to shift her gaze away.
0:20:34|0:20:46|At this moment, [Wu Fuchun] is still standing at the highest point of the mountain ridge, holding up his phone to search for signal. [Wu Fuchun] looks at the screen in frustration, and his hand eventually drops helplessly.
0:20:52|0:21:4|[Wu Fuchun] was so angry that he picked up a stone and threw it into the distance. However, he exerted too much force, slipped under his feet, and rolled down the hillside. He quickly grabbed onto the snow to stop himself.
0:21:4|0:21:14|Exhausted, he finally managed to stop and lay motionless on the ground, using all his strength to barely prop up his upper body with his arms.
0:21:14|0:21:37|The first thing that [Wu Fuchun] did was to search for the fallen phone. He hurried to the phone, about to pick it up, but coincidentally saw something exciting. Below the snow slope stood a small wooden house covered with snow. On the other side, more and more thief seagulls came to search for food. [Jing Ruyi] tightly hugged a thermos cup, curled up in a snow pit, and closed her eyes tightly.
0:21:37|0:21:55|Trembling in fear, the agile seagull flew over upon hearing the sound, and mercilessly pecked at [Jing Ruyi]. Ruyi waved her thermos cup in terror, but no matter how hard she tried, she couldn't drive it away. Suddenly, a hand accurately grabbed the seagull by the neck and threw it far away. After driving away the seagull, [Wu Fuchun] appeared.
0:22:0|0:22:17|[Wu Fuchun] emptied everything from his backpack onto the ground, first selecting sunglasses to put in his pocket, then casually picking up a piece of underwear. After seeing what it was, he hurriedly threw it to the ground, then stuffed a thermos into the other side of his backpack, and also put a stack of dollars into his fur pocket.
0:22:17|0:22:31|After doing all this, he threw the pickaxe at his feet and walked forward. [Wu Fuchun] walked up to Natasha, knelt down slowly, frowned, and finally reached out his hand. He took off Natasha's knitted hat.
0:22:31|0:22:44|Ruyi didn't say anything when she saw this scene, she just lowered her head sadly. [Wu Fuchun] put the hat on his own head and started shoveling snow onto Natasha. Soon, a grave made of snow was built.
0:22:47|0:23:6|Ruyi still sat in place, lowering her head in confusion. Soon, the two of them set off again, with [Wu Fuchun] carrying the injured Ruyi towards the small wooden house, their last hope. They walked on the plain at times, and climbed up the hill at other times. The snow in Antarctica was deep enough to reach their calves, making each step [Wu Fuchun] took very difficult.
0:23:15|0:23:23|Ruyi's leg injury kept rubbing against the rock, while [Wu Fuchun] carried her on his back, climbing up the rocks with great effort.
0:23:24|0:23:33|[Wu Fuchun] took a deep breath, then dragged [Jing Ruyi] up. Exhausted, [Wu Fuchun] collapsed at the top of the slope, with [Jing Ruyi] falling to the side.
0:23:45|0:24:2|Facing the paralyzed [Jing Ruyi], [Wu Fuchun] without hesitation lifted her onto his shoulders. He staggered forward for two steps, then his knees gave out, and they both tumbled down the long snowy slope with no cover around, rolling for quite a while before coming to a stop.
0:24:2|0:24:10|[Wu Fuchun], stabilizing himself, immediately crawled towards [Jing Ruyi] in front, while [Jing Ruyi], under the dual torment of physical pain and mental anguish, eventually passed out.
0:24:12|0:24:22|After an unknown period of time, [Jing Ruyi] finally opened her eyes, only to see the dim wooden furniture in front of her. She saw [Wu Fuchun] leaning on the wooden table beside her.
0:24:25|0:24:37|Upon hearing the knocking, [Wu Fuchun] opened his eyes to find that [Jing Ruyi] had already woken up. [Wu Fuchun] hurried to the bedside of [Jing Ruyi], who was struggling to prop up half of her body with tears in her eyes.
0:25:2|0:25:14|[Jing Ruyi] looked at [Wu Fuchun] with tears in her eyes, calmly. [Wu Fuchun] stood with his hands crossed in front of his chest, not saying a word. In the end, he accepted the heavy responsibility and steadied [Jing Ruyi]'s foot with one hand.
0:25:14|0:25:21|Wu Fuchun carefully pulled down the zipper on her shorts, but every move brought pain to Jing Ruyi.
0:25:22|0:25:37|Suddenly, [Jing Ruyi] grabbed [Wu Fuchun]'s arm. [Wu Fuchun] remained silent for a moment, nodded, and then turned to walk outside to wait.
0:25:38|0:25:56|[Wu Fuchun] stopped in his tracks, turned around in surprise, only to see [Jing Ruyi] with tears streaming down her face. At this moment, [Jing Ruyi] had trampled on her own pride, unable to lift her saddened head. [Wu Fuchun] pursed his lips, showing sympathy tinged with a hint of heartache. He turned back and sat down next to [Jing Ruyi].
0:25:56|0:26:7|As Wu Fuchun reached out his hand, Jing Ruyi quickly grabbed the blanket beside him and covered his lower body. He felt embarrassed, sniffled, and tremblingly reached his hand into the blanket.
0:26:7|0:26:14|Unbuckling his belt, [Wu Fuchun] pursed his lips and looked expressionlessly to the side, preserving [Jing Ruyi]'s last trace of dignity.
0:26:15|0:26:24|Shortly after, [Jing Ruyi] tearfully untied the belt around her waist, pulled down her pants from her hips, but once the pants reached her thighs, she couldn't exert any more force.
0:26:24|0:26:42|[Wu Fuchun] awkwardly reached into the blanket, pulled down slowly at the waist of the pants, and as [Wu Fuchun] moved, [Jing Ruyi] tightly gripped the blanket with both hands. Tears of pain streamed down, and on the middle of the left calf, a large bruise swelled dark purple, a shocking sight.
0:26:43|0:27:0|[Jing Ruyi] gritted her teeth and nodded, while [Wu Fuchun] pressed on her knee with one hand and gripped her leg with the other, slowly twisting to the left. Glancing at [Jing Ruyi], [Wu Fuchun] did not dare to pause, the immense pain causing [Jing Ruyi] to collapse and faint.
0:27:4|0:27:25|Fuchun was at a loss for a moment, standing by the bed not knowing what to do. Outside, the cold wind was still blowing fiercely, and snowflakes were constantly blowing into the wooden house through the cracks in the ice wall. Exhausted, Fuchun lay on the upper bunk, pursing his lips unwilling to wake up. Frowning and squinting, he turned over in confusion and looked towards Jing Ruyi on the lower bunk.
0:27:25|0:27:40|[Jing Ruyi] was seen, with a helpless look on her face, frowning in silence under a blanket. Fuchun waited by the bed for a while without any response, impatiently lay back down. [Jing Ruyi] knocked on the floorboards again.
0:27:49|0:28:10|After saying these words, she dared not look at Fuchun again. Then Fuchun sawed a big hole in the bed board, while [Jing Ruyi] curled up in the corner of the lower bunk. Her head weakly leaned against the edge of the bed, already feeling lifeless. Soon Fuchun chiseled a big hole in the bed board, then placed a copper basin under the hole before getting up and walking away.
0:28:11|0:28:28|After everything was done, Wu Fuchun walked to the door without looking back. Jing Ruyi remained motionless, only the shadow of her profile silently expressing the torment in her heart. Outside the door, the snowstorm continued, Wu Fuchun opened the wooden door and walked out wearing only a down jacket.
0:28:28|0:28:47|Shortly after, [Wu Fuchun] staggered down the steps in the wind and snow, shivering with his arms crossed. He looked around for his target, and suddenly his eyes were drawn to a yellow oil tank. He bent over and pondered for a while, then squatted in front of the oil tank, carefully wiping the scale in front of him.
0:28:47|0:28:54|Upon realizing what it was, [Wu Fuchun] immediately rushed towards the cabinet in the corner where a generator was placed.
0:28:54|0:29:5|[Wu Fuchun] opened the cabinet door and pressed the red button on the left, then he searched around the generator for something. Upon seeing the pull cord on the right, [Wu Fuchun] grabbed it without hesitation and started pulling with all his strength.
0:29:8|0:29:20|At this moment, [Jing Ruyi] sat on the bed, dealing with her need to relieve herself with shame and despair. Suddenly, the chandelier above the table emitted a dim yellow light, and the electric heater in the center of the room also lit up.
0:29:20|0:29:32|[Jing Ruyi] couldn't help but look up, staring fixedly at the glowing electric heater in front of her. Outside, it was still a world of ice and snow, a place of despair, while this room was like a faint flicker of flame.
0:29:47|0:29:59|[Wu Fuchun] flipped through the items on the shelf and reported them to [Jing Ruyi], while [Jing Ruyi] carefully recorded the information of these items in her notebook.
0:30:23|0:30:30|[Jing Ruyi] frowned, looked at the can thrown on the bed, and picked it up to examine it carefully.
0:31:44|0:31:53|[Wu Fuchun] couldn't calm the anger in his heart. He stood up and walked to the window, with one hand on his waist, looking outside with an unprecedented determination in his eyes.
0:31:55|0:32:16|[Jing Ruyi] took out a marker pen and started writing down all the known information on a poster hanging on the wall. She first listed the numbers 1 to 75 and drew simple coordinate axes. [Jing Ruyi] stared at the information on the poster and crossed out the numbers 1 to 3 with a red pen.
0:32:31|0:32:46|The diesel generator was working steadily. This was a crucial equipment for the two to survive. Gradually, there was a hint of warmth in the room. The electric heater was also moved closer to the bed, and [Wu Fuchun] was sleeping unattractively on the upper bunk.
0:32:48|0:32:59|While [Jing Ruyi] on the lower bunk kept her eyes wide open, [Wu Fuchun] soon put on [Jing Ruyi]'s ski suit and started preparing for departure. He poured the clear porridge into an aluminum lunch box and a thermos cup respectively.
0:32:59|0:33:11|[Jing Ruyi] was still sitting on the lower bunk, earnestly drawing on a poster. [Wu Fuchun] picked up the pot of porridge, tilted his head back and drank every drop of the clear porridge. Then he carefully looked at the lunch box and thermos.
0:33:11|0:33:24|He glanced at [Jing Ruyi] again, and when he confirmed that [Jing Ruyi] was not looking in this direction, he quietly poured some clear porridge from the lunch box into the thermos. [Jing Ruyi] did not notice [Wu Fuchun]'s little move.
0:33:24|0:33:29|Wu Fuchun handed the lunch box to Jing Ruyi while still looking at the poster attentively.
0:33:30|0:33:38|[Wu Fuchun] immediately started to search through each pocket, and sure enough, he pulled out a few candies from the left pocket and handed them to [Jing Ruyi].
0:33:46|0:33:50|[Wu Fuchun] put the candy back into his pocket, then took down his fur coat from the upper bunk.
0:33:56|0:34:3|[Wu Fuchun] stuffed the thermos with porridge into the side pocket of the backpack, and then put on a knitted hat on his head.
0:35:36|0:35:58|[Jing Ruyi] pointed in the opposite direction of [Wu Fuchun]'s line of sight. [Jing Ruyi] sat on the lower bunk without saying a word, but still lifted her head to see him off. [Wu Fuchun] pushed open the door and walked out, but became confused by the scene in front of him, so he helplessly walked in a circle.
0:36:0|0:36:12|[Wu Fuchun] stood at the door muttering to himself, shouted towards the wooden house, then turned around helplessly. He looked around and finally tentatively chose a direction, gritted his teeth and walked forward.
0:36:46|0:36:57|On the vast snowy plain for nearly 10 hours, the tiny figure of [Wu Fuchun] moved slowly like a small black dot. Inside the cabin, [Jing Ruyi] remained seated on the lower bunk, carefully circling the number 4 in red.
0:37:30|0:37:41|Every day's journey consumes a huge amount of energy for [Wu Fuchun]. Usually, after returning, he falls into a deep sleep, and in the blink of an eye, the numbers 5 and 6 on the poster are also crossed out.
0:37:41|0:37:58|Day after day, [Wu Fuchun] remained away for a long time, while the two of them searched for their last hope. Occasionally, he would come across some interesting little things. A seal could be seen looking puzzled, tilting its head.
0:37:59|0:38:12|The little seal glanced at [Wu Fuchun], then lazily lay down on the ground. [Wu Fuchun] helplessly waved his hand and continued to walk forward, soon arriving at a glacier.
0:38:12|0:38:32|In this scene, not only is there a vast expanse of sea, but also adorable penguins standing in groups of three or four. [Wu Fuchun] is crawling on the ground, taking out his phone to take a close-up photo with himself and the penguins. Then he joins their group, spreading his arms and kneeling on the ground, imitating the penguins as he waddles forward.
0:38:32|0:38:46|At this moment he seemed to forget the predicament he was in, standing at the top of a slope and throwing his backpack directly down. At the same time, he opened his arms and lay on the ground, sliding down the snowy slope, enjoying himself immensely.
0:38:46|0:38:57|Perhaps this was the happiest day for him since he set foot on Antarctica. After sliding to the bottom of the slope, [Wu Fuchun] lay in the snow, reluctant to leave, enjoying this rare moment of tranquility.
0:39:3|0:39:9|Bearded [Wu Fuchun] squats on the ground wearing sunglasses, staring at the seagulls in front of him.
0:39:19|0:39:37|Suddenly, a loud noise from afar startled the seabirds and they flew away. Wu Fuchun raised his head alertly and saw a large glacier suddenly cracking. It was heading straight towards the ice where he was standing. Wu Fuchun quickly stood up, grabbed his backpack, and ran forward. The rolling ice blocks soon caught up behind Wu Fuchun.
0:39:37|0:39:45|Poor [Wu Fuchun] was running for his life while trying to pull up his pants in a hurry. He couldn't help but glance back, so scared that he couldn't even hold onto his cigar in his mouth.
0:39:45|0:40:2|The avalanche behind him was roaring, he grabbed his belt with one hand and his backpack with the other. Just as he ran to a huge rock, he was swept down by the avalanche along with his backpack. He could only cower behind the rock, trembling, praying to safely survive this disaster.
0:40:23|0:40:40|Ten days passed quickly. [Wu Fuchun] walked towards the window while chewing on canned food. The scene outside the window made his face turn serious - the sky was filled with fierce winds and heavy snow, with extremely low visibility.
0:40:52|0:40:58|[Wu Fuchun] reluctantly sealed the can and frowned at [Jing Ruyi].
0:41:0|0:41:12|[Wu Fuchun] sat in front of the wooden table, staring at the drawings and writings on the poster of [Jing Ruyi]. [Jing Ruyi] turned around and looked quietly at [Wu Fuchun], with a hint of grievance and sadness in her eyes. [Wu Fuchun] dared not face such a gaze.
0:41:20|0:41:33|[Wu Fuchun] took three or four steps and knelt by the lower bunk, taking the pen from [Jing Ruyi]'s hand and reaching over her body. He drew an arrow pointing towards the east of the seal, while [Jing Ruyi] watched his movements intently.
0:41:50|0:41:59|[Jing Ruyi] lifted the blanket and stared at her crooked left leg in silence for a long time, while the number on the poster had already reached fifteen.
0:41:59|0:42:16|On that day, [Wu Fuchun] went to search for the supply station as usual. He climbed up the last hill in the direction he had locked onto before, only to see the vast sea and endless glaciers in front of him. Looking down, he saw a desolate and uninhabited area with not a single soul in sight.
0:42:16|0:42:25|He took out a thermos cup from his backpack, carefully poured some porridge onto the lid, tilted his head back and poured it into his mouth. This was his two days' ration.
0:42:25|0:42:37|After filling his stomach with a simple meal, [Wu Fuchun] took out a notebook and a pen. His fingers were already frozen in the cold weather as he carefully drew the detailed location where he was currently at in the notebook.
0:42:37|0:42:46|After finishing the recording, [Wu Fuchun] wiped his nose, subconsciously looked around, and below the mountain hollow, he saw a human skeleton.
0:43:12|0:43:19|[Jing Ruyi] took a sip with a skeptical look.
0:43:32|0:43:45|The smell of the thief's soup was too strong, forcing [Wu Fuchun] to vomit all the bones and soup. It has been 17 days so far.
0:43:59|0:44:8|He walked up to [Jing Ruyi] and gently grabbed her calf, placing it softly on the bed.
0:44:26|0:44:34|[Wu Fuchun] sneered at [Jing Ruyi], covered her with a blanket, and another day passed. [Jing Ruyi] drew a red circle on 18.
0:46:7|0:46:37|[Wu Fuchun] set off again, this time throwing his backpack to the side, sticking his butt up and lying on the ice. He then took out a fishing rod, attached a piece of bait, carefully extended the rod, and cast it into the ice hole. As time passed, [Wu Fuchun] changed his posture from sitting to lying down, resting his head on the backpack, looking helplessly at the sky, tightly holding the fishing rod in his hand. Suddenly, the fishing rod moved, and the pulling sensation became more and more obvious.
0:46:37|0:46:49|[Wu Fuchun] knelt on the ground, desperately pulling out a fish of about two or three decimeters from the ice hole in Weixian County. [Wu Fuchun] ecstatically pounced on it, holding the fish and constantly examining it.
0:46:51|0:47:9|[Wu Fuchun] caught a slippery sea fish, the smile on his face couldn't be hidden, and soon he returned with a full load. Suddenly, a loud noise sounded around him, and quickly his smile froze on his face. Suddenly, a two-meter-wide crack opened up beneath his feet, and he fell down without any warning.
0:47:9|0:47:29|[Wu Fuchun] kept sinking, he clumsily crashed into the rocks and finally fell heavily onto a platform. [Wu Fuchun] lay on his side on the snow, completely unconscious, as the snow slowly slid down his temple. On the other side of the platform was a bottomless abyss, just like what he was facing now, with no end in sight.
0:47:29|0:47:46|After an unknown period of time, [Wu Fuchun] finally regained some consciousness. His eyelids trembled slightly, then suddenly shook violently as if in a nightmare. [Wu Fuchun] finally woke up. He struggled to stand up, and the snow on his body shook off with his movements.
0:47:46|0:48:7|It is obvious that he has been unconscious for a long time. He was sitting on the ground, scared by the deep cliff in front of him. After a while, he realized that the platform he was on was at least a dozen meters away from the ground where he fell. But [Wu Fuchun] did not give up completely. He gritted his teeth, stood up, and looked around for a way out.
0:48:7|0:48:17|The platform was not large, and [Wu Fuchun] easily found the only passage. However, his previous injury had not healed, so he could only limp in while hugging his body.
0:48:17|0:48:47|In the crevice, every step is unknown. The passage he is in can only accommodate one person, and beyond the passage is a wide platform. Without stopping, [Wu Fuchun] continues to move forward to the next passage. [Wu Fuchun] crawls through using both hands and feet. He is shocked by the scene before him. The area he is in is hollow, with an extension of a platform of only 10 square meters at the mouth of the cave, resembling the cold and eerie Pan Si Cave from Journey to the West.
