0:3:38|0:3:47|Fireworks and cannons were booming on the bustling street, while inside this hotel,
0:10:8|0:10:31|In front of the City God Temple, there are people sharpening scissors and various small vendors, with people coming and going on the street. At this moment, the Japanese soldiers on a running training march pass by. Inside a car on the roadside, [Wang Tianxiang] is smoking and staring into the distance. Meanwhile, an old man with a hat and a limp, carrying a bag and smoking a cigarette, walks among the crowd.
0:10:31|0:10:59|His limping figure quickly caught the attention of the disguised spy. At the corner, the spy disguised as a foreign carter also recognized the limping man. Meanwhile, the old man continued walking towards the notice board unknowingly. The carter hurriedly turned back and ran to the front of the car. The chief heard a moment of silence, then pondered for a while, and took a puff of his cigarette.
0:11:0|0:11:5|The foreign coachman turned and ran away. On the street, Grandpa Xue continued to stagger towards the bulletin board.
0:11:6|0:11:11|The spy behind was about to catch someone red-handed, when the foreign coachman rushed over to stop him.
0:11:13|0:11:31|Disguised spies pass messages to each other. Mr. Xue is completely unaware, still pasting glue on the bulletin board. His expression is dull, his actions natural, and no one can tell he is on a mission. After finishing, he carries the bucket into the crowd.
0:11:52|0:12:8|Wu Tian drew some circles on the map. After speaking, he stretched lazily. A confidential intelligence report was transmitted through the office telegraph machine in the form of radio electromagnetic waves, passing through complex equipment and being output at the terminal.
0:12:8|0:12:33|Recent terrorist activities have been rampant, and it seems that our intelligence channels have been infiltrated. Imperial Vice Admiral Kakeo Yoshio invites Commander Zhang and relevant personnel of the Anti-Bandit Command to discuss the intelligence operation process at Baicaotang in the western suburbs on the evening of October 31 at 9:00. The full content of the secret telegram has been sent to the Wang Wei East China Anti-Bandit Command.
0:12:33|0:12:51|This secret telegram is a trap set by Colonel [Wu Tian]. Its purpose is to use the informer to lure out the old ghosts and old guns lurking in the dark. On this day, inside the East China Pacification Bureau of the Wang Puppet Government, in the telegraph room, a group of cipher clerks worked in an orderly manner.
0:12:52|0:13:8|Some are tapping on the telegraph machine to send messages, some are consulting the codebook to translate telegrams, while at the front, [Gu Xiaomeng] is making a phone call and taking notes on the documents. Afterwards, she hangs up the phone, puts the written content into a folder, and walks quickly into the inner office.
0:13:9|0:13:23|She handed the folder to the leader of the translation team [Li Ningyu]. [Li Ningyu] opened the folder, took out the manuscript inside and flipped through it, then closed the folder, copied the manuscript onto another piece of paper.
0:13:24|0:13:40|Receiving and Dispatching Officer [Gu Xiaomeng] walked into the director's office holding a folder. Coincidentally, the captain of the Counter-Espionage Team, [Wu Zhiguo], was also in the room. The director answered the phone with one hand and took the folder with the other. [Wu Zhiguo] took out a lighter, lit a cigarette, and approached.
0:13:41|0:13:56|He took a deep drag on his cigarette and walked over to the director. The director impatiently hung up the phone and then closed the folder before leaving the office. This man is Jin Shenghuo, the director of the military intelligence department. He walked quickly towards the commander's office with the folder in hand.
0:14:0|0:14:8|Upon entering, he saw only Colonel [Bai Xiaonian] leaning on the sofa. When [Bai Xiaonian] saw the director, he stood up to take the documents.
0:14:10|0:14:16|[Bai Xiaonian] snorted, snatched the folder, flipped through it, and pushed open the door to walk into the commander's inner room.
0:14:19|0:14:41|Pushing the door open, [Bai Xiaonian] holding a file, quickly walked to the commander's desk and put it in the drawer. Two days later at the City God Temple, in the evening, pedestrians were bustling. Old Xue carried a bucket of paste to the bulletin board, where he leisurely posted a lottery notice. After finishing these tasks, he carried the bucket and left.
0:14:41|0:14:49|And the information conveyed by this lottery announcement is: On October 31st, gather at Baicaotang and launch a surprise attack.
0:14:54|0:15:13|In the nightclub filled with revelry at night, handsome men and beautiful women sway on the dance floor. Among them, there are young elites from the military and business world coming to drink and have fun. [Gu Xiaomeng] is dancing with a young white man. Meanwhile, [Li Ningyu] is leaning on the bar smoking a cigarette, with a half-empty glass of liquor in front of her.
0:15:13|0:15:28|The beautiful [Li Ningyu] looks worried, as if she has something on her mind. She stares at the ashtray, smoking a cigarette. In the dance floor, [Gu Xiaomeng] is having a great time, performing difficult dance moves with the help of her partner. The bartender answers the phone at the bar.
0:15:31|0:15:41|[Li Ningyu] stared at the bartender, as if expecting something. [Gu Xiaomeng] made her way through the crowded people towards the bar. [Li Ningyu] noticed the return of [Gu Xiaomeng] and finished the glass of whiskey in her hand.
0:15:41|0:15:52|[Gu Xiaomeng] answers the phone. After hanging up, [Gu Xiaomeng] grabs a bottle of liquor and leans in to greet [Li Ningyu].
0:15:55|0:16:16|[Li Ningyu] stood up and extinguished the cigarette in her hand. [Gu Xiaomeng] picked up the cup and gulped down the liquor, leaving a tip. The two put on their coats and left gracefully. Late at night, a car was driving on a mountain road, with [Bai Xiaonian], [Gu Xiaomeng], [Li Ningyu], [Wu Zhiguo], and [Jin Shenghuo] inside.
0:16:16|0:16:29|After drinking too much, [Gu Xiaomeng] couldn't bear the bumpiness and leaned against the window, vomiting. The unpleasant smell spread in the car. Everyone took out handkerchiefs, covering their noses or fanning gently.
0:16:31|0:16:36|A car arrived at a gate, and the soldiers stationed on both sides quickly moved the roadblocks aside.
0:16:37|0:16:58|After the car smoothly passed through, it stopped by the side of a small road not long after. The winding and narrow road was only wide enough for one person to pass through. On both sides of the road stood two bunkers, with huge searchlights shining brightly. The guard opened the car door. [Wu Zhiguo] stepped out first, followed by the director [Jin Shenghuo],
0:16:58|0:17:4|Translation team leader [Li Ningyu] and communications officer [Gu Xiaomeng]. The rugged mountain path at night,
0:17:5|0:17:22|[Gu Xiaomeng] and [Li Ningyu] supported each other as they moved forward. The group arrived at a steel bridge, surrounded by a sinister atmosphere. Unable to hold back, [Gu Xiaomeng] muttered under her breath.
0:17:24|0:17:40|As the chief of staff [Bai Xiaonian] clears up the confusion for everyone. They arrive at the bridge. [Wu Zhiguo] sees the Japanese warning sign on the side.
0:17:43|0:17:49|Everyone followed [Bai Xiaonian]'s gaze.
0:18:8|0:18:24|[Bai Xiaonian] seductively pushed aside [Gu Xiaomeng] and walked towards the room. With him leading the way, everyone followed suit. In the end, only [Li Ningyu] walked with her good friend [Gu Xiaomeng]. As the two passed by the head of the secret service [Wang Tianxiang], [Gu Xiaomeng] took the opportunity to provocatively glance at him.
0:18:24|0:18:43|Before long, everyone walked into the mansion one after another. With the loud slam of the door, it signaled the beginning of this special meeting. Following the stairs, the guards pointed out each person's room.
0:18:54|0:18:58|[Li Ningyu] dragged [Gu Xiaomeng] towards the room.
0:18:59|0:19:8|Pushing open the door, [Gu Xiaomeng] didn't have time to inspect the exquisite furniture, and quickly walked towards the bathroom. She turned on the light, pushed open the door, and headed straight for the toilet.
0:19:9|0:19:34|In the living room, [Li Ningyu] looked around, pondering something. The sound of flushing came from the bathroom. Several secret agents in the downstairs hall retreated to the steel bridge, accidentally making a noise. Half an hour had passed unnoticed. [Li Ningyu] supported [Gu Xiaomeng] and quickly walked into the meeting room. [Jin Shenghuo] looked at the lottery ticket.
0:19:34|0:19:48|Everyone sat around a long table, each with a lottery ticket with a lame old man's face on it placed in front of them.
0:20:32|0:20:40|[Bai Xiaonian] revealed that the commander did not approve of this matter, and everyone started to joke around.
0:21:17|0:21:21|[Wu Zhiguo] stood up and snatched the newspaper that [Wang Tianxiang] was reading.
0:21:30|0:21:34|In the shadows, [Wu Tian] throws the original document onto the table.
0:21:36|0:21:43|[Wang Tianxiang] stood up first when she saw the familiar notebook. [Wu Tian] walked out from the shadows until the light illuminated his face.
0:22:1|0:22:9|[Wu Tian] scanned everyone with sharp eyes, and [Gu Xiaomeng], who hadn't sobered up yet, almost vomited again.
0:22:10|0:22:24|At the long table, [Wu Tian] sat high at the head, watching the progress of decryption by [Li Ningyu] and [Gu Xiaomeng]. As the leader of the translation team, this task was not difficult for [Li Ningyu]. She flipped through the original document, outlining it.
0:23:0|0:23:9|[Li Ningyu] writes each combination on a piece of paper, constantly trying to piece it together.
0:23:15|0:23:25|Awakening from her drunken stupor, [Gu Xiaomeng] stared at [Li Ningyu] with bleary eyes and asked. [Li Ningyu] rearranged the order.
0:23:26|0:23:42|Wu Tian looked up at Li Ningyu at this moment. On the other side, the three men on the sofa suddenly became attentive as well. The pieces of paper on the table with numbers on them had already been filled with corresponding Chinese characters at some point. When the 14 Chinese characters were arranged into a coherent sentence, it read:
0:23:43|0:24:9|On October 31st, everyone gathered at Baicaotang to ambush the enemy. The tense atmosphere spread instantly. As they approached to find out the result, [Gu Xiaomeng] lit a cigarette. When she looked up again, everyone had surrounded her. [Li Ningyu] took a drag of the cigarette and slowly spoke. As soon as these words were spoken, the expressions of everyone changed.
0:24:9|0:24:22|Wang Tianxiang on the sofa looked over and slowly stood up to walk over. He held up the translated cipher message with two fingers to show everyone.
0:24:38|0:24:45|[Wu Tian] looked confidently at the crowd. Upon hearing this, [Jin Shenghuo] showed an expression of disbelief.
0:24:47|0:24:55|[Bai Xiaonian] stared with his eyes wide open, as if trying to identify the traitor.
0:24:59|0:25:6|This made everyone feel uneasy, and [Jin Shenghuo] quickly threw the untimely biscuit in his hand into the ashtray.
0:25:7|0:25:15|[Wu Tian] did not stay, and then walked away. Everyone kept staring until they couldn't see his figure anymore.
0:25:20|0:25:48|[Gu Xiaomeng] laughed, and [Wang Tianxiang] glared at her. Unable to hold back her laughter, [Gu Xiaomeng] covered her mouth. As the night grew deeper, the mansion on the coastal road exuded a mysterious atmosphere. A telescope was scanning the balconies of the suspects. Walking towards the window, [Wu Zhiguo] seemed to sense that someone was watching.
0:25:48|0:26:4|The owner of the telescope quickly changed the target. This time, the target under surveillance is [Li Ningyu], who is writing at the window. The owner of the telescope is [Wang Tianxiang]. He had just put down the telescope when he locked onto the next target. Faintly through the window,
0:26:4|0:26:12|The figure lying on the bed, already drowsy, is none other than [Jin Shenghuo]. He suddenly hears a noise.
0:26:14|0:26:33|He immediately sat up, reaching for the gun under the pillow and looking outside. [Jin Shenghuo] was still somewhat uneasy, so he put on his clothes and took the gun out. In the silent night, he was wide awake, looking around. The leaked secret information made him feel very uneasy.
0:26:34|0:26:51|Director Wang and [Wu Tian]'s attitude made him particularly worried about whether he could safely leave here. On the other side, [Gu Xiaomeng] lay on the silk bed in clothes, staring blankly at the ceiling. [Li Ningyu] was still sitting by the window, writing under the desk lamp. [Gu Xiaomeng] walked over and patted [Li Ningyu] on the shoulder.
0:27:0|0:27:7|[Gu Xiaomeng] leaned over the table to deliberately amuse [Li Ningyu].
0:27:13|0:27:20|Li Ningyu, who was preparing to pour tea, stopped her movements and turned around to look at Gu Xiaomeng. She put down the teapot and handed her a teacup.
0:27:21|0:27:30|[Gu Xiaomeng] suddenly pointed at [Li Ningyu].
0:27:40|0:28:3|[Li Ningyu] looked in the mirror to check the opening under her armpit. [Gu Xiaomeng] said as she brought out a sewing kit. She squatted down to help [Li Ningyu] untie her qipao. [Li Ningyu] took off the qipao, which [Gu Xiaomeng] took from her hand. Holding the qipao and the sewing kit, she quickly walked over and sat cross-legged on the high-end sofa.
0:28:10|0:28:17|[Li Ningyu] sat down next to [Gu Xiaomeng] with her clothes on. [Gu Xiaomeng] was sewing, carefully observing [Li Ningyu].
0:28:23|0:28:37|[Gu Xiaomeng] blinked her beautiful eyes and looked at [Li Ningyu]. [Li Ningyu] looked back, and [Gu Xiaomeng] had already started to lower her head and work as a female worker. She reached out for those delicate hands that were sewing.
0:28:38|0:28:46|With red eyes, [Li Ningyu] opened her mouth but didn't say anything. She opened her arms and threw herself into [Gu Xiaomeng]'s embrace, and [Gu Xiaomeng] gently held her.
0:28:49|0:29:10|Li Ningyu was worried about her missing boyfriend. Suddenly, a faint opera singing could be heard from outside the window, Gu Xiaomeng looked over. Li Ningyu stood up. She walked towards the balcony. Li Ningyu gently opened the balcony door and stepped out. The one singing opera on the neighboring balcony was Wu Zhiguo.
0:29:45|0:29:52|[Li Ningyu] took out a delicate cigarette case, pulled out a red circle, and walked to the edge of the balcony.
0:29:55|0:30:2|[Wu Zhiguo] caught it with both hands and lit it for himself. The two of them puffed on their cigarettes, blowing out smoke. After a while, [Wu Zhiguo] cleared his throat.
0:30:21|0:30:38|[Wu Zhiguo] looked over and saw [Gu Xiaomeng] had also arrived on the balcony at some point. Even the balcony was bugged.
0:30:58|0:31:16|After speaking, [Gu Xiaomeng] playfully raised her eyebrows at [Wu Zhiguo]. [Wu Zhiguo] tilted his head back and exhaled smoke, as if trying to release his inner worries. [Wang Tianxiang] was keeping watch in the distance when [Wu Tian] approached and took the binoculars.
0:31:20|0:31:32|Li Ningyu in the distance stared blankly downstairs. Wu Tian returned the telescope to Wang Tianxiang, then went back into the house with Wang Tianxiang following.
0:31:33|0:31:48|Wang Tianxiang didn't quite understand. Wu Tian picked up a book and flipped through it.
0:32:0|0:32:21|[Wu Tian] put down the book and walked away. [Wang Tianxiang] was still pondering how to identify these tough opponents. Chinese characters appeared on the woven texture: "I was too careless, fell into a trap, the Japanese invaders must have set a trap at Baicaotang to capture and kill comrades. The message to cancel the operation must be sent out within 5 days, otherwise death is inevitable."
0:32:22|0:32:37|On the small island surrounded by the sea on three sides stand two gloomy buildings. This is where everyone is being held captive this time. Sunlight streams into Bai Xiaonian's room. He sings opera, swaying his body in front of a mirror with precision.
0:32:37|0:33:1|He twisted his orchid fingers in front of the mirror. Suddenly, he stopped and leaned in to tidy up his sideburns. With a focused expression, he used both hands to adjust them, looking like a young lady. [Bai Xiaonian] walked slowly down the stairs, while the others had already started their meal.
0:33:7|0:33:10|Jin Shenghuo, who was eating heartily, suddenly choked upon hearing the words.
0:33:19|0:33:40|In the midst of intrigue and scheming, this breakfast is coming to an end. In the exquisite room, [Gu Xiaomeng] sits at the dressing table, whistling as she applies new nail polish to herself. She admires her beautiful hands in the mirror. Meanwhile, downstairs, the Japanese woman sings for the Japanese army. On the single sofa beside her,
0:34:40|0:34:52|On the other side, the door opened and [Gu Xiaomeng], dressed lightly, holding a piece of paper, swayed towards the guard on duty.
0:35:9|0:35:28|[Gu Xiaomeng] rolled her eyes. She leaned against the guard and slipped the paper into the guard's pocket.
0:35:50|0:35:58|[Gu Xiaomeng] carefully recalled it.
0:36:5|0:36:12|[Gu Xiaomeng] was quite surprised. She raised her eyebrows and looked elsewhere, saying somewhat reluctantly.
0:36:41|0:36:55|After saying that, she raised her beautiful eyes and raised her eyebrows. The sea breeze blew over the island, and a man walked across the iron bridge connecting the two buildings.
0:37:7|0:37:18|The two sat on the sofa, each with an air of mutual respect. [Wu Zhiguo] got up, picked up his coat, and was about to leave.
0:37:25|0:37:49|[Wu Zhiguo] stopped his actions and waited impatiently for [Wang Tianxiang] to continue. [Li Ningyu] walked through the doorway and passed by Captain Wu without any interaction. She glanced over and caught the eye of [Wu Tian] by the choir. Sitting on the sofa, [Li Ningyu] smoked a cigarette and spoke.
0:37:50|0:38:7|After speaking, she took a deep drag on her cigarette. [Wang Tianxiang] looked at her with a hint of surprise. On the other side, [Wu Tian] was holding the letter written by [Gu Xiaomeng], carefully examining it in the sunlight.
0:38:17|0:38:32|[Wu Tian] leaned in, furrowing his brow as he looked at the list. [Wu Tian] stood up, interrupting him mid-sentence.
0:39:0|0:39:8|[Wang Tianxiang] was overjoyed at the news. Inside the hall, the on-duty guard was leaning against the railing, fast asleep.
0:39:9|0:39:27|Several people sat around the dining table, but none of them seemed interested. [Gu Xiaomeng] leaned forward, showing concern for [Li Ningyu]. [Li Ningyu] softened her expression and smiled back. [Jin Shenghuo] slammed the table indignantly.
0:40:0|0:40:6|[Wu Zhiguo] smashed the wine bottle, and everyone immediately quieted down. He slowly stood up, his gaze sweeping over the crowd, and said fiercely.
0:40:8|0:40:21|[Wu Zhiguo] sarcastically taunted [Gu Xiaomeng]. The people present looked at each other. [Gu Xiaomeng] walked quickly around the table.
0:40:29|0:40:32|[Wu Zhiguo] forcefully pulled open his collar, revealing the bullet hole on his chest.
0:40:40|0:40:46|[Gu Xiaomeng] frowned coldly and stood up to speak.
0:40:50|0:40:54|She leaned against the table without giving in.
0:41:24|0:41:32|Wu Zhiguo, a man with a strong sense of masculinity, couldn't hide his anger when he heard the words. He pointed fiercely at Gu Xiaomeng with his index finger, and was about to leave this farce.
0:41:35|0:41:46|Unexpectedly, [Wang Tianxiang] who came from the dark stopped him and said with a smile. [Wu Zhiguo] looked cold and gave [Wang Tianxiang] a sideways glance before turning around and heading straight upstairs.
0:41:50|0:42:0|[Li Ningyu] stood up for [Gu Xiaomeng], then quickly took [Gu Xiaomeng] upstairs to the room. [Jin Shenghuo] wiped off some sweat and picked up the chopsticks.
0:42:4|0:42:25|After speaking, he looked at the expressions of the few people, trying to find flaws. Chinese characters reappeared on the web pattern: it feels like no one can walk out of here. Without extraordinary means, it would be difficult to send out any messages. The next day, [Wang Tianxiang] walked through the hall, turned on the record player, and quickly went upstairs with documents.
0:42:35|0:42:50|Everyone received the documents personally delivered by [Wang Tianxiang]. They all filled in their relevant information.
0:42:51|0:43:5|With either a ballpoint pen or a brush, the characters were written in meticulous regular script. [Gu Xiaomeng] turned her head to look at her friend [Li Ningyu], who was writing earnestly. [Gu Xiaomeng] and [Wu Zhiguo] on the other side faintly sensed that something was amiss.
0:43:6|0:43:26|On the outdoor terrace, [Wang Tianxiang] was blowing the sea breeze, lost in thought. Meanwhile, inside the room, [Wu Tian] was carefully examining the documents. He threw the documents to his two subordinates, who compared the handwriting on the lottery advertisement brought back that day one by one. They spared no effort in using a vernier caliper to measure the length of the strokes and a magnifying glass to observe the pen strokes.
0:43:26|0:43:35|Accurate measurements, precise comparisons, repeated tests. After who knows how long, finally a clue was found in the handwriting.
0:43:36|0:43:53|On the other side, [Gu Xiaomeng] lit a cigarette, swaying her waist as she danced gracefully in the room. The old record player filled the room with a tranquil atmosphere, while [Li Ningyu] on the long sofa was covered with a blanket, still immersed in dreams. With a graceful figure and full of beauty, [Gu Xiaomeng] leaned back in the chair, smoking.
0:43:53|0:44:12|Quietly looking at [Li Ningyu], she seemed to be thinking when these leisurely days became precious. Unexpectedly, the power suddenly went out, and the room was pitch black. Then, the lights in two buildings also went out one after another. In the darkness, [Gu Xiaomeng] flicked the cigarette ash lightly. The footsteps outside woke up [Li Ningyu].
0:44:20|0:44:30|[Gu Xiaomeng] shook her head slightly, feeling puzzled. [Li Ningyu] got up and walked towards the door. The sudden power outage gave her a sense of foreboding. She pressed her ear against the door, listening carefully.
0:44:33|0:44:50|The commotion sounds like [Bai Xiaonian] has encountered an accident. [Li Ningyu] quickly ran to the balcony to look out. On the iron bridge connecting the two paths, two secret agents were holding flashlights and escorting [Bai Xiaonian] away. Inside the house, [Gu Xiaomeng] also approached and peered out the window. [Li Ningyu] looked anxious and did not speak.
0:44:52|0:45:6|In the dungeon, two people are dragging [Bai Xiaonian] from the front, while the secret agent behind him covers his mouth and holds a kerosene lamp. Several people together push [Bai Xiaonian] into the elevator, and the elevator door is tightly closed. [Bai Xiaonian] struggles in vain as the elevator slowly descends.
0:45:6|0:45:21|[Bai Xiaonian] was brought to the edge of a large pool in a bathhouse. The secret agents threw a wooden board on the ground, and then two henchmen brought over a tiger stool, trapping [Bai Xiaonian] in the chair. Across from him sat [Wu Tian], casually playing with a cigarette in his hand.
0:45:26|0:45:34|Trapped, [Bai Xiaonian] stared in terror at two documents.
0:45:42|0:46:0|[Wang Tianxiang] sneered and stepped back, signaling to his men to begin. Two agents untied [Bai Xiaonian]'s hands and feet. He was extremely terrified. Another agent walked up, grabbed [Bai Xiaonian]'s hair, and dragged him step by step into another room, then ruthlessly threw him on the ground. The door of the room slammed shut.
0:46:1|0:46:24|[Bai Xiaonian] looked up at [Director Wang], who seemed like a demon from the abyss, with extreme terror. The two secret agents immediately complied. He screamed in despair. In the corner, a secret agent was sharpening an iron spike bench, with one particularly sharp and thick in the middle. [Wang Tianxiang] looked at the dignified officer in this manner and laughed from the bottom of her heart.
0:46:25|0:46:40|Outside the execution room, [Wu Tian] stood up and left after hearing the heart-wrenching screams. He even thought about how to calm Commander Zhang's anger if [Bai Xiaonian] was not the mole. In fact, Commander Zhang, who was on a business trip in Nanjing, had just received the news and rushed to Qiuzhuang.
0:46:41|0:46:48|The commander's car has just arrived, and [Wang Tianxiang] leads the team to greet. His attendants stopped the commander's bodyguards, only [Wang Tianxiang] entered the house.
0:46:49|0:47:4|[Wu Tian] and the commander sat upright. [Wang Tianxiang] approached, the commander glared fiercely and kicked [Wang Tianxiang] down. [Wang Tianxiang] immediately got up and stood straight, while [Wu Tian] beside couldn't help but burst into laughter.
0:47:8|0:47:15|Commander looked at [Wang Tianxiang] and then at [Wu Tian] with confusion. As Commander Zhang was about to question them, [Wu Tian] brought up Rear Admiral Kusunoki.
0:47:19|0:47:35|The commander didn't react angrily either. After Wu Tian finished speaking, he looked at [Wang Tianxiang].
0:47:36|0:47:43|Under Wu Tian's urging, Wang Tianxiang turned and left. Before long, the commander sat in front of the lamp, carefully comparing the two sets of handwriting.
0:47:52|0:48:17|The commander's tiger eyes stared at [Wu Tian], who smiled confidently. The commander leaned on his crutch and walked step by step towards the interrogation room. He had to find out from [Bai Xiaonian]. Climbing out of the pool, [Bai Xiaonian],
0:48:25|0:48:50|The commander swung his whip, leaving a cut on [Bai Xiaonian]'s face. [Bai Xiaonian], who had been waiting for a savior, was now completely broken inside. He sobbed as he crawled to the water pool, defiantly looking up at the commander. The building, plunged into darkness due to a power outage, was now lit by a figure carrying a lamp walking up the stairs.
0:48:50|0:49:8|To everyone, this was destined to be a sleepless night. In the darkness, [Wu Zhiguo] was quietly smoking. [Gu Xiaomeng] and [Li Ningyu] were huddled together on a sofa. A figure stood still at the door. In the room next door, [Jin Shenghuo] sat on the sofa, raising a pistol nervously watching the doorway.
0:49:8|0:49:18|Outside the door, the spy with the key then arrived at another door. Inside the room were Gu Xiaomeng and Li Ningyu.
0:49:20|0:49:27|The knocking on the door struck the heart, [Li Ningyu] stopped [Gu Xiaomeng] and went to open the door herself. The flashlight shone directly on her face.
0:49:32|0:49:48|In the dark night, [Li Ningyu] walked towards the car alone, wrapped in clothes. Upstairs, [Gu Xiaomeng] looked nervously, she didn't expect that misfortune would come so quickly to her side. In another building, a woman in a kimono led the way ahead.
0:49:48|0:49:58|[Li Ningyu] followed him through the hall, passing by the choir, and arrived at a door with a painting hanging on it. The woman in kimono opened the door skillfully and walked in first.
0:50:0|0:50:6|The moonlight spilled down, imprinting [Li Ningyu]'s exquisite profile on the hanging scroll. After a moment of hesitation, she followed and entered the door.
0:50:7|0:50:15|The woman in kimono carried the lamp prepared at the door and walked deeper into the darkness. In the pitch-black alley, [Li Ningyu] could only follow the only source of light.
0:50:16|0:50:27|Approaching the corner, the woman in kimono was very polite, making a gesture of invitation. I saw Li Ningyu walking in front, with her behind, holding the lamp high, until the two entered the elevator.
0:50:29|0:50:44|Before long, the elevator doors opened and the two of them walked out slowly. She walked forward along the damp corridor in high heels. The environment here was hard to describe in words. It was more like a hole dug out by a giant rat, gloomy, dark, and damp.
0:50:48|0:50:54|The woman in kimono stopped and asked [Li Ningyu] to wait here while she signaled the guard to open the door. The wooden sign next to them was painted with,
0:50:55|0:51:3|No trespassing. This time the kimono woman did not lead the way. As [Li Ningyu] stepped into the door, the heavy iron gate was already locked.
0:51:4|0:51:12|[Li Ningyu] glanced around the room and saw [Wu Tian] sitting in the middle of the chair in a kimono. [Wu Tian] closed the book in his arms and looked at her with a smile.
0:51:13|0:51:28|And at this moment in the hall, [Wang Tianxiang] grabbed the kerosene lamp and headed straight upstairs.
0:51:59|0:52:2|[Wang Tianxiang] quickly picked up the kerosene lamp and hurried away.
0:52:5|0:52:14|In the interrogation room, [Wu Tian] looked at the well-proportioned figure under [Li Ningyu]'s cheongsam. [Li Ningyu] nodded under the light.
0:52:16|0:52:35|She watched Wu Tian vigilantly. After learning about the whereabouts of her long-lost boyfriend, Li Ningyu couldn't help but ask. Wu Tian walked towards Li Ningyu, who stared at him with a look of disgust and dissatisfaction. She was unsure of what this man was up to.
0:52:35|0:52:47|At that time, [Wang Tianxiang] carried a lamp and personally went to the other side of the building to investigate the situation of [Gu Xiaomeng]. The soldier saluted.
0:52:57|0:53:9|The soldier walked towards the door, [Wang Tianxiang] casually placed the lamp on the table and hid in the dark to observe. Just as the soldier raised his hand, the door was opened, and out came the disheveled [Wu Zhiguo].
0:53:10|0:53:18|[Wu Zhiguo] frowned and waved his hand.
0:53:19|0:53:36|After saying that, [Wu Zhiguo] ignored the soldiers and walked towards his room. On the desk in the interrogation room, there was a book on human anatomy. Wu Tian picked up the lottery advertisement on the table and looked at [Li Ningyu]. Finally, he tore it off.
