0:1:49|0:1:54|[Zhu Guangsheng] looked at the grilled meat in his hand, then he placed the skewer on the plate.
0:6:39|0:6:49|The injured wolf cub caught by the hunter was thrown towards the tree trunk and fell to the ground, and he pulled out another wolf cub from the hole. At this moment, a hunting gun was aimed at the two of them, and [Zhang Biao] holding the gun said,
0:7:20|0:7:29|The irritable [Director Liu] became cautious instantly after hearing [Zhu Guangsheng]'s words. Subsequently, [Director Liu] quickly gathered the police officers to head to the Wild Wolf Valley. Due to his exceptional familiarity with the terrain,
0:7:35|0:7:53|The four fleeing individuals ran in different directions, as the arriving police officers got out of the car and raised their guns to chase after them. [Zhu Guangsheng], who got out of the car later, called his beloved dog to join the pursuit. The thick snow on the ground hindered the police's chase, but the fearless officers followed the footprints left by the hunters and pressed on.
0:7:55|0:8:8|At this moment, [Zhu Guangsheng]'s beloved dog Mengzi came to the rescue. Brave and fierce, it swiftly pounced towards [Zhang Biao], biting onto his arm. No matter how hard [Zhang Biao] tried to shake it off, he couldn't escape its grip. Director Liu then forcefully removed [Zhang Biao]'s mask.
0:8:13|0:8:33|The police pushed the handcuffed [Zhang Biao], who suddenly looked up at [Zhu Guangsheng] standing beside him with resentment in his eyes. The simple [Zhu Guangsheng] frowned and stared back at him. Then, the Director Liu behind them pushed and urged him to move on quickly. But after taking a few steps, he turned back and warned [Zhu Guangsheng] with his eyes. At that moment, the honest [Zhu Guangsheng] finally realized and started to worry.
0:8:33|0:8:45|The dim sky was filled with large snowflakes falling gently, as if hiding the massacre within the white snow. The snow wolf that had narrowly escaped quietly kept all of this in its heart.
0:8:45|0:9:4|The next day, the sun shone down on the earth. In the forest ranger station of Sarda Ban Canyon, sheep were gathered in piles, standing on the mountainside that had not yet melted, bleating. Accompanied by the barking of the dogs locked in the dog pen. Then, [Zhou Lao] carried a shoulder pole and walked towards the dog pen, while [Mengzi] excitedly ran ahead.
0:9:6|0:9:15|Patiently, [Zhu Guangsheng] opened the cage one by one to feed the wolves, and the wolves, attracted by the food, immediately stopped barking. Then [Zhu Guangsheng] took [Mengzi] to the training ground.
0:9:18|0:9:23|Mengzi leaped up, swiftly passed through the obstacle equipment, and the car on the mountain road broadcasted a sound.
0:9:35|0:9:57|[Zhu Guangsheng] was driving and talking on the phone. Trying hard to see the road ahead, he firmly replied. With only his car on the mountain road at this moment, he quickly hit the brakes, turned the car around, and urgently headed home. He drove with hazard lights flashing all the way, speeding through the pitch-black road. Before long, he appeared at the dog kennel, holding a flashlight and walking towards the innermost part.
0:9:57|0:10:3|In sight are a mother dog and several puppies lying in a doghouse.
0:10:9|0:10:21|After expressing his love for dogs, [Zhu Guangsheng] took off his coat and covered the mother dog, who had just given birth, as she continued to lick the puppies to clean them.
0:10:21|0:10:37|Returning home, [Zhu Guangsheng] first put on a military coat with a forest ranger badge. Then he looked at the neatly stacked quilt on the bed, glanced at the table beside it, and finally placed the pillow aside, picked up the quilt with one arm. Suddenly, he noticed a jar on the cabinet.
0:10:37|0:10:46|He picked up the can and carefully read the instructions, then put it down. After a few steps, he turned back, picked up the can, and walked outside.
0:10:47|0:11:8|Not long after, [Zhu Guangsheng]'s wife returned to the house in the snowstorm. Standing at the door, she stomped to get rid of the blood seeping into her shoes. While brushing off the snow on her body, she looked inside the house. Then she walked towards the messy dining table holding two cabbages. She first put down her shoulder bag, then placed the cabbages on the table. Still not fully recovered, she rubbed her hands together while looking around.
0:11:8|0:11:19|In the dog kennel, the mother dog finally gave birth to the last puppy with the help of [Zhu Guangsheng]. It immediately bit through the amniotic sac covering the puppy and helped clean it, while [Zhu Guangsheng] held onto its tail.
0:11:20|0:11:46|After finishing speaking, the old buddy turned and walked away, leaving [Zhu Guangsheng] alone leaning on the fence, quietly watching the mother dog and her puppies. At this moment, he felt extremely happy inside. The mother dog then picked up the puppies that were placed on [Zhu Guangsheng]'s back one by one and started nursing them. [Zhu Guangsheng] picked up the last puppy born and placed it next to the mother dog, letting her continue to clean the puppies. Contentedly, [Zhu Guangsheng] sat in the dog's nest and unconsciously started humming a song.
0:11:46|0:12:3|He lovingly stroked the mother dog's head, unable to express his feelings in words. His old buddy looked at the recovering mother dog, then raised his head and smiled at [Zhu Guangsheng], handing over the prepared milk powder. Carefully, [Zhu Guangsheng] took the bowl and placed it in front of the mother dog, allowing her to drink freely.
0:12:4|0:12:23|Later, when [Zhu Guangsheng] returned home, he saw his wife, who was picking dates, suddenly become cautious. He turned around, walked to the mirror, took off his hat, shook off the snow on his body, then bent down to wash his hands. After drying them, he walked to the stove, picked up the lid and looked inside. Not finding any food, he opened another lid beside it.
0:12:23|0:12:42|To his surprise, there was still no food in the pot. He looked at his wife in astonishment, then took out a small knife he carried with him and cut down the cured meat hanging in the corner. Sitting in front of the cutting board, he put away the knife and ate the meat heartily. After gnawing on a piece of meat, [Zhu Guangsheng] nervously shifted his feet.
0:12:43|0:12:49|The two of them stood back to back, talking. [Zhu Guangsheng] turned his head with a forced calmness and said,
0:12:50|0:13:8|Zhu Guangsheng's wife, who was picking at the big red dates, pursed her lips, suppressing her anger. Zhu Guangsheng, who was gnawing on the meat, began to look uneasy. He chewed on the meat, staring blankly at the remaining piece in his hand. Seeing him not responding for a long time, his wife, lost in thought, he realized at this moment that he had made a mistake.
0:13:12|0:13:18|His wife, angry, continued to tightly grip the hand placed in the winnowing basket, but he still did not respond.
0:13:22|0:13:35|His wife threw the dustpan along with the jujubes at him, and he dropped the meat and picked up his hat to leave. As Zhu Guangsheng walked out of the door, his wife picked up the dustpan from the ground and threw it heavily at his back again.
0:13:56|0:14:16|Zhu Guangsheng and Zhang Biao sat on either side of the bed, panting heavily. After the eldest daughter finished speaking and left, the helpless younger daughter picked up the knife at the end of the bed and also walked out. At that moment, a frame appeared in the scene, containing two family photos and pictures of the young couple. They used to be so green, but the past time will never return.
0:14:16|0:14:28|The next day at the bustling market, the second daughter [Zhu Lin] stood at the cotton candy stall, waiting for her own cotton candy. After she finished eating the cotton candy to her satisfaction, she went to the stall selling bags and asked the boss to pack it for her.
0:14:28|0:14:54|Shortly after, she walked alone towards the market in the scene, and soon appeared next to the pile of dirt where she was tidying up her clothes. A small dog squatting nearby lifted its innocent head to look at [Zhu Lin]. It softly whimpered when it saw [Zhu Lin] walking away and followed closely behind. [Zhu Lin] immediately stopped to prevent it from following, but after a few steps, it caught up again. After repeating this a few times, it finally lay on the ground, exposing its belly, and acted coquettishly towards [Zhu Lin].
0:15:2|0:15:10|[Zhu Lin] walked to [Zhu Cong]'s side, leaning against her. [Zhu Cong] and [Zhu Lin] turned to look.
0:15:28|0:15:35|Reluctant Changzi, after patting his head, satisfactorily takes a bite of the grilled skewer and returns to the room where Zhu Cong is practicing dance moves.
0:15:54|0:16:19|[Zhu Cong] turned around and leaned on the bed railing, delivering a kick from behind. When her eyes glanced at [Zhu Lin]'s school bag, the guilty [Zhu Lin] immediately hugged the bag to his chest. Curious, [Zhu Cong] walked up and opened [Zhu Lin]'s bag. A little dog inside poked its head out and looked around. On the other side, [Zhu Guangsheng] herded the sheep into the pen with a sickle on his shoulder. Then he slowly walked down the hill and placed the sickle in front of the house.
0:16:19|0:16:49|[Zhu Lin], standing close to the wall with a puppy in his arms, turned around upon hearing a noise. [Zhu Guangsheng] smiled and glanced at [Zhu Lin], then quickly turned to look at the sickle. After realizing what was happening, he immediately turned his head to the puppy in [Zhu Lin]'s arms. He couldn't help but walk towards it, pointing at the puppy and asking [Zhu Lin]. Excitedly, [Zhu Guangsheng] stared at the puppy, continuously petting its head. After speaking, he stood up straight and looked in the direction behind him.
0:16:50|0:16:52|He then turned to [Zhu Lin] and said,
0:16:54|0:17:4|He leaned close to [Zhu Lin]'s ear and whispered softly. The two like-minded individuals exchanged a smile, then [Zhu Guangsheng] turned and left, leaving [Zhu Lin] alone playing with the puppy.
0:17:16|0:17:31|Following the mother's lead, [Zhu Lin] reluctantly walked towards the door and followed her out. With one foot propped on the bed railing doing a split, [Zhu Cong] smiled smugly, while the innocent little dog was placed on a pile of snow-covered weeds.
0:17:31|0:17:39|The next morning, as soon as it was light, [Zhu Lin] opened the door to look for the dog. Just as he was feeling disappointed, the dog walked over from the corner of the wall.
0:17:46|0:18:3|She excitedly held the puppy tightly in her arms. At noon, under the bright sunshine, Old Zhu stood in front of the adobe oven, scooping the freshly baked bread into a basin with a shovel. His wife sat in the garden washing clothes. Suddenly, the sound of a tractor caught his wife's attention. A man got off the tractor.
0:18:18|0:18:24|A man stood on one foot on the adobe kiln, then squatted down beside it.
0:19:19|0:19:28|Old Zhu looked at [Zhu Lin] with affection on his face, his wife hung up the clothes and walked towards them, glaring at Old Zhu with her eyes, then she picked up the basin filled with bread and left.
0:19:32|0:19:37|The man turned away tactfully, while Old Zhu caressed the little dog in his daughter's arms and said,
0:19:58|0:20:16|On the hillside, a man holds a bow and arrow. Zhu Guangsheng puts down his shovel and walks towards him. He takes the bow and arrow from the man, who steps back. The man places the sword on the string, adjusts his stance by holding the end of the sword with two fingers, pulls back with force, and the arrow hits the wooden stake in front accurately.
0:20:18|0:20:42|After handing the bow to the man, he looked at the surprised man who hit the stake, [Zhu Lin] holding a puppy admiringly looked at his father. Later, in the training ground formed by the wooden stakes, Old Zhu was directing the apprentices, while [Zhu Lin] sitting aside holding the puppy, pursed his lips watching them. After Old Zhu finished training, he guided the young puppy to walk on the arched equipment.
0:20:58|0:21:13|Time flies, Blue Wave has grown into a well-trained wolf dog, with strong and powerful limbs, running as fast as lightning. Following Old Zhu's command, it swiftly passed through the arched bridge, then quickly climbed up the obstacle ladder at lightning speed.
0:21:13|0:21:26|Shortly after, [Zhu Guangsheng] bent down at the finish line, arms outstretched. [Lan Bo] leaped over his back, landing smoothly. Zhu then twirled his mop handle, striking a dramatic pose, and playfully frolicked with [Lan Bo].
0:21:30|0:21:48|The soaring [Blue Wave] grabbed [Zhu Guangsheng]'s hat and walked towards home, while [Zhu Lin] who was standing aside, bounced over to [Zhu Guangsheng] and linked arms with him, walking behind [Blue Wave]. A year later, as a forest ranger, [Zhu Guangsheng] walked in the snow leading a horse to search for mountains.
0:21:54|0:22:4|He was unaware that the snow wolf lurking deep in the forest was staring at him intently, with [Lan Bo] running ahead as if sensing something, heading towards the depths of the forest.
0:22:4|0:22:30|[Zhu Guangsheng] tied the horse to a tree, but suddenly heard the sound of an electric drill. At that moment, he became alert and discovered footprints extending into the depths of the forest in the snow. He glanced at [Zhang Biao] beside him and then gave an order. The well-trained [Zhang Biao] instinctively rushed out, with [Zhu Guangsheng] following closely behind. Nearby, the snow wolf licked its tongue as if waiting for a meal.
0:22:32|0:22:43|Zhu Guangsheng, who didn't pay attention to his footing, fell to the ground. Seeing the villain escaping, he quickly got up and chased after him. The brave Zhang Biao closely followed, seizing the opportunity to bite the villain's arm.
0:22:43|0:22:55|and dragged him on the ground. At this moment, the villain kept rolling, trying to break free from [Blue Wave]'s bite, but [Blue Wave] didn't give him a chance to catch his breath, biting him tightly. The next day, in a great mood, [Zhu Guangsheng] hummed a tune.
0:22:55|0:23:4|As the eight large characters "Reforesting to Green the Motherland" on the side of the house were being repainted, at that moment, the police car stopped by the road, and Director Liu got out of the car and shouted at his back, [Director Liu].
0:23:17|0:23:22|[Zhu Guangsheng]'s movements began to slow down.
0:23:30|0:23:34|[Zhu Guangsheng] stopped his actions and turned to look at [Director Liu],
0:23:51|0:24:0|Director Liu started the car and drove away, watching Zhu Guangsheng go far away. At this moment, Zhu Guangsheng furrowed his brows and looked down slowly, saying with concern,
0:24:18|0:24:38|The man then took off his sunglasses and looked at [Changzi]. At that moment, [Changzi], who was standing by the table, looked at [Zhang Biao] in surprise. In the other corner of the guard station, Old Zhu was sitting by the stove, adjusting the hook made of twisted steel wire with pliers. Just as he was trying to flatten the bottom of the hook, Director Liu suddenly opened the door and looked at him, saying,
0:25:0|0:25:15|Old Zhu looked at Director Liu in front of him, gesturing for him to sit down with his right hand holding pliers. Then Old Zhu put down the hook that had already been formed in his hand, turned off the radio, and looked at him seriously, saying,
0:25:19|0:25:32|Director Liu, who was already seated, looked up as Old Zhu, with a smile on his face, lowered his head to focus on the task at hand.
0:25:42|0:26:6|With a furrowed brow, Zhu Guangsheng rubbed his hands on the stove and stopped his actions, pursing his lips. He suddenly looked up at Director Liu, then put down what he was holding and calmly said, not realizing he had done anything wrong.
0:26:27|0:26:32|The atmosphere in the room was extremely tense at this moment, and the two of them did not notice when [Zhu Lin] walked in.
0:27:10|0:27:16|Following [Zhu Cong]'s pull of the trigger, as the gunshot rang out, the screen was covered in blood, with someone holding a hunting rifle in the snowy field.
0:27:20|0:27:24|After finishing speaking, [Changzi] turned around, closed his eyes tightly, and gasped heavily.
0:27:31|0:27:49|Changzi turned to Zhang Biao in shock, while Zhang Biao, who was looking for prey, put away his hunting gun and walked forward. Clumsy Changzi quickly picked up the rabbit on the ground and ran towards Zhang Biao. He grabbed Zhang Biao, almost slipping, and once he steadied himself, he said,
0:27:55|0:28:4|[Zhang Biao] walked forward absentmindedly, [Changzi] immediately caught up. [Zhang Biao] stepped heavily on the snow, staring blankly at a spot not far away.
0:28:7|0:28:30|After listening to [Changzi]'s words, [Zhang Biao] instantly understood something. He then threw the bag containing the hunting rifle into the bushes. Slowly, he walked to the bag, squatted down, took off his gloves, raised the rifle, aimed at Old Zhu's dog yard, scanned every dog, and finally aimed at the dog lying on the ground. His intense desire for revenge blinded his eyes, and without hesitation, he pulled the trigger.
0:28:30|0:28:44|The bullet swiftly pierced through the dog's head, and after a few whimpers, the dog fell into a pool of blood. Meanwhile, the snow wolf on the mountain was watching from afar. Inside the forest station at night, [Zhu Guangsheng] gazed blankly out the window.
0:29:9|0:29:15|While the two were talking, the dog outside the window kept barking. Upon hearing the noise, [Zhu Guangsheng] immediately looked towards it.
0:29:22|0:29:29|Don't do anything stupid. Soon after, [Zhu Guangsheng] in military coat, holding his drumstick, walked towards a residential house. Upon reaching the front gate, he urgently knocked on the door.
0:29:29|0:29:40|Seeing that no one opened the door, he increased the force in his hands. On the other side of the dog yard, [Zhang Biao] and [Changzi] sneaked into the kennel, where the dogs, sensing unfamiliar scents, kept barking incessantly.
0:29:40|0:29:54|Walking ahead, [Zhang Biao] suddenly turned around and reached out his hand to [Changzi]. Understanding the signal, [Changzi] immediately handed over the stick in his hand. [Zhang Biao] took the stick and continued walking forward, while Blue Wave, locked in the cage, watched them calmly.
0:29:54|0:29:59|The next day, [Zhu Lin] anxiously opened the door and said to [Zhu Guangsheng], who was washing up,
0:30:6|0:30:19|[Zhu Guangsheng] carefully observed the object in his hand, furrowing his brows. Slowly, [Zhu Guangsheng] lifted his head, and the blue waves were locked on the iron fence.
0:30:37|0:30:52|The chef holding the money looked at the locked Lanbo, bypassed [Changzi], and walked towards the house. Meanwhile, [Changzi], chewing gum, remained in place, watching Lanbo struggling and showing a lewd smile. After Lanbo exhaustedly collapsed on the ground, [Changzi] was satisfied and turned to leave.
0:30:52|0:31:9|When Lanbo saw him reaching for the chicken in the cage, he immediately stood up and stared closely at his back. Lanbo kept scratching at the iron gate with his claws and tried to climb over it, but ultimately failed. [Changzi] walked towards the kitchen with the chicken, [Lanbo] barked loudly, only to have the iron chain snapped.
0:31:25|0:31:48|The two of them came to the road, looking for the figure of [Lan Bo]. The cook pointed forward with a stick, but before they took a few steps, [Changzi] sat on the cook's lap. At that moment, [Lan Bo] suddenly stopped, turned around, and saw them about to catch up. [Lan Bo] immediately jumped into the abandoned courtyard, went through the window into the house, while [Changzi] and the cook kicked open the iron gate.
0:31:54|0:32:21|The nervous chef sat at the dining table, constantly tapping the tabletop with chopsticks. Suddenly, the door was pushed open, and he saw that it was Zhu Guangsheng leaning against the door. He hurried over to Zhu's side. Zhu entered the room unhurriedly, cautiously looking around and seeing no one. He then asked, and the chef, feeling flustered, hurried into the kitchen.
0:32:21|0:32:30|Old Zhu walked slowly towards the large bowl of meat and wine on the table, pulling out the chair in the middle of the table. However, instead of sitting down directly, he glanced in the direction of the kitchen.
0:32:30|0:32:56|He lifted his clothes and took out a big drum hammer tied around his waist, hiding it in his sleeve. After completing all the precautions, Old Zhu sat on the stool, concealing the anger in his heart. He looked ahead expressionlessly. At this moment, the half-open door was pushed open from the outside. Old Zhu turned his head slightly towards the direction of the door, only to see a person in black leather boots walking in. After closing the door, the person approached Old Zhu.
0:32:56|0:33:19|At this moment, Old Zhu turned his head disdainfully, and [Zhang Biao], who walked up to him, first placed his hand on his shoulder, then stared at him sharply with a piercing gaze. Bending down and leaning his face next to his, [Zhang Biao] casually said, "..." Old Zhu, who faced him with courage in the face of danger, met his eyes for the first time. It was a year ago when he was caught.
0:33:19|0:33:32|At that time, he hated Zhu Guangsheng for bringing the police. Now, Zhang Biao is seeking revenge on Zhu Guangsheng, causing his family to be ruined. He then patted Zhu Guangsheng on the shoulder and slowly walked towards the center of the long table.
0:33:46|0:34:17|After finishing speaking, he picked up the white wine on the table and poured it into the empty glass. When the wine reached one-third of the glass, he closed the bottle. At this moment, Old Zhu ignored him, so he placed the glass in front of Old Zhu. Old Zhu, who didn't understand the meaning of this action, looked up at him. Old Zhu, who was glancing sideways at Zhang Biao, did not get angry because of his words. He disdainfully shifted his gaze to the table, placed his arm with the big drumstick hidden on the left side on the table, and then picked up the glass of white wine with his right hand and took a big sip.
0:34:17|0:34:24|After hesitating for a moment, [Zhu Guangsheng] picked up a piece of meat from the basin and stuffed it into his mouth, chewing non-stop.
0:34:29|0:34:36|Shortly after, a wave of nausea surged in Zhu's heart, and he leaned over the table and vomited all the meat out. Zhang Biao, with a smug expression, burst into uncontrollable laughter.
0:34:40|0:34:46|[Zhu Guangsheng]’s face changed drastically, the angry [Zhu Guangsheng] pulled out a big drum hammer and swung it towards [Zhang Biao].
0:34:52|0:35:12|Seeing [Zhang Biao] lifting a stool and smashing it towards [Zhu Guangsheng], [Blue Wave] rushed in and bit his arm. [Zhu Cong] and [Zhu Lin] followed, and as [Zhang Biao] broke free from the jaws of [Blue Wave], he was kicked to the ground by [Zhu Guangsheng]. Breathing heavily, [Zhu Guangsheng] first looked at his daughters, then walked to the table to calm down the agitated [Blue Wave] after seeing [Zhang Biao] lying on the ground.
0:35:16|0:35:40|Shortly after, [Zhu Guangsheng] turned to look at [Changzi] and the cook, who were scared in the corner by [Lan Bo]. Realizing that they were not bad people, he turned around and once again hid the drumstick on the table in his sleeve. Burning with anger at this moment, he looked at the unharmed [Lan Bo] and was unwilling to argue further. He then turned and walked towards the exit, but was stopped by [Zhang Biao] who was lying on the ground after a few steps. He looked at [Zhang Biao] helplessly.
0:35:40|0:35:44|Sensible [Zhang Biao] immediately moved aside to make way.
0:35:46|0:36:35|[Zhu Guangsheng] walked out of the room, followed closely by his two daughters. Then [Zhang Biao] slowly stood up, glaring fiercely at [Changzi]. Nervously, [Changzi] recounted the details of [Lan Bo]'s escape to [Zhang Biao]. The two of them chased [Lan Bo] to an abandoned courtyard. When they saw [Lan Bo] hiding in a corner, they tried to scare him with sticks, but the fearless [Lan Bo] quickly jumped out of the window when he found an opportunity. As the two of them carefully searched every corner of the room, [Lan Bo] climbed out through a hole in the wall. Standing on the street, the two of them were distracted by a passing lamb, while [Changzi], lost in thought, suddenly had an idea after a moment of contemplation and confidently said to add more cooking wine.
0:36:39|0:36:52|In a fit of anger, [Zhang Biao] overturned the long table, causing the two people in the corner to be scared and slump against the wall again. However, [Zhang Biao] looked at them with a smile on his face.
0:37:3|0:37:10|Director Liu, who was patrolling, saw a man leading a horse not far away and shouted,
0:37:22|0:37:31|After Director Liu finished speaking, he drove away. The village chief continued to lead the horse forward, and then his colleagues helped Director Liu make a phone call and put it next to his ear.
0:37:42|0:38:1|On the other side, [Zhu Guangsheng] listened to the phone call and then walked towards the sheep pen with a hemp rope and a bundle of hay. The little lambs kept bleating when they saw [Zhu Guangsheng] approaching. After a moment of hesitation, [Zhu Guangsheng] first slung the hemp rope over his shoulder, then separated the hay and threw them in four different directions. He watched the little lambs huddled in a corner.
0:38:1|0:38:9|His gaze finally landed on the smallest one, then [Zhu Guangsheng], who was stewing the meat, started cutting the vegetables.
0:38:29|0:38:35|After Director Liu finished speaking, he opened the bottle of wine and started pouring, but Zhu Guangsheng's mind was on the newly made tobacco pipe.
0:38:54|0:39:1|Director Liu put down Zhu Guangsheng's bowl, picked up his own bowl with chopsticks, and immediately put a piece into his mouth.
0:39:3|0:39:16|Director Liu, who couldn't bear it in his heart, said while eating meat, Zhu Guangsheng, expressionless, expressed great helplessness about the matter. Director Liu, deep in thought, furrowed his brow.
0:39:26|0:39:40|After Zhu Guangsheng spoke frankly, he sat up straight, extended his hands to look at him. Director Liu ignored him and instead put down the bowl and chopsticks, took out a large amount of cash from his jacket pocket and handed it to him.
0:39:54|0:39:57|Director Liu stood up and snatched it back, and after sitting down, he put the money back in place.
0:40:12|0:40:18|Director Liu, called inexplicably by Lan Bo, looked up and asked Zhu Guangsheng.
0:40:22|0:40:28|Director Liu looked at Zhu Guangsheng in disbelief, his face filled with shock. The more he thought about it, the more nauseated he became, and he immediately spat out all the meat in his mouth.
0:40:36|0:40:57|He gulped down the wine in his hand, and at this moment, Lanbo also stopped making noise, quietly lying on the ground watching [Zhu Guangsheng]. The next day, [Zhu Guangsheng] with his old partner and two daughters were picking up trash near the dog field. He carried a large bamboo basket in front, [Zhu Cong] carried a small basket and [Zhu Lin] walked beside him. The old partner on the hillside was picking up trash alone, and the sensible Lanbo carried the trash towards [Zhu Guangsheng].
0:40:57|0:41:9|They tied the collected plastic bags to the fence of the dog farm, adding a different scene to the monotonous Tianshan Forest.
0:41:16|0:41:28|In the dog kennel, Zhu Guangsheng and two others stood up and walked towards the outside. The man at the front stood at the door, patted his arm, then turned to Zhu Guangsheng behind him and said,
0:41:30|0:41:36|After the veterinarian finished speaking, [Zhu Guangsheng] turned to look at the dog kennel, the anxious [Zhu Guangsheng] softly asked the veterinarian,
0:41:54|0:42:5|Upon hearing the price, [Zhu Guangsheng] instinctively clenched his fists, unable to bear giving up these dogs. As he bid farewell to the doctor, he stared blankly at the hat in his hand, while on the other side, [Zhu Guangsheng]'s wife rummaged through boxes and cabinets searching for something.
0:42:5|0:42:12|In a fit of anger, she slammed the empty handbag on the table in front of Zhu Guangsheng, who was drinking.
0:42:12|0:42:27|[Zhu Guangsheng] held a bottle of wine in one hand, feeling troubled, he spoke slowly. His wife, who was beside him, impatiently tapped her foot. [Zhu Guangsheng] lowered his head nervously and replied calmly. Hearing his response, his wife, filled with anger, heavily slapped [Zhu Guangsheng] on the shoulder.
0:42:37|0:42:44|[Zhu Guangsheng], who was mentioned, shamelessly continued to speak.
0:42:50|0:43:1|[Zhu Guangsheng] glanced at his gasping wife with the corner of his eye, full of regret and no expression on his face. Just as he was about to pick up the wine glass, his wife snatched it from him and threw it to the ground.
0:43:39|0:43:50|The provocation from his wife's words made [Zhu Guangsheng] even more irritable at the moment. As his wife struggled to get up from the ground, she said,
0:43:51|0:44:13|After his wife walked out of the room without looking back, enraged [Zhu Guangsheng] stared at the handbag on the table and angrily threw it to the ground. [Zhu Guangsheng] was torn between two choices, caught in endless dilemma. He looked at the blue waves in front of him, sticking out their tongues at him, but in the end, he stuck to his inner self. The azure sky framed the towering mountain peaks, with endless forests winding below the snow line.
0:44:13|0:44:19|[Zhu Guangsheng] sat on the hillside with a radio and a blue wave, settling his anxious mood.
0:44:25|0:44:39|[Zhu Guangsheng] stopped his movements, placed the water bottle down, and took the money handed to him by [Dr. Niu]. With a light flick of his fingers, he began to count the money. Just then, a mountain bike slowly came to a stop in front of his house.
0:45:8|0:45:16|[Zhu Guangsheng] lowered his head in confusion, and after a moment of contemplation, he sighed softly and looked at Boss Qin, pleading,
0:45:32|0:45:37|Boss Qin pulled the man selling sheep intestines away, while [Zhu Guangsheng] stood in place watching them leave.
0:45:40|0:46:5|[Zhu Guangsheng] looked helplessly at the limited cash in his hand. In the afternoon, as he was washing the horse on the slope, [Zhu Cong] shouted. After speaking, she turned her head and continued to be busy with the work in her hands. [Zhu Cong] urged Lanbo to walk towards the intersection. She carried a single-shoulder bag, with both hands in her pockets. Curious Lanbo followed her, trying to get her attention.
0:46:5|0:46:24|As she reached the doorway, she suddenly stopped in her tracks, turned to look at her father's busy figure, [Zhu Cong] couldn't bear to see her father in such distress. She then lowered her head and took out a small stack of money from her pocket, spreading the money out in her hand. Looking at the meager amount of money, she hoped to do her best to help her father with what little she had.
0:46:24|0:46:43|He watched as Lanbo returned to his father and then turned to leave. [Zhu Guangsheng] heard Lanbo calling out and turned back, only to see Lanbo running towards him. He opened his arms and embraced Lanbo, but as he was comforting him, he suddenly noticed some money attached to Lanbo's dog chain. He took the money off and looked in the direction where [Zhu Cong] had left.
0:46:43|0:47:8|At this moment, [Zhu Guangsheng] was feeling a mix of emotions in his heart. He looked at the dog kennel he had built at the foot of the mountain with his own hands, and recalled recent events with deep regret. He stood under the national flag in front of the kennel, solemnly put on his hat, let out a long sigh, and then set off. Before long, his feet were on the stairs. After hesitating for a moment, he took heavy steps to the pawnshop's door, pushed it open, and handed over the property deed.
0:47:39|0:47:58|[Zhu Lin] leaned against the rock, holding Lanbo in his arms, swallowing his tears. [Zhu Cong] turned and walked towards the mountain, but halfway through, he turned back. After speaking, [Zhu Cong] angrily turned and walked down the hill. The sorrowful [Zhu Lin] held Lanbo in his arms, feeling heartbroken and unwilling to give away the Lanbo he had raised with his own hands.
