0:1:45|0:1:50|The [Hei Yu] tribe lives in the city of Skyhaven.
0:9:14|0:9:32|The guard thought he misheard and didn't pay attention, turning to leave. Unexpectedly, as soon as he turned around, he was pierced in the head by the assassin [Hei Yu], whose face resembled a bat. Following that, the even more terrifying-looking [Lei Bao] wielded a huge iron axe, splitting the surrounding guards in half one by one.
0:9:32|0:9:36|But as soon as they stepped into the entrance of the underground palace, they were instantly dealt with by the powerful [Feng Xiao].
0:9:44|0:9:50|The dying guard lunged at [Feng Xiao] while [He Ying] simultaneously threw a dart at him.
0:10:45|0:10:50|The smell of Eurcoffee's fart gradually spread from the rafters to below.
0:11:0|0:11:6|At that moment, the lanterns in the Prince's Mansion were mysteriously blown out by the wind. [He Ying] saw this and smiled charmingly, saying.
0:11:12|0:11:22|[Ni Kongkong] followed the group out after seeing them leave. The Empress at noon spoke to [Prince]. Holding the Eye of the Sky, [Prince] continued with the introduction.
0:11:42|0:11:52|The master of the language family [Xue Lie] had just finished speaking when he suddenly appeared in front of the [Prince]. At this moment, the three of [Feng Xiao] also arrived in time, and the playful [Prince] chuckled at the scene.
0:12:1|0:12:17|[Xue Lie] sneered coldly, then suddenly extended six damaged bones from his back. Following closely, [Hei Yu] also began to twist off bones, revealing a pair of incredibly large wings in front of everyone. Unexpectedly, [Xue Lie] was using the shoulder bones on the wings to stab the guests in the abdomen.
0:12:17|0:12:22|In an instant, the guests desperately scattered and fled, but the ruthless [Xue Lie] stabbed each of them to death.
0:12:23|0:12:36|At this moment, the [Prince] crawled on the ground with the treasure in hand, ready to escape. Unexpectedly, [Xue Lie] suddenly flung the queen's body in front of him. Although the [Prince] was usually indifferent, seeing his lover die in front of him made him stand up in anger.
0:12:36|0:12:47|Unfortunately, the power gap between the two was too great. [Xue Lie] pierced through the [Prince's] scapula with bone spurs and firmly pinned him to the wall. [Xue Lie] reached out and took the Sky Eye from the Prince's hand, saying, "..."
0:13:2|0:13:14|The next morning, the general who learned of the matter rode through the bustling city on a fast horse, heading straight to the palace of the [Emperor]. The palace of the [Emperor] was located next to a mountain, towering up to a hundred meters high. Against the backdrop of the mountain peak, its grandeur appeared particularly extravagant.
0:13:14|0:13:21|The general entered the city, waving flags on a fast horse, walking alone through the small path, then taking a wind ladder like an elevator to finally arrive in front of the [Emperor].
0:14:15|0:14:24|[Yang Zhenhu] heard the order, listened to his subordinates while pushing open the gates of the Prince's mansion. Inside, corpses were scattered everywhere. At that moment, his men discovered [Hei Yu] sneaking behind him.
0:14:40|0:14:46|Facing the pushing from Tiger Tooth, [Fei Long] naturally didn't say a word, and quickly put his own people on the ground.
0:15:20|0:15:32|At the same time, [Ni Kongkong], who learned the news in the underground palace that day, had already arrived at the Spirit Mountain with Ou Ka. A huge stone sculpture stood on this Spirit Mountain, with a cave at its foot.
0:15:42|0:15:59|Afterwards, [Ni Kongkong] opened the stone door of the secret passage and forcefully turned the switch. A bronze mirror slowly appeared on the stone wall, reflecting sunlight deep into the bottom of the cave. With Eurka climbing on his back, [Ni Kongkong] grabbed the rope and slowly descended towards the bottom of the cave.
0:15:59|0:16:4|Halfway down the slide, [Ni Kongkong]'s right hand with the strange crack suddenly stung.
0:16:37|0:16:48|In the fading dust of the interaction, behind the stone wall is a carefully excavated cave. The walls of the cave are adorned with valuable fluorescent stones everywhere. [Ni Kongkong] exclaimed excitedly in an arrow-like manner.
0:16:53|0:17:9|He took out the hook lock and hung it on the wall, then excitedly took down the fluorescent stones on the wall one by one and put them into the cloth bag. He was enjoying the joy of getting rich when suddenly he felt a sharp pain in his right hand again. After taking off the glove, he found that the light from the crack in his right hand was unusually dazzling.
0:17:9|0:17:20|At this moment, he didn't even care about stealing the fluorescent stone. After staring at the crack for a long time, he seemed to sense a mysterious power. He looked up at the waterfall in front of him and then held out his palm towards the direction of the waterfall.
0:17:21|0:17:35|At this moment, a light similar to the crack in the palm also emanated from behind the waterfall. [Ni Kongkong] saw this and raised his palm above his head. Unexpectedly, he was instantly sucked into the mysterious light behind the waterfall.
0:17:35|0:17:46|Passing through the waterfall, it was only then that the mysterious light that could resonate with [Ni Kongkong]'s palm was seen, emanating from an iron box on a column. The closer to the iron box, the more [Ni Kongkong] could feel the mysterious power.
0:17:48|0:18:3|He clenched his teeth and exerted all his strength to hold the iron box in his palm in order to uncover the secret hidden in it. Miraculously, the light on the iron box was absorbed by [Ni Kongkong] when it touched the cracks in his palm. However, he still couldn't learn the truth about the cracks and the iron box.
0:18:3|0:18:12|At this moment, [Feng Xiao] arrived at the bottom of the cave with two feathered guards, while [Ni Kongkong] was still unaware and desperately trying to smash open the iron box with a stone.
0:18:23|0:18:37|Ni Kongkong dodged two crossbow arrows directly shot at him, Feng Xiao walked over slowly and said. Ni Kongkong cleverly placed the box on the ground and kicked it towards Feng Xiao. At this moment, Okka ran to Ni Kongkong's side.
0:18:57|0:19:9|[Ni Kongkong] took advantage of the enemy's confusion, quickly threw a smoke bomb, knocking out the guards, then grabbed a crossbow and shot at [Feng Xiao]. Unexpectedly, [Feng Xiao] rebounded the crossbow back. At this moment, [Hei Yu] suddenly appeared and saved [Ni Kongkong].
0:19:32|0:19:48|[Ni Kongkong] suddenly launched an attack, kicking Okka towards [Feng Xiao], followed by a punch straight to the face. However, such tricks were ineffective in front of [Feng Xiao]. With a backhand move, he knocked [Ni Kongkong] to the ground. Just as [Feng Xiao] swung his sword towards [Ni Kongkong], [Hei Yu] timely blocked his attack.
0:19:48|0:19:55|Rescued [Ni Kongkong] quickly took Ou Ka to a corner, watching the siblings fight fiercely, but after a few moves, [Hei Yu] was no match for [Feng Xiao].
0:19:57|0:20:8|Just as [Feng Xiao] was about to leave with the box, Ou Ka rushed over and casually knocked the box out of his hand. In frustration, [Feng Xiao] forcefully pushed Ou Ka aside, and the iron box happened to land in front of [Hei Yu].
0:20:24|0:20:29|Ni Kongkong, the box instantly released the maximum energy, sending the two flying and bouncing next to [Ni Kongkong].
0:20:57|0:21:14|The Tiger Teeth scattered, forming a encirclement. Ni Gonggong, seeing the situation, tried to run, but was blocked by [Yang Zhenhu].
0:21:32|0:21:52|At this moment, [Feng Xiao] broke free from two tiger guards and fled swiftly. As for who [Ni Kongkong] was, [Hei Yu] didn't care. Instead, he walked up to [Ni Kongkong], reached into his clothes and pulled out a metal box, saying to [Yang Zhenhu].
0:22:5|0:22:23|Amidst the laughter of the crowd, [Hei Yu] and [Ni Kongkong] were locked in a labor car by the Tiger Tooth gang and escorted back to the city. [Yang Zhenhu] held a high position among the common people. The lively and crowded street suddenly became quiet as [Yang Zhenhu]'s troops arrived. People quickly moved aside and bowed respectfully to the troops.
0:22:23|0:22:28|Ni Kongkong, who was in the labor vehicle, looked at the people with a smile, and then said to Hei Yu.
0:23:28|0:23:55|Soon after, Ni Kongkong and Hei Yu were locked up in the dungeon and chained together. The two were too engrossed in their conversation to notice that the key to the cell had been stolen. The dungeon was too narrow, and they were very close to each other. Ni Kongkong looked at Hei Yu, who had a friendly face, and said softly.
0:24:6|0:24:17|During the fight between Ni Kongkong and Hei Yu, the prince of Tiandu City, He Li, opened the door and jumped in.
0:24:34|0:24:41|Hei Yu's fight with Ni Kongkong left him in excruciating pain. He watched as the two fought relentlessly, the sea appearing calm.
0:25:17|0:25:19|[Ni Kongkong] looked at [He Ying]'s jade pendant and said.
0:25:57|0:26:7|Soon after, [Ni Kongkong] whispered his perfect plan to the two of them. At the same time, deep in the mountains outside the Heavenly Capital City, Xue Lie looked at Feng Xiao, who had never missed a shot, and said.
0:27:27|0:27:37|Ouka dug a small hole in the dungeon wall and stole the box, handing it to [Ni Kongkong]. [Ni Kongkong] looked at [Hei Yu] who was injured, wanting to help stop the bleeding.
0:27:42|0:28:1|Knowing Ni Kongkong's intentions, Hei Yu also let go. Having just woken up, he looked at the already opened iron chains, feeling somewhat incredulous. At this moment, Ni Kongkong sat on the ground, took off her boots, and took out hemostatic medicine from them, preparing to apply it to Hei Yu. But as soon as she reached out, she was hit by Hei Yu again.
0:28:8|0:28:22|[Ni Kongkong] sniffed the medicine bag and frowned, then sniffed his own boots and awkwardly chuckled. Despite saying it was disgusting, [Hei Yu] had to take [Ni Kongkong]'s hemostatic medicine as the blood kept flowing out.
0:28:22|0:28:30|[Ni Kongkong] applied medicine and bandaged [Hei Yu]'s wound, but his restless hands opened Hei Yu's clothes, revealing the puncture marks where wings were about to grow on the winged man.
0:28:40|0:28:51|[Ni Kongkong] sat on the side, unhappily throwing the empty medicine packet on the ground. Seeing this, [Hei Yu] ignored him and closed his eyes to rest. At this moment, [Ni Kongkong] asked [Hei Yu] next to him again.
0:29:16|0:29:22|The two locked eyes for a long time, [Hei Yu] looked at [Ni Kongkong] with a particularly determined gaze, and then spoke to her.
0:29:49|0:29:58|Hei Yu attacked two prisoners and stripped off their clothes to disguise himself as Huya. He then swaggered out of the prison with the two prisoners in tow.
0:30:32|0:30:38|At this moment, Xue Lie's subordinates disguised as Tiger Fangs, escorted Lei Bao and others into the Zhenhu Office.
0:31:8|0:31:12|Just as they turned the corner into the dungeon, [Lei Bao] and his group ran into [Ni Kongkong] and her three companions.
0:31:29|0:31:47|The two groups of people were getting closer, both feeling a bit scared because of their disguises. Leading the way, [Ni Kongkong] and [Hei Yu] were walking with guilty consciences, keeping their heads down. [Ni Kongkong] caught a glimpse of the prisoner [Lei Bao], who had a strange and ugly appearance, triggering memories of that night at the Prince's mansion.
0:31:47|0:31:51|[Ni Kongkong] was not happy in his heart, but in order not to expose himself, he still apologized to the other party.
0:32:0|0:32:3|[Ni Kongkong] kept looking back from time to time.
0:32:13|0:32:18|[Hei Yu] saw Yang Zhenhu walking down the steps from the front and reached out to stop [Ni Kongkong].
0:32:48|0:33:3|Due to the sudden appearance of Yang Zhenhu, the three who were about to reach the door were forced to turn back and choose the small path to move forward. At the same time, the group of [Lei Bao] who infiltrated Zhenhu Temple had already turned the administrative office upside down.
0:33:16|0:33:21|The progress of Ni Kongkong, Hei Yu, and Xue Lie on the small path was not smooth, as they encountered a large number of guards ahead.
0:33:26|0:33:30|[Hei Yu] shook his head, and [Ni Kongkong], seeing this, pondered for a moment before speaking.
0:33:54|0:34:7|[Ni Kongkong]’s perfect plan turned out to be using herself to lure away the guards on the wind stairs, thus covering the escape of the two. Seeing dozens of guards chasing after [Ni Kongkong], the two couldn’t waste the opportunity, so after locking eyes, they rushed towards the wind stairs.
0:34:7|0:34:15|In the dim light, just as the reinforcements arrived, a guard shot off He Li's helmet with an arrow. Luckily, Hei Yu was extraordinary and quickly took care of him.
0:34:24|0:34:48|The guard quickly sounded the alarm gong, and [Yang Zhenhu] arrived at the scene. Hearing the gong in the administrative office, they hurriedly reported to [Lei Bao]. Upon waking up, [Lei Bao] immediately took out his iron giant axe, looking solemnly at the gate. His subordinates also stopped flipping their palms and each took out their weapons to stand by.
0:34:51|0:35:8|The door was pushed open by Ni Kongkong with great force. Lei Bao, seeing only one unarmed person, felt somewhat puzzled. After a moment, dozens of guards rushed to the office, and when they caught up to the door, they were also startled by Lei Bao and his companions.
0:35:18|0:35:32|[Lei Bao] wasted no time in summoning the giant tiger, and the iron chain also emerged from the axe handle. [Ni Kongkong] swiftly leaped up and shot out a flying rope from his sleeve, dodging this deadly blow. However, the three guards behind him were not so lucky, as they were all sent flying by the giant tiger.
0:35:34|0:35:51|With the active attack from [Lei Bao], the battle between the two groups officially began. Suddenly, the lineup room seemed to have turned into a chaotic battlefield, with various documents and letters flying everywhere. [Lei Bao] almost wiped out the experienced warriors with his giant axe. [Ni Kongkong] also joined the battle.
0:35:51|0:36:2|Just as he was fighting fiercely, the box in his arms accidentally fell to the ground from the second floor. The crisp sound caught the attention of [Lei Bao]. Just as he was about to pounce on the box, [Ni Kongkong] picked it up first.
0:36:7|0:36:14|[Lei Bao] threw a huge axe, knocking [Ni Kongkong] down from the stairs. Just then, [Yang Zhenhu] arrived in time with a long-handled knife.
0:36:17|0:36:25|[Yang Zhenhu] rushed forward with the guards as soon as he came to life. With his exceptional martial arts skills, he turned the tide the moment he joined the battle.
0:36:25|0:36:35|Just now the arrogant and domineering Feathered Man has been killed one by one by [Yang Zhenhu], while [Lei Bao] completely disregards the lives of his subordinates, only chasing after [Ni Kongkong], trying to snatch back what was given to him.
0:36:36|0:36:47|[Ni Kongkong] was closely pursued by [Lei Bao], from the second floor to the first floor, and then from the first floor to the corridor. [Ni Kongkong] could only rely on the hook on his body, awkwardly shuttling up and down the corridor, trying to shake off [Lei Bao].
0:36:47|0:37:0|[Yang Zhenhu] joined the battle and quickly eliminated a soldier, then headed straight for [Lei Bao]. Gasping for breath, [Ni Kongkong] saw [Yang Zhenhu] approaching and immediately pulled herself together, no longer looking as disheveled as before, provocatively staring at [Lei Bao].
0:37:0|0:37:16|[Lei Bao], true to his name, has a particularly violent temper. Seeing [Ni Kongkong] mocking him, he swung his axe and aimed a blow at her head. Fortunately, [Yang Zhenhu] intervened in time, using the handle of his knife to drag [Ni Kongkong] aside. The force of the axe strike also cracked open a crevice in the stone wall.
0:37:16|0:37:20|[Yang Zhenhu] was surprised by the strength of [Lei Bao] and did not dare to underestimate him.
0:37:20|0:37:39|Taking a fighting stance, [Lei Bao] was naturally fearless, greeting whoever came with a giant axe. At that moment, the box in [Ni Kongkong]'s arms fell to the ground, catching [Lei Bao]'s eyes. Instantly losing the will to fight, [Lei Bao] was only thinking about how to get the box. He simply exchanged a few moves with [Yang Zhenhu].
0:37:39|0:37:56|Possessing the desire to pick up the box, [Yang Zhenhu] seized the opportunity and kicked [Lei Bao]'s head against the wall. The box that was just within reach flew out again, but was intercepted by [Yang Zhenhu] with a knife. Unexpectedly, [Ni Kongkong] suddenly snatched the box and dashed out of the corridor. Upon seeing this, [Lei Bao] immediately got up to chase after, but [Yang Zhenhu] relentlessly pursued.
0:37:56|0:38:9|So, after [Lei Bao] walked out of the corridor, he turned back and chopped off the stone pillar, trapping [Yang Zhenhu] under the falling boulder. On the other side, [Hei Yu] and the other person printed the closed guards one by one on the ground, [He Ying] stepped onto the sealed ladder, and said urgently.
0:38:45|0:38:56|As soon as [Hei Yu] finished speaking, in the dim light, [Lei Bao]'s flying axe smashed in from the top of the ladder, firmly hooking onto it, and [Lei Bao] used an iron chain to continuously rotate the ladder downwards.
0:38:57|0:39:9|[Hei Yu] spoke, and the three of them flipped to the top of the ladder. [Hei Yu] saw [Ni Kongkong] and He Li, grabbed the ascending rope tightly. The mutated knife cut it off, without the traction of the rope, [Ou Xi] instantly walked towards [Lei Bao].
0:39:9|0:39:22|[Ou Xi] fell from high altitude, directly submerging [Lei Bao], and the three quickly arrived at the top of Zhenhu Si. Holding iron hooks, they slid rapidly on a zip line to another high building.
0:39:33|0:39:49|Outside the Zhenhu Temple, after seeing Ni Kongkong and the others escaping, Hei Yu climbed down from the wall and joined the crowd in chasing after them. At that moment, Yang Zhenhu, who had just been rescued, arrived with his team, only to watch the three already escaped individuals and angrily shouted.
0:39:52|0:40:5|After escaping, the group stole a boat from the shore and headed towards the direction of the underground cave at night. The next morning, they had already drifted to the outskirts of the cave. The mountain peaks here were covered with giant monster stone sculptures, sending shivers down their spines.
0:42:12|0:42:23|Night fell in the blink of an eye, and the small boat carrying three people continued to move slowly in the river. [Hei Yu] couldn't sleep, sitting alone at the bow, lost in thought as he gazed at the necklace. At that moment, [Ni Kongkong] emerged from the cabin and asked.
0:42:45|0:43:13|[Hei Yu] anxiously tried to snatch back the necklace and resorted to using force. [Ni Kongkong] jumped onto the sail, and without hesitation, [Hei Yu] immediately pounced on her. In the midst of the fight, [Hei Yu] pulled off [Ni Kongkong]'s glove, revealing the secret of her identity. Angered and embarrassed, [Ni Kongkong] walked towards [Hei Yu].
0:43:19|0:43:37|[Ni Kongkong] initially wanted to snatch back the boxing gloves, then changed his cute image from before, and his punches became heavier. He lifted [Hei Yu] with force and threw him onto the boat. However, [Hei Yu] was stronger than him, locking his neck with his foot and throwing him out. Getting up again, [Ni Kongkong] angrily threw the necklace onto the boat.
0:43:40|0:43:48|Unexpectedly, the necklace was broken. [Hei Yu], strong and furious, leaped into the air and almost kicked [Ni Kongkong] off the ship.
0:43:53|0:43:59|[Hei Yu] rushed towards the necklace, and at that moment, the necklace emitted a tremendous amount of energy, rising up into the air.
0:44:4|0:44:18|The necklace rose into the air, and brilliant pollen poured out from the broken part like the Milky Way, surrounding the necklace. [Ni Kongkong] tightly held onto the ship's edge, struggling to climb onto the ship, but [Hei Yu] paid no attention to him at all.
0:44:18|0:44:35|At that moment, the floating star pollen surrounded [Hei Yu] in mid-air and drilled into his wing orifice. A huge surge of energy rushed in, causing [Hei Yu] to faint instantly on the ground. Seeing this, [Ni Kongkong] hurried forward. The necklace lost its power and fell on the boat.
0:44:35|0:44:47|[Ni Kongkong] picked it up and when he turned around again, the unconscious [Hei Yu] was rising vertically into the air under the effect of star stream pollen. [Ni Kongkong] grabbed his ankle, but the powerful energy sent the two of them flying together.
0:45:1|0:45:9|[Fei Long] followed Wu Ka's gaze and saw that the two of them had already soared to a height of several tens of meters.
0:45:20|0:45:35|As the two ascended higher and higher, [Ni Kongkong] tightly wrapped her arms around [Hei Yu]'s legs, wailing incessantly. At that moment, the starflower pollen completely merged with [Hei Yu], and a pair of large wings extended from his back. Seeing this, [Ni Kongkong] was so shocked that she couldn't speak.
0:45:35|0:45:54|After a moment, [Hei Yu] also gradually regained consciousness. When he opened his eyes, he found himself in the air hundreds of meters above the ground, instantly panicking. Seeing the wings behind him, he was even more confused. He frantically tried to control the wings, but being his first flight, he couldn't coordinate the flapping of both wings at the same frequency in his panic.
0:45:59|0:46:15|Both plummeting rapidly, [Ni Kongkong] found a way in the midst of chaos. He struggled to slide towards [Hei Yu], and after many twists and turns, finally managed to lie on [Hei Yu]'s back. With both hands tightly gripping [Hei Yu]'s wings, [Ni Kongkong] then exerted all his strength to push backwards, finally helping [Hei Yu] successfully spread his wings.
0:46:16|0:46:33|Being shaken out by the wings, he was lucky to shoot out a grappling hook in time, tethering himself to [Hei Yu]'s ankle as they fell from the sky to the canyon. [Hei Yu], who had just gained control of his wings, was still practicing flying diligently.
0:46:34|0:46:54|Ni Kongkong was completely unaware that she was already in the midst of a hallucinatory and dangerous jungle. The jungle was extremely fantastical, filled with colorful bubbles everywhere. Hei Yu, after passing through the jungle, suddenly realized that he was about to crash into the mountaintop, prompting him to fly up, but still ended up crashing into a tree on the mountaintop. Fortunately, both of them were unharmed. After a fantastical night.
0:46:54|0:47:6|[Ni Kongkong] looked weary. He lit a fire on the side to rest, while [Hei Yu], who had just grown wings, was particularly spirited. After a brief rest, they continued practicing flying in the air.
0:47:22|0:47:40|[Hei Yu] witnessed, grabbed the wine jug, took a big gulp and choked on it. The strong liquor made [Hei Yu] cough, rendering him speechless for a while. He wiped his mouth and sat down on a nearby rock next to [Ni Kongkong].
0:47:40|0:47:48|At this moment, [Ni Kongkong] also approached and took out the broken necklace from his pocket to hand it to [Hei Yu].
0:48:54|0:49:1|Ni Kongkong took out the box and shook it in his palm. Every time the box passed through the cracks in his palm, it would shine brightly.
0:49:59|0:50:11|[Hei Yu] hooked onto [Ni Kongkong]'s belt with a grappling hook, before he could react, he was already flying towards the herding boat. The next morning, [He Ying] asked [Ni Kongkong], where did those two fly off to again?
0:50:24|0:50:37|Just as [Ni Kongkong] was about to get angry, he was teased and signaled [He Ying] to be alive. A graceful figure with wings landed on the boat. It turned out that [Hei Yu] went to investigate and introduced himself to the two.
0:50:44|0:50:58|Unconsciously, the small boat sailed into a mysterious cave. The river flowed through the narrow cave, and a strange wind blew out from the depths of the cave. It wasn't until they approached that the group noticed a small island in the cave, where the people on the island were living in peace, but without joy.
0:50:58|0:51:6|The simple instruments played lively tunes, the bonfire flickered, the beauty swayed her waist, and the strong men enjoyed fine wine, as people from all walks of life gathered here.
0:51:45|0:51:50|The three of them started to act separately. On the other side, inside the mansion of [Jiang Chengzi].
0:51:54|0:51:57|[Hei Yu] took away a treasure.
0:52:8|0:52:30|At the same time, the underground casino was bustling with noise and excitement, but danger was quietly approaching. Countless [Fei Long] from the [Hei Yu] clan were crossing through the mountain caves and tunnels, heading straight to the underground casino. The reveling gamblers in the casino were shouting wildly, completely unaware of the impending threat.
0:52:37|0:52:41|The lively host at the casino announced the results of the gambling round.
0:52:47|0:52:58|[Ni Kongkong], holding a glass of wine, somehow joined in. Through the stone window, [Ni Kongkong] unexpectedly saw the evil dragon. Just as he was about to provoke it, he was pulled back by someone.
0:53:1|0:53:7|After speaking, he raised his head and shouted loudly. Faced with He Lu's questioning, [Hei Yu] turned around to leave.
0:53:25|0:53:34|Hei Yu kicked He Lie away on the spot, He Lie, unwilling to accept it, rushed up to fight back, but was kicked down again by Hei Yu. Ni Kongkong rushed over to stop He Lie.
0:53:49|0:54:11|In the crowd, a beggar saw this scene, walked towards the outside, came to the corridor bridge, took out the cloth bag around his waist, and before he could open it, he was pressed down by [Hei Yu]. [Hei Yu] took the cloth bag, the pangolin knocked down the beggar, then [Ni Kongkong] delivered a stick blow, smashing him off the bridge. He Li walked over and stepped on the beggar's chest.
0:54:11|0:54:15|[Hei Yu] leaped off the bridge and rolled up the beggar's sleeve, revealing strange tattoos inside.
0:54:23|0:54:49|Hei Yu finished speaking, disdainfully stood up. Ni Kongkong walked over and separated the two confronting each other. Hei Yu, who was unwilling to accept it, had to give up. It turned out that behind the casino, there was a dark prison cell where vines and rubble were scattered around. The monster's roar frightened Hei Yu.
0:54:49|0:54:58|Three people moved forward and found that the prisoners were all chained to the hollowed-out stones. They approached.
0:55:2|0:55:20|[Hei Yu] quickly squatted down and gently patted Lao Yuan. Lao Yuan made a nine-square, with an indescribable smell. Just as the three were about to open the iron chain, an accident occurred. Tian Qian's soldier was attacked by a huge tiger, but was dodged by [Ni Kongkong].
0:55:20|0:55:26|The soldier rushed towards [Ge Li], but [Hei Yu] leaped and kicked the enemy against the wall, as [Ni Kongkong] charged forward.
0:55:31|0:55:50|Enemies attacked again, and Ni Kongkong swiftly used a scissor kick to subdue one of them. As another enemy prepared to strike, he was knocked down by Hei Yu. With more enemies closing in, Fei Long picked up a sword from the ground and used techniques like "Immortal's Guidance" and "Looking Back at the Moon" to defeat them, allowing the remaining soldiers to regroup and fight back.
0:55:50|0:55:56|In the crowd, a bald figure in a long robe with strange tattoos on his head walked over.
0:56:1|0:56:11|The bald monster shouted and threw off his long robe, dancing in a comical manner towards [Hei Yu]. [Hei Yu] immediately drew his sword, and [Ni Kongkong] approached.
0:56:29|0:56:34|The bald man pushed Ni Kongkong again.
0:56:52|0:56:59|[Ni Kongkong] was just about to speak when he was pushed aside by the bald man. The bald man turned around and walked up to [Hei Yu] with a serious expression on his face.
0:57:42|0:57:55|[Ni Kongkong] and [Hei Yu] both turned to Ge Li at the same time. Ge Li was taken aback and opened his hands. [Hei Yu] and [Ni Kongkong] nodded in agreement.
0:58:2|0:58:9|Speak up, the bald man and his men leave. With only Old Li and two others left, [Ni Kongkong] turns around and walks unsteadily towards [Hei Yu].
0:58:11|0:58:34|[Hei Yu] looked annoyed. On the other side, the bald man was holding a glass of wine and accompanied by a small pig teammate. As he raised his head to drink, he was suddenly pushed from behind. The bald man turned around angrily, only to see [Hei Yu] in a charming long dress.
0:59:1|0:59:7|[Hei Yu] angrily washed the dishes, causing the bald man to tremble underneath the light, before realizing after a while that this was his own territory.
0:59:8|0:59:26|So [Baldy] stood up, picked up his pants and grabbed the wine jug, only to find that the jug had been emptied at some point. [Baldy] stood up and went back to refill the wine, [Hei Yu] anxiously looked back at [Ni Kongkong], the two exchanged glances, but were caught red-handed by [Baldy].
0:59:34|0:59:54|[Hei Yu] twisted [Ni Kongkong]'s wrist just as he was about to step forward. His men, who were about to help, were ordered back by [Ni Kongkong]. He awkwardly rubbed his head and smiled at [Hei Yu]. Seeing this, his men lowered their guard and retreated. [Ni Kongkong] spoke to the cold and elegant [Hei Yu] again.
1:0:16|1:0:34|Hei Yu untied the cloth bag and a strange bug with a look of emotion flew out, flapping its wings a few times before flying away. Hei Yu had done something guilty, so he returned to the room to find his teammates, looking around nervously, afraid of being discovered. Seeing Ni Kongkong still in place, he quietly sat down, while Lei Bao had already been tricked into drinking several pots of green wine.
1:0:39|1:0:42|[Guangtou] forcefully pushed another wine pot into [Hei Yu]'s arms.
1:0:48|1:1:6|Ni Kongkong in front of the table was getting anxious. The bald man looked at the enchanting figure, the swaying wine pot, and excitedly hummed a song. Hei Yu finished in one breath, smashed the wine pot, feeling like throwing up. Hei Yu ran away, and the bald man chased after him relentlessly.
1:1:15|1:1:30|Ni Kongkong suddenly became angrier. His men behind him were once again ordered to step back, leaving only Hei Yu sitting on a rock staring at the complete jade pendant. Unaware, he was quietly approached by Ni Kongkong, whose eyes were drawn to the jade pendant. Hei Yu turned around and was startled.
1:1:33|1:1:37|On the other side, [Hei Yu], supported by [Ni Kongkong], is helping a rabbit by leaning against the wall.
1:2:34|1:2:36|Later, he was dismissed from his position for his lecherous and greedy behavior.
