0:2:2|0:2:8|He then exerted force to prop up his upper body and sat up. He then walked outside the house.
0:8:17|0:8:38|The man with short hair, also known as the leader, listened and then squinted at the man with a beard. He then turned away disdainfully, pursed his lips lightly, and spoke. The spotlight shone on the luxurious car behind the leader, and the man with a beard lowered his head in contemplation for a moment.
0:8:38|0:8:58|Stomping his feet in place, he then turned around and walked into the narrow passage behind him. After a while, he came out carrying a leather bag, slowly approaching the leader and unzipping it to show him what was inside. After seeing it, the leader took a step back.
0:9:1|0:9:6|The scene cuts back to the dimly lit room, where [Li Jianguo] is knocked over by a stool.
0:9:15|0:9:24|The man with a beard gritted his teeth and cursed angrily. Yige, also known as the man with a beard, squatted down.
0:9:39|0:9:53|[Li Jianguo] quickly got up, opened the door, and fled in panic. Late at night, Brother Yi gently opened the door and returned home, then dragged his weary body up to the second floor. His wife was sitting on the sofa, looking at him with pain in her eyes.
0:9:55|0:10:3|Yige first looked puzzled towards the room on the left, where he found his daughter sleeping soundly, then turned his head and looked at his wife in confusion.
0:10:6|0:10:11|Suddenly he stopped, at the end of the corridor, [Lin Kai] was devouring noodles hungrily.
0:10:12|0:10:25|Seeing [Li Jianguo] finally recognizing himself, [Lin Kai] slowly put down the bowl, then picked up the gun from the table and played with it. Then, he relaxed and leaned back on the sofa, staring intently at the other person.
0:10:25|0:10:34|Seeing [Lin Kai] looking indifferent, [Li Jianguo] cautiously moved his steps and sat on a chair a few steps away in the deep corridor.
0:10:58|0:11:22|Then, he slowly sat up from the sofa, leaning slightly forward. Next, [Lin Kai] put down the gun in his hand and picked up the small bag next to him, tossing it over. [Li Jianguo] caught it and opened it to take a look, inside was not something else, but exactly the powdery substance that Bin had given [Lin Kai] before.
0:11:22|0:11:38|It seems like drugs now. Seeing this, he raised his eyes in astonishment, then smirked at [Lin Kai]. The scene shifts, it's getting dark, in an abandoned building complex full of garbage and construction materials, a sedan,
0:11:38|0:11:45|Stopped in front of one of the dilapidated buildings. Then, a man wearing glasses got out of the driver's seat,
0:11:46|0:11:55|After looking around, [Lin Kai] walked towards the direction of the building. Inside the spacious and damp building, the ground was covered with puddles and potholes.
0:11:56|0:12:13|At this moment, rain was pouring down from the sky, passing through the abandoned building and hitting the man with glasses directly. As he looked around, a small stone was thrown to his feet. It turned out to be thrown by [Lin Kai] who was crouching on the second floor. [Lin Kai] then approached the man with glasses.
0:12:33|0:12:49|[Lin Kai] sat on a rock, took out a pack of cigarettes from his pocket, flicked the lighter, lit one, held it in his mouth, took a deep drag, and then stared blankly ahead. Seeing this, [Laoying] slowly squatted down beside him.
0:12:50|0:13:2|After speaking, [Lin Kai] glanced at the man in glasses, who nodded thoughtfully.
0:13:7|0:13:12|He then got into the car of the man with glasses and stopped in front of a shantytown.
0:13:13|0:13:20|After looking around, he bent down, opened the car door, and got out of the car, while the man with glasses was lost in memories.
0:13:29|0:13:37|Lin Kai, dressed in a police uniform, stood opposite him with a resolute and determined expression.
0:13:53|0:14:16|The memory ends, [Lin Kai] has disappeared at the end of the road. The camera shifts, Cheng Yi leads [Lin Kai] into a narrow corridor and arrives at the entrance of a chess room. A man inside notices and walks in. Ying Jie gets up from the table and approaches the two.
0:14:20|0:14:31|On the other side, Yang Bin and his friends were sitting in the car chatting. Suddenly, gunshots were heard not far away. He immediately opened the door and ran.
0:14:33|0:14:48|Cheng Yi then led [Lin Kai] into a vegetable market. He pointed to the vendors and said.
0:14:51|0:14:57|Yang Bin turned into an alley at this moment, saw the police aiming and shot, but was instantly surrounded and shot in the heart.
0:14:58|0:15:4|Cheng Yi led [Lin Kai] towards the depths of the alley, with his subordinates occasionally handing him cigarettes along the way.
0:15:5|0:15:12|On the side, the police officer touched Yang Bin's neck, repeatedly confirming whether he was dead.
0:15:29|0:15:34|Cheng Yi was actually walking around with [Lin Kai] to familiarize himself with the heads of the major strongholds, announcing his official takeover from Yang Bin.
0:15:36|0:15:44|Soon after, [Lin Kai] and [Laoying] arrived at a factory where neatly dressed workers were methodically separating drugs.
0:15:55|0:16:3|The two indulged in revelry in the nightclub.
0:16:8|0:16:15|[Lin Kai] left after receiving the cash, returned to the factory, and carefully inspected the packaged goods. He heard [Li Jianguo] calling his name.
0:16:17|0:16:26|Following him, [Lin Kai] walked towards the depths of the factory. As night fell, a car slowly drove by the riverbank.
0:16:42|0:16:59|[Lin Kai] leaned back in the back seat of the car, speaking to the man in glasses. Hearing this, the man in glasses fell into contemplation. Suddenly, the pained face of his comrade and a tombstone with the name Zhang Haitao entered his mind, but soon, these images disappeared.
0:17:7|0:17:13|[Lin Kai] and his men are eating, drinking, and smoking.
0:17:16|0:17:32|It's as if consciousness has detached. After three rounds of drinks, people gradually went crazy, with someone throwing a large amount of RMB into the air, causing a rain of banknotes in the room. However, [Lin Kai] sat by the bed with a lonely expression, looking at the smoke-filled light and the continuously falling RMB.
0:17:34|0:17:57|He numbly drank alcohol and smoked one cigarette after another, seemingly unaffected by the surrounding excitement. After a while, the drunken people fell asleep in all sorts of positions, some lying on the ground, some slumped in chairs. The only similarity among them was that they all held large amounts of cash in their hands. [Lin Kai] also fell asleep.
0:17:57|0:18:20|He was gasping in pain. In his dream, a young woman curled up her legs, leaned against the chair, clenched her teeth, and injected drugs into her arm through a needle. Suddenly, she began convulsing uncontrollably, breathing rapidly. Accidentally knocking over the table lamp beside her.
0:18:20|0:18:28|At this moment, a young boy hides behind a cabinet, quietly watching the scene in the room, not daring to make a sound.
0:18:29|0:18:38|Seeing the woman suddenly stiffen in her chair, not moving at all, he bit his lip, shuffled his feet, and when he reached her, he couldn't help but cry.
0:18:40|0:19:1|The woman turned out to be the boy's mother. The urgent ringing of the phone woke [Lin Kai] up instantly, and the little boy in the dream disappeared along with it. It turns out that was his childhood.
0:19:2|0:19:28|Lin Kai then turned and picked up the phone beside him. After listening, Lin Kai quickly got up and opened the door slightly, only to see Cheng Yi standing at the door looking at him seriously, and then shouted. Cheng Yi did not respond directly.
0:19:28|0:19:43|Instead, driving with [Lin Kai], arrived at a waste paper compactor station. Slowly, the car stopped in front of a large shovel, and the workers hurried over when they saw it. Then, [Cheng Yi] and [Lin Kai] got out of the car.
0:19:50|0:20:9|[Lin Kai] opened the trunk and suddenly stopped. Inside, there were bundles of US dollars. Seeing the workers skillfully carrying the money away, he stood still, quietly observing. [Cheng Yi] stood in front of the car, watching as the workers carried the money towards the depths of the compactor station. At this moment,
0:20:9|0:20:22|A person approached the machine, tapped on the screen a few times, and the conveyor belt immediately started. A forklift first put the waste paper on the conveyor belt, and then several workers threw bundles of US dollars into the paper pile.
0:20:25|0:20:43|Soon, the two of them disappeared at the end of the conveyor belt. After a while, a huge block of garbage emerged from the machine's exit. [Lin Kai] took a step forward, staring intently at everything, then turned his head and smiled at [Cheng Yi].
0:20:43|0:21:4|At this moment, the machine was still running steadily, while the forklift quietly transported the compressed garbage blocks. Suddenly, [Cheng Yi]'s phone rang. He looked down, then turned around and walked towards the narrow and dim passage behind. With no one around, he answered the call.
0:21:6|0:21:20|Hanging up the phone, [Lin Kai] cautiously looked around, then sent out the words "good weather" via text message. He quickly walked out of the corridor.
0:21:21|0:21:38|After giving instructions to the workers, [Cheng Yi] waved to [Lin Kai]. Then, leading two trucks, they drove away from the waste paper compactor station. Inside the car, [Cheng Yi] looked at the tense-faced [Lin Kai], smiled, and then asked him.
0:21:50|0:21:56|[Cheng Yi] took a deep breath after listening, then turned his head to look at [Lin Kai] and smiled with relief.
0:21:56|0:22:18|At this moment, the convoy arrived at the railway transportation transfer station. Among the densely packed piles of goods, [Cheng Yi] found a vacant space and slowly parked the car there. The two large trucks behind them stopped not far away. After speaking to [Lin Kai] who followed him, Cheng Yi then walked towards the small building inside the transfer station.
0:22:19|0:22:42|[Lin Kai] then lowered his head and lit a cigarette, standing in place to survey the area. At this moment, Cheng Yi arrived at the warehouse door and looked inside. Shortly after, there was a commotion behind them. Two cars and a truck drove through the containers towards the two of them. Shockingly, the police were ambushing from a vantage point.
0:22:43|0:22:50|In a boxcar at the transfer station, the leader from earlier was deploying the operation with a walkie-talkie.
0:22:52|0:23:9|Looking at the real-time monitoring on the screen, the leader saw the three cars passing by Cheng Yi and [Lin Kai], and stopped directly in front of the warehouse. Then, the man with a headscarf and a gloomy expression in the leading car opened the door first and got out.
0:23:9|0:23:36|Upon seeing the situation, Cheng Yi hurried forward, bending at the waist, warmly greeting him. When Luo Zong got out of the car, he furrowed his brow and stared at [Lin Kai]. Cheng Yi quickly put on a smile and explained to him.
0:23:52|0:24:8|After Mr. Luo finished listening, he nodded to one of his subordinates, indicating something. Then, [Lin Kai] led the subordinates to the side of the large truck, and had someone use a cutting machine to cut off a corner of the garbage block, revealing a bundle of US dollars.
0:24:8|0:24:16|Not far away, the police camera captured the entire process of the transaction between the two parties and the stolen money clearly.
0:24:17|0:24:26|Hearing that there are 28 packs of US dollars, [Laoying] signaled to his subordinates again. Then, his group of men uncovered the plastic sheet on the big truck.
0:24:29|0:24:43|At this moment, several large logs appeared in the carriage. A henchman used an electric saw to cut a rectangular hole from the top. After moving the cut-off wood pieces away, neatly packaged drugs were unexpectedly arranged inside.
0:24:44|0:24:56|At this moment, the henchman took out a package and threw it to [Lin Kai] standing by the car. After looking at it in his hand, [Lin Kai] immediately walked towards Cheng Yi and handed it to him.
0:24:58|0:25:6|Cheng Yi joyfully reached out his right hand, and the leader at this moment picked up the walkie-talkie.
0:25:7|0:25:26|In the boxcar, the police officers leaped up and rushed out. The sirens blared, causing the subordinates to scatter in fear. Director Luo quickly got on the car under the cover of his subordinates. Taking advantage of the scuffle between [Lin Kai] and his subordinates, Director Luo and Cheng Yi hurriedly escaped. At this moment, the police stopped the large truck.
0:25:27|0:25:32|As soon as [Lin Kai] drove out of the exit, he found himself surrounded by police cars in the front and back.
0:25:33|0:25:51|On the other side, Cheng Yi, upon seeing the police approaching in the car, suddenly turned the steering wheel and abandoned the car, then ran into the container group. Immediately, the police started shooting and chased after him. [Lin Kai] was wrestling with his subordinates, and upon seeing the police, immediately crawled under the police car.
0:26:35|0:26:52|After knocking down one of the police officers, he immediately dodged. Unexpectedly, just as he passed through an intersection, he ran into four police officers head-on. With no other choice, he had to turn back and hide in a crevice. Then he took out a hand grenade he carried with him and threw it at the feet of the police officers.
0:26:52|0:27:12|The deafening explosion and dazzling fire immediately caught the attention of [Lin Kai]. As Luo Zong tried to escape in the chaos, he was hit in the right calf. He then threw another grenade at the police. Following the explosion, [Lin Kai] approached Luo Zong and urgently said.
0:27:14|0:27:31|After identifying the incoming person, Boss Luo put away the gun and immediately got into the back seat of the car. Subsequently, [Lin Kai] accelerated out of the pile of goods, but unfortunately, the police car behind was still in hot pursuit. At this moment, another police car turned into the intersection ahead.
0:27:31|0:27:43|Seeing that he was about to be surrounded, [Lin Kai] suddenly turned the steering wheel and drove into the warehouse. In the chaos, the vehicle knocked down the goods along the way, while the police kept shooting from behind.
0:27:46|0:28:8|Soon, [Lin Kai] drove the vehicle crashing through the gate, landing on the railway tracks and swerving away crookedly. A leader, who appeared out of nowhere, was now wearing a police cap, looking in the direction where [Lin Kai] was escaping, and let out a deep sigh. Inside the car, Manager Luo was pointing a gun at the back of [Lin Kai]'s head while tending to the wound.
0:28:10|0:28:16|[Lin Kai] disdainfully glared at Manager Luo. Manager Luo ignored him.
0:28:17|0:28:25|Taking off the scarf around his neck, [Lin Kai] tightly wrapped it around his calf. After pausing for a moment, he then took out his phone from his pocket and made a call.
0:28:27|0:28:42|After the call connected, he shouted at the other party to come to the riverbank to pick him up after the accident. Soon, they arrived at the riverbank. [Lin Kai] followed suit, stopped the car. As he got out of the car and stood still, he turned around and saw,
0:28:42|0:29:3|Mr. Luo leaned against the door, still pointing the gun at himself. Looking at the loaded gun, [Lin Kai] felt helpless and had to comply. So, he walked step by step towards the direction of the river. Mr. Luo, seeing this, limped along behind him, holding the gun, maintaining a distance of three steps.
0:29:3|0:29:13|At this moment, the sky is already bright. In the murky river water, Luo Zong is holding [Lin Kai] hostage, making him carry him on his back and swim to the other side.
0:29:14|0:29:34|He held a gun in one hand and tightly embraced [Lin Kai]'s neck with the other, putting all his weight on top. Finally, the two of them swam to the shore. Luo Zong groaned in pain because of his wound. Under threat, [Lin Kai] supported him and they arrived at the dense jungle on the side. Then, they both collapsed from exhaustion.
0:29:35|0:29:57|During a moment of catching his breath, a rustling sound could be heard. As [Lin Kai] just opened his eyes, he saw a person approaching him with a gun. Before he could even get up, he was knocked unconscious. Later, a group of people arrived at the notorious Golden Triangle area. [Lin Kai] was blindfolded, his hands and feet tied, and thrown into the back of a vehicle.
0:29:57|0:30:7|In the front row, a woman wearing sunglasses occasionally looked back at him, then picked up the walkie-talkie and made a call.
0:30:14|0:30:23|After a brief response from the father of the woman in sunglasses, he hung up the phone. The camera then zoomed out to reveal that he was actually sitting in a room that looked like a prison.
0:30:24|0:30:44|On the exquisite redwood table, neatly arranged tea sets are placed. He picked up a bowl of hot water, tilted his head back and drank it all in one gulp. At this moment, a group of people led by the woman in sunglasses arrived at the lumber factory deep in the forest. [Lin Kai] was blindfolded and thrown to the ground. Soon after, two cars slowly drove up the narrow road from deep within the forest.
0:30:47|0:31:10|Shortly after, the car stopped in front of the gate of the lumber factory. Seeing this, the subordinates stood up straight to greet. Boss Luo, with a cigarette in his mouth, sat on a wooden stake, wiping his gun. At this moment, his fully armed men respectfully opened the car's back door, and a middle-aged man wearing a straw hat, waving a handkerchief, got out of the car. The woman in sunglasses stood up straight and went to meet him.
0:31:10|0:31:30|It turns out, he is the father of the woman in sunglasses. Ignoring Li Jianguo who approached him, he played with the matches in his hand and walked straight towards Lin Kai. Then, he sat directly on the chair opposite Lin Kai. His two henchmen stood behind him obediently.
0:31:48|0:31:55|The father of [Mo Jing] reached back and took the gun.
0:32:9|0:32:22|The father of the woman in sunglasses aimed a gun at [Lin Kai], seemingly contemplating something. Then, he leisurely stood up, and his two subordinates immediately grabbed [Lin Kai] and pressed him in front of him.
0:32:27|0:32:33|As soon as the words fell, the father of the woman in sunglasses emptied the bullets in the gun, leaving only one.
0:32:41|0:32:56|The trigger was pulled, but nothing happened the next second. Watching [Lin Kai] curl up into a ball, Sunglasses Dad raised an eyebrow and fired several more times in a row.
0:32:57|0:33:3|The father of the woman in sunglasses asked with a smile. [Lin Kai] responded through gritted teeth.
0:33:7|0:33:23|Shortly after, the father of the woman in sunglasses signaled to the men holding [Lin Kai]. [Lin Kai] was immediately dragged away. Seeing this, Manager Luo dropped the cigarette in his mouth, limped over to the father of the woman in sunglasses.
0:33:36|0:33:55|The woman in sunglasses, also known as [Qingshui], nodded after listening, then carefully glanced at Luo Dongfang. Seeing this, [Qingshui]'s father vigorously wiped Luo Dongfang's neck with a handkerchief, then turned and left. Before the sun set, Lin Kai...
0:33:55|0:34:8|[Lin Kai] was taken by [Qingshui] and Luo Dongfang in a car, and immediately headed towards the Chinese border. On a fresh morning in Yunlai City, a large number of police and journalists gathered inside the factory.
0:34:27|0:34:50|The leader who has a secret deal with Cheng Yi is now speaking in front of the public. His subordinates are lighting torches in front of the reporters to destroy the drugs. Looking at the leader on the stage, the man with glasses whispers instructions to his colleague. At this moment, Lin Kai and two others drive to the entrance of a vegetable market.
0:35:0|0:35:6|Later, looking at the expressions of [Qingshui] and [Luo Dongfang], he proposed this plan.
0:35:8|0:35:18|Sitting in the back seat, [Luo Dongfang] listened and then leaned forward to threaten him. However, [Lin Kai] ignored him and got out of the car, walking straight into the market.
0:35:18|0:35:35|At this moment, the man wearing a hat was trading with a vegetable vendor, exchanging drugs for money. After pocketing the drug proceeds, he took out a notebook he carried with him and started jotting something down. Just as he put the notebook back in his bag, he turned around and saw [Lin Kai].
0:35:36|0:35:44|[Lin Kai] ignored it and took the notebook. Then, he tore out a page.
0:36:11|0:36:26|[Lin Kai] just slipped a note into Xiaobei's shirt pocket and secretly took his phone. Inside the police station, the phone of the man with glasses rang, and he abruptly pulled open a drawer to reveal the least used emergency phone.
0:36:33|0:36:38|[Lin Kai] didn't wait for the phone to be answered, he pushed Xiaobei to the ground and returned the phone in one swift motion.
0:36:55|0:37:7|On the narrow road, [Cheng Yi] driving a luxury car suddenly received a phone call. Hearing the continuous ringing, he lowered his head to pick up the phone from the seat, glanced at it, and then answered the call.
0:37:11|0:37:24|As soon as the words fell, Lin Kai's car was violently hit from behind. Then, Laoying's men with guns arrived at the side of Lin Kai's car and forcefully dragged him out of the driver's seat.
0:37:25|0:37:34|[Luo Dongfang] took his phone from the seat. Seeing [Cheng Yi] pinned in the back seat of his car, [Lin Kai] stepped on the gas pedal and accelerated out.
0:37:35|0:37:42|Listening to the frightened gasps of [Cheng Yi], [Luo Dongfang] sitting beside him spoke.
0:38:9|0:38:17|Qingshui listened and then dialed Wang Bo's number, and then handed the phone to Cheng Yi.
0:38:24|0:38:36|With a gun pointed at his forehead, [Cheng Yi] could only comply. The scene shifts to an abandoned building where [Cheng Yi] and [Wang Bo] are hanging, with broken glass beneath their feet.
0:39:34|0:39:42|[Luo Dongfang] suddenly raised his hand and shot towards [Cheng Yi]'s thigh. Then, he walked up to [Wang Bo] with a phone in hand and pressed the play button.
0:39:56|0:40:2|Upon finishing speaking, [Lin Kai] slowly raised the muzzle and aimed at the side of [Laoying]'s face.
0:40:12|0:40:23|[Luo Dongfang] took back the gun, turned around, and looked at the coughing [Cheng Yi]. [Cheng Yi] answered cautiously.
0:40:24|0:40:46|Next, Laodongfang fired continuously, and Cheng Yi suddenly fell silent. At this moment, one of Laodongfang's men quietly approached Lin Kai from behind. Just as Wang Bo breathed a sigh of relief, he saw Laodongfang pointing in Lin Kai's direction. The man who had just approached immediately raised his gun and moved forward to confront Lin Kai.
0:40:47|0:41:3|Who knew, [Lin Kai] dodged and used his body to block Luo Dongfang's shots. Then, he quickly took care of the others and hid behind a cement pillar. At this moment, Luo Dongfang and [Qingshui], who were hiding behind their respective cement pillars, signaled each other with their eyes.
0:41:3|0:41:15|Lin Kai was the first to step forward, while Qingshui took a shot from the other side. They coordinated their attack, walking out from behind the pillar one after the other, strolling in Lin Kai's direction.
0:41:16|0:41:24|Seeing that Luo Dongfang was about to approach the cement pillar where [Lin Kai] was hiding, suddenly, [Lin Kai] noticed several gas tanks on the open space diagonally ahead.
0:41:25|0:41:43|After several consecutive shots, multiple leaking gas tanks spun and flew towards the corner where Lin Kai was standing. Lin Kai reacted quickly, crouched down and fired again. The explosion directly sent Luo Dongfang flying out. Then, seizing the opportunity, Lin Kai pursued him and shot him in the shoulder while he was unable to get up.
0:41:43|0:41:48|Later, [Laoying] approached [Qingshui] from behind and disarmed her of her pistol.
0:41:51|0:41:59|[Rodongfang] lay on the ground, clutching his wound, while [Lin Kai] threatened [Qingshui] with a gun.
0:42:0|0:42:15|[Lin Kai] did not answer, but pushed the muzzle forward again. Helplessly, [Qingshui] took out his phone, dialed a number, and handed it to [Lin Kai] behind him. His father's voice came through the phone.
0:42:32|0:42:55|Continuing, he calmly agreed to Lin Kai's conditions and hung up the phone first. Inside the building, Laoying held his injured shoulder, sweating profusely. Then, under Lin Kai's coercion, the three of them left. The scene shifted to a man eating instant noodles in the dormitory.
0:42:58|0:43:2|After the man with glasses was stripped naked by several police officers, they carefully searched his personal belongings.
0:43:24|0:43:35|After taking the note, Lin Kai found only a scribbled "wait" on it, so he nodded knowingly. On the other side,
0:43:39|0:43:53|He held a gun against the back of [Lin Kai]'s head, forcing him to drive obediently, while observing the surroundings. As they entered a dense forest, suddenly, he realized that his phone had completely lost signal, and he looked out the window.
0:43:53|0:44:11|There were many signal jammers covered with leaves not far away. At this moment, [Qingshui]'s father waved a handkerchief and walked into the lumber factory, followed by many henchmen holding guns. [Lin Kai] then pointed a gun at [Luo Dongfang] and looked at him quietly.
0:44:12|0:44:19|[Qingshui]'s father stood opposite [Lin Kai], casually waving the handkerchief in his hand, gently creating a breeze.
0:44:27|0:44:33|Qingshui's father lowered his head and smiled.
0:44:42|0:44:53|[Lin Kai] held a gun against [Laoying] as a threat, then smiled and looked at [Qingshui]'s father. [Laoying] hung his head in guilt.
0:45:6|0:45:13|Qingshui's father listened, one hand supporting the chair, the other using a handkerchief to cover his nose and sniffed, then said.
0:45:42|0:46:2|At this moment, [Lin Kai] suddenly smirked, turned the gun, pointing it at [Qingshui]'s father. Then, he loosened his right hand and handed the gun over. After [Qingshui]'s father took it, he forcefully aimed at Luo Dongfang's forehead, then walked over to [Qingshui].
0:46:8|0:46:23|After explaining with tears in his eyes, he turned around and returned to [Lin Kai], reaching out to forcefully slap him to the ground. The scene then shifts to the hospital. The man in glasses, accompanied by a few henchmen, walks through the corridor and enters Wang Bo's hospital room.
0:46:26|0:46:31|Then he showed his police officer badge to him. It turned out that his name was [Li Jianguo].
0:46:34|0:46:41|On the other side, [Qingshui]'s father, accompanied by two henchmen, arrived at the second floor of the lumber factory, then walked up to [Lin Kai].
0:46:42|0:47:3|At this moment, [Lin Kai] was tied to a chair, his limbs hanging limp, his skin torn and bleeding. Then, [Qingshui]'s father raised his hand as a signal, and his men immediately lifted a bucket of water and poured it over [Lin Kai]. The additional stimulation immediately brought [Lin Kai] back to consciousness, as he lifted his head and weakly swayed.
0:47:4|0:47:16|[Qingshui]'s father sat across and asked. Water kept flowing down [Lin Kai]'s injured cheek, but he just spat out a mouthful of water without saying a word.
0:47:17|0:47:42|Shortly after, [Qingshui]'s father gestured again, and a henchman immediately brought a piece of cloth to cover [Lin Kai]'s face. Another person poured wine into his mouth and nose. After the cloth was removed, [Lin Kai] continued to vomit out the wine. [Qingshui]'s father leaned forward, fanned the air with a handkerchief, and then spoke again.
0:48:18|0:48:34|[Qingshui]'s father gritted his teeth and walked away after speaking, while his men swarmed in and covered [Lin Kai] with a cloth again, pouring alcohol over him. [Lin Kai] struggled incessantly, but his limbs were firmly held down. [Qingshui] looked on with pity from the side.
0:48:35|0:48:44|At this moment, [Qingshui]'s father knelt in front of the Buddha hall. Looking at the portrait of the woman in the Buddha hall, he said contentedly.
0:48:45|0:48:50|The scene shifts to a wooden house by the river. [Lin Kai] is lying unconscious on the floor.
0:48:51|0:49:11|In a haze, he seemed to see an old man walking towards him. The man held a tray, squatted down beside [Lin Kai], placed things on the ground, lifted [Lin Kai]'s arm, tied a rubber tube around it. After tapping a few times to find the vein, he pulled out the syringe and injected medication into his arm.
0:49:12|0:49:17|The scene before him became chaotic, and [Lin Kai] was lost in memories.
0:49:30|0:49:49|There is also a scene of police training. Multiple images constantly interweave, and [Lin Kai] faints in pain. When he wakes up again, it is already night, and inside the room, the fan is still swaying from side to side. [Lin Kai] lies quietly on the ground.
0:49:50|0:49:59|A little girl first helped him remove the gauze from his arm and clean the wound. Then, she re-bandaged his arm with new gauze.
0:50:0|0:50:18|After the old man helped him up, the girl held a bowl and slowly fed [Lin Kai]. Meanwhile, [Qingshui]'s father was sitting in a room decorated like a prison cell, smoking next to a warm table lamp. A prominent photo of him kissing a beautiful woman in his younger days hung on the wall.
0:50:19|0:50:44|Upon closer inspection, the latter is the woman he referred to as Yunan in the Buddha Hall. On the other side, seeing Lin Kai fall asleep again, the old man once again tied his arms with a rubber tube, then scooped a spoonful of powdered substance from a large jar and mixed it into the medicine. Next, he pulled out a syringe and slowly pushed it into his arm.
0:50:44|0:50:50|[Lin Kai] seemed to realize something, he furrowed his brow and slowly opened his eyes.
0:50:51|0:51:6|But he just mechanically blinked, his eyes dull and unfocused, then he tilted his head and fell into a deep sleep. In the blink of an eye, it was morning.
0:51:19|0:51:36|Seeing that [Lin Kai] was awake, and noticing the car parked on the other side of the river, the old man helped him onto the boat and brought him across. [Lin Kai] looked around at his surroundings, but soon he was grabbed by two men and pulled off the boat.
0:51:36|0:51:45|Qingshui, who was originally sitting in the car, saw Lin Kai approaching and immediately opened the door, got out of the car, circled behind him, and blindfolded his eyes with a cloth.
0:51:46|0:51:54|After leaving the riverbank, the car arrived at a bustling market, drove through the crowded crowd, and continued to move forward.
0:51:56|0:52:1|Informants planted by [Qingshui]'s father are stationed all over the market, silently watching the direction the car is heading.
0:52:2|0:52:20|Blindfolded [Lin Kai] could only rely on his hearing to sense the surrounding noise, while [Qingshui] sat next to him expressionless. The car then arrived at the outskirts and slowly turned into a school. In the empty classroom, [Qingshui]'s father was loudly asking the children who wanted to play with him.
