0:0:38|0:0:41|On a remote country road, a bus rushes past.
0:13:41|0:13:49|[张丽蕾] couldn't help but sniff the fresh scent of the tea tree. [骆明英] followed her lead and picked a tender shoot to introduce to the girls.
0:14:10|0:14:25|[Lu Mingying] had just finished introducing the girls, and they immediately started working vigorously. They danced and ran, dispersing like a group of butterflies in the vast tea plantation, as if they had inexhaustible energy. The fatigue from the morning's journey from the city had all disappeared.
0:14:28|0:14:42|On the other side of the field, there were five or six little boys squatting on the terraced fields like little monkeys, curiously staring at the women workers who came from the city, even singing some vulgar nursery rhymes. The girls, however, paid no attention, waving their hands to drive away the mischievous boys.
0:14:42|0:14:55|Compared to the skilled tea-picking movements of [Luo Mingying], the girls are still somewhat inexperienced, with some even picking chaotically without care. They clumsily imitate the proper technique, with some even making phone calls while picking tea.
0:15:23|0:15:31|A pair of delicate and smooth hands fluttering on the tea tree, the skilled [Zhang Lilei] picking tea is extremely beautiful, just like playing the piano.
0:15:31|0:15:43|Other girls were a bit slow, some didn't know what kind of tea to pick and just picked randomly, while others picked one and carefully compared it in front of them. But everyone was enthusiastically doing their work.
0:15:44|0:15:59|Outside the tea plantation, [Song Daxiong] is looking at [Zhang Lilei], who had just led the girls to sign the contract. [Zhang Lilei] notices his gaze, looks up at him, and [Song Daxiong] immediately smiles at him. However, [Zhang Lilei] does not appreciate it, she lowers her head expressionlessly and continues picking tea leaves.
0:15:59|0:16:12|On the side, Lu Mingying noticed everything and looked thoughtfully at [Zhang Lilei]. With the moon shining brightly, after a long day of work, the girls finally returned to the dormitory, one by one collapsing on their beds, complaining.
0:17:36|0:17:48|The scene shifts, hot water gushes from the shower head in the bathroom, a girl slowly takes off her stockings, dragging her weary body towards the shower room, occasionally humming a few lines of a song as she moves.
0:18:24|0:18:33|The girls in the jade room chatted and laughed, but looking out the window, there were a few unfriendly faces, craning their necks to peer inside the scene in the jade room.
0:18:35|0:19:0|The village chief, holding a flashlight, passed by and discovered the group of boys peeking from the trees. He looked at them with some confusion, then shouted at them. Following their direction, the village chief found himself facing the window of the women's bathhouse, feeling a bit embarrassed. He shone the flashlight at the two boys still peeking in the tree.
0:19:8|0:19:28|After the child climbed down from the tree, the village chief covered his eyes and ran away. The scene shifted, and Zhang Lilei handed a cloth bundle to his mother, "Mom, this is the first batch of sprouting tea this year, I've roasted it for you." Please accept it. Zhang Lilei's mother took out an empty tea canister from the depths of the cabinet, solemnly accepted the cloth bundle, placed the tea leaves to her nose, and carefully savored the hard-earned fragrance.
0:19:28|0:19:35|After pinching another handful of tea leaves and grinding them finely in her hand, [Zhang Lilei] poured the tea leaves into the pot only after confirming everything was in order.
0:21:42|0:22:3|Luo Mingying followed behind [Song Daxiong], and after a while, he continued speaking. Seeing that [Song Daxiong] didn't say anything further, Luo Mingying continued to ask. [Song Daxiong] turned his head to look at Luo Mingying, and the two of them walked forward in silence, quietly pushing open the wooden door of the venue and slowly making their way to their destination.
0:22:3|0:22:9|The next day, at dawn, all the female workers who had said they were quitting last night were ready and waiting, not one missing, in the tea garden.
0:22:37|0:22:43|[Zhang Lilei] finished the fight with her friend before turning around to ask Xiao Juan, who was standing next to Luo Mingying, picking tea leaves.
0:22:51|0:23:1|[Zhang Lilei] was also startled and jumped into the aisle all of a sudden. As the girls panicked and fled in all directions, the village chief arrived at the tea garden with the photographer. Next to him, [Song Daxiong] introduced.
0:24:32|0:24:38|Late at night, the [Song family] watched a clip of journalist interviewing [Zhang Lilei] in the tea garden during the day.
0:25:0|0:25:15|Song Daxiong paid no attention to the quarrel between his mother and sister, but stared straight at Zhang Lilei talking confidently on the TV. In the women's bathhouse at this moment, a girl glanced at the profound Lady, smirked, and winked at the girl next to her.
0:25:32|0:25:44|The girls, in the midst of their playfulness, did not notice the commotion outside the window. The sound of boys struggling to climb trees was particularly loud in the night. As the night grew deeper, at [Song Daxiong]'s home, the Song family of three discussed the female workers.
0:25:59|0:26:3|Song Mu looked at their hurried figures and then turned to Zhang Lilei.
0:26:4|0:26:18|In the office of the tea factory, [Song Daxiong] and the village chief solemnly scrutinize the two little boys standing in front of them, heads down and silent. The two boys stand before [Song Daxiong] and the village chief, heads lowered, eyes cast down, with torn collars and pants.
0:27:4|0:27:10|[Sung Daxiong] anxiously pinched his temples, burying his face in his hands, trying to come up with a solution.
0:27:24|0:27:39|The two little boys didn't move, but instead looked towards [Song Daxiong]. [Song Daxiong] stood up and escorted them out of the office, standing behind them giving instructions. Just a few steps out of the room, the two little boys ran into the girls who had just finished washing up.
0:27:39|0:27:46|They stopped in their tracks as soon as they saw the girls, staring blankly at their backs as the girls murmured softly.
0:27:49|0:27:55|[Songsong] also walked out of the office and came to the village chief helplessly.
0:28:20|0:28:28|Early the next morning, Zhang Lilei was busy building a wall outside the bathroom. The girls who came to wash up were peeking from under the steps.
0:28:39|0:28:43|After everything was settled, the girls arrived at the tea garden and began a day of work.
0:28:44|0:28:54|Luo Mingying, who used to arrive the earliest, was late this time. She was no longer dressed in a plain style with a long coat and pants, but instead wore a fashionable tight skirt with a shirt.
0:29:12|0:29:23|Lu Mingying, feeling a bit embarrassed by the praise, tugged at the hem of his shirt and smiled as he picked up the tea leaves. [Zhang Lilei] quickly walked over to [Zhang Lilei]'s side with a friendly gesture.
0:30:16|0:30:30|[Zhang Lilei] blushed slightly when she heard the praise, tugging at the hem of her shirt. She smiled as she picked up the tea leaves, prompting Youqing to quickly walk over to [Zhang Lilei]. Luo Mingying rolled up her sleeves and moved the tea basket to a different spot, while Lei Youda and the others continued to pick tea on their own.
0:30:33|0:30:55|A while later, [Zhang Lilei] glanced at the female workers around her, quickly tucking the hem of her shirt into her skirt before continuing to work. Shortly after, she carried a basket to an empty corner, looked around to confirm it was safe, and then pulled out the clothes she had prepared from her skirt before returning to the tea-picking team.
0:30:55|0:31:0|At sunset, when it was time to harvest the tea leaves, Zhang Lilei lit a fire to burn the pile of tea leaves on the ground.
0:31:50|0:31:56|The girls behind all squatted down to inspect the leaves, and the girl at the end struggled to support her waist as she squatted down.
0:33:3|0:33:15|The girl from the countryside found that [Song Daxiong] was standing right behind her. She was so scared that she ran away without even taking the stele. Accidentally, a little cat popped out from the knocked-over stele. The girl had to go back, pick up the stele, and leave.
0:33:15|0:33:28|As the sun rises, the tea plantation welcomes a new day. The girls gather on the rooftop in twos and threes to wash clothes. [Zhang Lilei] is holding clean clothes ready to hang them out to dry, while the old lady next to her looks at the underwear in her hands.
0:33:31|0:33:37|[Zhang Lilei] finished speaking, picked up the washbasin, and walked towards an empty space. The older sister behind quickly stepped forward to strike up a conversation.
0:33:51|0:34:14|The elder sister looked curiously in the direction of [Zhang Lilei]. Soon, [Zhang Lilei] walked towards the elder sister holding a jar of face mask. After the elder sister thanked her, she took the face mask and walked away with a washbasin. [Zhang Lilei] smiled lightly and continued to hang up her clean clothes.
0:34:14|0:34:19|Xiaojuan hurried over with heavy steps, breaking the morning tranquility.
0:34:26|0:34:44|[Zhang Lilei] looked down at Xiao Juan for a long time without coming back to her senses, furrowing her brows in confusion. Soon, the female workers gathered outside the tea garden, with Song Daxiong's daughter, Nü Jia, and Luo Mingying standing in front of them holding the contract, the two sides looking at each other.
0:35:30|0:35:38|[Sung Daxiong]'s mother finished speaking and turned to leave. Xiao Juan and Luo Mingying quickly caught up, leaving [Sung Daxiong] and the girls to continue confronting each other.
0:35:53|0:36:22|Of course, there is another way. You can negotiate with them and offer some overtime pay. [Zhang Lilei] didn't respond, silently turned and left. If they were willing, they should have been busy picking tea leaves during the harvest season. However, the tea garden was empty at this moment. It was the first time it had been so quiet since the girls arrived. Used to the hustle and bustle of the past, it felt a bit strange at this moment. In the courtyard of [Zhang Lilei]'s house, his mother was feeding the pigs while pulling grass.
0:36:35|0:36:38|Xiao Juan and Luo Mingying smiled at each other.
0:36:38|0:36:56|At the same time, in the office, [Song Daxiong] sat in front of the computer, skillfully typing on the keyboard. In front of the keyboard lay an open labor contract. He clumsily operated the computer, taking a long time to find the labor law that those girls had mentioned. With his left hand supporting his chin, he leaned on the desk and pondered.
0:36:56|0:37:9|Intently staring at the computer screen. Meanwhile, at the elder sister's home who received the face mask from [Zhang Lilei] in the morning, the elder sister is applying the face mask in front of the mirror. After she finishes speaking, she turns around and leaves. The elder sister suddenly turns around, glaring at her disappearing figure.
0:37:10|0:37:21|In the early morning sun, in the women's dormitory, Ling Youqin had already changed into casual clothes and lazily leaned on the bed. [Zhang Lilei], on the other hand, was all dressed up and ready to go, with a backpack on her back, walking up to her.
0:37:28|0:37:32|[Zhang Lilei] had to go out alone. On the village road, the uncle on the motorcycle took care of her.
0:37:37|0:37:45|Having finished eating, on both sides of the small road, groups of three to five villagers basking in the sun gathered. [Zhang Lilei] stopped in front of a fruit stall.
0:38:23|0:38:39|[Zhang Lilei] found the shallow stream along the winding path, the clear and tranquil water flowing over smooth pebbles, draped in a silk-like sunlight flowing towards the distance, disappearing into the winding mountain cave. She wore headphones, fluttering like a butterfly in the peaceful valley.
0:38:40|0:38:53|With a handful of dogtail grass in hand, [Zhang Lilei] moves up and down occasionally to the sound of music. In the picturesque landscape, besides [Zhang Lilei], there are no other visitors. A water buffalo stands in the stream, slowly chewing on grass with its head lowered.
0:38:53|0:39:1|In the painting "Four Seasons of Dao Yu", there is a resemblance to the scene where [Zhang Lilei] gently brushes the water buffalo's nose with a tuft of dog tail grass in her hand.
0:39:2|0:39:21|The gentle water buffalo is not angry, just quietly allowing itself to be manipulated. Unlike the water buffalo, the small crab in the crevice is not as easy-going. When [Zhang Lilei] picked it up, it vigorously waved its small pincers, ready to fight at any moment. Seeing this, [Zhang Lilei] had no choice but to give up and quickly put the small crab back in its place.
0:39:21|0:39:25|Perhaps due to spending too much time in the city, [Zhang Lilei] is full of curiosity about nature.
0:39:26|0:39:33|Even the small stones by the river, he can play with for a long time, everything around him is so novel.
0:39:33|0:39:51|Rather than a visit to the tea trees, this trip for [Zhang Lilei] seemed more like an outing. He had been playing and fooling around all the way, and finally saw the winding stone steps in the dense grove not far away. Excitedly, [Zhang Lilei] glanced at the layered steps and seized the opportunity to bounce up.
0:39:51|0:40:4|At the end of the stairs is a narrow corridor. Walking along the corridor, a whole new world awaits inside. Unlike the cramped corridor just now, stepping over the last stone step into the temple, everything suddenly becomes clear and spacious.
0:40:4|0:40:25|In the distance, the towering spires reaching into the clouds echo the solemn and majestic temples. A pool of water cascades down from the slope, resembling a small waterfall. In the pavilion at the end of the stone bridge, a abbot is deep in meditation. Standing beside him is a young novice monk, blending harmoniously with the serene and elegant surroundings.
0:40:25|0:40:29|The sound of the temple bell rang out, clear and crisp, lingering in the air.
0:40:33|0:40:40|[Zhang Lilei] heard the long bell sound, smiled playfully, and walked along the moss-covered water bridge to the two monks at the end of the corridor.
0:41:26|0:41:46|The old monk spread out a bamboo curtain filled with scriptures on the table. Then, various tea utensils were neatly arranged in different categories. Dozens of utensils such as tea stoves, tea stoves, and tea grinders were all available. The tea set was well maintained, and the clay teapot revealed a beautiful patina. Paired with its simple and elegant design, it appeared pure and elegant.
0:41:46|0:41:52|Even the water for making tea is carefully prepared. [Zhang Lilei] carried a wooden bucket and walked towards the riverbank on the other side of the stone bridge.
0:41:53|0:42:14|In the style of Su Shi's poetry, fire and water still need to be spewed out like fire, with a light-hearted spirit of taking the soul-dangling stone. A piece of charcoal is lit on the teapot, and the swirling smoke soon disperses. The old monk places the tea axe filled with mountain spring water on the tea stove, picks up a square handkerchief from the side and respectfully touches his hand, before slowly lifting the boiling tea axe.
0:42:16|0:42:30|The water was poured into the teacup from top to bottom, before it cooled down, the old monk immediately picked up the tea chopsticks and poured out the hot water in the teacup. His movements were quick but methodical, Zhang Lilei watched with fascination, nodding in admiration.
0:42:30|0:42:41|The old monk put down the tea chopsticks, picked up the tea axe, and slowly poured the hot water into the teapot placed in the tea pool. The hot water quickly soaked the teapot, and the overflowing tea water rolled in the tea pool.
0:42:43|0:42:57|He poured out the excess hot water from the pot with a flick of his sleeve, then swirled the tea in the fairness cup. By heating the fairness cup with hot water, he cleared out the boiling water in the cup, this is the process of warming the cup. With everything ready, the tea brewing officially began.
0:42:58|0:43:14|The old monk placed the teapot aside, picked up a clay tea canister with his left hand, and held a slender wooden tea spoon with his right hand. In a swift motion, the tea spoon was filled with excellent orange tea leaves. Accompanied by a long bell chime, the delicate curled tea leaves were also sent into the teapot.
0:43:14|0:43:27|The old monk raised the tea axe high, and the mountain spring water turned into a thin stream, slowly flowing into the pot. In the quiet room, a faint tea fragrance filled the air, he placed the gourd-like tea leaves on the fairness cup, and slowly poured tea for [Zhang Lilei].
0:44:3|0:44:21|[Zhang Lilei] stopped the action of drinking tea. This time, following the abbot's method, he did not rush to drink the tea, but instead placed the teacup at the tip of his nose, carefully savoring it. After feeling the rich and mellow fragrance of the tea leaves, he slowly brought the tea to his mouth. Only after he finished drinking did the abbot pour out a second cup of tea.
0:44:21|0:44:27|Standing beside, the young monk handed the teacup to [Zhang Lilei], who tried the tea again following the tea-tasting method.
0:44:56|0:45:14|The melodious sound of the bell rang from afar, and two monks escorted the finished [Zhang Lilei] out of the temple. [Zhang Lilei] smiled as she descended the stone steps. Just as she reached the corner of the stone slab, she turned to wave goodbye to the two monks, but they had already disappeared from sight, leaving only the gentle breeze brushing the branches on the stone walls on both sides.
0:45:14|0:45:17|[Zhang Lilei] sighed with a smile and set off on the road back to the village.
0:45:19|0:45:35|[Zhang Lilei] followed his memory back along the path he had taken earlier. It was already late in the day, and he focused on hurrying along, no longer as distracted as before. Following the directions given by the villagers in the morning, he followed the stream downstream and arrived at a crossroads, somewhat unsteadily.
0:45:35|0:45:46|The stream here is divided into three sections, a situation that Zhang Lilei did not encounter when she came. She looked around the surrounding mountains and forests with some confusion, then decisively chose the path ahead without much hesitation.
0:45:50|0:46:10|The setting sun was setting in the west, with only sporadic rays of the setting sun shining on the earth. [Zhang Lilei] returned to the three-way intersection. His steps were a bit hurried, and his demeanor was not as confident as before. He anxiously observed the road conditions at the intersection and hesitantly stepped onto the small path to the upper left.
0:46:10|0:46:15|The distant roar of a wild beast made him quicken his pace, running hurriedly forward.
0:46:17|0:46:35|After walking on the rocky road for a day, his steps became a bit unsteady. He followed the water flow forward, only to find himself getting further away from the expected route. The howls of wild beasts grew louder, and [Zhang Lilei] quickened his pace. The water source slowly disappeared, and he stood on a large rock without error to observe the road conditions.
0:46:35|0:46:44|Unfortunately, there was nothing here except for overgrown weeds. [Zhang Lilei] anxiously held his head, trying to find the path he had taken among the countless roads around him.
0:46:45|0:47:5|He dashed around like a headless fly, randomly choosing a path and running off. As the sky grew darker, [Zhang Lilei] eventually futilely returned to the three-way intersection, feeling the fear of being lost creeping up on him. He looked towards the distant towering mountains and, in a panic, grabbed his bag and briskly ran up the mountain.
0:47:35|0:47:51|At the same time, in the Song family courtyard, all the men in the village gathered on motorcycles, with dozens of motorcycles turning on their headlights, illuminating the night as bright as day. The grand motorcycle convoy set off one by one in order, embarking on the journey to find Zhang Lilei.
0:47:54|0:48:9|The motorcycle team moved along the winding village road in an orderly manner, with two bikes side by side. The bright headlights were like a surging spring tide, grandly embarking on the path to find someone. They illuminated the quiet night, as well as the way home for [Zhang Lilei].
0:48:14|0:48:30|Dozens of motorcycles formed many dancing dragons, the low roar echoing in the quiet village, the convoy passing through the winding paths in an orderly manner. Crossing the undulating mountain roads, carefully searching for the figure of [Zhang Lilei] in the dense mountain forests.
0:48:30|0:48:47|Although it was summer, the mountain forest was still a bit cold at night, but the simple villagers didn't mind. At the foot of the mountain, the convoy could no longer drive up. They gathered around [Song Daxiong], waiting for his instructions. [Song Daxiong] had a large flashlight hanging from his waist.
0:48:47|0:48:54|He struggled to take out his phone and dialed Zhang Lilei's number.
0:49:6|0:49:33|The cheers from the crowd lifted [Zhang Lilei]'s spirits, her expression gradually softened, no longer as flustered as before, gradually relaxing. [Song Daxiong] comforted [Zhang Lilei] while searching in the mountains.
0:50:10|0:50:13|[Zhang Lilei] looks at [Song Daxiong].
0:50:48|0:51:9|[Mrs. Song] took out an empty tea canister, turned around and continued to search in the cabinet. She pinched a few buds of tea and put them into the canister, and finally just poured them all in.
0:51:14|0:51:25|[Jenny] then took the flashlight, while [Mrs. Song] watched her leave the room. She stood at the doorway holding a tea canister, constantly looking around with worry and sorrow written in her eyes.
0:51:25|0:51:35|The night was deep, [Xiao Juan] walked alone on the desolate path, her slender body showing no sign of fear. She arrived at a house with a tea canister in her arms and knocked on the door forcefully.
0:51:37|0:52:1|However, no one opened the door, and he went from house to house with an empty can, inquiring. As each big door opened, the empty teahouse gradually filled with tea from different households, carrying the simple goodwill of the villagers and the unique blessings of the people. The tea, along with the blessings, was sent out. These teas had no distinction of high or low, perhaps the tea had value, but the villagers' blessings were priceless.
0:52:6|0:52:34|When Xiao Juan pushed open the dormitory door with a tea canister filled with concern, [Zhang Lilei] was surrounded by the girls who were comforting her. Everyone looked towards Xiao Juan, "Lilei, this is Baijia tea. My mom said if you drink this tea, the cold in your body will be gone, and you won't get sick." [Zhang Lilei] looked at Xiao Juan in confusion, tears gradually filling her eyes. Seeing her lack of response, Xiao Juan took the initiative to hand her the tea canister.
0:52:35|0:52:53|The night of Xuan Xiao finally passed, and the next day dawned. In the misty morning, Zhang Lilei followed a small path to the tea garden. The garden was shrouded in clouds and mist, appearing as if in a mysterious fairyland. However, Zhang Lilei suddenly stopped in his tracks.
0:53:6|0:53:13|[Song Daxiong] listened and smiled before standing for a long time before leaving. As night fell, the girls gathered around the computer to discuss.
0:53:30|0:53:36|When everyone was amused by the guy on the computer, [Song Daxiong] and [Zhang Lilei] were whispering to each other in a quiet corner.
0:53:52|0:54:2|[Zhang Lilei] nodded thoughtfully after listening, the next morning in the dim light, [Song Daxiong] stood angrily in front of the bathroom, a big hole suddenly appeared on the wall.
0:54:8|0:54:11|[Sung Daxiong] stops [Zhang Lilei] from leaving.
0:54:26|0:54:45|[Song Daxiong] nodded awkwardly at Jing Le. Zhang Lilei turned around and looked at [Song Daxiong]. [Song Daxiong] sighed with a bitter smile. Seeing [Song Daxiong]'s reaction, Zhang Lilei laughed and ran away.
0:54:45|0:55:0|In the afternoon, as the ladies finished their day's work and inspected the day's results at the inspection point, a luxurious car suddenly drove into the tea factory with the roar of an engine.
0:55:13|0:55:17|In the curious gazes of everyone, [Zhang Lilei] lowered her head and slowly raised her hand.
0:55:19|0:56:16|We saw online that there is a type of tea called "Daughter Fragrance," right? Zhang Lilei nodded. The young man in a suit and the foreign boss explained that the girl in front of them is the one who sells tea online. The foreign boss immediately greeted Zhang Lilei, who responded gracefully. In the dormitory, Zhang Lilei slowly took off her solemn clothes, and her friend helped her put on a traditional off-the-shoulder qipao with intricate clasps. Seeing Zhang Lilei so calm, her friend was a bit worried. "Are you sure you can do this?" "No problem. I've seen the world. If I can help [Song Daxiong] sell tea successfully once, it would be a way to repay him." Shortly after, the elegantly made-up Zhang Lilei walked into the meeting room. She gracefully passed by the tea factory workers on both sides and the foreign businessmen who came to buy tea, and slowly sat down at the tea table. All eyes were on her as she smiled slightly and reached for the tea cup displayed on the table.
0:56:19|0:56:37|Zhang Lilei's hand, however, seemed to have a mind of its own, as the teacup wobbled uncontrollably in her grasp. Unfazed, Zhang Lilei steadied herself, arranged the teacup neatly, and attempted to pick up the teaspoon. No matter how hard she tried, the teaspoon remained stuck. Frowning slightly, she quickened her movements.
0:56:39|0:56:56|He made a clever move, taking out the tea spoon but leaving other tea utensils scattered on the table. He tidied up the messy table, but then put the tea spoon filled with tea leaves into the public cup. The chaotic order made everyone look at [Zhang Lilei] nervously.
0:56:56|0:57:7|[Zhang Lilei] continued with trembling hands, but the more flustered he became, the more chaotic his movements were. He poured the tea leaves from the fairness cup into the tea bowl, glanced at the stunned crowd, and took a deep breath.
0:57:13|0:57:33|The resigned big teapot was quickly delivered. Despite some cracks and tea stains faintly visible on the teapot due to long-term use, [Zhang Lilei] handled it with ease. She placed the teapot on the table, pinched a handful of Baijia tea leaves into the pot. The boiling water was poured directly into the pot, and she nodded satisfactorily as she sat down.
0:58:38|0:58:49|In the eyes of her applauding friends, tears welled up. Everyone was amused by her, and [Zhang Lilei] stood up and walked towards the crowd.
0:58:56|0:59:20|[Zhang Lilei] handed the tea cup to the foreign businessman next to her. The whole village looked at her, waiting for the final judgment. After taking a sip, she nodded and kept praising the rich and fragrant tea from her daughter's hometown. Hearing this praise, everyone breathed a sigh of relief.
0:59:20|0:59:22|Night falls, [Song Daxiong] grips the motorcycle carrying [Zhang Lilei].
1:0:14|1:0:21|Oh, [Zhang Lilei] stared straight at the lake and hesitantly spoke.
1:0:27|1:0:31|[Sung Daxiong] kept touching his pants leg and continued speaking.
1:0:58|1:1:0|She shed a tear as she left.
1:1:12|1:1:26|[Zhang Lilei] scrutinized [Song Daxiong] with her eyes. [Song Daxiong] shyly turned his head, and [Zhang Lilei] smiled at his reaction. Under the bright moonlight, [Zhang Lilei] took off her clothes, like a fairy bathing in the Heavenly Pool in a story.
1:2:29|1:2:36|[Zhang Lilei] suddenly sneezed, and [Song Daxiong] turned around with concern, quickly covering his eyes when he saw her smooth back.
1:2:37|1:2:47|After Zhang Lilei finished writing, Song Daxiong escorted him back to the dormitory entrance. Song Daxiong couldn't bear to look at Zhang Lilei.
1:3:20|1:3:25|Tea workers and various tea-making machines appeared in front of the two in the courtyard.
1:3:56|1:4:2|Wei Jiafeng's tea is tumbling in the machine, going through a series of processes, and ultimately transforming into tea.
1:4:4|1:4:9|[Sung Daxiong] leads [Zhang Lilei] as they continue to walk towards the front of the factory building.
1:4:44|1:4:49|[Sung Daxiong] walked towards the innermost room, looking at the tea-making tools inside with a smile.
1:4:51|1:5:0|He confidently lit the stove, the blazing fire heating up the tea pot. With everything prepared, he stood up and the tea roasting officially began.
1:5:15|1:5:33|[Sung Daxiong]'s rough hands kept stirring the tea leaves in the pan, the dried tea leaves in his hands tumbling and gradually taking shape, the faint fragrance of tea permeating the air. [Zhang Lilei] stood aside observing his skilled movements, hesitated for a while, and finally placed her hand on [Sung Daxiong]'s arm.
1:5:33|1:5:42|[Song Daxiong] was taken aback by his actions and looked nervously at the shy-faced [Zhang Lilei]. Guided by [Zhang Lilei], their hands slowly intertwined.
1:5:43|1:5:58|[Song Daxiong] stood there dumbfounded, allowing himself to instinctively follow [Zhang Lilei]'s movements. [Zhang Lilei] raised her hand and gently approached [Song Daxiong]'s lips. In the quiet night, their hearts drew closer and closer, with warm lips already touching.
1:5:58|1:6:2|[Sung Daxiong] quietly reached out his arm and pulled [Zhang Lilei] into his embrace.
1:6:3|1:6:17|They were passionately kissing in the night, instinctively wanting to hold the person in front of them, without noticing when Luo Mingying appeared at the door. [Song Daxiong] suddenly looked up and saw Luo Mingying at the door.
1:6:24|1:6:32|Luo Mingying finished speaking and turned to leave, leaving the room in an awkward silence, with only the tea leaves in the teapot emitting a faint fragrance that no one paid attention to.
1:6:34|1:6:41|After a chaotic night, in the courtyard of the Song family, Zhang Lilei's mother looked at the girls picking tea in the distance.
1:6:47|1:7:2|After Mrs. Song finished speaking, Xiao Kou sipped her tea. Song Daxiong, who was watering the vegetables, turned his head upon hearing this and looked at the girl in the tea garden behind him, a happy smile appearing on his simple and honest face. In the tea garden, the girls were also discussing their own topics, and Lian Youqing ran towards Zhang Lilei.
