0:2:44|0:2:48|Shen Lian felt a tightness in his heart as he watched.
0:8:25|0:8:47|This is [Ling Yunkai], who is preparing to directly challenge [Shen Lian]. [Shen Lian] is obviously a superior, so [Ling Yunkai] does not dare to act rashly. [Ling Yunkai] widens his eyes, looks around in confusion, and earnestly says,
0:9:25|0:9:34|[Shen Lian] dragged the young apprentice out of the kitchen cabinet, while [Ling Yunkai] in the front hall sketched the crime scene on a small notebook with a wolf hair brush.
0:9:52|0:10:5|Yin Cheng's words reached Ling Yunkai's ears. At that moment, Shen Lian was searching for the killer at the back door, while Yin Cheng casually chewed peanuts and drank wine in the main hall.
0:10:47|0:11:3|[Yin Cheng]'s wine glass was smashed, he turned around angrily, only to see it was [Shen Lian]. [Shen Lian] grabbed his collar and pushed him out, leaving the humiliated [Yin Cheng] ignored.
0:11:5|0:11:15|Ling Yunkai blocked the way. His men surrounded Yin Cheng.
0:11:28|0:11:46|[Yin Cheng] looked at [Shen Lian] in panic, while [Shen Lian] glared angrily. Ling Yunkai followed [Yin Cheng]'s gaze and pointed at each one in turn. Ling Yunkai pursed his lips and said displeasedly, reaching out to pat [Yin Cheng]'s shoulder.
0:12:2|0:12:14|Ling Yunkai stared at [Shen Lian] intently. If anyone dared to step forward to rescue her at this moment, they would be labeled as accomplices. As for [Yin Cheng], having his hat removed was one thing, but he was not happy about having his sword taken away.
0:12:23|0:12:59|[Yin Cheng] hurriedly ran out the door, [Shen Lian] watched as [Yin Cheng] fled, thinking about the current strategy, while also warily watching Ling Yunkai approaching slowly. He looked exaggerated, continuing to make things difficult for [Shen Lian]. [Shen Lian]'s brothers behind him couldn't help but feel nervous, and several of his men quickly left this troubled place.
0:13:2|0:13:30|[Yin Cheng] dashed through the crowd with the Jin Yi Wei closely following behind. In the bustling street, [Yin Cheng] casually pushed over a pedestrian carrying a brazier, spilling charcoal all over the ground, slowing down the pursuers. He ran into the alley of taverns, where on both sides of the road were restaurants and inns, with a small river in the middle. During festivals, this place was the liveliest spot. [Yin Cheng] struggled to move forward in the crowd.
0:13:30|0:13:44|With pursuers closing in on both sides, [Yin Cheng] decided to slow down and face them in a battle. The leader of the Jin Yi Wei leaped forward with a kick, but [Yin Cheng] blocked it with his sword, then delivered a punch to the face of the oncoming pursuer, followed by a kick that knocked down three or four more.
0:13:44|0:13:50|Turning around, [Shen Lian] leaped into the pleasure boat and then pushed the boatman into the water. He held a knife to the boatman's neck and urged,
0:13:52|0:14:9|The only boat on the small river was taken by [Yin Cheng], leaving the Jinyiwei on both banks helpless. Seeing this, [Yin Cheng] finally breathed a sigh of relief, adjusted his breathing, and soon the boat sailed out of the bustling area. [Yin Cheng] sat down to rest, leaning on his knife.
0:14:9|0:14:29|As he looked up, he saw a figure of a Jin Yi Wei standing on the small bridge ahead. [Yin Cheng] quickly stood up to prepare for the enemy, but as he approached and saw that it was [Shen Lian] under the moonlight, he suddenly felt the urge to retreat. [Shen Lian] leaped up and executed a powerful move, causing the bow of the boat to rise high and then quickly smash down, creating a huge splash of water.
0:14:29|0:14:51|The embroidered uniform guard [Yin Cheng] also struggled to stabilize his posture, resentment brewing in his heart, fear turning into courage, as he swung his blade down, only to be blocked and pushed back by [Shen Lian]. Unwilling to give up, [Yin Cheng] attempted to advance with his sword, but was ultimately subdued by [Shen Lian], who disarmed him and threw the sword into the lake. The boatman, thinking he was about to be executed, was so frightened that he jumped into the lake and fled.
0:14:56|0:15:10|[Shen Lian], with furrowed brows and glaring eyes, unable to contain his anger, unexpectedly released [Yin Cheng] at this moment. He gazed at the kneeling [Yin Cheng] in front of him, and after a long while, the experienced [Yin Cheng] naturally understood the severity of the situation.
0:15:12|0:15:46|He calmly drew the dagger from his waist, [Yin Cheng] raised the dagger and looked at [Shen Lian] with a determination to die. The small boat drifted slowly along the water, passing under the bridge. The moonlight shimmered on the water inside the arch bridge. [Yin Cheng] firmly turned the dagger around, then with both hands, he stabbed it into his throat. It wasn't over yet, as he desperately cut a gash before finally pulling out the dagger and dropping it.
0:15:46|0:16:4|People fell down one after another, watching as [Yin Cheng] ended his own life. [Shen Lian] felt a sense of chaos in his heart. Just then, [Ling Yunkai] arrived with his men. They all gathered at the railing, perhaps hoping to catch [Shen Lian] in the act of fleeing.
0:16:4|0:16:23|They watched eagerly as the boat sailed out of the bridge, [Shen Lian] sheathed his sword, while [Yin Cheng] lay on the boat, now a corpse, the two men on opposite banks. Among them, [Ling Yunkai] succeeded in his scheme, while [Shen Lian] was tricked and silently took note of it.
0:16:23|0:16:40|In a small pavilion deep in the mountains and forests that day, [Shen Lian] was calculating [Yin Cheng]'s destiny. A monk named Jing Hai opened a package.
0:16:56|0:17:16|[Shen Lian] selected a painting by [Bei Zhai], which depicted a black rooster about to eat a grasshopper. Suddenly, a muffled thunder sounded in the sky, and rain poured down on the pond, getting heavier by the moment. The two did not exchange many words, as the rain in the mountains was unpredictable.
0:17:16|0:17:32|[Shen Lian] simply embarked on the journey home. On the forest path, [Shen Lian] ran a few steps and then stopped to look at the sky, touching the painting, afraid it would get wet again. Seeing there was still a mountain road ahead, he feared it would be difficult to preserve the painting, so he looked down at the pond.
0:17:32|0:17:47|In the reflection, a figure approached, decisively [Shen Lian], drawing his sword. However, upon looking up, he realized that the person was a graceful woman holding an oiled paper umbrella for him. With a slight frown and a smile in the mirror, she shyly revealed her beauty.
0:17:50|0:18:16|With almond-shaped eyes and snow-like cheeks, lips as red as clouds and hair as bright as the moon, [Shen Lian] lowered his eyes and sheathed his sword, then took a closer look. His demeanor was graceful like a startled swan, majestic like a dragon. From afar, he shone like the rising sun at dawn; up close, he was radiant like a lotus emerging from clear water after a light rain, exuding a soft and charming aura. Walking towards him, an old man in a patched robe and a bamboo hat exclaimed,
0:18:48|0:18:58|The girl, not afraid to question back, when these words came out, [Shen Lian]'s fierce eyes, surprisingly, couldn't muster up any sharpness against those tender eyes.
0:18:58|0:19:29|The girl didn't turn around. The thunder sounded, as if urging the two, [Shen Lian] looked up, and the dark clouds dispersed. Sunlight shone through and sprinkled on this mountain forest. The girl's eyes were playful. She closed the umbrella and walked towards another path. [Shen Lian] gazed at her figure and long hair. Only then did he come to his senses. At this first sight, [Shen Lian] couldn't describe the feeling in his heart, only feeling indescribably wonderful.
0:19:29|0:19:44|On one side, a sudden rainstorm is brewing, while on the other side, it has just begun. Grand Secretary Wei Zhongxian is fishing at the Pavilion in the center of the lake near the imperial palace, with hundreds of soldiers standing guard and dozens of civil officials holding documents waiting on the side.
0:20:19|0:20:29|[Lu Wenzhao] hunched over with a fish basket, wearing a flattering expression, while [Wei Zhongxian] in luxurious attire seemed distracted, his eyes vacant and not paying attention to the fish biting the hook.
0:20:29|0:20:50|[Lu Wenzhao] leaned forward to remind [Wei Zhongxian], who was busy with his fishing rod, to engage in a struggle with the fish. However, with a sudden tug, there was no response at all. Getting anxious, [Lu Wenzhao] cautiously approached the water's edge, afraid of splashing water and ruining the enjoyment of the factory owner.
0:20:50|0:21:3|He slowly moved forward in the water, the new robe on his body seemed unimportant now, it was the fish caught by [Chief Zheng] that mattered. He reached out and grabbed the fish that had been hooked, this fish had a big head and struggled fiercely.
0:21:3|0:21:15|Having just come down from the battlefield, [Lu Wenzhao] also struggled to subdue him. Once on shore, [Lu Wenzhao] knelt in front of [Chief Zheng], offering the fish with both hands, but [Chief Zheng] casually threw it away.
0:21:18|0:21:54|[Lu Wenzhao] gasped and said seriously, [Wei Zhongxian] looked empty-eyed and weak, before [Lu Wenzhao] could speak, [Chief Zheng] gave him a cold look. [Lu Wenzhao] lowered his head, dared not speak, and did not expect any tasks.
0:22:6|0:22:40|[Lu Wenzhao] immediately beamed with joy, [Chief Zheng] stood up, and the two eunuchs behind him dragged the court robes to clear a path through the crowd. As [Wei Zhongxian] was escorted back to the sedan chair, [Lu Wenzhao], who was still kneeling in place, caught sight of the fish and couldn't help but smile. Back at the mansion, [Lu Wenzhao] devoured the fish, then set down his chopsticks and picked up a brush to draw a cross on [Yin Cheng]'s nameplate.
0:23:48|0:24:6|After that, [Shen Lian] pushed open the door of the cabin in the woods and hurried away. Although they were usually adversaries, at this moment they were partners. The Jinyiwei were meticulous in their work, and the two of them, one in front and one behind, effectively blocked the entrance to the cabin. [Shen Lian] circled around to the back of the house, drew his sword, pried open a window, and caught a glimpse of a figure.
0:24:10|0:24:41|Seeing [Ling Yunkai] has broken in, [Shen Lian] hides in the room from the window. The two coordinate with each other, one in the light and one in the dark. [Shen Lian] checks the wardrobe and bed, then crosses over to the tea table and picks up a red seal. Walking over, [Shen Lian] tosses the seal to [Ling Yunkai]. Hearing this, [Ling Yunkai] places the long knife on the table. Behind him stands the painter known as [Bei Zhai]. When [Shen Lian] turns around, she recognizes her as the woman who handed him the umbrella earlier.
0:24:41|0:25:8|[Ling Yunkai] pinched [Bei Zhai]'s chin, then stamped the seal with his bad breath on her face. Mr. [Bei Zhai], who was insulted, immediately shed tears. [Ling Yunkai] held a knife to [Bei Zhai]'s neck, frightening her to shrink back and dodge. Her tender white neck was particularly alluring, and her delicate body wrapped in a light-colored dress couldn't help but tremble. [Ling Yunkai] had evil intentions.
0:25:8|0:25:22|He put away the knife, grabbed [Bei Zhai], pinched her neck and walked towards the inner room. [Bei Zhai] looked weak with tears on one side of her face and a red mark on the other, looking particularly pitiful. Her eyes, filled with pleading, were fixed on [Shen Lian].
0:25:32|0:25:50|[Ling Yunkai] threw him onto the bed, flipping him over. [Bei Zhai] struggled but was no match for this man. [Ling Yunkai] received a slap, then fiercely slapped back. [Shen Lian] turned away, unable to bear it.
0:25:52|0:26:7|[Bei Zhai] was about to be stripped of his thin clothes, a steel knife was placed on [Ling Yunkai]'s shoulder. [Ling Yunkai] turned around to dodge and climbed down from the bed. The steel knife remained close to [Ling Yunkai]'s neck.
0:26:16|0:26:47|The two stood facing each other, with [Bei Zhai] struggling to sit up on the bed and looking over. [Shen Lian] gazed at her with concern. The perceptive [Ling Yunkai] noticed the clues between the two. [Shen Lian] was clearly not good at lying. [Ling Yunkai] bypassed the uneasy [Shen Lian] and patted him on the shoulder. Afraid of causing trouble, [Shen Lian] followed [Ling Yunkai] to the outer room, only to find him bent over the Book of Life and Death, reading aloud.
0:26:52|0:26:56|[Shen Lian] raised his sword and shouted, causing [Ling Yunkai], who was complacent, to startle at the sudden move.
0:26:59|0:27:19|[Ling Yunkai] grabbed the blade of [Shen Lian] and menacingly said, [Shen Lian] felt a bit guilty, as [Ling Yunkai] took the knife and threw it on the table. [Ling Yunkai] kept pressing closer, slapping [Shen Lian]'s cheek and pushing him away.
0:27:19|0:27:45|[Bei Zhai] was peeking at the door at some point, [Shen Lian] frowned and saw [Ling Yunkai] looking fearless. He realized that the situation might not end well, so he prepared to confront him. [Ling Yunkai] picked up the Book of Life and Death, stuffed it into his chest in front of [Shen Lian], and then arrogantly patted it through his clothes.
0:27:45|0:28:11|Outside the window, thunder and rain were raging, but the atmosphere inside the room was no less intense. [Shen Lian] stepped forward to retrieve something, only to be pushed away by [Ling Yunkai]. In the scuffle, [Ling Yunkai] landed a punch on [Shen Lian]'s face. Caught off guard, [Shen Lian] had to step back, holding his face. After a moment to collect himself, he suddenly struck back, slamming his hands down. [Ling Yunkai], not one to back down, blocked the attack with his arms, then swiftly grabbed one of [Shen Lian]'s arms and twisted him into submission.
0:28:11|0:28:23|With another kick, Shen Lian, who was just getting up, was kicked again by Ling Yunkai. Seizing the opportunity, Ling Yunkai drew out the embroidered spring knife. Seeing the opponent brandishing the icy blade, Shen Lian moved forward, dodged Ling Yunkai's attack, and tried to pick up his own knife.
0:28:25|0:28:45|Who would have expected that [Ling Yunkai] would flick the knife into the water tank, his stabbing and slashing attacks were swift, while [Shen Lian] countered by evading and striking in one fluid motion. [Ling Yunkai] seized the opportunity to throw [Shen Lian] over his shoulder and then attempted to stab him with the knife. [Shen Lian] dodged up close and used a move called "rabbit kicking the soldier" to kick him away, flipping over the table. He then took the chance to catch his breath.
0:28:45|0:29:7|[Ling Yunkai] stood up and delivered a horizontal kick, [Shen Lian] somersaulted, with the back of his thigh holding the hilt, snatching the Embroidered Spring Knife. With a blade of ice in hand, [Shen Lian] swiftly turned his attack, placing the knife against [Ling Yunkai]'s neck. Gritting his teeth, [Shen Lian] punched [Ling Yunkai] away, but the latter relentlessly threw calligraphy at [Shen Lian], only to be kicked and thrown into a corner by [Shen Lian], who then leaped forward with another kick.
0:29:7|0:29:15|[Ling Yunkai] dodges quickly, pulls out a dagger and slashes towards [Shen Lian]. [Shen Lian] dodges left and right, seizes the opportunity to grab a pair of scissors. The irrational [Ling Yunkai] stabs wildly, but with no technique.
0:29:15|0:29:41|[Shen Lian] picked up the scissors and stabbed, then delivered an elbow strike to knock [Ling Yunkai] away. Just as [Ling Yunkai] by the water tank got up, [Shen Lian] pressed him back into the water. Seeing the steel knife from before in the water, [Ling Yunkai] hesitated. [Shen Lian] released him, and [Ling Yunkai] drew the long knife from the water to slash [Shen Lian]'s abdomen. Seizing the opportunity, he pursued, but his arm was caught by [Shen Lian] as he tried to strike back, and once again he was pushed into the water.
0:29:41|0:29:52|Perhaps out of instinct, [Shen Lian] skillfully cut open the artery of [Ling Yunkai] with scissors. Even he himself was taken aback, and he quickly stepped forward to check on [Ling Yunkai]'s condition.
0:29:54|0:30:22|Seeing no response even after dragging him out, [Shen Lian] panicked. He accidentally killed [Wei Zhongxian]'s nephew. Lightning struck timely across the sky, startling the onlooker [Bei Zhai]. She hurriedly fled into the room, leaving [Shen Lian] to react and chase after her. Despite his injuries, he agilely leaped out of the window and pursued [Bei Zhai] through the muddy ground.
0:30:22|0:30:44|The wound on his abdomen was still bleeding, [Shen Lian] almost slipped and fell, he chased out of the alley holding his stomach but couldn't see [Bei Zhai]'s figure. Killing the Chief Banner was already enough trouble for him, not to mention being related to [Wei Zhongxian]. This situation was hard to handle. Now [Shen Lian] could only take it one step at a time. The next day,
0:31:13|0:31:38|In the small courtyard of [Bei Zhai], it was bustling with Jinyiwei. Faced with Commander [Lu Wenzhao], he had to tell a lie first. But as he sat dryly at the stone table, he suddenly felt a malicious gaze. The sensitive [Shen Lian] stared with his sharp eyes, and the man with his legs crossed in the distance, nibbling on a snack, stood up when he saw [Shen Lian] looking over, accompanied by a young officer with a sword.
0:31:38|0:31:44|[Shen Lian] had a premonition of trouble when the person sat opposite him so brazenly.
0:31:59|0:32:28|[Shen Lian] frowned and pondered for a moment, giving a look of confusion. [Shen Lian]'s indifferent appearance amused [Pei Lun], who then got up and walked into the room. [Shen Lian] remained silent for a while, then turned around. The game between the two had officially begun.
0:32:28|0:32:35|Entering the room, [Pei Lun] pushed aside [Ling Yunkai]'s collar to check the wound, as answered by [Shen Lian].
0:32:39|0:32:53|[Pei Lun] looked thoughtful for a moment, then smiled. He stood up and took out the Book of Life and Death from his robe. A junior officer beside him bent down and offered a wolf hair brush. [Pei Lun] took the dry brush and actually sharpened it on the junior officer's tongue.
0:32:57|0:33:15|The sergeant led the men into the room for a search. [Pei Lun] gave [Shen Lian] a harmless smile, while [Pei Lun] checked the signs of a fight in the room. Suddenly, he found [Bei Zhai]'s seal on the floor beside the bed, chuckled lightly, and bent down to pick it up.
0:33:22|0:33:28|The junior officer approached and whispered a report to [Shen Lian], who impatiently responded.
0:33:37|0:33:54|[Shen Lian] recalled that after [Ling Yunkai] died, he took out the Book of Life and Death and put it into the fire, burning it clean. [Shen Lian] gestured towards the ground where [Ling Yunkai] lay. [Pei Lun] chuckled lightly, but just as he was about to start writing, he suddenly caught a whiff of fragrance. [Shen Lian] didn't say anything, but he was greatly shocked in his heart.
0:34:38|0:34:59|In the end, staring fiercely at [Shen Lian], the situation just came to an end. [Shen Lian] walked through the street bridge back to his residence. Unconsciously, finding [Bei Zhai] had become the most urgent matter at hand. Just as [Shen Lian] was about to open the door, he noticed a black cat nestling at his feet. He brought the cat inside, and the cat happily ran around in the courtyard.
0:34:59|0:35:16|At noon, [Shen Lian] sat at the door eating pickles and steamed buns, stroking the furry cat. The cat in front of him ran towards the corridor, catching [Shen Lian]'s attention to the letter delivered by arrow. He took down the arrow, looked around, saw nothing unusual, and then opened the letter.
0:35:19|0:35:24|The Ming Code states that those who kill the Jinyiwei are guilty of conspiracy and shall be executed along with their families. At the hour of the dog (7-9pm), at the Cloud Perch Slope in the West Mountain.
0:35:24|0:35:55|Just as [Shen Lian], who had just settled down, was about to sit down, he had to take risks again. It seemed that the only witness, [Bei Zhai], had already been controlled and taken away by someone. At the hour of the dog, the moon shone on the Cloud Perching Slope of the West Mountain. [Shen Lian] arrived as scheduled and heard a flute playing. A figure wearing a hood sat on a strange rock in the bamboo forest, playing the flute. [Shen Lian] cautiously approached step by step with a knife in hand, carefully observing this messenger.
0:35:55|0:36:5|Upon closer inspection, it was a spirited and heroic woman. Without saying a word, she suddenly turned around, leaped over the rocks, and fled into the depths of the bamboo forest.
0:36:5|0:36:28|[Shen Lian] hurriedly chased after, as it was rare to have news of [Bei Zhai]. Regardless, he had to meet up. The two rushed down the bamboo forest on the hillside, obviously the other party was very familiar with this terrain, and quickly found the sloping path in the forest, sliding down. This was a pre-prepared escape route. Even from a high point, [Shen Lian] could only quicken his pace. Even if there was an ambush ahead, he had to take the risk.
0:36:28|0:36:34|[Shen Lian] leaped forward with his sword and struck down, the blade fiercely chopping onto the woman's back, but a metallic clang was heard.
0:36:34|0:36:54|The woman stopped and reached behind for the metal shield. She took off the shield and drew out a short knife from underneath. Then she rubbed the shield hard, making a sound that was not like any ordinary weapon.
0:36:54|0:37:10|And behind [Shen Lian] came a middle-aged man playing with a wolf's teeth club, while a woman in green clothes walked beside him with a sword in hand. Her hair was neatly tied behind her head, with high eyebrows and sharp features, showing no signs of weakness. Yet, she exuded a restrained heroic spirit, a female swordsman.
0:37:50|0:38:22|In the midst of the forest, with the night wind howling, a sense of chivalry soars. Tensions rise, as schemes and plots brew in the shadows. Amidst the glint of blades and the shadows of swords, [Shen Lian] raises his steel sword, wiping it clean. In the dense bamboo forest, moonlight gently falls on the blade, determination gleaming in his eyes as the aura of battle gathers around him. The wolf-toothed club swiftly thrusts forward, [Shen Lian] sidesteps to intercept, the opponent then pulls back the club to deflect the steel sword, and in one fluid motion, swings back.
0:38:22|0:38:29|Shen Lian is smashed and thrown into a bamboo pole.
0:38:34|0:38:57|Shen Lian became alert and realized that the group of thieves was extraordinary. He quickly adopted a defensive stance with his sword in front of him. However, the female swordsman noticed the trick. Shen Lian pretended to run sideways, and as the two caught up, he turned back and attacked the female swordsman. Their weapons clashed, and Shen Lian was sent flying, landing beside a woman named Ding Chong.
0:38:57|0:39:13|The iron club came charging again, [Shen Lian] caught [Ding Chong] and took the blow for him. Seizing the opportunity, he pulled out his hand crossbow, running and shooting at the same time. The arrows pierced the opponent's thigh and then arm. [Shen Lian] rushed towards the female warrior, while his two disciples hurriedly reminded him.
0:39:15|0:39:32|[Shen Lian] wielded the might of thousands of soldiers as she struck down, the female swordsman closed her eyes to heighten her senses, suddenly drew her sword, the blades clashed, the female swordsman pulled the sword horizontally, flipped her wrist and struck down, [Shen Lian]'s sword was unexpectedly cut in one blow, in the blink of an eye, she placed the sword at [Shen Lian]'s neck, revealing a confident smile.
0:39:44|0:40:3|Hearing this, the female swordsman put away her sword and the half-kneeling [Shen Lian] finally stood up. The agreement between the two was reached, and in order to get back [Bei Zhai], [Shen Lian] had to take a risk. That day, heavy guards were stationed in front of the document library door.
0:40:22|0:40:30|The other party checked the identity and handed back both hands. [Shen Lian] took the token and headed straight for the table key, alarming the guards on the spot.
0:40:40|0:41:1|[Shen Lian] turned back unhappily, the newcomer was Chief Zheng from the Eastern Depot, accompanied by [Lu Wenzhao], Captain [Lu Wenzhao] gestured with his hand, [Shen Lian] tactfully made way.
0:41:23|0:41:33|[Lu Wenzhao] humbly bowed his body to escort, the arrogant Chief Zheng walked with his head held high, [Shen Lian] reluctantly handed over the key.
0:41:39|0:42:1|Chief Zheng walked in, and [Lu Wenzhao] turned his face full of smiles slowly. The smile on his face disappeared, replaced by a look of resentment. He walked out straight, and [Shen Lian] followed [Lu Wenzhao] in a hurry, pushing [Shen Lian] angrily.
0:42:5|0:42:31|Like a big brother, although there is dissatisfaction, at this moment still caring for [Shen Lian], deeply trapped in a dilemma, [Shen Lian] is also feeling a bit embarrassed. In the temple, the monk serves the meal, the young monk trembles as he presents the meal to the two Jinyiwei officials. Monk Jing Hai takes the tray, the young monk retreats fearfully. Jing Hai serves the meal to [Pei Lun], who sniffs the vegetarian meal.
0:42:33|0:42:59|In the spacious room, with over a dozen people present, only [Pei Lun] could be heard chewing on the pickled vegetables. He savored the sweetness of the vegetarian meal and happily shared his joy with the junior officer sitting across from him.
0:43:21|0:43:28|Jing Hai's expression changed suddenly, and he became tense immediately.
0:43:48|0:43:58|The scribe glanced at Jing Hai, who was recording, and Pei Lun, who was eating, also stopped. Jing Hai realized he had misspoken, and the scribe looked at Pei Lun with a questioning gaze.
0:44:8|0:44:34|The young officer wrote while reciting, intimidating the frail monk. Anxious Jing Hai pointed at the Book of Impermanence but dared not speak, seeking help from [Pei Lun]. [Pei Lun] set down his chopsticks, glaring displeased at the young officer. The young officer quickly lowered his head, offering up the written record. [Pei Lun] snatched it, leaned back in his chair, squinted his eyes, and casually glanced over it.
0:44:35|0:44:44|One playing the good cop, one playing the bad cop, Jing Hai, who has never faced a storm before, suddenly felt uneasy.
0:44:46|0:45:11|[Pei Lun] tore up the transcript and threw the notebook back, the paper torn into pieces by him. [Pei Lun] took out his pipe, and the little flag beside him lit it up for him. [Pei Lun] smoked contentedly, looking at Jing Hai. At this moment, the once calm and composed Jing Hai was now visibly frightened.
0:45:11|0:45:43|In the afternoon at an inn, the mysterious female warrior known as [Ding Baiying] observed the situation and closed the window. Beside her, [Bei Zhai] was arranging the thatched bed. She brought a blanket, and after a moment of contemplation, [Ding Baiying] lowered her head. [Bei Zhai] stopped his work and sighed softly, "Unsociable" [Ding Baiying] went out, and saw that figure.
0:45:45|0:46:18|[Shen Lian] hurried back home, closed the doors and windows, and pulled out a half-cut-off sword. He carefully examined the blade, then walked to the ancestral tablet in the house. Opening the long box on the table, he found a precious sword inside. He held it up with both hands, the blade and hilt cast as one, the tip of the sword sharp and shining.
0:46:20|0:46:51|Now the precious sword is sheathed, the light rain of the night has just passed, the ground is not yet dry, the patrolling soldiers are lined up neatly, with a solemn military appearance, conducting routine inspections around the archives. [Shen Lian], hiding behind the wall, holds a stick of agarwood, estimating the time. After speaking, [Shen Lian] pulls up his mask. The soldiers on the street gradually move away, and [Shen Lian] also puts on his backpack and starts to move. He is extremely cautious, running while observing his surroundings.
0:46:51|0:47:11|Shen Lian then ran with a burst of energy, taking a big step onto the horse hitch and leaping over the high wall. As he landed gracefully, he ran to the door, took out his tools, and pried it open. The night fell upon this magnificent and grand attic. Shen Lian walked briskly inside, casually lighting a stick of incense in the censer for timing.
0:47:11|0:47:36|He observed the layout of the document room, slowly took off his mask, his eyes fierce and resolute. Then he took off his backpack and started pouring wine. [Shen Lian], who was meticulous from start to finish, poured a circle. After doing all this, he took out a fire starter. Just as he was about to set fire, he saw his reflection in the spilled water and suddenly remembered something?
0:47:50|0:47:58|In a moment of distraction, a spark quietly fell, and [Shen Lian] quickly reached out to catch it, when suddenly a strange event occurred outside the door.
0:48:2|0:48:11|Late at night, [Chief Zheng] inexplicably found himself in the archives, unaware that [Shen Lian] was searching for documents about the emperor's treasure ship.
0:48:12|0:48:26|He quickly found the record of the treasure ship construction, and immediately started flipping through it. [Chief Zheng] also entered the gate of the document storage yard, although he did not detect the scent in the corner, but this smell caught his attention.
0:48:26|0:49:3|The suspicious Chief Zheng walked quickly towards the document room, Shen Lian grabbed a document and flipped through it absentmindedly. Before he could confirm his thoughts, there was a commotion outside. He extinguished the candle in his hand and hurried to the window, crouching down to peer outside through the crack, only to see an empty courtyard.
0:49:4|0:49:22|Turning back to look at the incense burner, the incense was already more than half burned. Shen Lian, who had received the document, gave up setting fire to the archives, put on a mask, and quickly walked out the door. But before he had taken two steps, he found himself being watched. Chief Zheng, who was discovered behind the lamp post, walked out slowly.
