0:0:46|0:0:50|That day, Prince Bei was rushing to the Divine Mechanism Camp.
0:15:55|0:16:3|[Chen Zaiyang] remained silent after hearing this, his serious expression making [Chen Youzhi] nervous.
0:16:58|0:17:5|[Chen Zaiyang] looked at the eager [Yang Luchan] and said as if with a plan in mind,
0:17:12|0:17:22|After Chen Zaiyang performed a series of expansive movements, he stood on one leg with his body leaning almost parallel to the ground.
0:17:24|0:17:30|After saying that, [Chen Zaiyang] continued to demonstrate, with his two legs standing on the ground like wooden stakes.
0:17:31|0:17:38|After demonstrating the movements freely swaying like a dragon above the knees, [Yang Luchan] admired and exclaimed,
0:18:2|0:18:10|At this moment, [Chen Zaiyang] slowly walked up to [Yang Luchan], but instead of helping him, he just picked up [Yang Luchan]'s hat and put it back on his head.
0:18:12|0:18:24|Shortly after, [Chen Zaiyang] turned away contemptuously. At this moment, [Yang Luchan], with his arms captured and kneeling on one knee, had a fierce gleam in his eyes, anger building up.
0:18:25|0:18:34|In the hall, [Chen Ersao] is showing [Jin Yuner] around the Chen family disciples practicing boxing. [Jin Yuner] gestures and asks [Chen Ersao] why she doesn't learn boxing.
0:18:40|0:18:47|Glancing up at the bronze bell above the hall, [Chen Ersao] explained when she saw it.
0:19:3|0:19:13|In the narrow path of Chen Family Valley, [Yang Luchan] broke through a thick stone wall in pursuit of the three who had just captured him. Although [Chen Youzhi] managed to avoid [Yang Luchan]'s attacks, the momentum of [Yang Luchan] continued to shake him.
0:19:13|0:19:25|At the same time, [Jin Yuner] in the hall saw that there was no one around, so she leaped up and landed cleanly on the bronze bell. Meanwhile, in the alley, [Chen Youzhi] was so frightened by [Yang Luchan]'s momentum that he lost all his fighting spirit and turned to run.
0:19:25|0:19:35|Back in the hall, just as the bronze bell was still swaying, a figure with hands behind slowly walked out from the room. Meanwhile in the village, Yang Luchan did not catch up with Chen Youzhi, but managed to capture Brother Tofu.
0:19:36|0:19:46|After a brief exchange, [Yang Luchan] kicked [Brother Tofu] to the ground, but he did not kill him. Instead, he let out a roar and chased after the mahjong sister ahead.
0:19:46|0:19:53|[Yang Luchan] was arrogant and unreasonable all the way, causing chaos wherever he went, and finally found the fleeing Mahjong Sister in the market.
0:19:53|0:20:6|Mahjong Sister quickly picked up a wine jar nearby and used her internal strength to smash towards [Yang Luchan]. However, all of this couldn't stop [Yang Luchan]'s movements. Just as [Yang Luchan] was about to punch Mahjong Sister, a villager wielding a wooden stick viciously struck him from behind.
0:20:8|0:20:15|The strike did not take down Yang Luchan, but instead put himself in danger. Yang Luchan lifted the villagers high, glaring angrily at the surrounding crowd.
0:20:17|0:20:25|Just as [Yang Luchan] was about to lose his mind and throw the villagers down heavily, a dazzling light shone on his eyes.
0:20:25|0:20:38|Just at that moment, the Three Flowers Gathering Peak malfunctioned, and [Yang Luchan] slowly closed his eyes. His nostrils still sprayed two streams of blood as before, and he fainted to the ground. The villagers in his hands were thus fortunate to escape disaster.
0:20:39|0:20:58|On the other side, in a bustling street outside the north gate of Tianjin, many workers were moving goods of all sizes, with merchants coming and going, and of course, there were also patrolling soldiers. On this outer street, a tall building stood out, although it had been sealed off, just its momentum alone indicated that it was not a place to enter casually.
0:20:58|0:21:5|At this moment, a man in front of the gate blatantly ignored the law, tore off the seal, and then pried open the chains to enter.
0:21:5|0:21:20|Upon closer inspection, the man in front of us is none other than the engineer Fang Zijing who led the invasion of Chenjiagou with the Trojan army in the previous installment. With a face full of wounds, Fang Zijing turned around only to be shocked by the imposing presence of the Tianwei Wing hovering above the factory. Although the Tianwei Wing is now in ruins, its aura still sends shivers down one's spine.
0:21:21|0:21:29|[Fang Zijing] slowly approached, his gaze never leaving Tianwei Yi from the moment he entered the room. He looked at the incredible figure in front of him and muttered to himself,
0:22:2|0:22:7|At this moment, the door was suddenly opened by several foreigners.
0:22:12|0:22:25|Facing the taunts of the soldiers, the leading foreigner remained silent and calmly stepped forward. At this moment, the captain of the soldiers said to his men,
0:22:39|0:22:49|Seeing someone supporting him, [Fang Zijing] quickly regained his composure and his face was filled with pride. After being taken away by [Fei Linming], [Fang Zijing] spoke to him in the carriage,
0:23:0|0:23:6|After speaking, he threw the account book to [Fang Zijing].
0:23:33|0:23:46|After that, [Fei Linming] gave a tremendously eerie smile to [Fang Zijing]. [Fang Zijing] was now absent-minded, feeling extremely anxious as he looked at the account book with different quantities recorded on it.
0:23:47|0:24:2|In the pharmacy of Chen Family Valley, several people who were injured by Yang Luchan endured the pain and took their medicine, while Yang Luchan, who was unconscious, had his hands tied and handcuffed to the cabinet. After this outbreak, the color of the three flowers on Yang Luchan's head had deepened.
0:24:25|0:24:31|[Chen Zaiyang] widened his eyes in disbelief after hearing this, and after a moment of contemplation, he slowly said,
0:24:42|0:24:51|After listening to the words of elder brother [Chen Zaiyang], [Chen Yuniang] also wavered in her heart. She came to the top of the village's Troy alone, overlooking the only small road leading into the village.
0:24:51|0:25:6|A few months ago, [Fang Zijing] drove this huge machine to flatten the village. In order to cut ties with [Fang Zijing] for the village, [Chen Yuniang] still had lingering feelings for him from their childhood. As she thought about it, tears filled her eyes.
0:25:8|0:25:16|[Chen Yuniang], who has always been thinking about love between men and women, is still practicing with [Yang Luchan] in a perfunctory manner. Her martial arts moves are all based on muscle memory, with her mind elsewhere.
0:25:30|0:25:42|[Chen Yuniang] had lost interest in teaching, turned around and left. At this moment, [Chen Changxing] shouted from a distance, and [Yang Luchan] turned around to see the sect leader hanging upside down on a tree, so he hurried over.
0:26:40|0:26:48|[Chen Changxing] listened and suddenly widened his eyes in surprise. After carefully examining [Yang Luchan] for a moment, he glanced at his Three Flower Gathering on Top.
0:26:53|0:27:15|Later, [Chen Changxing] walked away contentedly, leaving [Yang Luchan] behind. Yang did not become conceited after receiving praise. Instead, the alleviation of the backlash from the Three Flowers Gathering at the Crown allowed him to think more flexibly and feel life more delicately. Watching the villagers picking herbs, their movements integrated with the Chen-style boxing, he had a deeper understanding of the Chen-style boxing in an instant.
0:27:15|0:27:25|At the same time, a wall with a foreign atmosphere was built on a barren land on the outskirts of Tianjin, with graves of various sizes arranged inside the courtyard.
0:27:27|0:27:41|The inscription on a tombstone in one of the cemeteries reads in English: "This is the love of my life," and the signature below the sorrowful words is [Fang Zijing]. He leans against the tombstone for his girlfriend [Fang Zijing], who was killed along with Troy, with empty and lifeless eyes.
0:27:41|0:27:51|Every time he thinks of Claire, he comes here, and stays for several hours. At this moment, Fang Zijing sees Duke Fei Linming approaching him from the corner of his eye, and says,
0:29:2|0:29:20|Fei Linming still looked back at Fang Zijing disdainfully, but when he saw the determined and ambitious look in Fang Zijing's eyes, his expression gradually became serious. At night, only a few households in Chen Family Valley still had lights on. Yang Luchan stood on the roof, diligently practicing as usual.
0:29:20|0:29:35|[Yang Luchan] practiced boxing while contemplating, as if entering a state of forgetfulness. By the window, [Chen Yuniang], still pondering about love and family, suddenly heard a commotion outside. Without hesitation, [Chen Yuniang] rushed out to investigate. She looked around upon hearing the noise, only to find [Chen Changxing] sitting on a chair outside the door.
0:29:41|0:29:46|Chen Changxing did not speak, but instead opened the intricately carved and complex wooden mechanism in his hand.
0:30:2|0:30:9|[Chen Yuniang] hadn't finished speaking when the sound of a bronze bell came from the village. Sitting beside her, [Chen Changxing] calmly said,
0:30:12|0:30:27|The next day arrived in the blink of an eye, with sudden changes in the weather and the sky darkening. As soon as the day broke, the villagers rushed to the hall, with Yang Luchan following closely behind Chen Yuniang.
0:30:28|0:30:46|As the two entered the hall, they were shocked and speechless by the scene before them. They saw a massive bronze bell, weighing thousands of kilograms, spinning rapidly as if driven by some unknown force. Several senior elders who had arrived early knelt down and kowtowed to the bell, as if praying for the forgiveness of the gods.
0:31:13|0:31:21|Facing the malicious words from the people of Chen Village, Yang Luchan was unable to argue back, while his wife Chen Yuniang wanted to shut everyone up with her actions.
0:31:22|0:31:33|[Chen Yuniang] was about to step forward to stop the bronze bell, but her shoulder was held down by a hand. Before she could react, [Chen Zaiyang] leaped up and landed in front of the bronze bell. The bronze bell was originally as heavy as a thousand catties and could not be moved.
0:31:33|0:31:42|The increased rotational force of the high-speed spinning is now difficult to estimate. However, in the face of this awe-inspiring behemoth, [Chen Zaiyang] remains extremely calm, as he channels his energy to his dantian and delivers a palm strike.
0:31:59|0:32:5|Chen Zaiyang finished demonstrating the most basic techniques of the Chen family fist around him, returned to his original position, and gathered his energy again.
0:32:11|0:32:22|[Chen Zaiyang] seized the opportunity, gathering all his strength into his palms, and struck the bronze bell. The bell, weighing thousands of pounds, surprisingly rolled in the air for two rounds before landing steadily. After dealing with the bronze bell,
0:32:22|0:32:30|[Chen Zaiyang] turned around with a hint of pride, standing in front of everyone. After witnessing it with their own eyes, everyone present was impressed by [Chen Zaiyang]'s skill.
0:32:31|0:32:40|And besides what everyone saw on the scene, [Jin Yuner] was also closely observing from the rooftop.
0:32:40|0:32:52|At this moment, a figure quietly flew from the other end of the roof. [Jin Yuner] was indistinguishable in the sunlight, so she quickly drew her sword. But as soon as the sword was drawn, she was kicked away. [Jin Yuner] immediately regained her composure and stabbed towards the man with her flexible sword, which was soft and hard at the same time.
0:32:52|0:33:0|Unpredictable and elusive, his swordsmanship is truly hard to grasp. The man who was almost injured leaped into the air and then stood on the eaves, slowly turning around.
0:33:11|0:33:22|[Jin Yuner] saw [Chen Changxing], she confessed truthfully: at that time, she was hiding inside the bronze bell, fixing the base of the instrument on the top of the bronze bell, just gently shaking it, the three iron balls hanging from the instrument would spin rapidly.
0:33:22|0:33:29|After finishing her instructions, [Jin Yuner] flew off the eaves. At this moment, inside the hall, [San Shuzu] announced,
0:33:50|0:33:59|Chen Zaiyang seemed to be playing with his little sister on the side, but in fact he listened attentively to every word everyone said. He slowly turned around, with a look of melancholy, and walked up to San Shuzu.
0:34:8|0:34:15|After [Chen Zaiyang] politely declined, he never expected that no one would persuade him again. Seeing this situation, he could only say again,
0:34:40|0:34:51|As soon as the words fell, [Chen Changxing], who had been observing for a long time, stepped on the roof and fell into the house. Upon seeing his father's sudden arrival, [Chen Zaiyang] became nervous.
0:35:12|0:35:22|Seeing [Chen Zaiyang] remaining silent, [Chen Changxing] took out a letter from his sleeve and stood in front of him.
0:36:11|0:36:23|[Yang Luchan] looked nervously at [Chen Yuniang], while on the other side, [Chen Zaiyang] was also pressured by [San Shuzu]. Under the heavy pressure, [Chen Zaiyang], seeing the confident [San Shuzu] beside him, reluctantly moved forward.
0:36:23|0:36:37|Standing opposite, [Yang Luchan] could only grit his teeth and walk to the front. At this moment, the two stood in front of the hall in full view of everyone, but their desire to fight was not high. Seeing [Chen Changxing] hesitating to make a move, he began to instruct [Yang Luchan].
0:36:39|0:36:55|[Yang Luchan] follows orders and assumes a stance, with a stable lower body, left arm straight, left hand in a hook shape, and right palm blocking in front. As this move is executed, the momentum is completely different from before. [Chen Changxing] sees [Chen Zaiyang] starting his move and continues to say,
0:36:56|0:37:8|As soon as the two started, they found that [Chen Zaiyang]'s previous skills were full of flaws. At this moment, [Yang Luchan] lifted his right foot in front of [Chen Zaiyang] without exerting force, and [Chen Changxing] realized that [Yang Luchan] was intentionally holding back.
0:37:10|0:37:15|The force of the paper ball pushed [Chen Zaiyang] back several meters, at this moment, [Chen Zaiyang] did not have the same strength as when he struck the bell.
0:37:20|0:37:30|Upon hearing Chen Yuniang's confusion, Chen Changxing did not explain. Chen Zaiyang's punches were all deflected, his body gradually stiffening, unable to fight back. At this moment, Yang Luchan's high probing horse move threw Chen Zaiyang into the air.
0:37:31|0:37:45|After the reversal, seizing the opportunity, [Chen Zaiyang] delivered a final powerful double push hands. Struck by this move, [Yang Luchan] was sent flying through the air, and his robe was shattered by the internal force. However, at that moment, to everyone's surprise, they found that besides the robe being shattered,
0:37:45|0:37:54|Flying out with him were many mechanical parts. Everyone present, except for [Chen Changxing], hung their heads in sigh, all deeply moved by the scene.
0:37:54|0:38:21|Originally, the profound skills displayed by [Chen Zaiyang] were all enhanced by the machine he developed. His solid foundation was also due to the nails in his shoes piercing into the ground. The reason that triggered [Yang Luchan]'s outburst was not because he couldn't bear the humiliation, but because when [Chen Zaiyang] put a hat on him, he inserted a silver needle into his corner. As a father, [Chen Changxing] looked at the sky full of parts and the gears still spinning, falling into memories of Zaiyang's childhood.
0:38:21|0:38:27|On a sunny afternoon many years ago, [Chen Changxing] happily accompanied [Chen Yuniang] as they swung on a swing.
0:38:28|0:38:34|At this moment, [Chen Zaiyang] ran up to his father with his younger brothers and said,
0:38:36|0:38:53|Soon after, [Chen Changxing] sat up with a smile on his face, looking forward to [Chen Zaiyang]'s boxing technique. His younger brothers and sisters also sat on the side, ready to learn. After [Chen Zaiyang] was ready, he turned to face [Chen Changxing], performing the Diamond Pound followed by the Cross Hands, a set of movements and techniques flowing smoothly and impressively.
0:38:53|0:39:6|[Chen Changxing] watched as [Chen Zaiyang] made rapid progress, nodding in approval. His younger siblings were even more fascinated, admiring him greatly. Seeing the satisfied expressions of everyone, [Chen Zaiyang] leaped high into the air, followed by a move known as "White Crane Spreads its Wings," which further heightened the atmosphere.
0:39:9|0:39:17|At this moment, [Chen Changxing] had already put away his smile, and instead looked at [Chen Zaiyang] with a serious expression, as if he was gradually discovering clues from Chen Zaiyang's movements.
0:39:17|0:39:30|At this moment, [Chen Zaiyang], who was spinning and high kicking on the side, gradually lost control. His movements became stiff, the kicks turned mechanical, and his body spun faster and faster. He tried hard to regain control, but faced with the powerful mechanical force, his efforts were in vain.
0:39:32|0:39:43|[Chen Changxing] quickly followed the direction of the rotation and grabbed [Chen Zaiyang]'s right hand, pulling him into his arms. At this moment, the machine also exceeded its load, and numerous parts popped out of the clothes, scattering all over the ground.
0:39:43|0:39:51|Chen Zaiyang's mechanical vest covered with gears on his chest is prominently displayed. Chen Changxing, seeing this scene, was stunned and speechless for a long time.
0:39:51|0:40:13|He angrily threw [Chen Zaiyang] on the ground, [Chen Changxing] sighed with disappointment, then turned and walked towards the house. Seeing this, his younger siblings hurried forward to help him up. The scene in the hall now was just like many years ago. With tears in his eyes, [Chen Changxing] sighed and said,
0:40:14|0:40:20|He finished speaking, without even looking at [Chen Zaiyang], he walked straight towards the door. Seeing this, [Chen Zaiyang] felt even more wronged.
0:40:20|0:40:40|At this moment, [Chen Yuniang] noticed the distress of [Chen Zaiyang] and persuaded him. After hearing this, [Chen Zaiyang] burst into tears, broke free from the support of the crowd, and shouted. Although [Chen Changxing] did not turn around, he slowed down his pace. After wiping away his tears, [Chen Zaiyang] sat on the ground and continued to speak.
0:41:10|0:41:19|San Shuzu, after hearing the truth, hung his head in frustration like iron unable to turn into steel.
0:41:23|0:41:33|The brothers and sisters around him were very angry after hearing this, but looking at the elder brother in front of them full of helplessness and grievances, even with all the resentment, they became understandable in the face of family affection.
0:41:33|0:41:50|[Chen Zaiyang] finished speaking, his eyes moist as he glanced at the deceived [Yang Luchan]. After a long pause, a tear of regret rolled down his cheek, but he said nothing more, slowly standing up and looking towards [San Shuzu]. [San Shuzu], seeing the one who almost caused a great disaster, showed no pity, and simply turned and walked away.
0:41:52|0:41:59|The elders were like grass on the wall, speaking ill of [Chen Zaiyang], but these harsh words did not affect the eldest son of the sect leader.
0:41:59|0:42:11|For Chen Zaiyang, who doesn't love practicing martial arts, it seems like he has long been tired of hearing it. Dragging his disheveled body, he dejectedly walked towards the gate and left slowly. After changing into a new outfit, he didn't stop for a moment.
0:42:11|0:42:27|With his wife [Jin Yuner], [Chen Changxing] left [Chen Village]. At this moment, [Chen Yuniang] and [Yang Luchan] caught up on horseback. When called out, [Chen Zaiyang] turned around and looked somewhat surprised at the two dismounting. [Chen Yuniang] ran up to her older brother with a embroidered cloth bag in her hands and said,
0:42:28|0:42:34|[Chen Zaiyang] pulled out a wooden box from the cloth bag with a puzzled expression, and exclaimed in surprise after opening it,
0:42:43|0:42:50|Chen Zaiyang suddenly understood after hearing this, that although his father was strict in every way, he still cared for him at all times.
0:42:52|0:43:1|At this moment, Yang Luchan handed the reins of the horse to his eldest brother with a look of reluctance, Chen Zaiyang took the reins and looked at the simple and honest young man in front of him, saying,
0:43:3|0:43:11|Just as Chen Zaiyang's tears seemed about to fall, he turned around and left Chenjiagou with his wife on horseback. What Zaiyang didn't know was,
0:43:11|0:43:24|This time, not only [Chen Yuniang] and [Chen Changxing] came to see them off. [Chen Changxing], who had long been hidden above Troy, had moist eyes, enduring the pain of separation, watching his son gradually leave. Perhaps this is the stern father's way of expressing love.
0:43:26|0:43:35|On the night when [Chen Zaiyang] and his wife left [Chen Family Valley], [Jiang Yanhao], the governor of Henan Province, played music on a phonograph in his warehouse filled with embezzled goods.
0:43:35|0:43:48|Accompanied by cheerful music, [Jiang Yanhao] proudly looked at the wall full of national treasure-level antique vases. After hesitating for a moment, he picked up a favorite flambe-glazed plum vase and examined it carefully. But at that moment, Indian cavalry forces suddenly descended.
0:43:48|0:44:1|The sudden sound in the theater startled [Jiang Yanhao], causing the enamel bottle to slip from his hand, but luckily it fell on his foot and did not break. By the time he reacted, several Indian soldiers with rifles had surrounded him. [Jiang Yanhao] pretended
0:44:3|0:44:9|Shouting loudly, but the soldiers showed no fear on their faces after hearing it, still holding their rifles high and aiming at [Jiang Yanhao].
0:44:9|0:44:22|At this moment, an official dressed in a catcher's uniform and wearing a lotus hat slowly picked up the enamel bottle that had fallen to the ground. Because this person held the enamel bottle in front of him, [Jiang Yanhao] could not see his face and dared not act rashly. However, he soon realized that this person was none other than [Fang Zijing].
0:44:25|0:44:32|Upon Jiang Yanhao's words, Fang Zijing immediately smashed the priceless Ruby Red Plum Vase on the ground.
0:45:0|0:45:13|[Fang Zijing] listened without any change in his gloomy face, walked slowly to [Jiang Yanhao]'s front, and looked at the timid [Jiang Yanhao] as he whispered,
0:45:26|0:45:40|Under the command of [Fang Zijing], the soldiers escorted the corrupt official [Jiang Yanhao] out. The room full of gold, silver, antiques, and paintings did not interest [Fang Zijing] at all. He didn't even spare a glance at them, instead he walked over to the phonograph to enjoy the music.
0:45:41|0:45:59|Late at night, in Chen Family Valley, Chen Yuniang turned over in the middle of the night only to find that Yang Luchan on the bedroll was nowhere to be seen. Knowing Yang Luchan's habits well, she put on her clothes and leaped onto the roof to ask,
0:46:7|0:46:26|The next morning, the market in Tianjin was already filled with vendors. At this moment, when [Jin Yuner] saw the patrolling soldiers approaching, she signaled for [Chen Zaiyang] to avoid them. [Chen Zaiyang], quick-witted, grabbed [Jin Yuner] and ran to a steamed bun shop, pretending to be customers. Keeping an eye on the soldiers as they passed by, [Chen Zaiyang] quickly left as well.
0:46:28|0:46:38|At this point, the two of them no longer had the leisurely mood they had while walking just now, walking quickly with their heads slightly lowered along the bustling street. When they arrived at their factory, they found that the seal and iron chain on the gate were still intact.
0:46:45|0:46:56|Chen Zaiyang ran forward three steps and two steps, looking impatiently at the seal about to tear it off. After some persuasion, Chen Zaiyang followed Jin Yuner's advice and came to the back window of the factory. Chen Zaiyang gestured to Jin Yuner, and then...
0:46:56|0:47:13|Alone, he climbed up the boxes stacked by the rear window, taking just three or four steps to reach the top box. Then, [Chen Zaiyang] did not rush to push the window open, but cautiously peeked inside through the slits of the blinds to check the situation. After confirming that there was no one inside the factory, [Chen Zaiyang] then climbed in.
0:47:13|0:47:19|Accidentally, Chen Zaiyang took a tumble, which must have been quite painful for someone who never practices martial arts.
0:47:19|0:47:33|He endured the pain and slowly opened his eyes, only to find that the former glory of the factory had long disappeared, replaced by the scene of rats everywhere, like a ruin. But when he saw the parts on the ground, he ignored the pain and quickly got up to pick them up.
0:47:33|0:47:41|Watching his hard work being thrown on the ground like scrap metal, Chen Changxing felt a myriad of emotions in his heart, and tears welled up in his eyes.
0:47:41|0:47:53|After a moment, he looked up at the sky, only the framework of the Tianwei Wing remained, although it was broken, it still made Chen Zaiyang feel extremely proud. He fantasized about himself flying the perfect Tianwei Wing in the sky, soaring freely and flying recklessly.
0:47:53|0:48:2|When he came to his senses, he still stared at Tianweiyi closely. But just as he choked up, the factory door slowly opened. Chen Zaiyang thought it was Jin Yuner and said,
0:48:4|0:48:11|When [Chen Zaiyang] turned around, he found that [Jin Yuner] had already been captured by the ambushed soldiers. Four soldiers surrounded [Jin Yuner] with their blades at her neck.
0:48:11|0:48:20|The two of them, under duress, were later brought back to the yamen. But after the two knelt in the hall, [Fang Zijing], a fourth-ranking official, slowly walked towards the front of the hall.
0:48:20|0:48:30|[Fang Zijing] was dressed in a mandarin square jacket, with a red tassel hat on his head, sitting in the hall. His imposing manner was even more majestic under the blessing of the turquoise stone at the top of the tassel hat.
0:48:32|0:48:39|[Chen Zaiyang] heard the voice and found it somewhat familiar. He slowly raised his head and looked up, never expecting that it was indeed [Fang Zijing], the Taoist master.
0:48:40|0:48:47|[Chen Zaiyang] saw that it was someone familiar and casually sat down cross-legged on the ground before saying,
0:48:49|0:48:56|[Fang Zijing]'s words made [Chen Zaiyang] feel extremely embarrassed, but due to the huge disparity in their status, he had no choice but to kneel down again on the spot.
0:49:15|0:49:22|[Fang Zijing] saw [Chen Zaiyang] pretending to be silent, so he viciously said to his subordinates,
0:50:43|0:50:52|[Chen Zaiyang] tearfully watched [Fang Zijing] walk away, choked up as he confirmed with him once again,
0:51:6|0:51:15|At this moment, in the mountains and forests of Chen Family Valley, [Chen Changxing] and [Yang Luchan] were hanging upside down on a thick tree branch together. After a moment, [Yang Luchan] asked in confusion,
0:51:27|0:51:32|[Yang Luchan] followed suit after hearing it.
0:51:43|0:51:58|[Chen Changxing] lazily yawned and then turned to look at [Yang Luchan], who was breathing deeply. Just a few rounds later, [Yang Luchan] suddenly opened his eyes in enlightenment and said, recalling the scene of [Chen Yuniang] practicing with a low spirit.
0:52:2|0:52:8|[Chen Changxing] listened and finally showed a relieved expression on his face, then came down from the tree branch and was about to leave.
0:52:15|0:52:26|[Chen Changxing] said, then waved his hand and walked out of the woods, leaving only [Yang Luchan] still hanging upside down on a tree, experiencing the state of mind of watching with the heart. At noon, in the village, [Chen Yuniang] was fetching water from the well, preparing to cook.
0:52:26|0:52:33|[Chen Yuniang] still had a distracted look on her face. Just then, the sound of iron being struck could be heard coming from the village entrance.
0:52:37|0:52:44|Distracted by the sound, Chen Yuniang accidentally knocked over the water bucket she had just fetched. Moments later, many villagers rushed to the village entrance upon hearing the commotion.
0:52:47|0:52:56|Yang Luchan was seen frantically striking inside the damaged Troy, with villagers applauding the deafening sound of each blow.
0:52:58|0:53:23|[Yang Luchan], although bare-handed, still shattered the ironclad Troy into pieces. At this moment, [Chen Yuniang] rushed over and stood on top of Troy, looking at the mad boy in front of her and asked. [Yang Luchan] finished speaking and continued to strike.
0:53:23|0:53:38|At this moment, [Chen Yuniang], upon hearing such sincere words, tears quietly welled up in her eyes. She neither agreed nor stopped, but jumped off the Trojan horse and slowly walked towards the village. As [Chen Yuniang] walked further and further away, more tears gathered in her eyes.
