0:1:2|0:1:8|天色灰暗，几只健硕的六角怪飞进山谷中，地面上聚集了数以万计的怪物。
0:22:23|0:22:38|小刀停止片刻后继续工作，[宋天荫]身子倾斜后碰到小刀，他顿时清醒过来，他侧身观察背后，小刀突然疯狂加速，他企图叫醒[霍小岚]，身下床板却开始下沉。
0:22:39|0:22:48|[霍小岚]用胳膊蹭了蹭脸，但是她并没有醒，[宋天荫]沉到底部瞪着眼睛却无法出声，只能被拖进黑暗当中。
0:22:50|0:22:57|光渐渐透进来，[宋天荫]被拖着向前挪动着。
0:22:57|0:23:2|妖后把它拖出洞口，[宋天荫]睁眼观察4周的情况。
0:23:2|0:23:12|他闭着嘴巴茫然地看着四周，妖后把他推到树干旁，伸出爪子解开他嘴上的咒语，[宋天荫]赶紧张大口呼吸空气。
0:23:14|0:23:23|妖后拽着他的手，抚摸着自己高高隆起的肚子缓慢抬眼说道：
0:23:32|0:23:48|正说着妖后用爪子划开肚皮，[宋天荫]吓得表情失控。妖后伸出触手捏开他的嘴，不舍地看了看龙蛋，并将蛋塞进他的嘴里。
0:23:48|0:23:57|[宋天荫]的肚子迅速膨胀，一向温和的妖后突然露出爪牙。
0:23:57|0:24:12|树后有一只巨大的血妖，他低吼着挥舞着巨拳，妖后毫不露怯，呲着牙吼了回去，然后英勇扑上前，疯狂地抓挠血妖，却被一把打飞，连同[宋天荫]一同正摔在地上。
0:24:13|0:24:19|血妖腾空而起，正要给二人一次重击，[霍小岚]用咒语打蒙血妖。
0:24:21|0:24:27|[霍小岚]奔跑向前，一个漂亮的飞踢让血妖后仰，随即掏出两枚符咒。
0:24:29|0:24:41|血妖前肢被定住，[霍小岚]得意的挑眉，血妖猛地甩动巨尾，险些打到[霍小岚]，它的前肢摆脱了符咒，凶狠地扑向[霍小岚]。
0:24:41|0:24:47|[霍小岚]用鞭子绑住大树，灵活地躲开攻击，她在树木下飞跃，让血妖大为恼怒。
0:24:48|0:24:55|血妖想要离开，却被飞来的鞭子捆住了脚，[霍小岚]借着树干固定鞭子让血妖摔了个狗啃泥。
0:24:58|0:25:7|妖后划开[宋天荫]手上的绳子，握着他的手，让他轻抚自己的肚子。
0:25:11|0:25:16|妖后失去力气后垂下头，[宋天荫]用力摇晃摇后却得不到回应。
0:25:16|0:25:34|此刻[霍小岚]正被血妖打得喘不过气来，[宋天荫]赶忙拿起地上的鞭子想扔给她，却被鞭子缠住脖颈，[霍小岚]喊着用手猛戳血妖的头，血妖拳头一甩。
0:25:34|0:25:40|[霍小岚]猛撞树干后落地痛苦不堪，血妖步步逼近[宋天荫]，一巴掌打下去让他扑倒。
0:25:40|0:25:51|[霍小岚]拔出刀撇妖抓起[宋天荫]的腿，将他吊到半空中，[宋天荫]惊恐地喊叫道：[霍小岚]扑上前将刀猛插进血妖的尾巴。
0:25:52|0:25:57|[宋天荫]摔在地上，血妖连忙检查自己的尾巴，再回头时二人已经逃走了。
0:25:58|0:26:2|他们二人冲向刚来时的洞口，在血妖猛扑前一秒滑了进去。
0:26:3|0:26:10|血妖的头卡在洞口拔不出来，他伸手挠痒痒，却又碰到了尾部的伤口，无奈地瘫在地面上。
0:26:10|0:26:24|村庄里众人忙碌一片祥和，[葛千户]骑白马，气宇轩昂地进村，身后还跟着几个天师，村民们好奇观望着。
0:26:26|0:26:32|小武张望着也不知其身份，暮色四合，[宋天荫]二人从床洞中爬出来时已是筋疲力尽。
0:26:32|0:26:40|[宋天荫]挺着大肚子靠近[霍小岚]，问道。[霍小岚]把耳朵贴进他的肚子，眉头一皱。
0:27:7|0:27:15|[霍小岚]拿来一只草鞋送到他嘴边，[宋天荫]疑惑地咬住鞋头，[霍小岚]抽刀划向他的脖颈。
0:27:41|0:27:45|[宋天荫]挺着肚子吃力起身，[霍小岚]满意地收刀入鞘。
0:27:52|0:28:1|[霍小岚]刚进门便踩到地上的机关，屋内顿时飞镖乱挤，她后仰加速夺过飞镖，谁知还没站稳，就被大网兜住提上房梁。
0:28:5|0:28:12|[霍小岚]呲牙咧嘴地扯着网。
0:28:25|0:28:30|[宋天荫]独自抱着麻布离开，留下[霍小岚]悬在半空中喘着粗气。
0:28:47|0:28:54|门被缓缓打开，镜头下移，一只绿油油的小妖看着她。
0:29:8|0:29:18|手持铁锤的果天师突然出现打倒小五，他用电锤重击小五，小五被轮向空中又摔落下来。
0:29:18|0:29:25|[宋天荫]躲在木架后偷看，与小五对视后愧疚的视线乱飘。
0:29:29|0:29:34|郭天师走近[小武]仔细端详他，[宋天荫]趁机悄声无声地离开了。
0:29:35|0:29:42|屋内[霍小岚]在网中念咒，她的身下冒出一片窗花一样的红色小纸人。
0:29:42|0:29:47|纸人呼朋唤友地叫出好几个同伴顺着大网向上攀爬。
0:29:47|0:29:56|它们发出孩童般的嬉笑声，一路爬上大网的顶端。
0:29:57|0:30:11|画面切到屋外，[宋天荫]正在墙后偷看着聚起来的村民，[葛千户]在一众村民前感叹道：
0:31:20|0:31:30|[葛千户]用剑柄指着妖怪。矮大娘微笑着说。大娘口中冒出一个屁股，放了一个带烟的响屁。
0:31:30|0:31:36|她已经化成妖怪的圆形放声大笑，众村民都笑得前仰后合。
0:31:36|0:31:45|[葛千户]的手下放出一只黄黑相间的甲虫，蝎子顺着指尖爬上村民的尖头。
0:31:47|0:31:52|火甲虫用钳子扎进村民的太阳穴，村民倒地，半个头已经还原妖形。
0:31:52|0:31:59|火甲虫从他头上的伤口中缓缓爬出，[宋天荫]惊呼时，被[霍小岚]捂住嘴巴。
0:32:10|0:32:14|手下拿着武器逼近村民，他们用火把引燃了村中的牌匾和房梁。
0:32:20|0:32:36|[宋天荫]二人在暗处看着村民被天师们带走，[小武]跟在队伍后面，因为慢下脚步被火天师踢了一脚。
0:33:4|0:33:12|[宋天荫]挺着大肚子，还背着繁重的行李，一瘸一拐地跟在[霍小岚]身后走出了生他养他的村庄。
0:33:18|0:33:26|他过河后伫立在桥头，望了望村子里还在冒着炊烟的房子，还是转身离开了。
0:33:26|0:33:52|画面呈现出地图状，崇山峻岭中两个人并排行走在山路上，跋山涉水后，二人到一处客栈中歇脚，[宋天荫]面前落起高高的空碗。
0:33:56|0:34:4|店家端起一碗面走过来，
0:34:11|0:34:20|[霍小岚]对店家尴尬陪笑，转头却瞪大了眼睛，客栈外[罗刚]正闲庭散步地走过来，[宋天荫]惊恐地看着[霍小岚]。
0:34:26|0:34:41|[宋天荫]埋头苦吃，[宋天荫]被[霍小岚]猛拍一下，嘴里塞着面就走了，[霍小岚]示意他走左边，他便抱着行李蹲着离开了。[罗刚]走进店里看了[霍小岚]一眼，猛然要转身冲出店外，却被[霍小岚]拦住了。
0:35:28|0:35:39|[霍小岚]果断离开，[罗刚]只能在桌前坐下，但他注意到桌上的一摞空碗。指[宋天荫]的肚子嘲笑他。
0:35:39|0:35:47|但他仍然只顾着吃，[霍小岚]跑过来看[宋天荫]，气得猛拍他的后背。
0:36:5|0:36:13|[霍小岚]拽着[宋天荫]赶忙离开，[罗刚]坏笑着紧随其后，[罗刚]把斧子扔向二人，屋内木杆应声而倒。
0:36:14|0:36:18|众人开始四散逃命，[霍小岚]回头[罗刚]已经把斧子架在[宋天荫]的脖颈上。
0:36:19|0:36:23|这时[霍小岚]飞起一脚，踢得[罗刚]捂住腿嚎叫着。
0:36:23|0:36:33|[罗刚]腾空追上去和[霍小岚]对打，夹在二人中间的[宋天荫]被屡次误伤。
0:36:46|0:36:50|[罗刚]扭头，[霍小岚]趁机要打他，却被他看个明白，[宋天荫]赶紧捂住。
0:36:50|0:36:56|[霍小岚]一脚踹飞[罗刚]，扶起[宋天荫]将他护在身后。
0:37:0|0:37:5|房顶血妖轰然落地，要袭击[罗刚]，[罗刚]被踢飞后撞破院墙。
0:37:5|0:37:14|[霍小岚]甩着鞭子要打血妖，却被他扔在一旁撞坏了桌子，[罗刚]在一片狼藉中醒来，此时血妖正朝[霍小岚]走去。
0:37:15|0:37:38|[宋天荫]冲上前用脚抵住血妖巨掌，他脸上青筋暴起，腿上的护具被蛮力崩开，[霍小岚]迅速爬起来一同使力，转头向[罗刚]求救道：血妖一使劲，两个人瞬间瘫倒，[罗刚]冲破屋顶落在血妖背后，用网控制住他的脑袋。
0:37:38|0:37:53|[霍小岚]扶住[宋天荫]，踉跄地后退直说：她拉起[宋天荫]就朝院外逃去。
0:37:58|0:38:21|[霍小岚]回头看了看，说罢便拽着[宋天荫]溜走了。血妖在院内活蹦乱跳，把院子撞得七零八落，[罗刚]气得大喊：血妖被揍的鼻青脸肿，牙齿散落在地上，他用爪子捂着脸一边呜咽着一边向外移动，见[罗刚]举起斧子立马扑腾着逃跑了。
0:38:21|0:38:34|而镜头转向[罗刚]的正面，他的半面脸也肿得老高，他缓缓放下斧子轰然倒下。
0:38:34|0:38:41|山野中阳光刺眼，[宋天荫]和[霍小岚]像两口子一样坐在马车上。
0:38:41|0:38:49|[宋天荫]吹着口哨缝补衣服，突然有了孕吐的反应，[霍小岚]急忙为他拍拍背。
0:38:49|0:39:1|这时不远处的羊群突然出现了，山夜中景色怡然，地图突然浮现了，下一站是顺天府。
0:39:12|0:39:18|大堂内，[胖莹]和[竹高]望着他俩收回视线后相视一笑。
0:39:34|0:39:40|[霍小岚]潇洒地走出房间，[宋天荫]靠在床边摸着肚子。
0:39:42|0:39:49|[霍小岚]来到大堂内坐下对小二说道：一个小萌孩突然冒出来，
0:40:47|0:40:58|[霍小岚]听完环视一圈周围的天师，他们身上都挂着许多枚铜钱。[霍小岚]默默收起身上仅有的两枚铜钱，屋内[宋天荫]侧躺着身子。
0:40:58|0:41:4|捂着肚子呻吟着，他身后冒出[胖莹]和[竹高]二人见他翻身又立刻躲了起来。
0:41:4|0:41:8|[宋天荫]疼得翻来覆去，[胖莹]二人一脸喜色凑上前。
0:41:8|0:41:15|[宋天荫]看到他俩大惊失色，[竹高]一掌劈晕了[宋天荫]，二人抬着他正要出门。
0:41:21|0:41:23|[霍小岚]守在门口动作利落地用符定住了他们俩。
0:41:24|0:41:38|[霍小岚]将二人关进柜子中，急忙叫醒[宋天荫]，[霍小岚]警惕地看着门外，[宋天荫]吃力地撑起身子，却被一股疼痛冲击全身，他咬牙呻吟着。
0:41:57|0:42:4|[宋天荫]痛苦地撑起身子，[霍小岚]冲到门前一想随即折返。
0:42:8|0:42:16|[霍小岚]急得直挠头，妖蛋在肚子里横冲直撞，[宋天荫]被折腾地来回翻滚着。
0:42:25|0:42:30|[霍小岚]拿来热水和一捆剪刀，颇为专业地为[宋天荫]擦汗。
0:42:48|0:42:55|[宋天荫]疼得五官都挤在一起了。
0:42:55|0:43:1|[霍小岚]跪坐在床尾，扶着[宋天荫]的双腿，扒了他的裤子。
0:43:9|0:43:17|[霍小岚]凑近[宋天荫]却不忍直视，她再次睁眼眯着眼在麻布下寻找着。
0:43:30|0:43:35|[霍小岚]把头埋进被子里，举着剪刀向里靠近着。
0:43:44|0:43:48|[宋天荫]突然大喘气，艰难地咬住自己的手指。
0:43:56|0:44:3|[郑涛]和抱着牛牛的郑夫人来到门外。
0:44:15|0:44:20|郑夫人把门推开一条缝。
0:44:55|0:45:1|[宋天荫]一仰头，嘴里吐出一个蛋状物，[霍小岚]一掌劈晕了正要出声的郑夫人。
0:45:1|0:45:5|蛋状物在屋内4处弹跳着。
0:45:5|0:45:14|它躲过了在椅子下守株待兔的[霍小岚]，随后它冒出小腿和小尾巴，奔向房门却被撞倒了。
0:45:14|0:45:18|[霍小岚]提着尾巴提起它仔细观察着。
0:45:18|0:45:24|蛋状物冒出4条触角和一个婴儿般的长着绿叶的头。
0:45:26|0:45:34|[霍小岚]单手托着它进屋，软萌可爱的小妖王眨巴着眼睛。
0:45:34|0:45:48|天荫转头问[霍小岚]，[霍小岚]违心地说：[霍小岚]试探着伸出食指和小妖王的小手触碰着。
0:45:48|0:45:53|小妖王突然喷口水在她肩上。
0:45:54|0:45:57|门外的询问，让[宋天荫]二人面面相觑。
0:46:50|0:46:57|[宋天荫]赶紧学了两声婴儿哭，叫抱着[竹高]往房里拖进去。
0:47:4|0:47:11|此刻[牛结实]蹲在屋里面和小妖王互相逗着玩。
0:47:11|0:47:20|他突然一个巴掌拍向小妖王，[宋天荫]冲上去赶紧拉住[牛结实]，再转头，小妖王已经不见踪影了。
0:47:21|0:47:29|[牛结实]仰面朝天紧紧拽着小妖王的尾巴被他四处拖行，[宋天荫]匍匐着紧随其后却被撞到床板上。
0:47:30|0:47:40|[牛结实]拿起剪刀被[宋天荫]拦住，两个人争夺时不慎将剪刀甩飞了，剪刀正好扎在[胖莹]右肩上。
0:47:40|0:47:49|[竹高]看到后心疼得脸部抽搐，没想到[宋天荫]甩飞的一卷剪刀立刻插进他的胸口。
0:47:51|0:47:58|小妖王拖着[牛结实]爬上房梁，[宋天荫]惊慌失措，[郑涛]放心地笑了笑。
0:47:58|0:48:7|[宋天荫]在桌上放好椅子爬上房梁，[牛结实]一把将小妖王甩到远处的横梁上，独自走到房梁中间。
0:48:8|0:48:17|屋外[郑涛]瞪着眼睛看着房梁上攀爬的黑影。
0:48:18|0:48:22|[霍小岚]立马点穴让她晕倒了。
0:48:25|0:48:30|[宋天荫]不慎从房梁上滑落，[牛结实]在房梁上截住小妖王。
0:48:30|0:48:39|吓得小妖王在房梁上来回奔跑，没想到在奔跑中它误踩了[宋天荫]的胳膊，还一头撞上了[牛结实]的腿。
0:48:39|0:48:51|[宋天荫]使劲爬回房梁上，[牛结实]在房梁上蹦跳着，逐渐转移到横梁中央，[宋天荫]蹑手蹑脚地靠近他。
0:48:51|0:48:57|[牛结实]突然失足坠落了，[宋天荫]赶忙拽住他，两个人倒吊在房梁上。
0:48:58|0:49:6|[宋天荫]脚部松落垫着[牛结实]摔在地上，[郑涛]闻声冲向房门中。
0:49:7|0:49:12|[宋天荫]迅速把[牛结实]塞给他后关上门，[霍小岚]目送[郑涛]抱着[牛结实]离开了。
0:49:13|0:49:21|[宋天荫]气喘吁吁地瘫坐在门旁边，小妖王跑过去和他倚靠在一起，画面很是温馨。
0:49:21|0:49:30|夜晚的羊圈旁，有人在窃窃私语，
0:49:40|0:49:53|[胖莹]和[竹高]疯狂眨着眼睛。[宋天荫]和[霍小岚]背着行李继续赶路，二人到了一个废弃的石屋中，[霍小岚]推开石屋的门。
0:49:54|0:50:8|阳光透进屋内，照亮石壁上的神像，[宋天荫]打开襁褓，怀中的小妖王紧闭双眼。
0:50:9|0:50:15|他急忙跑向[霍小岚]，[霍小岚]接过小妖王摸了摸它的额头。
0:50:17|0:50:24|[宋天荫]急忙从行李中翻出一块蓝布送过去。
0:50:26|0:50:38|他忙不迭的去里面的水池中打水，湿布放在小妖王头上，立马冒出蒸汽了。
0:50:38|0:50:51|[宋天荫]在水池和床榻边来回折返，[霍小岚]拧干麻布为小妖王敷头。小妖王突然把口水喷在它身上。
0:50:54|0:51:0|小妖王缓慢睁大眼睛，[霍小岚]如释重负地笑开了。
0:51:2|0:51:9|[宋天荫]坐到虚弱的小妖王旁边，冲它做起鬼脸了。
0:51:14|0:51:20|[宋天荫]的斗鸡眼逗得小妖王咯咯直笑，[霍小岚]看着搞怪的[宋天荫]若有所思。
0:51:20|0:51:29|而此时小妖王睡意朦胧，[霍小岚]示意[宋天荫]别再出声了，很快小妖王便睡得香甜。
0:51:29|0:51:31|[宋天荫]和[霍小岚]静静注视着它。
0:51:32|0:51:40|屋外两匹马百无聊赖的晒着太阳，在屋子里睡梦中的小妖王在床沿上做着手势。
0:51:40|0:51:50|脚边坐着三个小窗花人，小妖王一不小心从床榻上摔下去了。
0:51:50|0:51:56|[宋天荫]急忙冲过去抱住它，[霍小岚]摸着它的头说道：
0:52:39|0:52:53|[霍小岚]接过小妖王，把他抱在怀里，深吸了一口气。[宋天荫]转过身欣慰地笑着。
0:52:53|0:53:2|[霍小岚]看到窗花小人在围观命令道，[霍小岚]撇嘴犯起愁来。
0:53:2|0:53:8|突然她眼神一转，有了主意，转过身说道：
0:53:22|0:53:33|她猛地掀开[宋天荫]的衣服，让小妖王吸血，在房子外面也能听见[宋天荫]的惨叫声。郑夫人坐在行进的轿子里，眼神空洞地说道：
0:53:58|0:54:15|他看到[罗刚]胸前挂着残破的4枚铜钱，嘴角微微上扬。正午的阳光穿过树叶，[宋天荫]在树林中挑选野果，一边试吃一边采摘。
0:54:18|0:54:24|镜头一转，随行的两匹马倒在地上，[霍小岚]双臂交叉站在一旁说道：
0:54:27|0:54:50|小妖王转着触手讨好地陪笑着。[宋天荫]和[霍小岚]都怒气冲冲地瞪着它，它委屈地迈着小碎步向前，[宋天荫]教导它说道：小妖王气嘟嘟地在原地缩成一个蛋，[宋天荫]蹲下来耐心地嘱咐道：
0:55:22|0:55:35|小妖乖乖地吃下野果，表情甚是开心。它又开心地吃下第二枚果子，[宋天荫]看着马儿说道。
0:55:37|0:55:45|[宋天荫]接连给小妖王喂下野果，小妖王的腮帮子鼓鼓囊囊，[宋天荫]看得乐呵呵的。
0:55:45|0:55:52|它的嘴里突然射出一枚野果，把草坪的柱子打出一个洞来。
0:55:54|0:56:3|它的嘴巴就像机关枪一样散射出野果，[宋天荫]躲到[霍小岚]旁边挽着她，草亭轰然倒塌了。
0:56:3|0:56:14|[霍小岚]叉腰看着[宋天荫]，[宋天荫]默默收回手，小妖王笑得前仰后合。[宋天荫]二人看着它静默不语。
0:56:14|0:56:20|一到石洞中小妖王跳着和窗花小人玩耍着。
0:56:20|0:56:28|[霍小岚]在石桌旁擦拭着手中的桃心，桃心通体呈黄色，表面有着树枝一般的花纹。
0:56:28|0:56:34|[宋天荫]好奇地走到她面前坐下。
0:57:2|0:57:9|正在玩耍的小妖王突然停下看向[霍小岚]，[宋天荫]回忆道：
0:57:34|0:57:45|小妖王迅速偷走桌上的一块布。[霍小岚]发觉后指着它骂道，[宋天荫]指着桃心伸出手。
0:57:46|0:57:54|[霍小岚]半信半疑地递给他，[宋天荫]接过桃心吹了起来。
0:57:55|0:58:6|小妖王在角落中抖缩是要排泄可爱极了。
0:58:44|0:58:52|小妖王还是不愿意吃[宋天荫]喂给他的梨，[霍小岚]把[宋天荫]的手送到它嘴边，它正想咬，看到[宋天荫]的表情便合上了嘴。
0:59:38|0:59:44|小妖王睡在[宋天荫]和[霍小岚]中间，它在睡梦中抬起[霍小岚]的手，盖上[宋天荫]的手。
0:59:45|0:59:49|山谷中夜色宁静。
0:59:49|0:59:54|顺天府的河流蜿蜒，房屋建筑名次至比。
