0:3:12|0:3:17|弄堂里，两个小男孩捏手捏脚地走到杂货店门口。
0:10:33|0:10:39|小崇转头冲队员们喊道。
0:10:39|0:10:43|坐在地上的队员们不服气地起身。
0:11:0|0:11:5|在[方崇宇]和队员们的注视下，两人站到了起跑线上。
0:11:5|0:11:10|小虫把[周以晴]拉到跑道内侧，[周以晴]笑着接受了她的绅士行为。
0:11:10|0:11:17|[阿轩]走上前叮嘱小虫。
0:11:17|0:11:21|[阿轩]没有听从哥哥的嘱托。
0:11:21|0:11:23|[周以晴]做好了起跑姿势。
0:11:27|0:11:33|刚开始，小虫领先，但是两人并没有拉开很大差距。
0:11:33|0:11:40|[阿轩]发现小虫并没有站内圈，不禁皱起了眉头。
0:11:40|0:11:49|最后的冲刺阶段，[周以晴]开始发力，小虫力不从心，被[周以晴]反超，队员们鼓掌欢呼。
0:11:49|0:11:53|冲过终点的[周以晴]用力捂住胸口，大口喘息着。
0:11:56|0:12:5|[阿轩]走过去拍了拍小虫的肩膀。
0:12:5|0:12:12|疫情平复了呼吸，转身走过去晃了晃钥匙。
0:12:12|0:12:17|小虫仍是不甘心，[阿轩]揽着他的肩膀。
0:12:17|0:12:20|小虫推开[阿轩]，自己往前走了几步。
0:12:20|0:12:23|[阿轩]看了看小虫，无可奈何地离开了。
0:12:25|0:12:32|回家的路上[方崇宇]坐在[周以晴]的摩托车后座上发泄，[方崇宇]从摩托车上跳下来，[周以晴]急忙刹车。
0:12:56|0:13:6|[周以晴]从车上下来，看着小虫一拳一拐的背影，风吹乱了她的头发，遮住了半张脸。
0:13:6|0:13:14|她下定决心，冲着小虫喊道。
0:13:31|0:13:48|[周以晴]骑上摩托车回头丢下一句，[周以晴]调转了摩托车的方向，轰鸣而去。还带着头盔的小虫大喊他追着摩托车向前跑。
0:13:57|0:14:2|回到学校后，[周以晴]给小虫收拾出了储藏室的一点空间。
0:14:2|0:14:6|看到气喘吁吁的小虫跑回来了，[周以晴]说道。
0:14:18|0:14:25|[周以晴]白了小虫一眼，蹲下身划开火柴，点燃闻香。
0:14:25|0:14:35|小虫的目光落在[周以晴]的嘴巴、耳朵、眼睛上，嘴角不自觉地上扬。
0:14:35|0:14:39|[周以晴]抬头看小虫，小虫慌忙地躲开视线。
0:14:40|0:14:48|[周以晴]吹灭了火柴起身要向左走，小虫也向左走，[周以晴]向右，小虫也向右。
0:14:48|0:14:51|两人奇怪的默契让气氛变得有些暧昧。
0:14:51|0:14:53|小虫侧身走到桌子前坐下。
0:14:54|0:14:57|[周以晴]转身扔给他一个枕头。
0:14:57|0:15:4|[周以晴]笑着转身，小虫目送他离开。
0:15:4|0:15:11|夜晚，[阿轩]敲了敲女友小柯的窗户。
0:15:15|0:15:17|[阿轩]躺到床上抱怨。
0:15:59|0:16:3|[阿轩]把小柯手里的验孕棒拿到眼前。
0:16:3|0:16:6|[阿轩]愣住了。
0:16:6|0:16:10|清晨，[周以晴]带着小虫在山道上训练。
0:16:10|0:16:17|训练结束后，小虫痛苦地拉伸腿，[周以晴]边看书边压着她的背。
0:16:33|0:16:38|小虫没稳住，连带着[周以晴]差点摔倒。
0:16:38|0:16:48|[周以晴]伸出右手食指，[周以晴]把食指戳在她的额头上。
0:17:1|0:17:4|小虫拽住[周以晴]的手移开自己的额头。
0:17:4|0:17:15|[周以晴]使了个眼色，小虫不怀好意地笑着放开了手指，坐下来。
0:17:15|0:17:18|[周以晴]拿起一根棍子打在小虫身上。
0:17:24|0:17:36|小虫无奈起身，刚要弯腰，[周以晴]立马制止。
0:17:36|0:17:43|[周以晴]看着小虫那双破旧的运动鞋，问道。
0:17:43|0:17:51|[周以晴]皱着眉头，若有所思。
0:17:56|0:18:5|晚上，办公室里，[周以晴]从抽屉里拿出一个鞋盒。
0:18:5|0:18:8|盒子里有一双红色的运动鞋。
0:18:8|0:18:22|她深情地抚摸着这双红色的运动鞋，想起了她的弟弟。
0:18:50|0:18:54|小虫的衣服已经被汗水浸湿了大半。
0:18:54|0:18:54|[周以晴]看着他。
0:19:10|0:19:16|一栋老旧阴森的建筑里，[方崇宇]带着小柯来找怪医做人工流产。
0:19:16|0:19:20|小柯害怕地紧紧拽着[方崇宇]的胳膊。
0:19:20|0:19:21|穿过破败的楼道。
0:19:21|0:19:23|[方崇宇]敲了敲诊室的门。
0:19:26|0:19:28|两人推开门进去。
0:19:43|0:19:49|[方崇宇]坐到病床旁边，怪医走过来对他说。
0:19:59|0:20:3|小柯抽泣着目送[阿轩]出去。
0:20:3|0:20:8|怪医坐下。
0:20:8|0:20:17|诊疗室外，[阿轩]关好了门，悔恨地捶墙，强忍着泪水。
0:20:17|0:20:24|经过一番思想斗争，他冲了进去，把小柯从病床上一把抱起来。
0:20:24|0:20:25|怪医回头喊道。
0:20:31|0:20:41|[阿轩]坐在小柯屋里的床上，小柯的父亲情绪激动。
0:20:41|0:20:51|小柯的爸爸关上了门，坐到[阿轩]对面，小柯和妈妈开了条门缝，在外面不放心地窥探着。
0:20:51|0:20:56|他们对视片刻，[阿轩]真诚地说。
0:20:59|0:21:11|爸爸愤怒地暴打[阿轩]，小柯和妈妈冲进来制止。
0:21:11|0:21:20|爸爸一把推开小柯，[阿轩]急忙冲过去，小柯捂住肚子，[阿轩]把小柯扶到凳子上。
0:21:20|0:21:22|小柯摇了摇头，抱住了[阿轩]。
0:21:25|0:21:35|从这一刻起，哥哥[阿轩]将要背负起一个家庭的责任，而弟弟小虫依旧可以毫无顾忌地向着梦想努力奔跑。
0:21:35|0:21:40|山林里，小虫跨过泥潭，翻越无数障碍。
0:21:40|0:21:49|海滩边，小虫腰上绑着绳子，拖着沉重的轮胎刻苦练习，他用力地摆动双臂，眼神坚定。
0:21:49|0:21:55|一段时间后，小虫在公路上跑步，[周以晴]骑着摩托车在旁边计时。
0:22:12|0:22:17|小虫继续向前跑，没过多久，它就不小心跌倒了。
0:22:17|0:22:21|[周以晴]停下车，摘下头盔，走过去查看伤势。
0:22:28|0:22:33|乙晴皱着眉套看着他流血的膝盖。
0:22:46|0:22:52|乙晴嫌弃地捶了小虫一拳，转身去摩托车上拿了一个医疗包递给小虫。
0:22:54|0:22:57|小虫拉开拉链，在里面一样样地翻找。
0:22:57|0:23:1|乙晴给小虫处理伤口。
0:23:1|0:23:5|小虫疼得龇牙咧嘴。
0:23:5|0:23:13|小虫用右手食指戳着额头。
0:23:13|0:23:17|乙晴看了看[周以晴]，把自己的鞋带解了下来，绑到纱布上。
0:23:23|0:23:42|以前故意紧紧地系了一个结，拍了拍小虫的小腿。
0:23:42|0:23:50|小虫站起来凑近了一情，两人不自然地对视着。
0:23:50|0:23:51|小虫退后了一点。
0:23:59|0:24:11|乙晴骑上摩托车，戴上头盔。
0:24:11|0:24:19|乙晴发动了摩托车离开，小虫向前走了几步，喊道。
0:24:19|0:24:23|乙晴把车停到孤儿院的门口，小虫悄悄地跟在她后面。
0:24:25|0:24:30|乙晴察觉到后面似乎有人跟踪，回头却没看到人影。
0:24:30|0:24:36|她走到教室外，几个小朋友从教室里跑出来，院长从教室里追出来叮嘱。
0:24:39|0:24:42|乙晴示意院长保密。
0:24:49|0:24:52|小米看到了小虫，乙晴问道。
0:24:58|0:25:4|小米拉住了乙晴，乙晴向前探身，回头低声对小米说。
0:25:4|0:25:19|小柯家里，[阿轩]把头贴到小柯的肚子上，晃着手里的毛绒小熊对着肚子里的小宝宝说。
0:25:19|0:25:21|小柯从小熊的背后取出一卷钱。
0:25:34|0:25:37|[阿轩]站起来无奈地回应。
0:25:54|0:25:59|小柯生气地扭过头，[阿轩]也赌气地没有回答。
0:25:59|0:26:11|小虫穿着正装，拿着一朵白玫瑰，来赴乙晴的邀约。
0:26:11|0:26:15|走到饭店门口，[周以晴]对着玻璃整理衣服。
0:26:15|0:26:19|[周以晴]和小米在里面看到了这个场景，相视一笑。
0:26:20|0:26:25|小虫还在门外对着空气，练习见面要说的话。
0:26:25|0:26:37|说完，他叹了一口气，[周以晴]和小米推开门，憋着笑。
0:26:37|0:26:40|以琴揽着小米介绍道。
0:26:46|0:26:54|小米和小虫默契地做了个保密的手势，[周以晴]笑着转身进门，小虫走了两步又返回来关好了门。
0:26:54|0:27:4|小米用手指把奶油抹在了小虫的鼻梁上，[周以晴]也跟着凑热闹。
0:27:4|0:27:9|小米把两个人的手搭在一起，拍拍小虫的胳膊说。
0:27:9|0:27:13|说完小米跑开了，小虫呆呆地笑着，[周以晴]提示他。
0:27:20|0:27:32|小虫左手握住倚晴的右手，右手搂住倚晴的腰，倚晴的左手搭在小虫的右肩上，两人笑着，随着音乐甜蜜起舞。
0:27:32|0:27:35|小米在不远处看着两人，也开心地笑了。
0:27:48|0:27:54|话音刚落，[周以晴]就踩到了小虫。
0:27:54|0:27:58|夜色渐深，美好的约会也要结束了。
0:27:58|0:28:5|[周以晴]背着睡着的小米，小虫把外套撑开，给小米挡风。
0:28:5|0:28:7|小虫看着[周以晴]问道。
0:28:30|0:28:36|以前陷入了回忆，回忆中的他扎着短马尾从走廊慢慢走进教室。
0:28:39|0:28:50|正在画画的小米停下了手里的动作，目不转睛地看着[周以晴]胸口处翅膀形状的伤疤，突然开心地笑了。
0:28:50|0:28:54|她冲过来紧紧抱住了[周以晴]。
0:28:55|0:28:57|[周以晴]吓了一跳。
0:29:8|0:29:12|小米开心地搂住了益勤。
0:29:12|0:29:16|益勤也抱住了她。
0:29:18|0:29:22|这时小米醒了。
0:29:25|0:29:35|来，小虫把外套给小米穿上，以情温柔地看着她。
0:29:48|0:29:56|小虫看着[周以晴]和小米的背影，[周以晴]一手搂着小米，一手挥动着那只白玫瑰。
0:29:56|0:30:3|小虫高兴地转身离开，右手握拳做了个庆祝的动作。
0:30:3|0:30:8|时光飞逝，转眼间小柯和阿萱的孩子出生了。
0:30:8|0:30:14|医院里，他们依偎在一起，小柯接过婴儿，两人幸福地看着他们的女儿。
0:30:20|0:30:29|医生叮嘱着注意事项，[阿轩]想到之后的家庭生活开销会越来越大，脸色逐渐凝重。
0:30:29|0:30:33|他不得不再次来到那个古怪破旧的诊疗室。
0:30:33|0:30:36|怪医说，
0:30:49|0:30:53|杂货店里，[小虫]边买东西边练习踏步。
0:30:53|0:30:58|杂货店老板指了指自己的脑袋，他觉得[小虫]的脑子不太正常。
0:30:58|0:31:2|而[阿轩]被盗匪追赶经过杂货店，被[小虫]看到了。
0:31:2|0:31:6|[小虫]扔下手里的商品，转身出门追着[阿轩]。
0:31:6|0:31:11|杂货店的老板和老板娘好奇地走到门口围观。
0:31:11|0:31:13|外面有两三个盗匪追着[阿轩]跑。
0:31:15|0:31:44|[阿轩]凭着矫健的身手翻过墙钻过洞和盗匪绕着路纠缠[小虫]紧跟在他们身后吸引了盗匪团伙的注意力盗匪看到半路冲出一个人认定是[阿轩]的帮手便从身后攻击了[小虫][小虫]把他们一个个撂倒又继续向前追[阿轩][阿轩]看准时机从藏身的斜路上跳下去拦住[小虫]误认为他也是盗匪把他死死地摁在墙上。
0:31:46|0:31:49|路灯的光亮让[阿轩]看清了[小虫]。
0:31:49|0:31:51|[阿轩]松开手质问道。
0:31:57|0:32:1|[阿轩]从兜里拿出一盒药，晃了晃。
0:32:22|0:32:27|[阿轩]转身要走，[小虫]抢走了药。
0:32:27|0:32:33|[小虫]把药片都倒到了地上。
0:32:33|0:32:42|[阿轩]狠狠地打着[小虫]，又从他身上抢过钱包。
0:32:44|0:32:48|[阿轩]拿走了钱，把空包扔给[小虫]，转身跑走。
0:32:48|0:32:58|[小虫]生气地握紧拳头，砸了一下墙。
0:32:58|0:33:6|校园的储藏室里，[小虫]坐在床上，盯着床头贴的国际马拉松大赛的海报出神。
0:33:6|0:33:9|[周以晴]推门进来，敲了敲架子。
0:33:12|0:33:14|[小虫]匆忙地穿上裤子。
0:33:14|0:33:28|[周以晴]递过来一份报名表。
0:33:28|0:33:38|[小虫]张开双臂，想要拥抱[周以晴]。
0:33:38|0:33:41|乙晴拧住了小虫的手腕，将他撂倒在地。
0:33:43|0:33:47|小虫爬起来，看到乙晴的鞋子问道。
0:33:50|0:33:54|小虫把乙晴给他包扎伤口的鞋带缠在了手腕上。
0:33:54|0:34:1|乙晴伸手去拿，小虫躲开。
0:34:2|0:34:4|乙晴双手捧着那双红鞋。
0:34:11|0:34:19|小虫刚把新鞋拿出来，乙晴却离开了，小虫疑惑地看着门外。
0:34:19|0:34:28|一个暴雨天，小虫一拳一拐地在跑道上练习，不小心摔倒了。
0:34:28|0:34:34|乙晴走出门，刚打开伞，就看到了倒在地上的小虫，它飞奔过去。
0:34:38|0:34:52|乙晴一手撑着伞，一手费力地扶起小虫。
0:34:52|0:34:59|乙晴扔下伞，双手扶着小虫前往遗物室。
0:34:59|0:35:1|医生看着[方崇宇]说道。
0:35:33|0:35:35|乙晴扬起手，却没有打下去。
0:35:35|0:35:35|乙晴说完，转身离开了。
0:36:3|0:36:8|第二天比赛现场，参赛选手们都在积极地做热身运动。
0:36:8|0:36:17|小虫和[阿轩]对视了一眼，[阿轩]勾了勾嘴角，示意小虫留意前面身形高大的一名黑人选手。
0:36:17|0:36:27|小虫左腿膝盖和小腿上缠满了绷带，他咬牙坚持着，皱着眉头看向外围的亲友团，却没有发现以前的身影。
0:36:27|0:36:36|小崇用右手食指顶着额头，像以情教他的那样，他走到第一排，等待比赛开始。
0:36:36|0:36:43|发令枪响，在两侧亲友团的欢呼声中，参赛选手们按照自己的节奏向前奔跑着。
0:36:43|0:36:51|或许是萧岩真起了作用，小崇刚开始跑在最前面，步伐平稳，呼吸均匀，像没有受伤一样。
0:36:56|0:37:2|没过多久，[阿轩]就轻松地追了上来，不懈地转头对他说。
0:37:2|0:37:13|小虫咬着牙超过[阿轩]，[阿轩]又加速超过小虫，在马拉松这样考验耐力的比赛中，有人并肩作战，无疑会轻松一些。
0:37:13|0:37:19|[阿轩]用自己的方式陪伴激励着小虫，他们并肩跑过中途补水服务点。
0:37:21|0:37:27|到赛事后半段，[阿轩]发觉小虫的速度越来越慢，那名黑人选手也追了上来。
0:37:32|0:37:37|小虫渐渐疼痛难忍，脚步越来越沉。
0:37:37|0:37:40|蓄意报复的小胖从后面追上来故意撞倒小虫。
0:37:45|0:37:50|[阿轩]听到这句话，不放心地回头看了一眼，看到了摔倒的小虫。
0:37:50|0:37:53|她停下了脚步，犹豫着。
0:37:53|0:37:56|她下定了决心，转身把小胖推出赛道。
0:37:56|0:38:1|狠狠地打了一顿。
0:38:1|0:38:6|小虫咬着牙站起来，嘶吼着，一瘸一拐地继续拼命向前跑。
0:38:17|0:38:30|小虫努力地赶超了一名又一名选手，但伤势过重，没跑多远，就又摔倒了。
0:38:30|0:38:36|他痛苦地蜷缩在地上，绝望地看着渗出血的左腿，站不起来。
0:38:36|0:38:43|这时，[周以晴]走了过来，向他伸出了一只手，像他们在操场上初见的那样。
0:38:43|0:38:45|小虫抬头看着[周以晴]。
0:39:9|0:39:15|那位黑人选手在观众的欢呼和掌声中第一个到达终点。
0:39:15|0:39:16|第二名是[阿轩]。
0:39:18|0:39:28|工作人员把毛巾披到[阿轩]的身上，[阿轩]看着不远处黑人选手和亲友拥抱庆祝，不甘心地把毛巾摔在了地上。
0:39:34|0:39:38|学校的储藏室里，[周以晴]帮小虫固定支架。
0:39:53|0:39:57|以前看了看小虫，又低下头沉默。
0:40:40|0:40:45|小虫叹了口气，看着[周以晴]的眼睛问道。
0:40:59|0:41:1|疫情低头拉上医疗包的拉链。
0:41:25|0:41:37|小虫卷起[周以晴]的衣袖，用手指一点点滑过那道伤疤。
0:41:37|0:41:41|小虫停顿了一下，[周以晴]注视着他的眼睛。
0:41:45|0:42:1|小虫和[周以晴]深情地凝望着彼此，小虫慢慢靠近[周以晴]，他们的额头靠在了一起。
0:42:1|0:42:8|片刻，小虫突然皱了皱眉头，又偏过头远离了[周以晴]，抽气起来。
0:42:23|0:42:36|[周以晴]看着小虫痛苦的样子，泪水从眼角滑落。
0:42:41|0:42:43|[周以晴]伸出手，抚摸小虫的脸颊。
0:42:50|0:43:6|以情搂住小虫的脖子，他们的额头又紧靠在一起。
0:43:6|0:43:13|深夜，以情独自一人在外面跑步，把机械的摆臂和脉部作为情绪发泄的出口。
0:43:20|0:43:34|不知跑了多久，她跪倒在地上，捂住胸口失声痛哭。
0:43:34|0:43:40|黑暗仿佛能吞噬所有的悲伤、无力与告别。
0:43:40|0:43:45|蝉鸣犹在，灯火依旧，夜晚的城市平静得像一场梦。
0:43:51|0:43:59|第二天一早，[周以晴]背着包在火车站等车。
0:43:59|0:44:9|校园里，[小虫]一拳一拐地走到办公室，发现[周以晴]的办公位已经空了。
0:44:26|0:44:27|潘教练嚼着口香糖。
0:44:53|0:45:2|[小虫]冲了出去，这时，[方崇宇]的火车到了。
0:45:2|0:45:5|[小虫]拼命地跑向火车站。
0:45:11|0:45:23|[米情]坐在火车上，抱着那个鞋盒，上面有她弟弟歪歪扭扭的字迹，我要成为世界第一。
0:45:27|0:45:35|[小虫]终于跑到了车站，可火车已经开动，她跌跌撞撞的追赶，却只能目送着火车远去。
0:45:41|0:45:47|[小虫]失魂落魄地回到家里，门外停着的是爸爸开了一辈子的出租车。
0:45:47|0:45:47|屋内，生病的爸爸正在躺着输液。
0:46:15|0:46:20|爸爸费力地坐起来。
0:46:23|0:46:24|[周以晴]生气地扭头就走。
0:46:39|0:46:45|[周以晴]走到门外，爸爸还在屋里候着。
0:46:45|0:46:59|[周以晴]走到出租车前，看着老旧的车，他扶着摇下的车窗站了很久，最后决定和爸爸一样，以开出租车，维持生计。
0:47:4|0:47:14|在这之后的无数个日夜，[周以晴]都过着开出租车的平淡生活。
0:47:27|0:47:39|无告而别的[方崇宇]，因为自己而没有夺冠的哥哥，重病的父亲，左腿的伤势，这些沉甸甸的现实压得她喘不过来气。
0:47:39|0:47:47|长跑似乎已经变成了她藏在心底的遥不可及的梦想。
0:47:47|0:47:52|一天，[周以晴]像往常一样出门载客，突然后排乘客发话。
0:47:54|0:48:22|[周以晴]立刻刹车，乘客撞到了前座上。乘客不耐烦地付了钱下车就走。[周以晴]拿起乘客落下的杂志，是1994年的《跑者志》。封面上有美国峡谷7日超级马拉松的内容提要。这时有一位乘客上车，[周以晴]把杂志收了起来。麻烦前面电视台，谢谢。
0:48:25|0:48:35|后座的乘客是当时尚未成名的[周杰伦]。
0:48:35|0:48:38|车子加速，[周杰伦]手里的录音带滑了出去。
0:48:57|0:49:5|小虫兴奋地把杂志封面给[周杰伦]看。
0:49:5|0:49:15|小虫伸手把录音带捡起来，直接塞到车里的卡槽里开始播放。
0:49:15|0:49:18|车里放出了音乐声。
0:49:18|0:49:20|小虫笑着继续开车。
0:49:20|0:49:23|不一会儿，他又调大了音乐的声音。
0:49:25|0:49:32|[周杰伦]也开始更仔细地看沙漠马拉松赛事通知。
0:49:32|0:49:44|那天，阳光正好，瞬间往事涌上心头，回忆里都是有关长跑梦的执念，还有小时候的哥哥和教练以琴。
0:49:54|0:50:3|[周杰伦]有些不好意思，小虫把录音带取下递给他。
0:50:20|0:50:24|周杰伦把杂志递给[小虫]。
0:50:29|0:50:32|周杰伦口袋里只有一些零钱。
0:51:2|0:51:6|周杰伦跑进了电视台。
0:51:6|0:51:10|[小虫]重新燃起了跑沙漠马拉松的梦想。
0:51:10|0:51:16|开出租车的空闲里，他去医院拍了片子，忍痛做了康复训练。
0:51:29|0:51:31|去游泳锻炼体能和肺活量。
0:51:38|0:51:46|他时常会想起以前跟他说的那些话，用手指戳着他的额头对他说。
0:52:12|0:52:27|一天，[小虫]正在车里看那本杂志，突然，[阿轩]冲上来拿刀抵着他的脖子威胁道。
0:52:27|0:52:33|[阿轩]惊讶地摘下墨镜。
0:52:33|0:52:36|警车驶过，[阿轩]猛地低下了头。
0:52:43|0:52:50|突然下起了暴雨。
0:52:50|0:52:58|[阿轩]下了车就开始拼命向前跑，小虫也跟着下车，在后面追着[阿轩]。
0:52:58|0:53:8|小虫扑倒[阿轩]，两人扭打在泥坑里。
0:53:8|0:53:11|小虫挥着拳头，没打中，被[阿轩]反扑。
0:53:13|0:53:18|[阿轩]捏着一叠钱给小虫。
0:53:18|0:53:28|小虫把钱扔掉，推开[阿轩]，站起来。
0:53:28|0:53:37|[阿轩]抹了一把脸上的泥水。
0:53:37|0:53:41|[阿轩]把小虫推倒在泥水里，两人再次扭打起来。
0:53:54|0:54:0|小虫打了[阿轩]一拳，两人都跌倒在泥坑里。
0:54:11|0:54:13|小虫一拳重重地砸在泥水里。
0:54:27|0:54:40|[阿轩]朝小虫伸出一只手，小虫咬紧牙关大喊了一声，握住[阿轩]的手，借力站了起来。
0:54:40|0:54:54|[阿轩]把小虫揽在怀里，暴雨倾盆而下，淹没了泪水和嘶吼，似乎也冲淡了一些误会和仇恨。
0:54:54|0:54:59|雨过天晴，小虫跟着[阿轩]一起揽活。
0:55:10|0:55:18|[阿轩]抢过贾医生手里的药箱，对方的同伙立刻冲出来抢夺，[阿轩]把药箱扔给小虫。
0:55:18|0:55:22|小虫接住药箱，两人得手后迅速逃跑。
0:55:22|0:55:30|眼看着对方就要追上小虫，他又把背包扔给[阿轩]。
0:55:30|0:55:35|[阿轩]背着背包，贾医生在后面穷追不舍。
0:55:35|0:55:38|[阿轩]跳到一个房顶上，贾医生大吼着。
0:55:41|0:55:46|[阿轩]站在高处，把背包扔给小虫。
0:55:46|0:55:49|小虫跳起来接住背包就跑。
0:55:49|0:55:56|假医生拿出刀刺向[阿轩]，[阿轩]和对方两人纠缠不休。
0:55:56|0:56:1|他拿起地上的花盆朝他们砸去，渐渐力不从心，被刀划伤了脸。
0:56:3|0:56:31|对方抛下[阿轩]来找带着背包的小虫，他们左右夹击。小虫只好用手抓住房梁跳起来躲避，眼看背包就要被抢走，小虫一个后脚踢把对方甩掉，又重新爬上平台把背包丢给在下面接应的[阿轩]。[阿轩]用背包抡倒对方两人，顺着梯子爬到高处后把梯子推倒，赢得片刻喘息。
0:56:38|0:56:43|另一边，小虫拨打了报警电话。
0:56:43|0:56:49|中士寡不敌众，[阿轩]被对方围攻，已无还手之力。
0:56:49|0:56:57|这时，警铃大作，对方立刻逃跑。
0:56:57|0:57:0|[阿轩]笑着靠在墙角，给自己点了一支烟。
0:57:7|0:57:12|小虫把车开到离[阿轩]不远处的地方停下，有两个人上了车。
0:57:12|0:57:17|其中一位乘客竟然是[周以晴]。
0:57:17|0:57:27|小虫看了看后事件里的[周以晴]，又看了看在墙角被审问的[阿轩]，咬着牙发动了车子。
0:57:30|0:57:38|乙晴认出了小虫，路上一直探着头往前看，身边的男人疑惑地问道。
0:57:38|0:57:43|乙晴捋了一下头发，装作若无其事。
0:57:43|0:57:55|男人看到那本杂志惊叹道。
0:57:55|0:57:57|车停了，乙晴对男人说。
0:57:59|0:58:13|乙晴把钱递给小虫，小虫没有直接拿走钱，而是轻轻握住了乙晴的手。
0:58:13|0:58:20|乙晴深情地注视着她。
0:58:20|0:58:26|片刻，小虫平复了情绪，松开手抽走了钱。
0:58:31|0:58:37|[周以晴]把杂志放到副驾驶的位置上。
0:58:37|0:58:45|男人贴心地走到车门旁，帮她关门。
0:58:45|0:58:49|他们走了几步之后，[周以晴]又回头看了一眼。
0:58:55|0:59:17|小虫看着两人的背影，难过地把钱甩到一边，拿起那本杂志，想要一页一页全部撕碎。
0:59:17|0:59:23|突然，他发现超级马拉松的那页上画着一个断桥，下面写着下午两点。
0:59:31|0:59:35|下午，小虫跑到断桥上，扶着护栏弯着腰大口喘气。
0:59:43|0:59:57|一改平时的运动装，穿着裙子的[周以晴]从桥的另一边走来。
1:0:36|1:0:42|[周以晴]从包里拿出了一个纸袋。
1:1:2|1:1:5|小虫生气地再次质问。
1:1:21|1:1:23|小虫撕碎了那个纸袋，扔到地上。
1:1:49|1:1:51|就算真的有生命危险，他还是去跑了。
1:1:56|1:1:59|[方崇宇]站起来，盯着小虫。
1:2:17|1:2:27|说完，[阿轩]转过他半边肩膀快步离开，小虫愣住了，他决定去参加超级马拉松。
1:2:27|1:2:34|沙漠里，[方崇宇]戴好墨镜，看着高高低低一望无际的沙丘，坚定地站到起跑线前。
1:2:43|1:2:50|发令枪响，参赛选手们欢呼着向终点奔跑。
1:2:50|1:2:58|烈日当空，[方崇宇]独自跑过茫茫沙漠。
1:2:58|1:3:7|中途，他和外国人查理结伴同行，两人听到头顶有飞机的轰鸣，同时停下了脚步抬头去看。
1:3:7|1:3:10|查理高举双臂，兴奋地朝天上挥手。
1:3:14|1:3:20|查理拍了拍[方崇宇]的胸脯，[方崇宇]跟了过去。
1:3:20|1:3:23|原来，查理的妻子和女儿来了。
1:3:23|1:3:28|他们一下飞机就朝查理跑来，幸福地拥抱在一起。
1:3:28|1:3:37|[方崇宇]默默走到一边卸下装备。
1:3:37|1:3:37|[方崇宇]没有听到。
1:3:40|1:3:44|小虫停住了脚步，回头看到了[周以晴]。
1:3:44|1:3:56|他冲过去，紧紧抱住了她。
1:3:56|1:3:58|两人并肩走在盐湖边。
1:4:6|1:4:8|[周以晴]突然面对着小虫倒着走。
1:4:29|1:4:31|以前转过身，走在小虫前面。
1:4:51|1:4:58|小虫拉住[周以晴]的手，注视着她，认真地说。
1:5:17|1:5:23|李晴笑着摘下背包，扎起头发。
