0:1:51|0:1:58|在日口侵占的金浦铁路临沼支线上，日本鬼子的列车载着抢夺而来的煤炭疾驰着。
0:26:26|0:26:39|鬼子军官瞄了他一眼，[王强]坐到了鬼子军官对面，将酒瓶和烧鸡放在桌上，鬼子军官坐着了身子，[王强]想给他一支烟，被鬼子拒绝了。
0:26:56|0:27:3|[王强]又递上香烟，鬼子军官接过了，一旁车厢门口，伪装好的[鲁汉]随时准备动手。
0:27:3|0:27:8|[王强]私下捎起腿来，递给鬼子军官。
0:27:8|0:27:11|鬼子军官推辞了一下，便接了过来，大口的吃起来。
0:27:13|0:27:17|[王强]给他倒上酒，踢到他面前。
0:27:17|0:27:26|此时，另一节车厢里，一名游击队员把酒和包子谄媚地献给一名鬼子兵。
0:27:28|0:27:33|一旁的旅客低声议论，列车仍在夜色中急驰。
0:27:33|0:27:38|车厢内，游击队员[小坡]弹起了土琵琶，鬼子军官饶有兴致地听着。
0:27:46|0:27:57|与此同时，[刘红]和[彭亮]已埋伏在铁路的一侧。
0:27:57|0:28:2|说完，[刘红]飞快地穿过了铁路下的寒冻，跑到铁道的另一侧。
0:28:2|0:28:6|[彭亮]也冲出草丛，轻轻一跃，便爬上了行进中的火车车头。
0:28:8|0:28:14|他在车厢连接处抬头一瞧，只见在列车头的另一侧，[刘红]也爬了上来。
0:28:14|0:28:19|[刘红]掏出枪，击毙了鬼子司机。
0:28:19|0:28:22|两人爬上车厢，冲进驾驶室。
0:28:22|0:28:29|[王强]迅速坐上了位置，熟练地操纵着列车，火车立即加速向前奔去。
0:28:36|0:28:49|刘红点点头，司机一进，便高兴地拿起铁锹，卖力地给火车炉添煤，列车在铁轨上急驰了起来。
0:28:49|0:28:57|另一边车厢内，游击队员们给鬼子兵变戏法，弹琵琶，酒添了一杯又一杯。
0:28:57|0:29:1|鬼子军官贪婪地大嚼着游击队员递来的食物，完全放松了警惕。
0:29:4|0:29:9|火车越开越快，琵琶越弹越急。
0:29:9|0:29:23|暗暗观察的游击队员蓄势待发，列车继续行进着，眼看就要到[王强]火车站的站台了。
0:29:23|0:29:30|[王强]驾着列车毫不犹豫地闯过了站台，王沟车站内的站长急忙向高雄打电话报告了情况。
0:29:41|0:29:49|而铁轨沿线的一个山坡上，李正已经与游击队摆好，准备伏击列车。
0:29:49|0:29:54|火车车厢外，只见[刘红]单手扶住车身，迎风立在车头外侧。
0:29:54|0:29:59|眼看，列车即将到达山坡，他朝天空举起手枪，发出信号。
0:30:6|0:30:19|听到枪声，膨量拉闸，对列车进行紧急制动，列车开始减速，车厢内，有机队员们神色严肃，做好了战斗的准备。
0:30:19|0:30:24|[王强]对面的鬼子军官探出车窗张望，[王强]趁机用酒瓶砸向他的脑袋。
0:30:25|0:30:33|其他游击队员也纷纷出手，他们有的掏出手枪，有的抄起酒瓶，有的赤手空拳与鬼子搏斗。
0:30:33|0:30:38|旅客们被惊动，都起身逃窜，车厢内一片混乱。
0:30:38|0:30:44|一名游击队员和鬼子扭打在一起，他抓起旁边一个鸡蛋，用力拍碎在鬼子兵的脸上。
0:30:44|0:30:49|[小坡]则拉下列车的窗户，用力卡住朝窗外张望的鬼子军官的头。
0:30:50|0:30:57|鬼子不断奋力挣扎着，[小坡]超级土琵琶狠狠砸向他，连窗玻璃也被砸碎了。
0:30:57|0:31:4|眼见鬼子兵还在挣扎，[王强]拔出手枪，走了过来。
0:31:4|0:31:8|[王强]一枪打死了被卡住的鬼子军官。
0:31:8|0:31:13|在枪声中，列车缓缓停在了一个铁路的寒桥上。
0:31:13|0:31:19|与此同时，鬼子小林和钢村带领着鬼子兵登上铁路装甲车，追向被劫的列车。
0:31:21|0:31:25|此时，旅客们聚集在列车所停的寒桥下，[李正]高声喊道。
0:31:47|0:31:55|游击队员们在列车的车厢外，贴上了中华民族解放万岁等标语，将一个写有八落的草帽丢在了列车旁。
0:31:59|0:32:5|乘客们在游击队员的掩护下，开始迅速分散转移。
0:32:5|0:32:11|鬼子的铁路装甲车炮火不断，一边远远地向列车轰炸，一边前进着。
0:32:11|0:32:14|但由于铁路被游击队破坏，装甲车不得不停下来。
0:32:17|0:32:19|鬼子[小林]观察了一下情况。
0:32:22|0:32:30|铁路装甲车的射击更猛烈了，炮弹接二连三地落在铁轨旁，炸弹爆炸的黑烟不断腾起。
0:32:30|0:32:37|一轮炮击后，[小林]和[钢村]率队走到了被劫的列车旁，发现车内早已空无一人。
0:32:46|0:32:50|[小林]没有作声，而是低头看到了那顶草帽。
0:32:50|0:32:55|他捡起草帽，只见上面写着八路二字。
0:33:18|0:33:32|江村则带领着部下检查车厢，邮局队员们正在转移。
0:33:32|0:33:36|[小坡]带着鬼子的帽子，扛着收缴的弹药，快活地唱了起来。
0:33:56|0:34:13|刘红说完便离开向前探路去了，其他队员们都四散休息，[彭亮]倚着枪坐下，[王强]站到他身侧，弹着衣服上的尘土，[彭亮]掏出烟递给[王强]。
0:34:30|0:34:37|此时，前方的刘红带着[小坡]，爬上了山坡。
0:34:37|0:34:52|他们眺望着宽阔的微山湖，湖面有几面白翻荡漾，只见湖水波光粼粼，远处群山环绕，十分宁静。
0:34:52|0:34:55|看到这样的景色，刘红不禁笑着感叹道。
0:34:59|0:35:10|然而，在山坡下的一块大石头旁，几个国民党兵贼头贼脑地探出头来，他们发现了山坡上的刘红和[小坡]。
0:35:10|0:35:20|一名国民党军官透过望远镜看清了两人，示意步下开枪。
0:35:20|0:35:21|刘红右臂中弹。
0:35:24|0:35:28|刘红用左手打出了手枪，与[小坡]一起开枪还击。
0:35:28|0:35:39|国民党军官指挥着大批部队向山坡上发起进攻，枪声惊动了在山坡下休息的游击队员们，往前指挥队员。
0:35:39|0:35:43|游击队员们拔出手枪，分头向两个方向发起作战。
0:35:43|0:35:46|在山坡上，[刘红]因失血过多而昏迷。
0:35:47|0:35:54|[小坡]背起[刘红]，飞快地向山坡下苗中的村子跑去，跑到了[芳林嫂]家的院子大门外。
0:36:5|0:36:11|[芳林嫂]打开院子的大门，见[小坡]背着昏迷的[刘红]，大吃一惊。
0:36:11|0:36:16|[小坡]背着她走进了院子，[芳林嫂]急忙关上了院子大门。
0:36:16|0:36:19|[小坡]将[刘红]放在炕上，并搀扶她坐下。
0:36:19|0:36:28|[芳林嫂]急忙拿出一块白布，撕了一条下来，给头部受伤的[刘红]包扎着。
0:36:28|0:36:34|这时，院子外，国民党军官带领着部下追了过来，他们跑过了[芳林嫂]的家门口。
0:36:36|0:36:52|另一边，游击队员们也冲进了村子，纷纷掏出手枪，与国民党军交火，击退了他们。
0:36:52|0:36:59|在[芳林嫂]家屋里，[刘红]虚弱地闭眼躺在炕上，头上包扎着白布。
0:36:59|0:37:3|[芳林嫂]坐在炕边，端着一碗汤，一勺一勺地喂给[刘红]。
0:37:6|0:37:19|[刘红]喝着汤，睁开眼睛深情地看着她，[芳林嫂]也温热地望向[刘红]，二人不语。
0:37:19|0:37:28|这时，[李正]，[王强]和其他几个队员走了进来，[芳林嫂]点头示意，端着碗走了出去。
0:37:28|0:37:29|[刘红]吃力地坐起身。
0:37:32|0:37:39|扶着[刘红]躺下，其他人关切地看着他，[刘红]因为激动而微微颤抖着说，
0:37:44|0:37:50|[刘红]的头歪向义兵，眉头紧锁，愤恨地说，
0:37:57|0:37:59|[刘红]不甘地一拳砸在床板上。
0:38:9|0:38:14|[刘红]点了点头，但还是满面愁容，深深地吸着气。
0:38:14|0:38:18|[李正]在床头安慰着她。
0:38:18|0:38:28|在早庄火车站的特务队指挥部办公室里，[鲁汉]抽着烟，走到办公桌前，拿起从车厢里搜出来的土琵琶，一名特务走来。
0:38:59|0:39:4|江村陷入了思考。
0:39:4|0:39:16|夜里，在苗庄[芳林嫂]的家里，桌上烛火摇曳，还在养伤的刘红，坐在火盆前抱着已经熟睡的凤儿。
0:39:16|0:39:22|她将凤儿慢慢放到了床上，并为她轻柔地盖好被子。
0:39:22|0:39:37|这时，[芳林嫂]端着一碗鸡汤走了进来，她欣慰地看着，[芳林嫂]将鸡汤放在了桌子上，走到刘红身边，两人相识一笑。
0:39:37|0:39:44|说完，[芳林嫂]从桌上拿起医药包，坐在了货盆前，并往盆里加了几块炭。
0:39:44|0:39:51|刘红也从床边起身，取下手臂上的绷带，坐到了[芳林嫂]的对面。
0:39:51|0:39:53|[芳林嫂]揭开纱布，细心地换着药。
0:39:56|0:39:59|上好药后，她又缠上了新的绷带。
0:39:59|0:40:13|换药时，刘红总是偷偷地看着[芳林嫂]，[芳林嫂]也不时地望向她。
0:40:20|0:40:29|刘红说着，右手拿起了放在桌边上的步枪，稳稳地瞄准着假想中的敌人，一旁的[芳林嫂]深情地看着他。
0:40:32|0:40:37|第二天一早，李正等一队队员来到了[芳林嫂]家里开会。
0:40:37|0:40:39|[芳林嫂]为他们做了饭。
0:40:39|0:40:46|几人在桌旁坐好，[芳林嫂]就去灶口前，从里面拿出了几个烤好的红薯，并用围裙兜着，站了起来。
0:40:46|0:40:50|灶台前的小婆笑着，从她的围裙里拿走了一个。
0:40:50|0:40:52|[芳林嫂]走到桌前。
0:41:13|0:41:16|[芳林嫂]说着，便披上衣服出门了。
0:41:16|0:41:19|刘红腼腆地笑了。
0:41:19|0:41:23|屋外，[芳林嫂]在村口的一棵大树下观望着。
0:41:23|0:41:28|这时，只见三个形迹可疑的人，朝村里走来。
0:41:28|0:41:30|[芳林嫂]警惕地躲在大树后面观察着。
0:41:32|0:41:50|只见其中两个人推着一辆小推车，车上坐了一个人，他们走到村口便停住了，那人从车上拄着拐杖走了下来，[芳林嫂]发现不对劲，只见那人一边走一边鬼鬼祟祟地张望，原来他是鬼子刚村。
0:41:52|0:41:55|[芳林嫂]悄悄后退，转身往家里跑去。
0:41:55|0:42:1|刚村发现了，她拔出手枪，示意藏在后面的一大批便衣特务们，一起追了过去。
0:42:1|0:42:8|村口的枪声惊动了正在开会的游击队员们。
0:42:8|0:42:11|[芳林嫂]及时赶来，刘红跑了几步，又折回来。
0:42:19|0:42:31|说吧，两人分头跑开，[芳林嫂]晓跳墙翻出了自家的院子，他刚落地，只见鬼子已经来到院子门外，只好靠墙隐蔽。
0:42:31|0:42:37|另一边，刘红，李正和[王强]接连跳过院墙，迅速转移着，而[小坡]背着凤儿。
0:42:38|0:42:54|来到一位老大娘的院子里，将凤儿交给她后，也跳墙离去，江村带领着鬼子便衣，闯进了[芳林嫂]的家里，粗暴地四处翻找着，桌子，柜子都被狠狠地砸翻在地，却都一无所获。
0:42:54|0:43:1|他们将院子里闹得鸡飞狗跳，并胡乱开枪，刘红，李正，[王强]和[小坡]翻过土墙来到村口。
0:43:12|0:43:16|另一头，[芳林嫂]还在村子里躲避着鬼子的追捕。
0:43:16|0:43:22|她躲在墙后，又看到一大批鬼子冲进了村子。
0:43:22|0:43:26|他们和一个躲在大树后的便衣特务接头。
0:43:31|0:43:35|他们正准备行动，突然，枪声传来。
0:43:35|0:43:38|原来是[刘红]和[李正]带领着游击队员逃了回来。
0:43:39|0:43:46|鬼子便衣们四处逃窜，游击队员们扔出手榴弹，纷纷架着枪冲了上去。
0:43:46|0:43:53|[钢村]等鬼子慌忙地从屋里跑了出来，他刚想逃，就发现院内已经被包围了。
0:43:53|0:43:57|[刘红]带着游击队员冲进了院子，消灭了鬼子便衣。
0:43:57|0:44:3|只有[钢村]跳墙逃出了院子，并不顾一切地朝村外跑去。
0:44:3|0:44:5|[刘红]一边射击，一边穷追不舍。
0:44:8|0:44:13|当[钢村]跑到村外的大树下时，正好碰到了躲在树后的[芳林嫂]。
0:44:16|0:44:23|[芳林嫂]飞扑过去，与[钢村]扭打在一起，并拽住[钢村]的衣服，用手榴弹狠狠砸向她的头。
0:44:23|0:44:24|[钢村]挣脱了衣服跑开了。
0:44:26|0:44:34|[芳林嫂]闻声将手榴弹扔了过去，但手榴弹只砸中了[钢村]，并没有爆炸，滚落在地。
0:44:34|0:44:37|雷鸿急忙取枪射击，却发现没有子弹了。
0:44:40|0:44:43|江村越跑越远，已然逃脱了。
0:44:43|0:44:47|看着逃走的江村，刘红懊悔地跺了下脚。
0:44:47|0:44:53|之后，她从地上捡起了没有爆炸的手榴弹。
0:44:55|0:45:0|[芳林嫂]右手要去拉弦，被刘红按住。
0:45:0|0:45:7|[芳林嫂]对自己的失误也懊恼不已，她懊悔地一跺脚，并将手里江村的外衣狠狠甩在了地上。
0:45:11|0:45:28|晚上，鬼子的骑兵队踏进了苗庄，开始肆意放火，[冈村]头上缠着绷带指挥着，鬼子们疯狂报复，村庄陷入了火海。
0:45:28|0:45:35|天亮后，[刘红]带领着队员们来到了被烧毁的苗庄，这里还有残余的黑烟飘起。
0:45:39|0:45:50|无家可归的乡亲们都坐在路边，神情凝重，孩子哭闹着。
0:45:50|0:45:57|游击队员们看着这一切，表情沉重，[鲁汉]义愤填膺地说。
0:46:9|0:46:18|湖边的小高地上，游击队跟日本鬼子打起了阵地消耗战。
0:46:18|0:46:24|鬼子部队挥舞着日本国旗，一波一波的疯狂进攻。
0:46:24|0:46:26|一排游击队员用机关枪猛烈射击。
0:46:36|0:46:43|[王强]见劝说不动[刘红]，便来到[小坡]的身边。
0:46:43|0:46:48|[王强]着急地直跺脚，[小坡]端着枪离开。
0:46:50|0:46:59|[刘红]一声泪下，游击队的射击愈发猛烈，一颗颗手榴弹接连炸开，硝烟滚滚，大批的鬼子在高地前倒下。
0:46:59|0:47:4|[鲁汉]兴奋地大笑起来，并拿出酒瓶猛灌一口。
0:47:4|0:47:7|草丛中，一名鬼子兵朝他开枪，打落了酒瓶。
0:47:7|0:47:12|[鲁汉]气愤地丢掉酒瓶，跳出战壕，用手枪击毙了朝他开枪的鬼子兵。
0:47:13|0:47:27|捡起鬼子手上的机枪准备射击，然而另一名鬼子开枪击中了他，手上的[鲁汉]端着机枪向鬼子们射击着，突然[鲁汉]头顶中了一枪。
0:47:27|0:47:33|[王强]拉住小波，朝鬼子扔了一颗手榴弹，同时其他人将[鲁汉]拉回了战壕。
0:47:38|0:47:46|鬼子军官高举着战刀，指挥着鬼子们向游击队的阵地发起了冲锋。
0:47:46|0:47:49|刘红端起机枪，与游击队员一同回击。
0:47:49|0:47:52|这时，李政乘船回来了。
0:47:52|0:47:55|李政快速跑到刘红的身边。
0:47:58|0:48:4|鬼子部队接连不断地冲锋着，大批僧人部队也不断朝游击队的阵地涌来。
0:48:4|0:48:6|眼看游击队就要被包围了。
0:48:18|0:48:26|刘红说着，得用机枪继续向鬼子射击，大批的鬼子接连倒下，在阵地前。
0:48:26|0:48:36|在刘红的指挥下，游击队员们迅速撤下了高地，他们刚刚撤离阵地，鬼子就开始开炮，炮火轰炸，刚刚的阵地瞬间被硝烟覆盖。
0:49:13|0:49:25|躺在炕上受伤的[李政]醒了过来，刘红急忙走到[李政]身边。
0:49:25|0:49:28|[李政]从被子里伸出手，掏出一盒烟，递给刘红。
0:50:13|0:50:29|刘红眼含热泪，握住了[李政]的双手，画面转到威山湖湖边，刘红紧紧抱着躺在担架上的[李政]，游击队员们都来到了湖边，依依不舍的送别[李政]。
0:50:51|0:51:0|这时，[芳林嫂]来到了[李政]担架前。
0:51:3|0:51:19|之后，队员们将他抬上了停在湖边的小船，游击队员们都目送着小船离开，只见小船在平静的微山湖上越拾越远，刘红目送着小船，流下一行热泪。
0:51:19|0:51:28|1941年，太平洋战争爆发，在鬼子小林的指挥部会议室里，鬼子重将领们正等待着小林，当[彭亮]跟着小林走了进来。
0:51:30|0:51:32|鬼子重将迅速立正。
0:51:32|0:51:33|小[林]打开桌上的地图。
0:51:59|0:52:6|围山湖上，游击队员们扒着马车代替火车，在行进中进行射击训练。
0:52:6|0:52:9|子弹击中作为目标的葫芦，弹无续发。
0:52:9|0:52:12|这时，[刘亨]来到了训练场。
0:52:27|0:52:39|镜头一转，[芳林嫂]在家里穿好一双绣花鞋，接着她对着镜子仔细地梳妆打扮着。
0:52:40|0:52:40|只见[刘强]打扮成新郎官的模样，她转过身来，看着[芳林嫂]笑着说。
0:52:55|0:53:11|热闹的集市上，[芳林嫂]拿着包袱坐在毛驴上，[刘强]则牵着驴，他们穿过集市，走到一个街口，[芳林嫂]从毛驴上跳了下来，[刘强]一边拴着驴，一边向[芳林嫂]交代。
0:53:17|0:53:20|[芳林嫂]说完便拿着包裹朝街内走了进去。
0:53:21|0:53:26|[刘强]则和[彭亮]会合，一起朝街里的另一个方向走去。
0:53:26|0:53:35|[刘强]和其他三名会合的队员一起，走进了街边一个小饭店。
0:53:35|0:53:39|几人走进了一个包间，并在餐桌前坐了下来。
0:53:39|0:53:45|这时，外面餐桌上传来了客人的议论声。
0:53:59|0:54:18|刘红问饭店伙计，饭店伙计说完便出去了，刘红抽着烟思考片刻，站起身来，放下了包间的门帘。
0:54:23|0:54:24|他们开始换衣服。
0:54:24|0:54:32|另一边，[芳林嫂]在布置任务。
0:54:32|0:54:35|而饭店里的客人还在议论。
0:54:46|0:54:47|一个客人竖起大拇指。
