0:2:1|0:2:8|小悠将藏宝图放在桌上，吸引了某种二人的目光。
0:6:50|0:6:53|吴自第一怀疑目标便是[苗子]。
0:6:53|0:7:10|泳池边伴随着悠扬的歌曲，纤纤缓缓美女出水走向岸边。
0:7:12|0:7:21|仙仙走的每一步都仿佛踩在了[肖啸天]的心里，岸边的他早已将目光落在了仙仙身上。
0:7:21|0:7:30|[肖啸天]盯着仙仙的每一步，露出迷恋的眼神，仙仙一颦一笑皆是风景万种。
0:7:30|0:7:36|见仙仙走上岸，他连忙凑上前去，操着一口台湾话对仙仙搭话。
0:7:49|0:7:53|仙仙故意眼含深情地看向了[肖啸天]。
0:7:59|0:8:3|岸边，两人在伞下眺望远方，竟有一丝浪漫与温情。
0:8:6|0:8:11|一辆豪车停在了五洲国际大饭店的门口，车上走下一男一女。
0:8:11|0:8:15|看派头，这男人就十分不好惹。
0:8:15|0:8:22|男人名叫[张任发]。
0:8:22|0:8:28|[肖啸天]亲自下楼迎接，更彰显着男人的身份不凡。
0:8:28|0:8:31|几人随即踏上楼梯，准备商讨神秘交易。
0:8:35|0:8:43|[肖啸天]等人前脚刚上楼梯，蒙楚兄弟二人紧接着后脚也进入了酒店。
0:8:53|0:8:59|伴随着几声敲门声，一名壮汉走进屋内，给[肖啸天]带来一个好消息。
0:9:4|0:9:9|[肖啸天]拿出保险箱，刻意当着众人的面打开了箱子。
0:9:13|0:9:16|[张任发]盯着这一箱金钱，若有所思。
0:9:40|0:9:48|显然，[张任发]已经被[肖啸天]的一番操作糊弄住，随即决定将花瓶买下。
0:10:4|0:10:8|发哥如获至宝地将花瓶捧在手中。
0:10:14|0:10:17|全然忘记身边的情人，[小倩]。
0:10:17|0:10:20|武大郎竟提着六十万，再次回到了屋内。
0:10:20|0:10:22|[肖啸天]热情招呼他落座。
0:10:35|0:10:41|武大佬满怀期待，自己帮助[萧啸天]谈成这么大的生意。
0:10:41|0:10:47|空门的[萧啸天]竟然只给他一百元的辛苦费。
0:10:47|0:10:51|仙仙好奇地打开保险箱，想一饱眼福，看看这笔巨款。
0:10:51|0:10:55|没成想翻找间，竟发现了巨大玄机。
0:11:38|0:11:50|[盟主]看着[胡子]偷拍的图片，找到了宝剑的大概方位。
0:11:50|0:11:52|[盟主]担忧没有隐蔽位置。
0:12:11|0:12:22|关键时刻，[胡子]竟然头脑开窍，嘴里大喊着[苗子]的名字。
0:12:22|0:12:27|二人一番激情后，[苗子]现保释地向倩倩展示着自己偷懒的宝贝。
0:12:30|0:12:34|倩倩绑完这玉皮修，脸上全是不在意。
0:12:47|0:12:49|一听说是古董，倩倩提起了兴致。
0:13:0|0:13:2|瑶子已经在畅想拿到前后的生活。
0:13:13|0:13:15|倩倩明知自己身份尴尬。
0:14:3|0:14:4|倩倩脑子里只有金钱。
0:14:20|0:14:24|瑶则第二天一早，便去大街上的张贴小广告。
0:14:24|0:14:26|广告上赫然印着，真情求援。
0:14:28|0:14:31|不一会儿，一条街上便充斥着广告标语。
0:14:31|0:14:34|[苗子]仍不满足，还在继续。
0:14:34|0:14:39|拐角处一辆警车的到来，打断了[苗子]继续的脚步。
0:14:46|0:14:54|警车内的敏姐正在告诉小贩巡逻时的注意事项，说到口渴，随即递给小贩一瓶饮料。
0:14:54|0:15:0|喝水的间隙，敏姐的目光被电线杆上的广告所吸引。
0:15:0|0:15:10|小贩跟着看了过去，随即打开车门走上前去，将手撑在柱子上，仔细观察广告的内容。
0:15:24|0:15:30|遥洞前，[胡子]虚假不已地大哭，被[盟主]一巴掌打进遥洞里。
0:15:30|0:15:35|二人鬼鬼祟祟地进入遥洞内，还不忘观察周边的景象，警惕心十足。
0:15:51|0:16:2|酒吧内，[冬瓜]三人组正肆意地喝酒玩乐，只见[冬瓜]将胶囊药丸打开，将里面的粉末倾倒在纸上，随即一口吞咽下去。
0:16:8|0:16:11|[冬瓜]刚要拿起酒瓶，将药咽下去。
0:16:11|0:16:16|[安仔]直接制止，委屈的[冬瓜]只得乖乖喝水。
0:16:16|0:16:20|[冬瓜]痴痴看着旁边情侣对唱的二人，露出了一脸痴汉笑。
0:16:21|0:16:29|下一秒，二人深情拥吻，[冬瓜]看得入迷，不慎打翻了酒瓶，打断了沉迷于其中的二人。
0:16:29|0:16:38|被打断的二人皆有些羞涩，纷纷眼神到处乱看，不敢直视对方，但嘴角扬起的笑容表现了双方的内心。
0:16:38|0:16:44|两人默契地牵手起身离开，独留[冬瓜]一人在屋内自娱自乐。
0:16:44|0:16:50|门外的二人正要陷入暧昧的氛围中，几名不速之客的到来令他们仓皇而逃。
0:17:0|0:17:9|憨憨的[冬瓜]在紧急逃命关头，竟仍然不忘将桌上的零食打包带走，真是一个货真价实的吃货。
0:17:9|0:17:14|三人在前面拼命逃跑，众人在身后紧追不舍。
0:17:17|0:17:20|狭小的空间内，只听见脚步声的回荡。
0:17:23|0:17:30|几人慌忙跑进一个仓库，想要借杂物来躲避身后的追赶。
0:17:30|0:17:37|东瓜跑过纸箱时，仍然不忘推倒纸箱，给身后追击的人带来阻碍。
0:17:37|0:17:45|这时，三人路过后厨，[冬瓜]随手将门反锁，想要隔绝身后的人。
0:17:45|0:17:50|很显然，反锁的门并没有任何助人，身后追击的人轻易地将门打开。
0:17:53|0:18:2|[冬瓜]联盟抄起盘子往身后扔了过去，还不忘拿起一个羊腿补充能量。
0:18:2|0:18:16|追捕的众人越过阻碍群众注射，[冬瓜]边吃羊腿边逃跑，尽显淡定，跑到门边将门关闭后，随即将羊腿顶住房门。
0:18:16|0:18:21|这一下，追击的人彻底被隔绝在屋内，[冬瓜]三人得以平安地甩脱众人。
0:18:24|0:18:29|[东瓜]一跑过一辆轿车，突然又返回至车边。
0:18:29|0:18:36|双手插腰，目光凶狠地盯着车内的小男孩，一副要打人的模样。
0:18:36|0:18:40|小男孩迫于威胁之下，被[东瓜]抢走了手中的棒棒糖。
0:18:40|0:18:48|只见[东瓜]心满意足地吃着糖果，开心奔跑。
0:18:48|0:18:53|趁着[东瓜]在路边休息，[沙沙]连忙询问[安仔]到底欠了多少钱。
0:19:11|0:19:15|[沙沙]顿时惊慌失措，不知道如何是好。
0:19:15|0:19:18|[冬瓜]的目光被电线杆上的旗帜所吸引。
0:19:21|0:19:34|殊不知路过的男子也看向了电线杆，不过他看中了上面的真情球员，随即男子便拨通了球员电话。
0:20:14|0:20:20|商场内，[沙沙]在电梯上紧跟男子，趁其不备，一个贴身将其手机偷走了。
0:20:24|0:20:29|另一边的[安仔]也在搜索准备下手的目标。
0:20:29|0:20:40|只见他低身装作系鞋带，手里的匕首顺势划破路过男子的外包，里面的钱包掉了出来。
0:20:40|0:20:48|[安仔]将钱包穿入怀内，转手将钱包扔给在柱子旁边吃零食等待的[冬瓜]，两人默契十足。
0:20:52|0:21:1|这时，[沙沙]也回到了三人的会合点，得意洋洋地将偷来的手机交给东花保管。
0:21:21|0:21:27|小小天二人路过[冬瓜]面前，成为了他们的下一个偷盗目标。
0:21:27|0:21:38|只见[安仔]向[冬瓜]示意，[冬瓜]心领神会，跟在仙仙的身后，寻找偷盗时机。
0:21:38|0:21:46|[冬瓜]利用手中的棒棒糖，将仙仙口袋中的手机投出，去掉手机壳，一看是一部苹果手机，正偷偷窃喜。
0:21:51|0:21:57|殊不知，手机竟突然响了起来。
0:21:57|0:22:0|仙仙一个回头，发现手机正在[冬瓜]的手中。
0:22:31|0:22:39|随着仙仙的呼喊，保安们纯纯在[冬瓜]三人身后紧追不舍，三人只得拼命地奔跑。
0:22:39|0:22:43|一番追逐后，[冬瓜]和[安仔]差点被保安抓到。
0:22:48|0:23:1|保安们看着最后逃脱的三人气愤不已，正所谓仇人见面分外眼红，[肖啸天]与[沙沙]在停车场正巧碰到了[安仔]等人。
0:23:1|0:23:13|[安仔]直接将车停在了[肖啸天]的车前，对着他做着警告的动作，随即记下了[肖啸天]的车牌号，开车扬长而去。
0:23:13|0:23:20|房间内，[肖啸天]端详着[苗子]带来的玉皮修，脸色沉重，然后禁止关门离开。
0:24:9|0:24:12|[肖啸天]向仙仙讲述自己说话的艺术。
0:24:12|0:24:18|[苗子]按下电梯，内心烦躁不已，踢起了一边的花瓶，宣泄着自己的不满。
0:24:20|0:24:24|[苗子]一听是[盟主]的声音，梁忙找地方躲了起来。
0:24:44|0:24:54|趁着[盟主]二人在等电梯的间隙，[苗子]躲在暗处看着他们，心里不知道在盘算着什么。
0:24:54|0:25:6|见二人进入电梯后，[苗子]才赶出来，随即快步回到[肖啸天]的住处，将一块玉皮修直接扔在了桌子上。
0:25:9|0:25:26|[肖啸天]的目光被桌上的藏宝图所吸引，他怎么也没想到[苗子]竟然会这么不识货，将藏宝图当作包玉皮修的破纸。
0:25:26|0:25:36|成功地拿到藏宝图的[肖啸天]，开心地在泳池边和仙仙喝酒庆祝，难掩心中的激动。
0:25:36|0:25:42|手中不忘继续把玩着玉皮修，研究它的来龙去脉。
0:25:42|0:25:48|不过很显然，真正让[萧孝天]感兴趣的是藏宝图。
0:26:14|0:26:17|藏宝图的背后究竟隐藏着怎样的惊天秘密。
0:26:36|0:26:54|房间内的[盟主]正在等待[胡子]带来新的小弟，来者进入房间竟然是[冬瓜]。
0:26:54|0:27:2|[胡子]向[盟主]热情地介绍[冬瓜]，并从桌上拿起两个鸡腿，将较小的一个递给了[冬瓜]。
0:27:12|0:27:14|[胡子]踢了[冬瓜]一脚。
0:27:16|0:27:19|[冬瓜]不知所措地看着二人。
0:27:22|0:27:24|[胡子]气急败坏。
0:27:56|0:27:59|[盟主]被[冬瓜]逗得哈哈大笑。
0:28:26|0:28:31|听到这话的小倩随即出门准备给[苗子]拿钱。
0:28:31|0:28:43|下一秒便被[盟主]所劫持。
0:28:43|0:28:51|[苗子]想要跳窗逃跑，不料被[盟主]二人抓住手臂。
0:28:51|0:28:52|双方僵持不下。
0:29:13|0:29:16|将迟之际，一声熟悉的车响，[八哥]来了。
0:29:23|0:29:24|众人慌作一团。
0:29:33|0:29:37|窗帘内、沙发下都是大家的藏身地点。
0:29:37|0:29:45|窗外的[苗子]还挂在半空，已无人想到它，[盟主]急忙将窗帘拉上。
0:29:45|0:29:55|[冬瓜]在茶几下发现了陌生物品，也顾不上研究，慌忙自己躲进下面，还不忘将刀也带了进来。
0:29:55|0:30:5|[胡子]打开衣柜躲了进去，刚藏匿好，衣柜门便被[盟主]打开，看来[盟主]也选中了这个地方。
0:30:5|0:30:14|[盟主]摆好架势，一个眼神示意，[胡子]乖乖地将位置让了出来，甚至还不忘帮[盟主]关好衣柜门。
0:30:14|0:30:20|[盟主]端坐进去，[小倩]急忙将包推到床底下。
0:30:27|0:30:28|[张任发]靠近[小倩]。
0:30:47|0:30:50|[张任发]走到窗边，便要拉开窗帘。
0:30:50|0:30:56|一个电话的到来，可否解救[小倩]现在的危机。
0:31:31|0:31:33|[小倩]心虚转身说道。
0:31:33|0:31:36|不敢直视[张任发]。
0:31:36|0:31:40|可是他越是如此，[张任发]内心的疑虑就越重。
0:31:40|0:31:44|随即一把扯开窗帘，向外看去。
0:31:44|0:31:49|[沙沙]见状坐立难安，心中紧张上升到顶点。
0:32:37|0:32:40|[张任发]心中的疑虑没有被打消。
0:32:55|0:33:9|[沙沙]假意证明自己，不料正看到[冬瓜]。
0:33:9|0:33:15|眼看逃过一劫，[沙沙]慌忙地下楼送[张任发]出门。
0:33:15|0:33:19|衣柜内的[胡子]连忙打开柜门，走了出来。
0:33:19|0:33:22|狭小的空间使他的身体极度扭曲不适。
0:33:26|0:33:33|出来后，还不忘礼貌敲响[盟主]所在的衣柜柜门，提示[盟主]发歌移走。
0:33:33|0:33:42|纵使[盟主]内心紧张，仍然端着架子，不愿在[胡子]面前丢了作为大哥的面子。
0:33:42|0:33:47|[冬瓜]随即从茶几上爬了下来，还不忘拿起小皮鞭，好奇一甩。
0:33:49|0:33:55|然后将鞭子塞进了裤子里。
0:33:55|0:34:1|[胡子]将[苗子]粗暴地拉上来。
0:34:23|0:34:25|[胡子]气急败坏。
0:34:37|0:34:42|[盟主]此时强压怒火，只想知道藏宝图的去向。
0:34:55|0:35:1|在此危机情况下，[苗子]只得急忙表示自己没有说谎。
0:35:1|0:35:3|[盟主]一脚将她踢倒在地。
0:35:23|0:35:29|[冬瓜]拿着自己找到的小皮鞭，想要用来捆绑[苗子]。
0:35:29|0:35:31|[胡子]看着也是一脸新奇。
0:35:34|0:35:40|[胡子]将[苗子]捆好，[盟主]一讲，踹得[苗子]亮相。
0:35:44|0:35:46|[冬瓜]的一句话，问得[小倩]羞涩不已。
0:35:48|0:35:52|宾馆门口的[安仔]一把抽出[沙沙]挽着的手臂。
0:35:56|0:35:59|[沙沙]心疼地给[安仔]涂药。
0:35:59|0:36:4|[安仔]注意到[冬瓜]不在房内。
0:36:11|0:36:15|看不见[冬瓜]的[安仔]，心里犯起嘀咕。
0:36:15|0:36:16|[沙沙]注意到了桌上的纸条。
0:36:51|0:37:2|电话始终无人接听，[安仔]的心悬在半空中。
0:37:2|0:37:3|[冬瓜]电话始终无人接听。
0:37:11|0:37:22|夜色中，[肖啸天]与[仙仙]觉察到窑洞的情形不对，决定仔细勘探。
0:37:22|0:37:28|窑洞内的[盟主]正无聊地玩着打火机，等待着小弟们干活。
0:37:28|0:37:32|突然，听到外面有一阵脚步声响起，[盟主]不由得惊慌起来。
0:37:34|0:37:36|莲芒把[胡子]叫上来。
0:37:41|0:37:45|[胡子]、莲芒从洞内爬出，查看情况。
0:37:45|0:37:51|[盟主]将花圈摆正，装作一副伴丧式的模样。
0:37:51|0:37:56|[苗子]紧随其后，也从地洞内爬出。
0:37:56|0:37:59|三人顿时慌作一团。
0:37:59|0:38:3|[冬瓜]刚将头从地洞中探出，便被[苗子]一脚踢回洞里。
0:38:4|0:38:13|随后，三人将地洞拿铁皮盖住，还不忘拿稻草做掩护。
0:38:13|0:38:16|随着敲门声的响起，[杨善水]走进屋内。
0:38:56|0:38:59|这弟弟竟然比哥哥还显苍老。
0:39:19|0:39:23|杨上水正要离去，被[苗子]脖子上的铃铛吸引了目光。
0:39:23|0:39:23|[苗子]羞涩地低下头。
0:40:9|0:40:12|[冬瓜]两个手势，令[盟主]怀疑自己。
0:40:15|0:40:18|[胡子]在一旁解释。
0:40:26|0:40:28|[盟主]拿土块扔向[冬瓜]。
0:40:53|0:40:59|这小子，随着喜庆的音乐响起，杨家婚礼进入倒计时。
0:40:59|0:41:2|赢客们如期而至，前来见证一对星云的幸福。
0:41:24|0:41:30|各式各样的豪车驶来，无不彰显着发哥的财力与对女儿的爱。
0:41:30|0:41:36|窑洞外的[盟主]几人时刻注意着婚礼现场的情况。
0:41:36|0:41:47|主车旁，新郎将新娘温柔地牵下车回到他们的家中，到处洋溢着一片欢乐的景象。
0:41:47|0:41:50|宾客们也借此机会好友相见，相谈正话。
0:42:28|0:42:36|[冬瓜]率先进入洞内，[苗子]紧随其后。
0:42:36|0:42:45|将二人都进入洞内，[盟主]不忘叮嘱[胡子]。
0:42:45|0:42:49|随即也进入洞内。
0:42:51|0:42:56|洞里一片昏暗，没有灯光，他们只能依靠手电筒的照明。
0:42:56|0:42:59|微弱的电筒光使得洞内更加阴森。
0:42:59|0:43:5|[冬瓜]还觉得好玩，不停地嘿嘿笑，全然不知洞内的危机似伏。
0:43:5|0:43:10|[盟主]带领[冬瓜]二人，在墓穴内寻找着方向，看到御展煤油灯。
0:43:10|0:43:15|[苗子]连忙上前，将煤油灯点亮。
0:43:17|0:43:26|神奇的事情发生了，洞内的煤油灯竟全部都亮了起来，再一次展现了墓穴中的神秘。
0:43:29|0:43:31|[冬瓜]兴奋地惊呼起来。
0:43:32|0:43:36|[盟主]仔细观察起墓穴，想要有新的发现。
0:43:36|0:43:45|墓穴外，[安仔]与[沙沙]借着月色翻过围墙，前进新郎家中，准备偷盗，只见[安仔]压低脚步，不敢发出一丝声响。
0:43:47|0:43:52|[清清]走上台阶，打开房门，示意[沙沙]进去。
0:43:52|0:43:55|[沙沙]连忙学着[安仔]的样子。
0:43:55|0:44:0|墓穴内的[盟主]三人，还在漫无目的地寻找。
0:44:0|0:44:5|只见[盟主]装作经验丰富的样子，云淡风轻。
0:44:5|0:44:10|[安仔]走到卧室门前，这是存放彩礼的房间，他仿佛看见金钱在向他招手。
0:44:14|0:44:19|房间内的新郎含声四起，全然不知危险来临。
0:44:19|0:44:25|[安仔]小心地推开卧室门，轻声走到放彩礼的柜子旁，准备行动。
0:44:25|0:44:36|这时，[沙沙]却意外地来到桌边，拿起新娘的护肤品看了起来，果然，爱美是女人的天性。
0:44:36|0:44:41|[安仔]不愧是偷盗老手，他谨慎地走到床边，查看新人是否已经熟睡。
0:44:43|0:44:49|见四周危机都解除，才彻底准备偷盗。
0:44:49|0:44:57|桌旁的[沙沙]拿起护肤品仔细端详，要不是见情形紧张，都准备现场护肤一番。
0:45:3|0:45:13|联盟示意[沙沙]过来帮忙，[沙沙]不情愿地放下手中的护肤品，走到[安仔]身旁，看见一摞摞红包，满脸喜悦。
0:45:13|0:45:22|二人开始装彩礼，神情紧张，按耐住内心的激动情绪，生怕遗漏一个红包。
0:45:22|0:45:30|[安仔]手里的动作越发地谨慎起来，此刻，包内装的仿佛已经不是简单的彩礼，而是他们美好的未来。
0:45:33|0:45:38|二人将金钱洗劫于空后，赶紧逃离现场。
0:45:38|0:45:43|翻过围墙时，仍然不忘紧紧地护住背包。
0:45:48|0:45:53|墓穴内，[盟主]三人渐渐陷入了困境。
0:45:53|0:45:57|他们在如同迷宫一般的墓穴内来回地绕圈。
0:45:57|0:45:59|毫无头绪，气氛渐渐陷入紧张。
0:46:2|0:46:12|只见他们又拐进了一个拐角，拐角处又有什么样的未知在等待着他们呢？
0:46:12|0:46:21|渐渐地，他们发现了不对劲的地方，眼前的景物慢慢变得熟悉起来。
0:46:21|0:46:29|他们又来到了曾经来过的地方，熟悉的景象顿时令三人惊慌起来。
0:46:29|0:46:31|[盟主]也没了一开始的淡定。
0:46:37|0:46:41|脸上露出了慌张的表情。
0:46:41|0:46:50|三人加快脚步，在墓穴中焦急地寻找，如同热锅上的蚂蚁乱作一团。
0:46:50|0:46:59|[盟主]意识到事情的紧急，决定三人分头行动，节省寻找时间。
0:47:21|0:47:27|[苗子]不想一个人，但只得听从。
0:47:27|0:47:34|窑洞外的[肖啸天]见时机成熟，带领仙仙冲进了洞内，将[胡子]捆了起来。
0:47:36|0:47:43|随即进入地洞里，暮雪内的[盟主]三人无力地摊靠在墙角。
0:47:43|0:47:47|此刻，出不去的恐惧笼罩着他们。
0:47:47|0:47:57|突然，[盟主]灵机一动，只见他掏出手机，上下翻看藏宝图，想要有新的发现。
0:47:57|0:48:3|一阵翻看后，[盟主]竟然真的有了新的收获，惊喜地看向身边的二人。
0:48:8|0:48:11|[盟主]的话，仿佛给三人重新灌注了力量。
0:48:11|0:48:16|他们顺着一根绳索翻下去，来到一处空旷地带。
0:48:16|0:48:19|[盟主]示意[苗子]先行。
0:48:21|0:48:25|纵使[苗子]不愿意，也只得照做。
0:48:26|0:48:30|只见他小心地走在前面，[冬瓜]紧跟在他的身后。
0:48:32|0:48:38|突然[苗子]踩到一个陷阱，险些掉了进去。
0:48:38|0:48:46|好在[盟主]眼疾手快将他拉了上来，三人看着陷阱内的景象面面相觑。
0:48:46|0:48:52|[盟主]急忙再次打开手机看起藏宝图，笃定地说道。
0:48:52|0:49:9|[盟主]再次示意[苗子]打头阵，[苗子]这次谨慎地贴着墙角前行，[冬瓜]跟在[苗子]身后，颤颤巍巍地生怕踩到陷阱，[盟主]此刻也无法在墙中镇定，紧跟在[冬瓜]的身后。
0:49:9|0:49:14|三人此时自顾不暇，全然没有注意到身后的[肖啸天]与仙仙。
0:49:17|0:49:26|[肖啸天]二人显然比[盟主]三人情况好得多，一看就是准备充足，经验丰富。
0:49:26|0:49:41|只见[肖啸天]打开藏宝图，胜券在握，一副图纸在手，天下我有的模样，随即指引了一个正确的方向。
0:49:41|0:49:42|反看九曲黄河阵。
0:49:46|0:49:53|[盟主]三人来到了一个狭窄的空间，一道石门堵在了他们的面前。
0:49:53|0:49:58|[盟主]观察四周，直言此处暗藏玄机。
0:50:10|0:50:15|随即采用最笨的办法，打算靠人力推开石门。
0:50:15|0:50:17|显然，这个方法不可行。
0:50:17|0:50:23|[盟主]决定换一个方法，喊停推门的三人。
0:50:29|0:50:35|墙壁上，一个与众不同的石像，吸引了[盟主]的注意。
0:50:43|0:50:45|[盟主]一个眼神示意。
0:50:46|0:50:50|[苗子]走上前，尝试拧动石像。
0:50:50|0:50:53|果然暗藏玄机，石像开始转动。
0:50:53|0:51:0|随着轰隆一声巨响，石门经自己缓缓打开。
0:51:0|0:51:2|三人打算一看究竟。
0:51:6|0:51:18|进入石门，映入眼帘的是一个巨大的房间，空旷的房间内竟是诡异的布局，三人打着手电慢慢寻找玄机。
0:51:18|0:51:23|房间内只有嘈杂的脚步声响起，尽显阴森。
0:51:23|0:51:27|很快，三人的目光落在了一处。
0:51:27|0:51:31|另一边的[肖啸天]与仙仙也发现了进入房间内的拐角。
0:51:33|0:51:37|房间内再次发生神奇的景象。
0:51:37|0:51:41|灯光在一瞬间全部打开。
0:51:41|0:51:45|正中央的石柱显得格外亮眼。
0:51:45|0:51:52|[盟主]三人紧紧地围绕在石柱旁边，露出痴迷的表情。
0:51:52|0:51:58|此时，[盟主]的眼中只剩下了石柱中的杨家剑。
0:51:58|0:51:59|胜利的笑容在他脸上绽放。
0:52:1|0:52:6|[盟主]仿佛看到了一百万正在向他招手。
0:52:30|0:52:33|[盟主]冲[苗子]大喊道。
0:52:33|0:52:37|[苗子]将杨家剑取出，殷勤地递给[盟主]。
0:52:37|0:52:42|[盟主]接过杨家剑，紧紧地握在手中，脸上全是笑容。
0:52:50|0:52:55|他拿着杨家剑，笑容满面地走出房间，殊不知危险即将来临。
0:52:55|0:53:2|[肖啸天]在外等候多时，[盟主]一脚踩在了他布置的陷阱上。
0:53:2|0:53:7|趁着混乱，[肖啸天]一把抢过宝剑就跑，只剩下身后哀嚎的[盟主]三人。
0:53:9|0:53:20|[肖啸天]急忙带着仙仙离开了[盟主]的视线，在安全地带观察保健，心中满是激动。
0:53:20|0:53:28|在[安仔]离开杨家城的路上，看到了一辆熟悉的车子，定睛一看，竟是[肖啸天]的汽车。
0:53:28|0:53:34|正所谓不是不报，时候未到，现在这大好的时机，[安仔]怎么可能放过。
0:53:36|0:53:45|随即将车停在路边，等待着[肖啸天]的到来，一喜商场时的仇恨。
0:53:45|0:53:56|[肖啸天]二人跑出墓穴，便急忙来到车边，打开后备箱，将背包放进去，准备开车离开。
0:53:56|0:54:2|坐在驾驶座上，[肖啸天]仍然难掩内心激动的心情，拿着样家借不停地研究。
0:54:12|0:54:18|[肖啸天]急忙接过宝剑，神情激动。
0:54:18|0:54:33|[肖啸天]借此提出无礼的要求。
0:54:33|0:54:48|一把匕首横在了[肖啸天]的面前，[安仔]将[肖啸天]二人靠在了车门上。
0:54:48|0:54:59|随即拿出[肖啸天]的背包翻了起来，正翻着，[安仔]突然神色大变，从包内掏出遗物，拿出一看竟是一把手枪。
0:54:59|0:55:5|[安仔]满脸的不敢相信，拿出手枪仔细查看，将枪对准了[肖啸天]。
0:55:11|0:55:29|[安仔]将枪放进背后以备不时之需，然后继续在包内搜寻起来，东翻西找。
0:55:29|0:55:33|竟然将杨家剑翻了出来，很显然他并不知道剑的奥秘。
0:55:41|0:55:45|[安仔]和[沙沙]发动撤离开，[肖啸天]将二人走远。
0:55:51|0:55:55|从[沙沙]头上取过一个发夹，想要将手铐打开。
0:55:55|0:55:59|一番操作，手铐真的打开了。
0:55:59|0:56:4|然后她在后座找到了一张卡片，上面写着[安仔]居住的位置。
0:56:4|0:56:11|[肖啸天]决定有仇必报。
0:56:11|0:56:18|[盟主]几人灰溜溜地趁着月色离开了窑洞，一顿忙活后竟一无所获。
0:56:18|0:56:20|[安仔]和[沙沙]回到旅馆，发现房卡丢失。
0:56:50|0:57:3|[安仔]在此刻，破语有更重要的事，懒得与店家计较，忙把[沙沙]劝走，[沙沙]看在彩礼，不与店家浪费时间。
0:57:13|0:57:22|[安仔]将窗帘拉上，[沙沙]打开背包，[安仔]动作也不停，只见她从包中掏出了杨家剑，然后随手扔在床上。
0:57:22|0:57:30|床上堆满了各种物品，[沙沙]迫不及待地将红包全部倒了出来，一床的现金刺激着她的眼球。
0:57:30|0:57:40|这边，[安仔]还在把玩着杨家剑，她始终不明白这把剑的秘密，不理解[肖啸天]为何随身携带着一把破剑。
0:57:40|0:57:43|[沙沙]看着满满的金钱，不由地笑出了声。
0:57:47|0:57:51|手中数钱的动作丝毫不停。
0:57:59|0:58:3|[安仔]在心中，早已安排好了金钱的使用。
0:59:3|0:59:8|[胡子]迎头给了[苗子]一掌，[苗子]直接将酒喷向[盟主]。
0:59:8|0:59:13|[盟主]难掩心中怒火，拿着棒球棍扔了过去。
0:59:17|0:59:24|[冬瓜]在一旁摇晃着自己的糖盒，从里面倒出一颗糖果。
0:59:24|0:59:29|吃着糖果鼓起勇气走向[盟主]，紧张地向[盟主]问道。
0:59:51|0:59:55|[盟主]一把揪住[冬瓜]的耳朵。
1:0:3|1:0:14|[冬瓜]何时受过这种气，愣愣地站在一旁不动，吐了一口口水忍下这气，默默地走到一边.
