0:2:2|0:2:5|镶在中间的大颗宝石闪闪发光。
0:6:36|0:7:1|[小宝]戴着头套和假发将自己伪装成外国人，来到了戛纳大酒店的门口，酒店富丽堂皇，门口的服务生匆匆忙忙地为客人搬运着行李，门里门外都站着好多保安，门口还有安检通道，[小宝]径直走了进去，将背包扔给了安检员，站在安检门口等待检查。[小宝]的伪装术成功骗过了电脑和保安，顺利通过了安检。
0:7:1|0:7:12|他从保安手里接过了背包，从酒店大堂穿过，迎面走来了一群身穿制服的人，[小宝]盯着他们看了看，待他们走远后转身走进了一个不易发现的小门。
0:7:17|0:7:25|此时[张丹]身上的装备还没卸掉，他朝着不远处的灯塔狂奔而去，[小宝]则穿过昏暗的走廊走到了最里面。
0:7:25|0:7:42|他从包里掏出电脑放到一个台子上，拿起墙边的一根网线插了进去，而另一边[张丹]骑着一辆摩托车从灯塔冲出来，并换上了一身干练的西装，他沿着海边的公路向前疾驰，头盔里若隐若现的是，他毅然决然的眼神。
0:7:42|0:7:56|此时的[小宝]正在悠哉悠哉地偷看着酒店内网的信息，他熟练地找到了酒店的监察名单，[张丹]的照片赫然出现在其中，[小宝]忍不住调侃[张丹]。
0:8:3|0:8:7|[小宝]噗哧一笑，按下了删除键，将[张丹]的信息尽数删掉。
0:8:7|0:8:30|[张丹]一路超车骑着摩托车开进了市区，[小宝]也收拾东西准备离开，这时酒店门口铺上了红地毯，围起了围栏，周围一群人举着牌子大喊着：记者和摄影师们也都蜂拥而至，对着走上红毯的人们狂按快门，一个身穿着华丽礼服的女人，戴着一条镶满钻石的项链，
0:8:30|0:8:40|对着摄影师摆造型，[张丹]从一旁走过，一个假动作骗过了眼前的男人，将他口袋里的邀请函偷走，[小宝]的耳朵里传来了[张丹]的声音。
0:8:43|0:9:3|[小宝]回到：[张丹]走进酒店假装熟络地冲保安笑了笑，用偷来的邀请函成功骗过了保安，[小宝]又溜进另一个房间，[张丹]穿过人群走进电梯，对[小宝]说;[小宝]抬起胳膊看了一眼手表，在一间酒吧里，一群人围成一片欢呼呐喊。
0:9:4|0:9:18|人群中,[叶红]穿着柳钉皮衣，留着干练短发画着烟熏妆，她扳手腕赢过了一个男子，对着周围人说：她走出酒吧，将微型通讯器塞进了耳朵，打了声招呼，
0:9:31|0:9:37|[叶红]却冷笑一声，说罢翻了个白眼，
0:10:16|0:10:22|[叶红]咬着棒棒糖大摇大摆地走在路上，不一会儿便上了一辆车，再次开口，
0:10:56|0:11:0|她一边跟着人群呐喊，一边观察着四周，
0:11:9|0:11:20|一件拍卖品以二十万欧元成交了，[张丹]跟着众人鼓着掌，走进了会场，拍卖师对买主表示感谢，让侍从将一幅画搬下了台。
0:11:26|0:11:34|在众人的掌声中，灯光追随着徐徐走上台的[婷婷]，拍卖师接着说：
0:11:48|0:12:0|[张丹]拿出手机对着台上的命之翼拍照，屏幕上写着：目标锁定，而另一边，[小宝]的电脑上成功接收到了[张丹]传来的信息，[张丹]放下手机后，
0:12:6|0:12:22|正在这时，一辆车停在了酒店门口，[皮埃尔]走了下来，[叶红]发现了异常，皱紧眉头拿出手机，[叶红]将[皮埃尔]的照片发给[小宝]，
0:12:51|0:13:18|他向正在开着直升机的同伙[老魔]求助，这时[皮埃尔]跟随着保安进了监控室，他用犀利的眼神扫过眼前的一排屏幕，不一会儿便在大厅里发现了[张丹]的身影，大厅里掌声雷动，竞拍价已经叫到了六百万，拍卖师的锤子已经蠢蠢欲动了，众人屏气凝神随着锤子掷地有声的落下，项链成交了。
0:13:33|0:13:48|拍卖会场的掌声连连不断，[婷婷]小姐也露出了满意的笑容，[张丹]说道：收到指示的[叶红]蓄势待发，大喊道：
0:13:54|0:14:6|[叶红]的一番话瞬间点燃了抗议队伍，她带着众人冲破栅栏疯狂地涌入酒店。保安们对这突如其来的暴乱毫无准备，拼命地上前阻拦，却无济于事。
0:14:9|0:14:24|[叶红]再次煽动大家攻进拍卖场，酒店大厅瞬间沦陷，此时，[皮埃尔]还在监控室观察着[张丹]的一举一动，自言自语道：[张丹]挑衅地盯着摄像头笑了笑起身离开。
0:14:24|0:14:38|众人这才注意到暴乱的群众，保安队长急忙通知下属把拍卖品运回保险库，带领宾客到贵宾房，场内的保安一呼百应，迅速安排宾客安全撤退。
0:14:44|0:15:2|而抗议群众已经冲进了拍卖会场，被保安拦在了楼梯口，[小宝]手中拿着检测器，上面清楚地标记着命之翼的移动位置，他将身上的西装脱掉，开始准备盗窃需要的装备，保安们拦不住人多示众的抗议者，最终还是被冲破了防线。
0:15:2|0:15:13|[婷婷]眉头紧蹙，快速迈着步子，在一堆保安的保护下离开，抗议者已经占据了整个会场，宾客们四散逃离。
0:15:13|0:15:28|[皮埃尔]匆匆赶到现场，却看到[张丹]站在远处看着他，脸上是得意的笑容，[小宝]跟随检测器四处寻找命之翼的位置，[皮埃尔]出示了自己的警官证，告诉酒店保安有人正在抢劫。
0:15:34|0:15:37|一名保安忍不住问道：[皮埃尔]却不容置疑地打断他，让他马上通知队长。
0:15:37|0:15:55|此时，[小宝]跟随检测器上闪烁的光点来到了一间杂物房，他将检测器装进口袋，上前将墙边的柜子移开，一面墙壁映入眼帘，他自信满满地说道，另一边，宾客们已经被安置在了贵宾室。
0:15:55|0:16:0|[张丹]透过玻璃看到了[婷婷]，他换上了一个和蔼可亲的笑容推门而入，
0:16:11|0:16:31|这时[小宝]从包里拿出了一个高科技武器，他来到墙边小心翼翼地蹲下，将武器的头对准了墙体，瞄准后他按下了后面的一个按钮，墙体立刻被巨大的力量震得四分五裂，没过多久，被震碎的墙皮开始往下掉落，露出了钢筋。
0:16:31|0:16:38|另一边保安队长姗姗来迟，[皮埃尔]让他马上打开保险库，并告诉他有人正在偷命之翼，
0:16:51|0:17:14|[皮埃尔]走上前盯着他，告诉他这是在浪费时间，这时厚厚的墙壁终于被[小宝]凿开了一个大洞，他用力推了推，大块的水泥砖往下掉落，他担心暴露，一把伸手给接住，保安队长妥协了，找借口将下属都给支开，而此时的[小宝]已经进入了保险库，拿着检测器寻找命之翼的位置。
0:17:14|0:17:29|他刚找到，门外的保安队长已经安排手下去打开了保险库的门了，就这样，[小宝]与保安还有警察只有一墙之隔，他却还不知道自己已经身陷险境，自顾自地观察着保险柜。
0:17:30|0:17:36|此时保险库的门响动了，[保安]正在门外开着锁，[小宝]这才反应过来。
0:17:37|0:17:43|他急忙掏出开锁用的器械，插在了保险柜的锁孔处，屏幕中显示着进度条。
0:17:43|0:18:6|[皮埃尔]站在门口急切地等待着，库房的锁却异常复杂，[小宝]却不紧不慢，冒着被抓的风险等待保险柜被解锁，[小宝]的进度条才走到70%多，门口的[保安]也还在费力地解着锁，[皮埃尔]已经急不可耐了，而这时[小宝]的进度条马上就到百分之百了，
0:18:6|0:18:17|他和[保安]几乎是同时打开了锁，仓门被打开，灯亮了，[皮埃尔]和[保安]冲进来时，却只看见了墙上的洞和敞开的保险柜。
0:18:31|0:18:38|[老魔]扮成服务生，端着酒杯走向[婷婷]小姐，却故意将酒杯打翻，[张丹]顺势上前递给[婷婷]一块手帕。
0:18:45|0:18:56|这时[小宝]带着命之翼逃到了地下停车场，[叶红]开着车停在了[小宝]身旁，两人开着车扬长而去，[张丹]却还在搭讪[婷婷]。
0:19:4|0:19:31|[张丹]从脚下偷偷抛出一个烟雾弹，一时间整个屋子被白烟笼罩，宾客们尖叫着乱作一团，[张丹]却镇定自若地坐在原地，眼神中冒出，[小宝]和[叶红]开着车跑出停车场，却正好遇见了围堵他们的[皮埃尔]，[小宝]吓得急忙大喊：[叶红]一脚油门撞开了停车场门口的道栅栏，向前狂奔而去，
0:19:33|0:19:57|警察们也被吓得连连后退，[皮埃尔]只好拦了一辆过路车，这时[婷婷]被[保安]簇拥着从后门逃离，助手突然惊呼道：，[婷婷]这才发现自己脖上的项链不见了，而罪魁祸首[张丹]还在酒店里逗留着，[叶红]在市区里一路飙车，完全不顾及四周的公共设施，
0:19:57|0:20:10|而[皮埃尔]更是穷追不舍，路过一个施工现场，[皮埃尔]一个急转弯避开了，[叶红]却加速撞了过去，挖掘机里的土全部被浇在了[叶红]的车上，脏乱不堪。
0:20:10|0:20:21|经过一个单行道时，[叶红]将差一点追上来的[皮埃尔]甩在了身后，可是不一会儿，[皮埃尔]猛打着方向盘冲上前来，就要喊着让[叶红]停车。
0:20:22|0:20:56|[叶红]充耳不闻，一个拐弯开上了另一条路，[皮埃尔]见状急忙跟上，[叶红]忍不住说道：[皮埃尔]迫不得已逆行了，一路上横冲直撞，疯狂打着方向盘，对面出现两辆面包车，[皮埃尔]眼看是躲不过去了，只好冲向了一旁商铺，路人来不及躲避，被吓得四散逃开，终于在一个路口处，[皮埃尔]截住了[叶红]的去路，
0:20:56|0:21:21|[叶红]却没有停，咬着牙冲了过去，一个路人被吓得大喊大叫，就这样，[皮埃尔]跟了[叶红]一路，[叶红]怎么也甩不掉这个跟屁虫，两人就这样一前一后在山间的公路上急速行驶，[皮埃尔]一路上寻找各种机会超车，却都被[叶红]轻易地挡了回去，副驾驶的[小宝]受不了了，
0:21:21|0:21:39|长时间的高速行驶让他眩晕不止想要呕吐，车子开进一个隧道，[小宝]忍住想要呕吐的冲动，脸被憋得通红，他转身从后排拎起了自己的手提箱，将里面的武器拿了出来。
0:21:39|0:22:1|他扭头看着[叶红]，[叶红]焦急地指了指身后示意他快一点，[小宝]爬出天窗瞄准了[皮埃尔]，[皮埃尔]见状慌忙掏出枪，准备先发制人，哪料他的子弹打偏了，[小宝]却稳准狠地打中了[皮埃尔]的车，一瞬间，[皮埃尔]的车翻了，车顶着地，冒着火花前行了数米，
0:22:2|0:22:8|[小宝]回到车内，[叶红]忍不住惊呼：
0:22:15|0:22:25|[小宝]虚弱地说着，将头靠在了座椅上，闭上了双眼，[叶红]逐渐放慢了速度，在盘山公路上悠哉地前进，
0:22:49|0:23:11|[老魔]看着[张丹]离去的背影笑而不语，这时[叶红]和[小宝]已经到达了约定的地点，百无聊赖地等待着[张丹]，[张丹]骑着摩托车姗姗来迟，[小宝]一看到[张丹]立刻笑逐颜开地下了车，[张丹]笑着张开了双臂，[小宝]冲上去将[张丹]抱了起来，两人兴奋地大叫，
0:23:42|0:24:2|[叶红]抢走了[张丹]递给[小宝]的摩托车钥匙，得意地看了一眼[小宝]，走向了摩托车，她大步流星跨了上去，兴奋地插上钥匙，发动了摩托车，她一只手抱着头盔，身体前倾，拧了拧摩托车的把手，感受摩托车的制动。
0:24:2|0:24:22|这时身后突然驶来一辆直升机，[叶红]停下了动作，愣在了原地，只见[张丹]坐在驾驶员的位置冲[叶红]笑了笑，[小宝]在旁边对[叶红]比心，[叶红]气呼呼地冲二人比出了一个鄙视的手势，直升机不一会儿便起飞了，扔下了[叶红]扬长而去。
0:24:22|0:24:28|不久后，新闻开始播放白天发生的车祸事故，警察将隧道封了起来。
0:25:39|0:25:43|[皮埃尔]露出无可奈何的表情，从椅子上起了身，推门而出。
0:25:45|0:25:53|博物馆里，[张丹]的前女友[Amber]用激光指着一幅古老的画说道：
0:26:25|0:26:34|[Amber]离开了博物馆，没想到[皮埃尔]在门口守株待兔，他掏出警官证向[Amber]打了声招呼，并亮明了身份。
0:26:49|0:26:55|[皮埃尔]问[Amber]认不认识[张丹]，[Amber]看了一眼照片说道：她问是不是[张丹]偷的。
0:27:51|0:28:18|夜幕降临，黑暗的街道上亮着一盏路灯，[Amber]走进家门，打开走廊的灯，随手将钥匙扔在了桌上，随后她走进厨房，带着一脸的疲惫将背包放下，屋子里的灯光极其昏暗，衬得[Amber]很是孤独，她打开冰箱，顺手拿出一瓶快喝完的红酒，将冰箱门关上，
0:28:18|0:28:38|而另一边一脸愁容的[皮埃尔]也为自己倒了一杯酒，毫不犹豫地一饮而尽，他被酒呛得直皱眉头，低头却看见了桌上的一只小蜘蛛，他用杯子把蜘蛛扣在桌上，将蜘蛛想象成[张丹]自言自语道：
0:28:40|0:28:59|随后点点头说：[Amber]将酒瓶里仅剩的红酒都倒入酒杯中，窗户上倒映出她落寞的表情，她将空酒瓶放在地上，随着镜头越拉越远，映入眼帘的是堆满了地板不计其数的空酒瓶。
0:28:59|0:29:13|[Amber]席地而坐，望着窗户发呆，随后将衣兜里[皮埃尔]的名片拿了出来，她盯着名片看了良久，内心挣扎着，随即又继续看着窗外陷入了沉思。
0:29:13|0:29:22|另一边[皮埃尔]还在玩弄着蜘蛛，突然手机响了，他接起了电话，[Amber]在电话另一头说道：
0:29:33|0:29:41|皮埃尔没有回答，只是将桌子上的玻璃杯拿开，放走了那只小蜘蛛，
0:29:48|0:29:53|此时[张丹]和[小宝]已经抵达了捷克布拉格，准备进行下一步的计划。
0:29:53|0:30:18|黄昏时分，一辆公交车驶过熙熙攘攘的布拉格街头，在一个站台停下，等在公交站的路人们一拥而上，[张丹]和[小宝]从公交车的后门缓缓走下来，两人直奔一家名叫紫气东来的中餐厅，餐馆门口走出来一个白胡子老头，与[张丹]快速对视了一眼，随后匆忙离开。
0:30:18|0:30:24|此时，[金刚]露出了自己的花臂，正在用机器打磨一根棍子。
0:30:28|0:30:42|[张丹]和[小宝]来到一个夜市，一个男子上前打招呼并告诉他，刚叔在等他，两人走进一个房间，看到了一扇紧锁的门，上前敲了敲，里面的人打开门上的小窗，冷着脸看了看他们，便打开了门，两人走了进来。
0:30:43|0:30:51|[金刚]停下了手上的工作，转身走向[张丹]，给了他一个大大的拥抱。
0:30:54|0:31:15|[张丹]向身后的[小宝]示意，[小宝]递过来一个布袋子，[金刚]打开了袋子，从里面拿出了命之翼，[金刚]满意地收起了命之翼，转身向保险柜走去，[张丹]拿起[金刚]桌上的俄罗斯套娃问道：
0:31:30|0:31:35|两人客套地打着招呼，[金刚]从保险柜里拿出一个信封，将柜门锁上，
0:31:48|0:32:3|[张丹]接过信封，他拿出支票看了一眼，不解地将数值亮给[金刚]看，是少了一点，[金刚]递给[张丹]一个套娃，
0:32:21|0:32:25|[张丹]打开套娃，里面用玻璃瓶泡着一个人的舌头，
0:32:44|0:32:54|[金刚]故弄玄虚，摘掉眼镜说道：
0:33:7|0:33:22|[张丹]露出震惊的神色，向后靠在椅背上，随即红着眼眶冷笑一声，[张丹]恢复平静，眼神中透出狠厉。
0:33:39|0:33:46|[张丹]垂下眼睛皱了皱眉头，[金刚]扭头，拨弄着桌上的套娃。
0:34:2|0:34:20|[金刚]露出了一个微笑，[张丹]说道：[张丹]还沉浸在悲愤之中，声音哽咽，离开后，[张丹]和[小宝]走在大街上，
0:34:37|0:34:44|[张丹]扭头看向街道对面，意外发现一个裹得严严实实的人跟着他们，
0:34:51|0:35:19|两人走到一个岔路口，默契地分开，[张丹]小跑着来到一个公交站台，跟着等在站台上的人群一起上了公交车，车厢内站满了人，[张丹]径直向里走去，他寻到一个人少的空位，背靠在一个扶手杆上站定，公交车摇摇晃晃地行驶着，[张丹]看向车前的后视镜，发现跟踪者也上了车，
0:35:19|0:35:28|跟踪者朝[张丹]走来，[张丹]定睛一看才发现竟是[Amber]，他露出了欣喜的笑容，
0:35:50|0:36:10|谈话间[Amber]已经将一个芯片偷偷放在了[张丹]的手机上，[张丹]的眼眶逐渐湿润，严肃地说道：[Amber]的话刺痛了他，他的神情瞬间变得冷漠，转身下了
0:36:10|0:36:15|车。[Amber]站在原地，看着[张丹]的背影震住了，
0:36:15|0:36:30|眼泪在眼眶中打转，街边的路灯下停着一辆车，[皮埃尔]和[Amber]正在用电脑入侵着[张丹]的手机，[皮埃尔]点开相册，映入眼帘的竟是[Amber]和[张丹]热恋时的照片。
0:36:31|0:36:50|[皮埃尔]看了一眼[Amber]，说了句有趣，[Amber]尴尬地转了转眼珠，[皮埃尔]翻看着相片，竟意犹未尽地欣赏起来，[Amber]急忙打断他，让他试试另一个文件夹，[皮埃尔]便识趣地停了下来，[Amber]拉来椅子坐下。
0:36:50|0:36:58|[皮埃尔]在文件夹里找到了一张GAIA的动态图，脱口而出，[Amber]点点头说道：
0:37:2|0:37:10|与此同时[张丹]发现了手机上的芯片，
0:37:23|0:37:43|[小宝]的话音未落，隧道尽头驶来了一辆摩托车，车灯照在了[小宝]写满困惑的脸上，[叶红]在两人面前停下来，摘下了头盔，英姿飒爽地甩了甩自己的长发，[小宝]看着[叶红]忍不住露出痴汉的傻笑，在[张丹]的注视下才回过神来。
0:37:43|0:37:50|第二天，三人开着车经过了一片向日葵田，阳光挥洒下来甚是好看。
0:37:50|0:38:12|[张丹]将车停在路边，转身对身后伸懒腰的[小宝]说道：他推开车门下了车，走进向日葵田里，拨开身边及人高的向日葵向深处走去，车内[小宝]凑上前来，对发着呆的[叶红]说道：[小宝]摘掉墨镜说道：
0:38:18|0:38:30|[叶红]翻了个大大的白眼，看着[小宝]，[小宝]神神秘秘地从包里掏出了一个小便神器，递到[叶红]眼前，[叶红]疑惑道：
0:38:42|0:38:48|她翻着白眼将身子扭向了另一边，这时[张丹]回来了，
0:38:56|0:39:24|[叶红]一把夺过[小宝]手中的工具，顺势扔出了窗外，一眨眼便不见了。随后，三人将车开到了一个幽静的树林里，[张丹]率先下了车，他走到一处空地前蹲了下来，拿起挂在脖子上的望远镜观察着前方，[小宝]和[叶红]紧随其后下了车，凑上前来，顺着[张丹]的视线望去，
0:39:24|0:39:41|[小宝]拿出一个箱子，里面是一个高科技的航拍器和监视器，他将监视器递给[张丹]，随后将圆形的航拍器抛向空中，航拍器在空中展开了三个螺旋桨，随后向远处飞去。
0:39:41|0:39:48|随着航拍器的视角看去，一座城堡坐落在树林间，美丽且神秘。
0:39:48|0:39:59|[小宝]回到[张丹]和[叶红]的身边蹲下，三人一同盯着监视器的屏幕，[张丹]操控着航拍器的方向，终于在城堡的门口拍到了主人的身影。
0:40:6|0:40:31|[叶红]胸有成竹地应下了，[张丹]向她竖起大拇指，三人分头行动，[叶红]回到车里，将后座上的一个手提包拿了出来，[张丹]一路狂奔来，到了城堡附近，躲避在树丛中观察环境，[小宝]则留在原地，继续用航拍器观察着城堡的四周，一通扫描之后，监视器上的屏幕显示出密密麻麻的监控，
0:40:31|0:40:44|布局在城堡周围，而此时的[叶红]戴上了一副黑框眼镜，她将连衣裙的衣领往下拉了拉，露出了一侧的香肩，气定神闲地向城堡走去。
0:40:44|0:40:50|另一边的[张丹]拿着望远镜近距离观察着城堡，也发现了布控严密的监控。
0:40:51|0:41:13|城堡的主人[查理]，穿着运动衣，在保镖的簇拥下小跑着进入树林，[叶红]将包里的一只小狗抱了出来，迎面向[查理]一行人走去，[查理]牵着一只大黑狗，看见[叶红]便冲她大叫，[查理]急忙地拽住牵引绳，[叶红]故意做出被吓到的表情，随后一
0:41:13|0:41:21|一边安抚着怀里的小狗，一边转身离开。[查理]的视线，却一直跟随她，
0:41:37|0:41:47|[张丹]和[叶红]上了车，留下[小宝]一人在原地发愣，随后[皮埃尔]来到了[查理]的公司，他上前拦住刚要走进公司的[查理]，
0:41:52|0:42:12|[查理]点点头，[皮埃尔]说：[查理]看了眼身旁的人冷笑了声，[皮埃尔]提醒他，这些人不是普通的小偷，并告诉他，他们已经得到了GAIA的其余两个部分，只剩灵之泉，[查理]却十分狂妄，
0:42:22|0:42:46|[查理]向[皮埃尔]道着别，趾高气扬地戴上墨镜转身离去，[皮埃尔]无奈地小声吐槽着[查理]，随后[查理]来到了自己家的酒庄，这里聚集了各路身份不凡的人，[查理]带着两个保镖向里走去，跟路过的每一位宾客碰杯，他走过一个拐角处，突然停下了脚步，回头一看，
0:42:47|0:43:8|只见[叶红]举着一个红酒杯站在暗处，认真地品着手中的红酒，[查理]深情地看着她，走上前说道：[叶红]露出了迷人的笑容，[查理]的眼中满是欣赏，[叶红]却对杯中的酒露出了不满的神色，
0:44:3|0:44:12|[查理]满脸笑意，神秘地从兜里掏出手机，随后打开了一款音乐软件。
0:44:24|0:44:41|[查理]满眼的期待，[叶红]嘟着嘴巴，认真思索一番后说道：[叶红]转身潇洒离去，留下[查理]在原地沾沾自喜。
0:44:41|0:44:56|一家酒店的高级套房内，[张丹]正在马不停蹄地研究那座城堡，三台监视器旁边放着写满公式的笔记本，[叶红]悠闲地躺在沙发上敷面膜，[小宝]问道：
0:45:12|0:45:16|话音刚落，[查理]便发来短信，紧接着电话便来了，[叶红]一脸得意地看着[小宝]，
0:45:34|0:45:41|[张丹]急忙凑过来给[叶红]比了一个OK的手势，
0:46:6|0:46:10|面对天真的[小宝]，[张丹]忍不住笑出了声，站起来拍了拍他的肩膀，
0:46:12|0:46:25|转眼到了约定的日期，一辆小轿车行驶在山间的公路上，山顶上的城堡在树林中赫然耸立，远远望去便是富丽堂皇。
0:46:25|0:46:31|小轿车停在了城堡附近的树林中，车里坐着[皮埃尔]和[Amber]，
0:46:43|0:46:51|说罢两人都笑了，[皮埃尔]拿出了望远镜，观察着前方，[Amber]面无表情地问道：
0:47:2|0:47:32|皮埃尔的情绪突然被点燃了，推开车门下了车，靠在车前继续观察城堡的动静，[Amber]也紧随其后下了车，她关上车门后，双手插在风衣兜里，慢慢踱步到皮埃尔身旁，最后说道：皮埃尔放下了望远镜，平复自己的情绪，叹了口气说道：
0:47:45|0:48:11|皮埃尔陷入了回忆，破碎的后视镜里浮现出了皮埃尔奄奄一息的脸，[张丹]突然出现，慢慢地爬进被撞翻在地已经报废的警车里，他卯足了全身的力气，大喊着将不省人事的皮埃尔拖了出来，他将皮埃尔沉重的身躯挪动到远一点的地方，不一会儿警车便爆炸了。
0:48:14|0:48:31|[张丹]被击飞出去，碎石头掉了满地，他踉踉跄跄地站起身来，却被一个骑着摩托车的神秘人一棍打倒在地，昏了过去，那人得手后却没有离开，反而停下来，拿走了[张丹]兜里的森之瞳。
0:48:31|0:48:38|他向昏迷不醒的[张丹]吐了吐纹有图案的舌头，随后骑着车扬长而去。
0:48:40|0:48:51|几辆警车姗姗来迟，丝毫没有留意到那辆摩托车，皮埃尔听到警笛声便清醒了过来，一旁是倒地不起的[张丹]和破碎的轿车。
0:49:6|0:49:14|皮埃尔说完，扭头看向了[Amber]，眼里写满了愤怒与坚定。
0:49:14|0:49:20|[Amber]明白了皮埃尔的执念，了然地点了点头。回过神来，
0:49:20|0:49:31|皮埃尔拿起了望远镜，看到城堡前开来了一辆车，一个男子打开后排的车门，下来的正是[叶红]，皮埃尔一眼便认出了她，
0:49:36|0:49:56|[叶红]跟着保镖走进了城堡，她带着有拍摄功能的眼镜，紧接着问[张丹]：又扶了扶镜框，调整了下监控的视角，[张丹]和[小宝]在酒店里通过监视器将[叶红]的视线所及之处都看得一清二楚。
0:49:56|0:50:4|两人认真观察着城堡的构造，[叶红]也十分配合地放慢脚步，一处也不放过。
0:50:12|0:50:31|不一会儿，[叶红]来到了[查理]的办公室，侍从拿出了精美绝伦的茶具招待[叶红]，整个办公室布置得古典雅致、豪华气派，两人隔着办公桌面对面坐着，[张丹]和[小宝]在另一头听得一清二楚，
0:51:27|0:51:33|[查理]愣住了，但是他对[叶红]毫无防备，没多想，便脱口而出。
0:52:20|0:52:28|[查理]拿出一个遥控器对准一个石像按下了按钮，密室的大门吱呀一声便打开了。
0:52:32|0:52:40|[叶红]背过去的手里握着一个机器球，
0:52:50|0:52:57|一只大黑狗突然出现，
0:53:4|0:53:8|[叶红]抚了抚眼镜框，耐着性子微笑着。
0:53:16|0:53:29|[叶红]从包里掏出相机，[查理]一脸自豪地站在了灵之泉的旁边，摆着各种pose，
0:53:34|0:53:40|[查理]对[叶红]有求必应，转身将手压在玻璃上，十根手指的指纹才能将玻璃门打开。
0:54:5|0:54:13|[叶红]转身走到门口处，抬头看了一眼上方的监控，站到了梯子上。
0:54:39|0:54:50|然而相机里已经没有的[查理]的身影，却成功拍下了密室的全景。
0:55:1|0:55:11|[叶红]走出城堡，一位导游正在为游客们解说城堡的故事，而守在树林中的[皮埃尔]总算等到了自己的猎物，随时准备出动。
0:55:13|0:55:34|他看了看一旁蜂拥而至的游客，再看看[叶红]的位置，却发现[叶红]已经走远，他急忙放下望远镜向城堡跑去，拨开拥挤的人群，冲进城堡里，[叶红]一眼就看到了[皮埃尔]的身影，灵机一动混进了游客中，成功地从[皮埃尔]的眼底下溜走。
0:55:34|0:55:38|[皮埃尔]站在原地，环顾四周，束手无策，
0:55:40|0:56:4|再次落败的[皮埃尔]来到了射击馆发泄情绪，每一发子弹都正中靶心。正当他摘下耳机，换弹的时候，旁边的一枪打在了[皮埃尔]的靶子上，[皮埃尔]大喊：那人用熟悉的声音打起了招呼，[皮埃尔]立马警觉起来，转身用枪指着他说：
0:56:45|0:56:54|保安破门而入，[皮埃尔]一个回头，[张丹]便消失地无影无踪了。
0:56:54|0:56:59|咖啡馆里，[皮埃尔]喝了口水对[Amber]说道：
0:57:1|0:57:8|[Amber]看了眼桌上的项链说道：
