0:0:53|0:0:58|影片开始，[成哥]的女婿[万Sir]在天桥上抽着烟等人。
0:15:28|0:15:31|[左儿]扭头看向门外的小伙。
0:15:50|0:15:58|刚好[祖儿]的父亲[成哥]也看到了男孩摔倒的一幕。
0:17:6|0:17:10|父亲浅叹一口气，随后满面愁容地捏着眉心。
0:17:41|0:17:52|与此同时，在大厦外的谭玲经过伪装后，得到了大厦公司的一些信息，赶来和[万Sir]汇报，[万Sir]也买了他爱吃的雪糕等着他。
0:18:43|0:18:50|二人商量好后，便由谭玲伪装成富家女吴小姐，用一大笔钱成功地接近了[阿华]的公司。
0:18:50|0:18:54|[阿华]看到谭玲想要办理的金额，也吓了一跳，便说道。
0:19:56|0:20:4|谭玲差点走了旁边的人后，继续在公司收集证据，而[阿华]也立刻去找刚才冒失闯入的[大傻]，询问情况。
0:20:4|0:20:10|此时办公室里只剩谭玲一人，她不断地在办公桌上翻找，可都没有任何价值。
0:20:10|0:20:16|她顺手拿起[阿华]和妹妹的合影看了起来，这时[阿华]刚好回来。
0:20:39|0:20:45|随后，二人便来到了公司楼下一家西餐厅，两人用餐时聊得十分愉快。
0:20:45|0:20:48|饭吃得差不多时，谭玲借口上厕所就汇报情况。
0:20:51|0:20:55|而这一幕，正好被赶来找[阿华]的[祖儿]看到了。
0:20:55|0:21:0|谭玲前脚刚走，[祖儿]便坐到了餐桌上，与哥哥打句招呼。
0:21:8|0:21:14|[阿华]接过社区中心的申请书，仔细地看着，左耳急切地问道。
0:21:35|0:21:40|服务生收拾餐盘时，不小心撞掉了[阿华]的笔。
0:21:40|0:21:53|左儿捡起笔后，突然想起来说道。
0:21:53|0:21:58|听到这话，[阿华]顿时慌了，他急忙签好字后将左儿打发走。
0:22:1|0:22:8|[祖儿]走后，[阿华]的眼神顿时变得凶狠起来，随后掏出电话给[大傻]和手下们安排计划。
0:22:8|0:22:14|而这时，在厕所给[万 Sir]汇报情况的谭玲还浑然不知，危险已经悄悄降临。
0:22:14|0:22:18|得知谭玲身份的[阿华]并没有戳穿她，而是照常按流程办事。
0:22:38|0:22:46|[阿华]直接将计就计，索性直接将他带到了运毒窝点，不一会儿便来到了运船场，负责驳车的小弟急忙迎上前。
0:22:47|0:22:56|但[阿华]下车后，小弟急忙将车停好，[阿华]则来到了谭龙身边为其指路，随后二人一前一后的朝轮船上走去。
0:22:56|0:23:3|二人爬上扶梯，便来到了轮船的驾驶舱，这里一眼便可以看到运船厂的全貌。
0:23:17|0:23:27|此话一出，[谭林]顿时慌了起来，片刻之后，机智地说道。
0:23:27|0:23:43|看到身份被暴露后，[谭林]下意识地朝舱门退去，[阿华]也是一脸严肃地步步紧逼，[谭林]朝外一看，只见数名打手已经从四面八方赶过来，但身为国际刑警的[谭林]自然不会束手周全，面对人高马大的打手。
0:23:43|0:23:48|他不费吹灰之力就将其解决，但赶来的打手越来越多，[谭林]只能且战且退。
0:23:48|0:23:51|[阿华]见手下不是[谭林]的对手，便亲自出马。
0:23:51|0:23:58|表面文质彬彬的[阿华]动起手来，毫不含糊，仅三五招，便将警察[谭林]打倒在地。
0:23:58|0:24:6|这时，打手们趁虚而入，[谭林]见状，一个鲤鱼打挺从地上翻起，紧接着两拳将打手撂倒，朝船顶跑去。
0:24:6|0:24:10|打手们急忙追赶，不一会儿，狭窄的船顶上便聚集了五六名打手。
0:24:11|0:24:24|赤手空拳的[谭玲]是斩不开，很快便被打手打伤，但[谭玲]并未轻言放弃，誓死要与歹徒拼到最后，可此时，[谭玲]已属于强弩之末，体力和耐力都已经达到了极限。
0:24:24|0:24:40|这时，[阿华]慢慢悠悠地从梯子上爬了上来，他看到[谭玲]与打手们缠斗并未出手，直到[谭林]被打倒在地，他才走过去，他一把将[谭林]抓起，对视片口吼，毫不留情打出一记爆肝拳，让精疲力尽的[谭林]彻底丧失反抗能力。
0:24:40|0:24:57|随后他拿起一旁的绳索，套在谭林的脖子上，紧接着一脚便将谭林踹下船顶，在谭林坠落一半时，[阿华]猛然踩住绳索，就这样，一个英勇善战的国际女刑警，献出了她宝贵的生命，夜晚，[万Sir]疑惑道。
0:25:34|0:25:40|[万Sir]点了点头，朝领导办公室走去，他打起精神敲了敲门。
0:26:19|0:26:28|[万Sir]被领导冲骂一顿后，灰头土脸地走出办公室，与此同时，[祖儿]带着社区的人们来到了船上进行参观。
0:26:57|0:27:2|老师说着便带人走出了休息室，但还有两个学生悄悄藏起来，要继续参观。
0:27:16|0:27:26|几人照完相后，便开始继续在船上参观起来，另一边，[万Sir]不顾亲戚关系，怒气冲冲地来到了[阿华]的办公室。
0:27:26|0:27:32|[阿华]看到[万Sir]来到，明知故问，[万Sir]拿出谭林的照片问道。
0:28:34|0:28:38|[阿华]天衣无缝的演技，成功地骗过了[万Sir]。
0:28:38|0:28:40|待他从大厦出来后，手下急切地问道。
0:28:46|0:28:47|证实他们两个曾经去吃过饭。
0:28:49|0:28:52|说吧，[万Sir]几人便离开大厦，去了其他地方。
0:28:52|0:28:57|下午，学生们参观完船厂后回到了校室，继续开始训练。
0:28:57|0:29:0|这时，男同学黄志强将洗好的照片递给了[祖儿]。
0:29:7|0:29:12|下午社区活动结束后，[左儿]带着资料和照片回到了家中。
0:29:12|0:29:21|刚一推开门，[左儿]便被房间中的烟雾熏得够呛，他看向客厅，发现[万Sir]独自坐在角落里抽着烟，文件资料仍能满地都是。
0:29:21|0:29:26|[左儿]见状，急忙放下手中的东西，凑到[万Sir]面前说道。
0:29:37|0:29:41|[万Sir]无精打采地吸灭了烟，十分沮丧地对[祖儿]说道。
0:29:46|0:29:53|[祖儿]拿起地上有关谭玲的资料，看了眼上面的照片后，对[万Sir]说道。
0:30:2|0:30:6|[祖儿]被[万Sir]泼了冷水后，便无奈地起身离开。
0:30:6|0:30:12|[万Sir]则仍然一脸沮丧，看着手中的资料，不断地思考着谭玲可能会去哪。
0:30:12|0:30:19|过了一会儿后，[祖儿]洗完澡，发现[万Sir]还在客厅，依旧叼着烟，并且一副无精打采的状态。
0:30:19|0:30:23|[祖儿]看后，不免地担心起[万Sir]的身体，便走过去说道。
0:30:23|0:30:28|老公啊，你先洗个澡，[万Sir]不耐烦地写着报告，并未说话。
0:30:37|0:30:42|[万Sir]面对[祖儿]的关心，再一次地泼了他一身冷水，[祖儿]生气地走向卧室。
0:30:42|0:30:51|[万Sir]看着[祖儿]的背影，觉得自己有些过分，但他被案件折磨得疲惫不堪，已经没有多余的精力去哄[祖儿]。
0:30:51|0:30:57|[祖儿]回到房间后，用力将毛巾甩在床上，一个人独自坐在床边生着闷气。
0:30:57|0:31:3|他对[万Sir]的态度极其不满，又想到[万Sir]之前和谭玲有过亲密接触，心中难免吃起醋来。
0:31:4|0:31:8|就在这时，[祖儿]突然想到，下午学生给自己的照片。
0:31:8|0:31:12|闲来无事的[祖儿]拿起照片，一张张地翻看起来。
0:31:12|0:31:18|翻着翻着，他却看到，学生在冷库前的合影中，谭玲的尸体就在角落。
0:31:18|0:31:22|第二天一早，[祖儿]便来到父亲家中，找到哥哥[阿华]。
0:31:22|0:31:24|此时，父亲和[阿华]正在吃着早点。
0:31:35|0:31:38|说吧，便将[阿华]拽到院子中。
0:32:5|0:32:11|[阿华]顿时有些不知所措沉默不语，可事关重大，[祖儿]不耐烦地催促道。
0:32:11|0:32:29|随后，[阿华]便和[祖儿]一起来到了船厂，[阿华]将船上的大门打开，让[祖儿]随便找，[祖儿]从厨房找到宿舍都没有发现，他又要求[阿华]带他去船舱中的冷库寻找，但殊不知，尸体早已被转移，[阿华]淡定地打开冷库大门，说道。
0:32:34|0:32:38|找了一圈之后，没有发现，[祖儿]半信半疑的离开了船舱。
0:32:38|0:32:44|他来到办公室打电话给学生黄志强，准备要回底片。
0:32:56|0:33:5|在门外听得一清二楚的[阿华]看[祖儿]走后，立马拿起电话，告诉了手下黄志强的地址，准备提前抢回胶卷底片。
0:33:5|0:33:16|急于度假的黄志强想提前出发，便和女友在屋中商量到。
0:33:16|0:33:19|这时，上门取件的快递员按响了门铃。
0:33:22|0:33:25|说着，黄志强便将底片装到信封，交给了快递员。
0:33:25|0:33:33|而他的女朋友为了告诉[祖儿]他们的去向，则是将他们去的地点写了个纸条贴在门外。
0:33:33|0:33:36|[祖儿]心急如焚地驱车赶往这边，可他还是晚了一步。
0:33:36|0:33:41|两人刚从公寓门过了马路，[祖儿]乘坐的出租车就停到楼下。
0:33:41|0:33:44|就这样，鬼使神差地与二人擦肩而过。
0:33:45|0:33:51|索尔下车后快步走进公寓，与此同时，[阿华]的手下已经乘坐电梯上了楼。
0:34:1|0:34:7|随后，二人便朝电梯口走去，另一名手下掏出电话给[阿华]打过去，汇报现在的情况。
0:34:28|0:34:45|这时，[黄志强]和朋友们也到了度假屋。
0:34:45|0:34:49|而这时，[大傻]和[阿华]带着手下们也来到了这里。
0:34:49|0:34:51|[黄志强]和女朋友拉开窗帘，看到了他们。
0:35:6|0:35:18|就在几人还不知所措时，[阿华]和[大傻]已经带着手下从正门走了进来，男孩还以为是房东便说道。
0:35:46|0:35:56|大傻直接将黄帝强甩到手下，手下举起黄帝强，冲进了现在的战车上，[阿华]向旁边的女孩问道。
0:35:56|0:35:59|女孩刚摇了摇头，便被[阿华]打飞出去。
0:36:8|0:36:12|大傻面露凶色地拍了拍他的脸。
0:36:12|0:36:16|大傻一记爆肝拳，打得男孩痛不欲生，随后看向黄志强的女友。
0:36:20|0:36:37|大傻听后，隐身犀利地看向一旁的[阿华]，而[阿华]听后顿时眉头紧锁，二人商量后，准备找[祖儿]要回底片，可殊不知，[祖儿]的出租车已经来到了度假村附近，大傻掏出手枪，准备解决掉屋内的五名学生，而这时，
0:36:49|0:36:53|把他们全绑起来，另一边，左儿还在度假村，寻找着几人的住处。
0:36:53|0:37:0|而在屋内的[阿华]，本以为他会放过几名学生，殊不知他正在用煤气和电路制造炸弹。
0:37:0|0:37:3|待[阿华]制作好炸弹后，便朝屋外走去。
0:37:3|0:37:6|不一会儿，便遇到了几个正在嬉戏玩耍的小朋友。
0:37:6|0:37:12|小朋友们看到全身西装的一群成年人朝他们走来，顿时感到很害怕。
0:37:17|0:37:19|阿华俯下身，语气平和地说道。
0:37:24|0:37:26|一旁的小女孩和小明说。
0:37:50|0:38:6|确实，度假屋内已经充满煤气，而已经短路的门铃一旦触碰，便会点燃所有的煤气，从而引发爆炸。
0:38:6|0:38:13|屋内的五名学生手脚被绑得动弹不得，嘴也被胶带封住，他们没有任何办法向外界寻求援助。
0:38:14|0:38:17|只能拼命地蠕动着身体，期待着奇迹的出现。
0:38:17|0:38:22|而还没等孩子们回到公寓，[祖儿]已经先行一步来到屋外。
0:38:22|0:38:30|他在屋外徘徊许久，总觉得有些异常，本该热闹的度假屋现在却十分安静，这不禁让[祖儿]怀疑自己是不是走错了。
0:38:32|0:38:49|确定房号无误之后，[祖儿]还是按下了门铃，随着一声巨响，房间内顿时被火焰所打造，[祖儿]也被爆炸的冲击波震飞数米远，晕倒在路边，因为动静太大惊扰到附近的居民，[祖儿]这才被居民们送到医院进行抢救。
0:38:49|0:38:58|收到消息的[万Sir]第一时间放下工作赶到医院照顾，[祖儿]的病虽然不算严重，但是还躺在病床上昏迷不醒。
0:38:58|0:39:1|[万Sir]看着昏迷的[祖儿]，眼中不禁泛起泪花。
0:39:1|0:39:5|这时，[祖儿]的父亲也急匆匆地赶到病房内。
0:39:5|0:39:10|父亲想要开口询问情况，但怕打扰到女儿的休息，便也没多问。
0:39:10|0:39:15|就在这时，[祖儿]缓缓睁开双眼，十分委屈地抱住了[万Sir]。
0:39:19|0:39:23|[万Sir]一边轻声安慰[祖儿]，一边缓缓将他放到床上。
0:39:23|0:39:27|[祖儿]躺好后，略带哭腔地问道。
0:39:35|0:39:39|说吧，[万Sir]亲了亲[祖儿]的额头，[祖儿]继续问道。
0:40:11|0:40:15|[万Sir]宠溺地亲吻了一下[祖儿]的手，便起身去查案。
0:40:15|0:40:20|走到门口时，还不放心地对[祖儿]叮嘱道。
0:40:20|0:40:24|看到[祖儿]点了点头后，[万Sir]便带人重返度假村。
0:40:24|0:40:35|这时，小明正和朋友们玩一场。
0:40:35|0:40:42|小明见状，知道自己玩不了了，便一大口吃掉手中的雪糕，急忙从干涸的泳池中爬上去。
0:40:47|0:40:54|这时，[万Sir]恰好经过，这是[汪永强]穿着的[同事]赶来。
0:41:53|0:42:1|[万Sir]随后离开度假村，赶回警局将证物拿去化验，随后便马不停蹄地前往[祖儿]所在的医院。
0:42:1|0:42:9|[祖儿]被爆炸的碎片划伤了脸部，美若天仙的脸蛋现在只能裹着厚厚的纱布，[万Sir]看后十分痛心。
0:42:9|0:42:14|[万Sir]见[祖儿]还在睡觉，便没有将他叫醒，而是坐在一旁静静地陪伴他。
0:42:18|0:42:25|这时，[汪永强]的手机突然响了起来，手机铃声吵醒了[祖儿]。
0:43:4|0:43:9|[汪永强]挂掉电话后，语气凝重地对[祖儿]说。
0:43:14|0:43:18|听到这一消息，[祖儿]最后一丝希望已破灭了。
0:43:18|0:43:20|他的眼泪不停地从眼眶流出。
0:43:20|0:43:22|[万Sir]见状安慰道，
0:43:25|0:43:28|这时，护士也走进来对[万Sir]说。
0:43:41|0:43:45|[祖儿]虽然[万Sir]念俱灰，但还是懂事地和老公顶了点头。
0:43:45|0:43:50|随后，[万Sir]轻轻吻了下他的额头，并离开了医院。
0:43:50|0:43:54|没想到，待[万Sir]走后，[祖儿]哭得更加伤心了。
0:43:54|0:44:3|他看着手中的笔，想起当时在餐厅给哥哥剪笔的那一幕，他断定就是自己的哥哥[阿华]杀害了自己的学生。
0:44:3|0:44:7|可一面是惊情，一面是正义，让[祖儿]陷入了难。
0:44:7|0:44:10|当[祖儿]做完检查后重回病房，护士说道。
0:44:16|0:44:22|故事走后，[祖儿]看向窗边的男人，不料竟是[阿华]。
0:44:25|0:44:27|[祖儿]愤怒地将鲜花扔在他的脸上。
0:45:6|0:45:6|[阿华]一边说。
0:45:6|0:45:15|一边从西装口袋中掏出一打支票，此后翻到事先写好的那页，他特意走到[祖儿]面前签上了字。
0:45:15|0:45:23|仔细一看，支票上的金额足有数百万，[阿华]打算用这种方式稀释宁人。
0:45:47|0:45:53|被撵出病房的[阿华]与刚赶来的[万Sir]撞了个正着，护士和[万Sir]急忙询问[祖儿]的情况。
0:45:56|0:46:5|经历了白天的事后，[阿华]晚上心神不宁，于是他把[大傻]叫来商量。
0:46:32|0:46:34|[汪永强]来到父亲家中。
0:47:0|0:47:2|确实，[阿华]也回到家中。
0:47:19|0:47:24|他老是发脾气，父亲听后喝着茶沉默不语，[万Sir]继续问道。
0:48:0|0:48:1|第二天在海边。
0:48:29|0:48:36|因为在海上发现一具无名影尸，[汪永强]所在的重案组来查看尸体是否是谭林。
0:48:36|0:48:42|这时，[汪永强]也及时赶到，连车都没来得及锁，便急忙朝海边跑去。
0:48:42|0:48:44|他看到[同事]便问道。
0:49:10|0:49:14|[祖儿]出院后，脸上虽然还有伤，但精神状态已经恢复很多。
0:49:14|0:49:19|收拾完家务后，[祖儿]在家中摆弄着挂件，等待老公回来。
0:49:19|0:49:21|就在这时，家中的门铃突然响了起来。
0:49:24|0:49:30|[祖儿]听到门铃，以为是[万Sir]回来了，立刻放下手中的装饰品，愿带微笑地打开门。
0:49:30|0:49:34|可令他没想到的是，来人正是自己的哥哥[阿华]。
0:49:34|0:49:38|更令他没想到的是，[阿华]还带着[大傻]和三名手下。
0:49:38|0:49:44|[阿华]见到[祖儿]一言不发，[大傻]和手下则闯进哥哥房间内翻找着。
0:49:45|0:49:50|[阿华]熟练地拉上窗帘，这时，[万Sir]和父亲来到了地库。
0:50:2|0:50:13|[祖儿]被手下重重的推到一旁，接着快速在柜子中翻来覆去的寻找着，[祖儿]虽然是[阿华]的妹妹，但是手下却毫不留情，于是[祖儿]便找到[阿华]说道。
0:50:38|0:50:45|左二间二人没说话，便拿起电话准备拨打。磕手刚放到电话上，就被[大傻]的烟头狠狠地戳了上去。
0:51:17|0:51:21|[阿华]拦住[大傻]后，俯身来到左儿身边。
0:51:53|0:52:4|[阿华]从背后抱住[大傻]，但[大傻]顺势一脚将[祖儿]踹到鱼缸上。一瞬间，电线和鱼缸中的水混在一起，左儿当场触电身亡。
0:52:4|0:52:7|[阿华]眼神空洞地一脸茫然地看向左儿。
0:52:10|0:52:15|几人见闯了大祸，便再无暇找底片，而是匆匆地离开了左儿的家。
0:52:15|0:52:18|他们甚至不敢坐电梯，而是走向一旁的消防通道。
0:52:18|0:52:24|就在这时，先走一步的父亲从电梯出来，回到家中便看到这一幕。
0:52:26|0:52:33|父亲顾不上危险，直接冲到左儿身边想将他扶起来，但巨大的电流瞬间将父亲甩了出去。
0:52:41|0:52:44|[阿华]甩开[大傻]的纠缠后，直接开车离开地库。
0:52:44|0:52:53|好在父亲年轻时也是黑道中人，有着过硬的身体素质，被电后没有太大的问题，起身便朝地库飞奔而去。
0:52:53|0:52:56|此时，[大傻]也带上小弟们，上车准备离开。
0:52:56|0:53:4|父亲在楼梯间翻转跳跃，几秒钟便可下一层楼梯，而[大傻]却遇上了堵车，他不耐烦地催促着小弟。
0:53:8|0:53:10|这时，[万Sir]也回到了家中。
0:53:23|0:53:45|因为[大傻]的车不断地按喇叭催促，前车一个加速在路口发生了车祸。
0:53:51|0:53:54|两名小弟气势汹汹的下车，朝车主走去。
0:53:54|0:53:58|很快，在两名小弟的帮助下，司机扭转烈士。
0:53:58|0:54:1|可这两名车主也是狠人，虽然被打，但还不认输。
0:54:1|0:54:4|二打三的战斗，一时间陷入了僵局。
0:54:9|0:54:27|汽车逃跑的[大傻]刚下车没跑两步，就被[成哥]一脚腾腾飞踹，踢出数米远，狼狈的他连手脚架都给撞倒，他刚起身就被[成哥]抓住衣领，先是头上两击重锤，紧接着两击爆杆拳，随后重重摔到墙上，[大傻]被连连重拳打得满地长牙，
0:54:27|0:54:31|但[成哥]并没有善罢甘休，而是继续准备暴揍[大傻]。
0:54:31|0:54:38|可他刚走上前，就被冲来的小弟用铁锹击中，[成哥]且战且退，不停地躲避着铁锹的攻击。
0:54:38|0:54:42|这时，其余两名小弟也解决完车上的车主，一起攻向[成哥]。
0:54:43|0:54:49|[成哥]急忙调整身位，打晕一个小弟当垫背，其余小弟畏首畏脚，被[成哥]逐一击倒。
0:54:49|0:54:54|起身后，[成哥]并没有恋战，而是目标明确地朝[大傻]追去。
0:54:54|0:54:58|[成哥]随手抄起水泥装的推车，拼命地朝[大傻]撞去。
0:54:58|0:55:1|[大傻]慌忙地翻过汽车，躲过了小推车的撞击。
0:55:1|0:55:4|[成哥]见状，抄起一旁的消防斧，朝[大傻]砍去。
0:55:4|0:55:10|[诚哥]将[大傻]踹倒后，随后高高地将斧头举过头顶，准备给[大傻]致命一击。
0:55:10|0:55:16|不料，斧头落下时先砍中消防喷头，[大傻]也趁机溜走，小弟们这时全部围了上来。
0:55:16|0:55:19|[诚哥]还击时，并没有用斧头砍小弟们。
0:55:19|0:55:23|大傻一路拼命逃跑，从地下车库跑到了大街上。
0:55:23|0:55:27|[成哥]则是怒目远瞪，拿着斧头在后面，拼命追赶。
0:55:27|0:55:33|前来阻挡的小弟，被[成哥]逐一撂倒，几人穿行在马路之间，毫不怕来往的车辆。
0:55:33|0:55:38|大傻埋头，拼命逃窜一阵后，回头一看，不料，依然没有甩掉[成哥]。
0:55:38|0:55:40|大傻跑向人多的人行道。
0:55:40|0:55:44|速度变慢的大傻，被[成哥]一斧砍成后背。
0:55:44|0:55:47|这时，热心市民急忙找到巡警说明情况。
0:55:50|0:56:0|巡警赶来，刚好看到[成哥]抡起斧头，朝大傻赶去。
0:56:0|0:56:9|[成哥]趁机又重重地砍了大傻一斧，巡警朝天开枪警告，老年丧女的陈哥早已将生死置之度外，根本没有理睬警察。
0:56:9|0:56:14|巡警无奈击中了陈哥的腿部，这才让这场追逐平静下来。
0:56:14|0:56:18|[万Sir]得到消息后，急忙赶到警局询问情况。
0:56:29|0:56:31|据陈老伯说。
0:56:31|0:56:34|那个家伙在凶案现场出现，领导文生赶来。
0:57:5|0:57:9|[万Sir]没有理睬律师，径直走向领导办公室。
0:57:14|0:57:18|随后，[大傻]一脸不服气地和律师一起朝门口走去。
0:57:39|0:57:41|他是这件命案的关键人物。
0:58:1|0:58:4|[万Sir]大喊耶瑟，表达了心中的不满。
0:58:4|0:58:7|没几日，收买了证人的[大傻]就被无罪释放。
0:58:7|0:58:12|在法院门口，记者纷纷围上前。
0:58:12|0:58:17|[大傻]面对记者提问一言不发，大摇大摆地走下法院台阶。
0:58:17|0:58:21|这时，[万Sir]从另一边的台阶迎面走上来。
0:58:21|0:58:23|[大傻]看到[万Sir]后，停下脚步。
0:58:23|0:58:24|[万Sir]。
0:58:42|0:58:52|[万Sir]无奈地向后退了一步。
0:58:52|0:58:56|被[同事]们劝说的[万Sir]无奈离开，就在这时。
0:59:0|0:59:1|[阿华]冲上去。
0:59:5|0:59:12|[阿华]并不解气，他看着捂着鼻子的[大傻]，准备继续出手，可被身旁的保镖合力放倒在地。
0:59:12|0:59:15|随后他们将[阿华]按在车上，[大傻]对他说道。
0:59:39|0:59:43|到了晚上，[大傻]带着[阿华]等人在叶总会的包厢里喝酒。
0:59:43|0:59:47|女警察[阿敏]扮成服务生，以送果盆的名义安装了窃听器。
1:0:5|1:0:11|这时，在[万Sir]会门口的纪大哥监听着包厢里的一举一动。
1:0:55|1:1:0|听完曹老板的话后，[阿华]和[大傻]对视一眼，便知道此事不能再耽搁。
1:1:0|1:1:5|虽然警察现在盯着他，但是在金钱的诱惑下，[阿华]还是同意了。
1:1:18|1:1:26|虽然听到了几人的对话，但是常年在江湖上混的几人，岂会在夜总会这种地方公然讨论毒品？
1:1:26|1:1:32|安装了窃听器的警民警察，直到[大傻]他们离开，也没能拿到关键的证据。
