0:4:8|0:4:11|故事要从狐族的居住地青丘开始讲起。
0:21:2|0:21:4|面条如丝带一般围着[白浅]飘荡着。
0:21:5|0:21:7|忽然间，肉仿佛变成了长鞭。
0:21:11|0:21:16|[夜华]安乐大学徒役将鱼先煎后炖，加上胡萝卜等配菜点缀。
0:21:16|0:21:20|没一会儿，一桌子丰盛的佳肴就诞生了。
0:21:20|0:21:24|[白浅]先端起一碗鱼汤，用勺子舀了半勺尝了一下。
0:21:39|0:21:48|说完后，他思考了片刻，端着鱼汤的手停在了半空中。
0:21:48|0:21:51|吃完饭后，米古陪着阿离在林间玩游戏。
0:22:21|0:22:32|今[夜华]接连提要求，[白浅]立马收起刚挂起的相容，拿起酒壶。
0:22:32|0:22:37|[白浅]气恼地将酒壶盖朝他丢出去，他也只是淡淡一笑。
0:22:40|0:22:45|[白浅]满脸不悦，但[夜华]看她这副样子却饶有兴趣。
0:22:45|0:22:49|[夜华]幕降临，一轮昊月高悬于[夜华]幕之上。
0:22:49|0:22:52|[白浅]准备入睡。
0:23:18|0:23:28|两人一前一后躺在了床上，[白浅]尽可能地往床边睡，拽过被子的一角，简单地盖住半个身子。
0:23:37|0:23:57|感觉到[夜华]往自己身边靠近，[白浅]不自在地又往床边挪了挪，[夜华]见状，索性起身，直接贴在了[白浅]身旁。
0:23:57|0:24:4|这一晚终于过去，第二天一早，[白浅]正在看昨日[夜华]为自己所做的话，身后却响起一阵声音。
0:24:10|0:24:16|[白浅]从架子高处拿下酒壶，给阿离倒了一杯酒，米谷突然冒出来。
0:24:34|0:24:37|阿离喝完之后，又把酒杯递了过去。
0:24:37|0:24:42|阿离的眼睛逐渐迷离，身子晃动两下后，便扑通倒地。
0:25:2|0:25:5|[夜华]看着躺在床上的阿离问道。
0:25:5|0:25:7|[白浅]笑着对他说。
0:25:36|0:25:40|叶华松开抓住阿离的手，压抑着怒火，起身看着[白浅]。
0:25:51|0:25:58|两人沉默了半晌，阿离却突然笑呵呵地起身，笑完后又重新倒回床上。
0:25:58|0:26:7|见阿离只是醉酒，[夜华]赶忙又抓起她的手，看着酣睡中的阿离，她悬着的心也放了下来。
0:26:7|0:26:14|[白浅]紧张的心也跟着放了下来，她抖了抖衣袖，静止走出了房间。
0:26:14|0:26:18|随后又来到了十里桃林。
0:26:52|0:27:8|天孙殿下，我娘亲早就把你给忘了，跟着阿离的脚步，[素锦]来到了迷谷口中的盐滑洞内，眼前的一幕不禁让她目瞪口呆，一具男人的身体附在冰棺内。
0:28:2|0:28:8|听到[白浅]的话，[素锦]的身体僵在了原地，两人就这样站在原地互相对峙着。
0:28:13|0:28:16|阿离一看到[素锦]之后，赶忙躲到[白浅]轩后。
0:28:16|0:28:18|阿离一看到[素锦]之后，赶忙躲到[白浅]轩后。
0:28:18|0:28:23|阿离一看到[素锦]之后，赶忙躲到[白浅]轩后。
0:28:23|0:28:26|阿离一看到[素锦]之后，赶忙躲到[白浅]轩后。
0:28:26|0:28:29|阿离一看到[素锦]之后，赶忙躲到[白浅]轩后。
0:28:29|0:28:34|阿离一看到[素锦]之后，赶忙躲到[白浅]轩后。
0:28:41|0:28:48|[素素]哑口无言，离开清秋后，[玄女]正对着无尽的深渊哭诉着。
0:29:0|0:29:4|[玄女]听到声音，连忙回头查看，[素素]朝她走来。
0:29:41|0:29:45|宿瑾冷冷地说完东海所知道的一切。
0:29:46|0:29:50|听到[玄女]的问话，宿瑾笑着看向她。
0:30:1|0:30:5|[夜华]带着[白浅]来到了凡间的骏骑山。
0:30:5|0:30:9|此山名骏骑，是凡间离仙界最近的地方。
0:30:14|0:30:20|[白浅]看着周遭的环境，山上的茅草屋被大树三面环绕。
0:30:20|0:30:25|[夜华]走进屋内，拿着两块火石不断击打。
0:30:29|0:30:38|说完就用仙术准备生火，[司音]赶忙拦住他。
0:30:46|0:30:49|[夜华]说完后，便将[司音]哄入睡。
0:30:49|0:30:53|[白浅]无事可干，便在屋内转悠起来。
0:30:53|0:30:56|她看着屋内的摆设，走到了一张桌子前。
0:30:56|0:31:3|桌上放着一幅老画，上面蒙了一层厚厚的灰，[白浅]俯身细细查看。
0:31:3|0:31:7|画中的女子眉清目秀，看起来温婉动人。
0:31:7|0:31:13|她呼出一口气，将画上的灰尘吹去，画中女子的容颜清晰地浮现出来。
0:31:13|0:31:14|[白浅]不禁暗自伤怀。
0:31:18|0:31:25|[白浅]的目光始终没有离开过画。
0:31:25|0:31:30|[夜华]看着认真看画的[白浅]。
0:31:30|0:31:34|[白浅]看着画中的女子，扬起了笑容。
0:31:34|0:31:42|[夜华]看着她笑，恍惚间仿佛在她身上看到了[素素]的身影，便同她讲起了以前的事儿。
0:32:0|0:32:10|坠入凡间的[夜华]，倒在俊吉山上，被路过的[素素]撞见，[素素]看着他如画的眉眼，好似睡着了一般，便轻声唤了一声。
0:32:51|0:32:59|[夜华]听到心事一愣，随即站起身，直愣愣地处在[素素]面前，随即开口说道。
0:33:0|0:33:6|[素素]没想到，随口一说的荒唐话，[夜华]竟然当真了。
0:33:23|0:33:28|一日，[素素]准备做饭，[夜华]拿着木头看了又看。
0:33:42|0:33:52|若能在此一直伴他左右，我愿落入凡尘。[素素]没一会儿，就将火点燃。
0:34:19|0:34:21|[夜华]边走边说。
0:34:21|0:34:24|对[白浅]讲述着她和[素素]的过往。
0:34:24|0:34:33|突然，她在院内的一棵桃树下停了下来，那时[素素]正捧着线团，一点点织衣服。
0:34:43|0:34:52|那时，正值桃花盛开的时节，[夜华]凑近欣赏了桃花。
0:34:52|0:35:3|他向[素素]伸出一只手，[素素]满眼爱意地看向他，随后朝他跑过去，整个身体投入进他的怀抱里，脸上的笑容只增不减。
0:35:5|0:35:8|拥抱许久之后，两人才慢慢分开。
0:35:8|0:35:13|[素素]看着眼前的[夜华]，忍不住吻了他一下。
0:35:13|0:35:18|两人在桃树下手牵着手，含情脉脉地看着彼此。
0:35:42|0:35:47|面对[白浅]的追问，[夜华]垂眼沉思，半赏后看向桃树。
0:35:50|0:35:57|夜华说完，转身进入茅草屋，没有再多说什么，只留下[白浅]在桃树下伤怀。
0:35:57|0:36:5|夜幕逐渐降临，天色暗淡下来，空中散落着数不尽的天灯，阿离点起[白浅]手中的天灯。
0:36:52|0:36:56|夜华听到[白浅]的愿望后，回想起三百年前的[素素]。
0:37:5|0:37:24|当年的[素素]，也如同今日的[白浅]一样，手里捧着天灯，闭着双眼，食指交握在胸前，然后松开手中的天灯，看着它从指尖溜走，缓缓飞向高空，汇入一大片灯海中，漫天散落的天灯，犹如上万颗繁星。
0:37:25|0:37:44|将漆黑的夜空点缀得绚烂无比，一夜过后，夜华对着铜镜坐在梳妆台前，[白浅]拿着墓书，替他梳理着身后的长发，他看着镜中的字景，仿佛一下又回到了三百年前，那时的[素素]也如同[白浅]一样，站在他的身后，
0:37:44|0:37:53|用同样的手法和姿势帮他竖发，三百年后的今天，在[白浅]来到骏骑山后，这一切都一一浮现在他的脑海里，
0:38:3|0:38:11|[白潜]将夜华的长发梳通之后，将它们盘在头顶，最后戴上玉冠，拿簪子将头发簪好。
0:38:17|0:38:22|[白浅]半弓着身子，看着铜镜中竖好发的夜华陷入了沉思。
0:38:22|0:38:41|回到青丘后，[白浅]直接来到了盐华洞，她将一只手搭在冰棺上，紧接着，冰棺周围的仙藤便顺着她的手臂一路攀爬到了胸前，一瞬间便狠狠刺入她的心头，她的身体忍不住颤动一下，仙藤尽情损吸着她的心头血。
0:38:42|0:38:47|通过自身的经脉，缓缓传输给宾馆内沉睡着的[墨渊]。
0:38:47|0:39:0|[白浅]看着[墨渊]，回想起七万年前，鬼族大战之时，[墨渊]挥着长剑从高空一通而下，用自己所有的修为将鬼君秦苍封锁在入水之冰的东黄中内。
0:39:51|0:39:57|[白浅]看着[墨渊]，仰头喝了一口酒，泪水便从她的眼眶里涌了出来。
0:40:5|0:40:16|天庭之上云雾缭绕，给人以虚幻的感觉，渐渐的朦胧的雾气退去，远处一座若隐若现的巨殿浮现出来。
0:40:16|0:40:31|[夜华]坐在殿内的书桌前，出神地看着桌棚内展洁破灯，就连[素锦]端着茶壶走到她的桌子旁，往茶杯里倒满茶水，她也浑然不知，只是久久地凝视着那洁破灯，[素锦]走上前轻声唤道，
0:40:36|0:40:36|转身离去。
0:40:36|0:40:39|[白浅]为了得知
0:41:24|0:41:34|认错了人，[白浅]琢磨着哲言的话，又回到了盐滑洞，迷谷看到，不解的问他。
0:41:45|0:41:51|米谷不慎摔下楼梯，[白浅]却病了样子，一瞬间竟成了[玄女]。
0:41:51|0:41:54|此时，宿鼎的身影也出现在盐滑洞洞口。
0:41:54|0:42:2|他看着被[玄女]解决昏倒在地的米谷，冷哼一声，便带着[玄女]来到了洞内。
0:42:2|0:42:8|[玄女]看着宾馆内躺着的[墨渊]，想到了七万年前吴望海东皇中的一幕。
0:42:44|0:42:48|[玄女]走后，真正的[白浅]从石里桃林赶回来，迷古质问道。
0:43:45|0:43:53|哲言化身凤凰，带着[白浅]来到了大紫门宫。
0:43:53|0:43:55|哲言迅速解决大猛腿的守卫。
0:44:1|0:44:3|[白浅]听后，立马冲了进去。
0:44:9|0:44:16|[玄女]此时，手里捆着装着死胎的鸡翅，[白浅]早已冲进大祖门宫的殿内，解决了一小批鬼匠。
0:44:43|0:44:51|数千鬼将拿着长刀铁剑愣在了原地，只见哲焱从怀里掏出酒壶，大口地喝了起来。
0:44:51|0:45:0|喝了几口之后，他将酒壶掏向高空，一支铁剑刺穿酒壶，随即一支硕大的发动弹在火海中应用而生。
0:45:0|0:45:9|殿内，[白浅]拿剑的手轻轻一晃，化成长剑的昆仑扇，又恢复成扇子的形状，但扇叶却变成了束缚一刃。
0:45:9|0:45:15|[白浅]举起昆仑扇，用力挥动了两下，数名鬼将就飞了出去。
0:45:15|0:45:18|她越过为数不多的鬼将，直冲[玄女]跑去。
0:45:18|0:45:29|[玄女]用内力赶出外衣，想要短暂地挡住[白浅]的视线，但[白浅]快速避开了外衣背后的尖刀，对[玄女]连连紧逼，[白浅]飞身，定在半空中。
0:45:29|0:45:38|露出自己的九条尾巴，又急速落地，一记转身，尾巴的威力，直接让包围住他的几名鬼将接力放弃。
0:45:38|0:45:46|他用一条尾巴，卷起最后一名鬼将，又用另一条尾巴，重重甩在他的脸上，最后将他甩下了万丈深渊。
0:45:46|0:45:54|眼见[玄女]冲上来，他用一条尾巴轻松将[玄女]甩出，[玄女]却撞上不远处墓院的冰棺。
0:45:54|0:45:57|起身后，他又和[白浅]陷入了打斗。
0:45:57|0:46:4|途中，一名鬼将冒出来，[白浅]用尾巴将他摔了出去，谁料这次又撞上了墓院的冰棺。
0:46:4|0:46:13|冰棺在接连的撞击中，慢慢偏离了原来的位置，几回合的打斗，[玄女]被[白浅]的九条尾巴轮番攻击，最终狼狈倒地。
0:46:13|0:46:18|此时，二人才注意到墓院的冰棺以及冰棺上的死胎晶体。
0:46:18|0:46:28|在冰棺即将要掉下无尽深渊时，[白浅]用尾巴换化成丝带，用力拖拽住了冰棺，但冰棺上的死胎晶体还是掉了下去。
0:46:31|0:46:40|他转身用武器，一把将丝带缠绕的冰锥击碎，瞬间，冰棺脱离控制，又继续朝无尽深渊滑动。
0:46:40|0:46:50|在[玄女]举起武器，朝冰棺砸去时，[白浅]早已快速地护住冰棺，击下那一锤，在冰棺持续滑动中，一把剑插在悬崖口，阻止了这一切。
0:46:50|0:47:0|[玄女]愤怒至极，想要再次击打冰棺，却被赶来的[夜华]回击，重重地摔倒在地上，冰棺上的[白浅]喘着粗气，忍着身上的疼痛。
0:47:6|0:47:18|为免四海八荒生灵涂炭，叶华及时赶到，成功地保住了[墨渊]的仙体。
0:47:18|0:47:22|[白浅]再一次将冰棺放回到了盐华洞内。
0:47:29|0:47:30|而后，
0:47:33|0:47:38|双双归隐。
0:48:14|0:48:19|七万年前的那场浩劫，[白浅]至今依旧历历在目。
0:48:34|0:48:37|[白浅]恢复真身，进入水底疗伤。
0:48:48|0:49:0|七万年前，[墨渊]生祭东皇中后，[司音]便背着他的仙体，来到青丘一个灵气汇聚的山洞，也就是盐华洞内，并用冰棺保存着[墨渊]的仙体。
0:49:0|0:49:3|他看着[墨渊]的仙体，说道。
0:49:43|0:49:47|[夜华]抓着[白浅]的手，放到自己的胸口上。
0:49:49|0:49:52|[白浅]看着[夜华]，没有回应她。
0:49:52|0:49:56|[夜华]靠近[白浅]，搂过她的脖颈，逐渐靠近她的额头。
0:50:2|0:50:5|[白浅]感受到薄颈处的力道。
0:50:5|0:50:12|控制不住地微微抬起头，还没等反应过来，自己的唇便被[夜华]滚烫的唇紧紧覆盖。
0:50:12|0:50:25|[白浅]先是浑身僵硬，随后身体被束缚进[夜华]的怀里，没一会儿便彻底沦陷在[夜华]绵密深沉的纹理，胳膊也不知何时攀上了她的尖头。
0:50:25|0:50:31|一番温存后，[白浅]便随[夜华]回到了天宫，九重天上天君诏曰。
0:50:58|0:51:4|天兵天将下跪行礼，[叶华]和[白浅]牵着彼此的手走上大殿，突然一个星娥冲上来。
0:51:29|0:51:33|奶奶听到后，低着头站在[白浅]的身后。
0:51:33|0:51:38|一旁的[素锦]双眼充满怒火，死死盯着[白浅]身后的奶奶。
0:51:40|0:51:42|[夜华]微笑，表示默许。
0:51:44|0:51:48|随后，[夜华]带着[白浅]来到了一处院子。
0:52:29|0:52:35|听到阿离的话，[夜华]忍不住笑出了声，[白浅]一把抱着阿离离开了院子。
0:52:35|0:52:41|过了些时日，十几名仙鹅手捧着礼服和一些发饰来为[白浅]梳妆。
0:52:41|0:52:49|两名仙鹅将壶中的水银倒入[白浅]面前的盆内，水银立马上升，在空中凝结成一面镜子。
0:52:49|0:52:52|大婚的服饰定下来之后，[白浅]便回到了宫内。
0:52:55|0:52:58|奶奶走到正在喝酒的[白浅]面前，
0:53:1|0:53:3|[白浅]诧异地问道，
0:53:32|0:53:35|[白浅]转头，并看到一只猛虎。
0:54:5|0:54:11|[素锦]转身朝身后走去，[白浅]看了眼咆哮的猛虎，跟上了她的脚步。
0:54:23|0:54:27|她甚至都没有将此事禀明[夜华]。
0:54:27|0:54:33|所以宫里根本就没有人知道谁是[素锦]，只觉得是多了个新来的宫女。
0:54:33|0:54:38|[夜华]把[素锦]安置下来，等着她将孩子生下。
0:54:40|0:54:44|[素素]继续朝诸仙台上走去。
0:55:20|0:55:28|凡人跳下去，[白浅]跟着肃瑾走上最后一级台阶，俯身看着深不尽底的深渊。
0:55:40|0:55:46|[白浅]面色凝重，站在诸仙台最高处的她，仿佛真的听到了[素锦]的声音。
0:55:46|0:55:49|她回头问身后的[素锦]。
0:55:53|0:56:3|那时，[夜华]刚被封为太子，她心里一定是明白的，不可能为了一个凡人女子而丢了太子之位。
0:57:0|0:57:5|[白浅]听到这话，冷哼一声，拽着裙离开了竹仙台。
0:57:5|0:57:10|大婚排演在即，[白浅]穿着华丽的礼服，仙鹅为她梳妆打扮。
0:58:6|0:58:15|[夜华]没有回答[白浅]的问题，[白浅]执拗地看着前方，侧目看着[夜华]向他弯腰行对拜之礼。
0:58:21|0:58:38|[白浅]身子笔直，丝毫没有回败的意思，转身冷冷地质问[夜华]。
0:58:38|0:58:42|[夜华]闭口不谈，肃静的嘴角不禁勾起了笑容。
0:58:50|0:58:56|一口呛回礼仪官后，[白浅]脱着礼服，头也不回地离开了现场。
0:59:16|0:59:24|回宫后的[夜华]独自坐在书桌前，他攒眉注视着桌前那盏悬浮的截破灯，一动不动。
0:59:32|0:59:35|[白浅]猛喝了几口桃花醉。
0:59:37|0:59:41|哲言邪魅一笑，紧接着对他说。
1:0:25|1:0:29|为了尸骨莫冤，[白浅]不得不来找[夜华]。
1:0:29|1:0:33|此时，[夜华]未坐在书桌旁，屋内空无一人。
1:0:33|1:0:38|[白浅]走近，看着发光的烛台，忍不住伸出了手。
1:0:38|1:0:42|听到[夜华]的声音，她默默将手缩了回去。
1:1:24|1:1:27|[白浅]赌气般地就往外走。
1:1:52|1:1:55|发泄完不满后，[白浅]拽着[夜华]胸前的衣服。
1:2:32|1:2:37|此时之中，[夜华]将[白浅]的手放到她的胸口前。
1:3:27|1:3:39|[白浅]看着眼前的[夜华]，眼里充满了不可思议，她赶忙后退几步，离开了[夜华]的书房，只留下[夜华]暗自流泪伤感，就连和阿离在一起时也心不在焉。
1:4:3|1:4:9|向阿离交代完之后，[夜华]接过侍卫手里的剑，在侍卫的目送下离开了天宫。
1:4:9|1:4:18|此时，[白浅]正赤手空拳，攀爬着数百米高的悬崖，身后则是深不见底的东海。
1:4:18|1:4:24|待攀爬上悬崖后，[白浅]面前一片开阔，脚下荆棘苔藓丛生，枯木四处可见。
1:4:24|1:4:34|[白浅]所到之处，地上的植被和枯木上的菌菇都一一发出细闪的光亮，她小心翼翼，四处寻找着神之草。
1:4:34|1:4:38|突然，不经意地转头，她看到一棵闪着光亮的仙草。
1:4:38|1:4:47|细细辨认一番后，她高兴地蹲下身子，伸手一把抓住神之草的根部，想要将它拔出来，可神之草却纹丝不动。
1:4:48|1:5:0|她两手用力，再次转了几下，可神之草依旧纹丝不动，她将昆仑扇化成一把利刃，朝神之草的根部扎去，脚下的地跟着颤动两下后，恢复了平静。
1:5:0|1:5:12|紧接着，[白浅]再次扎向神之草的根部，接连几下后，整个地面开始疯狂地晃动，满地的苔藓和枯木也被掀起，[白浅]松开神之草，起身维持着身体的平衡。
1:5:13|1:5:19|红然间，被掀起的地皮中，突然闪出一只身忧恐怖的眼睛，还发出几声嘶吼。
1:5:19|1:5:28|[白浅]的身子此时已经距离地面十几米高，她跳到地面，看到了一只，四肢被枯木包围，身上满是苔藓的饕餮。
1:5:28|1:5:32|饕餮仰天嘲笑一声，便拖着沉重的躯干，朝[白浅]过去。
1:5:33|1:5:48|[白浅]身手敏捷，一记腾风翻身，轻松躲过了饕餮的大脚，快速站稳脚跟后，她毫不犹豫，将手中的利刃朝饕餮甩去，利刃狠狠地扎在了饕餮的后背上，忍不住再次吼叫一声。
1:5:48|1:5:58|[白浅]抓住时机，踩着饕餮的尾巴，快步冲到她的背部，饕餮的身体肆意翻腾，[白浅]抓住背上的利刃，想要再次取得神之草。
1:5:58|1:6:3|突然，他的身体连同抓着的利刃，一起被甩向地面。
1:6:3|1:6:7|在[陶铁]逐渐逼近时，[夜华]赶来，一箭直刺颅顶。
1:6:7|1:6:12|[陶铁]忽然倒地，[夜华]收箭飞身，来到[白浅]的跟前。
1:6:12|1:6:16|劫后余生的[白浅]，深呼出一口气。
1:6:16|1:6:23|[夜华]朝他伸出一只手，本来严肃板正的脸上，在[白浅]抓住他的一瞬间，立马扬起了笑容。
1:6:38|1:6:47|身后的涛铁突然苏醒，让二人始料未及，[夜华]一把推开[白浅]，转身抵挡的瞬间，被[陶铁]咬住了胳膊。
1:6:47|1:7:4|[白浅]见状，朝[陶铁]挥出丝带，借着力，她再次飞身来到[陶铁]的后背上，本想称[陶铁]分身伐树之际，取得神之草，但看到[陶铁]嘴下的[夜华]，她还是借着丝带冲了下去，用力朝[夜华]的剑柄上猛踩一脚。
1:7:4|1:7:10|这一脚，成功撬开了[陶铁]的大嘴，[夜华]成功脱离。
1:7:10|1:7:17|两人拽着丝带悬在半空中。
1:7:17|1:7:22|话还没说完，[陶铁]风同水投，两人的身子也随即翻腾起来。
1:7:22|1:7:28|在翻腾过程中，两人相互配合，用手中的丝带将[墨渊]的獠牙大口紧紧缠绕起来。
1:7:29|1:7:35|又快速绕到其身后，左右夹击跳上后背，让丝带在[墨渊]身上环绕一周。
1:7:35|1:7:40|成功用丝带牵制住[墨渊]的手足后，朝前急速奔跑过去。
1:7:40|1:7:45|[墨渊]见状也朝前跑去，但刚迈出前脚，整个身子就哭倒在地上。
1:7:45|1:7:50|[墨渊]绷紧手中的丝带，[白浅]飞身，大步踏上丝带。
1:7:50|1:7:53|借着丝带的力，[夜华]将[白浅]踩上了[墨渊]的后背。
1:7:53|1:7:57|[白浅]对准[墨渊]背上的玄之草，再次挥剑四向根。
1:7:57|1:8:1|感受到危机的[墨渊]朝[白浅]甩出了身后的尾巴，躲避箭。
1:8:1|1:8:7|[白浅]手中的箭不慎脱落，[夜华]将自己的箭狠狠地插入[墨渊]的前脚。
1:8:7|1:8:12|[墨渊]猛然间抬起脚，就连带抓着箭的[夜华]一起高举到半空中。
1:8:12|1:8:20|叶华随即抽出长箭甩给[白浅]，接箭后的绑箭果断朝神之草的根部捅去，这一箭割断了涛铁身体的力量。
1:8:24|1:8:30|韬铁的尾巴最后一甩，准确击中半空中的[夜华]，毫无防备的[夜华]滚倒在地上。
1:8:30|1:8:35|紧接着，韬铁身上的枯木接连掉落，硕大的身体也风云倒塌。
1:8:36|1:8:54|空幕砸在[夜华]的身上，[白浅]见状，松开了即将得手的神之草，从饕餮的背上跳下，冒着被飞石空幕砸到的风险，跑到[夜华]的身边，恢复半个真身，用身后的九条尾巴，罩在[夜华]的身上，任由掉落的飞石砸在自己的身上。
1:8:54|1:9:7|昏迷中的[夜华]缓缓睁开双眼，他久久地注视着[白浅]，[白浅]也看向他，两人相顾无言，盈州岛此时一片荒芜，毫无生气，四处落满了饕餮的躯干残骸。
1:9:7|1:9:15|回到天宫后，[夜华]坐在寝宫的床上，[白浅]细心地给他包扎被饕餮咬伤的手臂。
1:9:15|1:9:23|[夜华]摇了摇头，[白浅]的手摸向他布满疤痕的背部，[夜华]脸色逐渐凝重。
1:9:38|1:9:41|叶华抬手，抚上[白浅]鬓角的头发。
