0:0:47|0:0:54|雄鹰掠过天际，伴随着苍劲有力的喊叫，沉寂多年的[岳峰]眼神坚毅，徐徐向前。
0:4:35|0:4:40|这一棒砸得[岳峰]不省人事，进了监狱，也砸出了影片片名。
0:4:41|0:4:46|街头之王，四个大字，故事在扑朔迷离中拉开帷幕。
0:4:56|0:5:9|[岳峰]弯下上身点点头，送别狱警后，他怅然若失地抬起头，看向监狱外有些陌生的天空，一闪而过的少年义气被他的双眸所掩藏。
0:5:9|0:5:15|岁月磨平了戾气和锋芒，取而代之的是他湿润的眼眶。
0:5:15|0:5:18|离开监狱的[岳峰]独自上路，开始新的生活。
0:5:19|0:5:23|穿过两排高大的树木，穿过人流街道，
0:5:23|0:5:27|走进了胡同里，好奇地看着周围的景象。
0:5:27|0:5:32|大步踏进一家小餐馆，老板娘问道。
0:5:35|0:5:46|闻声，置物架后的凯子突然转身，走上前惊讶地确认。二人激动地拥抱，凯子看着[岳峰]有好多事情想问。
0:5:49|0:5:56|老板娘端茶打断。
0:5:56|0:6:0|凯子激动地介绍，妻子却一把甩开了他的手。
0:6:0|0:6:5|凯子只好尴尬地陪笑，[岳峰]垂下双眼。
0:6:5|0:6:12|凯子倒茶，替妻子赔礼，[岳峰]无奈地摇头，笑得比哭还丑，凯子连忙安慰道。
0:6:31|0:6:37|妻子耍了一下手中插着的杯子就走，两个男人察觉到了异样。
0:6:40|0:6:46|凯子起身安慰妻子，[岳峰]只能在一旁陪着笑脸。
0:7:7|0:7:11|伴随着杯子破碎的声音，座位上空无一人。
0:7:11|0:7:16|[岳峰]已经悄然离开，漫无目的四处游荡。
0:7:16|0:7:23|这座城市车水马龙，人潮汹涌，人们都有条不紊地进行着自己的生活。
0:7:23|0:7:26|公交车窗倒映出[岳峰]的脸庞，显得彷徨失措。
0:7:29|0:7:39|没人能告诉[岳峰]他该何去何从，但他明白，未来长路漫漫，他依然只能靠着自己。
0:7:39|0:7:43|[岳峰]看着车流驶进黑夜，暮色降临。
0:7:43|0:7:54|今天，他拖着疲惫的身子，走遍了站台，天桥和马路，伴随月光和霓虹灯走到步行街。
0:7:54|0:8:4|在步行街的大屏幕上，他看到了面目全非的女子，给这座陌生的城市增添了可怕的氛围。
0:8:4|0:8:15|在看向周围往来的人流，人们步履匆匆，行色匆忙，没有人愿意停下前进的脚步。
0:8:15|0:8:23|月峰一时间呆在原地，迷茫而恍然失措，找不到方向却无法停止寻找的步伐。
0:8:27|0:8:34|无家可归的[岳峰]仍在寻找，仍在游荡，脚步越来越沉重，身躯也越来越疲惫。
0:8:36|0:8:43|[岳峰]意外来到一处夜里无人觉察的工地，继续寻觅着今晚的安家之所。
0:8:43|0:9:3|经历无数次失望之后，他终于找到一间宽敞的毛坯房，决定在这里歇歇脚，将角落的稻草整齐地摆好，安然地躺下，又将多余的稻草铺在自己的身上，疲倦的他呼吸渐沉，慢慢睡去，睡了出浴后安稳地第一觉。
0:9:6|0:9:9|朝阳初升，晨曦初露。
0:9:9|0:9:13|迎着清晨朝露，[岳峰]在房顶上练起成功。
0:9:13|0:9:18|曲腿，打拳，出腿，苍劲有力。
0:9:18|0:9:28|一拳一腿之间，[岳峰]逐渐找到了从前训练的感觉，加快选脚和速度，飞踢一脚，姿势到位，活像是[李小龙]。
0:9:28|0:9:34|小峰振振，舞平了[岳峰]的心绪，朝阳从晨光稀微到天光大亮。
0:9:35|0:9:42|训练完的[岳峰]坐在楼顶，看向不远处，暗自下定决心，来到工地寻找机会。
0:10:2|0:10:8|[岳峰]欣喜地等来的却是坏消息，他故作坚强。
0:10:8|0:10:15|公头的话语如工地的大锤，翘在[岳峰]的心上，他拖着落寞的背影离去了。
0:10:28|0:10:44|一会儿，小偷们就跑进了一个地形复杂的胡同里，小偷们突然改变方向，美女扭了刹车，闯进了小偷藏匿的胡同里，小偷们将美女迷住，挡住了她的退路，不怀好意地打量着她。
0:10:49|0:10:54|说吧，还是摸着美女的脸，美女出拳，奈何力量实在悬殊。
0:10:58|0:11:6|[小伊]们没有悔改的意思，美女一踢腿逞力反抗，脑袋却被偷袭，意识不清，晕倒了过去。
0:11:6|0:11:13|昏迷时发生的事情，她已经记不清了，模模糊糊清醒时，眼前竟是一个英俊的男子。
0:11:16|0:11:22|“这个男子正是[岳峰]，他没有回答，拿着水走出了小巷。
0:11:42|0:11:48|随即离开，五洞边，两工人用绳索吊着家具，小孩在玩球。
0:12:20|0:12:28|好巧不巧，孩子的球飞了过来，刚好掉在了家具下，孩子跑到了危险的地方。
0:12:36|0:12:45|绳断，弱大的家具冲向而掉下，此时，月光出现，救下孩子，将孩子抱到一旁，全身安慰着。
0:13:6|0:13:8|爽快地把[岳峰]带到了公司仓库。
0:13:17|0:13:25|枕头走后，[岳峰]小心翼翼地走进仓库，正了正身子，神采奕奕地迎接新的工作。
0:13:25|0:13:30|入夜，[岳峰]疲惫地睡去，睡梦中又回到了入狱前的那种行动里。
0:13:33|0:13:39|他满嘴血，被人重重地砸中了脑袋，[岳峰]猛地从噩梦中惊醒。
0:13:44|0:13:48|[岳峰]起身，又回忆起了当年决斗的细节。
0:13:48|0:13:56|他被一群人围殴，于是他起身练功，决心不能再让那样的机会再次发生。
0:13:56|0:14:2|[岳峰]还未从痴迷睡梦的状态中抽离出来，他仍然能感受到那种莫名的不安。
0:14:3|0:14:18|于是他不停地俯卧再起身，想让自己经过训练变得更加强大，危险的别墅时有些受限的拳脚害他伤伤，便更快地挥动双臂，为其出拳的速度以定律。
0:14:18|0:14:24|纵使汉柔夹背，他也不停停下迅烈的上手和对抗的招式。
0:14:24|0:14:28|在汉柔武下时，他终于能一眼眼感觉到当年对战的最佳状态。
0:14:33|0:14:41|月方出拳的速度越厉害，力度也越来越大，保护育成能够清晨的太阳阵型。
0:14:41|0:14:46|转眼间，来到了上班时间，[岳峰]准时来到了办公室。
0:14:46|0:14:52|没想到，[瘦子]和[胖子]已经到了。
0:14:59|0:15:0|[瘦子]不懈地盯着[岳峰]。
0:15:10|0:15:12|[岳峰]王位的打量着瘦嘴。
0:15:26|0:15:29|二人看[岳峰]一点反应都没有，顿时急了。
0:15:29|0:15:35|[胖子]被揍得得意忘形，[岳峰]问，[胖子]愣住。
0:15:52|0:15:57|[瘦子]伸手要解[胖子]的钮扣，[胖子]连忙摆摆手，起身说。
0:16:39|0:16:57|[胖子]用力拍了拍[岳峰]的后背，随即又端起手，眼神示意[瘦子]，[瘦子]立马反应过来，说吧，连踢大踹地把[岳峰]使唤走。
0:16:57|0:17:4|下班后，[岳峰]拿着一张捏皱的纸条，照着纸条找到了一条僻静的街道。
0:17:4|0:17:16|他左右张望，目光最终在一个卖烧饼的小摊位上停下，卖烧饼的是一位老奶奶，她满目疮痍，脸上饱含生活的辛酸苦楚。
0:17:16|0:17:22|[岳峰]走到一边，默默注视着老奶奶的摊位。
0:17:22|0:17:27|出狱时，狱警曾经嘱咐过[岳峰]，[岳峰]接过狱警给他的地址，兑现了承诺。
0:17:39|0:17:42|找到了被他杀死的那个少年的奶奶。
0:17:42|0:17:53|悠扬悲怆的音乐从远方传来，原来是凯子独自一人在店里吹起的口琴声，回忆起童年往事，满是不舍与忧愁。
0:17:54|0:17:59|悠扬动听的口琴声伴随着少年们的脚步跑别了童年。
0:17:59|0:18:6|少年凯子对坏孩子们拳打脚踢，逼到了角落里，屈膝抱紧了身子。
0:18:6|0:18:11|两个少年赶不过来，踢走了正在欺负人的坏孩子们。
0:18:11|0:18:15|这两人正是少时见义勇为的[岳峰]和[阿海]。
0:18:16|0:18:21|三个少年从此结下过命交情，长大成人。
0:18:21|0:18:25|少年早已成年，少年的伙伴却渐行渐远。
0:18:29|0:18:33|暮色已至，[月峰]在烧饼婆婆那里买了一大袋烧饼。
0:18:34|0:18:45|回到家中，他的目光立刻被桌上的口琴和信封所吸引，[岳峰]认出了是凯子的口琴，以及放在口琴旁边凯子手写姓名的信封。
0:18:45|0:18:52|他打开信封，发现是后户的一塔钱，而夹在信封深处的是三个少年的少时合照。
0:18:53|0:18:58|照片里的三人紧靠着，还是未经事事的少年面旁。
0:18:58|0:19:3|如今，一切都变了样，[岳峰]感到一阵惋惜。
0:19:3|0:19:13|惆怅间拿起口琴，缓缓走到窗边，抬头看着月亮，在月色的注视下，[岳峰]的思绪跟着口琴回到了童年。
0:19:13|0:19:17|一起儿时，凯子也像[岳峰]这样，一个人吹着口琴。
0:19:18|0:19:23|但与当年不同的是，从前的三个少年彼此为伴，互相保护。
0:19:23|0:19:31|现如今，凯子独自一人坐在店里喝着闷酒，烟还未灭，年少的故事却已说完。
0:19:31|0:19:34|他们都截然一身，孤身一人。
0:20:41|0:20:59|上年意气风发说出的玩笑话，学电影里的样子碰着拳，身后的火车呼啸而过，和搬家公司飞驰的卡车汇成一条线，勾勒出青春消逝的模样。
0:20:59|0:21:1|[岳峰]一行三人搬运货物。
0:21:13|0:21:16|胖子费力地挪电脑，叫着[岳峰]。
0:21:16|0:21:29|没想到，他和瘦子合力都搬不动的电脑，[岳峰]一个人就扛走了。
0:21:29|0:21:36|[岳峰]搬着电脑，一进收容所，视线就被眼前的画面所吸引，看得着了迷，待站在原地。
0:21:39|0:21:51|映入眼帘的是几个可爱的孩子们，他们跑着跳着玩耍着，其中两个小孩在打闹着，在院子里互相追着对方奔跑。
0:21:51|0:21:58|活力满满的孩子们让[岳峰]感受到温暖而熟悉，就好像从前的他和[阿海]。
0:21:58|0:22:2|[岳峰]一时看愣了，出了神，陷入了回忆里。
0:22:10|0:22:15|[岳峰]被胖子的呼唤拉回了现实，继续搬电脑。
0:22:15|0:22:24|此时，只有胖子和瘦子在屋里，瘦子把电脑放在地上，胖子提醒他。
0:22:24|0:22:33|瘦子抬起电脑箱的同时，窗外，一个长发美女起身，一声巨响吸引了美女的注意，瘦子失手将电脑甩落。
0:22:37|0:22:44|胖子骂完，环顾四周以为没有人，没有发现美女目睹全程离开。
0:22:44|0:22:48|二人看着被摔碎的电脑，走出房间叫住[岳峰]。
0:22:55|0:23:4|说吧，胖子和瘦子便往外走，[岳峰]察觉到胖子神情的异样，却未多想，应声独自走进里屋。
0:23:4|0:23:18|刚一抬起地上的电脑箱，里面的电脑就从纸箱里掉了出来，重重地摔在地上，闻声赶来的瘦子和胖子表现得十分诧异。
0:23:18|0:23:21|胖子和瘦子侦查门外，老板进来了。
0:23:26|0:23:31|[岳峰]愣在原地，一语不发。
0:23:31|0:23:33|美女进屋解围。
0:23:33|0:23:44|美女看向罪魁祸首，随后与[岳峰]共进晚餐。
0:23:44|0:23:48|[岳峰]认出，他就是被自己救下的女孩。
0:24:14|0:24:16|这是一个私人收容所。
0:24:16|0:24:19|[周先生]膝下无子女，原本只是收留了两个孩子。
0:24:21|0:24:23|美女害羞地低头，拨弄了咖啡。
0:24:52|0:24:58|美女娇羞地看着[岳峰]，微妙的气氛却被电话铃声所打断。
0:25:15|0:25:18|[岳峰]挂断电话，随即淡定地看向美女。
0:25:28|0:25:38|美女借过[岳峰]的手机，留下了自己的电话号码，确认拨通后才把手机还回去。
0:25:38|0:25:43|[岳峰]接过手机，应声后离去。
0:25:43|0:25:45|台球厅里，胖子和瘦子被光头筹骂。
0:26:6|0:26:7|鼻惊脸肿的胖子疯狂点头。
0:26:42|0:26:48|光头兴冲冲地来到隔壁，却看到手上空无一物的[岳峰]，满脸失望。
0:26:56|0:26:58|愤怒和酒瓶一起砸向了[岳峰]的脑袋。
0:27:0|0:27:4|血从头顶流下。
0:27:4|0:27:7|光头撸起一个空瓶子，就朝[岳峰]的头上砸。
0:27:7|0:27:10|[岳峰]一吐，将光头踢飞在地。
0:27:10|0:27:15|武下身瞪着光头，转瞬间，酒瓶被[岳峰]捏得粉碎。
0:27:15|0:27:23|他冷着脸问，光头吓得说不出话，胖子被瘦子和[岳峰]掺和着离开了台球厅。
0:27:43|0:27:51|明月高悬，疲惫了一天的[岳峰]，早已安然地进入梦乡。
0:27:51|0:27:54|睡梦中，却被刺耳的手机铃声吵醒。
0:27:54|0:27:59|[岳峰]打开夜灯，拿起手机，收到下午美女发来的短信。
0:28:5|0:28:7|看完短信，[岳峰]回复：
0:28:8|0:28:13|发送后才注意到美女留下的名字——[小伊]。
0:28:13|0:28:17|爽快答应后，又感到不安。
0:28:17|0:28:24|回忆起自己年少时犯过的错事，[岳峰]仍然心有不净。
0:28:24|0:28:28|原来，当年领徒少年的逆混被[岳峰]一手挡住。
0:28:31|0:28:38|接着，他便学出自己善良的招数，一手打出武器，一脚敲敲敌人。
0:28:46|0:28:53|米罗生死搏斗后，月中的体力才被消耗了半半。
0:28:53|0:28:56|小昆虎们临房攻击，热锋迷选阶底挡不住。
0:28:58|0:29:3|在共产党修整天会后，调整了策略，将[岳峰]包围。
0:29:3|0:29:9|[岳峰]的影神像一只孤岛，纵使他空中的人被众人包围，也显得杀气腾腾。
0:29:10|0:29:11|吓得周围的人嘴唇疙瘩。
0:29:11|0:29:28|领头的少羽一声令下，其他小灵魂纷纷飞上去，要攻击[岳峰]。
0:29:28|0:29:30|[岳峰]逆袭击败一个人。
0:29:30|0:29:34|[岳峰]没料到，领头少爷会从背后偷袭自己。
0:29:39|0:29:47|要求上岩落空的心脏，也将一只双手牵制着岩岩的双手，往上一放。
0:29:47|0:29:50|这一放，就导致狙手插进了上岩的身体里。
0:29:55|0:30:3|在领头少年的惊呼声中，[岳峰]愣住了，他的眼神里闪过害怕、迷茫、错愕和担忧。
0:30:3|0:30:20|他注视着少年倒地，看着躺在少年身边动弹不得的人，他第一次见识到自己拳头的可怕，回忆如同梦魇一般消散不去，久久无法入眠。
0:30:20|0:30:30|第二天，[岳峰]早早来到了收容所，坐在操场，看着眼前的孩子们，小姨出来了，坐在她的旁边。
0:30:57|0:31:3|一个小男孩捧着一幅画走过来，[岳峰]接过画，伸手抚摸男孩的脸，问道。
0:31:5|0:31:7|他叫小强，是个聋哑孩子。
0:31:8|0:31:15|[岳峰]有些抱歉地低下了头，欣赏男孩的画，稚嫩的笔触下，画着幸福的一家三口。
0:31:15|0:31:22|画里，小男孩牵着父母的手，让[岳峰]看得出神，想起了自己的父亲。
0:32:3|0:32:4|四目相对，父亲一愣。
0:32:28|0:32:35|父亲甩飞了手中的热水壶，也把[岳峰]甩回了现实，[岳峰]的内心久久不能平静。
0:32:35|0:32:42|阵阵巨响，一扫收容所往日的平静，小姨起身，拦住来者不善的壮汉们。
0:32:45|0:32:50|为首的壮汉恶狠狠地盯着小姨，园长走了出来。
0:32:52|0:33:5|壮汉们随后就趾高气扬地往里屋走，一个接着一个凶神恶煞，边走边媚好气地瞪着小一，小一视而不见。
0:33:5|0:33:10|进屋后，其中一个花色外套的壮汉对园长说，
0:33:26|0:33:30|为首者制止了壮汉的拳头，缓缓走近，说，
0:33:47|0:33:54|临走时，为首者一瞥[岳峰]，[岳峰]的眼神中闪过一丝不屑，又立马垂下眼皮。
0:33:54|0:34:7|小一看着壮汉们离开，才跑上前询问园长，看着窗外壮汉们走远的背影，园长叹着气摘下了眼镜，无奈地点头。
0:34:36|0:34:53|说吧，他垂下眼眸，三人的眼中透出无尽的担忧，夜幕降临，一辆奥迪车摇摆着红标，冲过马路的大妈飞驰而来，马路对面的[岳峰]一个剑步蹬过，顾及大妈，汽车急停。
0:34:53|0:35:1|说完就走，留下大妈和奥迪车主待在原地，喝得醉醺醺的奥迪车主活着车门下车，问道。
0:35:7|0:35:14|[岳峰]穿过幽暗的小路，树下一个熟悉的身影正等着他。
0:35:14|0:35:23|[阿海]落寞地靠在树旁，止不住的期待与欣喜，让许久未见的兄弟俩说不出一句话。
0:35:23|0:35:29|千言万语化作彼此熟悉的碰拳，欢欣雀跃化作火锅生腾的热气。
0:35:29|0:35:31|兄弟俩来到火锅店里叙旧。
0:35:37|0:35:42|[阿海]深吸一口气，像是下定了决心。
0:36:30|0:36:43|沉默的二人与火锅沸腾的声音形成了对比，生活的隔阂让二人完全不同。
0:36:43|0:36:45|二人碰杯，火锅沸腾。
0:36:45|0:36:54|酒足饭饱后，喝醉的二人摇摇晃晃地互相搀扶着走出了饭店。
0:36:54|0:36:58|[阿海]送[岳峰]到门口，招手拦下一辆出租车。
0:37:0|0:37:3|出租车停在路边，二人碰手告别。
0:37:4|0:37:10|[阿海]拉开车门，[岳峰]将头探进车里，刚看清司机的脸，就呆愣住了。
0:37:10|0:37:17|看清来者，司机皱了一头，将油门踩到底，不等[岳峰]反应，就将车开得老远。
0:37:17|0:37:27|[阿海]不满地大喊，司机顺着车径，看到[岳峰]愣在原地，心中复杂的情绪一闪而过，依旧冷漠地往前开车。
0:37:27|0:37:33|第二天清晨，[岳峰]一如往常，来到烧饼摊照顾老奶奶的生意。
0:38:22|0:38:29|月风弯腰，方老奶奶将凳子放到推车上，说吧，一起拖着车往前走。
0:38:44|0:38:49|老义工看到门口滴血的动物头颅，晕了过去，众人来到医院。
0:39:17|0:39:20|小姨感到抱歉。
0:39:23|0:39:33|我看，说吧，[岳峰]低头沉思，他的目光顺着病房看去。
0:39:33|0:39:38|园长站在病床前，揉眼睛愁容满面。
0:39:38|0:39:42|此情此景，让[岳峰]在心中按下决心。
0:39:42|0:39:46|另一边，邵东家仍在密谋着收购计划。
0:40:10|0:40:15|少东家眼里埋着深不可测的欲望，摇晃着高脚杯，这才悠悠开口。
0:40:21|0:40:26|手下[阿龙]硬无表情，少东家抽着雪茄转移说道。
0:40:26|0:40:27|[阿龙]有了思路，点头回应。
0:40:48|0:40:58|[阿龙]立马带人前往收容所，潜入黑夜中，砸碎了玻璃，向前孩子们。
0:40:58|0:41:15|园长连忙跑来安慰，园长抱孩子进屋，孩子们一窝蜂地围住园长。
0:41:25|0:41:30|孩子们被园长用大被子裹在怀里，安然入睡。
0:41:30|0:41:34|第二天，[岳峰]和园长收拾残局，[小姨]安慰孩子。
0:42:0|0:42:9|撞汉一脚踹腿的圆脚，[小姨]拿过气砸向撞汉，且力量悬殊。
0:42:9|0:42:15|[岳峰]在房内目睹了一切。
0:42:15|0:42:20|[岳峰]带着出狱后从未展现过的杀气，走向撞汉们，说道：
0:42:24|0:42:34|[岳峰]一吐，踢飞了第一步，反射了壮汉，又有其他人不断是为了上前剧，却被[岳峰]的飞快旋风梯踢倒。
0:42:34|0:42:36|壮汉们被吓得一愣一愣。
0:42:36|0:42:42|为首的花外套壮汉，是以旁边的壮汉继续上前攻击。
0:42:42|0:42:43|壮汉打出一套花拳袖腿。
0:42:45|0:42:52|看的人眼花缭乱，最后掏起一块砖头，却直接被[岳峰]踢回掩地。
0:42:52|0:43:2|花外套壮汉，不甘示弱地冲上拳击棒头，[岳峰]一拳一吐，将其打得步履维艰。
0:43:2|0:43:6|重壮汉落荒而逃，收容所恢复往日的平静。
0:43:38|0:43:43|园长语重心长地嘱托二人，[段汉强]在操练武功。
0:44:26|0:44:43|花外套壮汉刚退下，光头就走过来，[阿龙]凑近揽住光头，低声谋话，他信赖地拍了拍光头的肩膀，走进警侦处，来到地下车库，[岳峰]和[小伊]正在地库。
0:44:55|0:45:3|[小姨]拉开门，[岳峰]放下东西，却没坐上车。
0:45:23|0:45:37|[岳峰]透过车窗看到对面车旁，鬼鬼祟祟地躲着两个人，他立马警觉，先柔声哄着[小姨]上车。
0:45:37|0:45:42|满怀期待的[小姨]却被[岳峰]从背后敲晕，倒在了车里。
0:45:42|0:45:48|小心翼翼地将[小姨]放倒在车里后，[岳峰]起身，直面躲在暗处的歹徒。
0:45:49|0:45:57|来者近十人，全副武装，看不清面容，都手持利刃，蒙面持刀，将[岳峰]团团围住。
0:45:57|0:46:7|战斗正式开始，一歹徒首先拿着短刀就朝[岳峰]直冲过来，[岳峰]眼疾手快，等下歹徒持刃之手，反手就将其撂倒。
0:46:9|0:46:14|[宋戴孚]一次又一次举着令燕砍向[岳峰]，轮番上阵。
0:46:14|0:46:18|[岳峰]也不爽快，多次躲开令燕，严以抵受。
0:46:20|0:46:26|[岳峰]对抗面前的歹徒时，未注意到侧方伸来的狗刀，他的手臂被偷袭划伤。
0:46:29|0:46:42|意识到赤手抨拳将你对付的众多打徒不是办法，[岳峰]只得伺机宠物，在打徒们放松脚步之时猛射后逃跑，跑向车库更深处。
0:46:42|0:46:47|[岳父]族仍然不敢善罢甘休，追着[岳峰]跑下坡，跑到了铁门处。
0:46:48|0:46:54|[岳峰]被逼入死角，众歹徒人多势众，再次将[岳峰]包围起来。
0:46:54|0:47:1|[岳峰]环顾四周观察局势，他抵抗着歹徒的围攻，注意到铁门上方挂着的铁链。
0:47:1|0:47:7|下一秒，[岳峰]一甩铁链，撂倒众人，扭转局势。
0:47:7|0:47:17|淫醉在收容所门口玩耍的小男孩转着陀螺，急迟地卡车上下来两个蒙面男子，将孩子抱进车里，陀螺倒在原地。
0:47:19|0:47:31|小姨屋里，[岳峰]寸步不离地守着小姨，[岳峰]咬着纱布，艰难地处理手臂上被划开的大口子，独自包扎手臂上的伤口。
0:47:31|0:47:34|小姨醒过来，倍感担忧，起身对[岳峰]说，
0:48:6|0:48:13|[岳峰]朝门走去，小姨依依不舍地起身。
0:48:13|0:48:16|[岳峰]明了地笑了笑，说。
0:48:19|0:48:26|[小伊]紧张地咬住下唇，恋恋不舍地目送[岳峰]离开。
0:48:26|0:48:37|等红绿灯时，[岳峰]看到一辆卡车内挣扎的男孩，并经过一看这是收容所里的孩子。
0:48:37|0:48:41|[岳峰]急得不可开交，追着卡车就跑。
0:48:41|0:48:48|人流和车轮他也丝毫不避，一心想着赶紧救下孩子，歹徒把孩子带到一个诡异的仓库里。
0:48:55|0:49:3|孩子死命挣扎，几个男人按住了孩子的四肢。
0:49:3|0:49:9|歹徒正要动手，却被门外飞来的主板砸击，[岳峰]带着杀气步步逼近。
0:49:17|0:49:20|歹徒直冲[岳峰]，却被[岳峰]一脚踢倒。
0:49:20|0:49:30|[岳峰]将三个歹徒打倒在地，还不解气，他随从前拒住歹徒的武器，即使揪住歹徒的衣领，将歹徒摔在地上。
0:49:30|0:49:37|几个歹徒被制服后，光头扛着木板挡[岳峰]，对着他的脑袋就是一拳。
0:49:37|0:49:51|[岳峰]用手臂扛住木板，双臂举过头顶反击着，推着木板把光头往墙上逼，边走边敲木板，木板被凿出一个大洞。
0:49:51|0:50:0|光头无力反抗，被甩飞到另一面墙角，[岳峰]骑上身，往死里打光头。
0:50:0|0:50:7|担忧的园长正打电话抱着头，就看到汉流甲辈的[岳峰]抱着孩子回来了。
0:50:7|0:50:8|[岳峰]把孩子抱到床上。
0:50:10|0:50:13|园长赶紧跟了过去。
0:50:13|0:50:18|小男孩眉头紧锁，但因为折腾了一天，睡得很沉。
0:50:18|0:50:22|大人走出房间，[岳峰]拉上门，园长气愤地说。
0:50:39|0:50:43|[岳峰]离开，园长在园地发愁。
0:50:43|0:50:47|拳击馆内，[李少]的手下被拳馆内的拳手打趴下。
0:51:11|0:51:18|[李少]陷入回忆，当年，他举着枪指着鼻青脸肿的[阿海]，威胁道。
0:51:27|0:51:31|被折磨的[阿海]睁不开眼睛，呼吸微弱。
0:51:31|0:51:39|回忆中的[李少]走回现实的拳馆，黑衣人传话，带来神秘消息，他的手下被打倒，倒地不起。
0:52:5|0:52:9|第二天，[李少]带着手下们硬闯收容所。
0:52:19|0:52:23|[李少]抽出一把椅子坐下。
0:52:47|0:53:9|[岳峰]的飞水从洛城进入，又轮起一个正判[王勃]上来，状况早已无情。
0:53:9|0:53:15|[李少]叫停主下，满意地看着[岳峰]，[阿龙]不怀好意，恶狠狠地盯着[岳峰]。
0:53:19|0:53:22|[李少]冲着[岳峰]上下打量，阴险笑道。
0:53:22|0:53:24|[小伊]纷纷走来。
0:53:47|0:53:51|单方面宣战后，[李少]坐车离开，在车里说。
0:53:59|0:54:1|收容所内，园长说。
0:54:26|0:54:30|门外，小姨陪着[岳峰]，[岳峰]傲气满满，若有所思。
0:54:30|0:54:34|夜晚，小姨开车送[岳峰]回家，在车上说道。
0:54:43|0:54:51|[岳峰]面无表情地看着窗外，小姨转过头来，惊讶[岳峰]的坦然，却并不诧异。
0:56:44|0:56:50|[岳峰]还没拉开车门，小一的手便放在[岳峰]搭在腿上的手上。
0:56:50|0:56:55|[岳峰]另一只手抬起小一的手，把自己的手抽离去。
0:56:55|0:57:0|车内静默良久，两人的嘴角微微抽动，请止忽理。
0:57:0|0:57:5|[岳峰]避开小一的眼睛，推开车门走下车，小一在车内微笑。
0:57:6|0:57:16|拿着钥匙开门的[岳峰]感受到身后的目光，回头看见小一在冲自己摆手，四目相对，挥手示意。
0:57:16|0:57:22|进家门后，仍然依依不舍地透过窗户看着[小伊]。
0:57:22|0:57:29|夜深，[李少]和[岳峰]签下了生死合同。
0:57:29|0:57:32|为保卫收容所，[岳峰]独自一人奔赴战场。
0:57:33|0:57:42|单挑[李少]找来的诸位职业拳手，[李少]众手下跃跃欲试，摩拳擦掌准备看着好戏。
0:57:42|0:57:53|身着外套带着帽子的拳手从队伍里走出来，直勾勾地盯着[岳峰]，如同猛兽紧盯猎物一般，四目相对，四下无声。
