0:2:20|0:2:27|拍完后，皮草男坐在中国女孩对面打量着她。
0:10:30|0:10:40|[吴富春]颤抖地点点头，率先扛起娜塔莎，试图把她从倒扣的座椅上放下来，他没有看到的是一块铁片已经穿透了娜塔莎。
0:10:40|0:10:51|[吴富春]解开娜塔莎的安全带，扛着她走出了机舱，[荆如意]还被压在铁片下动弹不得，眼睁睁地瞧着[吴富春]和娜塔莎离开机舱。
0:10:51|0:10:57|一时间五味杂陈，此刻每一秒钟对她来说都是一种煎熬。
0:10:58|0:11:5|在安置好娜塔莎后，[吴富春]很快便再次折回了机舱，这让[荆如意]重新看到了生还的希望。
0:11:14|0:11:30|突然飞机的震动让[吴富春]摔了一跤，此时冰面已经碎开，机舱的骤然下沉，使得海水不断涌了进来，[吴富春]见状急忙捡起背包就准备朝外出冲去。
0:11:30|0:11:43|最终他只是含着歉意看了[荆如意]一眼，就头也不回地冲了出去，面对队友的临阵脱逃，[荆如意]又痛苦又绝望，海水还在不断的往上蔓延。
0:11:43|0:11:55|[荆如意]只能坐直身体，拼尽全力试图抬起腿上的钢板，此时自救无效的[荆如意]终于放声哭了起来，突然[吴富春]又出现在了机舱门口。
0:11:55|0:12:4|他攀着机舱的门框，眼瞧着[荆如意]一边哭一边用力的抬着钢板，[荆如意]看到[吴富春]后露出一丝哀求的笑意。
0:12:4|0:12:14|殊不知[吴富春]的视线其实停留在她身后的黑色手提箱上，[吴富春]找来一个灭火器垫在钢板底下，用力的拽起[荆如意]的上半身。
0:12:18|0:12:25|[吴富春]赶忙撂下[荆如意]，趴在钢板前试图拔出她的脚，而防滑靴牢牢的卡在钢板下。
0:12:25|0:12:28|凭借两人的力气根本无法取出。
0:12:28|0:12:35|[吴富春]只能将[荆如意]的脚从鞋里抽出来，抓住她的胳膊，死命往外拖。
0:12:35|0:12:39|两个人逃出机舱，不过10米冰面就支撑不住了。
0:12:39|0:12:46|飞机残骸在他们面前缓缓沉下去，慌乱中[吴富春]摔倒在地却不敢有丝毫的停留。
0:12:46|0:12:52|扯着[荆如意]的衣服向更远处爬去，只见[吴富春]手脚并用地往后移着。
0:12:52|0:12:59|直到他觉得安全的时候才停下来，很快飞机就彻底消失在了冰窟窿里。
0:12:59|0:13:4|如今冰面上只有他们三人，[吴富春]和[荆如意]望着眼前的一切。
0:13:4|0:13:16|久久不能平静，最先恢复体力的[吴富春]正垫着脚举着手机四处寻找信号，[荆如意]则侧坐在娜塔莎身边，伸手摸向她的颈动脉。
0:13:16|0:13:24|半晌后[荆如意]缓缓收手，[吴富春]无语地看着手机左上角无服务三个字，眉头皱成了一团。
0:13:24|0:13:34|[荆如意]用手盖在娜塔莎的双眼，泪水止不住地流下来，[吴富春]默默蹲在[荆如意]面前，许久都没有开口。
0:13:34|0:13:41|给[荆如意]平复的时间，过了好一阵子后，[吴富春]终于按捺不住，他向前挪了几步。
0:13:43|0:13:49|[荆如意]失神地坐在一边一动不动，好像完全没有听到[吴富春]的话。
0:13:59|0:14:4|[吴富春]皱着眉头思索着，随后又抬起脑袋看向[荆如意]。
0:14:4|0:14:12|[荆如意]抬起手腕想要看看时间，却发现自己的表盘已经被磕碎了。
0:14:25|0:14:30|高空物理学家笃定的话语，仿佛一记铁锤砸在[吴富春]的胸口。
0:14:30|0:14:36|他无力地瘫坐在冰面上，望着四周白茫茫的冰川久久不语。
0:14:36|0:14:44|很快[吴富春]又振作起来，开始重新整理目前仅存的物资。
0:14:50|0:15:2|[荆如意]不再理会[吴富春]，她捧起一把雪抹在自己的伤口上，[吴富春]不屑地看了一眼[荆如意]，继续整合其身边的资源，他把行李箱腾空。
0:15:2|0:15:8|让[荆如意]坐进去，[荆如意]一动不动的看着娜塔莎的尸体。
0:15:14|0:15:23|[荆如意]低下头看着旁边的尸体，又哀求地转向[吴富春]，目前作为唯一身体健全无伤无痛的男性。
0:15:23|0:15:29|土豪[吴富春]当之无愧地化为劳动力，他将绳子的一头捆住行李箱。
0:15:29|0:15:50|另一头套在肩上，吃力地向前拖着，行李箱内一边是娜塔莎的尸体，另一边是受伤的[荆如意]，[荆如意]抱着仅剩的物资，[吴富春]停下了脚步，不明所以地巡视了一圈。
0:15:58|0:16:9|[吴富春]迷茫地望了一眼四周，还是乖乖地托起绳子，卖力地向前走去，很快他们就来到一处宽广的山脊想要翻过去。
0:16:9|0:16:16|还需要很长的时间，此处气候已经变得十分恶劣。
0:16:34|0:16:41|如意急忙从背包里掏出一只铁镐扔给[吴富春]，[吴富春]接过铁镐后拼命掘起地。
0:16:45|0:16:48|[吴富春]面目狰狞，一刻也不敢停下。
0:16:48|0:16:53|而在不远处大雪夹杂着风暴，仿佛世界末日般呼啸而来。
0:16:53|0:17:3|如意挣扎地从行李箱里翻了出来，向[吴富春]爬去，风雪越来越大，娜塔莎的脸上很快结出了一层白霜。
0:17:3|0:17:10|[吴富春]玩命地刨着雪，很快挖出了一个半米深的坑，如意趴在雪坑的另一侧。
0:17:10|0:17:15|不断地将雪往外推，风暴越来越近了，铺天盖地地压了下来。
0:17:15|0:17:21|在最后的关头，他们终于挖了一个能容下两个人的雪坑钻了进去。
0:17:21|0:17:31|而娜塔莎的尸体和背包被留在了坑外，狂风的暴雪不断从娜塔莎身上掠过，此时南极洲的上空天气阴沉。
0:17:31|0:17:38|漫天笼罩着灰色的浊云，风暴肆虐地在冰川之上仿佛锐利的刀剑。
0:17:38|0:17:46|终于雪停了，透过行李箱的缝隙可以看到天空渐渐亮了起来，呼啸的风声也消失了。
0:17:46|0:17:57|坑内的两人紧紧挨在一起，[荆如意]徐徐地睁开眼，[吴富春]却靠在[荆如意]的一侧睡得香甜，似乎是感受到身边的动静，[吴富春]皱着眉头。
0:17:57|0:18:5|将眼睛睁开，他甩甩头，迷茫地看着身旁的[荆如意]，显然还没有完全清醒。
0:18:6|0:18:14|[吴富春]抬起胳膊用力地将头顶的行李箱推开一角，突如其来的光线环绕着[荆如意]睁不开眼睛。
0:18:22|0:18:30|[荆如意]像看白痴一样看了看[吴富春]，便低下头观察起自己的小腿。
0:18:47|0:18:51|[荆如意]的眼神里充满了压抑的怨气。
0:19:4|0:19:13|随后发泄似的将行李箱顶到一旁，又奋力地爬出雪坑，拎起自己的手提包，头也不回地向前走去。
0:19:17|0:19:22|没有娜塔莎和[荆如意]的拖累，[吴富春]很快就走到了山脊高处。
0:19:22|0:19:28|从远处望去，黄色的皮草缓缓移动，仿佛一只高傲的公鸡。
0:19:28|0:19:35|他先是缓慢地走在一处雪坡上，突然不知道哪来的力气竟然还跑了起来。
0:19:35|0:19:46|[吴富春]连跑带爬地登上山顶后，又顺着这条线继续向前走去，在到达最后一处制高点后，[吴富春]先是将手提包扔了上去。
0:19:46|0:19:58|然后手脚并用的爬上了岩石。显然这位富家公子平时并不爱好运动，全凭着求生欲和不甘心才从这里爬了上来，站在山脊的最高处后。
0:19:58|0:20:0|他又踉跄地向前走了好几步。
0:20:0|0:20:11|[吴富春]强忍恶心，急忙从怀里掏出手机，再次高高举起，试图寻找一丝信号，这是他眼中最后的一丝希望。
0:20:11|0:20:22|另一旁鸟类的声音让还在雪坑中的[荆如意]始料未及，她似乎想到了什么，表情从一开始的诧异化为难以掩饰的恐惧。
0:20:22|0:20:34|[荆如意]偷偷地探出半个脑袋，只见一群南极贼鸥围在娜塔莎的尸体面前大快朵颐，[荆如意]难以置信地看着前方，一时间不知道该如何转移视线。
0:20:34|0:20:46|此刻[吴富春]依旧站在山脊的最高处，举着手机找信号，[吴富春]沮丧地看着屏幕，手终究无奈地垂了下去。
0:20:52|0:21:4|[吴富春]一时间气不过，捡起一块石头朝远处扔去，不料他用力过猛，脚下一滑，直接顺着山坡滚了下去，他急忙扒住积雪。
0:21:4|0:21:14|拼尽全身力气才让自己停了下来，他就这样一直趴在地上一动不动，胳膊用了半天力气才勉强把自己的上半身撑起来。
0:21:14|0:21:37|而起来的第一件事情就是找寻摔落的手机，[吴富春]急忙爬到手机边正要捡起来，却阴差阳错地看到了令人狂喜的东西，在雪坡的下方矗立着一栋被积雪覆盖着的小木屋，另一边前来觅食的贼鸥越来越多，[荆如意]紧紧的抱着保温杯蜷缩在雪坑里紧闭双眼。
0:21:37|0:21:44|吓得瑟瑟发抖，机敏的贼鸥循声赶来，它看到[荆如意]后毫不留情地啄着她。
0:21:44|0:21:55|如意惊恐地挥舞着保温杯，怎么赶也赶不走它，突然一只手精准地掐住了贼鸥的脖子，将它远远的撇开，[吴富春]赶走了贼鸥后。
0:22:0|0:22:8|[吴富春]将背包里的所有东西倒在地上，先挑选出墨镜装进口袋，然后他又随手捡起一件内衣。
0:22:8|0:22:17|看清楚是什么后，又着急地扔到地上，转手将保温杯塞进背包的另一侧，还将一叠美元装进了自己的皮草口袋。
0:22:17|0:22:28|做完这一切后，他丢开脚边的铁镐向前走过去，[吴富春]走到了娜塔莎面前，缓缓跪了下来，他皱着眉头，最终他还是伸出了手。
0:22:28|0:22:31|将娜塔莎的毛线帽摘了下来。
0:22:31|0:22:41|如意看到这一幕后什么也没说，只是难过地低下了头，[吴富春]将帽子扣到了自己的头上，并开始往娜塔莎身上铲雪。
0:22:41|0:22:44|很快一座用雪堆成的坟墓建好了。
0:22:47|0:22:58|如意依旧坐在原地，茫然地低着头，很快两个人重新启程，[吴富春]背着受伤的如意朝他们最后的希望那间小木屋走去。
0:22:58|0:23:6|他们时而走在平原，时而又爬上山坡，南极的积雪深到小腿，[吴富春]每走一步都非常艰难。
0:23:15|0:23:23|如意的腿伤不断的摩擦着血面，[吴富春]背着如意，攀着岩石努力向上爬着。
0:23:24|0:23:33|[吴富春]喘了口气，又将[荆如意]向上拖了拖，[吴富春]爬到了坡顶就脱了力，带着[荆如意]倒在了一边。
0:23:45|0:23:51|面对瘫痪在地的[荆如意]，[吴富春]不由分说地便将她扛在了肩上。
0:23:51|0:24:2|他踉跄地向前走了两步，就膝盖一软，连着[荆如意]一起滚了下去，雪坡很长，周围没有遮盖物，两人滚了许久才停下来。
0:24:2|0:24:10|[吴富春]稳住身子后，立刻朝前面的[荆如意]爬去，而[荆如意]在伤痛和心理的双重折磨下，最终昏了过去。
0:24:12|0:24:22|不知过了多久，[荆如意]终于睁开了双眼，映入眼帘的是灰蒙蒙的木质家具，[荆如意]看到了趴在一旁木桌上的[吴富春]。
0:24:25|0:24:37|听到敲击后的[吴富春]睁开双眼，这才发现[荆如意]已经醒来，[吴富春]急忙走到[荆如意]床边，[荆如意]则痛苦地含着泪强撑着胳膊支起半个身子。
0:25:2|0:25:14|[荆如意]眼里含着泪平静地看向[吴富春]，[吴富春]双手环在胸前垂着眼一眼不发，最终[吴富春]还是接过这个重任，他一手稳住[荆如意]的脚。
0:25:14|0:25:21|一手小心翼翼地拉开她小腿裤子上的拉链，然而[吴富春]每一个动作都给[荆如意]带来了痛苦。
0:25:22|0:25:28|突然[荆如意]一把抓住了[吴富春]的胳膊。
0:25:31|0:25:37|[吴富春]沉默半晌点了点头，转身朝屋外走去等等。
0:25:38|0:25:44|[吴富春]停下脚步，诧异地回过头，只见[荆如意]垂着眼睛流下了泪水。
0:25:44|0:25:53|[荆如意]此刻将自尊踩在脚下，难过的头也抬不起来，[吴富春]抿着嘴，同情中带着一丝心疼。
0:25:53|0:25:56|他折了回来重新坐到[荆如意]身边。
0:25:56|0:26:7|而正当[吴富春]伸出手时，[荆如意]一把扯过身边的毛毯，盖住了自己的下半身，他难堪地抽了抽鼻子，颤抖地把手伸进被子里。
0:26:7|0:26:14|解着腰带，[吴富春]抿着嘴面无表情地将视线瞟到另一边，保留了[荆如意]最后一丝尊严。
0:26:15|0:26:24|随后[荆如意]啜泣地解开了腰间的皮带，将裤子从臀部褪了下来，而裤子退到大腿后她就使不上力了。
0:26:24|0:26:35|[吴富春]见状不自然地将手伸进毛毯，找到裤腰后缓缓地拽下去，随着[吴富春]的动作，[荆如意]双手紧紧的抓着毛毯。
0:26:35|0:26:42|流下痛苦的泪水，只见左边小腿中段，鼓着一个大包紫得发黑，触目惊心。
0:26:43|0:26:51|[荆如意]咬着牙齿点着头，[吴富春]一手按着她的膝盖，一手握着她的腿，缓缓地朝左掰去。
0:26:51|0:27:0|[吴富春]看了一眼[荆如意]，手里丝毫不敢停下，巨大的痛感，让[荆如意]再也支撑不住，直接晕了过去。
0:27:4|0:27:25|富春一时间手足无措，站在床边不知道该怎么办才好，屋外依旧寒风凛冽，雪花顺着冰墙缝隙不分昼夜地吹进木屋，累急的富春躺在上铺抿着嘴不愿醒来，富春皱着眉头半眯双眼，迷茫地翻身，看向下铺的[荆如意]。
0:27:25|0:27:33|只见[荆如意]，用毛毯无助般张脸为难地蹙着眉头一言不发。
0:27:33|0:27:40|富春趴在床边等了半晌也不见回应，不耐烦地躺了回去，[荆如意]再次敲了敲层板。
0:27:49|0:27:59|说完这句话，她不敢再看向富春，随后富春把床板锯了一个大洞，而[荆如意]蜷缩着身子缩在下铺的角落。
0:27:59|0:28:10|她的脑袋无力地靠在床边，早已心如死灰，很快富春将床板凿了一个大洞，又将一只铜盆放在洞下后起身走开了。
0:28:11|0:28:21|做完一切后，富春头也不回地走到门口，[荆如意]一动不动，只有侧脸的阴影，无声地诉说着内心的煎熬。
0:28:21|0:28:28|门外依旧风雪连天，富春打开木门，仅穿了一件羽绒服就走了出来。
0:28:28|0:28:34|随后富春顶着风雪踉跄地走下了台阶，抱着双臂瑟瑟发抖。
0:28:34|0:28:47|他四处张望着寻找目标，突然他被一处黄色油罐吸引住了眼神，他弓着身子思索了半晌，只见他蹲在油罐前，仔细擦了擦面前的刻度表。
0:28:47|0:28:54|在[吴富春]意识到这是什么后立刻奔向墙角的柜子处，那里放着一台发电机。
0:28:54|0:29:5|[吴富春]打开柜门便按下了左边的红色按钮，然后他又顺着发电机的4周寻找着什么。在看到右侧的拉绳后，[吴富春]毫不犹豫地拽住，开始用力地拉扯。
0:29:8|0:29:20|此刻[荆如意]坐在床上羞愧而绝望地解决着自己如厕的需求，突然桌子上方的吊灯发出昏暗的黄光，屋子中央的电暖炉也亮了起来。
0:29:20|0:29:32|[荆如意]不由地抬起头，她目不转睛地看着面前发光的电暖炉，此时屋外依旧冰天雪地，处处绝境，而这间屋子如同一丝微弱的火苗。
0:29:47|0:29:59|[吴富春]翻着架子上的物资，将它们报告给[荆如意]，[荆如意]则抱着笔记本详细地记录着这些物资信息。
0:30:23|0:30:30|[荆如意]皱着眉头，看着床上丢来的罐头，又捡起来仔细打量了一番。
0:31:44|0:31:53|[吴富春]难平心中的怒气，他站起身走到窗户旁边，单手插着腰看向窗外，眼神中透露着前所未有的坚决。
0:31:55|0:32:3|[荆如意]拿出一支记号笔开始在一张挂在墙边的海报上，书写目前所有的已知信息。
0:32:3|0:32:11|她先将1~75的数字列出来，并画出简单的方位坐标。
0:32:11|0:32:16|[荆如意]盯着海报上的信息，将1~3的数字用红笔划掉。
0:32:31|0:32:35|柴油发电机有条不紊地工作着。
0:32:35|0:32:46|这是两个人能够顺利活下去的重要设备，此时屋内渐渐有了一丝暖意，电暖炉也搬到了离床更近的地方，[吴富春]睡相难看地趴在上铺。
0:32:48|0:32:59|而下铺的[荆如意]则清醒地睁着双眼，不久后[吴富春]穿上[荆如意]的滑雪服开始做出发前的准备，他把清粥分别倒进一个铝制饭盒和一个保温杯内。
0:32:59|0:33:11|[荆如意]依旧坐在下铺，认真对着海报写写画画，[吴富春]端起熬粥的锅子，仰头将里面的清粥喝得一滴不剩。随后他仔细瞅了瞅饭盒和保温杯。
0:33:11|0:33:24|又悄悄瞄了一眼[荆如意]，在确认[荆如意]的视线没有在这边后，他悄悄端起饭盒将里面的清粥往保温杯里倒了一些，[荆如意]并没有察觉到[吴富春]的小动作。
0:33:24|0:33:29|依旧认真地看着海报，[吴富春]端席饭盒递给[荆如意]。
0:33:30|0:33:38|[吴富春]立刻开始摸各个口袋，果然从左口袋里掏出几颗，将手里的糖果递给[荆如意]。
0:33:46|0:33:50|[吴富春]将糖果塞回口袋，又从上铺拿了下自己的皮草。
0:33:56|0:34:3|[吴富春]把装有稀饭的保温杯塞到背包侧兜，又拿起毛线帽戴到自己头上。
0:35:36|0:35:42|[荆如意]指向[吴富春]视线完全相反的方向。
0:35:44|0:35:49|[荆如意]坐在下铺一言不发，却依旧抬着头目送他出门。
0:35:49|0:35:58|[吴富春]推开门走了出去，却因为眼前的景象陷入了迷茫，他无奈地绕了个圈。
0:36:0|0:36:12|[吴富春]站在门口自言自语的冲木屋喊了一声，又无奈地转过头，顺着四周看了看，最终他试探性地选择出一个方向，硬着头皮向前走去。
0:36:46|0:36:57|将近10小时茫茫的雪原上渺小的[吴富春]就像一个小黑点缓缓地移动着，留守小木屋的[荆如意]依然坐在下铺，谨慎地在数字4上画了一个红圈。
0:37:30|0:37:41|每日出行都会耗费[吴富春]巨大的体力，通常回来后他都是呼呼大睡，转眼间海报上5和6的两个数字也被画上了横线。
0:37:41|0:37:51|就这样日复一日[吴富春]长时间处于外出状态，而两人寻找着最后的希望，他时不时也会遇到一些有意思的小玩意儿。
0:37:51|0:37:58|只见海豹一脸迷茫地歪着脑袋。
0:37:59|0:38:6|小海豹瞅了[吴富春]一眼，又懒懒地躺在了地上。
0:38:6|0:38:12|[吴富春]无奈地摆摆手继续往前走，不久便来到一片冰川。
0:38:12|0:38:32|这里不但有大片的海面，还有憨厚可爱的企鹅，它们三三两两地站在一起，[吴富春]匍匐在地上，他掏出手机给自己和企鹅来了个亲密合影，又加入它们的队伍，张开双臂跪在地上，学着企鹅的样子摇摇摆摆的向前走。
0:38:32|0:38:40|这一刻他似乎忘记了自己所处的困境，他又站在一处斜坡顶端将背包直接甩了下去。
0:38:40|0:38:46|同时自己也张开双臂趴在地上，顺着雪坡往下滑，玩的不亦乐乎。
0:38:46|0:38:57|也许这是他自打踏上南极以来最开心的一天，滑到坡底后，[吴富春]意犹未尽的躺在雪地里，享受这难得的宁静时光。
0:39:3|0:39:9|胡子拉碴的[吴富春]头戴墨镜蹲在地上，瞪着前面的海鸟。
0:39:19|0:39:28|突然远处一声巨响，海鸟闻声飞走[吴富春]警觉地抬起头，只见一大片冰川骤然开裂。
0:39:28|0:39:37|径直砸向他所在的冰面，他慌忙站起来拎着背包就往前冲，滚动的冰块很快就追在了[吴富春]的身后。
0:39:37|0:39:45|可怜的[吴富春]一边逃命，一边还得抓紧时间提裤子，他忍不住向后看了一眼，吓得嘴里的雪茄都咬不住了。
0:39:45|0:39:56|身后的雪崩声势浩大，他一手拽着裤腰带，一手拽着背包，刚奔到一块巨石上就被后背的雪崩连人带包地卷了下去，。
0:39:56|0:40:2|他只能抱着头躲在巨石后瑟瑟发抖，祈求能平安度过这场灾难。
0:40:23|0:40:40|很快10天过去了，[吴富春]一边嚼着罐头一边往窗边走去，而窗边的景象让他不由得面色凝重起来，漫天都是狂风暴雪，能能见度极低。
0:40:52|0:40:58|[吴富春]无奈地隔下罐头，皱起眉看向[荆如意]。
0:41:0|0:41:12|[吴富春]坐在木桌前，盯着海报上写写画画的[荆如意]，[荆如意]回过头，静静地看着[吴富春]，眼里含着一丝委屈和心酸，[吴富春]不敢面对这样的眼神。
0:41:20|0:41:27|[吴富春]三两步走过来，跪在下铺边，接过[荆如意]手中的笔，又越过她的身体。
0:41:27|0:41:33|往海豹东边的方向画了一个箭头，[荆如意]定定地看着他的动作。
0:41:50|0:41:59|[荆如意]揭开被子，看看自己被接歪的左腿久久无言，而且在海报上的数字已经画到了第十五。
0:41:59|0:42:16|这天[吴富春]依旧如往常一样去寻找补给站，他顺着先前锁定的方向爬上最后一处山坡，映入眼帘的是茫茫的大海和一望无际的冰川，他望下去四周荒无人烟，半个鬼影子都看不到。
0:42:16|0:42:25|他从背包里拿出保温杯，在杯盖上小心的倒上一部分稀饭，仰头倒进嘴里，这是他两天的口粮。
0:42:25|0:42:37|简单填饱肚子之后，[吴富春]又拿出了一个本子和一支笔寒冷的天气早都冻僵了他的手指，他将目前所在的地理位置详细的画在了本子上。
0:42:37|0:42:46|完成记录后，[吴富春]擦了擦鼻子，下意识地向四周看了看，而在山坳的下方他看到了一具人类的骸骨。
0:43:12|0:43:19|[荆如意]带着怀疑的眼神喝了一小口。
0:43:32|0:43:37|贼鸥汤的腥气太重，迫使[吴富春]连骨头带汤全都吐了出来。
0:43:37|0:43:45|截至目前为止已经过去了17天。
0:43:59|0:44:8|他走到[荆如意]身边，轻柔地抓住她的小腿，轻轻地放在床铺上。
0:44:26|0:44:34|[吴富春]嗤笑地看着[荆如意]，帮她盖上了被子，又过去了一天，[荆如意]在18上画了一个红圈。
0:46:7|0:46:37|[吴富春]又一次出发了，此时他将背包甩在一边，正撅着屁股趴在冰面上，随后他拿出一只鱼竿挂上一块鱼饵，又小心翼翼地拉长鱼竿，将鱼竿抛进冰窟窿中，时间一点一点的过去，[吴富春]的姿势也也从坐着变成了躺着，只见他枕在背包上，百般无奈地望着天空，手里还紧紧地抱着鱼竿，突然鱼竿动了，拉扯的感觉越来越明显。
0:46:37|0:46:49|[吴富春]跪在地上，拼命的拽起蔚县一只二三十公分的鱼被他从冰窟窿里拽了上来，[吴富春]欣喜若狂的扑上去，握着鱼不停的打量着。
0:46:51|0:46:58|[吴富春]抓住滑溜溜的海鱼，脸上的笑意怎么也藏不住，不一会儿他就满载而归。
0:46:58|0:47:4|突然周围响起了巨响的声音，很快他的笑容就僵在了脸上。
0:47:4|0:47:9|突然两米宽的缝从他脚下裂开，他毫无防备地摔了下去。
0:47:9|0:47:16|[吴富春]不断地下沉，他狼狈地撞向石块，最终结结实实就摔在一处平台上。
0:47:16|0:47:29|[吴富春]毫无知觉地侧躺在积雪上，雪顺着太阳穴缓缓滑了下来，平台的另一侧是万丈深渊，就如同他此时遭遇的一样看不到尽头。
0:47:29|0:47:40|不知过了多久，[吴富春]终于有了一丝知觉，他的眼皮微微颤抖着，突然又像是噩梦似的发出剧烈的颤抖，[吴富春]终于清醒了。
0:47:40|0:47:46|他强撑着身子试图站起来，身上的积雪也随着他的动作被抖了下来。
0:47:46|0:48:7|很显然他已经昏过去很长时间，只见他被面前深不见底的悬崖，吓得坐在了地上，过了好半天他才发现自己所处的平台离当时坠落的地面至少有十几米，但[吴富春]没有完全放弃，他咬着牙站起身来四处打量着寻找出路。
0:48:7|0:48:17|这块平台并不大，[吴富春]很容易就找到了唯一的通道，然而之前的摔伤并没有痊愈，他只能搂着身子一瘸一拐的走进去。
0:48:17|0:48:47|缝隙中每一步都是未知的，他所处的这条通道仅容一个人通过，而穿过通道又是一片宽阔的平台，[吴富春]没有停留，继续往前走，去下一个通道，[吴富春]手脚并用的穿过，他被眼前的景象震惊了，只见他所处的位置是一片中空区域，洞口处延长出一个仅有10平米的平台，好似西游记中盘丝洞一般冰冷而诡异。
0:48:47|0:48:54|这是一个他自己从未接触过的未知空间，呈现在他面前的是一片天然的冰川溶洞。
