0:1:24|0:1:33|1949年1月，中国人民解放军将国民党50万军队围困于北平、天津两地。
0:23:17|0:23:23|[李兵]在远处高楼上，自得地用望远镜看着[蔡兴福]，正试图用枪将二毛拽回楼内。
0:23:23|0:23:26|但是二毛够不着枪，而宪兵正在赶来这里。
0:23:44|0:23:50|宪兵以闻声赶到，[蔡兴福]三人迅速跑回阁楼。
0:23:50|0:23:52|宪兵已经赶到楼内。
0:24:7|0:24:26|[马宝树]拽着[姚哲]，小葛殿后，三人从屋顶平台穿向楼的另一边，这边的楼下是有轨电车的车站。
0:24:29|0:24:35|[蔡兴福]把孩子放在平地上，和[马宝树]一起去电车周围寻找这里有利的逃生地点.
0:24:35|0:24:43|这时，一个小胖子从[姚哲]旁边的井盖里探出头来。
0:24:43|0:24:47|[马宝树]赶来掀开井盖，迅速随小胖子钻下井盖。
0:24:47|0:24:53|[姚哲]、小兰等人跟着钻下去，而追捕而来的宪兵也到达了这栋楼里，正在下楼逼近。
0:25:0|0:25:5|正当军队基本抵达楼下时，[蔡兴福]最后一个钻进井盖里合上了井盖。
0:25:27|0:25:33|井盖下别有一番天地，一个穿着洋服的小女孩正在逗着鸟笼里的小鸟。
0:25:33|0:25:36|小兰好奇地走过去。
0:26:51|0:26:56|[蔡兴福]用刀给[姚哲]解开了束缚双手的绳子。
0:27:3|0:27:4|小兰摇摇头。
0:27:8|0:27:11|[姚哲]亲了亲小兰的额头，继而转去问小五子。
0:27:15|0:27:17|[蔡兴福]把[姚哲]拉到一边。
0:27:50|0:28:3|[蔡兴福]抢了[姚哲]的戒指，递给小五子。
0:28:3|0:28:9|小五子举着油灯在前面带路，[姚哲]抱着女儿和[蔡兴福]一行人跟在后面。
0:28:15|0:28:17|[蔡兴福]犹豫地放下枪。
0:28:27|0:28:31|趁乱，走在前面抱着小兰的摇折，示意小伍子借一步说话。
0:28:49|0:28:55|小兰从衣服里掏出一小卷黄金递给小五子，换回了爸爸的戒指。
0:28:55|0:29:0|随后小五子带着一行人继续从下水道走向宪兵司令部。
0:29:0|0:29:10|此时外面已经天黑，街道上的一处井盖被慢慢抬起来，是小五子，他从下水道里爬了出来。
0:29:10|0:29:17|随后是蔡清福，他爬上地面后还将后面的小兰抱了出来，又把[姚哲]从下水道里拉了出来。
0:29:33|0:29:35|故意指了这远处昏暗的街道。
0:29:35|0:29:46|[蔡兴福]三人凑上前去看，[姚哲]抱着女儿小兰在小伍子大爆牙的掩护下，又偷偷跑回了下水道。
0:29:46|0:29:56|小伍子他们边喊边躲了起来，[蔡兴福]他们反应过来时，[姚哲]已经合上了井盖，[蔡兴福]等人只能放弃[姚哲]，迅速撤退隐蔽。
0:30:10|0:30:22|[姚哲]悄悄掀开井盖，探出头。
0:30:22|0:30:27|小五子带[姚哲]来到了[梅艳]所在的夜总会，[姚哲]正在打电话。
0:30:32|0:30:37|一听是钱卓群的声音，[姚哲]迅速挂了电话。
0:31:0|0:31:3|[蔡兴福]、[马宝树]等人也赶到了维哥多利夜总会。
0:31:3|0:31:10|一进夜总会正好看到小伍子和大豹牙两个小朋友在看姐姐[梅艳]的歌舞。
0:31:10|0:31:20|[蔡兴福]上前一把揪住小伍子的衣领。
0:31:24|0:31:30|远处的[姚哲]见状，迅速抱起女儿，跑上二楼躲避[蔡兴福]。
0:31:30|0:31:39|警觉的[蔡兴福]迅速放下小伍子追去，跑上二楼的[姚哲]试图打开二楼的房间躲藏，房间不是打不开，就是里面有人。
0:31:39|0:31:44|突然[马宝树]拿枪抵住了[姚哲]的脑袋，[蔡兴福]也赶到，把[姚哲]压到墙角。
0:31:45|0:31:51|此时，正在夜总会外望风的小葛儿和[三小姐]，看到钱卓群带着宪兵队赶到了夜总会。
0:32:14|0:32:18|而[蔡兴福]两人正压着[姚哲]往楼下走。
0:32:18|0:32:31|[姚哲]看到前桌群进了叶总会大厅，迅速拉起女儿，想要往回躲。
0:32:31|0:32:33|前桌群看到往二楼走的[蔡兴福]。
0:32:36|0:32:45|[蔡兴福]镇定地回头，下楼，走到钱卓群跟前，而[马宝树]已经带着[姚哲]和他女儿躲回了二楼。
0:32:45|0:32:58|[蔡兴福]拉开加克外套，从里面掏出证件递给钱卓群，钱卓群翻开。
0:33:7|0:33:12|[梅艳]冲[蔡兴福]使了个眼色。
0:33:42|0:33:51|[蔡兴福]回过头，钱卓群一挥手，两个宪兵拖着二毛走到[蔡兴福]面前，[蔡兴福]看到此刻的二毛已被打得满脸是血。
0:34:2|0:34:5|[蔡兴福]强忍着怒火，一脸镇定地看着二毛。
0:34:5|0:34:13|宪兵拽着二毛的头发，让二毛抬起头，把脸露出来，给[蔡兴福]看。
0:34:48|0:34:58|马宝叔看着奄奄一息的[二毛]突然高喊，他压着[姚哲]从二楼下来，[蔡兴福]迅速举枪对着钱卓群，一众宪兵也举枪对准[蔡兴福]。
0:34:58|0:35:5|钱卓群缓缓掏出自己的手枪，对准[蔡兴福]，多方僵持。
0:35:5|0:35:15|突然，[二毛]抬头，朝[蔡兴福]使了个眼色，趁两旁压戒自己的宪兵不备，迅速起身拿下一个宪兵身上的手榴弹，拉开拉环当场引爆。
0:35:19|0:35:26|[二毛]牺牲了，趁乱中，[蔡兴福]和[马宝树]迅速翻身躲藏，宪兵开火。
0:35:26|0:35:32|在混乱中，[姚哲]也躲了起来，但却和女儿[小兰]走散了。
0:35:38|0:35:41|[姚哲]蹲在隐蔽处四下寻觅女儿。
0:35:41|0:35:46|[小兰]看到一个女人被宪兵的子弹击倒在地，攀在地上的她更加害怕。
0:35:50|0:35:59|[蔡兴福]和[马宝树]藏在吧台后，同宪兵队作战，但两人的火力难敌宪兵队。
0:35:59|0:36:16|突然，一辆吉普车冲破叶总会的玻璃，直奔叶总会大厅，车上几人拿着机关枪，冲着宪兵队扫射，这是天津地下党的战友[曹春生]率队来搭救[蔡兴福]他们了。
0:36:16|0:36:19|[曹春生]下车，递了一把步枪给[蔡兴福]。
0:36:26|0:36:36|[马宝树]迅速去找[姚哲]，他抓起[姚哲]的后脖领，要拖着他离开。
0:36:36|0:36:43|而[姚哲]正好在此时看到了不远处的女儿[小兰]，捂着耳朵拼命地大叫着。
0:36:46|0:36:55|[姚哲]试图挣脱[马宝树]，可是在宪兵队步步紧逼的枪火中，完全顾不得去救女儿。
0:36:55|0:37:5|太清府等人拽着[姚哲]往后门处撤退，[梅艳]也披上衣服，带着小五子，大豹牙两个弟弟，和解放军一起从后门撤退。
0:37:5|0:37:6|解放军从后门撤退了。
0:37:7|0:37:26|现兵队的枪火平息，钱卓群循着女孩的哭声看去，[小兰]正捂着耳朵躲在一个桌子后面，她睁大眼睛惊恐地看着钱卓群靠近，奸邪地笑着向她伸出手，而此时推到后门外的一行人仍然被现兵队追赶着，飙着想去救女儿，
0:37:26|0:37:27|却被[马宝树]拖拽着往前跑。
0:37:28|0:37:35|宪兵迫击炮连连长李兵正在高楼上用望远镜观察着撤退一行人的动向与位置。
0:37:35|0:37:43|守在叶总会外的小葛和三小姐拉来燃烧的小推车，拦住了追击的宪兵，但突然，空中一枚炮弹向一行人袭来。
0:37:56|0:38:16|一行人躲到礼兵失陷盲区的高楼拐角，小五子拉开身边一个井盖，一行人一个接一个钻进井盖里，这是宪兵又一枚炮弹炸向一行人的方向，大豹牙最后一个钻了进去.
0:38:22|0:38:35|大宝牙正说着，突然停下了脚步，瘫倒在地。
0:38:35|0:38:39|大宝牙的肚子上中了子弹，鲜血直流。
0:39:12|0:39:22|[蔡兴福]抱起大宝牙，一行人艰难撤退，最终虽然一行人暂时逃脱了宪兵队的追击，但大宝牙还是死去了。
0:39:22|0:39:38|[蔡兴福]开着卡车，载着[梅艳]折一群人回地下党的据点，[梅艳]折抱着大宝牙的尸体，伤心地拿起身旁的鸟笼，将里面的小鸟拿出来，并将手伸出车后的帘幕。
0:39:43|0:39:56|那只小鸟从[梅艳]的手中飞向了天空。
0:39:56|0:40:2|回到据点，[蔡兴福]生气地把[姚哲]拽进房间。
0:41:0|0:41:4|遥者抓紧[蔡兴福]举着的手枪，抵在自己的额头上。
0:41:4|0:41:7|[蔡兴福]慢慢松下举着枪的手。
0:41:46|0:41:50|已经拿枪走出去的[姚哲]又走了回来。
0:42:35|0:42:42|画面一转，曹春生来到万济糖果店，推门进去，女老板正给一个客人打包糖果。
0:42:42|0:42:54|客人走后，曹春生随手拿了一盒糖果递给老板娘，老板娘其实是中共地下党员何秀平，也是[蔡兴福]的妻子。
0:42:54|0:43:1|曹春生掏钱给秀平，在纸币中还夹着一张纸，那是让秀平汇报上级的信息。
0:43:10|0:43:23|秀平一言不发，包好糖果后，快步走到糖果店的玻璃窗边，正看到丈夫[蔡兴福]站在街对面。
0:43:23|0:43:29|此时的[蔡兴福]也看到了玻璃窗里的秀平，两人久久地深情对望着。
0:43:35|0:43:59|夜晚，秀平来到糖果店的仓储室，小心地拉开堆满糖果糕点的柜子，从柜子后面拿出一台电报机，并根据白天曹春生带来的汇报信息，向上级报告钱卓群破坏北平和谈的阴谋。
0:43:59|0:44:0|另一边的地下党据点。
0:45:10|0:45:24|遥哲下车，[蔡兴福]下车后示意战友们，兵分两路，四下寻找埋伏点，然后和遥哲走进一处仓库，仓库里成堆的物料被布遮盖着。
0:45:24|0:45:34|遥哲掀开遮盖的布料，[蔡兴福]敲开封装武器的木盒，拿出一把新式机枪。
0:45:40|0:45:50|夭折拿出封装的手榴弹，之后[蔡兴福]开始细致地部署炸药装置。
0:45:50|0:45:56|而此时，宪兵迫击炮连连长李兵已经率队驱车赶到了废旧工厂。
0:45:56|0:46:0|他们下车，四下观望了一下，往一栋楼里走去。
0:46:0|0:46:3|[马宝树]率领小葛等一众人迅速尾随上去。
0:46:5|0:46:12|几人边走边举着枪，观察四周情况。
0:46:12|0:46:15|几人爬上二楼，小心翼翼地前进。
0:46:22|0:46:28|走到一处向下的楼梯时，小葛正要迈步，[马宝树]及时叫住了他。
0:46:28|0:46:35|原来在这层楼梯上有一根铁丝线，这是埋伏的一处机关。
0:46:35|0:46:41|[马宝树]拿出钳子拔掉了这处机关，另一边[蔡兴福]还在整理炸药的启动装置。
0:46:50|0:46:52|钱卓群率队赶到了废旧工厂。
0:47:14|0:47:24|钱卓群已经赶到约定的地点，宪兵队迅速下车列队部署，咬着曹春生他们从仓库里跑出来，躲在隐蔽处观察情况。
0:48:3|0:48:21|钱卓群冲后面招了招手，一个宪兵抱起车里的小兰，带到[蔡兴福]跟前，小兰的身上绑着四颗手榴弹，手榴弹的引线被抱着小兰的宪兵拽着。
0:48:21|0:48:29|躲在暗处的[姚哲]看到身负手榴弹的女儿[小兰]，气愤地抱起了炸药装置。
0:49:9|0:49:13|[马宝树]看过去，那装置下面正悬着一个手榴弹。
0:49:29|0:49:34|陷阱引爆，高楼下面埋伏的宪兵迅速出动，火力迅猛。
0:49:34|0:49:47|二楼穿着便衣的几名解放军招架困难，激战中一名解放军被击毙，从二楼摔了下去。
0:49:47|0:49:51|[蔡兴福]一枪击毙了拿着[小兰]身上手榴弹引线的宪兵。
0:49:52|0:50:5|双方迅速交战，[梅艳]向[小兰]冲了过去，抢在前桌群之前将[小兰]抱走，夭折见[梅艳]抱魂的孩子，迅速按下炸药装置，但炸药并没有反应。
0:50:5|0:50:12|[梅艳]一个亮枪摔倒在地，[小兰]也摔在地上，[小兰]一个人惊吓地爬起来，捂着耳朵拼命向前跑。
0:50:23|0:50:28|前桌寻见状，迅速朝[小兰]的方向开了两枪。
0:50:28|0:50:31|夭折抱着引爆装置，边按边从大楼内冲出来，要去救女儿。
0:50:47|0:50:58|枪林弹雨中，[小兰]的胳膊被子弹击中，但她顾不得疼痛，朝爸爸拼命奔跑，却重重摔倒在地上，又吃力地爬起来。
0:51:4|0:51:11|父女俩拼命地跑向对方，终于[姚哲]抱起了女儿，他们迅速向安全地方躲藏。
0:51:11|0:51:22|曹春生从隐蔽处跑来支援[蔡兴福]，宪兵的火力依旧迅猛，此时躲避在遮挡墙后的[蔡兴福]有些难以招枪下众多宪兵的子弹攻击。
0:51:30|0:51:39|[蔡兴福]抱着女儿拉开一辆车的防护罩，把女儿放在车上启动车子。
0:51:39|0:51:42|宪兵逐步逼近。
0:51:49|0:52:0|遥哲看着副驾驶座上的女儿满脸是灰，因为胳膊被子弹击中正嚎啕大哭着，他又看了看车外的[蔡兴福]，犹豫着发动了卡车。
0:52:0|0:52:9|车下的[蔡兴福]抵御着宪兵的炮火，还没来得及爬上车，车就被遥哲开走了，[蔡兴福]只得又返回原处躲避宪兵火力。
0:52:14|0:52:20|一手开车，一手为女儿将身上的手榴弹解开，并把自己的围巾脱下来给女儿包扎。
0:52:29|0:52:36|而此时，一人对敌的[蔡兴福]身上已没有弹药，他已在墙角做最后的挣扎。
0:52:36|0:52:43|他拾起摇折一直没启动成功的炸药装置，等待着一个人训身战场。
0:52:43|0:52:47|一群宪兵正举枪靠近[蔡兴福]躲避的地方。
0:52:54|0:53:9|当[蔡兴福]正试图按动炸药装置时，望见[姚哲]驾着车，端着枪，又折返了回来。
0:53:15|0:53:22|[蔡兴福]按动了炸药装置，瞬间仓库里外火光四溅。
0:54:1|0:54:15|此时，两卡车的宪兵已赶到位于券业场的解封军据点。
0:54:15|0:54:19|宪兵已冲进楼内，刚要下楼的秀平等地下党门又纷纷回撤。
0:54:25|0:54:37|另一边，[蔡兴福]开车载着[姚哲]、小兰、[马宝树]和小葛，坐在车后的[马宝树]腹部中弹，小葛看到后，让他赶紧用药盒抵住伤口，要拿绷带替他包扎。
0:54:49|0:54:53|而此刻已被宪兵包围的据点那儿，曹春生还和宪兵艰难对战。
0:55:12|0:55:25|另一边，已是[马宝树]开着车，带着[姚哲]妇女前往小货轮，一个人叫停了车。
0:55:25|0:55:32|[姚哲]看到[马宝树]腹部的伤口，已是血流不止，[马宝树]却仍然认真开车，跟着前面带队的战友。
0:55:38|0:55:42|忽然，机关被触发，带队的战友被炸身亡。
0:55:42|0:55:46|[马宝树]紧急刹车，他用手摸了下伤口，说。
0:56:5|0:56:29|就这样，[马宝树]目光坚毅，誓死不归，一个人开着车向前，为所有人开路，[马宝树]每开一小段，就会引爆一部分炸弹机关，把捂着自己的伤口，吃力地向前开着车，最终车被炸弹直接炸翻，[马宝树]也就这样英勇地牺牲了。
0:56:32|0:56:39|摇折抱着女儿，瘫坐在地上，久久地看着[马宝树]离去的方向。
0:56:39|0:56:48|另一边，[蔡兴福]刚刚驱车赶到券业场的据点门口，一枚排气炮就直接炸向这里。
0:56:48|0:56:53|高楼上的前桌群见状，打了旁边礼兵一巴掌。
0:56:53|0:56:55|[蔡兴福]赶忙冲进据点的废墟里。
0:56:59|0:57:6|据点废墟里的众人都聚集过来，搬着炸毁的砖石，搭救废墟中的战友。
0:57:6|0:57:13|[梅艳]和三小姐被救起，但是[蔡兴福]妻子秀萍被炸伤了腹部，奄奄一息。
0:57:13|0:57:14|[蔡兴福]抱起秀萍。
0:57:36|0:57:50|听到儿子找到了，秀萍用尽最后的力气，欣慰地冲丈夫笑了一下，最终还是死在了丈夫怀中，[蔡兴福]悲痛欲绝。
0:57:50|0:57:53|而在此时，[姚哲]也抱着女儿赶来。
0:58:19|0:58:29|[蔡兴福]脱下自己的外套，抱着死去的妻子，带众人前往货轮。
0:58:29|0:58:29|在轮船上。
0:58:36|0:58:42|小五子一度运船，而[姚哲]还在不顾一切地为锅炉加煤。
0:58:42|0:58:45|霍伦的指示仪表已在警戒状态。
0:58:48|0:59:1|[梅艳]抱着死去的绣瓶，已坐在船的甲板上，小葛带着孩子们坐在另一边，[蔡兴福]仿佛没有听到[姚哲]的忠告一般，仍然机械地为锅炉夹着眉。
0:59:4|0:59:12|[姚哲]跑去甲板，看了一眼，安详地躺在[梅艳]怀中的绣瓶，又折回去对[蔡兴福]说。
0:59:18|0:59:22|[姚哲]用手拉了拉[蔡兴福]。
0:59:27|0:59:32|[姚哲]无可奈何地松开手，[蔡兴福]照旧拼命加煤。
1:0:39|1:0:49|小兰突然跑来，拽着[蔡兴福]一脚，[蔡兴福]看着眼中含泪的孩子，这才停下打夭折的手。
1:0:49|1:0:53|鼻青脸肿的夭折瘫坐下来，小兰紧紧地抱着爸爸。
1:0:56|1:1:14|[蔡兴福]踉跄地跑到甲板上死去的妻子秀萍身边，他跪下来扶起妻子的面旁，又将妻子抱了起来，紧紧地抱着，眼前哭泣。
1:1:14|1:1:22|因为战争，一家三口再也无法团聚了，霍伦还在急速地行进着。
1:1:23|1:1:30|原本看着[蔡兴福]的三小姐，无意转了个身，看向海河。
1:1:44|1:1:49|小五子从包里掏出一只小号，[蔡兴福]迅速走上前夺了小号。
1:2:56|1:3:5|[夭折]看着女儿半跪下来。
1:3:8|1:3:13|当时人太多，情况太混乱，连小兰都没顾上。
1:3:14|1:3:23|回忆里混乱的河面上，解放游在河里推着浮木。
1:3:23|1:3:36|[夭折]向小兰扔出救生圈，小兰没够着，[夭折]一次又一次扔出救生圈。
1:3:41|1:3:48|最终，小兰在解放的帮助下，飘到[姚哲]跟前，[姚哲]一把抱起浮木上的小兰。
1:4:13|1:4:19|此时锅炉下的炭火越烧越旺，仪表指针爆表。
1:4:42|1:4:49|锅炉炸了，众人还没缓过神来，[蔡兴福]就疯了一般地跳进海河里。
1:4:49|1:5:5|[姚哲]看到[蔡兴福]在海河里扑腾，见[蔡兴福]渐渐往河里沉，[姚哲]迅速脱了身上的手套和衣服外套，也猛地跳进海河里。
1:5:5|1:5:7|岸边的宪兵队发现了他们的货轮。
1:5:18|1:5:25|朝春生举起机关枪，朝岸边的宪兵扫射。
1:5:25|1:5:27|宪兵迅速向船的位置开枪。
1:5:33|1:5:49|船上的众人纷纷拿起救生圈跳进河里，在岸边宪兵队的枪弹中，火轮突然爆炸，火光中，摇折向河底游，解放的小号一次又一次沉进河里，解放当时就是这样淹死在海河里的。
1:5:54|1:6:8|此时，秀萍的尸体也渐渐向河底沉，想和妻儿天堂团聚的[蔡兴福]也在毫无挣扎地向河底沉去。
1:6:8|1:6:18|突然，瑶褶一只手抓住她的衣领，拽着她向河面游，而小号则将永远沉入河底。
1:6:25|1:6:45|[姚哲]拉着[蔡兴福]艰难地爬上岸边，穿着粗气，[蔡兴福]嘴里吐了口水，也慢慢缓了过来。
1:6:45|1:6:53|他不顾[姚哲]的搀扶，就踉跄地向岸上走，[梅艳]也从河里艰难爬上另一侧的岸边。
1:6:59|1:7:2|突然，枪口对准他的头。
1:7:2|1:7:7|[蔡兴福]在岸边死去宪兵的身上捡了些枪支弹药。
1:7:7|1:7:11|曹春生和小葛也带着孩子们成功上岸，找到[蔡兴福]。
1:7:23|1:7:31|[蔡兴福]正要给枪上膛，曹春生拿出自己身上的子弹递给[蔡兴福]，便抱起小兰，带着其他孩子们跑远。
1:7:31|1:7:37|[蔡兴福]坚毅地看着他们离去的背影。
1:7:37|1:7:42|[蔡兴福]提着枪，正看到不远处三个宪兵压戒着眉眼。
1:7:42|1:7:48|[蔡兴福]迅速举枪射击，但这子弹一发，就惊动了周围的宪兵。
1:7:48|1:7:51|多发子弹朝着[蔡兴福]的方向投射。
