0:2:2|0:2:8|接着，他用力撑起上半身，坐了起来。随后走到屋外。
0:11:6|0:11:14|接着，[林凯]将手中的枪放下，拿起一旁的小包甩了过去。
0:11:14|0:11:22|[李建国]接住后打开看了一眼，里边不是别的，正是之前彬哥给[林凯]那几包面粉状的东西。
0:11:22|0:11:31|如今看来，正是毒品。看到这里，他诧异地抬眼，随后对着[林凯]邪笑起来。
0:11:31|0:11:38|画面一转，天快黑了，在一个到处都是垃圾建材的废弃楼群里，一辆轿车，
0:11:38|0:11:45|停在了其中一栋破败的大楼前。接着，一个戴眼镜的男人从驾驶室中走下来，
0:11:46|0:11:55|望了望四周之后，向大楼的方向走去。空旷又潮湿的大楼里，地面上到处都是坑坑洼洼的积水。
0:11:56|0:12:4|此时雨水从天而降，穿过废弃大楼，直接打在眼镜男的身上。就在他抬头环视四周时，
0:12:4|0:12:13|一个小石子扔到了他的脚边。原来是蹲在二楼的[林凯]扔下来的，[林凯]来到眼镜男对面。
0:12:33|0:12:49|[林凯]坐在一块石头上，从兜里掏出一包烟，甩了甩打火机之后，点燃一根，叼在嘴边，深吸一口后，又望着前方发呆。眼睛男见状，慢慢蹲在了他的身边。
0:12:50|0:13:2|说完，[林凯]看了看眼镜男，后者若有所思地点了点头。
0:13:7|0:13:12|随后，他坐上眼镜男的车，在一处棚户区前停了下来。
0:13:13|0:13:20|四处打探了一下周围后，他俯身打开车门下了车，而眼镜男则陷入了回忆当中。
0:13:29|0:13:37|穿着警服的[林凯]站在他对面，表情刚毅且坚定。
0:13:53|0:13:56|回忆结束，[林凯]已经消失在路的尽头。
0:13:56|0:14:8|镜头一转，程毅带着[林凯]拐进狭窄的走廊，来到一个棋牌室门口。一个男人看到后，走了进去。
0:14:8|0:14:16|英姐从牌桌上下来，来到二人面前。
0:14:20|0:14:26|另一边，杨彬和朋友正坐在车上说笑着。突然，不远处传来枪响。
0:14:26|0:14:31|于是，他立刻开门就跑。
0:14:33|0:14:40|而程毅则带着[林凯]，走进了一个菜市场。
0:14:42|0:14:48|他指着商贩说道。
0:14:51|0:14:57|杨彬此时拐进一个胡同，看见警察举枪就射，无奈被瞬间包围，打中心脏。
0:14:58|0:15:4|程毅正带着[林凯]向胡同深处走去，沿途时不时还有手下给程毅递烟。
0:15:5|0:15:12|另一旁，警察摸着杨彬的脖子，反复确认他是否死亡。
0:15:29|0:15:34|原来程毅带着[林凯]四处走动，去熟悉各大据点的负责人，是宣布正式取代杨彬。
0:15:36|0:15:44|随后，二人来到一个工厂内，穿戴整齐的工人正有条不紊地分离毒品。
0:15:55|0:16:3|两人在歌厅中纵情声色。
0:16:8|0:16:15|[林凯]拿到现金后转身离开，回到工厂后，又仔细打量着包装好的货品。听到[李建国]叫自己。
0:16:17|0:16:26|就跟着他走向了工厂深处。深夜来临，一辆轿车缓缓驶过江边。
0:16:42|0:16:45|[林凯]仰靠在车后座上，冲眼镜男说着。
0:16:45|0:16:53|听到这里，眼镜男陷入了沉思。突然，战友痛苦的脸庞和一个名为张海涛的墓碑，
0:16:53|0:16:59|进入他的脑海，但很快，这些画面又消失不见。
0:17:7|0:17:13|[林凯]和一众手下正在吃饭，喝酒，他抽着烟，
0:17:16|0:17:22|仿佛意识已经抽离。酒过三巡，人们逐渐疯狂，有人将大把人民币跑向空中，
0:17:22|0:17:32|屋中下起了钞票雨。但[林凯]却神色落寞地坐在床边，望着烟雾缭绕的光影和不断洒落的人民币。
0:17:34|0:17:43|他麻木地喝着酒，一根又一根地抽着烟，周遭的狂喜仿佛与他无关。
0:17:43|0:17:50|响久，喝醉的人们横七竖八地睡着了，他们有的躺在地上，有的歪在椅子上。
0:17:50|0:17:57|唯一相似的，就是手中都抓着大把大把的现金。[林凯]也睡着了，
0:17:57|0:18:6|不过他却痛苦地喘息着。睡梦中，一个年轻女人蜷缩双腿，靠在椅子上，
0:18:6|0:18:11|用力咬紧牙关之后，将毒品通过针管注射进了胳膊中。
0:18:11|0:18:20|突然她不受控制地抽搐起来，呼吸变得十分急促。无意间将身边的台灯打翻在地。
0:18:20|0:18:28|此时，一个小男孩躲在柜子后，静静地望着屋里的场景，不敢发出一丁点声音。
0:18:29|0:18:38|看到女人突然僵直在椅子上，一动也不动，他咬紧了嘴唇，挪动脚步，来到女人身边后，忍不住哭了起来。
0:18:40|0:18:45|原来这个女人，
0:18:45|0:18:53|是男孩的妈妈。急促的电话铃声响起，
0:18:53|0:19:1|[林凯]瞬间睁开了双眼，梦境中的小男孩也随之消失不见，原来这就是他的小时候。
0:19:2|0:19:14|接着，[林凯]扭身拿起一旁的手机。[林凯]听完急忙起身，开了一条门缝后，
0:19:14|0:19:28|看到[程毅]正站在门口严肃地看着他，随后喊了一声。[程毅]没有正面回答，
0:19:28|0:19:36|而是开车带着[林凯]，来到一个废纸压缩站内。慢慢地，轿车停在一辆大铲车前，
0:19:36|0:19:43|工人们看到后，急忙走上前来。随后，[程毅]和[林凯]下了车。
0:19:50|0:19:57|[林凯]打开后备箱后，突然顿住了，里面竟然摆放着成捆的美金。
0:19:57|0:20:3|看到工人们熟练地将钱抱走，他站在原地，不动声色地观察着。
0:20:3|0:20:8|[程毅]则站在车前方，望着工人们，把钱抱向压缩站深处。
0:20:8|0:20:9|此时，
0:20:9|0:20:18|一个人来到机器前，点了几下屏幕，传送带立刻启动起来。铲车先将废纸放进传送带上，
0:20:18|0:20:22|几个工人随后将成捆的美金扔进了纸堆当中。
0:20:25|0:20:30|很快，二者随着传送带一起消失在了机器的尽头。
0:20:30|0:20:36|没过一会儿，一个巨大无比的垃圾方块，就从机器出口冒了出来。
0:20:36|0:20:43|[林凯]上前一步，目不转睛地看着这一切，然后扭过头，冲着[程毅]笑了笑。
0:20:43|0:20:52|此时机器仍不紧不慢地运行着，铲车则静静运送着压缩好的垃圾方块。
0:20:52|0:21:4|突然，[程毅]的电话响了，他低头看了一眼，然后转身，走向后方狭窄昏暗的通道中。四下无人，他回道。
0:21:6|0:21:14|挂断电话，他小心翼翼地看了周围，接着，将天气良好四个字，通过短信发了出去。
0:21:14|0:21:20|然后迅速从通道走了出来。
0:21:21|0:21:31|冲着工人们吩咐完之后，[程毅]向[林凯]招了招手。然后，带领着两辆货车驶离了废纸压缩站。
0:21:31|0:21:38|轿车内，[程毅]看着面色紧绷的[林凯]，笑了笑后，开口问他。
0:21:50|0:21:56|[程毅]听完轻轻呼了一口气，又扭过头看看[林凯]，欣慰地笑了笑。
0:21:56|0:22:13|此时车队来到了铁路运输中转站，在密密麻麻的货堆中，[程毅]找到了一处空地，并慢慢地将车停在了这里。后方的两辆大货车，则停在了离他们不远的地方。
0:22:13|0:22:18|程毅对着跟下来的[林凯]说完，就走向了中转站内的小楼。
0:22:19|0:22:27|[林凯]则低头点了根烟，站在原地打量着这里。此时，程毅来到仓库门前，向里打量了一番。
0:22:27|0:22:36|没过一会儿，身后就传来了响动。两辆轿车，一辆卡车穿过集装箱，向他们二人的方向驶来。
0:22:36|0:22:42|令人震惊的是，警方正埋伏在制高点。
0:22:43|0:22:50|此时在中转站内的一辆厢货车中，早前那个领导，正拿着对讲机部署行动。
0:22:52|0:23:0|望着屏幕中的实时监控，领导看见那三辆车越过程毅和[林凯]，径直停在仓库门前。
0:23:0|0:23:9|随后，为首的那辆轿车中，一个戴着头巾，表情阴郁的男人率先打开车门，走了下来。
0:23:9|0:23:18|程毅见状，急忙走上前去，哈着腰，殷勤地对他打招呼。
0:23:19|0:23:26|看到罗总一下车，就皱紧眉头盯着[林凯]。
0:23:26|0:23:36|程毅急忙地堆起笑脸，冲他解释道。
0:23:52|0:24:1|罗总听完，向其中一个下属点头，示意了一番。接着，[林凯]领着下属来到了大货车边，
0:24:1|0:24:8|然后让人用切割机切下垃圾方块的一角，整捆的美金随即显露了出来。
0:24:8|0:24:16|不远处，警方的摄像机将双方的交易过程，以及赃款拍得一清二楚。
0:24:17|0:24:26|听到有28包美金，罗总向属下再次示意。随后，他的一众手下将大卡车上的塑料布掀开。
0:24:29|0:24:37|此时，车厢内出现了几根巨大的原木，一名手下用电锯，从上方切开一个长方形的口子。
0:24:37|0:24:43|将切掉的木块移开后，里面竟然整整齐齐摆放着包装好的毒品。
0:24:44|0:24:53|此时手下掏出一包，扔给了站在车边的[林凯]。[林凯]拿在手上看了看之后，立刻向程毅走去，
0:24:53|0:24:56|随后，递给了他。
0:24:58|0:25:6|程毅欣喜地伸出右手，领导此时拿起了对讲机。
0:25:7|0:25:15|厢货车内，警察们一跃而起，冲了出去。警笛声响彻云霄，手下们吓得向四处逃窜。
0:25:15|0:25:23|罗总迅速在下属的掩护下上了车。趁[林凯]与下属扭打之时，罗总和程毅急忙逃跑。
0:25:23|0:25:26|此时，警察拦住了大货车。
0:25:27|0:25:32|罗总刚驶出出口，就发现自己的前后已经被警车包围了。
0:25:33|0:25:42|另一边，程毅驾车看到迎面而来的警察后，猛地一打方向盘，随后弃车而去，钻进了集装箱群。
0:25:42|0:25:51|于是，警察立刻开枪，追了上去。[林凯]则与下属扭打着，看到警察后，立刻钻进警车底部。
0:26:35|0:26:44|击倒其中一个警察后，他立刻闪身躲避。哪料，刚通过一个路口，就迎面撞上四个警察。
0:26:44|0:26:52|不得已，他只能回身躲在缝隙里。接着掏出随身携带的手榴弹，向警察脚下丢去。
0:26:52|0:27:3|爆炸的轰鸣和耀眼的火光，立刻引起了[林凯]的注意。罗总却在趁乱逃跑时，被击中右小腿。
0:27:3|0:27:12|随后，他再次抛出手榴弹，向警察扔去。此时，[林凯]循着爆炸的火光来到罗总身边，并急忙说道。
0:27:14|0:27:18|看清来人后，罗总收起枪，立刻钻进了车的后排。
0:27:18|0:27:26|随后，[林凯]加速冲出货物堆，不巧的是，后方警车仍在紧追不舍。
0:27:26|0:27:31|这时，在前方路口处，又拐进了一辆警车。
0:27:31|0:27:36|眼看着就要被夹击，[林凯]猛地一打方向盘，钻进了货仓之中。
0:27:36|0:27:43|慌乱间，车辆将沿途的货物直接撞倒在地，警察则在后方不断放枪。
0:27:46|0:27:53|很快，[林凯]驾驶车辆撞破大门，落在铁道上之后，歪歪扭扭地向前开远了。
0:27:53|0:28:1|不知道什么时候出现的领导，此时戴着警帽，望着[林凯]逃跑的方向，深深呼了一口气。
0:28:1|0:28:8|车上，罗总边用枪指着[林凯]的后脑勺，边处理伤口。
0:28:10|0:28:16|[林凯]不屑地冲罗总说。罗总没有理会，
0:28:17|0:28:25|先取下脖子上的围巾，狠狠勒紧小腿。缓了缓，又从兜里掏出手机打着电话。
0:28:27|0:28:35|接通后，冲对方说，出了意外来河边接自己。很快，他们就来到了河边。
0:28:35|0:28:42|[林凯]照做，停下了车。车门开了，[林凯]下车站定后，回头发现，
0:28:42|0:28:52|罗总正靠在门边，依旧用枪指着自己。盯着上了膛的枪，[林凯]无奈，只能照做。
0:28:52|0:29:1|于是，他一步步地向河边的方向走去。罗总看到之后，则一瘸一拐地跟在他身后，举着枪，
0:29:1|0:29:3|与他保持着三步的距离。
0:29:3|0:29:13|此时，天色已经大亮。浑浊的河水中，罗总挟持着[林凯]，让他背着自己，向对岸游着。
0:29:14|0:29:24|他一手持枪，一手紧紧抱住[林凯]的脖子，把全身的重量都压在上面。终于，二人游到了岸边。
0:29:24|0:29:27|罗总因为伤口，而痛苦地呻吟。
0:29:27|0:29:34|碍于被威胁，[林凯]架着他，来到一旁茂密的丛林中。接着，双双脱力倒地。
0:29:35|0:29:43|喘息过程中，一阵沙沙的声音响起。[林凯]刚刚睁开眼睛，就发现一个人举枪向他走来。
0:29:43|0:29:46|还没来得及起身，就直接被打晕过去。
0:29:46|0:29:53|随后，一行人来到了恶名远扬的金三角地区。
0:29:53|0:29:57|[林凯]被蒙着双眼，捆紧手脚，扔在车辆后排。
0:29:57|0:30:7|前排中，一个戴着墨镜的女人时不时地回头观察他，然后拿起天线电话拨了出去。
0:30:14|0:30:23|墨镜女的爸爸草草回应后，挂断了电话。镜头拉远后，发现他竟然坐在一个像监狱一样的屋子里。
0:30:24|0:30:27|上好的红木桌上，摆放着整齐的茶具。
0:30:27|0:30:35|他拿起一碗热水后，仰起头一饮而尽。此时，墨镜女一行人，来到了森林深处的木材厂。
0:30:35|0:30:44|[林凯]则被蒙着双眼，扔在地上。没一会儿，两辆轿车从森林深处的小道上缓缓驶来。
0:30:47|0:30:53|随后停在木材厂的大门前，下属们见状，纷纷站直迎接。
0:30:53|0:31:1|罗总则叼着烟，坐在木桩上，擦拭手枪。此时，武装完全的手下，恭敬地打开轿车后门，
0:31:1|0:31:10|一个戴着草帽的中年男子，甩着手帕下了车。墨镜女挺直身体，迎上去。
0:31:10|0:31:16|原来，他就是墨镜女的爸爸。没有理会走上前的[李建国]，
0:31:16|0:31:24|他一边玩着手里的火柴，一边径直向[林凯]走去。接着，直接坐在[林凯]对面的凳子上。
0:31:24|0:31:30|两个手下自觉地站在他的身后。
0:31:48|0:31:55|墨镜女的爸爸向后伸手，接过手枪。
0:32:9|0:32:16|墨镜女的爸爸用枪瞄准[林凯]，似乎在思考着什么。随后，他慢悠悠地站起来，
0:32:16|0:32:22|两个下属见状，立刻架起[林凯]，摁在他身前。
0:32:27|0:32:33|话音刚落，墨镜女的爸爸将枪里的子弹，清空到只剩一颗。
0:32:41|0:32:48|扳机被扣动了，但下一秒什么都没发生。看着[林凯]蜷缩成一团的身体，
0:32:48|0:32:56|墨镜女的爸爸挑挑眉毛，又连续开了几次。
0:32:57|0:33:3|墨镜女的爸爸笑着问。[林凯]咬紧牙回应。
0:33:7|0:33:16|随后，墨镜女的爸爸向架住[林凯]的手下使了个眼色。[林凯]直接被拖了下去。罗总见状，
0:33:16|0:33:23|扔掉叼着的烟，拖着受伤的腿，一瘸一拐向墨镜女的爸爸走来。
0:33:36|0:33:41|墨镜女，也就是[清水]，
0:33:41|0:33:50|听完点点头，又小心地撇了一眼罗东方。[清水]爸爸见此，用手帕用力擦了擦罗东方的脖子，
0:33:50|0:33:55|随后，转身离开了。太阳下山前，
0:33:55|0:34:1|[林凯]被[清水]和罗东方押上了一辆轿车，随即，立刻向中国境内驶去。
0:34:1|0:34:8|云来市一个清爽的早晨，工厂内聚集着大量警察和记者。
0:34:27|0:34:33|和程毅有秘密交易的领导，此时，正站在大众面前义正言辞。
0:34:33|0:34:42|下属们则当着记者，点燃火把，销毁毒品。望着台上的领导，
0:34:42|0:34:50|眼镜男低声对同事吩咐道。此时，[林凯]等三人驾车来到一个菜市场门口。
0:35:0|0:35:6|随后，看了看[清水]和[罗东方]的脸色，提出这个计划。
0:35:8|0:35:18|坐在后排的[罗东方]听完，俯身威胁他。而[林凯]并没有理会，直接开门下车，向菜市场内走去。
0:35:18|0:35:35|此时，戴帽子的男人正手递手和卖菜商家交易，用毒品换来毒资后，掏出随身携带的本子，在上面记录着什么。刚把本子放回包里，扭头就看到[林凯]。
0:35:36|0:35:44|[林凯]没有理会，而是拿走了刚刚的本子。接着，撕下一页纸。
0:36:11|0:36:17|[林凯]刚把纸条塞进小北的上衣口袋，又偷偷顺走了他的手机。
0:36:17|0:36:26|此时警局内，眼镜男的电话响了，他猛地拉开抽屉，竟是最不常用的那部紧急电话。
0:36:33|0:36:38|[林凯]没等电话接听，就一把将小北推倒在地，顺势将手机还了回去。
0:36:55|0:37:0|狭长的小路上，驾着豪车的[程毅]，电话突然响了。
0:37:0|0:37:7|听着一直不断的铃声，他低头从座位上拿起手机，看了一眼后，顺势接听。
0:37:11|0:37:16|话音刚落，[程毅]的车尾就被猛烈撞击。
0:37:16|0:37:24|接着，[罗东方]的手下持枪，来到[程毅]车边，用力将他从驾驶室拽了下来。
0:37:25|0:37:34|[罗东方]则从座位上，拿走他的手机。看到[程毅]被按在自己的车后排，[林凯]猛踩油门，加速冲了出去。
0:37:35|0:37:42|听着[程毅]害怕的喘息，坐在他身边的[罗东方]开口道。
0:38:9|0:38:17|[清水]听完，翻出了[汪波]的号码，随后将手机递给[程毅]。
0:38:24|0:38:27|被枪指着眉头的[程毅]，只能照做。
0:38:27|0:38:36|画面一转，来到一座废弃大楼内。[程毅]和[汪波]正被吊着，脚下一片碎玻璃。
0:39:34|0:39:42|[罗东方]突然抬手，射向[程毅]大腿，随后，举着手机来到[汪波]面前，按下播放键。
0:39:56|0:40:2|说罢，[罗东方]将枪口缓缓上移，对准[汪波]的侧脸。
0:40:12|0:40:23|[罗东方]收回了枪，转过头，看向咳嗽的[程毅]。[程毅]小心翼翼地回答着。
0:40:24|0:40:29|接着，[罗东方]连续放枪，[程毅]瞬间没了声响。
0:40:29|0:40:38|此时，罗东方的一个手下悄悄来到[林凯]身后。汪波刚舒了一口气，
0:40:38|0:40:46|就看见罗东方对着[林凯]的方向说道。刚刚那个手下立刻举枪，上前顶住[林凯]。
0:40:47|0:40:52|谁知，[林凯]闪身一躲，用他抵在前身，挡住了罗东方的射击。
0:40:52|0:40:57|随后，三两下解决掉其他人，躲在水泥柱后。
0:40:57|0:41:3|此时，各自躲在水泥柱后的罗东方，用眼神向[清水]示意。
0:41:3|0:41:9|自己先闪身，引[林凯]出面，随后，[清水]从另一侧进行射击。
0:41:9|0:41:15|配合打成，二人一前一后走出柱子，向[林凯]的方向踱步而去。
0:41:16|0:41:24|眼看着罗东方，就要逼近[林凯]躲藏的水泥柱，突然，[林凯]发现了斜前方空地上，有几个燃气罐。
0:41:25|0:41:34|连续几枪后，多个泄漏的燃气罐旋转着飞到罗东方角下。[林凯]见状，矮身再射。
0:41:34|0:41:37|爆炸的气浪直接将罗东方冲飞了出去。
0:41:37|0:41:43|接着，[林凯]乘胜追击，趁他来不及起身，就射中他的肩膀。
0:41:43|0:41:48|随后，[老鹰]来到[清水]后方，卸掉她的手枪。
0:41:51|0:41:59|[罗东方]捂着伤口，仰面倒在地上。[林凯]用枪顶着[清水]威胁道。
0:42:0|0:42:5|[林凯]没有回答，只是又将枪口用力向前顶了顶。
0:42:5|0:42:15|[清水]无奈，只能掏出电话，拨通后，递给身后的[林凯]。[清水]爸爸的声音随之传来。
0:42:32|0:42:41|接着，他十分淡定地答应[林凯]的条件，并率先挂断了电话。大楼内，
0:42:41|0:42:50|[罗东方]捂着受伤的肩膀，流下豆大的汗水。随后，在[林凯]的挟持下，三人离开了这里。画面一转，
0:42:50|0:42:55|一个男人正在宿舍内吃泡面。
0:42:58|0:43:2|眼镜男带着几个警察将他扒光后，仔细搜查他的随身物品。
0:43:24|0:43:35|接过纸条后，眼镜男发现上面只有一个潦草的等字，于是他了然地点点头。另一边，
0:43:39|0:43:46|他一边用枪抵着[罗东方]的后脑勺，让他老实开车，一边观察着四周的环境。
0:43:46|0:43:53|进入一片茂密的树林后，突然，他发现手机彻底没了信号，向窗外一看。
0:43:53|0:44:2|原来，不远处有不少披着树叶的信号屏蔽器。此时，[清水]爸爸甩着手帕，走进木材厂，
0:44:2|0:44:11|身后跟着不少举着枪的手下。[林凯]则用枪顶住[罗东方]，静静望向他。
0:44:12|0:44:19|[清水]爸爸站定在[林凯]对面，漫不经心地甩着手里的帕子，轻轻扇着风。
0:44:27|0:44:33|[清水]爸爸低头笑了笑。
0:44:42|0:44:47|[林凯]边用枪抵着[罗东方]威胁，便微笑着，看向[清水]爸爸。
0:44:47|0:44:53|[罗东方]则一脸愧疚地低下头。
0:45:6|0:45:13|[清水]爸爸听完，一手扶着椅子，一手用帕子捂在自己鼻子前嗅了嗅，然后说。
0:45:42|0:45:53|此时，[林凯]突然勾唇一笑，调转枪口，指向[清水]爸爸，随后，右手一松，将枪递了出去。
0:45:53|0:46:2|[清水]爸爸接过后，用力一枪，直冲罗东方眉心，然后，走到[清水]面前。
0:46:8|0:46:15|眼眶含泪解释完后，他转身，重新回到[林凯]面前，伸手用力一巴掌将其打翻在地。
0:46:15|0:46:23|镜头一转，来到医院。眼镜男带着几个手下穿过走廊，来到汪波的病房内。
0:46:26|0:46:31|然后向他亮出了自己的警官证。原来，他的名字叫做[李建国]。
0:46:34|0:46:41|另一边，[清水]爸爸带着两个手下，来到木材厂内的小二楼，随后，走到[林凯]的面前。
0:46:42|0:46:51|此时，[林凯]四肢被绑在椅子上，脑袋低垂，肌肤已经皮开肉绽。随后，[清水]爸爸抬手示意，
0:46:51|0:47:3|手下立刻提起一桶水，泼到[林凯]身上。额外的刺激让[林凯]立刻清醒，他抬起头，无力地晃了晃。
0:47:4|0:47:13|[清水]爸爸坐在对面问。水顺着[林凯]受伤的脸颊不断向下流着，
0:47:13|0:47:16|但他只是吐出一口水，不发一言。
0:47:17|0:47:23|随后，[清水]爸爸再次示意，一个手下立刻拿来一块布，蒙住[林凯]的脸。
0:47:23|0:47:27|另一人则将酒倒在他的口鼻处。
0:47:27|0:47:34|布被移开后，[林凯]不断向外呕着酒水。
0:47:34|0:47:42|[清水]爸爸前倾身子，用手帕扇了扇风之后，再次开口问道。
0:48:18|0:48:26|[清水]爸爸咬牙说完，转身就走。手下们则一拥而上，再次用布将[林凯]蒙住浇起酒来。
0:48:26|0:48:34|[林凯]不住地挣扎，但手脚却被牢牢按住。[清水]则在一旁怜悯地看着。
0:48:35|0:48:44|此时，[清水]爸爸跪在佛堂前。望着佛堂中女人的遗像，他欣慰地说道。
0:48:45|0:48:50|画面一转，来到河边的木屋。[林凯]正昏睡在地板上，
0:48:51|0:49:0|朦胧中，他似乎看到一个老人朝他走来。此人端着托盘，在[林凯]身边蹲下，把东西放到地上后，
0:49:0|0:49:11|抬起[林凯]的胳膊，绑上胶皮管。轻拍几下，找到血管，然后拔开注射器，向他的胳膊中注射药品。
0:49:12|0:49:17|眼前的一切变得混乱起来，[林凯]陷入了回忆。
0:49:30|0:49:36|还有作为警察时训练的情景。
0:49:38|0:49:44|多重画面不断交织，[林凯]痛苦地昏了过去。再醒来时已是夜晚，
0:49:44|0:49:49|屋内，风扇依旧左右摇摆。[林凯]则静静地躺在地上。
0:49:50|0:49:55|一个小女孩先帮他拆开胳膊上的纱布，擦拭伤口。
0:49:55|0:49:59|随后，又用新纱布将他的胳膊重新包扎起来。
0:50:0|0:50:7|等老人将他撑起来之后，女孩又端着碗，慢慢喂[林凯]吃饭。与此同时，
0:50:7|0:50:18|[清水]爸爸正坐在一个装修成牢房般的屋子里抽烟，温暖的台灯旁，年轻时的他与一个漂亮女人亲吻的合照异常显眼。
0:50:19|0:50:27|仔细看的话，后者正是佛堂中被他称为玉楠的女人。
0:50:27|0:50:39|另一边，看到[林凯]又昏睡过去，老人再次用胶皮管绑住他的胳膊，随后，又从一个大罐子中舀了一勺粉末状的东西混入药品。
0:50:39|0:50:44|接着，拔开针筒，将其慢慢推进他的胳膊中。
