0:0:39|0:0:46|开门的是一个戴着贝雷帽的年轻男子，二人对视后，眼镜男提着篮子进入了报馆。
0:5:56|0:6:12|万国储蓄银行内，眼镜男和日本女军官[秋山雅子]的打斗已经到了尾声，二人在银行二楼搏斗着，[秋山雅子]连续几个高边侧踢将眼镜男打得晕晕乎乎，接着又是一个飞踹，将他踹到屋内中央的大吊灯上。
0:6:12|0:6:17|而他包裹内的电台重要零件，也摔在银行大厅的地上。
0:6:17|0:6:25|报馆内，关社长用身体抵住电台的铁门，谁知一个手雷就将他炸飞了出去，他艰难地从地上爬起。
0:6:31|0:6:36|[秦凤梧]穿着板正的西装，手持带有骷髅的伞柄，从门外走了进来。
0:6:36|0:6:48|她先是用伞挑了挑被炸得四分五裂的电台，然后将伞放在桌上，拿起手边的尖刀就向关社长扎去，随后将关社长从二楼窗户上扔了下去。
0:6:48|0:6:53|就此，中共上海地下电台遭日军全面破坏。
0:7:6|0:7:14|日本官兵不仅将我方的地下秘密电台摧毁，还残忍杀害了我方多名坚守电台的同志。
0:7:14|0:7:26|[林翔]在接到上级重建电台的命令之后，独自站在了荒芜人烟的黄土高坡上，他俯瞰眼前的众多山丘，目光坚毅又带着工勇，仿佛什么难题都难不着他。
0:7:27|0:7:35|但是在所有的山丘中，它显得又是那么渺小，一场电台情报争夺战即将拉开帷幕。
0:7:35|0:7:50|《逆战》翻拍自经典电影《永不消逝的电波》，这部电影推出的背后，单剧本创作就历时三年，期间更换了四次编剧，六次艺稿，编剧也是翻阅了大量的史料记载，进行了一定程度上的创新。
0:7:50|0:8:4|该片是由南海影业《风骨文化》出品的谍战动作电影，由钟绍雄指导，[郭富城]，[赵丽颖]，[张翰]，[张兰心]，[朱一龙]，[于小光]，[李斌]，[曹操]主演。
0:8:4|0:8:14|影片讲述了松户会战后上海临县，地下工作者[林翔]受命来到危机四伏的上海，重建惨遭敌人破坏的地下抗日战线。
0:8:14|0:8:30|在这里，他遇到单纯却很有正义感的[兰芳]，二人临时组成为假夫妇，这对地下党夫妇在战火纷飞中携手一政一邪地凉冻，与日本侵略者以及伪政府特务展开惊险刺激的生死较量。
0:8:30|0:8:42|上海地区，大街小巷都挂着日本国旗，日军大部队举着旗帜在街上游行，在他们身后行驶着军用大卡车，就连民众都手持日本国旗站在街边。
0:8:42|0:8:45|此时，上级正对着[秋山雅子]下达命令。
0:9:14|0:9:17|这是和延安完全不同的世界，空气中充满着阴霾。
0:9:46|0:9:48|电台政委[林翔]这时也来到上海。
0:9:48|0:9:55|他站在街边，混入人群中，看着日军大部队入驻上海，心里很不识滋味。
0:9:55|0:10:3|接着他来到住所，将行李摆放在桌上，大致地检查了一下房间，又将窗户打开，抬头看向了窗外的风景。
0:10:14|0:10:20|说完，[秋山雅子]离开，[秦凤梧]恶狠狠地哼了一声，在另一边华界纺织场内，一名年轻男子兴奋地说道，
0:11:12|0:11:19|看着同事们都在讲着自己接到的任务，而只有纺织厂女工[兰芳]没有收到任务。
0:11:19|0:11:25|她坐在座位上显得有些落寞，连平时喜欢吃的瓜子都提不起任何的兴趣。
0:11:25|0:11:31|[兰芳]抬起头看了看周围的同事们，又面无表情地低下头，心里不知在想些什么。
0:11:32|0:11:40|第二天一大早，中共上海地下情报员[大猫]嘴里叼着烟斗，手里拿着相机对着[林翔]的住处拍照。
0:11:40|0:11:50|[林翔]从屋里走出来后，抬头望向二楼自己的住所，只见[大猫]已经收起吊儿郎当的样子，在给[林翔]住处的顶上装木板。
0:11:50|0:11:54|忙活了一阵后，他来到二楼的走廊上，伸手将头顶的灯泡换掉。
0:11:55|0:12:2|将门口的花花草草摆在了自己刚才安装的木板上，而[林翔]则是站在楼下看着这一切。
0:12:2|0:12:9|等[大猫]收拾好一切离开之后，他走到二楼的走廊上，先是抬头看了看已经被换过的灯泡。
0:12:9|0:12:15|两久，他伸手将灯泡拧了下来，然后把灯泡和灯罩连接处的纸条取了出来。
0:12:16|0:12:26|随后，[林翔]蹲下身子，从脚边的工具箱内取出一个灯泡换了上去，接着他站起身，拉了一下旁边的绳索，灯泡随即亮了起来。
0:12:26|0:12:38|做完这一切，他来到楼下的台子上喝茶，而[大猫]则是站在台下，嘴里叼着烟筒，背对着[林翔]，拿起相机以自拍的方式给两人拍了一张合照。
0:12:38|0:12:54|天空十分灰暗，一个勾搂着被的老人拉着一个小推车行走在狭窄的小巷里，他慢悠悠地走到已经落败的上海龙生报馆外，抬起头看了看报馆的牌匾，然后不拔不稳地走了进去。
0:12:54|0:13:0|屋内早已破败不堪，被炸毁的桌椅板凳都焦黑得看不出之前的模样。
0:13:0|0:13:17|出事当天，硬刷着日军增兵上海，国军战事失利的报纸也被灼烧得看不清细节，老人抬头看了看楼上，然后拉着推车走到了之前存放秘密电台的房间里，他来到一处桌子前，用手拿起一个圆形中间镂空的零件，
0:13:17|0:13:26|仔细地端详了一番，然后用嘴吹了吹，接着又拿起发送电台的长柄按钮，放进了自己腰部的口袋内。
0:13:26|0:13:29|最后，老人走到了最里面的房间。
0:13:32|0:13:36|老人看了看他，没有在意，而是继续往里面走着。
0:13:41|0:13:48|他像是不解气般地站了起来，拿着伞一下下地捅着老人，老人害怕得只得往后躲。
0:13:52|0:13:55|老人拿到饼干后，大口地吃了起来。
0:13:55|0:13:58|这时，[秦凤梧]的身体逐渐向老人那边靠去。
0:13:58|0:14:4|谁知，老人因吃得太快而喷出的饼干屑直直地溅到了[秦凤梧]的脑上。
0:14:4|0:14:33|[秦凤梧]气得拿伞将老人打倒。此时[秋山雅子]带着几个手下也来到了房间内。老人从地上爬起看向[秦凤梧]的眼神又气愤又带着犀利。站在镜子前的[秦凤梧]突然走向老人，在他的身上摸来摸去，直到摸到了腰间上的坚硬物体。[秦凤梧]勾起嘴角笑了一下。老人见状，拿起一旁的尖锐物体抵在了[秦凤梧]的脖子上。[日君]赶紧拿枪对准老人。[秦凤梧]撑起伞倒在身前大喊。
0:14:35|0:14:43|[秋山雅子]没有顾及同伴[秦凤舞]，老人趁乱将[秦凤舞]往前一推，自己则是从窗户跑了出去。
0:14:47|0:15:18|[秋山雅子]见状急忙推开[擒风屋]，朝着老人逃跑的方向追了上去。老人从窗户上跳了下来，直直躺在了楼梯边的无障碍通道，身体跟随重力直直地滑了下去。[秋山雅子]紧随其后跳在了楼梯栏杆旁，眼看老人滑过了几个拐弯，[秋山雅子]不再迟疑，直接跳在了更低的栏杆旁。几个回合之后，[秋山雅子]终于追到了老人，二话不说，直接抬起脚踢向他。老人明显也是练过。
0:15:18|0:15:19|很轻松地就躲得过去。
0:15:19|0:15:33|就在二人打斗之时，一旁的二楼走廊上忽然出现一个带着墨镜的男子。他看得见在打斗的两人，赶紧藏在一旁的墙边，然后他抬头看了看楼顶上的大木桶，飞快地跑上去。
0:15:33|0:15:52|墨镜男拿着撬棍将木桶砸向了两人打斗的地方，谁知接连两次都没有效果，他再一次将木桶砸向地面，这一次成功地将二人分开。老人趁机不备转身就跑，[秋山雅子]气愤地向楼顶看了看，墨镜男赶紧转身离开。
0:15:52|0:15:59|老人逃脱后在大街上飞奔着，身后的[日军]紧追不舍，大喊着站住，然后让周围的民众滚开。
0:16:2|0:16:8|老人逃到一处乞丐聚集地，然后快速找到一个安全的地方躲藏起来。
0:16:8|0:16:16|日本官兵拿着枪很快追上，他们为了找人，破坏了乞丐用茅草做的炸孔，又随便开枪射杀无辜的乞丐。
0:16:16|0:16:20|[秋山雅子]在二楼看着眼前的场景，也不敢轻举妄动。
0:16:20|0:16:27|楼下的官兵还在肆意烧杀抢夺，他们找了一会儿，发现找不到人，不一会儿就离开了。
0:16:28|0:16:38|[莫靖南]来到楼下，看着乞丐们在收拾日军破坏的帐篷，他四处望了望，发现没有找到自己想要见的人，就开始大声喊道。
0:16:48|0:16:55|躲在暗处的老人一手扯下脸上的面具，原来他竟是灵想假扮的。
0:17:28|0:17:32|原来，[墨镜男]的身份是中共地下党员[岑子默]。
0:17:32|0:17:43|他所喊的话的意思是，我是预备党员[岑子默]，官社长的下属，报馆出事时我外出执行任务，但与组织失去了联系，现请求归队。
0:17:43|0:17:49|[林翔]听了这一番说辞之后，并没有马上就相信，而是躲在暗处一言不发。
0:17:49|0:17:55|[林翔]将自己收拾了一番，在二楼看了看[岑子默]后，离开了这里，回到了自己的住所.
0:17:55|0:18:6|他坐在桌前，自己动手制作了一台简易的电台，将地上可活动的木板掀开，将电台固定在木板上面，然后又将它翻了回去。
0:18:6|0:18:9|夜晚，天空下起大雨，[林翔]撑着伞走在大街上。
0:18:20|0:18:30|走到一处小巷时，身后的两个日本人叫住他，[秋山雅子]转身与他们对视，雨下的似乎比之前重大了一些。
0:18:30|0:18:38|法族界巡捕，[梁栋]披着斗篷，骑着自行车来到一处隐蔽的地方，脚上穿着木屐的男子向他汇报。
0:18:49|0:18:56|[梁栋]划开一支火柴，点燃了嘴里的香烟，然后往案发地点走了过去。
0:18:56|0:18:59|中途的巡捕见到他，连忙打招呼。
0:18:59|0:19:6|[梁栋]缓缓走进尸体前，只见一个日本人仰面躺在地上，胸前插着一个雨伞的手柄。
0:19:6|0:19:14|画面一闪，这个日本人生前向[林翔]拔刀冲了过去，[林翔]用雨伞阻挡，结果伞被削成两半。
0:19:21|0:19:26|另一名日本人生前被[林翔]用尖刀刺入腹部而亡。
0:20:10|0:20:16|哪知山崎大佐猛地拍桌，盯着[梁栋]问是什么情况。
0:20:16|0:20:24|[梁栋]吓得立马跪下回答。
0:20:24|0:20:29|[山崎大佐]听了这番说辞后，气得拍桌而起。
0:20:44|0:20:56|[山崎大佐]气得一巴掌扇在他的脸上，让身旁的舞女拿出一瓶酒，并告诉[梁栋]，你把它干了，我就再给你三天时间，接着露出笑容。
0:20:56|0:20:59|[梁栋]抬头看向[山崎大佐]，也露出了笑容。
0:20:59|0:21:5|二话不说的拿起酒就往嘴里灌，直到一瓶喝完，他的脸上满是酒渍。
0:21:5|0:21:12|[山崎大佐]从桌旁边拿起一叠钞票，一边笑着一边拿钞票在[梁栋]的头上横摆。
0:21:13|0:21:16|此时的[梁栋]没有生气的迹象，反而咧开嘴笑出声来。
0:21:19|0:21:25|[山崎大佐]打完之后，将钞票装在[梁栋]的胸前，然后大喊着让他滚。
0:21:27|0:21:34|跪在地下的[梁栋]微微弹起身子往门口走去，谁知还没走两步就趴在了地上。
0:21:34|0:21:40|他捡起手边的钞票，然后站起身塞进了自己的胸口处，大笑着往门口走去。
0:22:5|0:22:8|日君将[贺兰芳]扛在肩上，带入了义记馆。
0:22:16|0:22:23|日军把[贺兰芳]带到一个房间内，将她狠狠地摔在地上，然后一脸迎笑地关上门。
0:22:23|0:22:28|[贺兰芳]起身，将身前的桌子掀翻，这动静吸引了厕所里的[梁栋]。
0:22:28|0:22:36|[梁栋]听着声音，慢慢靠近屋子，他走到屋外，透过门口的缝隙，看到日军将[贺兰芳]压在身下。
0:22:36|0:22:42|[梁栋]看到这一幕，双眼浸满了泪水，他将门推开一个大的空隙，想要上前去救人。
0:22:43|0:22:52|可是李治将他拉回，他就这样静静地看着[贺兰芳]的遭遇，这时[贺兰芳]也看到了在门外无动于衷的[梁栋]。
0:22:52|0:23:2|[梁栋]看到他的眼神，眼前突然闪回小时候自己跟一个小女孩对视的画面，正当他要开门阻止时，[贺兰芳]的同伴已经冲进去大声阻止。
0:23:9|0:23:17|随即，[贺兰芳]的同伴们和日军扭打在一起，[梁栋]看见有人前来相救，重重地将门关了起来。
0:23:17|0:23:30|[贺兰芳]也慢慢地从地上爬了起来，拿起酒瓶砸向日军。
0:23:36|0:23:48|几人跑到大街上，门口长着胡子的男子赶紧拿起相机，日军此后也跑了出来，[贺兰芳]一行人推起旁边的推车，撞向日军。
0:23:48|0:23:57|贺[兰芳]和同伴们一起离开了这个是非之地，而门口长着胡子的男子还拿着相机对着他们离去的方向拍着。
0:23:57|0:24:5|夜晚，[梁栋]骑着自行车慢悠悠地停在家门口，他将车上的东西提进家门，将买的东西摊开在桌上。
0:24:13|0:24:16|说着，他就将桌上的鸡扔在了地上。
0:24:29|0:24:41|[梁栋]被母亲用扫把打出房门，他来到巷口，烦闷的心情得不到缓解，然后拿起枪击碎了空的玻璃瓶。
0:24:41|0:24:43|这时，二楼的住户打开窗户大骂。
0:24:49|0:24:52|被人指着鼻子骂的[梁栋]，心情更加不好。
0:24:52|0:24:58|他用手将嘴里抽了一半的香烟甩在地上，然后坐在了人造小池塘的台子上。
0:24:58|0:25:3|他掏出烟盒却发现里面没有烟，又将烟盒甩了出去。
0:25:3|0:25:8|这时，[岑子默]坐到他的身边，伸手将烟盒递给他。
0:25:8|0:25:10|[梁栋]拿了一支，开口。
0:25:19|0:25:31|[梁栋]听了[岑子默]的回答后陷入沉默，他眼角溢出泪水，猛抽了一口香烟，然后吐出了烟雾，像是在平复着自己不好的心情，然后开口。
0:26:0|0:26:10|他看着[岑子默]再次开口，说完，两[梁栋]转身离开，[岑子默]坐在池塘边静静地看着他的背影。
0:26:10|0:26:16|第二天，大街上人来人往，街道两边都是小商贩们摆的摊。
0:26:16|0:26:30|[林翔]来到一个卖各种零件的商贩面前，他在货品前挑挑拣拣，拿出一个零件在耳边听了听，觉得是自己想要的东西之后，将几块大洋交给老板，转身煮着长饼雨伞离去。
0:26:31|0:26:34|回到住处的[林翔]坐在桌前忙碌着。
0:26:34|0:26:42|他拿着螺丝刀，将电台的螺丝拧紧，又拿起一个手掌般大小，类似氧气瓶的东西安装在电台上。
0:26:42|0:26:47|接着，他拿起桌上的传导线，将它放进了电台里，开始安装。
0:26:47|0:26:51|就这样到了晚上，[林翔]终于将电台制作好。
0:26:51|0:26:57|他戴上耳机，拉开台灯，接上电台的电源，然后向外界输送情报。
0:27:15|0:27:19|首长已站起身接过电报，看着上面的内容，开口。
0:27:27|0:27:31|[梁栋]带着墨镜，拿着文件来到[秋山雅子]面前，示意让其查看。
0:27:31|0:27:33|[秋山雅子]却告诉他，
0:27:36|0:27:40|[梁栋]和[秋山雅子]来到一个商店前，店家招呼道。
0:27:46|0:27:51|店家拿出一张市民证让他们查看，[秋山雅子]却说根本不是。
0:27:51|0:27:58|[梁栋]和[秋山雅子]从店里出来，他拿着文件无意间看到了二楼窗户上有人在看着他们。
0:27:58|0:28:3|被发现的[林翔]赶紧将窗帘放下，[梁栋]随即准备上楼旁问他。
0:28:4|0:28:8|[林翔]健壮，身手敏捷地从错综复杂的楼顶上逃跑。
0:28:8|0:28:12|[梁栋]将文件扔在一边，起身就追了出去。
0:28:12|0:28:19|[林翔]在各个房顶上穿梭着，[梁栋]则是看着他逃跑的方向，在各个居民房里追逐着。
0:28:19|0:28:27|[林翔]从一个屋顶大步跨向另一个屋顶，[梁栋]紧跟他一个大套，这弄翻了正在吃饭的[秋山雅子]。
0:28:27|0:28:30|他没有停留，赶紧又追了上去。
0:28:30|0:28:49|凌翔在屋顶上一个前空翻，面无表情地向前跑站，[梁栋]走过搭载屋子和走廊的木板，他打开一间房门，然后又走向另一个房门将其打开，冲上了楼梯，[林翔]从远处跳了下来，随后，一旁的房门被[梁栋]打开。
0:28:49|0:29:7|[梁栋]看着他跑的[林翔]反而追了上去，两人之间的距离越来越短，此时，[梁栋]跳到一处木板上，木板却因为承受不住他的重量而破碎，上面的[梁栋]直接摔了下去，他看着[林翔]从身前跑走，气愤地将脸上的墨镜甩到一旁。
0:29:8|0:29:14|他站起身抬头看了看[林翔]的方向，生气地一脚踹开身前的房门追了上去。
0:29:14|0:29:20|[林翔]飞快地在各个屋顶上穿梭着，[梁栋]也不甘示弱在后面狂追着。
0:29:20|0:29:25|他来到一处走廊，看着刚刚翻越过去的[林翔]，自己却不敢冒险跳过去。
0:29:25|0:29:32|他拿起身边的梯子，将它架在两栋房子的中央，然后身体顺着梯子滑了过去。
0:29:32|0:29:40|[林翔]跑得飞快，穿过几个房子之后，他找到一处藏身的房间，直接从窗户进入，然后转身将窗户关上。
0:29:41|0:29:54|[梁栋]紧跟着来到此处，发现这里没有[林翔]的身影，极其谨慎地从口袋里掏出枪，然后来到一个房间的门口处，看见门上挂着大锁，接着就往另一处的房门走去。
0:29:54|0:30:13|殊不知，他的动作都被躲在暗处的[林翔]看着，[梁栋]举着枪搜查着每一处，突然，他被一处响声所吸引，他来到声音的源头，准备破门而入，而此时的[林翔]正躲在屋内，他在缝隙处看到[梁栋]的枪，然后扭头拿起竹筐上的尖刀。
0:30:13|0:30:15|准备随时战斗。
0:30:15|0:30:18|二人一个在屋内拿着刀，一个在屋外拿着枪。
0:30:18|0:30:25|[梁栋]缓缓靠近门口，[林翔]握着手里的尖刀，眼神犀利地准备随时取人性命。
0:30:25|0:30:28|就当[梁栋]准备破开门室，楼下突然有人在喊叫他。
0:30:40|0:30:42|[梁栋]立马飞奔下楼。
0:31:3|0:31:8|屋内的[林翔]看着[梁栋]离开，缓缓放下了手里的尖刀。
0:31:8|0:31:13|[梁栋]飞奔着来到巡捕房，他从大厅穿过，一路上撞了不少的同事。
0:31:13|0:31:21|就当他来到楼梯口想要下去时，那天在义记馆门口拍照的胡子男出声叫住他。
0:31:33|0:31:38|[梁栋]拿着照片，发现上面全部都是[兰芳]和同伴的身影。
0:31:38|0:31:43|他眉头一锁，用眼睛恶狠狠地盯着胡子男，然后收回目光。
0:32:1|0:32:8|在大厅的另一处，[秦凤梧]一家三口坐在二楼的一个餐桌前，他的儿子拿着铅笔画着，嘴里嘟囔着。
0:32:15|0:32:21|儿子在纸上画着自己和爸爸[秦凤梧]，还写下我和亲爱的爸爸。
0:32:21|0:32:26|[秦凤梧]满脸微笑，拿着棒棒糖去占桌上的巧克力瀑布，然后递给儿子。
0:32:29|0:32:35|而一旁盛装出席的妈妈，注意力却放在一楼正在弹琴的[陈子墨]身上。
0:32:35|0:32:38|她眼神勾人，面带微笑地看着[陈子墨]。
0:32:38|0:32:44|[陈子墨]则是发现女人在看他后，面无表情地低下头继续弹琴。
0:32:44|0:32:49|女人见状也没有任何的不满，而是将视线移回到自己儿子身上。
0:33:7|0:33:15|[岑子默]先是瞪大眼睛，愣了一下，接着他的眼眶逐渐发红，然后对着[林翔]咧嘴笑了一下。
0:33:15|0:33:18|自此，[岑子默]终于重新回归组织。
0:33:18|0:33:26|另一边，阴暗的牢房里，[梁栋]大步走在最前方，后面跟着山崎大佐和一群日本官兵。
0:33:26|0:33:36|他们来到一间牢房，里面关着的是[贺兰芳]和同伴们，他们跪在地上，双手被反捆在身后，他们抬眼看向走入牢房的人，眼神不卑不亢。
0:33:37|0:33:45|[梁栋]看了看跪在地上瞪大双眼的[贺兰芳]，然后收回眼神，恭敬地向山崎大佐递上照片。
0:33:45|0:33:49|山崎大佐拿着照片开始对比，接着看向一个男生。
0:33:52|0:33:58|手下立马将男生拉了出去，山崎大佐又翻开另一张照片，下令将一个女生带走。
0:34:35|0:34:45|手下的官兵直接将两人拉了出去，[梁栋]在一旁冷漠地看着这一切，而此时，跪在地上的[贺兰芳]早已泪流满面。
0:34:45|0:35:2|山崎大佐又拿起照片一张张翻阅，日军将牢房里仅剩的[贺兰芳]从地上拉起，山崎大佐在他面前拿着照片一张张对比，站在一旁的[梁栋]突然笑了，他缓步走向[贺兰芳]，直接伸手扇了一巴掌，目光凶狠地说着。
0:35:13|0:35:19|[梁栋]说完，对着[贺兰芳]狠狠一推，日军接住后将[贺兰芳]押了出去。
0:35:19|0:35:28|此时，牢房里只剩下[梁栋]和山崎大佐，[梁栋]对着他深深地鞠了一躬，山崎大佐则是没有理会，直接离去。
0:35:28|0:35:43|[梁栋]直起身后，看着他离开的背影若有所思，[贺兰芳]一个人从巡捕房里出来，她双手握拳抱在胸前，衣服已经被鲜血浸透，嘴角也残留着大块的血痂，双目无神地走在大街上。
0:35:43|0:35:52|这时，一辆军用大卡车从她身边开过，[贺兰芳]向卡车望去，上面竟是被日军压着的同伴们。
0:35:52|0:35:59|同伴们跪在车上，三个日军拿枪对着他们，[贺兰芳]再也忍不住了，她流着眼泪追着卡车喊道
0:36:9|0:36:16|[贺兰芳]在街上一边大喊一边追着卡车，车上伤痕累累的同伴们绝望地看向她
0:36:16|0:36:26|她看着同伴们也流下自责的泪水，原本事情的起因就是自己，现在自己得救了，却要让同伴代替自己去死，愧疚地心里折磨着她
0:36:27|0:36:30|[贺兰芳]大步地跑着，却怎么也追不上卡车
0:36:30|0:36:37|此时，[梁栋]也从巡捕房里出来，他飞快地跑向[贺兰芳]，并将她紧紧拢入自己的怀中
0:36:37|0:36:45|卡车在[贺兰芳]的视线中慢慢消失不见，[贺兰芳]猛地挣脱开[梁栋]的怀抱，二人相视无言
0:36:45|0:36:49|接着，[贺兰芳]狠狠甩了[梁栋]一个耳光，并朝他大骂道
0:36:54|0:36:58|[贺兰芳]骂完，又朝着卡车的方向追了出去
0:36:58|0:37:3|而[梁栋]听了这番话，仿佛被定格在原地，久久缓不过神来
0:37:3|0:37:8|原来，哪怕自己救了[贺兰芳]，也改变不了自己在他心中的形象
0:37:8|0:37:12|过了一会儿，泪水盛满他的眼眶，却倔强地没有掉下来。
0:37:12|0:37:18|[梁栋]抿着的嘴唇缓缓张开，像是在平复心情一般吐着粗气。
0:37:18|0:37:25|次日，在荒无人烟的街上，男同志给[兰芳]下达指令，上级派来了一位同志。
0:37:34|0:37:42|接到任务的[兰芳]换了一身高雅的长款大衣，在化妆镜前描着眉，又将口红涂在嘴上。
0:37:42|0:37:50|[兰芳]化完妆，拿起一张纸条，上面写着，下午五点，晨光照相馆，方斌中路48弄4号。
0:37:50|0:37:59|她将内容熟记，然后提起茶壶，把纸条扔进了火炉里，又在桌上拿起一款包包准备出门。
0:37:59|0:38:2|谁知刚打开门，[梁栋]就拿着花在门前站着。
0:38:5|0:38:18|[兰芳]将[梁栋]手里的花墙走，扔在了地上，抬腿想要往出走，可[梁栋]则是拉住她的手腕，[兰芳]极力睁开，二人来到一处荒草前，[梁栋]开口说道。
0:38:18|0:38:36|他们几个都被日本人拍下来了，没有人能救他，眼前闪过，当时[梁栋]将[兰芳]照片撕碎的场景，[兰芳]站在同伴们简易的幕前，耳边回荡着他们之前所说的话。
0:38:51|0:38:58|[兰芳]从凉冻手里接过花，蹲下身子将花放在了墓碑前，一滴泪水滑过她的脸庞。
0:39:5|0:39:14|说完，[贺兰芳]转身就离去了，[梁栋]只身站在荒芜人烟的荒草中，只有旁边那一棵长满叶子的树立在这里。
0:39:14|0:39:24|[贺兰芳]按照约定来到晨光照相馆，她在街边看了看牌匾，然后走到门口敲了敲门，可敲了一会儿之后，还是没有人来开门。
0:39:24|0:39:31|她试探着推开门走了进去，然后将门随手关上，屋内的东西摆放得极其艺术化。
0:40:41|0:40:48|[贺兰芳]被[大猫]按着坐了下来，她深吸一口气，静静地看着[大猫]接下来的动作。
0:41:7|0:41:19|[贺兰芳]局促地整理着自己的头发和衣服，[林翔]从裤子口袋里掏出一个戒指，拉过[贺兰芳]的手，将戒指套在她的无名指上，[大猫]看着也会心地笑了一下。
0:41:30|0:41:35|[大猫]在相机框里看着[贺兰芳]的表情十分呆滞，忍不住出声调侃道。
0:41:53|0:42:2|可惜照片出来时，[贺兰芳]还是面无表情呆滞地坐着，而一旁的[林翔]则是面带微笑，看起来心情很是不错。
0:42:2|0:42:16|二人来到[林翔]的住所，[林翔]在整理着床铺，他扭头看向[贺兰芳]，此时[贺兰芳]拿起刚倒好的水杯准备转身，谁知她一转身就看到了[林翔]，[林翔]见状轻声说道。
0:42:28|0:42:42|说完，[林翔]静止走向书桌前，他将一个类似收音机的木质小型电台抱在怀里，然后推开了屋子里的门，观察了一番后，对着[贺兰芳]嘘了一声，示意让她安静。
0:42:44|0:42:50|紧接着，[林翔]走出房门，在楼道口脱下拖鞋，光着脚走上了阁楼。
0:42:50|0:42:54|他走到一半时，扭头看向[贺兰芳]，并对她点了点头。
0:42:55|0:43:0|[贺兰芳]看着他走上阁楼，然后转身回到屋内，并将房门关上。
0:43:0|0:43:6|回到屋子里的[贺兰芳]坐在床上，她将大衣脱下，整理好之后放在了床尾。
0:43:6|0:43:14|阁楼上的[林翔]带着耳机接通好电台，拿着一张写满字的纸条，就开始向外界传递消息。
0:43:14|0:43:18|就这样，二人假扮夫妻度过了平静的第一个晚上。
0:43:19|0:43:24|第二天一大早，[林翔]从阁楼下来回到了屋内。
0:43:24|0:43:27|在床上睡觉的[贺兰芳]听见响声，赶紧起身。
0:43:27|0:43:33|哪怕已经睡了一觉，[贺兰芳]还是整齐地穿着大衣里的内衬。
0:43:33|0:43:41|[林翔]将木制小型电台机放在桌上后，抬头看了看窗外，然后走到床前，[贺兰芳]看着他的脸庞。
0:43:44|0:43:49|这时，[林翔]伸出手指向床上的枕头问道。
0:43:57|0:44:3|[林翔]拿着枕头走向屋子的另一处，[贺兰芳]看他走后，又躺在了床上。
