0:1:58|0:2:3|可在[凉夏]回家的路上，被暗恋自己已久的[茅亮]表白了。
0:19:21|0:19:26|闺蜜摊开左手，用手指了指挂在墙上的合照。
0:19:26|0:19:32|[凉夏]一屁股坐在床头，手却拍在了平板上。
0:19:32|0:19:37|吓得[凉夏]立刻收回手，她疑惑地拿起平板看着，闺蜜则教她如何使用。
0:19:46|0:19:51|随后，她将平板拿至胸前，闺蜜便拉起她的手放在起始键上。
0:20:1|0:20:7|紧接着，[凉夏]脱掉礼服，换上一身休闲装，面向镜子梳理头发。
0:20:7|0:20:15|趴在墙上遮住双眼的闺蜜，缓缓转过身。
0:20:15|0:20:17|她装起平板背上包向外走去。
0:20:31|0:20:37|二人玩得正开心时，[茅亮]打开房门走了进来，[凉夏]比着叶缓缓转身。
0:20:37|0:20:41|随后，二人决定好好地聊一下。
0:20:41|0:20:44|[凉夏]盘腿坐在[茅亮]的对面看着他.
0:21:4|0:21:7|[茅亮]被访问的有些不知所措。
0:21:29|0:21:36|说完，[凉夏]便站起身，双手撑在桌上。
0:21:36|0:21:41|紧接着，她转身拿包就走。
0:21:41|0:21:48|[茅亮]紧皱眉头，看向[凉夏]离去的方向，就在这时，她的手机响了起来。
0:21:48|0:21:52|另一边，坐在出租车上的[凉夏]，边盘头发边欣赏路边的景象。
0:22:23|0:22:25|[凉夏]立刻转头看向闺蜜。
0:22:32|0:22:41|强烈的古典渲染了人群，整个场地闪烁着霓虹灯光，舞池中站着不同装扮的人，他们跟随音乐晃动着自己的身躯。
0:22:52|0:22:58|随后，她站在人群前，跟随音乐不停地跳动，双手还邀请其他人一起来。
0:22:58|0:23:3|很快，其他人都被她的舞蹈所吸引，不自主地扭动起来。
0:23:3|0:23:5|闺蜜在一旁害羞得无处恋。
0:23:5|0:23:9|可没一会儿，他便加入到了[凉夏]的舞蹈中。
0:23:9|0:23:15|两人魔性的舞蹈不断地影响着周围的人，他们都在学习着[凉夏]和闺蜜的舞蹈。
0:23:15|0:23:21|不一会儿，一小部分人就学会了，他们站在[凉夏]的身后舞动着身躯。
0:23:21|0:23:29|而此时的[凉夏]越跳越嗨，极力感染着每一个人，他自己都没想到，会带动这么多人一起跳他们的社歌。
0:23:29|0:23:32|很快，在场的每个人都掌握了舞蹈。
0:23:35|0:23:41|他们跟随音乐在舞池里不停地跳动，虽然每个人身着奇装异服，但跳起舞来却异常和谐。
0:23:43|0:23:56|此刻的两下，伴随着动感的节拍，跳动轻快的脚步，绽放着灿烂的笑容，浑身散发着青春的朝气，展示着运动中的美丽，体验着舞蹈带来的乐趣。
0:23:56|0:24:6|17岁的她无拘无束，丝毫不在乎别人对她的看法，活成了自己想成为的模样，闺蜜在她的带领下，也逐渐放飞自我。
0:24:6|0:24:11|二人仿佛回到了年轻的时候，肆意张扬，无所畏惧。
0:24:11|0:24:21|音乐结束后，[凉夏]兴奋地仰头朝天呐喊，在场的所有人都高举双手为他鼓掌，他激动地跟身边的人去击掌。
0:24:21|0:24:32|另一边，[茅亮]在办公室里不停地翻找着什么东西，旁边的女同事在一起帮他寻找。
0:24:32|0:24:43|[茅亮]双手插腰，紧皱眉头叹口气，[凉夏]和朋友聚在一起开怀畅饮，手机却响了起来。
0:24:43|0:24:47|[茅亮]挂断电话后，无意间看到了[凉夏]的朋友圈。
0:24:47|0:25:4|每张照片上都是[凉夏]和刚认识朋友的合照，她气愤地关掉手机，扔向旁边的桌上。
0:25:4|0:25:6|[凉夏]从包里拿出平板，放在胸前。
0:25:12|0:25:19|突然，平板被黄毛男抢走，[凉夏]非但没有生气，反而更开心。
0:25:19|0:25:29|刚发泄完，[凉夏]就变得萎靡不振，眼前还出现幻影，她目光呆滞地看着头顶不停闪烁的灯光，耳边传来嗡嗡声。
0:25:29|0:25:32|就在这时，闺蜜突然出现在她的身后。
0:25:45|0:25:57|[凉夏]一脸迷茫地观察周围，紧接着，闺蜜狂吐不止。
0:25:57|0:26:2|此时的[凉夏]更加疑惑，而闺蜜后知后觉地反应过来。
0:26:2|0:26:8|她抬起头，仔细地观察着[凉夏]，并捏起她的脸说道。
0:26:21|0:26:25|闺蜜手舞足蹁地描绘战。
0:26:43|0:26:50|就在这时，[凉夏]的手机响了起来。
0:26:50|0:26:57|[凉夏]胆战心惊地接起电话，将手机放在耳边。
0:27:6|0:27:10|紧接着，[凉夏]将包里的东西全部倒在地上，不停地翻找。
0:27:17|0:27:21|[凉夏]不知所措地看向闺蜜，随即向闺蜜走去。
0:27:43|0:27:49|基于解决问题的[凉夏]，被闺蜜说得一头雾水。
0:27:49|0:27:54|此时，二人坐在出租车里，[凉夏]疲惫地晃动脑袋。
0:28:13|0:28:19|司机一把抓住[凉夏]，闺蜜不甘心地跟他纠扯，却还是被他拿走了几张。
0:28:19|0:28:28|为了[凉夏]的幸福，闺蜜算是豁出去了，出租车来回地在十字路口紧急刹车，使车内的二人由于惯性猛地向前倾去。
0:28:28|0:28:33|多次实验，让二人筋疲力尽，待车子停下后，[白晓柠]立刻扶住下巴。
0:28:46|0:28:56|只见一辆宝马车飞驰而来，她稳稳地停在出租车的正前方。
0:28:56|0:29:1|[白晓柠]向老公使出糖衣炮弹，两人疯狂点头。
0:29:6|0:29:9|司机看了看她手里的钱，再看向正前方的宝马车。
0:29:21|0:29:27|还没等司机开心地数钱，一辆警车快速停到两辆车之间。
0:29:51|0:29:57|女警察打开门，[茅亮]缓缓地走进审讯室，她无奈地看向[凉夏]。
0:29:57|0:30:2|[凉夏]羞愧地低下头，瞬间红了眼眶，审讯的警察见状便起身离开。
0:30:3|0:30:9|警察走到[茅亮]身边，还特别叮嘱一番，[白晓柠]见状，也起身离开。
0:30:18|0:30:26|[凉夏]低下头，眼泪在眼眶中打转，随后，[茅亮]递出纸袋，[凉夏]接过他手里的东西。
0:30:34|0:30:46|[凉夏]不知所措地看向一边，此后，他将手伸进怀里的袋子，从盒子里拿出一颗巧克力，打开包装将其送入口中，目光呆滞地咀嚼着。
0:30:49|0:30:56|此时，[凉夏]的手放在嘴边，不住地颤抖，眉头紧锁，睫毛也被眼泪打湿。
0:30:56|0:31:1|情绪几乎崩溃的她一把抱住[茅亮]，生怕他下一秒就会离开。
0:31:1|0:31:3|[茅亮]也耐心地安慰她。
0:31:22|0:31:31|[茅亮]不停地抚摸着他的头安慰着，还沉浸在伤心中的[凉夏]，丝毫没有注意到他的身体在悄悄地发生变化。
0:31:31|0:31:36|眼泪挣扎着涌出了眼眶，泪水止不住地流淌。
0:31:36|0:31:41|紧接着，他突然睁开双眼，感觉到自己是被人抱着后，一把将[茅亮]推开。
0:31:46|0:31:57|说完，他走向门外，途中还将[茅亮]狠狗地撞了一下，[茅亮]还没反应过来，手机却响了起来。
0:32:3|0:32:14|随后，他笑着转身离去，愤怒不已的[茅亮]立刻追了上去，躲在门外的闺蜜一脸震惊地看向[凉夏]消失的地方，紧接着，他直接走进审讯室里。
0:32:16|0:32:25|[茅亮]根据定位寻找着平板。
0:32:25|0:32:29|[茅亮]跟随导航，经一脚踩空，整个人直接掉了下去。
0:32:29|0:32:35|他继续寻找，却走进了垃圾堆，不敢相信地他再次看向手机。
0:32:35|0:32:37|他抬眼就看见乞丐身旁的包。
0:32:49|0:32:59|[茅亮]机智地躲在树后逃过一劫，紧接着，他将包里的东西全部倒出，仔细翻找。
0:32:59|0:33:7|他沿着导航继续寻找，却看到老板正在用力地剁肉。
0:33:51|0:33:58|[茅亮]将钱直接递到老板手里，生怕他会后悔，可老板拿过钱，利索地拿起刀，用刀柄砸向平板。
0:34:1|0:34:7|老板将平板扔到[茅亮]怀里，他小心地打开平板，不知所措地愣在原地。
0:34:7|0:34:17|另一边，[凉夏]精致的妆容搭配简练的短发，身穿豹纹毛衣外套，戴着卯钉项圈，坐在地铁上好奇地望着周围。
0:34:17|0:34:22|旁边的小伙子在玩手机，他连忙凑上去，被嫌弃后，他自顾自地笑着。
0:34:22|0:34:25|就在他打亮着周围时，两名男子走上地铁。
0:34:26|0:34:31|她用余光扫到其中一名男子的侧脸，没想到竟被吸引住。
0:34:31|0:34:37|见男子转头，她立刻收回目光，缩在椅子里，偷偷地看。
0:34:37|0:34:48|17岁的[茅亮]夏情窦初开，男子的脸让她久久不能忘怀，于是她决定将这一刻记录下来，接着她从背包里拿出化妆袋和草稿本。
0:34:48|0:34:53|准备好后，她偷偷看向男子，将他的轮廓记在心里，画在草稿本上。
0:34:54|0:35:0|他简单地勾勒，笔触流畅，很快，男子的大体轮廓就出现在纸上。
0:35:0|0:35:9|接着，他用眼影给画上色，可就在他想进一步观察时，却对上了他的眼神，于是，他尴尬地将头埋进了草稿本内。
0:35:10|0:35:29|男子见她一脸害羞，不自觉地嘴角上扬，眼神躲闪，极力伪装着自己的情绪，可她的小动作早已被身旁的同伴一眼识破，同伴见怪不怪，无奈地摇头，此时的[凉夏]拨开刘海，斜视她，男子也用余光注意到了[茅亮]在看自己。
0:35:29|0:35:43|害羞地将头转到了另一边，[凉夏]捂着嘴巴收敛情绪，继续作画，可再次抬头观察时，男子居然开心地笑了起来，[凉夏]也用微笑回应她。
0:35:43|0:35:48|就在这时，[凉夏]的头部出现一阵眩晕，她立即闭上眼睛缓解。
0:35:48|0:35:54|然而，男子的同伴还拿出手机抓拍她，男子见状立刻伸手拦截。
0:35:54|0:35:59|紧接着，[凉夏]缓缓睁开双眼，她看着周围陌生的一切，不由得紧张。
0:36:0|0:36:6|突然，他从对面的镜子上注意到自己的短发，一脸震惊地摸着头发。
0:36:6|0:36:10|这时，男子发现了他异常的举动，紧皱眉头观察他。
0:36:10|0:36:17|两下注意到异样的眼光后，拿下假发选择离开，腿上的草稿本滑落在地。
0:36:17|0:36:22|当他经过男子身边时，竟被拦住，男子暗示他，却被他忽略了过去。
0:36:22|0:36:40|一旁的同伴见状，立即捡起掉落的草稿本扔给男子，可男子还是晚了一步，地铁门戛然关上，想叫住他，却又不知道他的名字，无奈只能趴在车窗上，看着他离开的背影，他失望地看向同伴，随后，他低下头翻开草稿本。
0:36:40|0:36:50|里面是一张完整的肖像画，小[凉夏]用色彩描绘出他的阴暗面，使整个画面变得更加立体，他看着画，不由得嘴角上扬。
0:36:56|0:37:1|公司内，上级翻阅着破裂平板内的设计图，[茅亮]灰头土脸地站在旁边。
0:37:3|0:37:4|说完，他就拿出手机开始寻找。
0:37:40|0:37:45|[茅亮]接过手机就翻着微博，没想到翻出[凉夏]的照片，他瞪大双眼。
0:38:0|0:38:21|高总收回手指，笑着看着[茅亮]，而此时，[茅亮]不知所措地站在原地。
0:38:21|0:38:28|当时她走到审讯室里，地上一片狼藉，她拿起地上包着巧克力的包装纸放在鼻子前闻了闻。
0:38:49|0:38:57|闺蜜摊开手看向桌上的巧克力，[凉夏]依依不舍地看着闺蜜手中的巧克力。
0:39:2|0:39:8|这时，[凉夏]的手机响了，来电显示让她瞬间紧张。
0:39:11|0:39:17|餐厅里，[凉夏]拿着化妆镜整理碎发，随后她调整耳钉，时不时看下门口。
0:39:17|0:39:26|没多久，[茅亮]缓缓向她走来，[凉夏]收起化妆镜，抬头微笑，[茅亮]也不计前嫌地打着招呼。
0:39:38|0:39:53|二人纷纷落座，可对面的[凉夏]却显得心神不宁，眼神也飘忽不定。
0:39:53|0:39:56|[茅亮]随即翻出微博，将手机放到[凉夏]面前。
0:40:0|0:40:4|[凉夏]看到内容后，尴尬地笑了笑。
0:40:4|0:40:8|此后，紧紧盯着他的[茅亮]，划开了第二张照片。
0:40:8|0:40:13|此时的[凉夏]心里一凉，伸手将手机反扣在桌上。
0:40:13|0:40:16|紧接着，他将头埋进怀里，深叹一口气。
0:40:16|0:40:20|[茅亮]见他如此为难，便失望地开口说道。
0:40:28|0:40:37|说完，[茅亮]准备吃饭，[凉夏]落寞地低头不语，助理随即从包里拿出文件。
0:40:37|0:40:43|[茅亮]接过手就开始浏览，而这时，[凉夏]的手臂冲在桌上观察着二人。
0:40:50|0:41:5|助理满眼期待地注视[茅亮]，[凉夏]则打翻了醋坛子，他边生闷气边伸手抓起盘子里的干果一把塞进嘴里，此时他十分委屈。
0:41:13|0:41:26|[茅亮]不可置信地抬头看向他，两下紧皱眉头看向[茅亮]，随后他从随身携带的包里拿出眼影和眉笔，再将餐巾纸平铺在桌上。
0:41:26|0:41:36|可就在他拿起笔准备作画时，他却无从下手，他紧张地盯着空白的纸巾，极力想平复自己的情绪，却始终画不下去。
0:41:41|0:41:48|说吧，她拿起手提包快步走向卫生间，刚进卫生间就遇到了保洁阿姨。
0:41:48|0:41:52|两下敷衍地应和着，边走边拿出手机。
0:41:52|0:41:56|她将包放在洗手台上，同时观察四周是否有他人的身影。
0:41:56|0:42:0|在确定无误后，她便打开手机录像功能。
0:42:13|0:42:18|说完，他将手机放回提包里，再拿出口红，在对面的镜子上写着什么。
0:42:18|0:42:24|做完这一切，他拿出巧克力放在眼前，并期待着他能帮自己扳回一局。
0:42:24|0:42:27|随后，他闭上眼睛，将巧克力直接塞进嘴里。
0:42:28|0:42:33|此刻的时间是3月2号，周三，下午7点32分。
0:42:33|0:42:37|待他吞下巧克力后，便睁开眼睛看着镜中的自己。
0:42:37|0:42:44|这时，他身后出现披着头发的[茅亮]，他正缓慢地走向自己，并依附在自己的身上。
0:42:45|0:42:54|[茅亮]瞪大眼睛欣赏镜中的自己，可就在她开心的扭动时，却发现镜子上竟写着看手机三个字。
0:42:54|0:43:1|她一脸不情愿地拿起放在洗手台上的手机，将视频点开。
0:43:1|0:43:8|随后，她大摇大摆地来到饭桌前，将手提包扔向一边，酷拽地坐在凳子上。
0:43:8|0:43:12|[茅亮]满脸疑惑与助理对视一眼，紧接着翻出微博。
0:43:13|0:43:24|[凉夏]接过手机，仔细观察，从微博ID发现对方的姓名。
0:43:24|0:43:27|[茅亮]宇助手被她问得晕头转向，[凉夏]收起窃喜的表情。
0:43:30|0:43:36|他一路小跑奔向门外，[茅亮]目光紧随他的背影，却始终没有开口。
0:43:36|0:43:45|喧闹的城市在寒冷的空气中安静下来，公路两旁的灯光好像受到了感染，发着微弱的光芒，炎炎在这[凉夏]飞驰在路上。
0:44:1|0:44:8|随后，二人来到建筑工地，妍妍拉起[凉夏]就往里面跑。
0:44:8|0:44:15|放眼望去，高大的建筑物蔚然耸立，夜色下，未建成的高楼显得分外沉寂肃穆。
0:44:15|0:44:22|妍妍从身后蒙住[凉夏]的眼睛，二人同时向前走，边走边依偎在她的耳边说道。
0:44:25|0:44:31|此时，[凉夏]迈着小碎步前进，他紧张地扶着妍妍的手臂，却又期待地笑了。
0:44:31|0:44:36|就算踩到伊拉冠，他也不怕摔倒，他知道[凉夏]会保护他。
0:44:36|0:44:49|随后，[凉夏]放开蒙住他眼睛的双手，他小心地睁开眼，却在看清楚的那一刻大为震惊，整座城市的全貌映入眼帘，不远处还晃动着三束聚光灯。
0:44:54|0:45:0|被受感动的[茅亮]将头转向一边，她看向城市，激动地笑着。
0:45:0|0:45:5|[凉夏]则宠溺地将她拥入怀中，紧贴她的脸，一同欣赏美景。
0:45:5|0:45:9|此刻的[茅亮]很不自在，下意识地躲闪着。
0:45:9|0:45:13|此后，[凉夏]让她与自己面对面，她却期待着[凉夏]的下一步动作。
0:45:16|0:45:27|言言深情地表白，令[茅亮]心花怒放，她看着言言的双眼，下一秒却害羞地将头低下，紧接着，二人紧紧相拥，看向此刻属于他们的美景。
0:45:27|0:45:47|[茅亮]满脸幸福地将头埋在她的怀里，不一会儿，言言双手抚摸着[茅亮]的头发，[茅亮]则含情脉脉地看向她，就在言言准备亲上去时，[茅亮]闭上了双眼，可还没等亲上去，下面一束聚光灯打在了二人的脸上，二人紧皱眉头，
0:45:47|0:45:49|看向聚光灯的方向。
0:45:49|0:45:53|[茅亮]在看到警车后，动大双眼询问[凉夏]。
0:46:1|0:46:7|随后，身处警察局的[凉夏]，坐在凳子上瑟瑟发抖，她裹紧衣服观察着周围的一切。
0:46:7|0:46:11|妍妍则坐在身边，紧靠墙壁打量着她。
0:46:11|0:46:12|突然，她开口说道。
0:46:16|0:46:20|言言搭上她的肩膀摇了摇头。
0:46:20|0:46:29|[凉夏]虽然得到了肯定的答案，她还是担心，她不安地来回走动着。
0:46:35|0:46:47|[凉夏]迫切地想打开房门，但妍妍并非如此，她淡定地走向[凉夏]，一把拉开她，将她紧靠房门，毫无防备地吻了上去，她毫不留情地在她的唇上反复揉练。
0:46:47|0:46:54|[凉夏]被突如其来的吻给吓到，但很快便接受，她闭上双眼，享受着这个吻。
0:46:54|0:47:0|二人双手接触的那一刻，她握紧了妍妍的手，就在这时，五小时倒计时截止。
0:47:6|0:47:14|说完，他看向旁边挂在墙上的钟表，此时的时间是零点三十分。
0:47:14|0:47:17|[凉夏]紧张地低下头，这时，严严忍不住询问。
0:47:26|0:47:33|警察正准备告诉[茅亮]实情时，却看到女警察带着[凉夏]向二人走来，她欲言又止，只能再一次叮嘱。
0:47:38|0:47:44|说完，两位警察想起离开，[茅亮]始终不明白警察最后的叮嘱是什么意思。
0:47:44|0:47:48|他紧皱眉头看向[凉夏]，这时，严严也走了出来。
0:47:48|0:47:51|他站在门口看着[凉夏]的背影，内心有很多疑问。
0:47:58|0:48:3|[凉夏]自责地将衣服往上拉，直至整个脑袋都包裹在里面。
0:48:18|0:48:25|说完，[茅亮]通过后视镜观察着他的动作，而后排的[凉夏]不可置信地抬头看向他。
0:48:25|0:48:32|第二天，[凉夏]怀着愉悦的心情从床底拉出一个箱子，再直接打开盖子，拿出里面的素描素写本。
