0:2:29|0:2:34|[李行]说完盯着她弩了弩嘴，女孩被这一举动逗笑了。
0:36:4|0:36:15|[李行]看了看手中的礼物笑了起来，接着他拿着礼物从沙发站起来假装四处看看，趁[何俏俏]不注意，猛地从她面前小跑过去。
0:36:18|0:36:25|[何俏俏]扭头注视着[李行]，对方脚步不停地走了出去，随着[李行]离去，[何俏俏]表情懊悔，猛地摇起头来。
0:36:26|0:36:31|舞台灯光亮起，厨王争霸赛开始了。
0:38:42|0:38:48|场上掌声不断，比赛对手也鼓掌称赞。
0:38:55|0:39:6|[何俏俏]非常开心，她从书包里拿出相机，站在电视机前对着自己和[李行]取景。
0:39:6|0:39:22|[何俏俏]抓住瞬间按下快门和电视中的[李行]自拍，演播厅外[何俏俏]背着书包赶来节目录制现场，她穿过走廊来到后台，开心的她却被一场对话拦住了。
0:39:57|0:40:5|[何俏俏]因大声嘶喊有些难受。
0:40:52|0:41:0|[何俏俏]坐在路边伤心，突然[李行]打来电话。
0:41:30|0:41:40|[李行]开心地挂断电话，[何俏俏]有些慌乱，赶紧回拨给[毛毛]。
0:42:22|0:42:29|大家闻言起哄鼓掌起来，[周蕊]看到这一幕十分开心。
0:43:17|0:43:25|[李行]转身用身体压着[毛毛]。
0:43:42|0:43:49|[李行]趴在[毛毛]身上。
0:43:49|0:43:58|二人又将手摁在了一起，[周蕊]非常吃惊，因为她看到[李行]靠着[毛毛]的腰来支撑，最终[李行]坚持不下，侧身倒地。
0:43:58|0:44:7|胜负已出，[毛毛]正起身，一脸不可置信。
0:46:37|0:46:43|[何俏俏]刚要亲上[毛毛]，却被一阵惊呼系列，原来[李行]与[周蕊]在热吻。
0:46:57|0:47:5|又就是谢了，嗯好嘞优势马上送上，耶唉快点快点。
0:47:5|0:47:12|大家干杯时，[李行]偷偷看着[何俏俏]。
0:47:22|0:47:30|朋友们相继离去，只剩下[何俏俏] [李行]及他们的伴侣。
0:47:32|0:47:39|[李行]有些疑惑，他看了一下身边的[周蕊]，上前与[毛毛]握手。
0:47:41|0:47:47|[周蕊]挥手与[何俏俏]告别。目送[李行]上车后。
0:47:49|0:47:57|[何俏俏]的表情瞬间冷了下来，[毛毛]与[何俏俏]站在路边看着轿车缓缓离去。
0:48:25|0:48:30|工作人员有条不紊地摆放着[何俏俏]的作品，[毛毛]催促她签字。
0:48:30|0:48:32|可是她却盯着前方发呆。
0:48:32|0:48:39|原来这是一幅画。
0:48:43|0:48:57|[毛毛]走到[何俏俏]身边，转头看向面前的画，海平线将画面一分为二，上面是天，下面是海，[何俏俏]就这么静静看着。
0:49:27|0:49:31|手机响起，是[李行]发来了信息，他觉得[毛毛]十分不错。
0:49:31|0:49:38|有人能陪着[何俏俏]，他也能安心了。[何俏俏]看一下[毛毛]，生气地把手机扔到地上。
0:49:38|0:49:47|[毛毛]趴在地上捡回手机，[何俏俏]回到[李行]婚房，收拾衣服时，手机再次响起，[毛毛]发来信息。
0:49:47|0:49:55|告诉[何俏俏]，潮水虽然退去，但是过几个小时又会涨潮，[何俏俏]下巴靠着手机，似乎在想着什么？
0:49:55|0:50:8|她放下手机收拾行李，外面传来开门声。
0:50:13|0:50:29|[李行]听后有些慌张，扭头看向楼上的[何俏俏]，她默默低下了头。
0:50:34|0:50:42|夜晚的胡同里格外安静，[何俏俏]和[李行]并排走在胡同里。
0:50:44|0:50:57|二人看向路边的餐厅，门牌上写着红叶石楠4个字，[李行]看向[何俏俏]，大步向餐厅走去，[何俏俏]愣了一会儿，也跟了过去，时间回到了5年前。
0:50:57|0:51:5|那是他们分手的时候，当天下着瓢泼大雨，[李行][何俏俏]打的一把伞来到餐厅。
0:51:8|0:51:15|[李行]大口喝着北冰洋汽水，[何俏俏]有一口没一口吃着凉菜，似乎有心事。
0:51:16|0:51:20|[李行]边吃凉菜，边看向身旁的[何俏俏]，满脸幸福。
0:51:25|0:51:33|老板闻言进屋，[李行]，趁机起身走到[何俏俏]身边，[李行]清了清嗓，突然单膝下跪。
0:51:45|0:51:51|[李行]说完缓缓掏出一枚戒指。
0:51:52|0:52:1|[何俏俏]视线在戒指与[李行]脸上徘徊，[李行]满脸期待地看着对方。
0:52:39|0:52:47|[何俏俏]欲言又止，她拿过戒指仔细观察。
0:53:52|0:53:59|他闻言立刻扭头，眼睛盯着天花板，[何俏俏]则面无表情地目视前方。
0:54:7|0:54:15|餐馆外大雨瓢泼，[何俏俏]从里面跑了出来，强忍的情绪突然爆发，雨水和泪水混在一起。
0:54:15|0:54:18|她捂着嘴离开了了。
0:54:18|0:54:25|时间回到现在，餐馆老板从精致木盒中拿出二人分手时地合同。
0:54:36|0:54:45|老板闻言笑了笑将手里的合同递了过去，二人看着桌上的合约，又看向对方。
0:54:45|0:54:52|[何俏俏]突然拿起合约直接将其撕掉，老板皱了皱眉。
0:55:0|0:55:5|老板闻言无奈地双手抱胸，[何俏俏]看向[李行]。
0:55:31|0:55:39|眼眶发热，泪水在眼睛里打转，她扭头看向[李行]，对方也盯着她。
0:55:40|0:55:48|餐馆老板闻言低头，[何俏俏]顿了顿，努力控制着情绪。
0:56:5|0:56:12|[何俏俏]起身离开，[李行]拦住她，拿起桌上的信封。
0:56:13|0:56:22|[何俏俏]没说话，眼泪即将夺眶而出，[李行]将她按回座位。
0:56:27|0:56:33|南师傅从[李行]手里接过信封，打开看了一眼乐了出来。
0:56:34|0:56:51|接着递给坐着的[何俏俏]，[何俏俏]定睛一看，瞬间愣住了，原来这是一张结婚请柬，上面印着[何俏俏]与[李行]的名字，她不可置信的看向[李行]。
0:57:16|0:57:24|[何俏俏]对眼前的一切大感意外，她追问道：
0:57:47|0:57:53|[何俏俏]侧头吸了一下鼻涕，随即又和[李行]对视起来。
0:58:17|0:58:35|面对[李行]，[何俏俏]又恢复了她的小脾气，[何俏俏]白了[李行]一眼，扭过头去躲避目光。[何俏俏]转过头委屈地看着[李行]，[李行]想故伎重施，伸出双手却被对方躲开。
0:58:40|0:58:47|巷子外，[李行]追上[何俏俏]，将她一把拉住，二人在树下对视着。
0:58:48|0:58:59|[李行]望着[何俏俏]的眼睛说道：[何俏俏]听完想要挣脱，却被对方霸道拉回，接着[李行]吻了上去。
0:59:1|0:59:6|时间仿佛被静止，[李行]的双手也缓缓攀上对方的腰肢，。
0:59:7|0:59:16|电梯门缓缓打开，缠绵的二人从里面走出来，[何俏俏]想要逃跑，却被[李行]一把抓住，她如同一只小羊。
0:59:16|0:59:23|被按倒在房门外，压抑5年的感情在这一刻得到了宣泄，两人开心地在走廊里追逐着。
0:59:24|0:59:30|[李行]在房门前拦住[何俏俏]，对他认真的说道：
0:59:37|0:59:52|[何俏俏]隔着钥匙亲了[李行]一口，接着打开房门，[李行]再次吻了上去。想要钻进门，却被对方拒绝。
0:59:57|1:0:15|她开心地靠着墙打滚，仔细回想就最近发生了种种事件，她又忍不住笑了起来，她感到前所未有的开心，突然她翻开挎包，拿出手机，拨通[毛毛]的电话，迫不及待地想和对方分享心情。
1:0:43|1:0:53|[李行]走向正在办理手续的[毛毛]，猛地一下拿走了他的包，[毛毛]上前追赶，发现对方在等他。
1:1:22|1:1:28|她坐在沙发上突然打了个喷嚏，咳嗽起来，她右手捂着嘴。
1:1:35|1:1:41|[何俏俏]看向手心里的一滩血放在原地，她嘴唇发白，左手举着电话艰难地呼吸着。
1:1:42|1:1:48|前一秒还开心的她仿佛换了个人般，突然悲伤起来。
1:1:58|1:2:6|无声中挂断了电话，坐立不安的[何俏俏]有些慌张地看向门口，画面随着她的扭头渐渐隐去。
1:2:14|1:2:23|[李行]低头做着料理，看不出他的情绪，[何俏俏]来到了北京大学首钢医院，诊室里，医生看着[何俏俏]的检查报告。
1:2:23|1:2:30|坐在对面的她表情让人十分心疼，医生叹了口气说道，[何俏俏]不说话。
1:2:48|1:2:54|无依无靠地[何俏俏]，拿着药品流下泪水。
1:3:11|1:3:23|她背对着镜头看不到脸上的任何表情。
1:3:25|1:3:32|傍晚[何俏俏]心事重重地走在人行道上，她看起来十分孤独。
1:3:35|1:3:41|[李行]暂时离开庆功会，掏出手机打给[何俏俏]，街上走着的[何俏俏]拿起手机看了一眼。
1:3:41|1:3:50|电话那头的[李行]满脸期待，可她没有接电话，眉眼间止不住的哀伤，心事重重地继续走了下去。
1:3:50|1:3:59|等不到电话接通的[李行]，放下了手机，表情有些凝固，[李行]婚房外，[何俏俏]拖着行李箱走出房门。
1:3:59|1:4:3|她伫立良久，似乎想与眼前的一切告别。
1:4:3|1:4:11|她关上了门，迟迟不愿离开这个未来属于她和[李行]的房间，这时也渐渐遥远了起来。
1:4:11|1:4:14|最终她选择转身离去。
1:4:14|1:4:20|从一人来到一个人走，陪伴她的似乎只有手边的行李箱子。
1:4:20|1:4:35|画面一转，森林中笔直生长的树木遮挡了几分天空，树下成片的墓碑整齐的排列着，[何俏俏]手捧一束鲜花，弯腰放在一座墓碑前，抬低头凝望着墓碑。
1:4:35|1:4:44|似是与其对话，说完[何俏俏]陷入长久的沉默，她眉眼低垂。
1:4:44|1:4:53|悲伤的情绪似乎都被耗尽，命运给她开了一个大玩笑，她却笑不出来。
1:4:53|1:4:58|万念俱灰，[李行]匆匆赶到婚房门口，掏出手机接通电话。
1:5:8|1:5:15|[何俏俏]沉默了一会儿，[李行]转身向外走去他挂断电话。
1:5:17|1:5:25|游走便跑向外赶去，[李行]坐在校园的长椅上等着[何俏俏]，那是他们感情开始的地方。
1:5:26|1:5:35|[何俏俏]向[李行]走来，脸上强挂着笑容，[李行]没发现她的异常，满脸笑意地看着她。
1:5:36|1:5:43|[李行]捂着双手站了起来，转身面对[何俏俏]。
1:5:45|1:5:52|[李行]缓缓亮出手心里的小盒子，他单膝跪地将其打开。
1:5:52|1:6:1|[何俏俏]眼神飘忽不定，随后笑了出来。
1:6:1|1:6:7|[李行]看她露出笑容，也跟着笑起来。
1:6:30|1:6:36|[李行]有些不可置信。他语气渐渐严肃起来。
1:6:46|1:6:55|[何俏俏]努力掩饰着情绪。
1:7:15|1:7:24|[李行]眉头紧皱，[何俏俏]垂延想了一会儿。
1:7:33|1:7:44|[李行]向[何俏俏]做出最后挽留，[何俏俏]微笑地点了点头，[李行]放弃了挣扎，带着愤怒与失望转身离去。
1:7:46|1:7:54|[何俏俏]好似解脱一般，松了口气，谁料[李行]突然折返，愤怒地走向对方。
1:8:6|1:8:12|[何俏俏]默默承受着对方的宣泄，[李行]怒伐冲冠头也不回地离开了。
1:8:12|1:8:18|[何俏俏]强忍眼中泪水吸了口气，抬头看向天空。
1:8:35|1:8:43|厨王争霸赛上，[李行]心事重重地盯着眼前的菜板，胡同里，[何俏俏]再次来到红叶餐厅。
1:8:55|1:8:59|[何俏俏]闻言缓缓闭上了双眼，静静地坐着。
1:8:59|1:9:11|[李行]回到了婚房中，看着客厅里的场景，似乎是在回忆两人的点点滴滴，他向楼梯上看去，那个爱和他拌嘴的女孩仿佛就在那里。
1:9:12|1:9:16|他摸着家具，仔细感受着恰巧存在过的痕迹。
1:9:16|1:9:26|他缓缓向厨房走去，环绕四周，在餐桌上发现了一盒创可贴，那个天真调皮的女孩一直都有随身携带创可贴的习惯。
1:9:26|1:9:35|[李行]缓缓走去，小心翼翼的将其拿起，他的左手食指在比赛上受伤，现在还包扎着创可贴。
1:9:35|1:9:49|而这次照顾他的女孩已经离开了，他将创可贴缓缓拿起，接着翻了个面，创可贴背后是[何俏俏]为他画的笑脸，仿佛在提醒他照顾好自己。
1:9:49|1:9:55|[李行]接着来到红叶餐厅，不巧的是，他发现这里已经关门了。
1:9:55|1:9:59|他有些沮丧，皱着眉头转身离去。
1:9:59|1:10:6|此时餐馆老板南师傅从店里走了出来，[李行]扭头看向老板。
1:10:17|1:10:23|[李行]扫视这菜单，一时间做不出选择。
1:10:24|1:10:32|[李行]闻言疑惑地看向老板。
1:10:38|1:10:44|老板听着[李行]缓缓说道：
1:10:55|1:11:2|赶紧看向菜单，想从里面找出什么隐藏线索，这么多年原来[何俏俏]一直都在，
1:11:13|1:11:29|5张菜单连在一起，凑成5个字，我在你身边，[李行]若有所思，他突然顿悟，起身跑出餐馆。[李行]气喘吁吁地来到展厅，向身旁的工作人员问道：
1:11:38|1:11:42|他一边走一边从上衣内兜掏出手机，面露急色拨打着电话。
1:11:44|1:11:58|电话迟迟未被接通，[李行]有些着急的看着四周，他挂断电话放回口袋。无意中一件展品吸引了他的目光，这是一件破碎的盘子，一道大裂缝将其一分为二。
1:11:59|1:12:2|即使经过修补，裂缝也清晰可见。
1:12:2|1:12:9|这件展品被创作者命名为我，[李行]好像猜到了什么，他神色慌张，慢慢向外走去。
1:12:9|1:12:28|突然开始加速奔跑，轰鸣之中飞机缓缓起飞，黄浦江畔的东方明珠傲立一旁，跨海大桥上，车来车往，[李行]来到了上海出租车里，[李行]心事重重，[何俏俏]的消失，让他十分着急。
1:12:29|1:12:34|接着他来到了[何俏俏]工作室门口，门外凌乱堆放着生活垃圾和纸箱子。
1:12:34|1:12:42|他走近一看，发现房子正在出租，他敲着房门从门口观察屋内。
1:12:42|1:12:50|房内空无一人，不见[何俏俏]踪影。
1:13:0|1:13:8|[毛毛]假装信号不好，故意挂断电话，[李行]站在[何俏俏]工作室窗外，若有所思地离去了。
1:13:8|1:13:16|回到北京的[李行]开车疾驰在路上，街景不断地向后退去，展厅里[毛毛]在和工作人员清点展品。
1:13:16|1:13:22|[李行]缓缓出现向[毛毛]走来，[毛毛]似有感悟，回头看去。
1:13:33|1:13:40|他全程紧盯[毛毛]，[李行]努力控制情绪。
1:13:57|1:14:3|[毛毛]看向[李行]，[李行]拿起仓库里的盘子。
1:14:4|1:14:10|[毛毛]一脸不可置信。
1:15:38|1:15:45|[毛毛]低头痛哭，[李行]走上前手抓着他的脸。
1:15:58|1:16:2|他回忆着[何俏俏]说过的话，一路飞驰，医院走廊里。
1:16:2|1:16:10|[李行]焦急地跑向分诊台，向夜班护士问道，护士低头查找。
1:16:12|1:16:17|[李行]闻言转身离去，焦急地在走廊里寻找着房间，他渴望与[何俏俏]见面。
1:16:17|1:16:26|想要知道她现在的状况，最终他透过门上的玻璃，看到了[何俏俏]，[何俏俏]躺在病床上睡着了。
1:16:26|1:16:34|[李行]轻轻地推门而入，映入眼帘的是[何俏俏]周围的各种仪器，身着病号服的她侧头躺在床上。
1:16:34|1:16:38|[李行]盯着她缓缓靠近，脸上写满了心疼。
1:16:38|1:16:44|那个曾经天真活泼的女孩被病痛折磨得满脸虚弱。
1:16:44|1:16:52|[李行]俯身抓住[何俏俏]的手缓缓蹲下，他不敢发出过大的声音，害怕吵醒病床上的那个女孩。
1:16:52|1:17:1|就这么静静地看着她，仿佛要将她刻在心里，[何俏俏]嘴唇发白，[李行]将一切看在眼里。
1:17:1|1:17:10|泪水在他眼眶里打转，他缓缓将头侧过去不敢哭得太大声，他迟迟不敢相信眼前的一切。
1:17:10|1:17:18|病床边上，[李行]发现了一本相册，他将其缓缓捧起，仔细端详着眼里充满了不可置信。
1:17:18|1:17:27|似乎能预料到这本相册的内容，他抿了抿嘴，小心翼翼地打开，认真看了起来。
1:17:27|1:17:39|第一页是两张照片，记录着他的日常生活，泪水无声地从[李行]眼里滑落，他看着床上的[何俏俏]又翻开一页，这一页是毕业照。
1:17:39|1:17:47|记录了他们从学校迈向社会的时光，相册翻到下一页，照片里是[何俏俏]梦寐以求的兰玉婚纱。
1:17:47|1:17:56|他隔着橱窗拍下这些，[李行]的情绪随着这些照片一点点崩溃，他痛苦地跪在了地上抽泣着。
1:17:56|1:18:2|他看到相册里两人接吻的照片，那是还未分开前的美好回忆。
1:18:2|1:18:10|他又看到[何俏俏]独自与病魔对抗史的自拍，照片里的她身着病号服，却始终面带微笑。
1:18:10|1:18:12|[李行]无声哭泣。
1:18:12|1:18:20|这个坚强的男人此刻是那么脆弱，医院外，[李行]的车堵在门口导致交通瘫痪。
1:18:58|1:19:7|[李行]崩溃地在路边痛哭流涕，他的道歉似乎来得晚了一些。
1:19:7|1:19:13|路人原谅了他，可是病房里的[何俏俏]，她能听到吗？
1:19:13|1:19:15|北京大学首钢医院里
1:19:28|1:19:46|三个圆形餐盒依次摆放，里面放着诱人的食物，闻起来味道不错。[何俏俏]食欲大开，拿起筷子夹菜，[毛毛]一脸期待地看向对方，[何俏俏]将饭菜送入口中细细咀嚼着，她看向[毛毛]满意地点了点头。
1:20:18|1:20:25|[何俏俏]看着眼前的菜，有些沉默。[何俏俏]想了想说：
1:20:26|1:20:31|她顿了顿，继续说道。[毛毛]听后扭过头去不再追问。
1:20:31|1:20:38|[何俏俏]看向他面色担忧的问道。
1:20:54|1:20:58|深夜的餐厅里空无一人，只有厨房还亮着灯。
1:20:58|1:21:5|[李行]在菜品中放入鱼子，为[何俏俏]认真准备着便当。
