0:1:49|0:1:54|[朱广生]看着手上的烤肉，说完他将手中的烤肉串放在碟边，
0:10:21|0:10:37|另一边回到家的[朱广生]先是穿起带有护林员的军大衣，接着他看了看叠放在床头的被子，又看了看一旁的桌子，最终还是将枕头放置一旁，拿起被子用单臂夹住，忽然他注意到放在柜子上的罐子。
0:10:37|0:10:46|于是他拿起罐子仔细地看起了说明，随后便将其放下，可没走几步又折回来，拿起罐子就向外面走去。
0:10:47|0:11:8|没过多久，[朱广生]的妻子冒着风雪回到屋内，站在门口的她跺了跺渗进鞋里的血，在弹去身上积雪的同时向屋内张望着，随后她抱着两颗白菜走向凌乱不堪的餐桌，她先是放下单肩包，再将手中的白菜放在桌上，她还没缓过来，边搓着双手边环顾四周，
0:11:8|0:11:19|狗舍里母狗终于在[朱广生]的帮助下生出最后一只狗崽，它立刻咬破包裹着狗仔的胎衣，帮助小狗做清理，[朱广生]则扶住它的尾巴。
0:11:20|0:11:46|说完老伙计便转身走去，只剩[朱广生]一个人趴在围栏上静静地注视着母狗和狗仔们，此时他的内心无比窃喜，随后母狗将放在[朱广生]背上的小狗仔，一个一个叼到怀里开始喂奶，[朱广生]捧起那最后生下来的小狗仔放到母狗的身边，让它继续帮助小狗仔清理身体，欣慰的[朱广生]坐在狗窝里不由自主地哼起歌来，
0:11:46|0:11:52|他爱怜地抚摸着母狗的脑袋，任何言语都表达不了他此刻的心情。
0:11:52|0:12:3|老伙计看了看逐渐恢复的母狗，他抬起头与[朱广生]相视一笑，接着将冲好的奶粉递过去，细心的[朱广生]接过盆子放在母狗面前任其畅饮。
0:12:4|0:12:23|随后，回到家的[朱广生]看到正在挑枣的妻子瞬间变得谨慎起来，他转身走到镜子前拿下帽子，拍打身上的积雪，接着他弯下腰将手洗干净，再擦干后，他走向一旁的灶台，拿起锅盖看了看，在没有见到任何食物时，又打开了旁边的锅盖，
0:12:23|0:12:42|令他意外的是锅中依旧没有任何食物，他惊讶的看向坐在旁边的妻子，随后他拿出随身携带的小刀割下悬挂在角落里的腊肉，接着坐在案板前将小刀收起来，大口的吃着肉，在啃下一块肉后，[朱广生]将手搭在腿上慌张地挪了挪脚步，
0:12:43|0:12:49|二人就这样背对背地说着话，[朱广生]强装镇定地转过头说，
0:12:50|0:13:8|拨动大红枣的妻子抿了抿嘴唇，强压心中的愤怒，啃着肉的[朱广生]眼神开始变得不安，他嚼着肉，看着手中剩下的肉发了愣，妻子见他迟迟没有回应，若有所思，此时他意识到自己做错了。
0:13:12|0:13:18|他依旧没有回应，愤怒的妻子逐渐将放在簸箕中的手紧握起来，
0:13:22|0:13:35|妻子将簸箕连同大枣一同砸向他，而他扔下肉块拿起帽子往外走，待[朱广生]走出房门，妻子捡起地上的簸箕，再次重重地扔向他的背影，
0:13:56|0:14:16|二人各自坐在床的两边喘着粗气，说完大女儿转身离去，无奈的小女儿拿起床尾的刀也走了出去，画面就在这时出现了经历岁月的相框，里面摆放着两张全家福和夫妻俩年轻时的照片，曾经的他们是那样青涩，而过去的时光已经不会复返。
0:14:16|0:14:28|第二天热闹的集市上，二女儿[朱林]站在售卖棉花糖的摊位，等待着属于自己的棉花糖，待她满意地将棉花糖吃完之后便前往卖囊的摊位，让老板帮她打包。
0:14:28|0:14:54|随后她只身走向集市的镜头，不一会儿出现在土堆旁的她整理着衣服，蹲坐在一旁的小狗抬起无辜的脑袋看向[朱林]，它在看到[朱林]向外走时轻声地哼叫并紧随其后，可[朱林]立刻停住脚步不让它跟随，但没走几步，它又跟了上来，反复几次之后，它最终躺在地上敞开肚皮给[朱林]撒娇，
0:15:2|0:15:10|[朱林]走到[朱丛]身边，依偎着她，[朱丛]和[朱林]转身望去。
0:15:28|0:15:35|恋恋不舍的[昌子]，放下抚摸脑袋的手，满意地咬下一口烤串，回到屋内的[朱丛]练习着舞蹈动作，
0:15:54|0:16:19|[朱丛]转身扶在床栏上就是一个后踢，当她的眼神撇到[朱林]的书包时，心虚的[朱林]立刻将书包护在怀中，想要弄清楚的[朱从]走上前一把掀开[朱林]的书包，里面的小狗探着脑袋四处张望着，另一边扛着镰刀的[朱广生]将羊群赶进羊圈，随后他缓缓走下山坡，来到屋前把镰刀放下，
0:16:19|0:16:49|紧靠墙面的[朱林]背对着他抱着小狗，听见动静的他转过身，[朱广生]笑着看了看[朱林]，紧接着便转过头看向镰刀，等他反应过来后，立刻转头看向[朱林]怀中的小狗，身体不由自主地走上前，他指着小狗问[朱林]，欣喜若狂的[朱广生]紧盯小狗，兴奋的他不停地抚摸着小狗的脑袋，说完他直起腰看向身后的方向，
0:16:50|0:16:52|便转过头对[朱林]说道，
0:16:54|0:17:4|他凑近[朱林]的耳边轻声地说，志同道合的二人相视一笑，随后[朱广生]转身离去，只留[朱林]一人抱着小狗玩，
0:17:16|0:17:31|紧接着母亲转身打开房门，不舍的[朱林]磨磨蹭蹭地走向房门，跟随母亲走了出去。单脚搭在床栏上压腿的[朱丛]得意的笑着，而无辜的小狗被放在满是积雪的杂草堆上。
0:17:31|0:17:39|第二天天一亮，[朱林]就打开房门寻找小狗的身影，就在他正失望的时候，小狗顺着墙角走了过来，
0:17:46|0:18:3|她激动地将小狗紧紧地抱在怀里。中午阳光明媚，站在土窑前的老朱将烤好的面包用铁锹盛到盆里，妻子坐在园中洗着衣服，忽然妻子被拖拉机的声音所吸引，只见拖拉机上下来一名男子，
0:18:18|0:18:24|男子单脚踩在土窑上，随后他便蹲在旁边，
0:19:19|0:19:28|老朱满脸疼爱地看向[朱林]，妻子将衣服晾好走向他们，用眼睛瞪着老朱，随后便端走了盛满面包的盆，
0:19:32|0:19:37|男子识相地转身离去，老朱则抚摸着女儿怀中的小狗说，
0:19:58|0:20:16|山坡上男子手持弓箭，老朱放下手中的铁锹走向他，老朱伸手拿过弓箭，男子退到他的身后说道，他将剑搁在弦上，两只手指夹住剑的尾端调整站姿，用力向后拉，只见箭正中前方的木头桩子。
0:20:18|0:20:42|说完他将弓扔给男人，而男人一脸吃惊地看向他射中的木桩，抱着小狗的[朱林]崇拜地望着父亲，随后在木棍围绕形成的训练场里，老朱正在指挥着猛子，而坐在一旁抱着小狗的[朱林]抿着嘴看着他们，待老朱训练完，他便引导着幼小的小狗走上拱形器材
0:20:58|0:21:5|时光飞逝，蓝波成长为一条训练有素的狼狗，它四肢强壮而有力，奔跑起来急如闪电。
0:21:5|0:21:13|在得到老朱的指令后，它快速通过拱形桥穿过障碍板，紧接着以飞快的速度登上障碍梯。
0:21:13|0:21:26|随后[朱广生]站在终点弯下身子张开手臂，[蓝波]一个弹跳越过他的背，在看到[蓝波]平稳落地后，他甩着抹布棒摆出戏剧的动作，并与[蓝波]嬉戏打闹，
0:21:30|0:21:48|腾起的[蓝波]叼住[朱广生]的帽子向家里走去，站在一旁的[朱林]，蹦蹦跳跳地走到[朱广生]身边，挽住他的胳膊，二人走在[蓝波]的后面。一年后，身为护林员的[朱广生]牵着马走在雪地里寻山，
0:21:54|0:22:4|他不知道的是躲在森林深处的雪狼正紧紧地盯着他，[蓝波]奔跑在前面，像是察觉到了什么，便向森林深处跑去。
0:22:4|0:22:30|[朱广生]则将马儿拴到树旁，可他突然听到了电钻的声音，就在这时，瞬间警惕起来的他在雪地里发现了一条延伸到森林深处的脚印，他看了看身旁的[蓝波]随后发出了指令，训练有素的[蓝波]下意识地冲了出去，[朱广生]踉跄地紧随其后，不远处的雪狼也舔了舔舌头，像是在等待着美食，
0:22:32|0:22:43|没有注意脚下的[朱广生]跌落在地，眼看坏人逃跑，他迅速站起身追了出去，英勇的[蓝波]紧追不舍，看准时机咬住坏人胳膊，
0:22:43|0:22:55|并将其拖拽在地上，此时坏人不停地翻滚，试图挣脱[蓝波]的撕咬，可[蓝波]压根不给他喘息的机会，死死地咬住他。次日心情大好的[朱广生]哼着曲儿
0:22:55|0:23:4|在给房屋侧面的“封山育林，绿化祖国”8个大字重新上漆，就在这时，公安的车停在路旁，[刘所长]走下车冲他的背影喊道，
0:23:17|0:23:22|[朱广生]手上的动作开始变得缓慢，
0:23:30|0:23:34|[朱广生]停住手上的动作转身看向[刘所长]，
0:23:51|0:24:0|随后[刘所长]启动车子扬长而去，目送他远去的[朱广生]此时眉头紧皱，他缓缓看向地面，忧虑地说道，
0:24:18|0:24:38|随后男人一把拿下墨镜看向[昌子]，而此刻站在桌旁的[昌子]，一脸吃惊地看着面前的[张彪]，另一边的护林站里，老朱正坐在炉子旁，用钳子调整着钢丝拧成的钩子，就在他奋力将钩子底端夹平时，[刘所长]突然打开房门看着他说道，
0:25:0|0:25:15|老朱看着眼前的[刘所长]，用拿有钳子的右手示意他坐下，随后老朱将手中已经成型的钩子放下，关掉收音机，一脸认真地看着他说道，
0:25:19|0:25:32|已经坐下的[刘所长]抬起头，面带笑容的老朱低下头忙于手中的活，
0:25:42|0:26:6|紧皱眉头的他搓了搓放在炉上的双手，抿着嘴巴的老朱停住手中的动作，突然抬起眼睛看向[刘所长]，接着他将手中的东西放下，故作镇定地说道，憨厚老实的他并没有觉得自己做错，
0:26:27|0:26:32|此时屋内的气氛极为凝重，二人并未察觉到[朱林]走了进来，
0:27:10|0:27:16|接着[朱丛]扣下扳机，随着枪声的响起，画面被鲜血覆盖，雪地里有人手举猎枪，
0:27:20|0:27:24|说完转过身的[昌子]闭紧双眼，大口喘着粗气，
0:27:31|0:27:49|[昌子]一脸震惊地转过头看向身边的[张彪]，而正在寻找猎物的[张彪]收起猎枪向前走，笨重的[昌子]迅速捡起地上的兔子跑向[张彪]，他一把拉住[张彪]，险些被滑倒，待他站稳之后说道，
0:27:55|0:28:4|[张彪]自顾自地向前走去，[昌子]立刻追上，[张彪]重重地踩下积雪，目光呆滞地看向不远处，
0:28:7|0:28:30|听完[昌子]的话，[张彪]瞬间明白了什么，于是他将装有猎枪的袋子扔在草丛里，随后他缓缓地走到袋子旁，蹲下身子拿掉手套，高举猎枪，瞄准老朱的狗场，扫视着每一条狗，最终他把枪对准了趴在地上的狗，极度强烈的报复之心蒙蔽了他的双眼，紧接着他便毫不犹豫地开枪。
0:28:30|0:28:36|子弹飞速穿过狗的脑袋，而狗在呻吟了几声之后，便倒在了血泊之中。
0:28:36|0:28:44|此时山上的雪狼正远远地注视着这一切，晚上护林站里的[朱广生]目光呆滞地看向窗外，
0:29:9|0:29:15|正当二人说话之际，窗外的狗不停嚎叫，听见动静的[朱广生]立刻抬起头看向它，
0:29:22|0:29:29|你别干傻事啊，随后身穿军大衣的[朱广生]拿着他的大鼓锤走向一座民宅，来到大门前，他急切地拍打着房门，
0:29:29|0:29:40|见没人开门，他手上的力度便加重了些。另一边的狗场里，[张彪]和[昌子]蹑手蹑脚地进入到狗舍，察觉到陌生气息的狗不停地狂叫，
0:29:40|0:29:54|走在前面的[张彪]突然转过头向[昌子]伸出手，会意的[昌子]立刻将手中的棍子递了出去，[张彪]接过棍子便继续向前走去，而被关在笼子里的蓝波非常冷静地注视着他们。
0:29:54|0:29:59|第二天[朱林]着急地打开房门，对正在洗漱的[朱广生]说道，
0:30:6|0:30:19|[朱广生]仔细观察着手上的东西，紧皱眉头的[朱广生]缓缓地将头抬起，蓝波被锁在铁栅栏上，
0:30:37|0:30:52|攥着钞票的厨子看了看被锁住的蓝波，绕过[昌子]便走向屋内，而嚼着口香糖的[昌子]依旧站在原地，他看着不停挣扎的兰波露出猥琐的笑容，待蓝波疲惫地趴在地上之后，他才满意地转身离去。
0:30:52|0:31:1|可当蓝波看到他伸手去抓鸡笼里的鸡时，立刻站起身紧紧地盯着他的背影，蓝波不停的用爪子扒着铁栅栏的门，
0:31:1|0:31:9|并试图翻越，但终究没有成功。[昌子]拿着鸡走向厨房，[蓝波]猛叫一声，不料铁链被扯断，
0:31:25|0:31:48|二人来到路上，寻找[蓝波]的身影，厨子用木棍指向前方，还没走几步的[昌子]一屁股坐在厨子身上，此时的[蓝波]突然停住脚步，回头张望着，见他们就要追上来，[蓝波]立刻跳进废弃的院子里，穿过窗子进入屋内，而[昌子]和厨子直接踹开铁门，
0:31:54|0:32:21|随后忐忑不安的厨子坐在餐桌前，不停地用筷子敲击着桌面，突然房门被打开，他看见倚靠在门上的人是老朱后，一路小跑地来到了老朱的身边，老朱不紧不慢地走进屋内，他谨慎地环顾四周，见空无一人，便询问道，说完厨子慌张地跑进后厨，
0:32:21|0:32:30|老朱看着桌上的大盆肉和酒缓缓走上前，拉开桌子中间的凳子，可他并没有直接坐下，而是看了看后厨的方向。
0:32:30|0:32:56|他撩开衣服拿出别在腰间的大鼓锤，并将它藏进衣袖里，一切防范的工作做完之后，老朱一屁股坐在凳子上，此时他隐藏着心中的怒火，面无表情地看向正前方，就在这时半掩着的房门被人从外面打开，老朱侧过头撇着房门的方向，只见一个人踩着中统黑皮靴走了进来，他将房门关上后便走向老朱。
0:32:56|0:33:19|此时的老朱一脸不屑地将头缓缓转过去，而走到他身边的[张彪]，先是将手搭在了他的肩膀上，再用犀利的眼神紧紧盯着他，弯下腰将脸凑到他的旁边之后，若无其事地说道，临危不惧的老朱转过头对上他的眼睛，老朱第一次见到[张彪]如此犀利的眼神，是在一年前他被抓的时候，
0:33:19|0:33:32|当时的他非常痛恨老朱带来了警察，现如今[张彪]是在报复老朱，搞得他家破人亡，随后他拍了拍老朱的肩膀，便缓慢地走向长桌的中心位置，
0:33:46|0:34:17|说完他拿起桌上的白酒倒向空杯子，带酒没过杯子的1/3时，他便将酒瓶盖上，而此刻的老朱置之不理，于是他把酒杯放在老朱面前，不明白此举为何意的老朱抬起头看着他，斜视[张彪]的老朱并没有因为他的话而大发雷霆，他不屑的将眼神移至桌子，把左边藏有大鼓锤的胳膊放在桌上，右手则端起装有白酒的杯子猛喝一口。
0:34:17|0:34:24|他看着盆里的肉块犹豫片刻之后，拿起一块塞进嘴里，不停地咀嚼着，
0:34:29|0:34:36|随后一阵恶心涌上老朱的心头，他趴在桌边将肉全部吐了出来，得意的[张彪]狂笑不止，
0:34:40|0:34:46|[朱广生]脸色大变，愤怒的[朱广生]掏出大鼓锤就朝[张彪]挥去，
0:34:52|0:35:12|见[张彪]抄起凳子朝[朱广生]砸去，[蓝波]冲进来一口咬住他的胳膊，[朱丛]和[朱林]随后赶来，刚挣脱开[蓝波]血盆大口的[张彪]被[朱广生]踹向地面，喘着粗气的[朱广生]先是看了看女儿们，见[张彪]倒地不起后，便走到桌边安抚狂躁的[蓝波]。
0:35:16|0:35:40|随后[朱广生]转头看向被[蓝波]吓在角落里的[昌子]和厨子二人，得知二人心地不坏，转身将桌上的大鼓锤再次装进衣袖，此刻怒火中烧的他看着完好无损的[蓝波]也不愿再多计较，紧接着他转身向外走去，可没走几步就被倒地的[张彪]挡住了去路，他很无奈地看向[张彪]。
0:35:40|0:35:44|识相的[张彪]立刻挪动身子将路让了开来。
0:35:46|0:36:13|[朱广生]走出房门，两个女儿紧随其后，接着[张彪]缓缓站起身，恶狠狠地盯着[昌子]，慌张的[昌子]将[蓝波]逃跑的细节一一讲给[张彪]听，二人追[蓝波]追到一个荒废的院子里，在看到[蓝波]躲在角落里时，二人便用棍子吓唬[蓝波]，可丝毫不怕的[蓝波]在找到空隙之后，立刻越过二人跳出了窗子，
0:36:1|0:36:35|上来的二人仔细观察着屋子每个角落，[蓝波]顺着墙上洞口爬了出去，站在街道上的二人看着眼前走过的小羊出了神，陷入沉思的[昌子]，急中生智，思考片刻，厨子肯定地说道多放料酒，
0:36:39|0:36:52|气急败坏的[张彪]一把将长桌掀翻，角落的二人再次被吓得瘫软在墙上，可[张彪]却面带笑容地看向他们，
0:37:3|0:37:10|正在巡逻的[刘所长]看见不远处牵着马的男人便喊道，
0:37:22|0:37:31|说完[刘所长]便开车离去，村长也继续牵着马前行，随后同事帮[刘所长]打通电话，并放在他的耳边，
0:37:42|0:38:1|另一边，[朱广生]在听完电话后，便拿着麻绳和一捆干草向羊圈走去，而小羊羔们在看到[朱广生]的到来后便叫个不停，犹豫片刻后，[朱广生]先将麻绳搭在肩上，再把干草分开，分别向四个不同的方向扔去，他看着集中躲在一个角落的小羊羔们，
0:38:1|0:38:9|眼神最终落在最小的那只上面，随后把肉炖上的[朱广生]在切着小菜，
0:38:29|0:38:35|说完[刘所长]拧开酒瓶就开始倒酒，可[朱广生]的心思却在新做的口条上，
0:38:54|0:39:1|[刘所长]将[朱广生]的碗放下，拿起筷子端起自己的碗，他拿起一块立刻放进嘴里。
0:39:3|0:39:16|于心不忍的[刘所长]边吃肉边说道，面无表情的[朱广生]对此事表示很无奈，若有所思的[刘所长]紧皱眉头，
0:39:26|0:39:40|说完耿直的[朱广生]便坐直身子伸出双手看着他，[刘所长]并没有理会，而是将碗筷放下，从上衣口袋中掏出大把现金递给他，
0:39:54|0:39:57|[刘所长]站起身抢夺着，夺回钱的他坐下后便将钱重新装了回去，
0:40:12|0:40:18|被蓝波叫得莫名其妙的[刘所长]抬起头询问[朱广生]，
0:40:22|0:40:28|不可置信的[刘所长]一脸震惊地看向[朱广生]，他越想越恶心，立刻将嘴里的肉全部吐了出来，
0:40:36|0:40:57|他将手中的酒一口闷下去，此时蓝波也不再吵闹，静静地趴在地上看着[朱广生]。次日[朱广生]携着老伙计和两个女儿在狗场附近捡拾着垃圾，他背着大竹笼走在最前面，[朱丛]则提着小篮子和[朱林]走在一边，在山坡上的老伙计独自捡着垃圾，懂事的蓝波叼着垃圾走向[朱广生]，
0:40:57|0:41:9|他们把捡来的塑料袋绑在狗场的围栏上，五颜六色的垃圾袋给单一的天山林场增添了别样的景象，
0:41:16|0:41:28|狗舍里，[朱广生]等三人起身便朝外面走去，为首的男子站在门口拍了拍胳膊，就转身对身后的[朱广生]说，
0:41:30|0:41:36|兽医说完，[朱广生]转身看向狗舍，焦灼的[朱广生]轻声询问着兽医，
0:41:54|0:41:58|听到价格的[朱广生]下意识地攥紧了手，他不忍心放弃这些狗。
0:41:58|0:42:5|送走医生的他看着手中的帽子出了神，另一边[朱广生]的妻子翻箱倒柜地寻找着什么？
0:42:5|0:42:12|气急败坏的她关上柜子向外面走去，她将空荡荡的手提包摔在正在喝酒的[朱广生]面前。
0:42:12|0:42:27|[朱广生]单手握着酒瓶，心烦意乱的他缓缓开口，一旁的妻子很不耐烦，[朱广生]心虚地低下头不紧不慢地回答道，听到[朱广生]的回答，恼羞成怒的妻子重重地拍打了一下[朱广生]的肩膀，
0:42:37|0:42:44|被说中心事的[朱广生]厚着脸皮继续说道，
0:42:50|0:43:1|[朱广生]用余光看了看喘着粗气的妻子，面无表情的他后悔莫及，就在他准备拿起酒杯的时候被妻子一把夺过摔在地上。
0:43:39|0:43:50|妻子言语上的刺激，反而让此刻的[朱广生]更加暴躁。而摔倒在地上的妻子艰难爬起身后说道，
0:43:51|0:44:13|说完妻子头也不回地转身走出房门，气急败坏的[朱广生]看着桌上的手提包一把将其摔在地上，[朱广生]徘徊于两难之间，陷入了无尽的抉择，他看着眼前冲他吐着舌头的蓝波，最终还是坚持自己的内心，蔚蓝的天空衬着高处的山峰，雪线以下是蜿蜒无尽的森林，
0:44:13|0:44:19|[朱广生]带着收音机和蓝波坐在半坡上，沉淀着自己焦灼的心情，
0:44:25|0:44:39|[朱广生]停下手中的动作，在将水壶放下后，双手接过[牛医生]递出的钱，他轻啐了一下手指便开始清点钱数，就在这时一辆山地车缓缓地停在他家门口，
0:45:8|0:45:16|[朱广生]不知所措地默默低下头，思考片刻之后，他轻叹一口气看着秦老板恳求道，
0:45:32|0:45:37|秦老板一把拉走卖羊肠的男人，[朱广生]则站在原地目送他们
0:45:40|0:46:5|[朱广生]无奈地看着手里为数不多的现金，下午他站在半坡上给马儿洗漱时，[朱丛]喊道，说完他便转过头继续忙于手中的活，[朱丛]赶着蓝波向路口走去，她背着单肩包，双手插在口袋里，充满好奇的蓝波跟在她的身边，试图引起她的注意。
0:46:5|0:46:24|刚走到门口的时候，她突然停住脚步，转身看向父亲忙碌的背影，[朱丛]不忍心看到父亲如此窘迫，随后她便低头从口袋中掏出一小沓钱，她将钱平摊在手中，看着为数不多的钱，希望也能够尽自己绵薄之力去帮助父亲。
0:46:24|0:46:43|他看着蓝波回到父亲身边，便转身离去，[朱广生]在听见蓝波的叫声后回过头，却看见蓝波向他奔来，于是他张开双臂将蓝波拥入怀中，可当他正在安抚蓝波的时候，突然发现蓝波的狗链上别了些钱，他将钱拿下来，看向[朱丛]离去的方向。
0:46:43|0:47:8|此刻[朱广生]的内心五味杂陈，他看着山脚下自己亲手搭建的狗场，再回忆起最近发生的事情，无比忏悔，于是他站在狗场前的国旗底下，郑重地将帽子戴好，长叹一口气便出发了，不一会儿他的脚踏上楼梯，在犹豫片刻之后，他迈着沉重的脚步来到当铺的门前，他推门而入，并将房产证递了出去。
0:47:39|0:47:58|[朱林]靠在石头上抱着蓝波吞声忍泪，[朱丛]转身向山下走去，可走到一半又回过头，说完[朱丛]气愤地转身走下山坡，难过的[朱林]将蓝波整个抱在怀里，他悲痛欲绝，实在舍不得将自己亲手养大的蓝波送给别人。
0:47:58|0:48:2|豪华别墅里正在向外走的[朱丛]转过身说道，
0:48:2|0:48:12|走出屋外的[朱林]不甘心地回头张望着，她撅着嘴走到大门旁，然后她扶在铁门上恋恋不舍地抚摸着被拴住的[王蓉]。
0:48:13|0:48:22|[朱丛]强行将[朱林]拽走，任凭[王蓉]怎么叫，她都不肯撒手。二人来到班车前，[朱丛]让[朱林]走在前面，就在上车的那一刹那，
0:48:22|0:48:47|[朱林]还想再看看[王蓉]，可[朱丛]却直接将她推上了车，见二人上车，[王蓉]趴在铁门上，透过空气不停地嚎叫，紧接着班车发动向外面驶去，急躁的[王蓉]意识到了危险，不断徘徊的它突然将脖间的绳索挣脱开来，它迅速跑出大门朝着班车驶去的方向追去，此时的班车已经驶出市区，行驶在盘山公路上，
0:48:47|0:49:4|奋尽全力的[王蓉]一路紧紧跟随在班车的后面，而车内的[朱林]正愁眉苦脸地低着脑袋，坐在后面的[朱丛]不停地安慰着她，不一会儿班车便行驶到了牧区，在穿过林子时依旧能够看到一个小小的身影追逐着车子。
0:49:4|0:49:17|可就在[王蓉]到达林子时，它却停了下来，它站在分岔路口不停地左右张望着，它看着渐行渐远的班车，再看了看一旁的小路，左右为难的它最终选择了相信自己。
0:49:18|0:49:24|它快速穿过布满积雪的田野，在越过围墙之后立刻用那矫健的四肢翻越高山。
0:49:25|0:49:32|身为护林员的爱犬，[王蓉]可是对这一片的地形相当熟悉，它总是能找到回家的捷径。
0:49:32|0:49:42|此时姐妹二人已经下了班车走在山间的小路上，而正在寻找回家路的[王蓉]在看见熟悉的身影后，立刻向其奔跑过去。
0:49:43|0:50:2|原本愁眉苦脸的[朱林]在听见[王蓉]的叫声后，迅速掏出插在口袋里的手，奋尽全力向兰波跑去，喜出望外的[朱林]跪在地上，将[王蓉]涌入怀中，而身后的[朱丛]则一脸震惊地看向[王蓉]，她怎么也想不到[王蓉]居然独自找到了回家的路。
