0:1:55|0:2:3|五岳之地，深山奇里，竹林繁茂生长，冬雪两无痕迹。
0:32:0|0:32:17|太子无恙，又与心爱之人不清不楚，新帝郁郁龙塌上辗转思量，今年不回，不想而精，人与物皆非，非无论，愤，愤观皇城，只觉蓦然，朝思暮想，我夙夜忧心者唤我母后。
0:32:17|0:32:24|[婉后]七七玉璧上，珠泪纵横，剑泽清新，惜君于我之灿烂于梦中。
0:32:24|0:32:27|[青女]痴痴月下为[无鸾]祈福。
0:32:27|0:32:40|至于清晨日前暗杀太子之羽林卫策马赶往皇城复命，从前一整队人马如今只剩9人存活，是伶人为保太子无恙拼死反扑之结果。
0:32:40|0:32:46|行至一处狭隘，便见木桥上有内侍一名，冰释无数，拦住众人去路。
0:32:46|0:32:56|羽林卫中领头者，随后令属下勒马基廷双方各执一策于桥上便听那内侍开口说道
0:33:18|0:33:47|甚至好可设酒不不朱雀皇上，朝向帝之所在拱手谢过皇上后，领头者从腰间拔出短刀，身后与林卫纷纷效仿，一时间兵刃争名声之不绝，无比灵力只见众羽林卫引短刀往胸前铠甲上去，割断勾连绳索，取下护心镜，抛掷于河内，待到麾下人马皆如领头者一般，袒护胸怀之时，
0:33:47|0:34:8|变见为守者，长只短刀于半空，停顿片刻后猛地刺向胸部之间，跪下人马皆是如此，以短刀自裁，血溅圆空，便见九名与一位坐于高头大马之上，横刀入怀，血水，自胸腹间如注，顺由战马鬃毛而下，继而渗透桥面，滴落水中。
0:34:8|0:34:14|方才建德，除去桥头拦路之军事，桥下亦埋伏了掌池长矛之兵俑。
0:34:14|0:34:38|鉴羽林卫自残而亡，内侍惊声下令西乔于是重兵涌取清泉淋于桥面，蓄鱼之客便见，此处河水已然化作赤血潺潺向远方淌去，皇城之内赏识灯烛，故此朝堂阴暗偶有天光自穹顶洒下，便见唐氏之内，虽广阔气派，却少些珠光宝气，华贵奢靡。
0:34:38|0:34:49|新帝陵满朝文武相伴，仰观朝殿之内，事而后开口道
0:35:40|0:35:50|众人行至殿上，那是扯下头部，露出一座石雕屏风，皇上如果不喜欢这雪山，玄宝臣即刻差人换了他。
0:36:44|0:36:58|该不该将这雪山玄豹赐予太常大人[裴洪霹雳]而视，又听新帝问道此话一出，场中群臣皆忍俊不禁，掩袖而笑。
0:36:58|0:37:13|为太常之子，[殷隼]怒目望向[裴红]正要拔剑之际，却被太常拦下，新帝见状岿然说道，朕就将这雪山玄豹赐予太长卿，
0:37:26|0:37:41|雕飞龙在天，[婉后]忽然驾临，高声说道，引得群臣侧目，新帝意识，转头眺望而去。见皇后临近大殿，重臣急忙屈身拜道将至陛下窃听[殷太常]大礼，朗声开口，
0:37:48|0:38:5|大殿空旷，[裴洪生]朗殿上雨林群臣，至于场中内侍宫娥皆闻其语，而莫不敢言。新帝见众人做如此状，遂换来身边内饰，从其所举托盘中取葡萄一枚，缓缓向殿下醒去而后开口道，
0:38:17|0:38:40|沉寂片刻，群臣中有人做做缩缩的回复道听见了什么意思新帝继而问道，在场众人不敢作声，权臣人公山向皇后拜伏，[裴洪]亦巍然跪于地上不动新帝步入殿内虎世英林一，一览众人扮赏之后，方才愤儿开口说道
0:40:1|0:40:5|此几句振聋发聩，令群臣扶手众羽林卫一时抖擞甲胄。皇后听罢
0:40:5|0:40:16|未有犹豫，便福贵于地，朗生开口道臣妾叩见皇帝陛下
0:40:18|0:40:27|见群臣如是[裴红]大笑
0:41:8|0:41:22|面露不忍，却也不敢多言而后，便有羽林卫上前欲将[裴洪]擒住，确见[裴洪]镇开周遭敬畏束缚，自行卸下头上顶戴怒视[无鸾]伴上方才随雨林卫离去。
0:41:22|0:41:31|带到[裴洪]礼场，新帝方才转身将皇后扶起开口道，皇后望着屏风说，
0:41:36|0:41:51|飞龙在天，龙凤呈祥二人相视一笑，随后便携百官一同往城楼之上观看[裴洪]受刑众人驾临之地四方城楼环绕，旗下沙场狭隘，往来通道处皆有羽林卫把守水榭难通。
0:41:51|0:42:1|另有行刑者十人，手持烛杖立身于场中，裹挟[陪红]于内，而其九族皆除去长服捆束手脚，贵服于沙地之上。
0:42:1|0:42:21|但见行刑者挥舞棍棒硬生，生将七尺大汉裴洪击飞于空，棍棒裂谷之声不绝，陪魂破败之躯便不堕于地，于半天之中领受困境，骨肉寸段，腹胀破碎，鲜血从其咽喉中喷溅而出，淋于沙地，灰尘飞扬，四方城墙之上。
0:42:22|0:42:33|文武百官见罪成惨状者，无不积极自危，两侧有道之涯，沙地边陲，卒中血清，闻裴洪哀吼者无不胆战心惊。
0:42:33|0:42:41|[婉后]坐于彭格之下，现场中苍发老者求医染血体无完肤，似有不忍明目，不愿再看。
0:42:41|0:42:49|新帝瞥见[婉后]如此稍加思虑后，斜眼望向裴洪而后轻声开口道，
0:43:0|0:43:8|新帝闻言冠上珠帘晃动不止扮，上方才开口说道
0:43:10|0:43:19|但见[婉后]低眉垂眼说道。新帝方才所说，乃是问[婉后]反悔与否，
0:43:19|0:43:30|若是[婉后]应承，早前殿上所说愿为[婉后]之言便是欺君之词，故此[婉后]只能任由兄弟将陪同照壁，无以言语坐而观其惨状。
0:43:30|0:43:39|再看场下，侍卫以竹杖将裴洪冲进藏空当中，而后另有一人挥舞棍棒而来，猛袭裴红头颅
0:43:39|0:43:47|将他坠落摔砸地上，建起沙尘茫茫。受此一击，裴洪终是动弹不得，惨死于杖下，
0:43:59|0:44:7|这一般后悔？听闻兄弟问得得意，[婉后]遂小声开口道
0:44:10|0:44:15|见深盼家人脸色不改，却唇齿相依，挤出这番话来[厉帝]脸上笑意纵横，朗生道，
0:44:23|0:44:31|听闻[厉帝]所言，像是急于为其送上大礼，一班内侍开口道，
0:44:37|0:45:0|罪臣扶珠赤血尚未干涸之际，[厉帝]又领皇后往马场中积车，所谓积居乃是达显官换游戏之举，众人弄马于沙场之上挥杆击球。以先得球而接过球门诊为胜，[厉帝]以此法弥补自己未能亲身仗毙裴宏之遗憾，双方驰骋往来，沙尘应天，
0:45:0|0:45:11|[厉帝]与皇后各领人马挥动长竿，争夺镂空银球，骏马虽生如雷，铁皮奔驰如风，风雷交汇更显气势如虹。
0:45:11|0:45:25|往来之际，[厉帝]与皇后并驾齐驱，朝银球水在奔去，带到银球位于二人之间，皇后便于急求争抢，却被[厉帝]横杆拦下，皇后不解，侧身向[厉帝]看去，便听基地说到。
0:45:30|0:45:55|皇后闻言一惊，[厉帝]与不依不饶，说到[厉帝]说罢，挥舞手中木棍将地上那银球狠狠击飞，直逼看守球洞之侍卫力道之大，竟令侍卫坠落马下，再看赢球，又弹回至星地演习于是[厉帝]抡动木棍顺势将那银球扣进了球洞当中，而后勒马基廷转身离去。
0:45:55|0:46:0|与此同时，[殷隼]怒目而视，遇此屏风，而后拔剑就要刀劈下去。
0:46:2|0:46:15|太常见状急忙出声将他拦下，问道阴隼举剑于半空怯齿道
0:46:33|0:46:48|他什么也不懂，太常之女[殷隼]之妹便是与太子有着婚约的[青女]，织染居中，他正在为皇后织绣华服，见父亲前来也不起身相迎，只开口道，
0:47:14|0:47:23|太常见，[青女]仍不知其意，不再拐弯抹角直言道，
0:47:44|0:48:0|[青女]将袖针刺进布匹当中，望着那银丝凤凰缓缓摇头，半晌后漠然说道[青女]美眸中泪光闪动，第二日夜便去华服，王宫中请皇后试穿，
0:48:22|0:48:45|[青女]与宫娥一道将凤袍小心取下，搁置好后便离开了皇宫，待到二人走远，皇后舞动娇躯曼妙，往新帝身上靠去问道新帝闻言思虑片刻，而后垂眼回答皇后说
0:48:58|0:49:20|[无鸾]行至大殿当中，以手中逐渐清楚中羽林卫手中兵刃，检验无误，遂举荐于身前望台上新帝皇后一眼，而后陈声道众羽林卫直径于怀铁面下眸光闪动朗生开口道久闻殿下是剑术高手，一点童子功，
0:49:31|0:49:45|见如是羽林卫中领头者说道说罢，众羽灵卫横刀于身前向[无鸾]师，[无鸾]亦使兵短见于胸还之以礼。
0:49:45|0:49:51|大殿阴暗烛光闪烁于甲状之上，却更觉会冷。
0:49:51|0:50:16|须日之客，众人挥剑相向，羽林卫攻势如潮，丝毫不顾及眼前之人，乃当今圣上子侄先皇太子，其事正猛烈，大有要将[无鸾]血溅当场之意，刀兵碰撞之声响彻大殿，无论挥舞越女短剑，以一敌二不落下风，坐上皇后竟无论如此，稍事安心，嘴角浅笑而不自知。
0:50:16|0:50:35|再看乌兰以一己之力将两名羽林卫击倒在地，若不是手中刀兵皆为木质，此二人早已站立，当场现如此，羽林卫等群起而机之，将乌兰团团围住，协力来攻一人，力敌十数羽林卫，[无鸾]顿觉压力倍增，难以招架。
0:50:35|0:50:52|[无鸾]见势不对，转攻为守，凭借无双身法游转于大殿之上，与众与林卫周旋，奈何双拳难敌四手只是虚狱之客，[无鸾]已无力还手，只得依赖本能挥舞手中短剑挡开重羽鳞未知攻击。
0:50:52|0:51:3|站至此时，[无鸾]咀嚼浑身气力已消散，十之八九，呼吸扯动肺腑，疼痛欲裂，长此以往自己必将败走，甚至历经而亡。
0:51:3|0:51:11|盛逢[无鸾]恍惚之际，众羽林卫次充长剑无数，穿起腋下而过，竟直接将[无鸾]抵上半空，不得动弹。
0:51:12|0:51:17|另有羽林卫以刀柄猛击[无鸾]胸口，将其击飞摔从大殿之上。
0:51:17|0:51:25|既如此，[婉后]顿时色变，方才之从容，笑意已然无踪，取而代之的乃是深深的关切与担忧。
0:51:25|0:51:50|再看场中[无鸾]，脚不虚浮，未见无力，已是强攻莫怒，求生欲强，称其躯体堪堪抵御重羽林卫之攻击，羽林卫久攻不下，略显急躁，相互间配合不慎严密，反倒给了[无鸾]可乘之机，以命相搏之下再度将数名与林卫击退，见[无鸾]如此难缠，与林卫中有人寻斗争之空隙，
0:51:50|0:52:5|往殿中一尊石柱之后，取事先藏于柱后至钢铁重建置换省中木质兵刃，伺机载入战局当中，只见其踩踏同僚之辈，借力凌空跃起，挥舞手中长剑力劈向[无鸾]。
0:52:5|0:52:16|[无鸾]见其来势凶凶后车数部居短，见于额前防御，却听短兵相接之际，碰撞声轻刻其手中，目的运箭应声断裂。
0:52:16|0:52:29|见如此无闻，便知今日剑术演练是假，叔父灭杀自己如真，于是怒目望向殿上巨头却见新弟，名义假妹，似乎场中一切未曾入他双眼。
0:52:29|0:52:37|失神之际，[无鸾]再度被一众羽林卫击倒，将手中断剑顶飞，除去武装毫无再战之力，
0:52:37|0:52:46|又见长持长剑之羽鳞卫凌空袭来，欲要将[无鸾]置于死地。值此千钧一霸之际，[婉后]于坐上越起，
