0:3:28|0:3:37|[沉香]来到案前登记姓名，主太监站在她身后弹了弹她的耳朵，
0:8:38|0:8:48|女鬼从门口飘进来直奔[沉香]而来，[沉香]吓得捂住眼睛，她从指缝中看到女鬼的手，发现与常人无异便慢慢将手放下。
0:8:48|0:8:58|女鬼拨开头发，竟是一个与[沉香]年纪相仿的小宫女，小宫女往床上一坐，吃起了[沉香]的点心。
0:9:18|0:9:26|两人被一阵歌声吸引，偷偷溜了出去。
0:9:29|0:9:44|两人手牵着手，循着歌声穿过一条大走廊，一位美丽的女子正在跳舞。
0:10:39|0:10:48|冰天雪地中女子跳得十分卖力，好似天上的仙子，美得像是一幅画。
0:11:11|0:11:16|姑姑的身边正是那位跳舞的女子，此时却被冻成了雪人。
0:11:16|0:11:27|[沉香]跟在队伍中忍不住回头张望，几个太监将那舞女的尸体抬起，却一个手滑从桥上掉下去，重重地砸在地上。
0:11:36|0:11:44|[琉璃]端起饭碗与对面的[沉香]视一笑。
0:11:46|0:11:57|晚上[琉璃]神神秘秘地掏出一枚鸡蛋递给[沉香]，两人旁若无人地躺在一起嬉戏着，让这寒冷的宫殿里生出一丝温情。
0:11:57|0:12:5|慢慢的一切步入了正轨，[琉璃]和[沉香]都梳起了齐头，对宫中的事物也逐渐变得得心应手。
0:12:14|0:12:20|小宫女们每人抱着一个浑圆的西瓜，可恨地向地上摔去，顿时粉碎一地。
0:12:21|0:12:37|日子一天天这样过去，周而复始，当年入宫的小宫女们渐渐被时光洗掉了青涩，曾经充满稚气的丫头们已经长得亭亭玉立，[琉璃]和[沉香]在这宫中彼此依靠，度过了漫长的7年。
0:13:40|0:13:46|[琉璃]急着去买[春寿]手中阿哥们的行踪，一旁的[沉香]却不以为然。
0:14:6|0:14:13|[琉璃]拿着手中装有九阿哥行踪的香囊爱不释手，凑近[沉香]，
0:14:51|0:15:1|姑姑在门外叫喊，两人这才停止。第二天如意馆里乱成一团，
0:15:18|0:15:39|[沉香]坐在桌前对着一幅画发呆，[琉璃]在二楼向她招手，她依依不舍地放下画。看大殿的中央挂起一幅画像，正是[沉香]刚刚看到的那张，画中的男子骑着战马一身铠甲，英俊的脸庞上是一双摄人心魄的眼睛。
0:16:0|0:16:27|[春寿]绘声绘色的描述让[沉香]仿佛置身其中，只见十三阿哥一想骑着马从远处飞奔而来，身后跟着一群黑豹，一只黑豹瞅准时机将[胤祥]扑倒在地，其余的几只便纷纷扑了上去，顷刻间[胤祥]的铠甲被撕碎，身上多了无数触目惊心的抓痕。
0:16:28|0:16:45|他怒吼着站起身来将几只黑豹打飞出去，一时之间黑豹们也不敢上前，[胤祥]占据了优势，左右开弓，踢飞两只豹子，随后原地起跳一刀解决了面前的一只，又转身砍向背后偷袭的另一只。
0:16:45|0:16:51|他敏捷地躲闪着黑豹的攻击，仅凭手中的一只小小匕首便所向披靡。
0:16:52|0:17:0|没多久一旁的地上便堆满了黑豹的尸体。[沉香]沉迷在故事当中，竟吓得失声尖叫。
0:17:6|0:17:11|[沉香]捂着发红的脸害羞的跑向一旁。
0:17:11|0:17:25|桌上十三阿哥的画像被一阵风吹出窗外，[沉香]一时着急便追了出去，她沿着台阶一路往下越走越远。
0:17:36|0:17:50|[沉香]追着画像一路跑进了回廊，她盯着画像原地起跳，终于将画像牢牢地攥进了手里，还来不及欣喜，她的视线就被拱门里的华服男子所吸引。
0:17:50|0:18:1|十三阿哥[胤祥]和四阿哥[胤禟]从拱门内的长廊里走过，[胤祥]笑着扭过头，视线正好对上了正在看着他失神的[沉香]。
0:18:1|0:18:8|[沉香]回过神来，慌忙转身想要逃走，却不慎摔倒。
0:18:8|0:18:14|[胤祥]伸出手想要扶她，[沉香]抬头一看深知不能僭越，急忙起身。
0:18:20|0:18:30|四阿哥[胤禟]冷冷地开口，[沉香]吓得脸色惨白，她将头垂得更低了，惊恐万分，[胤祥]于心不忍帮她解围道。
0:18:35|0:18:40|两位阿哥转身离开，留下[沉香]一人呆站在原地。她用余光目送二人，
0:18:41|0:18:48|待二人走远后，她才长舒一口气，想到十三阿哥又忍不住笑了出来。
0:18:48|0:18:57|她急忙拿出手中的画，才发现画纸已被自己揉得皱成了一团。她回到之前的大殿里。
0:19:59|0:20:13|[琉璃]将手帕塞进[沉香]手里，跑着离开了。到了晚上，黑暗蔓延将整个御花园笼罩，九阿哥[胤禟]行色匆匆，路过一个假山处。
0:20:15|0:20:21|突然有一桶水不偏不倚地浇了他一身，他冷着脸扭头看去。
0:20:36|0:20:44|[胤禟]不吭声，[琉璃]便自顾自地起身，试探性地向他走去，伸手要去帮他洗衣服。
0:20:44|0:20:51|[胤禟]低头看着[琉璃]，饶有欣慰地笑了笑，[琉璃]急忙解释道。
0:20:55|0:21:8|[胤禟]不说话，只看着她笑，见九阿哥不说话，[琉璃]只好作罢。
0:21:9|0:21:17|[琉璃]停下脚步，紧张得眼眶发红。而另一边[沉香]坐在上书房门口，正在和瞌睡虫努力抗争。
0:21:18|0:21:27|微弱的烛光下，一只蝴蝶从她身旁飞过，蝴蝶在她的肩膀上短暂停留后便飞向远处。
0:21:27|0:21:31|[沉香]玩心忽起，在蝴蝶的指引下向前跑去。
0:21:31|0:21:36|刚刚跑出两步又想起了什么，从怀里取出手帕蒙在脸上。
0:21:36|0:21:41|她边跑边跳着一路走到了一处荒凉的宫殿外，
0:21:41|0:21:48|这不是小时候看见的那个宫殿吗？[沉香]惊恐地向后退去，
0:21:48|0:21:52|一只手拍了拍[沉香]的肩膀，[沉香]吓得尖叫着跑开。
0:21:54|0:22:0|她跑进院子里躲在一个香炉背后，等到四周没了动静，她才慢慢探出脑袋。
0:22:1|0:22:6|她一边蹑手蹑脚地往外走去，一边神经质地看着四周。
0:22:24|0:22:34|[胤祥]并未在意她的回答，目光早已被空中飞过的几只蝴蝶吸引而去，[沉香]见状便将院子里的灯点亮。
0:22:54|0:22:59|[沉香]举着火烛茫然地摇摇头，[胤祥]陷入了回忆，缓缓开口。
0:23:37|0:23:51|[胤祥]回忆起额娘被抓走时的场景，痛苦地闭上了眼睛，身后的[沉香]突然拿出一个罐子，神秘兮兮地递到[胤祥]眼前。
0:23:51|0:24:5|[胤祥]被吓了一跳，[沉香]却笑着拿出一支毛笔敲了敲罐子，[沉香]用毛笔蘸着罐子里的液体在地上写写画画，[胤祥]以为[沉香]在胡闹，笑着看往别处。
0:24:5|0:24:13|谁知眼前竟飞来一只蝴蝶，[胤祥]不禁瞪大了双眼，不可思议地盯着蝴蝶看。
0:24:13|0:24:21|蝴蝶挥动了翅膀，慢慢朝着[沉香]所在的方向飞去，[沉香]没有察觉，继续低头写字。
0:24:21|0:24:28|当她看见蝴蝶时并未惊讶，只是伸手将它接住，说道。
0:24:28|0:24:40|不一会儿一大片的蝴蝶成群结队地从远处飞了过来，一旁的[胤祥]目瞪口呆，眼里放着光，被眼前的美景惊得合不拢嘴。
0:24:40|0:24:45|[沉香]站在[胤祥]身边，眼睛笑成月牙状，冲着蝴蝶们挥挥手。
0:24:45|0:24:51|蝴蝶们绕来绕去飞到了地面上，化成一个寿字，[胤祥]惊叹。
0:24:54|0:25:2|[沉香]用毛笔戳了戳[胤祥]的嘴巴，[胤祥]急忙捂嘴，恍然大悟。
0:25:18|0:25:24|[胤祥]发觉自己失态了，急忙放开她，[沉香]转身逃开。
0:25:26|0:25:37|[沉香]害羞极了，想转移话题，扭头跑向宫殿的门口，[胤祥]脸上的笑容突然消失。
0:25:38|0:25:43|[胤祥]想起小时候见过的那个女孩。
0:25:44|0:25:56|[沉香]也震住了，眼前浮现出[胤祥]小时候的模样，她不由自主地走进[胤祥]，看着他的眼睛。
0:25:58|0:26:4|他想摘掉[沉香]脸上蒙面的手帕，[沉香]却被他的举动吓到，转身就跑。
0:26:4|0:26:8|一不小心脸上的帕子落在了地上，被[胤祥]拾了起来。
0:26:10|0:26:16|[胤祥]抬眼，[沉香]的身影已经消失了，他的心里却已经有了打算。
0:26:25|0:26:36|[沉香]回到卧房躺下，[琉璃]还未睡着却背对着[沉香]，对她的呼喊充耳不闻，脑海里浮现出不久之前与九阿哥的鱼水之欢。
0:26:36|0:26:45|两人在一间无人的大殿上，躺倒在水榭之上，身上的衣物尽数褪去，赤裸着交缠在一起。
0:26:45|0:26:57|[琉璃]的似水明眸此时晕滔滔地半眯着，觉得自己总算熬出了头。一旁的[沉香]想起今夜和十三阿哥的相遇，也忍不住嘴角上扬。
0:27:8|0:27:16|楚秀宫中，德妃娘娘抿了一口水，身边的奴才用托盘端着的正是[琉璃]给[沉香]蒙面的那块手帕。
0:27:17|0:27:24|德妃娘娘漱完口接着说道，
0:27:47|0:27:54|[胤祥]的眼色一沉，急忙跪下，却一言不发，脸上也没有一丝要认错的神态。
0:28:5|0:28:13|御花园中宫女们行色匆匆地往来穿梭，[琉璃]躲在树后满脸的期待，[胤禟]哼着曲子走了过来，
0:28:51|0:29:6|[琉璃]瘫软倒地，一把抱住九阿哥的腿，九阿哥踢开地上的[琉璃]大步离开。[琉璃]一边流着泪，一边走在回宫的路上。
0:29:21|0:29:27|只一眼[琉璃]立马认出那便是自己的绣作，心脏骤停。
0:29:28|0:29:43|如意馆里[沉香]打扫完毕后没有跟着大家一起离开，她环顾了一下四周，蹑手蹑脚地将扫帚放下，她用尽全力将大殿中央那幅画前的挡板移开，底下便是[胤祥]那幅画像。
0:29:43|0:29:56|[沉香]打量着那幅画中的人痴痴地笑着，耳边仿佛响起了战马的声音，就在这时身后突然有人走进来，[沉香]缓缓转身。
0:29:56|0:30:2|没曾想来人竟是十三阿哥[胤祥]，[沉香]顿时呆住了。
0:30:2|0:30:8|[胤祥]的身后仿佛发着光，眼含笑意看着[沉香]，温柔得快要将人融化。
0:30:8|0:30:21|[沉香]上前揽着[胤祥]的腰，[胤祥]也揽着[沉香]的腰，两人四目相对原地飞舞，两人的身上笼罩着暖色的光，笑容满溢。
0:30:21|0:30:29|[沉香]闭上眼睛享受着此刻的欢愉，当她再次睁开眼时，眼前的人竟变成了[春寿]。
0:31:34|0:31:39|看到[沉香]，[琉璃]的表情变得心虚，从人群中走了出来。
0:31:39|0:31:45|[沉香]冷着脸难以置信地看着[琉璃]，一旁的[春寿]亦是如此。
0:31:45|0:31:51|回到屋子，[琉璃]扑通一声跪倒在[沉香]面前，
0:32:40|0:32:49|两人抱在一起痛哭流涕。[沉香]就这样将自己的位置拱手让人，
0:32:49|0:33:10|只能在夜深人静时一个人呆坐在床边，直至天际泛起银白，[琉璃]看着为自己忙碌的下人们，露出心满意足的笑容。
0:33:20|0:33:27|[琉璃]盛装打扮后，在[沉香]的搀扶下去见德妃，[胤祥]却早早地在半路迎接她，
0:33:36|0:33:53|[胤祥]察觉到[琉璃]的异样，眼里闪过一丝诧异，却并未怀疑什么。储秀宫的正殿内，[琉璃]跟在一群妃嫔身后慌慌张张地行跪拜礼，紧张不已。
0:33:59|0:34:4|[琉璃]生疏僵硬的动作引得妃嫔们窃笑不已，德妃缓缓开口。
0:34:28|0:34:34|妃嫔们眼中满是嫉妒和不屑。
0:34:36|0:34:39|[琉璃]受宠若惊，却不慎跌倒闹了笑话。
0:35:5|0:35:20|教习姑姑将沉重的发饰按在[琉璃]的头上，[沉香]站在一旁眼里尽是心疼。
0:35:20|0:35:37|不一会功夫，[琉璃]便被打扮得贵妇，看完[琉璃]，[沉香]推门而出，谁知十三阿哥站在门口，她急忙转身离开。
0:36:14|0:36:21|[沉香]只想逃离，[胤祥]却不给[沉香]离开的机会。
0:36:23|0:36:33|[沉香]低着头不情不愿地走到十三阿哥跟前，[沉香]只好乖乖坐下，[胤祥]递给她一块点心。
0:36:34|0:36:43|看到[沉香]不作为，[胤祥]厉声道。[沉香]这才接过点心，咬了一大口。
0:36:43|0:36:52|[胤祥]开心的像个孩子。
0:36:54|0:36:57|[胤祥]满脸期待地看着[沉香]。
0:38:15|0:38:23|[春寿]为[沉香]打抱不平，[沉香]虽然叹息，却不想再奢求什么。第二天，[沉香]被一个公公带到了马场，
0:38:25|0:38:33|公公低着头不说话，转身快步离开，[沉香]的身后却传来了马蹄声。
0:38:34|0:38:46|[沉香]一转身只见十三阿哥骑着马已经到了自己跟前，并将一只手将[沉香]抱起放在身前，[沉香]吓得失声尖叫。
0:38:59|0:39:6|[沉香]转身跑到一边蹲下，[胤祥]也上前蹲了下来。
0:40:6|0:40:11|[胤祥]定定地望着[沉香]。
0:40:12|0:40:24|[沉香]愣住了，[胤祥]的脸却越靠越近，[沉香]情不自禁地闭上眼睛。
0:41:6|0:41:13|晚上[琉璃]闭着眼睛坐在浴桶里，门突然被推开。
0:41:46|0:41:54|[胤祥]轻笑一声，从身后摸出一张银质的令牌。
0:42:26|0:42:29|听着[胤禟]的形容，[琉璃]立马明白了。
0:42:29|0:42:43|没多久[沉香]从马场回来，她像是恋爱中的少女一般一蹦一跳地往回跑，她回到自己房中，却看到[琉璃]坐在桌前，满脸堆笑地看着她。
0:42:46|0:42:52|[琉璃]走上前来说道，[琉璃]将手搭在[沉香]肩上。
0:43:53|0:44:2|[琉璃]大笑着离开，[沉香]不敢相信[琉璃]变成了这样，只能捂着嘴无声地哭泣。
0:44:2|0:44:9|走廊上，[胤祥]突然跳出来恶作剧。
0:44:35|0:44:38|[琉璃]抿嘴浅笑，内心得意不已。
0:44:38|0:44:46|她想要的荣华富贵如今已经尽在掌心，只不过这些都是从[沉香]的手中夺来的。
0:44:47|0:44:54|冬天来临，大雪覆盖了整片皇宫。
0:45:23|0:45:29|[胤祥]在一旁打圆场，[琉璃]却跪倒在床边，一脸为难。
0:46:13|0:46:22|[胤祥]走后，[琉璃]脸色一变，狠狠地瞪了一眼[沉香]。夜晚[胤禟]和[琉璃]在床榻上缠绵。
0:46:24|0:46:33|[琉璃]拉住[胤禟]的手却被一把甩开。
0:46:52|0:46:59|[沉香]突然推门而入，却见到[琉璃]端坐在床上，身上只穿了一件肚兜。
0:46:59|0:47:9|[琉璃]假装镇定，同时还不忘挡住自己的手腕，[胤禟]破窗而出，[沉香]大惊失色。
0:47:29|0:47:42|第二天，[胤祥]突然收到了一个带字的风铃，而另一边[沉香]正坐在桌前奋笔疾书。
0:48:36|0:48:43|[胤祥]走远后，[琉璃]深吸一口气，咬牙切齿道。
0:48:55|0:49:2|[琉璃]转过身来看着[沉香]。
0:49:16|0:49:21|[琉璃]走到桌前将茶杯捧起，随后重重的砸到地上，
0:50:6|0:50:15|[沉香]闭上双眼，努力克制自己的情绪，睫毛却不住的颤抖。当她再次睁眼时，恨意已经充满了双眼，
0:50:15|0:50:22|可是此时的她却无力抵抗。冬天的夜晚来得又快又刺骨，
0:50:22|0:50:25|紫禁城俨然变成了一座冰雪琉璃城。
0:50:25|0:50:39|[沉香]站在路边，身上已经铺了一层厚厚的雪，冻得瑟瑟发抖，身后突然有了响动，[沉香]回头看去是十三阿哥，她扭头狂奔而去。
0:50:44|0:50:51|[沉香]的脸冻得惨白，红着眼眶，睫毛上凝结出碎碎的冰晶，惹人怜惜。
0:51:8|0:51:14|[沉香]心如刀绞，却松了口气，刚准备离开又突然转身一把抱住[胤祥]说道。
0:51:15|0:51:23|[沉香]的脸贴在[胤祥]温暖的胸前，随后又恋恋不舍地松开。
0:51:23|0:51:28|[胤祥]低头看着近若咫尺的[沉香]，眼里泛起一阵波澜。
0:51:28|0:51:35|[沉香]一步步退后，一颗晶亮的泪珠从脸上划过，随后飞一般地逃开了。
0:51:35|0:51:40|[胤祥]呆站在原地，心里涌起一丝异样的感觉。
0:51:41|0:51:48|新婚之夜，[沉香]将一切嘲讽声关在门外，转身对[春寿]说。
0:52:44|0:52:51|[春寿]无助地哭泣着，脸上身上都布满了伤痕，触目惊心。
0:52:51|0:52:59|[沉香]在一旁为他添置热水。
0:53:5|0:53:9|[春寿]闻言哭得更厉害了。[沉香]蹲在水盆边，
0:53:9|0:53:16|虽然未曾言语，却忍不住捂着嘴抽泣起来，身体不住地抖动。
0:53:53|0:54:2|皇上的眼里终于有了一丝欣慰，他缓缓地站起身向[胤祥]走去，抬起手说道。
0:54:10|0:54:20|其余大哥们跪在地上不敢动弹。
0:54:20|0:54:27|四阿哥脸色阴沉，太子更是愤愤不平。白天的京城热闹非凡，太子一人走在人群中，
0:54:31|0:54:36|一边发着牢骚，一边往身旁的乞丐碗里扔着钱。
0:54:37|0:54:53|突然被一旁的戏曲声吸引，[胤禟]将身上的戏服脱下，老人接过戏服，[胤禟]便作揖告别。
0:54:53|0:55:2|[胤祥]在门外看得疑惑不已，按捺不住好奇溜进去偷看，好巧不巧的被那老人给发现了。
0:55:16|0:55:20|[胤祥]打量着周围思索片刻，将一袋金锭倒在桌上。
0:55:21|0:55:28|老人见状一愣，[胤祥]紧盯着他说道。
0:55:51|0:56:14|皇上的话音刚落，周围便敲锣打鼓的喧闹起来，一群太监提着灯笼从一旁的台阶快速走来站成两行，只见几个穿着戏服的人举着旗子风风火火地跑了出来，站在最中间的便是[胤祥]，他穿上孙悟空的行头有模有样地唱着。
0:56:51|0:56:57|[胤祥]跪在地上不知所措，直到看到一旁[胤禟]得意的眼神才明白自己中计了。
0:57:8|0:57:15|[胤禛]闻言皱紧眉头将手中的棋子落下。
0:58:7|0:58:18|[胤祥]闻言神色一惊，扭头背对着银针，慌乱之色布满脸庞，随后像是做了什么决定一般，忽然扭头说道。
0:58:27|0:58:34|夜晚延禧宫安静得可怕，[沉香]站在院内发呆，听到脚步声急忙躲了起来。
0:58:35|0:58:45|[胤祥]一步步靠近殿门口却没有进去，满腹心事地自言自语道。
0:58:54|0:59:2|深夜，[琉璃]按照[胤祥]的指示躲在御花园的暗处，她在树丛中小心翼翼地穿梭着，生怕被巡逻的宫人发现。
0:59:58|1:0:7|听完[胤祥]的话愣住了。[胤祥]说完便转身离开了。
1:0:8|1:0:15|从延禧宫出来后，[沉香]心事重重地走在甬道上，突然听到窸窸窣窣的谈话声。
1:0:15|1:0:23|她顺着声音寻去，蹑手蹑脚的来到了月牙门洞，抬眼望去看到了[琉璃]和[胤禟]。
1:0:35|1:0:39|两人听到响动急忙扭头，看着仓皇而逃的纤细背影，[琉璃]惊呼。
1:0:42|1:0:48|[沉香]不敢有丝毫犹豫，沿着宫中的长廊疯狂向前跑，寻找十三阿哥的身影。
1:0:48|1:0:59|她跑到宫外，发现十三阿哥早已不在这里，又急忙掉头往回跑，终于在一个长廊的镜头看到了[胤祥]的身影，[沉香]毫不犹豫地追了上去。
1:1:0|1:1:10|就在这时，怡妃娘娘的彩帐经过此处，宫人们只能避开行礼，[沉香]退避在一旁，眼睛却死死盯着十三阿哥。
1:1:11|1:1:17|可是当[沉香]再次追上去时，十三阿哥已经出了宫门，[沉香]却被侍卫拦下。
1:1:17|1:1:26|她灵机一动上了一旁的高楼，对着远处大喊，一只有力的大手捂住了[沉香]的嘴将她拖走。
1:1:26|1:1:32|[胤祥]闻声扭头看去，只以为自己产生了幻听，随即离开。
1:1:56|1:2:10|皇上戴上了黄金打造的头盔和面具，[胤祥]和[胤禟]则带着银质的头盔，父子三人骑马驰骋在围猎场上，身后跟着一大群随从。几只梅花鹿受惊窜过，[胤祥]举起弓箭喊道。
1:2:22|1:2:27|[胤禟]闻言带着一行随从潜入一旁的丛林中，身影逐渐消失。
1:2:27|1:2:32|[胤祥]微微侧目，看着一旁的空档，觉得此时便是千载难逢的好机会。
1:2:33|1:2:38|他强装镇定，偷偷脱离了队伍，任由皇上一人追着猎物策马狂奔。
1:2:38|1:2:45|远处四个黑衣人骑马赶来，手里都待着武器，扛着箭盒朝树林深处奔去。
1:2:45|1:2:51|皇上甩开随从，独自一人追赶着梅花鹿，浑然不知自己已经掉入了陷阱。
1:2:52|1:2:59|就在他将箭射出去的那一刻，身旁四个黑衣人已将他团团围住，
1:3:6|1:3:18|话音未毕，周围的黑衣人纷纷被远处的流箭射倒在地。顷刻间，埋伏在四周的士兵将[胤祥]等人围得水泄不通，皇上满脸冷霜出现在士兵队伍中。
1:3:19|1:3:30|[胤祥]看着他惶恐震惊，还来不及反应，便被眼前的假皇上用弓箭打碎了面具，眼前一黑晕了过去。假皇上摘下面具竟是[胤禟]。
1:3:41|1:3:48|[胤祥]被侍卫们押解着，蒙着眼睛衣衫污浊。
1:4:18|1:4:29|[胤禟]的脸色变得难看，想要发怒却束手无策，任由[琉璃]得意。看见[胤禟]发愣，[琉璃]突然上前一把抱住他，狠狠的咬住他的唇。
1:4:29|1:4:36|[胤禟]挣扎着推开[琉璃]，嘴上早已渗出鲜血。
1:4:38|1:4:42|[胤禟]擦掉嘴上的血迹，抬头笑得阴险至极。
1:4:43|1:4:49|延禧宫内，皇上站在大殿上，望着眼前已经生锈的黄金笼子发呆。
1:4:50|1:4:54|眼前突然浮现出敏妃生前的音容笑貌，
1:5:6|1:5:19|敏妃携侍女站在湖边未曾察觉身后的皇上，只是笑着伸出手来，随着两只手腕轻盈地翻转，一条金龙便出现在夜空中盘旋而上。
1:5:19|1:5:24|皇上和身边的侍从纷纷瞪大双眼，面露惧色，吓得跪倒在地又往上。
1:5:54|1:6:0|皇上忍着痛下定了决心，侍卫们拿起冰冷的长矛刺进了敏妃的身体。
1:6:7|1:6:15|皇上脸色骤然惨白，追悔莫及。
1:6:15|1:6:35|尘封已久的记忆突然被打开，皇上不由自主地再次落泪，德妃竟悄悄地出现在皇上身后，眼中尽是温柔，皇上看着她想要说什么，却化作一声长叹。一桶冰水从[沉香]头上浇下。
1:6:48|1:6:55|[琉璃]将[沉香]推倒在地，恶狠狠地瞪着眼珠。
1:6:58|1:7:3|[琉璃]俯身蹲下抓着[沉香]的衣领，眼里翻腾着浓浓的恨意。
1:7:3|1:7:9|她喘着气，美丽的面容变得扭曲狰狞，抬手抚摸着[沉香]的脸颊说道。
1:7:22|1:7:29|[沉香]抬眼看着如此陌生的[琉璃]，眼里的悲伤掩过了恐惧。两人来到门前。
1:7:38|1:7:51|门前的长廊上铺满了烧得炽热的黑炭，滋滋作响，[沉香]却面不改色，弯腰脱下鞋袜露出赤裸的双足，没有一丝犹豫便踩进刺骨的雪地里。
1:7:51|1:7:57|[琉璃]紧盯着[沉香]的背影，身后的宫女和嬷嬷站成一排不敢出声。
1:7:58|1:8:10|[沉香]走到炭火前停下，[琉璃]不屑的扭过头，以为她不敢上前，只见[沉香]将沾满雪花的脚缓缓抬起，随后一点一点地踩到炭火上。
1:8:10|1:8:22|[琉璃]只瞄了一眼，被[沉香]的举动吓到露出难以置信的表情。[沉香]痛苦地张开嘴巴，却只能发出沙哑的嘶嘶声，忍着痛踉跄前进。
1:8:22|1:8:27|[琉璃]身后的随从都抬头看向[沉香]，皱着眉头不忍直视。
1:8:28|1:8:34|[春寿]站在远处望着这一切，心疼得泪流满面，却痛恨自己无能为力。
1:8:34|1:8:40|眼看着[沉香]走到了走廊的对面，[琉璃]眼眶微红，却恨意不止。
1:8:40|1:8:45|[沉香]呆坐在地上脸色惨白。
1:8:57|1:9:4|[春寿]贿赂了宗人府的看守，为[沉香]打点好了一切。冬日里的宗人府里一片荒凉，
1:9:4|1:9:13|枯掉的树枝已被雪花包裹着，乌鸦在一旁吱呀，[沉香]拖着残躯一瘸一拐地走进院子，
1:9:14|1:9:22|赤裸着的双足踩在雪地里，仿佛已经失去了知觉。她扶着石柱一点点往前踱着步子，
1:9:23|1:9:28|已然忘记了身上的痛，满心满眼都在牵挂着十三阿哥。
1:9:29|1:9:43|她走进店内环顾着四周，[胤祥]在暗处突然出生，[沉香]应声扭头，发现[胤祥]瑟缩在床上颓废不已，
1:9:55|1:10:12|[胤祥]愣住了，虽然眼睛已盲此时却发着光，翻身下床朝[沉香]狂奔而来。[沉香]急忙上前扶住跌跌撞撞的[胤祥]，随后便被他紧紧抱住，[胤祥]抚摸着[沉香]的脸。
1:10:19|1:10:29|[胤祥]情不自禁地再次抱住[沉香]。
1:10:52|1:10:57|[沉香]不知道该喜还是该悲，只是无声地点了点头。
1:10:57|1:11:6|[胤祥]笑着环抱住她，[沉香]就这样胡乱地答应下来，不考虑后果，只要十三阿哥高兴便好。
1:11:6|1:11:12|回去后[沉香]兴高采烈地开始准备各种食物，想要带给十三阿哥。
1:11:12|1:11:27|[沉香]已经起身忙碌起来，[春寿]跟着身后馋得直流口水，[春寿]夹起一块白菜放进嘴里。
1:11:28|1:11:38|[沉香]急得跳脚，[春寿]却悠哉悠哉地继续吃了起来。
1:11:55|1:12:3|宗人府的侍卫突然变了脸，好说歹说都不让[沉香]再进去了，推搡中[沉香]摔倒在雨中，食盒里的菜也散落一地。
1:12:4|1:12:13|[沉香]心疼不已，绝望地哭了。正在这时一位太医从宗人府里走了出来，[沉香]眼前一亮，爬起来追了上去。
1:12:52|1:13:9|太医带着[沉香]走进一个暗道，推开了一扇又一扇的暗门。[沉香]毅然决然的眼神中不免露出一丝对未知事物的恐惧，四周是会移动的铜墙铁壁。太医推开最后一扇门，一座密室映入眼帘。
1:13:36|1:13:42|眼前的雕像突然变作一扇门缓缓打开，里面是一个巨大的水池。
1:13:43|1:13:50|水池两边的龙头不停的往出排水，池中的液体浑浊不堪。
