0:0:22|0:0:25|夜幕降临，整个小镇仿佛陷入沉睡。
0:28:27|0:28:37|桌上的黑胶唱片机发出悠扬的音乐，一双手打开了桌子前的抽屉，内人将抽屉里的王婆砒霜拿了出来，然后将抽屉关闭。
0:29:0|0:29:10|[顺子]接过面，他敲开[王大猫]的房门，双手端着面漫步走到书桌前，然后弯腰将面稳稳地放在了[王大猫]的桌上。
0:29:10|0:29:12|他微微抬起身子说道。
0:29:15|0:29:18|[王大猫]眼睛盯着[顺子]默不作声，不言一语。
0:29:28|0:29:41|[顺子]端着夹了两次[王大猫]砒霜的面，来到大太太房间里，将面放在了房间内的桌上，没想到一开口就差点暴露了。
0:29:43|0:29:45|大太太惊讶道。
0:29:45|0:29:48|[顺子]愣了愣，连忙补救道。
0:29:48|0:30:6|大太太听了这话，脸上立马堆满了笑容，她将手里的梳子放下，然后拉开梳妆台下的抽屉，从里面拿出一个青花瓷样的小型毒药罐子，笑眯眯地将它放在脸边，向[顺子]展示，她站起身，拿着毒药罐走到桌前。
0:30:14|0:30:17|餐桌前，[王大猫]坐在主位上。
0:30:17|0:30:22|坐在两侧的人，分别是大太太和[方片]管家，他们面前都放着一碗面。
0:30:22|0:30:28|三人盯着眼前的面都目不作声，[顺子]则事不关己地站在一旁。
0:30:28|0:30:30|三人坐在桌前各怀鬼胎。
0:30:30|0:30:34|[王大猫]先是看着[方管家]，然后又转头看向[大太太]。
0:30:35|0:30:42|接着三人都同时看向[顺子]，然而[顺子]将头看向一边，表示不参与他们的恩怨。
0:30:42|0:30:46|三人都不敢轻举妄动，[王大猫]受不了这氛围，对着[方管家]说。
0:30:49|0:30:59|老爷，[王大猫]听后没有动筷子，而是若有所思地将头转向[大太太]，然后说道。
0:31:7|0:31:21|[王大猫]的眼神从[大太太]身上转流到桌上的一碗面里，他拿起筷子和面，却丝毫没有要吃的动作，而是将话锋转向了[方管家]。
0:31:21|0:31:25|[王大猫]将面放在[方管家]的面前，[方管家]一脸假笑。
0:31:30|0:31:36|[方管家]听后，脸上的假笑也维持不住了，他看着[王大猫]用扭头看向桌上的面。
0:31:36|0:31:46|两久，才将面和筷子拿了起来，知道实情的[顺子]和[大太太]看着[方管家]的举动，都紧张地咽了咽口水。
0:31:55|0:32:1|[方管家]张开嘴巴，正要把面塞进嘴里，听了这话赶紧停了手里的动作。
0:32:1|0:32:8|[方管家]则是对她投去了感激的目光，[王大猫]和[顺子]都看着[大太太]下一步的动作。
0:32:24|0:32:41|[王大猫]和大太太逼着[方管家]吃面，[方管家]看着他们一脸严肃的脸，又低下头看了看自己手中的面，心里一横，就要将面塞进嘴里，这时，门外突然传来枪声，将众人吓了一跳，众人全部看向门口，两个官兵拿着步枪。
0:32:55|0:32:59|[王大猫]、[方管家]和[顺子]走过去。
0:32:59|0:33:3|大太太则是躲在墙后面。
0:33:3|0:33:10|矮一点的官兵说完，打量着面前的三位，然后走到[王大猫]的面前问道。
0:33:19|0:33:35|艾官兵又问[顺子]，点了点头，艾官兵又问[方管家]，得到满意的答案，艾官兵又望向[王大猫]问道。
0:33:35|0:33:37|[王大猫]因为无知，挨了官兵的一巴掌。
0:33:41|0:33:49|艾官兵走到[顺子]前，问道。
0:33:49|0:33:57|然后慢悠悠地走到[王大猫]面前，准备发问。
0:33:57|0:34:0|艾官兵听了[王大猫]的话，走到[顺子]的面前问道。
0:34:22|0:34:26|矮官兵对着三人问道。
0:34:26|0:34:32|[王大猫]和[方管家]各自向后退了一步，矮官兵看着站着没动，却在前面的[顺子]问道。
0:35:8|0:35:17|说完，两个官兵向门口走去，方管家狗腿地送客，大太太在墙后看着这一切，[顺子]听了[王大猫]的话立马跪下。
0:35:21|0:35:29|正当[王大猫]举起手想要打[顺子]时，刚刚走掉的官兵又踹开门回来了。
0:35:32|0:35:33|矮官兵向[顺子]问道。
0:35:48|0:35:55|两位官兵追着[王大猫]来到了伙房，在一阵追逐后，他们看着桌上的三碗面条都不约而同的愣了愣。
0:35:55|0:36:7|官兵们放下枪，坐到桌子面前，[顺子]，方管家，大太太则是都来到了伙房，他们看着官兵们准备开始吃面，不由得大喊，官兵们吓了一愣。
0:36:17|0:36:25|官兵们被这一嗓子吓得愣住，官兵们根本不听劝说。
0:36:25|0:36:31|又拿起碗吃，大太太举起手，比了个三说道。
0:36:31|0:36:52|官兵二人面面相对，说完，他们挑了挑面准备塞进嘴里，官兵们拿起枪对准他们，[王大猫]几人被这阵仗吓得不敢动弹，官兵们就端起碗大口大口的吃着面，吃完他们准备离开。
0:36:52|0:36:54|几人向官兵们鞠了一躬。
0:37:2|0:37:14|两位官兵还没走出大门，毒性就发作了，只见他们突然跪倒在地上，抽搐不止，[王大猫]等人鞠躬到一半，赶紧上前查看，[顺子]探了探官兵的鼻息，说道。
0:37:17|0:37:20|顿了顿，继续说道。
0:37:55|0:38:0|[顺子]说完，侍翼[王大猫]和[方管家]向后看，后面竟是家里的其他佣人。
0:38:3|0:38:24|佣人们手举着火把，和[王大猫]几人相视无言，等到了早上，[王大猫]急忙地往包裹里装了几件衣服，账簿以及几十块银元，打算跑路，他刚出房门就呆住了，只见[方管家]，[顺子]，大太太和[春天]站在门口，[顺子]看他这样，开口道。
0:38:43|0:38:52|这番话语重心长，[方管家]和[顺子]无奈地低下了头，大太太和[春天]则是一脸不屑。
0:39:4|0:39:10|[顺子]转头，看了看旁边的大太太，大太太则是扭着身子，一脸鄙夷。
0:39:39|0:39:44|大太太不悦地打断了[王大猫]，而[王大猫]来到她面前严肃地说道。
0:39:57|0:40:3|[方管家]愣了愣，低下了头，[王大猫]背着行囊向门口走着，四人在后面跟着。
0:40:15|0:40:22|[方管家]不舍得大喊了一声，[王大猫]听见后停下了脚步，然后转身看向他。
0:40:22|0:40:27|这时，[方管家]小跑来到[王大猫]的面前，两人互相看着对方。
0:40:27|0:40:30|两久，[方片]管家开口道。
0:40:30|0:40:34|他伸手整了整[王大猫]的衣服，心疼地说道。
0:40:41|0:40:46|[方片]管家的话感人肺腑，[王大猫]却不领情。
0:40:46|0:41:2|[王大猫]骂完[方片]管家，转身就向门口走去，谁知刚到门口，大门就被人踹开，一个枪口顶在了[王大猫]的面前，他只能慢慢地向后退，门外进来了两个官兵，其中一个对着他问道。
0:42:0|0:42:5|这话一出，官兵们一脸不可思议地望着他们。
0:42:5|0:42:7|[王大猫]回答。
0:42:25|0:42:29|官兵们得到满意的回答，就转身离开。
0:42:29|0:42:35|谁知却看到靠在墙边的大太太，二人猥琐地开口问道。
0:42:35|0:42:42|大太太扭捏地说。
0:42:42|0:42:45|[方片]管家在一旁满脸蓝色，官兵又问[春天]。
0:42:50|0:42:57|说完，官兵向[春天]走去。
0:42:57|0:43:9|[顺子]拦住官兵，随后站在官兵二人面前。
0:43:9|0:43:14|官兵看了看[春天]，又疑惑地看向[顺子]，随即开口问道。
0:43:18|0:43:23|两个官兵互相看了看，又看向坠坠不安的[春天]，而大太太在一旁看戏。
0:43:23|0:43:27|谁知，官兵又将目光转向她，微微挑眉。
0:43:42|0:43:51|大太太听了这话冷哼一声，摇曳着身姿向屋内走去，而[方片]管家在墙后看着这一幕，心里十分气愤。
0:43:51|0:43:54|他不知想到了什么，就消失在画面中。
0:43:54|0:44:1|两个官兵拿着枪威胁，大太太进了屋，走到床边时，大太太突然回头看向他们。
0:44:20|0:44:26|两个官兵看到大太太这样，都放下了枪互相看了看，就向着大太太走去。
0:44:33|0:44:40|官兵一脸懵的扭头看了看，不知道什么时候出现在[方片]管家身边的大太太。
0:44:40|0:44:46|方管家搂着大太太，并扭头给她一个飞吻，[王大猫]在屋外看着这一切，气得嘴里麻麻咧咧。
0:44:48|0:45:0|两个官兵看着架势，联盟了去拿枪，[方管家]立马将怀里的大太太转了出去，拿着菜刀去砍两只即将要拿到枪的手，却被官兵赶了过去。
0:45:0|0:45:9|接着[方管家]恼羞成怒地拿着菜刀劈向官兵的面门，然后砍向两人的中间，接着又砍向两人的裆部以及腰部。
0:45:10|0:45:16|官兵接连闪躲，最后找准时机，一脚踹向[方管家]的腰部，将他踹飞出去。
0:45:16|0:45:23|倒地的[方管家]顾不上查看自己的伤势，立马拿起手边的菜刀，站起身来向官兵砍去。
0:45:23|0:45:30|谁知，他一转身就愣在原地不敢动弹，两位官兵已经拿着枪对准[方管家]的裆部。
0:45:40|0:45:48|两位官兵夺门而出，另一边，[顺子]和[春天]已经跑出了村庄，[王大猫]等人也跟着跑出了王宅。
0:45:48|0:45:51|官兵出了门，左右看了看，说道。
0:45:51|0:45:57|官兵首当其冲去追人，宅子里的[王大猫]等人也跑了出来，加入追捕[顺子]和[春天]的队伍。
0:46:3|0:46:14|[顺子]和[春天]跑到了树林处，一大群人在后面追着，官兵耐不住性子朝他们开了两张。
0:46:14|0:46:33|官兵们一路追随，来到人间天上旁边的小吃街，他们路过潘金莲子洲，又路过了四个打扮怪异的商贩，四个商贩不怀好意地盯着他们，在官兵走后，又翻了个白眼就从小摊上离开，而[顺子]和[春天]也从小摊后露出头。
0:47:30|0:47:34|[王大猫]带着庸人闯进人间天上，随后命令。
0:47:34|0:47:41|[王大猫]一声令下，庸人都跑向不同的方向去搜寻，[顺子]跟随[春天]来到他之前住的房间。
0:47:49|0:47:59|[顺子]和[春天]面面相觑，紧接着，[顺子]踮起脚，慢慢走向虫边，将[春天]父亲的琴拿到手后，二人就打算赶快离开。
0:47:59|0:48:3|可正当他们要下楼时，却看到了在楼下找人的[王大猫]。
0:48:7|0:48:15|[王大猫]和佣人们一起上了楼，甚至和[春天]进了一个房间，又赶紧将门关上，然后向屋内跑去。
0:48:15|0:48:20|此后，[王大猫]等人打开房门，大摇大摆地走进屋内。
0:48:29|0:48:45|几人冲上前，开始殴打在床上的两人，[顺子]和[春天]趁乱想逃走，谁知突然传来一声枪响，突如其来的枪响声吓住了在场的每一个人，众人只见背上有一个冒烟的洞，接着，[老K]从被子里出来大声喊道。
0:48:52|0:49:0|姑娘们都从人间天上跑了出来，[顺子]和[春天]也趁乱拔腿就跑，[王大猫]等人则在后面，锲而不舍地追着他们。
0:49:5|0:49:10|[顺子]和[春天]实在跑不动了，就放弃了逃跑，在原地休息。
0:49:10|0:49:13|[王大猫]等人也追上来，在一旁喘气。
0:49:32|0:49:38|此时，身在大王庄的[王大猫]还没有意识到事情的严重性。
0:49:38|0:49:43|他与大太太坐在房间的主位上，一旁站着的是[方片]管家。
0:49:43|0:49:49|过了一会儿，[王大猫]开始审问抓回来的[顺子]和[春天]。
0:50:7|0:50:13|刚刚还盛气凌人的[方片]管家和大太太顿时怂懒，往[王大猫]气的拍桌。
0:50:34|0:50:40|大太太不服气地说。
0:50:40|0:50:44|[王大猫]用手托起[方片]管家贼眉鼠眼的脸，说道。
0:50:55|0:50:59|[王大猫]用手撇过[方片]管家的脸，坐正身子对着大家说。
0:51:18|0:51:22|[王大猫]转身看着屋子里的人，开口说道。
0:51:27|0:51:39|他弯下身子看着跪在地下的[方片]管家，然后阴森森的说。
0:51:39|0:51:42|[方片]管家听完这话，直溜溜的倒在地上。
0:51:47|0:51:52|[王大猫]瞅了一眼大太太，然后向前走了几步，对着[顺子]和[春天]说。
0:52:36|0:52:43|[王大猫]一脚将[方片]管家踹翻在地，[顺子]和[春天]在墙角交流。
0:53:17|0:53:28|官兵一脚踹开王宅大门，随后，大批官兵进入王家府邸，队伍的最后带着两名官兵，走在中间的副官大喊道。
0:53:28|0:53:35|[顺子]身穿贵气的长袍走在最前面，后面跟着[王大猫]等人，副官看着他们问道。
0:53:54|0:53:56|之前来过王宅的官兵指着[顺子]说。
0:54:1|0:54:7|[顺子]眼神坚定地看着副官，副官走到他面前，用手拍了拍他的肩膀说。
0:54:18|0:54:24|[顺子]眼看着就要被官兵押走，这时[春天]站出来叫住他。
0:54:24|0:54:36|[顺子]听见后转身看向[春天]，而[春天]则是不管不顾地奔向他，二人在众人的注视下紧紧相拥在一起，仿佛这一别就是永别。
0:54:36|0:54:42|黄大猫看着面前的情景脸色不好地低下头，[方片]管家则是一脸可惜地摇了摇头。
0:54:43|0:54:47|拥抱在一起的两人，仿佛一幅绝美又凄惨的画卷。
0:54:59|0:55:3|退开[春天]的怀抱，[顺子]决绝地转身离开。
0:55:3|0:55:6|紧接着，大批官兵也离开了王宅。
0:55:6|0:55:9|[春天]站在原地，含泪看着[顺子]的背影。
0:55:9|0:55:15|谁知，[顺子]和官兵才刚走没多久，[王大猫]就跟没少人一样，动起了歪心思。
0:55:26|0:55:33|夜晚，在有众多官兵把守的宅院里，院子里的正中央有一只用铁链拴着的老虎。
