0:0:44|0:0:47|[戚佳]目光空洞地上了一辆公交车。
0:31:22|0:31:25|[袁晓鸥]接过笔签了字。
0:31:31|0:31:34|[戚佳]从[袁晓鸥]腋下抢过快递。
0:31:37|0:31:39|她步履不稳地看着纸盒。
0:31:50|0:32:3|[戚佳]摇摇晃晃地磨搓着胸口，给[袁晓鸥]指了指，跨地盒上的刘冲二字，把盒子抱在怀里。
0:32:3|0:32:6|[戚佳]拉门走进楼里，[袁晓鸥]悲愤地垂下头。
0:32:15|0:32:18|[戚佳]盘腿坐在床头泪流满面。
0:32:37|0:32:45|第二天，[戚佳]穿着复古纱裙，静静地在一床花瓣中平躺着，手里还握着水晶球。
0:32:48|0:32:53|清晨，冷清的弄堂里，[袁晓鸥]抱着[戚佳]，疯了一样地跑着。
0:32:53|0:33:0|[戚佳]纤细的胳膊垂在她的腰后，像一个随时都会破碎的娃娃。
0:33:0|0:33:20|街边的路人纷纷回过头看着他们，[袁晓鸥]快速地消失在路的尽头。一间单人病房里，[林书儿]走到书页屏下，床上躺着的[戚佳]不由地按住胃，看她闭着眼又张口轻喘着。[林书儿]坐下来，趴在床边说道。
0:33:34|0:33:39|[凌树儿]无语地撇向一旁，又扭过头来劝他。
0:33:45|0:33:50|[凌树儿]眉间微醋，便问出了心中隐藏多年的迷思。
0:33:56|0:34:0|[齐家]的头转向外侧，背对着[凌树儿]要睡。
0:34:0|0:34:1|[凌树儿]绕到[齐家]面前。
0:34:9|0:34:15|[戚佳]的眼泪扑诉诉地滑进耳朵里，她回忆着说出自己的心路历程。
0:34:23|0:34:27|她仍然不看[林书儿]，静默了几秒接着说道。
0:34:32|0:34:37|[袁晓鸥]推门，轻手轻脚地走到[戚佳]的床边。
0:35:6|0:35:8|[袁晓鸥]点头。
0:35:14|0:35:16|[戚佳]转过头来，看着天花板。
0:35:19|0:35:25|林书儿和[袁晓鸥]同时喊话，却背道而驰，车窗外的风景倒退。
0:35:31|0:35:41|[戚佳]婉儿见[袁晓鸥]扭头看她，立马瞪过去。
0:35:41|0:35:50|跑车驶上沿海的高速，车窗外的渔船迅速淹没在绿化带里，半旋的夕阳将海面点缀得浮光月金。
0:35:51|0:35:57|近郊别墅里的油菜花开得正盛，林书儿把车开到花田的小路上。
0:35:57|0:36:2|车刚停稳，[戚佳]就打开后车门，快步走向花丛。
0:36:2|0:36:5|林书儿跟着下车喊道。
0:36:11|0:36:13|见[袁晓鸥]下车，林书儿骂道。
0:36:27|0:36:36|[戚佳]和林书儿跑到花田深处，左右张望了一番就蹲了下去，花田静悄悄的，好像从没来过人一样。
0:36:36|0:36:47|过了一会儿，两人轻扶着半人高的油菜花，惬意地在花田中旋转漫步，蹦蹦跳跳地互相拢着走出花田。
0:36:47|0:36:54|车子开到小桥流水旁的农家小院门口，转眼，三人便坐在院子里吃晚饭。
0:37:22|0:37:25|[林树儿]立马抢肉。
0:37:25|0:37:39|[戚佳]借过平板电脑，页面上是一件脱轨婚纱。
0:38:30|0:38:36|雨夜里，[林淑儿]在副驾上睡去，[袁晓鸥]继续开车赶路。
0:38:36|0:38:38|[戚佳]想起了[刘冲]的话。
0:39:26|0:39:28|两人隔着灌木丛，相顾无言。
0:39:41|0:40:7|[刘冲]看了眼宿舍楼，说完，他便转身离去，[戚佳]也负气走开，回忆淡去，[戚佳]靠在车窗上默默流着眼泪，他的侧眼被路灯照亮，泪痕泛着微光，[袁晓鸥]从后视镜里，瞥见[戚佳]的异样，立马抽了张纸递了过去，[戚佳]勾唇浅笑。
0:40:7|0:40:13|静静地闭上眼小气着，[袁晓鸥]嘴角一抽，无奈地收回纸巾。
0:40:13|0:40:19|她看了眼路边，向右打方向盘，车子闪着灯，停在了路灯下。
0:40:19|0:40:24|暴雨打在车身上，几乎让人看不清车里的人脸。
0:40:24|0:40:31|[袁晓鸥]低头解开自己的安全带，扭身转向车后座，伸长胳膊，却擦拭[妻家]的眼泪。
0:40:31|0:40:34|她小心翼翼地用纸巾碰出[妻家]的眼角。
0:41:45|0:41:48|[刘冲]如释重负地靠在沙发上。
0:42:29|0:42:35|酒店里，[戚佳]收到大件快递后关上了房门。
0:42:35|0:42:49|屋内的地板上放着拆开的礼盒，[戚佳]穿着衬衫牛仔裤站在镜子前，抖抖缩缩地捧着一件断面婚纱在身上比了比，又将它抱进怀里。
0:42:49|0:42:57|一幢哥特式天主教堂外的草地上，宾客三五成群地聊着天，一身礼服的[刘冲]昂着招呼客人。
0:42:59|0:43:5|屋内，[袁晓鸥]在镜子前试着衬衫，又套上了略显窄小的伴郎西装。
0:43:5|0:43:9|[林舒尔]穿着无袖小礼裙，在走廊里张望着。
0:43:20|0:43:31|一辆鲜艳的马萨拉蒂敞篷跑车停在教堂前，[林舒尔]赶忙上前拉开车门，被头纱挡住脸的[戚佳]走下车，悄声问道。
0:43:43|0:43:45|[戚佳]和林淑儿肩并肩走进教堂。
0:43:55|0:44:3|凌树儿优雅地把[戚佳]送到刘冲的身边，刘冲把胳膊伸给[戚佳]，被她挽上后，觉察不对便问道。
0:44:6|0:44:11|[戚佳]低着头不说话，只顾朝前走，[袁晓鸥]板起脸鼓掌。
0:44:32|0:44:45|[戚佳]将脸侧向一边，久久不说话，刘冲的笑容逐渐消失，静候在两边的[袁晓鸥]和林书儿紧张地看着他们。
0:44:45|0:44:48|[戚佳]猛然掀开头纱转向刘冲。
0:45:34|0:45:38|刘冲看[戚佳]的眼神很是复杂，[戚佳]扭头看向走道。
0:45:38|0:45:59|他也转身望去，座席上的宾客齐齐回头，真的新娘穿着和[戚佳]一模一样的婚纱缓缓走过来，[戚佳]慌乱地看向[袁晓鸥]，他冷着脸，[戚佳]又看向林书儿，他满眼关切，[戚佳]看向刘冲，他忧虑又焦急，[戚佳]双眸中饮满泪水。
0:45:59|0:46:1|一眨眼就争先恐后地掉了下来。
0:46:1|0:46:5|终于，他提起裙摆，逃似地跑向教堂门口。
0:46:21|0:46:26|[戚佳]与新娘擦肩而过，宾客的目光追随着[戚佳]跑出教堂。
0:46:28|0:46:41|袁晓鸥撂下狠话，就跟着林淑儿追了出去，宾客的视线又回到眼前的星云身上，刘冲握紧新娘的手，两人目送[袁晓鸥]几人消失在门口。
0:46:55|0:47:18|你只会摔得头破血流，七家穿着婚纱，失了魂一般躺在浴缸里，任由花洒喷出的水流冲刷着自己，北京的夜晚万灯齐放，车流如枝。
0:47:19|0:47:27|家里，七家走进厨房拉开橱柜的镂空布帘，眼前摆着存放各种粮食的透明密封罐。
0:47:27|0:47:32|他仔细查看了罐子间的缝隙，一无所获。
0:47:32|0:47:37|七家又打开下面的柜门，里面放着一堆榛果粒和紫米粥罐头。
0:47:37|0:47:39|他合上柜门，又拉开抽屉。
0:47:42|0:47:51|七家便眯着一只眼，凑近看里面，抽屉里只有冰冷的锅铲和刀具。
0:47:51|0:47:57|[袁晓鸥]闻声出来，看她蹲在厨房便问道。
0:49:15|0:49:19|[袁晓鸥]被七家的眼神吓到，连忙闭嘴。
0:49:19|0:49:28|七家抱着鱼缸，侧躺在床上睡得深沉，床下满地狼藉，杂物都被翻出来随意摆放着。
0:49:28|0:49:35|[袁晓鸥]打了个地铺，睡在杂物中间，一只小乌龟慢悠悠地爬过她的面前。
0:49:35|0:49:41|清晨，[袁晓鸥]边煮鸡汤边切菜，还歪着头夹着手机打电话给林书尔。
0:50:11|0:50:16|七家高举双手冲进卫生间，又折返回来对[袁晓鸥]兴奋大叫。
0:50:16|0:50:21|又一天，[袁晓鸥]看到七家在客厅来回走动，费解地问道。
0:50:41|0:50:47|[袁晓鸥]拉住七家，赶紧从厨房端来一碗汤药送到她面前。
0:50:54|0:50:58|[袁晓鸥]毕恭毕敬地低头恳求，七家转身说道。
0:51:24|0:51:28|[袁晓鸥]独自走回卧室，把刚喝下的汤药都吐在了花盆里。
0:51:28|0:51:34|客厅里，戚佳正要喝饮料，[袁晓鸥]蹲在她面前，把茶几上的零食都推下了桌。
0:51:41|0:51:44|她用平板端了几个寿司给他。
0:53:1|0:53:8|戚家照做了，对，全身的骨骼和肌肉都得到了充分的放松。
0:53:34|0:53:38|[戚佳]在[袁晓鸥]保姆式的哄睡中，渐渐睡去。
0:53:38|0:53:42|第二天，[戚佳]在温和的亮光中缓缓睁眼。
0:53:42|0:53:47|她精神十足地坐起身，却被坐在床尾的[袁晓鸥]吓出了表情包。
0:53:47|0:53:49|[戚佳]皱眉怒斥。
0:54:21|0:54:30|[袁晓鸥]拽住青霞的胳膊，帮她做着无效的仰卧起坐。
0:54:56|0:55:1|[戚佳]穿着职业套装走出房门，在镜子前套上小西装外套。
0:55:1|0:55:9|他走进餐桌，桌上放着一张醒目的纸条，上面写着，娘娘，用完膳后请服药。
0:55:9|0:55:20|不仅如此，[袁晓鸥]每天早上给他变着花样做爱心便当，[戚佳]看着便当淡淡一笑。
0:55:20|0:55:29|[袁晓鸥]拽着[戚佳]在江边跑步，电影院里自无虚席，大家都戴着3D眼镜聚精会神的观影。
0:55:29|0:55:35|[袁晓鸥]抱着桶爆米花不停地吃，她吸了吸手指，视线集中在[戚佳]的手上.
0:55:36|0:55:45|[袁晓鸥]正想握住[戚佳]的手，影院里突然吹起了大风，座椅也剧烈地摇晃起来，环境特效十分逼真。
0:55:45|0:55:53|但[袁晓鸥]却被怀中的爆米花淋得狼狈不堪，只能默默地把身上残存的爆米花收进桶里。
0:55:53|0:55:55|[戚佳]看着她的囧样，笑得直呜嘴。
0:55:57|0:56:2|美容院里，[戚佳]穿着古熊式汉针服，躺在包间里做着泥膜。
0:56:2|0:56:5|[袁晓鸥]就躺在后客区的沙发上睡觉。
0:56:5|0:56:10|她头一偏，盖在脸上的杂质就掉了下来。
0:56:10|0:56:13|[戚佳]趁机用面膜给[袁晓鸥]涂了大花脸。
0:56:24|0:56:39|[袁晓鸥]站起来，突然看到橱窗里的镜子。
0:56:39|0:56:42|戏家赶忙溜掉，[袁晓鸥]拔腿就追。
0:56:42|0:56:50|阳台上，[袁晓鸥]把洗完的衣服装进盆子里，端着盆刚出门就觉察到不对劲，她缓缓朝下一看，大惊失色。
0:57:13|0:57:18|[戚佳]不能接受乌龟和自己同名，[戚佳]看着[袁晓鸥]，半天挤出一句。
0:57:26|0:57:33|她这个年龄在闺界正值壮年，吃的东西对她来说没那么重要。
0:57:40|0:57:45|海滩上，[戚佳]穿着外套，还配了一条短裤。
0:57:48|0:58:4|两人嬉笑着坐在沙滩上，[戚佳]用马克笔在乌龟背上写下流冲二字。
0:58:4|0:58:7|[袁晓鸥]给[戚佳]和乌龟拍合照。
0:58:19|0:58:32|[戚佳]被乌龟咬住了上唇，[戚佳]挥舞似金和乌龟告别，[袁晓鸥]用劲一扔，乌龟在空中划出一道抛物线后掉进海面。
0:58:34|0:58:39|“小乌龟，”[袁晓鸥]见状，快着嗓子学他喊一阵。
0:58:51|0:58:53|[戚佳]跑到乌龟面前问。
0:59:1|0:59:5|[袁晓鸥]卯足了劲，又把乌龟扔进海里。
0:59:7|0:59:10|[戚佳]走出了几步回头，小乌龟又出现了。
0:59:28|0:59:39|[戚佳]用丝巾挡住脸，两人害羞地低头逃走。
0:59:39|0:59:42|[袁晓鸥]突然指着[戚佳]呆住，随即笑弯了腰。
0:59:45|0:59:49|[戚佳]转过来，他的上唇浮肿得很是滑稽。
0:59:51|0:59:56|[戚佳]半张着肿胀的嘴，[袁晓鸥]更是笑到蹲下去不能自已。
0:59:56|1:0:2|两人来到公园的湖边，[袁晓鸥]拿着乌龟用眼神询问[戚佳]。
1:0:2|1:0:6|得到确认后，[袁晓鸥]慢慢地把小乌龟放在水面上。
1:0:17|1:0:20|露天雅座上，凌姝儿观察着[戚佳]。
1:1:35|1:1:39|养生中药柜台前，桂姐专业地给[戚佳]和林书儿做介绍。
1:1:44|1:1:51|商场的一家婚戒珠宝店里，[袁晓鸥]买下一枚钻戒，店员戴着手套等候在一边。
1:1:51|1:2:0|[袁晓鸥]拿起钻戒看了一眼，礼盒都不拿，就起身走出店门，边走边仔细端着钻戒，她把戒指装进裤兜里。
1:2:8|1:2:18|另一家商场里，穿着精致千鸟格套装的女总裁走向商场大门，[袁晓鸥]刚好把车停在门口，她急忙下车为李总打开副驾的门。
1:2:23|1:2:30|[袁晓鸥]伸手护着李总的头顶，等李总优雅入座后，非一般地跑回驾驶位。
1:2:30|1:2:35|李总戴上墨镜，系好安全带，[袁晓鸥]便启动车子离去。
1:2:35|1:2:38|商场门内，七家和林书二赶忙追出来。
1:2:49|1:2:51|[戚佳]眉头微皱，有些不安。
1:2:51|1:2:53|一家高端餐馆内。
1:2:54|1:2:55|[袁晓鸥]接过侍者。
1:4:29|1:4:32|[戚佳]眨眨眼，放下了叉子。
1:4:36|1:4:38|林淑儿瞄向[戚佳]。
1:4:42|1:4:45|[袁晓鸥]眼神失焦，嘴唇上沾满了酸奶。
1:4:45|1:4:48|林书儿轻轻地叹了口气。
1:4:48|1:4:57|[袁晓鸥]摸了摸手里的那枚埃菲尔铁塔造型的钻戒，无声地把它装回兜里。
1:4:57|1:5:6|海湾公园里，[袁晓鸥]推着[七家]跑步。
1:5:6|1:5:7|两人跑到校园里。
1:5:13|1:5:18|[七家]的视线被路边的古树牢牢锁住。
1:5:18|1:5:30|[七家]凝望着古树，这棵古树下是他和刘冲初吻的地方。
1:5:30|1:5:35|[袁晓鸥]的视线开始躲闪。
1:5:35|1:5:37|[袁晓鸥]拉起[七家]往树下走。
1:6:5|1:6:12|[袁晓鸥]慢慢地靠近[七家]，她的双手撑着树干，轻柔地、怜悉地吻上[七家]的嘴唇。
1:6:13|1:6:20|[七家]突然睁开眼，眼珠慌乱地乱转着，树枝在和煦的暖风中轻轻地摇动。
1:6:20|1:6:27|没有一会儿，[戚佳]就闭上了眼，绷紧的全身也逐渐放松，沉浸在这个悠长的瞬间。
1:6:27|1:6:34|不远处写生的学生都静静地站在画板前，观望着树下这对柔情流转的恋人。
1:6:34|1:6:37|[戚佳]眨了眨眼，脸侧向一边结束了这个吻。
1:6:38|1:6:45|他抬眼看着[袁晓鸥]，拨开她冲在自己身旁的手臂，一个人大步离开古树下。
1:6:45|1:6:48|[袁晓鸥]回过神来，赶紧追了上去。
1:6:48|1:6:54|阳光透过树冠照了下来，晃动的光线像是树上结着一颗若有似无的钻石。
1:6:56|1:7:12|[戚佳]双手插兜，快步在连绵的树荫下走着，[袁晓鸥]不声不响地紧跟在后面，头顶上枝繁叶茂的树冠相连着，把天空遮挡得严严实实，光线跟随两人的脚步，在枝叶间的缝隙中跳跃着。
